model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,waveletfilter,selected_feature_list,feature_importances,selected_features
LRforcedPSO_10percent,0,6,nhSICsep,shigh,866.5,2005.5,0.6,15,5,5,12.876063667700457,0.12540933093324402,1235,False,"['6_lag_gyreSSTjfm', '5_lag_9_median_traWP', '10_lag_ensoSSTjfm', '13_lag_traEC', '10_lag_traDS', '5_lag_6_median_mhfATL60']","[2.5176437786294947, 3.7257593285782686, 2.9652658872121656, 4.160845275347722, 0.09959957815963527, 6.21459393174881]","6_lag_gyreSSTjfm, 5_lag_9_median_traWP, 10_lag_ensoSSTjfm, 13_lag_traEC, 10_lag_traDS, 5_lag_6_median_mhfATL60_1235_5"
LRforcedPSO_10percent,1,6,nhSICsep,shigh,867.5,2005.5,0.6,16,6,6,10.84811399233148,0.4660043033666978,1235,False,"['10_lag_solFORC', '10_lag_tripol1', '10_lag_traDP', '6_lag_13_median_atlSICsep', '6_lag_9_median_traDP', '6_lag_11_median_satlSSTjfm']","[2.8343045787433674, 0.686982739498319, 9.157229075639652, 1.2583121768489711, 9.936721822353366, 2.438388437391663]","10_lag_solFORC, 10_lag_tripol1, 10_lag_traDP, 6_lag_13_median_atlSICsep, 6_lag_9_median_traDP, 6_lag_11_median_satlSSTjfm_1235_6"
LRforcedPSO_10percent,2,6,nhSICsep,shigh,868.5,2005.5,0.6,17,7,7,11.316849066467448,0.35550731969062566,1235,False,"['7_lag_12_median_stratZ50ndj02', '9_lag_traIT', '7_lag_11_median_ismPRjja', '7_lag_14_median_glTSjfm', '7_lag_stratZ50ndj03', '12_lag_yrvPRjja']","[2.2844253507466625, 2.768039132426212, 0.5073631595912467, 2.5966564045377254, 1.3710466929257414, 1.1499805537981533]","7_lag_12_median_stratZ50ndj02, 9_lag_traIT, 7_lag_11_median_ismPRjja, 7_lag_14_median_glTSjfm, 7_lag_stratZ50ndj03, 12_lag_yrvPRjja_1235_7"
LRforcedPSO_10percent,3,6,nhSICsep,shigh,869.5,2005.5,0.6,18,8,8,11.608788698409214,0.269479821734502,1235,False,"['8_lag_13_median_satlSSTjfm', '8_lag_17_median_traEU', '11_lag_traCA', '14_lag_solFORC', '17_lag_solFORC', '8_lag_11_median_ormenSSTjfm']","[1.1872717272759292, 1.7169244006954383, 2.5127808997416023, 3.572624096497039, 1.4978404180750289, 4.964930662280375]","8_lag_13_median_satlSSTjfm, 8_lag_17_median_traEU, 11_lag_traCA, 14_lag_solFORC, 17_lag_solFORC, 8_lag_11_median_ormenSSTjfm_1235_8"
LRforcedPSO_10percent,4,6,nhSICsep,shigh,870.5,2005.5,0.6,19,9,9,11.260978550537738,0.4670106571009626,1235,False,"['11_lag_amo2', '9_lag_11_median_gyreSSTjfm', '9_lag_16_median_neurTSjfm', '10_lag_seurTSjfm', '9_lag_arcTSjfm', '17_lag_traCA']","[4.094482976959652, 0.9100871463806488, 2.2087477513772003, 2.0119919371148987, 2.3150174761309428, 4.448865481352705]","11_lag_amo2, 9_lag_11_median_gyreSSTjfm, 9_lag_16_median_neurTSjfm, 10_lag_seurTSjfm, 9_lag_arcTSjfm, 17_lag_traCA_1235_9"
LRforcedPSO_10percent,5,6,nhSICsep,shigh,871.5,2005.5,0.6,20,10,10,12.230852552487796,0.5179224636335854,1235,False,"['10_lag_19_median_traFB', '10_lag_18_median_gyreSSTjfm', '17_lag_traBS', '17_lag_nppc3SSTjfm', '10_lag_12_median_amo2', '13_lag_traIT']","[0.0965363171540865, 5.99249848466947, 0.8370496333281849, 3.385907601535174, 6.706990231254862, 1.4502796939896072]","10_lag_19_median_traFB, 10_lag_18_median_gyreSSTjfm, 17_lag_traBS, 17_lag_nppc3SSTjfm, 10_lag_12_median_amo2, 13_lag_traIT_1235_10"
LRforcedPSO_10percent,6,6,nhSICsep,shigh,872.5,2005.5,0.6,21,11,11,11.119008609615948,0.36391455917684545,1235,False,"['20_lag_nppc2SSTjfm', '12_lag_traWP', '11_lag_16_median_nhTSjfm', '19_lag_traTLS', '11_lag_17_median_traDP', '16_lag_ginwSSTjfm']","[1.457017296583789, 0.9412565502664361, 2.873293156917196, 2.252096648329564, 0.10867344608134388, 3.0028704965917807]","20_lag_nppc2SSTjfm, 12_lag_traWP, 11_lag_16_median_nhTSjfm, 19_lag_traTLS, 11_lag_17_median_traDP, 16_lag_ginwSSTjfm_1235_11"
LRforcedPSO_10percent,7,6,nhSICsep,shigh,873.5,2005.5,0.6,22,12,12,10.88152110947642,0.4692990132701093,1235,False,"['12_lag_15_median_shTSjfm', '12_lag_15_median_nhTSjfm', '12_lag_17_median_traCA', '19_lag_traWP', '12_lag_18_median_mhfATL30', '19_lag_seurTSjfm']","[0.700348310268124, 4.07194662820193, 3.1384761104425607, 3.5150941053340894, 1.0125007479285024, 0.7498342223267525]","12_lag_15_median_shTSjfm, 12_lag_15_median_nhTSjfm, 12_lag_17_median_traCA, 19_lag_traWP, 12_lag_18_median_mhfATL30, 19_lag_seurTSjfm_1235_12"
LRforcedPSO_10percent,8,6,nhSICsep,shigh,874.5,2005.5,0.6,23,13,13,13.241339683583341,0.05243026150711062,1235,False,"['13_lag_15_median_amoSSTmjjaso', '15_lag_traMC', '13_lag_glomaSSTjfm', '13_lag_22_median_mhfATL45', '13_lag_18_median_traFS', '16_lag_stratZ50ndj01']","[5.423879429731057, 0.652400930371634, 4.415662063323502, 3.5248239431596744, 2.221020809590013, 2.9507877970199665]","13_lag_15_median_amoSSTmjjaso, 15_lag_traMC, 13_lag_glomaSSTjfm, 13_lag_22_median_mhfATL45, 13_lag_18_median_traFS, 16_lag_stratZ50ndj01_1235_13"
LRforcedPSO_10percent,9,6,nhSICsep,shigh,875.5,2005.5,0.6,24,14,14,13.896326255069086,-0.0158567330392533,1235,False,"['14_lag_traEU', '18_lag_traDS', '21_lag_shSICmar', '14_lag_eapPSLjfm', '17_lag_mhfIP30', '14_lag_17_median_traTLS']","[1.7694886294131873, 0.24163156519457019, 2.6002169304061553, 0.9308555049572131, 1.315819658311188, 8.728859606043178]","14_lag_traEU, 18_lag_traDS, 21_lag_shSICmar, 14_lag_eapPSLjfm, 17_lag_mhfIP30, 14_lag_17_median_traTLS_1235_14"
