model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,nhSICsep,shigh,1714.5,2005.5,0.4,15,5,5,23.54622416639238,-0.44799811585318366,418,"['14_lag_AMOCann', '9_lag_stratZ50ndj02', '9_lag_atlSICsep', '5_lag_eapPSLjfm', '9_lag_AMOCann', '10_lag_stratZ50ndj04']","[0.23447394790154988, 0.1391323323715979, 0.18966176049079633, 0.20620130227997482, 0.2575695133599428, 0.023218770129473862]","14_lag_AMOCann, 9_lag_stratZ50ndj02, 9_lag_atlSICsep, 5_lag_eapPSLjfm, 9_lag_AMOCann, 10_lag_stratZ50ndj04_418_5"
LinearRegression,1,6,nhSICsep,shigh,1715.5,2005.5,0.4,16,6,6,23.73605248368987,-0.41550816487558445,418,"['9_lag_AMOCann', '6_lag_AMOCann', '15_lag_nhSICsep', '6_lag_shSICsep', '9_lag_atlSICsep', '10_lag_stratZ50ndj04']","[0.241747796255438, 0.24197534892592634, 0.06906367383739671, 0.17446724923536966, 0.15216948849079656, 0.12718829122779016]","9_lag_AMOCann, 6_lag_AMOCann, 15_lag_nhSICsep, 6_lag_shSICsep, 9_lag_atlSICsep, 10_lag_stratZ50ndj04_418_6"
LinearRegression,2,6,nhSICsep,shigh,1716.5,2005.5,0.4,17,7,7,26.821120050030693,-0.5927952847807517,418,"['15_lag_nhSICsep', '9_lag_atlSICsep', '7_lag_atlSICsep', '16_lag_AMOCann', '7_lag_eurPSLjfm', '16_lag_stratZ50ndj04']","[0.13434444329976247, 0.09373331262510243, 0.13243650762464787, 0.37035993562999847, 0.04810692867263163, 0.2357568312310248]","15_lag_nhSICsep, 9_lag_atlSICsep, 7_lag_atlSICsep, 16_lag_AMOCann, 7_lag_eurPSLjfm, 16_lag_stratZ50ndj04_418_7"
LinearRegression,3,6,nhSICsep,shigh,1717.5,2005.5,0.4,18,8,13,22.559090444757704,-0.37511595797105085,418,"['17_lag_shSICmar', '17_lag_eurPSLjfm', '13_lag_eurPSLjfm', '14_lag_eapPSLjfm', '17_lag_AMOCann', '16_lag_stratZ50ndj04']","[0.08554571106749968, 0.0887281405624185, 0.06439532952709534, 0.050729767766265664, 0.31862758279631076, 0.3202241996180382]","17_lag_shSICmar, 17_lag_eurPSLjfm, 13_lag_eurPSLjfm, 14_lag_eapPSLjfm, 17_lag_AMOCann, 16_lag_stratZ50ndj04_418_13"
LinearRegression,4,6,nhSICsep,shigh,1718.5,2005.5,0.4,19,9,9,20.994985282472207,-0.24585432659216103,418,"['18_lag_amo1', '9_lag_atlSICsep', '13_lag_eurPSLjfm', '9_lag_stratZ50ndj02', '14_lag_eapPSLjfm', '16_lag_stratZ50ndj04']","[0.08749492289638769, 0.051942210697539265, 0.056288767244191344, 0.20599461943772424, 0.095785829740212, 0.3785730649725886]","18_lag_amo1, 9_lag_atlSICsep, 13_lag_eurPSLjfm, 9_lag_stratZ50ndj02, 14_lag_eapPSLjfm, 16_lag_stratZ50ndj04_418_9"
LinearRegression,5,6,nhSICsep,shigh,1719.5,2005.5,0.4,20,10,10,25.314887619638615,-0.44240660772942497,418,"['16_lag_nhSICsep', '18_lag_nhSICsep', '10_lag_shSICmar', '16_lag_stratZ50ndj04', '19_lag_amo2', '18_lag_stratZ50ndj01']","[0.14617711978062578, 0.09240147412649555, 0.03228588721134855, 0.231656412423839, 0.32525367465386357, 0.056772557413933625]","16_lag_nhSICsep, 18_lag_nhSICsep, 10_lag_shSICmar, 16_lag_stratZ50ndj04, 19_lag_amo2, 18_lag_stratZ50ndj01_418_10"
LinearRegression,6,6,nhSICsep,shigh,1720.5,2005.5,0.4,21,11,11,23.535732348436028,-0.28080849693365245,418,"['17_lag_stratZ50ndj04', '18_lag_stratZ50ndj01', '16_lag_stratZ50ndj04', '16_lag_eapPSLjfm', '14_lag_AMOCann', '11_lag_16_median_stratZ50ndj03']","[0.09874228477978231, 0.05975396734220911, 0.30379196693584654, 0.04885460278989495, 0.21871869136761612, 0.4726538184390954]","17_lag_stratZ50ndj04, 18_lag_stratZ50ndj01, 16_lag_stratZ50ndj04, 16_lag_eapPSLjfm, 14_lag_AMOCann, 11_lag_16_median_stratZ50ndj03_418_11"
LinearRegression,7,6,nhSICsep,shigh,1721.5,2005.5,0.4,22,12,12,21.683765024357978,-0.28661453441245616,418,"['20_lag_shSICmar', '12_lag_AMOCann', '17_lag_nppc2SSTjfm', '12_lag_15_median_stratZ50ndj03', '17_lag_stratZ50ndj04', '16_lag_stratZ50ndj04']","[0.2402918168139919, 0.11996940206408252, 0.10476759373852818, 0.2697307257201673, 0.06600990583913274, 0.28987580894919046]","20_lag_shSICmar, 12_lag_AMOCann, 17_lag_nppc2SSTjfm, 12_lag_15_median_stratZ50ndj03, 17_lag_stratZ50ndj04, 16_lag_stratZ50ndj04_418_12"
LinearRegression,8,6,nhSICsep,shigh,1722.5,2005.5,0.4,23,13,13,21.215042205518706,-0.38084781852997873,418,"['18_lag_nhSICjfm', '17_lag_stratZ50ndj04', '17_lag_nppc2SSTjfm', '20_lag_nhSICsep', '13_lag_eurPSLjfm', '16_lag_stratZ50ndj04']","[0.27611050994016073, 0.03638211918921469, 0.16131824644003573, 0.33519382121209207, 0.06713826692969052, 0.34579364239305044]","18_lag_nhSICjfm, 17_lag_stratZ50ndj04, 17_lag_nppc2SSTjfm, 20_lag_nhSICsep, 13_lag_eurPSLjfm, 16_lag_stratZ50ndj04_418_13"
LinearRegression,9,6,nhSICsep,shigh,1723.5,2005.5,0.4,24,14,14,18.43254810516545,-0.33824708736235237,418,"['23_lag_shSICmar', '22_lag_nppc2SSTjfm', '21_lag_naoPSLjfm', '17_lag_nppc2SSTjfm', '14_lag_eurPSLjfm', '23_lag_eapPSLjfm']","[0.19559271877207424, 0.11297868459323969, 0.05330304218257413, 0.1327762794943404, 0.06262644137744078, 0.09331090179889107]","23_lag_shSICmar, 22_lag_nppc2SSTjfm, 21_lag_naoPSLjfm, 17_lag_nppc2SSTjfm, 14_lag_eurPSLjfm, 23_lag_eapPSLjfm_418_14"
