model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,nhSICsep,shigh,1714.5,2005.5,0.4,15,1,1,17.606125426041043,-0.029917367234181196,1755,"['5_lag_eapPSLjfm', '3_lag_scpPSLjfm', '1_lag_stratZ50ndj03', '4_lag_eurPSLjfm', '7_lag_alpi', '9_lag_stratZ50ndj02']","[0.1949468335634477, 0.0924790224854593, 0.14327649201466336, 0.05221016214830534, 0.03719416543414775, 0.16696900364293019]","5_lag_eapPSLjfm, 3_lag_scpPSLjfm, 1_lag_stratZ50ndj03, 4_lag_eurPSLjfm, 7_lag_alpi, 9_lag_stratZ50ndj02_1755_1"
LinearRegression,1,6,nhSICsep,shigh,1715.5,2005.5,0.4,16,1,1,18.004765057450637,-0.035704794597601064,1885,"['7_lag_alpi', '5_lag_eapPSLjfm', '4_lag_eurPSLjfm', '9_lag_stratZ50ndj02', '1_lag_stratZ50ndj03', '15_lag_traMC']","[0.04289090941068202, 0.2021356674412468, 0.04895666140849471, 0.14772238724062794, 0.135062941279114, 0.1103123505126396]","7_lag_alpi, 5_lag_eapPSLjfm, 4_lag_eurPSLjfm, 9_lag_stratZ50ndj02, 1_lag_stratZ50ndj03, 15_lag_traMC_1885_1"
LinearRegression,2,6,nhSICsep,shigh,1716.5,2005.5,0.4,17,1,1,18.096707942989916,-0.04107669451600557,2015,"['7_lag_alpi', '6_lag_eurPSLjfm', '5_lag_eapPSLjfm', '9_lag_stratZ50ndj02', '1_lag_stratZ50ndj03', '15_lag_traMC']","[0.04425852869725653, 0.08236623108096178, 0.20745305221999844, 0.14784982963216348, 0.128885949135641, 0.09560356651757884]","7_lag_alpi, 6_lag_eurPSLjfm, 5_lag_eapPSLjfm, 9_lag_stratZ50ndj02, 1_lag_stratZ50ndj03, 15_lag_traMC_2015_1"
LinearRegression,3,6,nhSICsep,shigh,1717.5,2005.5,0.4,18,1,1,17.84240100712815,0.016714507179971243,2145,"['7_lag_samPSLann', '7_lag_alpi', '1_lag_stratZ50ndj03', '5_lag_eapPSLjfm', '9_lag_stratZ50ndj02', '15_lag_traMC']","[0.09553230375796073, 0.030910226111894784, 0.14072797461089895, 0.19740250562698852, 0.1617875034675722, 0.1029344710021812]","7_lag_samPSLann, 7_lag_alpi, 1_lag_stratZ50ndj03, 5_lag_eapPSLjfm, 9_lag_stratZ50ndj02, 15_lag_traMC_2145_1"
LinearRegression,4,6,nhSICsep,shigh,1718.5,2005.5,0.4,19,1,5,18.603766828447913,-0.09120903850567785,2275,"['7_lag_samPSLann', '14_lag_traBS', '7_lag_alpi', '9_lag_stratZ50ndj02', '5_lag_eapPSLjfm', '15_lag_traMC']","[0.09257570982119952, 0.07801968883662949, 0.02309703604538281, 0.12878057960474615, 0.19564695976075186, 0.10493985926477498]","7_lag_samPSLann, 14_lag_traBS, 7_lag_alpi, 9_lag_stratZ50ndj02, 5_lag_eapPSLjfm, 15_lag_traMC_2275_5"
LinearRegression,5,6,nhSICsep,shigh,1719.5,2005.5,0.4,20,1,5,18.576599955042404,-0.09098295501568358,2405,"['14_lag_traBS', '7_lag_samPSLann', '7_lag_alpi', '9_lag_stratZ50ndj02', '5_lag_eapPSLjfm', '15_lag_traMC']","[0.07617700140565167, 0.09267131056740696, 0.022054521746342065, 0.12748501328003192, 0.1979247794225527, 0.11006903728581353]","14_lag_traBS, 7_lag_samPSLann, 7_lag_alpi, 9_lag_stratZ50ndj02, 5_lag_eapPSLjfm, 15_lag_traMC_2405_5"
LinearRegression,6,6,nhSICsep,shigh,1720.5,2005.5,0.4,21,1,4,18.188058493473232,-0.04736648820560105,2535,"['7_lag_alpi', '7_lag_samPSLann', '4_lag_stratZ50ndj03', '5_lag_eapPSLjfm', '9_lag_stratZ50ndj02', '15_lag_traMC']","[0.01501003709401741, 0.06769715305348004, 0.15246783399307587, 0.19669428859953803, 0.1735978244134669, 0.12904513488254057]","7_lag_alpi, 7_lag_samPSLann, 4_lag_stratZ50ndj03, 5_lag_eapPSLjfm, 9_lag_stratZ50ndj02, 15_lag_traMC_2535_4"
LinearRegression,7,6,nhSICsep,shigh,1721.5,2005.5,0.4,22,2,2,18.41482219862265,-0.06737833436331694,2535,"['8_lag_stratZ50ndj03', '16_lag_traEC', '2_lag_traEC', '9_lag_stratZ50ndj02', '15_lag_traMC', '5_lag_eapPSLjfm']","[0.032701675214153035, 0.026853962811163756, 0.006341649925050777, 0.14619121445679667, 0.11248744318289702, 0.21544164887886275]","8_lag_stratZ50ndj03, 16_lag_traEC, 2_lag_traEC, 9_lag_stratZ50ndj02, 15_lag_traMC, 5_lag_eapPSLjfm_2535_2"
LinearRegression,8,6,nhSICsep,shigh,1722.5,2005.5,0.4,23,3,5,18.320939395896524,-0.08395115614219388,2535,"['9_lag_stratZ50ndj02', '16_lag_nchinaPRjja', '15_lag_traMC', '8_lag_stratZ50ndj03', '22_lag_stratZ50ndj01', '5_lag_eapPSLjfm']","[0.14447557830389238, 0.18033388364625674, 0.12329615030176236, 0.048858713072131854, 0.07384126133627676, 0.19940413120120642]","9_lag_stratZ50ndj02, 16_lag_nchinaPRjja, 15_lag_traMC, 8_lag_stratZ50ndj03, 22_lag_stratZ50ndj01, 5_lag_eapPSLjfm_2535_5"
LinearRegression,9,6,nhSICsep,shigh,1723.5,2005.5,0.4,24,4,4,17.597948026215477,-0.07993284635613704,2535,"['16_lag_nchinaPRjja', '4_lag_stratZ50ndj03', '4_lag_5_median_eapPSLjfm', '5_lag_eapPSLjfm', '23_lag_eapPSLjfm', '22_lag_stratZ50ndj01']","[0.1710388674944368, 0.10960360056280366, 0.10291105926372407, 0.10291105926372318, 0.07399365809599845, 0.086041193651211]","16_lag_nchinaPRjja, 4_lag_stratZ50ndj03, 4_lag_5_median_eapPSLjfm, 5_lag_eapPSLjfm, 23_lag_eapPSLjfm, 22_lag_stratZ50ndj01_2535_4"
LinearRegression,10,6,nhSICsep,shigh,1724.5,2005.5,0.4,25,5,5,18.61292715181698,-0.07943979863472074,2535,"['15_lag_traMC', '16_lag_traEC', '16_lag_nchinaPRjja', '23_lag_eapPSLjfm', '22_lag_stratZ50ndj01', '5_lag_eapPSLjfm']","[0.1524167745485011, 0.03397580856855267, 0.16732009923505667, 0.09061245169732816, 0.09655311274981332, 0.2313515278228848]","15_lag_traMC, 16_lag_traEC, 16_lag_nchinaPRjja, 23_lag_eapPSLjfm, 22_lag_stratZ50ndj01, 5_lag_eapPSLjfm_2535_5"
LinearRegression,11,6,nhSICsep,shigh,1725.5,2005.5,0.4,26,6,9,18.200801445795545,0.009382518774928888,2535,"['11_lag_mhfIP30', '9_lag_stratZ50ndj02', '15_lag_traMC', '23_lag_eapPSLjfm', '14_lag_traBS', '22_lag_stratZ50ndj01']","[0.19453827241869817, 0.1463894330142266, 0.07399436591217437, 0.1126911992110337, 0.1282393060809897, 0.049903629778613234]","11_lag_mhfIP30, 9_lag_stratZ50ndj02, 15_lag_traMC, 23_lag_eapPSLjfm, 14_lag_traBS, 22_lag_stratZ50ndj01_2535_9"
LinearRegression,12,6,nhSICsep,shigh,1726.5,2005.5,0.4,27,7,7,18.775026504884718,-0.016736090691285933,2535,"['21_lag_traEU', '9_lag_stratZ50ndj02', '15_lag_traMC', '14_lag_traBS', '7_lag_traMC', '23_lag_eapPSLjfm']","[0.17555775589491765, 0.15900629132381253, 0.11009936634655725, 0.09756814893098628, 0.01956597460678905, 0.11018201757375334]","21_lag_traEU, 9_lag_stratZ50ndj02, 15_lag_traMC, 14_lag_traBS, 7_lag_traMC, 23_lag_eapPSLjfm_2535_7"
LinearRegression,13,6,nhSICsep,shigh,1727.5,2005.5,0.4,28,8,8,18.131122645145048,0.09097503371661941,2535,"['11_lag_mhfIP30', '8_lag_ismPRjja', '22_lag_traFS', '10_lag_yrvPRjja', '21_lag_traEU', '23_lag_eapPSLjfm']","[0.20263617477037835, 0.010464904085925125, 0.11641764472172364, 0.1653556372593308, 0.1640714824593569, 0.10525846893687066]","11_lag_mhfIP30, 8_lag_ismPRjja, 22_lag_traFS, 10_lag_yrvPRjja, 21_lag_traEU, 23_lag_eapPSLjfm_2535_8"
