model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,nhTSjfm,shigh,1514.5,2005.5,0.8,15,1,1,13.839380810148148,0.7425872189954547,1755,"['13_lag_stratZ50ndj02', '14_lag_shSICmar', '9_lag_arcTSjfm', '1_lag_traMC', '12_lag_traIT', '14_lag_mhfATL60', '1_lag_amoSSTmjjaso', '1_lag_naoPSLjfm', '1_lag_traIT', '1_lag_nppc2SSTjfm']","[0.054905925368578946, 0.004593671170586483, 0.04441703347397802, 0.016834744189706825, 0.05554568382306798, 0.03623342731555766, 0.4120178612007776, 0.02414805440248003, 0.18380025266514913, 0.25667235967187774]","13_lag_stratZ50ndj02, 14_lag_shSICmar, 9_lag_arcTSjfm, 1_lag_traMC, 12_lag_traIT, 14_lag_mhfATL60, 1_lag_amoSSTmjjaso, 1_lag_naoPSLjfm, 1_lag_traIT, 1_lag_nppc2SSTjfm_1755_1"
LinearRegression,1,10,nhTSjfm,shigh,1515.5,2005.5,0.8,16,1,1,13.20874103174823,0.7382824875291081,1885,"['10_lag_traIT', '12_lag_atlSICjfm', '13_lag_stratZ50ndj02', '6_lag_tripol3', '1_lag_traMC', '9_lag_arcTSjfm', '1_lag_naoPSLjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_nppc2SSTjfm']","[0.06650465760765047, 0.04979470182474065, 0.05700331507232554, 0.15844650391332243, 0.02078040437321236, 0.07914249478456128, 0.00959794027738181, 0.3545497564207068, 0.19590408892093503, 0.2508079682286797]","10_lag_traIT, 12_lag_atlSICjfm, 13_lag_stratZ50ndj02, 6_lag_tripol3, 1_lag_traMC, 9_lag_arcTSjfm, 1_lag_naoPSLjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_nppc2SSTjfm_1885_1"
LinearRegression,2,10,nhTSjfm,shigh,1516.5,2005.5,0.8,17,1,1,13.502698371398694,0.7372847932821459,2015,"['13_lag_stratZ50ndj02', '1_lag_traMC', '10_lag_traIT', '12_lag_atlSICjfm', '8_lag_nhSICsep', '8_lag_stratZ50ndj02', '1_lag_amoSSTmjjaso', '1_lag_naoPSLjfm', '1_lag_nppc2SSTjfm', '1_lag_traIT']","[0.0522048491596371, 0.008728968254777342, 0.04936478477178079, 0.04254096417715569, 0.013208187940764475, 0.036195339280208974, 0.3869692165031643, 0.013119822392309362, 0.2511171960186708, 0.1938533164768816]","13_lag_stratZ50ndj02, 1_lag_traMC, 10_lag_traIT, 12_lag_atlSICjfm, 8_lag_nhSICsep, 8_lag_stratZ50ndj02, 1_lag_amoSSTmjjaso, 1_lag_naoPSLjfm, 1_lag_nppc2SSTjfm, 1_lag_traIT_2015_1"
LinearRegression,3,10,nhTSjfm,shigh,1517.5,2005.5,0.8,18,1,1,12.516217111157639,0.7576574003022654,2145,"['1_lag_traMC', '8_lag_nhSICsep', '17_lag_traEC', '6_lag_tripol3', '8_lag_stratZ50ndj02', '13_lag_stratZ50ndj02', '1_lag_naoPSLjfm', '1_lag_amoSSTmjjaso', '1_lag_nppc2SSTjfm', '1_lag_traIT']","[0.015918150546472696, 0.02037087577318833, 0.05355867272512148, 0.1693788461469926, 0.04079068558318395, 0.048070268603840914, 0.01582193895415454, 0.3625909639350525, 0.24973774476211197, 0.19414121850333566]","1_lag_traMC, 8_lag_nhSICsep, 17_lag_traEC, 6_lag_tripol3, 8_lag_stratZ50ndj02, 13_lag_stratZ50ndj02, 1_lag_naoPSLjfm, 1_lag_amoSSTmjjaso, 1_lag_nppc2SSTjfm, 1_lag_traIT_2145_1"
LinearRegression,4,10,nhTSjfm,shigh,1518.5,2005.5,0.8,19,1,1,12.464380327638345,0.7807923805136158,2275,"['13_lag_tripol3', '9_lag_arcTSjfm', '18_lag_traWP', '18_lag_traMC', '8_lag_stratZ50ndj02', '1_lag_amoSSTmjjaso', '17_lag_traEC', '13_lag_stratZ50ndj02', '1_lag_nppc2SSTjfm', '1_lag_traIT']","[0.11917239355403744, 0.04113313172021077, 0.11690582744185814, 0.013886104913068109, 0.03585614482531602, 0.38447293342589106, 0.046003380473533015, 0.06631719683207288, 0.2576998909697096, 0.18630410410076287]","13_lag_tripol3, 9_lag_arcTSjfm, 18_lag_traWP, 18_lag_traMC, 8_lag_stratZ50ndj02, 1_lag_amoSSTmjjaso, 17_lag_traEC, 13_lag_stratZ50ndj02, 1_lag_nppc2SSTjfm, 1_lag_traIT_2275_1"
LinearRegression,5,10,nhTSjfm,shigh,1519.5,2005.5,0.8,20,1,1,13.482676404341484,0.735183144872243,2405,"['19_lag_alpi', '7_lag_traEU', '8_lag_stratZ50ndj02', '13_lag_traEU', '1_lag_amoSSTmjjaso', '17_lag_traEC', '18_lag_neurTSjfm', '13_lag_stratZ50ndj02', '1_lag_nppc2SSTjfm', '1_lag_traIT']","[0.03451261974986709, 0.07671143645237492, 0.048431096532184525, 0.035138888580807805, 0.40456723634849173, 0.04371283837308829, 0.025657474775883496, 0.05641642832992701, 0.24698380644328566, 0.18535787719393598]","19_lag_alpi, 7_lag_traEU, 8_lag_stratZ50ndj02, 13_lag_traEU, 1_lag_amoSSTmjjaso, 17_lag_traEC, 18_lag_neurTSjfm, 13_lag_stratZ50ndj02, 1_lag_nppc2SSTjfm, 1_lag_traIT_2405_1"
LinearRegression,6,10,nhTSjfm,shigh,1520.5,2005.5,0.8,21,1,1,13.687597425721911,0.7351168373837018,2535,"['11_lag_samPSLann', '18_lag_stratZ50ndj01', '8_lag_stratZ50ndj02', '14_lag_shSICmar', '1_lag_amoSSTmjjaso', '17_lag_traEC', '13_lag_stratZ50ndj02', '18_lag_neurTSjfm', '1_lag_nppc2SSTjfm', '1_lag_traIT']","[0.054943757824505064, 0.05170301577609371, 0.04193997514485324, 0.014800646743122862, 0.39767699317389416, 0.04767167273621031, 0.048896885407016345, 0.027425145556978354, 0.24071175691485078, 0.1956386617514859]","11_lag_samPSLann, 18_lag_stratZ50ndj01, 8_lag_stratZ50ndj02, 14_lag_shSICmar, 1_lag_amoSSTmjjaso, 17_lag_traEC, 13_lag_stratZ50ndj02, 18_lag_neurTSjfm, 1_lag_nppc2SSTjfm, 1_lag_traIT_2535_1"
LinearRegression,7,10,nhTSjfm,shigh,1521.5,2005.5,0.8,22,2,2,24.923492572359628,0.34798945997172925,2535,"['12_lag_traIT', '6_lag_ginwSSTjfm', '13_lag_stratZ50ndj02', '18_lag_shSICmar', '17_lag_traEC', '11_lag_samPSLann', '13_lag_traEU', '2_lag_nppc2SSTjfm', '18_lag_stratZ50ndj01', '18_lag_neurTSjfm']","[0.13304560695107379, 0.11288102366610156, 0.07776600792008537, 0.03508818427204334, 0.08493835595204036, 0.040564306008128735, 0.0632079219298157, 0.23218874417724844, 0.08590699506253345, 0.05302399317304786]","12_lag_traIT, 6_lag_ginwSSTjfm, 13_lag_stratZ50ndj02, 18_lag_shSICmar, 17_lag_traEC, 11_lag_samPSLann, 13_lag_traEU, 2_lag_nppc2SSTjfm, 18_lag_stratZ50ndj01, 18_lag_neurTSjfm_2535_2"
LinearRegression,8,10,nhTSjfm,shigh,1522.5,2005.5,0.8,23,3,3,30.003007690534496,-0.06274768093420607,2535,"['13_lag_traEU', '11_lag_samPSLann', '13_lag_traIFC', '18_lag_shSICmar', '12_lag_traIT', '6_lag_ginwSSTjfm', '3_lag_traTLS', '18_lag_neurTSjfm', '17_lag_traEC', '18_lag_stratZ50ndj01']","[0.03954391611929122, 0.036240360395615026, 0.043021761026071074, 0.03479586205535683, 0.12289272311686533, 0.12689145241631805, 0.026370452793265456, 0.06982578967006657, 0.10763128634303123, 0.08670937455719152]","13_lag_traEU, 11_lag_samPSLann, 13_lag_traIFC, 18_lag_shSICmar, 12_lag_traIT, 6_lag_ginwSSTjfm, 3_lag_traTLS, 18_lag_neurTSjfm, 17_lag_traEC, 18_lag_stratZ50ndj01_2535_3"
LinearRegression,9,10,nhTSjfm,shigh,1523.5,2005.5,0.8,24,4,9,30.134755548648815,0.22269141343902643,2535,"['11_lag_eapPSLjfm', '9_lag_nppc2SSTjfm', '11_lag_traWP', '11_lag_samPSLann', '22_lag_eapPSLjfm', '18_lag_shSICmar', '13_lag_traEU', '18_lag_neurTSjfm', '18_lag_stratZ50ndj01', '17_lag_traEC']","[0.07422379595225101, 0.09491399407504798, 0.09001430949307856, 0.03415013474176484, 0.031769417070857064, 0.01060166067984794, 0.03995058336372943, 0.08317730267442555, 0.09741276597847558, 0.10310511597362637]","11_lag_eapPSLjfm, 9_lag_nppc2SSTjfm, 11_lag_traWP, 11_lag_samPSLann, 22_lag_eapPSLjfm, 18_lag_shSICmar, 13_lag_traEU, 18_lag_neurTSjfm, 18_lag_stratZ50ndj01, 17_lag_traEC_2535_9"
