model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,nppc2SSTjfm,shigh,1714.5,2005.5,0.8,15,5,5,29.51228223860464,-0.4705247423656226,418,"['5_lag_13_median_eapPSLjfm', '5_lag_amo2', '12_lag_solFORC', '5_lag_12_median_atlSICjfm', '5_lag_amo3', '5_lag_11_median_stratZ50ndj01', '5_lag_10_median_AMOCann', '5_lag_13_median_shSICmar', '5_lag_14_median_eurPSLjfm', '5_lag_14_median_stratZ50ndj02']","[0.04640464975167976, 0.250837396549972, 0.08737104857176503, 0.166325643854481, 0.38080523168683555, 0.13104125765426083, 0.5235517660692374, 0.08762231767282394, 0.0475141373839299, 0.620746158453557]","5_lag_13_median_eapPSLjfm, 5_lag_amo2, 12_lag_solFORC, 5_lag_12_median_atlSICjfm, 5_lag_amo3, 5_lag_11_median_stratZ50ndj01, 5_lag_10_median_AMOCann, 5_lag_13_median_shSICmar, 5_lag_14_median_eurPSLjfm, 5_lag_14_median_stratZ50ndj02_418_5"
LinearRegression,1,10,nppc2SSTjfm,shigh,1715.5,2005.5,0.8,16,6,6,20.634272660156796,-0.09431038014028587,418,"['12_lag_amo2', '6_lag_14_median_eapPSLjfm', '6_lag_nhSICjfm', '14_lag_nhSICsep', '10_lag_nppc2SSTjfm', '10_lag_nhSICsep', '6_lag_11_median_stratZ50ndj02', '6_lag_12_median_stratZ50ndj01', '6_lag_9_median_stratZ50ndj02', '6_lag_15_median_naoPSLjfm']","[0.04919365308916503, 0.2014337939846473, 0.2763065561460667, 0.13668690367741587, 0.2459665315974423, 0.10508903613155743, 0.18895364602259598, 0.2708655372684693, 0.2164940200232156, 0.407812370160116]","12_lag_amo2, 6_lag_14_median_eapPSLjfm, 6_lag_nhSICjfm, 14_lag_nhSICsep, 10_lag_nppc2SSTjfm, 10_lag_nhSICsep, 6_lag_11_median_stratZ50ndj02, 6_lag_12_median_stratZ50ndj01, 6_lag_9_median_stratZ50ndj02, 6_lag_15_median_naoPSLjfm_418_6"
LinearRegression,2,10,nppc2SSTjfm,shigh,1716.5,2005.5,0.8,17,7,7,16.244756378386974,0.4312893008579198,418,"['7_lag_14_median_shSICmar', '7_lag_10_median_stratZ50ndj02', '7_lag_nhSICjfm', '7_lag_12_median_amo2', '12_lag_atlSICjfm', '7_lag_12_median_atlSICsep', '7_lag_15_median_shSICmar', '7_lag_14_median_stratZ50ndj03', '7_lag_12_median_shSICmar', '7_lag_12_median_amoSSTjfm']","[0.1189304518350162, 0.026196712048754005, 0.2128396797985269, 0.3874709283137785, 0.1559264985091589, 0.15926629055041241, 0.48842779883040055, 0.457224691572202, 0.4465840695143325, 0.12124550121754983]","7_lag_14_median_shSICmar, 7_lag_10_median_stratZ50ndj02, 7_lag_nhSICjfm, 7_lag_12_median_amo2, 12_lag_atlSICjfm, 7_lag_12_median_atlSICsep, 7_lag_15_median_shSICmar, 7_lag_14_median_stratZ50ndj03, 7_lag_12_median_shSICmar, 7_lag_12_median_amoSSTjfm_418_7"
LinearRegression,3,10,nppc2SSTjfm,shigh,1717.5,2005.5,0.8,18,8,8,16.94416124491068,0.43267743988793533,418,"['8_lag_13_median_stratZ50ndj02', '8_lag_nhSICsep', '8_lag_15_median_stratZ50ndj03', '8_lag_15_median_shSICmar', '8_lag_16_median_stratZ50ndj01', '8_lag_16_median_eurPSLjfm', '13_lag_amo2', '8_lag_13_median_naoPSLjfm', '13_lag_atlSICjfm', '8_lag_11_median_stratZ50ndj04']","[0.03146098605618815, 0.16585515928418976, 0.526602731185823, 0.22260379581852952, 0.014473815899009243, 0.2280765871936192, 0.18640459146599161, 0.04305782801078409, 0.011889261358555073, 0.2097312207864091]","8_lag_13_median_stratZ50ndj02, 8_lag_nhSICsep, 8_lag_15_median_stratZ50ndj03, 8_lag_15_median_shSICmar, 8_lag_16_median_stratZ50ndj01, 8_lag_16_median_eurPSLjfm, 13_lag_amo2, 8_lag_13_median_naoPSLjfm, 13_lag_atlSICjfm, 8_lag_11_median_stratZ50ndj04_418_8"
LinearRegression,4,10,nppc2SSTjfm,shigh,1718.5,2005.5,0.8,19,9,9,19.295118535383786,0.2749337473737038,418,"['9_lag_nhSICjfm', '9_lag_13_median_stratZ50ndj03', '9_lag_16_median_stratZ50ndj01', '9_lag_14_median_shSICmar', '9_lag_15_median_stratZ50ndj02', '9_lag_12_median_AMOCann', '9_lag_18_median_eapPSLjfm', '9_lag_12_median_eurPSLjfm', '9_lag_18_median_nhSICsep', '9_lag_14_median_stratZ50ndj03']","[0.15367715831693932, 0.34314812610491013, 0.18217845962480522, 0.19872290447275967, 0.3599994462403161, 0.0949103844123868, 0.14204150438871804, 0.021829944262595092, 0.18233406992212461, 0.6996305127076006]","9_lag_nhSICjfm, 9_lag_13_median_stratZ50ndj03, 9_lag_16_median_stratZ50ndj01, 9_lag_14_median_shSICmar, 9_lag_15_median_stratZ50ndj02, 9_lag_12_median_AMOCann, 9_lag_18_median_eapPSLjfm, 9_lag_12_median_eurPSLjfm, 9_lag_18_median_nhSICsep, 9_lag_14_median_stratZ50ndj03_418_9"
LinearRegression,5,10,nppc2SSTjfm,shigh,1719.5,2005.5,0.8,20,10,10,21.195993488536804,0.3852224780983186,418,"['10_lag_17_median_stratZ50ndj02', '10_lag_13_median_scpPSLjfm', '10_lag_18_median_eurPSLjfm', '10_lag_amo1', '10_lag_17_median_amo1', '10_lag_13_median_stratZ50ndj04', '17_lag_nhSICsep', '10_lag_18_median_eapPSLjfm', '19_lag_nppc2SSTjfm', '10_lag_16_median_scpPSLjfm']","[0.1255468487830218, 0.10292974081838459, 0.33327648428329165, 0.030429438611104243, 0.011805270255390063, 0.6648217661933309, 0.17146127769893338, 0.10654281215369435, 0.16505770198393033, 0.05243095650918607]","10_lag_17_median_stratZ50ndj02, 10_lag_13_median_scpPSLjfm, 10_lag_18_median_eurPSLjfm, 10_lag_amo1, 10_lag_17_median_amo1, 10_lag_13_median_stratZ50ndj04, 17_lag_nhSICsep, 10_lag_18_median_eapPSLjfm, 19_lag_nppc2SSTjfm, 10_lag_16_median_scpPSLjfm_418_10"
LinearRegression,6,10,nppc2SSTjfm,shigh,1720.5,2005.5,0.8,21,11,11,19.170421064336427,0.42056585957394066,418,"['17_lag_amoSSTmjjaso', '11_lag_16_median_scpPSLjfm', '20_lag_solFORC', '11_lag_stratZ50ndj04', '11_lag_20_median_stratZ50ndj02', '19_lag_nppc2SSTjfm', '11_lag_14_median_shSICmar', '14_lag_shSICmar', '11_lag_14_median_nhSICsep', '11_lag_18_median_stratZ50ndj02']","[0.07088723893199239, 0.08237758015122539, 0.051413784089149955, 0.1795168554561382, 0.0929340944881308, 0.21261988896970818, 0.06412314986609162, 0.13888440269234453, 0.27301327111986307, 0.024225589083966197]","17_lag_amoSSTmjjaso, 11_lag_16_median_scpPSLjfm, 20_lag_solFORC, 11_lag_stratZ50ndj04, 11_lag_20_median_stratZ50ndj02, 19_lag_nppc2SSTjfm, 11_lag_14_median_shSICmar, 14_lag_shSICmar, 11_lag_14_median_nhSICsep, 11_lag_18_median_stratZ50ndj02_418_11"
LinearRegression,7,10,nppc2SSTjfm,shigh,1721.5,2005.5,0.8,22,12,12,19.325214688647996,0.16303332262711243,418,"['12_lag_solFORC', '12_lag_17_median_atlSICjfm', '12_lag_19_median_stratZ50ndj02', '12_lag_16_median_naoPSLjfm', '19_lag_nppc2SSTjfm', '12_lag_17_median_atlSICsep', '12_lag_19_median_shSICmar', '12_lag_18_median_stratZ50ndj02', '12_lag_19_median_amo3', '12_lag_15_median_amo1']","[0.07604972633604444, 0.2689340131940946, 0.16618937008315143, 0.055219611694244275, 0.22861455547952242, 0.4534692708595758, 0.2732345823276411, 0.15802021592705764, 0.3757450581763034, 0.20383587422791893]","12_lag_solFORC, 12_lag_17_median_atlSICjfm, 12_lag_19_median_stratZ50ndj02, 12_lag_16_median_naoPSLjfm, 19_lag_nppc2SSTjfm, 12_lag_17_median_atlSICsep, 12_lag_19_median_shSICmar, 12_lag_18_median_stratZ50ndj02, 12_lag_19_median_amo3, 12_lag_15_median_amo1_418_12"
LinearRegression,8,10,nppc2SSTjfm,shigh,1722.5,2005.5,0.8,23,13,13,19.99514389980557,0.2702869377742898,418,"['13_lag_22_median_amo3', '13_lag_19_median_shSICmar', '22_lag_nhSICsep', '18_lag_nhSICjfm', '13_lag_20_median_shSICmar', '18_lag_nppc2SSTjfm', '13_lag_22_median_AMOCann', '13_lag_16_median_nhSICsep', '13_lag_18_median_amo3', '13_lag_16_median_atlSICsep']","[0.38337882342007007, 0.2604003987620149, 0.01940791921965844, 0.02986212966669014, 0.05417065146272286, 0.18108144227553213, 0.1417690890808963, 0.10183384559152124, 0.5159801046609259, 0.13423516582330874]","13_lag_22_median_amo3, 13_lag_19_median_shSICmar, 22_lag_nhSICsep, 18_lag_nhSICjfm, 13_lag_20_median_shSICmar, 18_lag_nppc2SSTjfm, 13_lag_22_median_AMOCann, 13_lag_16_median_nhSICsep, 13_lag_18_median_amo3, 13_lag_16_median_atlSICsep_418_13"
LinearRegression,9,10,nppc2SSTjfm,shigh,1723.5,2005.5,0.8,24,14,14,22.060588681504033,-0.05087660947440388,418,"['14_lag_23_median_amo2', '17_lag_atlSICsep', '14_lag_18_median_naoPSLjfm', '14_lag_23_median_amo1', '19_lag_nhSICjfm', '14_lag_19_median_amo1', '23_lag_amoSSTmjjaso', '14_lag_19_median_stratZ50ndj03', '14_lag_18_median_stratZ50ndj02', '14_lag_17_median_stratZ50ndj04']","[0.5446525965537073, 0.06799427630001004, 0.07031216124661792, 0.2711186698329401, 0.01782988327136789, 0.2417426451993202, 0.0008752668392760787, 0.16873991464754462, 0.10477465236929075, 0.46123846526560175]","14_lag_23_median_amo2, 17_lag_atlSICsep, 14_lag_18_median_naoPSLjfm, 14_lag_23_median_amo1, 19_lag_nhSICjfm, 14_lag_19_median_amo1, 23_lag_amoSSTmjjaso, 14_lag_19_median_stratZ50ndj03, 14_lag_18_median_stratZ50ndj02, 14_lag_17_median_stratZ50ndj04_418_14"
