model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,pdoSSTjfm,shigh,1514.5,2005.5,0.6,15,1,1,14.172010526637068,0.2632545400658249,1755,"['7_lag_shSICmar', '12_lag_nchinaPRjja', '1_lag_arcTSjfm', '11_lag_ismPRjja', '1_lag_4_median_alpi', '11_lag_traMC', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_traIT', '1_lag_mhfIP30']","[0.04823499246004317, 0.11419828325054485, 0.14064981558981346, 0.024609255279860853, 0.24860738199168514, 0.09265791220012419, 0.03236359983687691, 0.07808299259563738, 0.3520427737510881, 0.2625755933637002]","7_lag_shSICmar, 12_lag_nchinaPRjja, 1_lag_arcTSjfm, 11_lag_ismPRjja, 1_lag_4_median_alpi, 11_lag_traMC, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_traIT, 1_lag_mhfIP30_1755_1"
LinearRegression,1,10,pdoSSTjfm,shigh,1515.5,2005.5,0.6,16,1,1,13.856753685451876,0.292490000207663,1885,"['1_lag_traFB', '3_lag_nchinaPRjja', '11_lag_ismPRjja', '1_lag_arcTSjfm', '11_lag_traMC', '1_lag_4_median_alpi', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_traIT', '1_lag_mhfIP30']","[0.08586771938187207, 0.04825586336407177, 0.029542167860606296, 0.13737098268280235, 0.09766968053313482, 0.25605473186341415, 0.038901102206169554, 0.08196175226306424, 0.35363259455022683, 0.25607571787471967]","1_lag_traFB, 3_lag_nchinaPRjja, 11_lag_ismPRjja, 1_lag_arcTSjfm, 11_lag_traMC, 1_lag_4_median_alpi, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_traIT, 1_lag_mhfIP30_1885_1"
LinearRegression,2,10,pdoSSTjfm,shigh,1516.5,2005.5,0.6,17,1,1,13.46859022212784,0.3360771187399922,2015,"['12_lag_nchinaPRjja', '3_lag_nppc2SSTjfm', '1_lag_arcTSjfm', '11_lag_traMC', '9_lag_cetTSjfm', '7_lag_shSICmar', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_traIT', '1_lag_mhfIP30']","[0.11123828691341137, 0.007362364131657091, 0.18087749303511302, 0.06234849802734738, 0.09692835035250942, 0.06595584754722225, 0.002517606758569638, 0.10010305234541918, 0.3001710157468297, 0.17362895659142175]","12_lag_nchinaPRjja, 3_lag_nppc2SSTjfm, 1_lag_arcTSjfm, 11_lag_traMC, 9_lag_cetTSjfm, 7_lag_shSICmar, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_traIT, 1_lag_mhfIP30_2015_1"
LinearRegression,3,10,pdoSSTjfm,shigh,1517.5,2005.5,0.6,18,1,1,13.112937721583673,0.2604551903190935,2145,"['11_lag_ismPRjja', '3_lag_nppc2SSTjfm', '9_lag_satlSSTjfm', '9_lag_cetTSjfm', '1_lag_nppc2SSTjfm', '7_lag_shSICmar', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_mhfIP30', '1_lag_traIT']","[0.07215100730949067, 0.06685942408729079, 0.29511587066620615, 0.0747599445777731, 0.008958330462460298, 0.03536972067181876, 0.0022207940426761524, 0.06772071231268587, 0.22223549432125295, 0.3017712205268692]","11_lag_ismPRjja, 3_lag_nppc2SSTjfm, 9_lag_satlSSTjfm, 9_lag_cetTSjfm, 1_lag_nppc2SSTjfm, 7_lag_shSICmar, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_mhfIP30, 1_lag_traIT_2145_1"
LinearRegression,4,10,pdoSSTjfm,shigh,1518.5,2005.5,0.6,19,1,1,9.46067570396371,0.7005141161882976,2275,"['3_lag_nppc2SSTjfm', '11_lag_ismPRjja', '1_lag_pdoSSTjfm', '9_lag_cetTSjfm', '1_lag_nppc2SSTjfm', '7_lag_shSICmar', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_mhfIP30', '1_lag_traIT']","[0.01197568337784764, 0.03645584772734056, 0.6100647283942877, 0.07270018475154769, 0.07824732965107864, 0.012422490710635435, 0.06866419637096449, 0.13933630980964787, 0.177278270896, 0.2743305548368518]","3_lag_nppc2SSTjfm, 11_lag_ismPRjja, 1_lag_pdoSSTjfm, 9_lag_cetTSjfm, 1_lag_nppc2SSTjfm, 7_lag_shSICmar, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_mhfIP30, 1_lag_traIT_2275_1"
LinearRegression,5,10,pdoSSTjfm,shigh,1519.5,2005.5,0.6,20,1,1,9.57963044079822,0.6909404181102495,2405,"['11_lag_ismPRjja', '1_lag_pdoSSTjfm', '1_lag_alpi', '9_lag_cetTSjfm', '7_lag_shSICmar', '1_lag_nppc2SSTjfm', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_mhfIP30', '1_lag_traIT']","[0.037655105009084304, 0.6557999241398277, 0.06014798807469951, 0.06827985561223981, 0.01644108030076913, 0.07911008877449138, 0.0771290153157245, 0.12676054225635192, 0.23225059099583095, 0.27342207223419984]","11_lag_ismPRjja, 1_lag_pdoSSTjfm, 1_lag_alpi, 9_lag_cetTSjfm, 7_lag_shSICmar, 1_lag_nppc2SSTjfm, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_mhfIP30, 1_lag_traIT_2405_1"
LinearRegression,6,10,pdoSSTjfm,shigh,1520.5,2005.5,0.6,21,1,1,9.589014849623359,0.6898321154838698,2535,"['11_lag_ismPRjja', '9_lag_cetTSjfm', '1_lag_pdoSSTjfm', '1_lag_alpi', '7_lag_shSICmar', '1_lag_nppc2SSTjfm', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_mhfIP30', '1_lag_traIT']","[0.03989309681129019, 0.07244716858238384, 0.6509739455740704, 0.05687584847979898, 0.015728024165172445, 0.07507956575203684, 0.08448986029755987, 0.12954914837353704, 0.22841892654018447, 0.26894697555721125]","11_lag_ismPRjja, 9_lag_cetTSjfm, 1_lag_pdoSSTjfm, 1_lag_alpi, 7_lag_shSICmar, 1_lag_nppc2SSTjfm, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_mhfIP30, 1_lag_traIT_2535_1"
LinearRegression,7,10,pdoSSTjfm,shigh,1521.5,2005.5,0.6,22,1,1,9.51075241199147,0.6869134405481532,2665,"['1_lag_tripol1', '21_lag_traEC', '7_lag_shSICmar', '1_lag_alpi', '1_lag_pdoSSTjfm', '1_lag_nppc2SSTjfm', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_mhfIP30', '1_lag_traIT']","[0.19786809148605686, 0.05492559695832361, 0.019501145125580575, 0.06726552523077314, 0.5037045940937074, 0.06766740531511545, 0.09763100889656048, 0.09947508515144332, 0.23712208183001096, 0.2623896796172126]","1_lag_tripol1, 21_lag_traEC, 7_lag_shSICmar, 1_lag_alpi, 1_lag_pdoSSTjfm, 1_lag_nppc2SSTjfm, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_mhfIP30, 1_lag_traIT_2665_1"
LinearRegression,8,10,pdoSSTjfm,shigh,1522.5,2005.5,0.6,23,1,1,9.819640437510381,0.6813685371403847,2795,"['21_lag_ismPRjja', '7_lag_shSICmar', '1_lag_pdoSSTjfm', '21_lag_traEC', '1_lag_nppc2SSTjfm', '1_lag_alpi', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_mhfIP30', '1_lag_traIT']","[0.02952607672889768, 0.023678761568736106, 0.6569083983930952, 0.046950294314921315, 0.06210211275209776, 0.06331073245605251, 0.08767445443322697, 0.11248938795665944, 0.2411666509494362, 0.2724239514412496]","21_lag_ismPRjja, 7_lag_shSICmar, 1_lag_pdoSSTjfm, 21_lag_traEC, 1_lag_nppc2SSTjfm, 1_lag_alpi, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_mhfIP30, 1_lag_traIT_2795_1"
LinearRegression,9,10,pdoSSTjfm,shigh,1523.5,2005.5,0.6,24,1,1,9.589549933090971,0.6947254589744034,2925,"['23_lag_wnorPRjfm', '21_lag_traEC', '7_lag_shSICmar', '1_lag_pdoSSTjfm', '1_lag_nppc2SSTjfm', '1_lag_alpi', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_mhfIP30', '1_lag_traIT']","[0.10370894644043843, 0.04918952770018176, 0.02328692078983067, 0.6441455057677573, 0.06945364692177372, 0.04954261476064967, 0.09408660539262395, 0.11808101106690551, 0.22536157257379802, 0.2546679520545676]","23_lag_wnorPRjfm, 21_lag_traEC, 7_lag_shSICmar, 1_lag_pdoSSTjfm, 1_lag_nppc2SSTjfm, 1_lag_alpi, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_mhfIP30, 1_lag_traIT_2925_1"
