model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,samPSLann,shigh,1714.5,2005.5,0.4,15,1,1,16.630124851357888,-0.0913069609375631,1755,"['1_lag_9_median_glTSjfm', '9_lag_samPSLann', '4_lag_solFORC', '1_lag_amo3', '5_lag_mhfATL45', '8_lag_nppc2SSTjfm', '11_lag_eurPSLjfm', '2_lag_stratZ50ndj02', '9_lag_ensoSSTjfm', '1_lag_14_median_traTLS']","[1.5692687638328469, 5.191780707110398, 4.439654576280859, 1.0253579782382047, 4.5814339588295745, 7.537025776856736, 1.6132959710719668, 0.8434907456300262, 4.426209487674917, 1.6259356710751245]","1_lag_9_median_glTSjfm, 9_lag_samPSLann, 4_lag_solFORC, 1_lag_amo3, 5_lag_mhfATL45, 8_lag_nppc2SSTjfm, 11_lag_eurPSLjfm, 2_lag_stratZ50ndj02, 9_lag_ensoSSTjfm, 1_lag_14_median_traTLS_1755_1"
LRforcedPSO,1,10,samPSLann,shigh,1715.5,2005.5,0.4,16,1,1,15.742092927429372,0.05806072388700816,1885,"['9_lag_shSICsep', '8_lag_naoPSLjfm', '4_lag_labSSTjfm', '12_lag_traFB', '4_lag_mhfIP30', '11_lag_shSICsep', '7_lag_traDP', '1_lag_15_median_ormenSSTjfm', '1_lag_6_median_mhfATL30', '4_lag_stratZ50ndj02']","[5.736016944372535, 5.7886233576040595, 1.3907732900415777, 4.006097414431766, 4.730129134577017, 0.4592402015835191, 0.8243520510889173, 2.5567102254390743, 3.4193363800583354, 2.051579798976901]","9_lag_shSICsep, 8_lag_naoPSLjfm, 4_lag_labSSTjfm, 12_lag_traFB, 4_lag_mhfIP30, 11_lag_shSICsep, 7_lag_traDP, 1_lag_15_median_ormenSSTjfm, 1_lag_6_median_mhfATL30, 4_lag_stratZ50ndj02_1885_1"
LRforcedPSO,2,10,samPSLann,shigh,1716.5,2005.5,0.4,17,1,1,16.18434619690881,-0.029100280706276953,2015,"['1_lag_shSICsep', '12_lag_traEU', '3_lag_labSSTjfm', '1_lag_stratZ50ndj03', '1_lag_6_median_mhfIP30', '1_lag_16_median_atlSICsep', '1_lag_2_median_solFORC', '14_lag_solFORC', '8_lag_seurTSjfm', '1_lag_3_median_traMC']","[1.9108735071121856, 0.397241353366347, 1.0084462476698235, 0.0857241964811788, 6.50662301416164, 0.7320927497197331, 0.9807970953680893, 2.138427840312758, 4.03869512579279, 3.2758376163244805]","1_lag_shSICsep, 12_lag_traEU, 3_lag_labSSTjfm, 1_lag_stratZ50ndj03, 1_lag_6_median_mhfIP30, 1_lag_16_median_atlSICsep, 1_lag_2_median_solFORC, 14_lag_solFORC, 8_lag_seurTSjfm, 1_lag_3_median_traMC_2015_1"
LRforcedPSO,3,10,samPSLann,shigh,1717.5,2005.5,0.4,18,1,1,17.448122135245146,-0.026000990495813066,2145,"['11_lag_wnorPRjfm', '14_lag_traMC', '1_lag_mhfATL30', '1_lag_3_median_alpi', '9_lag_stratZ50ndj02', '1_lag_ismPRjja', '14_lag_stratZ50ndj04', '3_lag_ensoSSTjfm', '1_lag_17_median_labSSTjfm', '1_lag_16_median_nhSICsep']","[4.688097101457909, 3.807672932404504, 5.774688305407906, 1.823446419960316, 3.13618346614541, 1.0093757135475379, 0.22091576884777808, 1.1684589076488106, 3.0186207730367336, 3.433901810699571]","11_lag_wnorPRjfm, 14_lag_traMC, 1_lag_mhfATL30, 1_lag_3_median_alpi, 9_lag_stratZ50ndj02, 1_lag_ismPRjja, 14_lag_stratZ50ndj04, 3_lag_ensoSSTjfm, 1_lag_17_median_labSSTjfm, 1_lag_16_median_nhSICsep_2145_1"
LRforcedPSO,4,10,samPSLann,shigh,1718.5,2005.5,0.4,19,1,1,19.415629859427998,0.038357389027469636,2275,"['1_lag_mhfATL60', '7_lag_mhfATL45', '1_lag_2_median_amo1', '1_lag_2_median_atlSICsep', '2_lag_ormenSSTjfm', '16_lag_scpPSLjfm', '1_lag_14_median_alpi', '1_lag_7_median_shSICmar', '1_lag_7_median_traBS', '1_lag_18_median_eapPSLjfm']","[3.307809132699795, 1.2393906756247492, 9.293024472512885, 9.767688110973145, 2.0221424796317606, 2.917488651231257, 6.199708046002225, 6.079332870099247, 6.181938546083437, 0.754398180835933]","1_lag_mhfATL60, 7_lag_mhfATL45, 1_lag_2_median_amo1, 1_lag_2_median_atlSICsep, 2_lag_ormenSSTjfm, 16_lag_scpPSLjfm, 1_lag_14_median_alpi, 1_lag_7_median_shSICmar, 1_lag_7_median_traBS, 1_lag_18_median_eapPSLjfm_2275_1"
LRforcedPSO,5,10,samPSLann,shigh,1719.5,2005.5,0.4,20,1,1,17.25657612072078,0.15168201396224687,2405,"['1_lag_3_median_arcTSjfm', '16_lag_nhTSjfm', '8_lag_traDP', '1_lag_19_median_nhSICsep', '7_lag_ismPRjja', '6_lag_mhfATL30', '1_lag_16_median_nhSICsep', '1_lag_12_median_seurTSjfm', '2_lag_traCA', '3_lag_labSSTjfm']","[9.456679438740528, 3.7603029437421505, 1.473705531561409, 3.7064451602212465, 1.5958172508467143, 0.18963527656394064, 7.972332151676644, 2.20249862822193, 7.005297697953987, 4.717816127505101]","1_lag_3_median_arcTSjfm, 16_lag_nhTSjfm, 8_lag_traDP, 1_lag_19_median_nhSICsep, 7_lag_ismPRjja, 6_lag_mhfATL30, 1_lag_16_median_nhSICsep, 1_lag_12_median_seurTSjfm, 2_lag_traCA, 3_lag_labSSTjfm_2405_1"
LRforcedPSO,6,10,samPSLann,shigh,1720.5,2005.5,0.4,21,1,1,18.083756116410218,-0.00031052815789141177,2535,"['16_lag_ensoSSTjfm', '1_lag_5_median_traFS', '11_lag_pdoSSTjfm', '20_lag_cetTSjfm', '1_lag_16_median_stratZ50ndj04', '8_lag_mhfATL45', '4_lag_traFS', '1_lag_15_median_mhfATL30', '1_lag_5_median_traEU', '2_lag_arcTSjfm']","[8.457194951342572, 1.522460186368411, 2.254770934314192, 0.14882262324140783, 3.507448480227726, 3.0173165131903446, 3.8729051342794936, 2.460012114381813, 4.306914942642475, 0.8280204872920045]","16_lag_ensoSSTjfm, 1_lag_5_median_traFS, 11_lag_pdoSSTjfm, 20_lag_cetTSjfm, 1_lag_16_median_stratZ50ndj04, 8_lag_mhfATL45, 4_lag_traFS, 1_lag_15_median_mhfATL30, 1_lag_5_median_traEU, 2_lag_arcTSjfm_2535_1"
LRforcedPSO,7,10,samPSLann,shigh,1721.5,2005.5,0.4,22,1,1,19.29806517376017,-0.016212970166943317,2665,"['1_lag_18_median_atlSICsep', '1_lag_10_median_mhfATL60', '1_lag_20_median_atlSICjfm', '5_lag_solFORC', '8_lag_traBO', '17_lag_stratZ50ndj02', '1_lag_21_median_traFB', '4_lag_mhfATL30', '1_lag_17_median_nppc3SSTjfm', '9_lag_nchinaPRjja']","[0.697988652286579, 4.939522844437608, 6.820702705986593, 0.01682393582722419, 1.8254863637744219, 7.570547634734265, 7.7687174373281564, 1.0119815620616617, 4.325002752826248, 2.271827882643251]","1_lag_18_median_atlSICsep, 1_lag_10_median_mhfATL60, 1_lag_20_median_atlSICjfm, 5_lag_solFORC, 8_lag_traBO, 17_lag_stratZ50ndj02, 1_lag_21_median_traFB, 4_lag_mhfATL30, 1_lag_17_median_nppc3SSTjfm, 9_lag_nchinaPRjja_2665_1"
LRforcedPSO,8,10,samPSLann,shigh,1722.5,2005.5,0.4,23,1,1,19.39456470362268,0.05601702208948038,2795,"['17_lag_traDP', '4_lag_stratZ50ndj03', '1_lag_5_median_wnorPRjfm', '9_lag_nchinaPRjja', '1_lag_17_median_mhfATL30', '1_lag_6_median_wnorPRjfm', '1_lag_17_median_nhTSjfm', '22_lag_stratZ50ndj01', '1_lag_21_median_traFSC', '21_lag_nchinaPRjja']","[3.4848820007925223, 2.846174578649123, 8.641935712488504, 0.4848563580755858, 4.65974973760321, 5.713475970615846, 1.4324829038959326, 0.30804640243795234, 5.3432831846403435, 6.627395049543856]","17_lag_traDP, 4_lag_stratZ50ndj03, 1_lag_5_median_wnorPRjfm, 9_lag_nchinaPRjja, 1_lag_17_median_mhfATL30, 1_lag_6_median_wnorPRjfm, 1_lag_17_median_nhTSjfm, 22_lag_stratZ50ndj01, 1_lag_21_median_traFSC, 21_lag_nchinaPRjja_2795_1"
LRforcedPSO,9,10,samPSLann,shigh,1723.5,2005.5,0.4,24,1,1,29.625637520677955,0.07053544205057974,2925,"['1_lag_20_median_nhTSjfm', '2_lag_traIT', '1_lag_7_median_solFORC', '1_lag_traEC', '1_lag_13_median_traFB', '1_lag_traIFC', '1_lag_12_median_amoSSTmjjaso', '16_lag_traDP', '7_lag_tripol3', '16_lag_mhfATL60']","[0.20367260607485882, 6.1413870645399875, 1.810277440662663, 2.386509155499999, 0.935218868907393, 2.956494691550418, 9.329018647206116, 3.26050122269149, 0.007257365628854373, 7.491832728442503]","1_lag_20_median_nhTSjfm, 2_lag_traIT, 1_lag_7_median_solFORC, 1_lag_traEC, 1_lag_13_median_traFB, 1_lag_traIFC, 1_lag_12_median_amoSSTmjjaso, 16_lag_traDP, 7_lag_tripol3, 16_lag_mhfATL60_2925_1"
