model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,samPSLann,shigh,866.5,2005.5,0.6,15,1,1,14.059794647702642,0.06011244768362959,1755,"['8_lag_cetTSjfm', '11_lag_traFS', '5_lag_stratZ50ndj01', '1_lag_cetTSjfm', '1_lag_neurTSjfm', '5_lag_satlSSTjfm']","[0.15580230997323422, 0.16858454942793075, 0.16755305927496442, 0.15627119007050197, 0.17130752622940396, 0.1804813650239647]","8_lag_cetTSjfm, 11_lag_traFS, 5_lag_stratZ50ndj01, 1_lag_cetTSjfm, 1_lag_neurTSjfm, 5_lag_satlSSTjfm_1755_1"
RandomForestRegressor,1,6,samPSLann,shigh,867.5,2005.5,0.6,16,1,1,14.050609501617812,0.05234059724830754,1885,"['7_lag_stratZ50ndj03', '11_lag_traFS', '15_lag_traBO', '1_lag_cetTSjfm', '1_lag_neurTSjfm', '5_lag_satlSSTjfm']","[0.17523562194797526, 0.17475564263763488, 0.16296084925015136, 0.14962703467116117, 0.17208969540548041, 0.165331156087597]","7_lag_stratZ50ndj03, 11_lag_traFS, 15_lag_traBO, 1_lag_cetTSjfm, 1_lag_neurTSjfm, 5_lag_satlSSTjfm_1885_1"
RandomForestRegressor,2,6,samPSLann,shigh,868.5,2005.5,0.6,17,1,1,13.90754951941483,0.06696534150347502,2015,"['7_lag_stratZ50ndj03', '11_lag_traFS', '1_lag_cetTSjfm', '15_lag_traBO', '1_lag_neurTSjfm', '5_lag_satlSSTjfm']","[0.17148413187145953, 0.180460487209919, 0.15723366940369893, 0.15358022182665168, 0.1724846575097128, 0.16475683217855797]","7_lag_stratZ50ndj03, 11_lag_traFS, 1_lag_cetTSjfm, 15_lag_traBO, 1_lag_neurTSjfm, 5_lag_satlSSTjfm_2015_1"
RandomForestRegressor,3,6,samPSLann,shigh,869.5,2005.5,0.6,18,1,1,13.876594270728349,0.05132402492226754,2145,"['5_lag_stratZ50ndj01', '7_lag_stratZ50ndj03', '1_lag_cetTSjfm', '15_lag_traBO', '1_lag_neurTSjfm', '5_lag_satlSSTjfm']","[0.160620492119898, 0.16348833930010181, 0.16392825140266065, 0.15923913165157155, 0.17463369857089242, 0.1780900869548755]","5_lag_stratZ50ndj01, 7_lag_stratZ50ndj03, 1_lag_cetTSjfm, 15_lag_traBO, 1_lag_neurTSjfm, 5_lag_satlSSTjfm_2145_1"
RandomForestRegressor,4,6,samPSLann,shigh,870.5,2005.5,0.6,19,1,1,13.787578006708603,0.0879253976453688,2275,"['5_lag_stratZ50ndj01', '1_lag_pdoSSTjfm', '1_lag_cetTSjfm', '15_lag_traBO', '1_lag_neurTSjfm', '5_lag_satlSSTjfm']","[0.15917472269038413, 0.16300251171337393, 0.16447720488207893, 0.158256682738148, 0.16699324071245464, 0.1880956372635604]","5_lag_stratZ50ndj01, 1_lag_pdoSSTjfm, 1_lag_cetTSjfm, 15_lag_traBO, 1_lag_neurTSjfm, 5_lag_satlSSTjfm_2275_1"
RandomForestRegressor,5,6,samPSLann,shigh,871.5,2005.5,0.6,20,1,1,13.79319864932223,0.09881819599522311,2405,"['5_lag_stratZ50ndj01', '1_lag_pdoSSTjfm', '15_lag_traBO', '1_lag_cetTSjfm', '1_lag_neurTSjfm', '5_lag_satlSSTjfm']","[0.15865015589970313, 0.16791293129759835, 0.1531406407589548, 0.16867272240258505, 0.15963312550745395, 0.19199042413370468]","5_lag_stratZ50ndj01, 1_lag_pdoSSTjfm, 15_lag_traBO, 1_lag_cetTSjfm, 1_lag_neurTSjfm, 5_lag_satlSSTjfm_2405_1"
RandomForestRegressor,6,6,samPSLann,shigh,872.5,2005.5,0.6,21,1,1,13.424329971188685,0.1749494713821499,2535,"['20_lag_cetTSjfm', '15_lag_traBO', '1_lag_cetTSjfm', '1_lag_pdoSSTjfm', '1_lag_neurTSjfm', '5_lag_satlSSTjfm']","[0.1690002606368736, 0.1544011508463464, 0.162071222604875, 0.17668080240949852, 0.16129697969339235, 0.17654958380901425]","20_lag_cetTSjfm, 15_lag_traBO, 1_lag_cetTSjfm, 1_lag_pdoSSTjfm, 1_lag_neurTSjfm, 5_lag_satlSSTjfm_2535_1"
RandomForestRegressor,7,6,samPSLann,shigh,873.5,2005.5,0.6,22,1,1,13.454735167070433,0.16550657149611858,2665,"['20_lag_cetTSjfm', '1_lag_cetTSjfm', '1_lag_pdoSSTjfm', '15_lag_traBO', '1_lag_neurTSjfm', '5_lag_satlSSTjfm']","[0.16012312548034568, 0.16244168754353805, 0.17442626295536265, 0.15567997806647837, 0.1626922521614077, 0.18463669379286757]","20_lag_cetTSjfm, 1_lag_cetTSjfm, 1_lag_pdoSSTjfm, 15_lag_traBO, 1_lag_neurTSjfm, 5_lag_satlSSTjfm_2665_1"
RandomForestRegressor,8,6,samPSLann,shigh,874.5,2005.5,0.6,23,1,1,13.578121316722257,0.11367174741922814,2795,"['15_lag_traBO', '1_lag_cetTSjfm', '1_lag_pdoSSTjfm', '1_lag_neurTSjfm', '22_lag_wnorPRjfm', '5_lag_satlSSTjfm']","[0.16002175942975008, 0.16605483647623603, 0.1619675404986111, 0.1535230495505738, 0.17672132412718666, 0.18171148991764235]","15_lag_traBO, 1_lag_cetTSjfm, 1_lag_pdoSSTjfm, 1_lag_neurTSjfm, 22_lag_wnorPRjfm, 5_lag_satlSSTjfm_2795_1"
RandomForestRegressor,9,6,samPSLann,shigh,875.5,2005.5,0.6,24,1,1,13.379741764353856,0.13056468687032646,2925,"['1_lag_pdoSSTjfm', '20_lag_cetTSjfm', '1_lag_cetTSjfm', '1_lag_neurTSjfm', '22_lag_wnorPRjfm', '5_lag_satlSSTjfm']","[0.1708399689149352, 0.14809612034305628, 0.1587910630896497, 0.1612159164374374, 0.17465488694347472, 0.18640204427144677]","1_lag_pdoSSTjfm, 20_lag_cetTSjfm, 1_lag_cetTSjfm, 1_lag_neurTSjfm, 22_lag_wnorPRjfm, 5_lag_satlSSTjfm_2925_1"
