model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,satlSSTjfm,shigh,866.5,2005.5,0.4,15,1,1,9.83793410582733,0.3301316964118412,1755,"['3_lag_stratZ50ndj03', '1_lag_traTLS', '10_lag_tripol3', '1_lag_13_median_shSICsep', '1_lag_5_median_tripol2', '3_lag_alpi']","[1.6496234038017388, 1.656404980355863, 1.6634915292851407, 2.1984054682928478, 2.195271550491256, 1.6500652238509095]","3_lag_stratZ50ndj03, 1_lag_traTLS, 10_lag_tripol3, 1_lag_13_median_shSICsep, 1_lag_5_median_tripol2, 3_lag_alpi_1755_1"
LRforcedPSO,1,6,satlSSTjfm,shigh,867.5,2005.5,0.4,16,1,1,9.697134092083267,0.5006399820630258,1885,"['1_lag_15_median_mhfATL30', '1_lag_13_median_nppc2SSTjfm', '2_lag_traBS', '1_lag_15_median_stratZ50ndj04', '1_lag_11_median_traWP', '14_lag_labSSTjfm']","[2.632359958965842, 2.6571883796174802, 3.561722152918419, 1.5492781101983901, 3.130899251782906, 0.7090302214680868]","1_lag_15_median_mhfATL30, 1_lag_13_median_nppc2SSTjfm, 2_lag_traBS, 1_lag_15_median_stratZ50ndj04, 1_lag_11_median_traWP, 14_lag_labSSTjfm_1885_1"
LRforcedPSO,2,6,satlSSTjfm,shigh,868.5,2005.5,0.4,17,1,1,10.364431596818111,0.3138300226239022,2015,"['1_lag_8_median_nppc3SSTjfm', '2_lag_traTLS', '7_lag_shTSjfm', '14_lag_traBS', '1_lag_5_median_nchinaPRjja', '10_lag_ensoSSTjfm']","[1.847740654558967, 3.4394278346899476, 0.9858869513444972, 0.2658704815936943, 0.2265391015821443, 2.6538217863748104]","1_lag_8_median_nppc3SSTjfm, 2_lag_traTLS, 7_lag_shTSjfm, 14_lag_traBS, 1_lag_5_median_nchinaPRjja, 10_lag_ensoSSTjfm_2015_1"
LRforcedPSO,3,6,satlSSTjfm,shigh,869.5,2005.5,0.4,18,1,1,10.541891127806188,0.12344848657064254,2145,"['17_lag_mhfATL60', '1_lag_13_median_tripol2', '10_lag_naoPSLjfm', '16_lag_naoPSLjfm', '2_lag_atlSICsep', '1_lag_16_median_atlSICjfm']","[1.8276224581366554, 2.061902106274941, 1.5947351438403092, 1.7308322315768043, 2.1260556222253717, 1.7289159826644926]","17_lag_mhfATL60, 1_lag_13_median_tripol2, 10_lag_naoPSLjfm, 16_lag_naoPSLjfm, 2_lag_atlSICsep, 1_lag_16_median_atlSICjfm_2145_1"
LRforcedPSO,4,6,satlSSTjfm,shigh,870.5,2005.5,0.4,19,1,1,10.820831568325787,0.17434603229426482,2275,"['1_lag_9_median_traEC', '1_lag_3_median_mhfATL30', '1_lag_4_median_nhTSjfm', '4_lag_ginwSSTjfm', '1_lag_9_median_solFORC', '1_lag_15_median_mhfATL30']","[0.07510997785257167, 2.3479625261657944, 1.1675829467174665, 1.5278873407057034, 1.7289941598033245, 0.3317149385902205]","1_lag_9_median_traEC, 1_lag_3_median_mhfATL30, 1_lag_4_median_nhTSjfm, 4_lag_ginwSSTjfm, 1_lag_9_median_solFORC, 1_lag_15_median_mhfATL30_2275_1"
LRforcedPSO,5,6,satlSSTjfm,shigh,871.5,2005.5,0.4,20,1,1,9.676362184242455,0.5141616093018696,2405,"['1_lag_3_median_neurTSjfm', '1_lag_19_median_traWP', '1_lag_5_median_stratZ50ndj04', '1_lag_18_median_traIFC', '9_lag_traFB', '12_lag_atlSICjfm']","[2.201846485922692, 2.9357857264683407, 2.7726094608709784, 2.201939324683608, 2.2020903989039624, 2.2024122208493337]","1_lag_3_median_neurTSjfm, 1_lag_19_median_traWP, 1_lag_5_median_stratZ50ndj04, 1_lag_18_median_traIFC, 9_lag_traFB, 12_lag_atlSICjfm_2405_1"
LRforcedPSO,6,6,satlSSTjfm,shigh,872.5,2005.5,0.4,21,1,1,11.10586712558973,0.39478373334845873,2535,"['1_lag_7_median_AMOCann', '2_lag_traIT', '13_lag_gyreSSTjfm', '1_lag_6_median_tripol3', '8_lag_eapPSLjfm', '18_lag_neurTSjfm']","[1.7854985005808934, 1.8625200461441784, 1.8674013430860996, 2.1286151735019616, 1.5964976283457855, 1.5964614414573808]","1_lag_7_median_AMOCann, 2_lag_traIT, 13_lag_gyreSSTjfm, 1_lag_6_median_tripol3, 8_lag_eapPSLjfm, 18_lag_neurTSjfm_2535_1"
LRforcedPSO,7,6,satlSSTjfm,shigh,873.5,2005.5,0.4,22,2,2,11.697851677696546,0.4171855898421241,2535,"['18_lag_samPSLann', '2_lag_19_median_tripol3', '2_lag_13_median_atlSICjfm', '20_lag_satlSSTjfm', '2_lag_6_median_pdoSSTjfm', '2_lag_19_median_stratZ50ndj03']","[0.2174717085586675, 6.489965150922121, 7.348648286313971, 2.627806256711782, 0.21893201046032473, 4.547172217084668]","18_lag_samPSLann, 2_lag_19_median_tripol3, 2_lag_13_median_atlSICjfm, 20_lag_satlSSTjfm, 2_lag_6_median_pdoSSTjfm, 2_lag_19_median_stratZ50ndj03_2535_2"
LRforcedPSO,8,6,satlSSTjfm,shigh,874.5,2005.5,0.4,23,3,3,9.637360800948091,0.41881509289094165,2535,"['3_lag_13_median_stratZ50ndj02', '17_lag_satlSSTjfm', '3_lag_8_median_tripol1', '3_lag_18_median_traEU', '17_lag_traIT', '3_lag_7_median_traEU']","[1.7700157515853654, 3.7394275720897348, 1.788102910342296, 2.1282665848139004, 0.2696392004391317, 0.4999279187365424]","3_lag_13_median_stratZ50ndj02, 17_lag_satlSSTjfm, 3_lag_8_median_tripol1, 3_lag_18_median_traEU, 17_lag_traIT, 3_lag_7_median_traEU_2535_3"
LRforcedPSO,9,6,satlSSTjfm,shigh,875.5,2005.5,0.4,24,4,4,8.985843830563091,0.5297803907071958,2535,"['9_lag_traCA', '4_lag_20_median_traBO', '6_lag_glomaSSTjfm', '4_lag_20_median_traEC', '17_lag_traFB', '4_lag_19_median_neurTSjfm']","[1.110896735507275, 4.4237334293099035, 6.6391843759528015, 0.8025720414818149, 3.2534433692914515, 1.2659249313684633]","9_lag_traCA, 4_lag_20_median_traBO, 6_lag_glomaSSTjfm, 4_lag_20_median_traEC, 17_lag_traFB, 4_lag_19_median_neurTSjfm_2535_4"
