model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,satlSSTjfm,shigh,1514.5,2005.5,0.8,15,1,4,15.791023150374265,0.47052939649858094,1755,"['12_lag_atlSICjfm', '13_lag_traEU', '4_lag_nppc2SSTjfm', '6_lag_tripol3', '14_lag_nhSICjfm', '12_lag_nppc3SSTjfm']","[0.06575098098595779, 0.0335546027710526, 0.0037698243624379613, 0.18524790133357075, 0.0687330573348123, 0.05293908918216375]","12_lag_atlSICjfm, 13_lag_traEU, 4_lag_nppc2SSTjfm, 6_lag_tripol3, 14_lag_nhSICjfm, 12_lag_nppc3SSTjfm_1755_4"
LinearRegression,1,6,satlSSTjfm,shigh,1515.5,2005.5,0.8,16,1,4,18.556239003420444,0.18275595515508616,1885,"['13_lag_satlSSTjfm', '6_lag_ismPRjja', '4_lag_nppc2SSTjfm', '15_lag_nhSICjfm', '15_lag_samPSLann', '12_lag_nppc3SSTjfm']","[0.07900246889137154, 0.01230253956078485, 0.019727449495483697, 0.030619207306399544, 0.03370273085048194, 0.06267117224797578]","13_lag_satlSSTjfm, 6_lag_ismPRjja, 4_lag_nppc2SSTjfm, 15_lag_nhSICjfm, 15_lag_samPSLann, 12_lag_nppc3SSTjfm_1885_4"
LinearRegression,2,6,satlSSTjfm,shigh,1516.5,2005.5,0.8,17,1,4,17.108526840022005,0.5181277469936608,2015,"['4_lag_nppc2SSTjfm', '6_lag_ismPRjja', '16_lag_tripol3', '4_lag_shSICmar', '15_lag_samPSLann', '12_lag_nppc3SSTjfm']","[0.0016848410089973923, 0.00024176891243700427, 0.11365947632221331, 0.13070164213130434, 0.041955391026543935, 0.0380808276516611]","4_lag_nppc2SSTjfm, 6_lag_ismPRjja, 16_lag_tripol3, 4_lag_shSICmar, 15_lag_samPSLann, 12_lag_nppc3SSTjfm_2015_4"
LinearRegression,3,6,satlSSTjfm,shigh,1517.5,2005.5,0.8,18,1,1,14.684886055626944,0.519182893962421,2145,"['17_lag_nchinaPRjja', '16_lag_tripol3', '1_lag_tripol3', '4_lag_shSICmar', '4_lag_nppc2SSTjfm', '12_lag_nppc3SSTjfm']","[0.10963199990732951, 0.10232588363318312, 0.19663502794722826, 0.11571591933050475, 0.013979585370931994, 0.03209616707171432]","17_lag_nchinaPRjja, 16_lag_tripol3, 1_lag_tripol3, 4_lag_shSICmar, 4_lag_nppc2SSTjfm, 12_lag_nppc3SSTjfm_2145_1"
LinearRegression,4,6,satlSSTjfm,shigh,1518.5,2005.5,0.8,19,1,4,16.592419736222812,0.3998242126675347,2275,"['6_lag_tripol3', '4_lag_nppc2SSTjfm', '4_lag_shSICmar', '15_lag_scpPSLjfm', '17_lag_nchinaPRjja', '12_lag_nppc3SSTjfm']","[0.15015133605175585, 0.015650668394092376, 0.11413412828887118, 0.06452078131652819, 0.09735121622990434, 0.04892651458886757]","6_lag_tripol3, 4_lag_nppc2SSTjfm, 4_lag_shSICmar, 15_lag_scpPSLjfm, 17_lag_nchinaPRjja, 12_lag_nppc3SSTjfm_2275_4"
LinearRegression,5,6,satlSSTjfm,shigh,1519.5,2005.5,0.8,20,1,4,18.21095336485882,0.2808889116087002,2405,"['17_lag_stratZ50ndj02', '6_lag_ismPRjja', '4_lag_shSICmar', '15_lag_scpPSLjfm', '17_lag_nchinaPRjja', '12_lag_nppc3SSTjfm']","[0.04746632478534314, 0.0033481439791813727, 0.1263642090707256, 0.06389661560602594, 0.10618147056039465, 0.05391552250883223]","17_lag_stratZ50ndj02, 6_lag_ismPRjja, 4_lag_shSICmar, 15_lag_scpPSLjfm, 17_lag_nchinaPRjja, 12_lag_nppc3SSTjfm_2405_4"
LinearRegression,6,6,satlSSTjfm,shigh,1520.5,2005.5,0.8,21,1,4,18.160995587085164,0.2972618320610143,2535,"['6_lag_ismPRjja', '13_lag_shSICmar', '4_lag_shSICmar', '15_lag_scpPSLjfm', '17_lag_nchinaPRjja', '12_lag_nppc3SSTjfm']","[0.005224090269637916, 0.023239615557438618, 0.12259765587716646, 0.06516008007486952, 0.10752763362152895, 0.05304651604886521]","6_lag_ismPRjja, 13_lag_shSICmar, 4_lag_shSICmar, 15_lag_scpPSLjfm, 17_lag_nchinaPRjja, 12_lag_nppc3SSTjfm_2535_4"
LinearRegression,7,6,satlSSTjfm,shigh,1521.5,2005.5,0.8,22,2,2,18.4479662582622,-0.02356020044219025,2535,"['21_lag_traBO', '15_lag_samPSLann', '2_lag_traIFC', '15_lag_scpPSLjfm', '12_lag_nppc3SSTjfm', '17_lag_nchinaPRjja']","[0.07091889686362429, 0.02364386678025126, 0.06912365014544118, 0.08042512654489836, 0.03611150154455424, 0.0960552530190733]","21_lag_traBO, 15_lag_samPSLann, 2_lag_traIFC, 15_lag_scpPSLjfm, 12_lag_nppc3SSTjfm, 17_lag_nchinaPRjja_2535_2"
LinearRegression,8,6,satlSSTjfm,shigh,1522.5,2005.5,0.8,23,3,11,19.03104378655093,0.23212316409074985,2535,"['21_lag_traBO', '21_lag_traFS', '11_lag_nchinaPRjja', '12_lag_shSICsep', '12_lag_nppc3SSTjfm', '17_lag_nchinaPRjja']","[0.03122396290600393, 0.05555439643728553, 0.018923017791013373, 0.04445893806600542, 0.055379890399359095, 0.0959292141376975]","21_lag_traBO, 21_lag_traFS, 11_lag_nchinaPRjja, 12_lag_shSICsep, 12_lag_nppc3SSTjfm, 17_lag_nchinaPRjja_2535_11"
LinearRegression,9,6,satlSSTjfm,shigh,1523.5,2005.5,0.8,24,4,10,18.943146745067956,0.24835148633672532,2535,"['11_lag_nchinaPRjja', '10_lag_stratZ50ndj02', '12_lag_nppc3SSTjfm', '21_lag_traFS', '12_lag_shSICsep', '17_lag_nchinaPRjja']","[0.015919924654543924, 0.05005210263408946, 0.055083011090943615, 0.07152232253089588, 0.04521037647429511, 0.0955208453600313]","11_lag_nchinaPRjja, 10_lag_stratZ50ndj02, 12_lag_nppc3SSTjfm, 21_lag_traFS, 12_lag_shSICsep, 17_lag_nchinaPRjja_2535_10"
