model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,seurTSjfm,shigh,866.5,2005.5,0.4,15,1,1,22.67428223183382,-0.006892570884458492,1755,"['1_lag_2_median_mhfATL60', '1_lag_10_median_cetTSjfm', '1_lag_2_median_naoPSLjfm', '10_lag_traFS', '1_lag_solFORC', '10_lag_AMOCann', '1_lag_4_median_traBS', '14_lag_traCA', '1_lag_11_median_yrvPRjja', '1_lag_9_median_traEU', '1_lag_9_median_nppc2SSTjfm', '1_lag_14_median_AMOCann', '9_lag_mhfATL60', '10_lag_eapPSLjfm', '1_lag_6_median_pdoSSTjfm', '14_lag_nppc3SSTjfm', '4_lag_shSICmar', '1_lag_10_median_alpi', '11_lag_shSICsep', '3_lag_traIFC', '10_lag_shTSjfm', '1_lag_eurPSLjfm', '10_lag_satlSSTjfm', '13_lag_amo3', '14_lag_traIT', '1_lag_7_median_tripol3', '7_lag_arcTSjfm', '2_lag_samPSLann', '14_lag_eapPSLjfm', '14_lag_amo1']","[4.357503986407584, 3.6199546478162823, 4.981717464641735, 1.9350628714573226, 3.4109828437263907, 9.396628447082524, 5.335008074087595, 1.376685947041338, 1.1673926472499438, 1.3893523631621996, 2.214990705694917, 6.351866016072593, 1.4151734131919564, 5.626068221003068, 2.5166125168541864, 9.195155403253485, 0.22032109401678035, 3.1545844627916164, 5.884710016168688, 2.6970906722268833, 2.3291367531609435, 5.081157339566628, 2.9603962795007055, 0.7666933771407596, 2.032072152079378, 4.660654243623295, 6.77322594388902, 6.817686954310296, 1.319234995968534, 1.482684107803987]","1_lag_2_median_mhfATL60, 1_lag_10_median_cetTSjfm, 1_lag_2_median_naoPSLjfm, 10_lag_traFS, 1_lag_solFORC, 10_lag_AMOCann, 1_lag_4_median_traBS, 14_lag_traCA, 1_lag_11_median_yrvPRjja, 1_lag_9_median_traEU, 1_lag_9_median_nppc2SSTjfm, 1_lag_14_median_AMOCann, 9_lag_mhfATL60, 10_lag_eapPSLjfm, 1_lag_6_median_pdoSSTjfm, 14_lag_nppc3SSTjfm, 4_lag_shSICmar, 1_lag_10_median_alpi, 11_lag_shSICsep, 3_lag_traIFC, 10_lag_shTSjfm, 1_lag_eurPSLjfm, 10_lag_satlSSTjfm, 13_lag_amo3, 14_lag_traIT, 1_lag_7_median_tripol3, 7_lag_arcTSjfm, 2_lag_samPSLann, 14_lag_eapPSLjfm, 14_lag_amo1_1755_1"
LRforcedPSO,1,30,seurTSjfm,shigh,867.5,2005.5,0.4,16,1,1,23.047651253470516,-0.011130397461875873,1885,"['1_lag_2_median_traWP', '7_lag_alpi', '15_lag_stratZ50ndj04', '2_lag_traBS', '1_lag_7_median_nppc2SSTjfm', '9_lag_ensoSSTjfm', '1_lag_7_median_traDP', '1_lag_13_median_eapPSLjfm', '4_lag_yrvPRjja', '1_lag_14_median_traFSC', '4_lag_stratZ50ndj01', '5_lag_traIT', '3_lag_traCA', '1_lag_4_median_tripol1', '1_lag_7_median_mhfATL45', '1_lag_6_median_satlSSTjfm', '11_lag_mhfATL60', '9_lag_amoSSTmjjaso', '1_lag_7_median_ginwSSTjfm', '1_lag_14_median_traFB', '1_lag_15_median_tripol2', '9_lag_tripol1', '5_lag_solFORC', '1_lag_12_median_samPSLann', '1_lag_11_median_traFB', '1_lag_10_median_stratZ50ndj02', '6_lag_tripol1', '1_lag_12_median_tripol2', '1_lag_3_median_yrvPRjja', '10_lag_traTLS']","[0.7429502460611896, 2.9133791208881865, 8.809699634982715, 0.5234739942484516, 9.122665484089637, 9.275239196174912, 0.8606215561706758, 6.263021805751144, 0.16337441423075028, 0.04883736609000877, 9.215110630376898, 1.2646098299096806, 2.9046111606648317, 3.8948597920907844, 2.2802648152743927, 3.7591731196659808, 3.2259621591468957, 1.4479889408239508, 0.8588918722295951, 4.935406201829641, 6.667999675309435, 9.048504338397365, 3.822261426423804, 0.9672082746371498, 3.7088617086855695, 3.8835373113480287, 3.6671578063129076, 2.6686922905570043, 7.878335275319472, 6.269249265216732]","1_lag_2_median_traWP, 7_lag_alpi, 15_lag_stratZ50ndj04, 2_lag_traBS, 1_lag_7_median_nppc2SSTjfm, 9_lag_ensoSSTjfm, 1_lag_7_median_traDP, 1_lag_13_median_eapPSLjfm, 4_lag_yrvPRjja, 1_lag_14_median_traFSC, 4_lag_stratZ50ndj01, 5_lag_traIT, 3_lag_traCA, 1_lag_4_median_tripol1, 1_lag_7_median_mhfATL45, 1_lag_6_median_satlSSTjfm, 11_lag_mhfATL60, 9_lag_amoSSTmjjaso, 1_lag_7_median_ginwSSTjfm, 1_lag_14_median_traFB, 1_lag_15_median_tripol2, 9_lag_tripol1, 5_lag_solFORC, 1_lag_12_median_samPSLann, 1_lag_11_median_traFB, 1_lag_10_median_stratZ50ndj02, 6_lag_tripol1, 1_lag_12_median_tripol2, 1_lag_3_median_yrvPRjja, 10_lag_traTLS_1885_1"
LRforcedPSO,2,30,seurTSjfm,shigh,868.5,2005.5,0.4,17,1,1,22.68357560132247,0.09732539316607008,2015,"['13_lag_nhTSjfm', '1_lag_2_median_seurTSjfm', '10_lag_atlSICsep', '7_lag_traFS', '1_lag_10_median_traFSC', '6_lag_ormenSSTjfm', '1_lag_16_median_traBO', '4_lag_traTLS', '1_lag_6_median_nchinaPRjja', '1_lag_16_median_tripol2', '6_lag_yrvPRjja', '11_lag_traDS', '1_lag_11_median_gyreSSTjfm', '3_lag_tripol1', '1_lag_4_median_traIFC', '4_lag_alpi', '1_lag_7_median_pdoSSTjfm', '10_lag_nhSICsep', '1_lag_pdoSSTjfm', '16_lag_nhSICjfm', '1_lag_11_median_traWP', '14_lag_traDS', '7_lag_stratZ50ndj04', '7_lag_stratZ50ndj03', '1_lag_14_median_traCA', '1_lag_13_median_traDS', '1_lag_3_median_stratZ50ndj02', '1_lag_5_median_tripol2', '5_lag_seurTSjfm', '1_lag_9_median_traFSC']","[1.5351372321064911, 6.590243891484116, 1.558040599312779, 5.052818380618684, 8.77596001792963, 6.471034670636907, 9.38756834841859, 3.8346196576085934, 2.5698183525687277, 6.724876449750511, 4.198922113621797, 4.234296516929906, 4.741731280255866, 2.4810841508509256, 0.5838501765045834, 4.700590543079006, 6.354271707511461, 1.4621610012769501, 1.1894334838680916, 8.615794966890903, 2.7876433706769665, 2.046065789816499, 0.16179737288829976, 2.8629672493235407, 5.233920182940926, 5.684640919573088, 6.7167488901256895, 2.3377991199742887, 2.4106044806552003, 1.161519026992618]","13_lag_nhTSjfm, 1_lag_2_median_seurTSjfm, 10_lag_atlSICsep, 7_lag_traFS, 1_lag_10_median_traFSC, 6_lag_ormenSSTjfm, 1_lag_16_median_traBO, 4_lag_traTLS, 1_lag_6_median_nchinaPRjja, 1_lag_16_median_tripol2, 6_lag_yrvPRjja, 11_lag_traDS, 1_lag_11_median_gyreSSTjfm, 3_lag_tripol1, 1_lag_4_median_traIFC, 4_lag_alpi, 1_lag_7_median_pdoSSTjfm, 10_lag_nhSICsep, 1_lag_pdoSSTjfm, 16_lag_nhSICjfm, 1_lag_11_median_traWP, 14_lag_traDS, 7_lag_stratZ50ndj04, 7_lag_stratZ50ndj03, 1_lag_14_median_traCA, 1_lag_13_median_traDS, 1_lag_3_median_stratZ50ndj02, 1_lag_5_median_tripol2, 5_lag_seurTSjfm, 1_lag_9_median_traFSC_2015_1"
LRforcedPSO,3,30,seurTSjfm,shigh,869.5,2005.5,0.4,18,1,1,20.532503378632338,0.18488246156353727,2145,"['1_lag_10_median_pdoSSTjfm', '4_lag_traIT', '1_lag_6_median_glTSjfm', '1_lag_8_median_stratZ50ndj04', '1_lag_11_median_wnorPRjfm', '1_lag_17_median_ismPRjja', '1_lag_3_median_glomaSSTjfm', '1_lag_9_median_naoPSLjfm', '1_lag_11_median_traMC', '1_lag_4_median_traFB', '14_lag_solFORC', '1_lag_16_median_alpi', '5_lag_stratZ50ndj02', '1_lag_5_median_amoSSTmjjaso', '13_lag_traFS', '1_lag_4_median_ensoSSTjfm', '11_lag_tripol1', '1_lag_8_median_seurTSjfm', '5_lag_nhTSjfm', '1_lag_9_median_traBS', '6_lag_pdoSSTjfm', '12_lag_solFORC', '7_lag_traDS', '1_lag_16_median_AMOCann', '1_lag_12_median_traTLS', '1_lag_10_median_traBO', '1_lag_8_median_tripol1', '17_lag_nppc2SSTjfm', '1_lag_glTSjfm', '1_lag_9_median_tripol3']","[3.6452989227574832, 3.961741931958551, 2.2146112521683285, 1.4881586898688148, 7.569741627210831, 7.041951583238957, 1.9880433020493786, 5.3514449005911535, 1.699520381928778, 8.28125551663463, 6.7710314659911175, 3.8391027184883857, 8.029215690476551, 6.842043428601293, 1.5546732985600293, 8.903907515742855, 4.657887254599867, 8.901456737641773, 2.044730493979209, 1.264706062481153, 3.3263652848569647, 5.315126211748961, 1.79539020767759, 3.308452469905097, 2.531103858668791, 4.608966142868017, 8.83199090938892, 6.144966400503748, 2.428783372354925, 6.146152759509981]","1_lag_10_median_pdoSSTjfm, 4_lag_traIT, 1_lag_6_median_glTSjfm, 1_lag_8_median_stratZ50ndj04, 1_lag_11_median_wnorPRjfm, 1_lag_17_median_ismPRjja, 1_lag_3_median_glomaSSTjfm, 1_lag_9_median_naoPSLjfm, 1_lag_11_median_traMC, 1_lag_4_median_traFB, 14_lag_solFORC, 1_lag_16_median_alpi, 5_lag_stratZ50ndj02, 1_lag_5_median_amoSSTmjjaso, 13_lag_traFS, 1_lag_4_median_ensoSSTjfm, 11_lag_tripol1, 1_lag_8_median_seurTSjfm, 5_lag_nhTSjfm, 1_lag_9_median_traBS, 6_lag_pdoSSTjfm, 12_lag_solFORC, 7_lag_traDS, 1_lag_16_median_AMOCann, 1_lag_12_median_traTLS, 1_lag_10_median_traBO, 1_lag_8_median_tripol1, 17_lag_nppc2SSTjfm, 1_lag_glTSjfm, 1_lag_9_median_tripol3_2145_1"
LRforcedPSO,4,30,seurTSjfm,shigh,870.5,2005.5,0.4,19,1,1,23.085471726156285,-0.01242988154597456,2275,"['1_lag_11_median_traBS', '1_lag_traTLS', '5_lag_yrvPRjja', '10_lag_nppc2SSTjfm', '1_lag_2_median_pdoSSTjfm', '13_lag_stratZ50ndj03', '1_lag_amo1', '18_lag_traBS', '7_lag_traFS', '1_lag_10_median_stratZ50ndj03', '3_lag_neurTSjfm', '1_lag_2_median_samPSLann', '5_lag_stratZ50ndj02', '1_lag_2_median_traFS', '15_lag_mhfATL30', '13_lag_traFSC', '1_lag_14_median_shSICmar', '7_lag_yrvPRjja', '1_lag_6_median_mhfATL30', '1_lag_16_median_yrvPRjja', '1_lag_13_median_nhTSjfm', '5_lag_traEC', '8_lag_alpi', '6_lag_traBS', '1_lag_12_median_eurPSLjfm', '7_lag_satlSSTjfm', '9_lag_nchinaPRjja', '1_lag_2_median_neurTSjfm', '1_lag_4_median_mhfATL45', '2_lag_stratZ50ndj01']","[1.1908080669197503, 4.248622023509952, 6.350204833209425, 4.5204270935032795, 0.5503149804419838, 2.6633650373439046, 7.4589604915398695, 2.2409432024234714, 3.884755628614565, 6.7770233974934495, 2.0010293088782127, 1.7626607359604147, 0.7759696443648227, 6.37892396029796, 2.949480898399255, 0.13804544539884667, 2.883433865723619, 8.808334461840452, 5.279112221171358, 8.606695043630118, 6.423695695843694, 4.741477345468663, 1.2526979344265392, 0.21226332625003863, 0.1644349084043526, 8.384242155513167, 4.825722308807037, 3.357977326771813, 0.38886859461066514, 4.605240696152128]","1_lag_11_median_traBS, 1_lag_traTLS, 5_lag_yrvPRjja, 10_lag_nppc2SSTjfm, 1_lag_2_median_pdoSSTjfm, 13_lag_stratZ50ndj03, 1_lag_amo1, 18_lag_traBS, 7_lag_traFS, 1_lag_10_median_stratZ50ndj03, 3_lag_neurTSjfm, 1_lag_2_median_samPSLann, 5_lag_stratZ50ndj02, 1_lag_2_median_traFS, 15_lag_mhfATL30, 13_lag_traFSC, 1_lag_14_median_shSICmar, 7_lag_yrvPRjja, 1_lag_6_median_mhfATL30, 1_lag_16_median_yrvPRjja, 1_lag_13_median_nhTSjfm, 5_lag_traEC, 8_lag_alpi, 6_lag_traBS, 1_lag_12_median_eurPSLjfm, 7_lag_satlSSTjfm, 9_lag_nchinaPRjja, 1_lag_2_median_neurTSjfm, 1_lag_4_median_mhfATL45, 2_lag_stratZ50ndj01_2275_1"
LRforcedPSO,5,30,seurTSjfm,shigh,871.5,2005.5,0.4,20,1,1,21.426250459966557,-0.0825369239358008,2405,"['12_lag_glomaSSTjfm', '11_lag_ismPRjja', '1_lag_3_median_scpPSLjfm', '1_lag_15_median_nhSICsep', '3_lag_ormenSSTjfm', '15_lag_stratZ50ndj02', '15_lag_traFSC', '1_lag_11_median_shSICmar', '1_lag_11_median_nhTSjfm', '1_lag_8_median_traDS', '1_lag_19_median_traEC', '1_lag_11_median_naoPSLjfm', '1_lag_9_median_amoSSTmjjaso', '11_lag_scpPSLjfm', '9_lag_stratZ50ndj04', '1_lag_12_median_amo3', '6_lag_traEC', '18_lag_glomaSSTjfm', '17_lag_amo3', '1_lag_14_median_nhSICjfm', '19_lag_samPSLann', '13_lag_nppc2SSTjfm', '1_lag_16_median_arcTSjfm', '19_lag_amo1', '1_lag_18_median_amoSSTmjjaso', '14_lag_amo2', '19_lag_labSSTjfm', '14_lag_amo1', '1_lag_2_median_stratZ50ndj01', '1_lag_8_median_atlSICjfm']","[9.176804083740642, 3.1700853474428996, 0.6210376312177424, 1.6148534030939903, 0.5632262959812255, 0.60455858368789, 2.2489903405324974, 3.933545099129237, 2.516082077598927, 0.5740725195247727, 4.821704557247893, 5.41980589782651, 6.459775427687443, 0.049083530139634846, 5.084531362448416, 4.853905237554354, 2.727371768928071, 1.3008213739996695, 0.3715663205839732, 4.99550948394079, 1.6538388297810762, 4.655633528422005, 3.4422414985765304, 6.8433405014378845, 8.195650581314315, 5.4053733242749225, 1.4345203980757564, 2.308368629472156, 6.125402095344807, 7.31904991586285]","12_lag_glomaSSTjfm, 11_lag_ismPRjja, 1_lag_3_median_scpPSLjfm, 1_lag_15_median_nhSICsep, 3_lag_ormenSSTjfm, 15_lag_stratZ50ndj02, 15_lag_traFSC, 1_lag_11_median_shSICmar, 1_lag_11_median_nhTSjfm, 1_lag_8_median_traDS, 1_lag_19_median_traEC, 1_lag_11_median_naoPSLjfm, 1_lag_9_median_amoSSTmjjaso, 11_lag_scpPSLjfm, 9_lag_stratZ50ndj04, 1_lag_12_median_amo3, 6_lag_traEC, 18_lag_glomaSSTjfm, 17_lag_amo3, 1_lag_14_median_nhSICjfm, 19_lag_samPSLann, 13_lag_nppc2SSTjfm, 1_lag_16_median_arcTSjfm, 19_lag_amo1, 1_lag_18_median_amoSSTmjjaso, 14_lag_amo2, 19_lag_labSSTjfm, 14_lag_amo1, 1_lag_2_median_stratZ50ndj01, 1_lag_8_median_atlSICjfm_2405_1"
LRforcedPSO,6,30,seurTSjfm,shigh,872.5,2005.5,0.4,21,1,1,28.42751958501207,0.11821091518271626,2535,"['8_lag_labSSTjfm', '20_lag_mhfATL45', '1_lag_14_median_traTLS', '2_lag_traIFC', '1_lag_19_median_nppc3SSTjfm', '1_lag_15_median_stratZ50ndj03', '1_lag_8_median_cetTSjfm', '1_lag_6_median_atlSICsep', '1_lag_10_median_ormenSSTjfm', '1_lag_20_median_traTLS', '1_lag_2_median_scpPSLjfm', '15_lag_nhSICjfm', '1_lag_20_median_traFS', '1_lag_10_median_seurTSjfm', '15_lag_naoPSLjfm', '6_lag_shSICsep', '15_lag_traDS', '19_lag_mhfIP30', '6_lag_stratZ50ndj04', '1_lag_9_median_ormenSSTjfm', '5_lag_ormenSSTjfm', '1_lag_7_median_nppc2SSTjfm', '12_lag_pdoSSTjfm', '1_lag_4_median_eapPSLjfm', '1_lag_9_median_traEC', '1_lag_4_median_ginwSSTjfm', '1_lag_6_median_eapPSLjfm', '1_lag_15_median_atlSICsep', '2_lag_seurTSjfm', '1_lag_13_median_ormenSSTjfm']","[4.789118127094831, 7.649667134841021, 8.808869664481527, 0.038573009128983315, 3.5163417679873135, 9.552444634435698, 2.9375465961557516, 4.72885761332196, 7.891237469423043, 4.694673173776325, 1.771226845533782, 9.633777149727765, 8.783651342004354, 5.116853267094275, 0.29666184483421887, 5.867212442730551, 8.244499847122665, 3.5470389807575398, 1.0834233699280187, 8.02956840862301, 7.063607260916274, 0.22331646993927912, 1.5300304609236086, 5.57422849565693, 2.960560027827233, 1.5380239242972031, 3.570790273346791, 4.703691866907684, 9.131639171432385, 0.6728279381181128]","8_lag_labSSTjfm, 20_lag_mhfATL45, 1_lag_14_median_traTLS, 2_lag_traIFC, 1_lag_19_median_nppc3SSTjfm, 1_lag_15_median_stratZ50ndj03, 1_lag_8_median_cetTSjfm, 1_lag_6_median_atlSICsep, 1_lag_10_median_ormenSSTjfm, 1_lag_20_median_traTLS, 1_lag_2_median_scpPSLjfm, 15_lag_nhSICjfm, 1_lag_20_median_traFS, 1_lag_10_median_seurTSjfm, 15_lag_naoPSLjfm, 6_lag_shSICsep, 15_lag_traDS, 19_lag_mhfIP30, 6_lag_stratZ50ndj04, 1_lag_9_median_ormenSSTjfm, 5_lag_ormenSSTjfm, 1_lag_7_median_nppc2SSTjfm, 12_lag_pdoSSTjfm, 1_lag_4_median_eapPSLjfm, 1_lag_9_median_traEC, 1_lag_4_median_ginwSSTjfm, 1_lag_6_median_eapPSLjfm, 1_lag_15_median_atlSICsep, 2_lag_seurTSjfm, 1_lag_13_median_ormenSSTjfm_2535_1"
LRforcedPSO,7,30,seurTSjfm,shigh,873.5,2005.5,0.4,22,1,1,22.00024963985523,0.09809866994059149,2665,"['1_lag_13_median_atlSICjfm', '1_lag_7_median_neurTSjfm', '1_lag_21_median_labSSTjfm', '6_lag_samPSLann', '10_lag_eurPSLjfm', '19_lag_amo1', '13_lag_shSICmar', '1_lag_9_median_ismPRjja', '10_lag_amo2', '1_lag_11_median_stratZ50ndj02', '11_lag_traFB', '17_lag_shSICmar', '1_lag_6_median_stratZ50ndj02', '4_lag_stratZ50ndj04', '1_lag_20_median_nhTSjfm', '1_lag_17_median_atlSICjfm', '17_lag_traBO', '12_lag_shSICmar', '1_lag_16_median_shSICmar', '20_lag_stratZ50ndj01', '1_lag_17_median_tripol3', '1_lag_16_median_glTSjfm', '1_lag_11_median_neurTSjfm', '1_lag_4_median_traWP', '1_lag_21_median_ginwSSTjfm', '1_lag_5_median_AMOCann', '1_lag_6_median_wnorPRjfm', '7_lag_arcTSjfm', '12_lag_nppc2SSTjfm', '9_lag_wnorPRjfm']","[1.2127461092311336, 5.465835382103991, 3.604963422443932, 6.835479094027047, 2.8728606212201377, 1.3671648359680404, 2.8685527587695514, 8.09211656110399, 0.43142826246146804, 5.736609155392031, 3.0990154157321275, 4.185526583708197, 1.420227625906783, 1.1371363531262233, 5.360214227368109, 9.375065729572263, 4.18443937317207, 5.2779139071640575, 0.902886366090474, 0.151844224554063, 9.253449382999907, 8.224338470339136, 4.941875173901053, 1.1220927687426023, 6.181008061797693, 1.9771270932737455, 0.35759935320837855, 4.680453065680084, 8.045373688484084, 5.037447192550339]","1_lag_13_median_atlSICjfm, 1_lag_7_median_neurTSjfm, 1_lag_21_median_labSSTjfm, 6_lag_samPSLann, 10_lag_eurPSLjfm, 19_lag_amo1, 13_lag_shSICmar, 1_lag_9_median_ismPRjja, 10_lag_amo2, 1_lag_11_median_stratZ50ndj02, 11_lag_traFB, 17_lag_shSICmar, 1_lag_6_median_stratZ50ndj02, 4_lag_stratZ50ndj04, 1_lag_20_median_nhTSjfm, 1_lag_17_median_atlSICjfm, 17_lag_traBO, 12_lag_shSICmar, 1_lag_16_median_shSICmar, 20_lag_stratZ50ndj01, 1_lag_17_median_tripol3, 1_lag_16_median_glTSjfm, 1_lag_11_median_neurTSjfm, 1_lag_4_median_traWP, 1_lag_21_median_ginwSSTjfm, 1_lag_5_median_AMOCann, 1_lag_6_median_wnorPRjfm, 7_lag_arcTSjfm, 12_lag_nppc2SSTjfm, 9_lag_wnorPRjfm_2665_1"
LRforcedPSO,8,30,seurTSjfm,shigh,874.5,2005.5,0.4,23,1,1,19.941441755962483,0.035683622433168895,2795,"['1_lag_8_median_naoPSLjfm', '1_lag_12_median_stratZ50ndj02', '19_lag_tripol2', '3_lag_gyreSSTjfm', '1_lag_12_median_nppc3SSTjfm', '14_lag_nchinaPRjja', '1_lag_6_median_nhSICsep', '9_lag_naoPSLjfm', '1_lag_22_median_eurPSLjfm', '1_lag_3_median_stratZ50ndj02', '1_lag_ormenSSTjfm', '1_lag_17_median_ensoSSTjfm', '9_lag_nhSICjfm', '1_lag_14_median_mhfIP30', '11_lag_amo2', '1_lag_14_median_ormenSSTjfm', '1_lag_17_median_traEC', '1_lag_11_median_satlSSTjfm', '20_lag_traDP', '22_lag_traFS', '1_lag_22_median_nchinaPRjja', '17_lag_traCA', '7_lag_mhfIP30', '1_lag_7_median_amo3', '18_lag_traTLS', '22_lag_mhfIP30', '12_lag_shTSjfm', '20_lag_mhfIP30', '2_lag_atlSICsep', '1_lag_11_median_naoPSLjfm']","[1.7852971775217963, 5.234537093652174, 0.19100818044464418, 9.355266340337208, 7.656615169607601, 0.6172708372474371, 6.601739576797531, 4.822780335428547, 1.9834548569532924, 1.1101444856653746, 4.409793145620835, 2.028751531346389, 6.0612871285821175, 3.865788861197526, 2.789265525085618, 7.465151749201667, 6.0626174447782955, 8.806874707061375, 6.7563116963671135, 1.3030000843217255, 0.9178479769927961, 2.429748531948624, 2.126500776040203, 6.368365411168941, 3.756375132157088, 0.8705170057459846, 7.3665772003500525, 3.4218886582859076, 0.564776030119658, 5.017913303539153]","1_lag_8_median_naoPSLjfm, 1_lag_12_median_stratZ50ndj02, 19_lag_tripol2, 3_lag_gyreSSTjfm, 1_lag_12_median_nppc3SSTjfm, 14_lag_nchinaPRjja, 1_lag_6_median_nhSICsep, 9_lag_naoPSLjfm, 1_lag_22_median_eurPSLjfm, 1_lag_3_median_stratZ50ndj02, 1_lag_ormenSSTjfm, 1_lag_17_median_ensoSSTjfm, 9_lag_nhSICjfm, 1_lag_14_median_mhfIP30, 11_lag_amo2, 1_lag_14_median_ormenSSTjfm, 1_lag_17_median_traEC, 1_lag_11_median_satlSSTjfm, 20_lag_traDP, 22_lag_traFS, 1_lag_22_median_nchinaPRjja, 17_lag_traCA, 7_lag_mhfIP30, 1_lag_7_median_amo3, 18_lag_traTLS, 22_lag_mhfIP30, 12_lag_shTSjfm, 20_lag_mhfIP30, 2_lag_atlSICsep, 1_lag_11_median_naoPSLjfm_2795_1"
LRforcedPSO,9,30,seurTSjfm,shigh,875.5,2005.5,0.4,24,1,1,24.409891882906972,0.00941021399081168,2925,"['1_lag_14_median_mhfATL45', '2_lag_solFORC', '1_lag_22_median_mhfATL60', '1_lag_11_median_mhfIP30', '1_lag_4_median_nppc3SSTjfm', '1_lag_amoSSTmjjaso', '1_lag_17_median_nchinaPRjja', '1_lag_19_median_traIFC', '17_lag_samPSLann', '1_lag_shSICsep', '9_lag_ensoSSTjfm', '6_lag_scpPSLjfm', '18_lag_arcTSjfm', '9_lag_traDS', '1_lag_7_median_satlSSTjfm', '1_lag_22_median_traMC', '1_lag_alpi', '5_lag_shSICmar', '21_lag_mhfATL45', '17_lag_atlSICjfm', '18_lag_traWP', '1_lag_naoPSLjfm', '1_lag_5_median_nppc2SSTjfm', '17_lag_tripol1', '5_lag_traFSC', '1_lag_17_median_stratZ50ndj04', '1_lag_4_median_traEC', '1_lag_11_median_neurTSjfm', '1_lag_satlSSTjfm', '12_lag_shSICsep']","[3.615906303938985, 1.8665259408658468, 3.0458057328584616, 2.8479609921595745, 8.285703024222265, 4.420850530938489, 3.8985560285770777, 9.694352454373291, 9.9759423774855, 8.861248185627616, 2.889955598946119, 2.9919292811621734, 7.646921910840561, 4.512807790424951, 4.411289564313494, 4.289377133627966, 4.856013776140317, 2.4611799316542786, 7.638016855941037, 1.0521893452303708, 0.3711847866576985, 4.276186243158886, 0.9152391959686028, 3.3221260078652257, 9.68750289312345, 7.097488161159635, 2.9751139977676804, 7.01110263938056, 3.662843491358454, 5.095512204601482]","1_lag_14_median_mhfATL45, 2_lag_solFORC, 1_lag_22_median_mhfATL60, 1_lag_11_median_mhfIP30, 1_lag_4_median_nppc3SSTjfm, 1_lag_amoSSTmjjaso, 1_lag_17_median_nchinaPRjja, 1_lag_19_median_traIFC, 17_lag_samPSLann, 1_lag_shSICsep, 9_lag_ensoSSTjfm, 6_lag_scpPSLjfm, 18_lag_arcTSjfm, 9_lag_traDS, 1_lag_7_median_satlSSTjfm, 1_lag_22_median_traMC, 1_lag_alpi, 5_lag_shSICmar, 21_lag_mhfATL45, 17_lag_atlSICjfm, 18_lag_traWP, 1_lag_naoPSLjfm, 1_lag_5_median_nppc2SSTjfm, 17_lag_tripol1, 5_lag_traFSC, 1_lag_17_median_stratZ50ndj04, 1_lag_4_median_traEC, 1_lag_11_median_neurTSjfm, 1_lag_satlSSTjfm, 12_lag_shSICsep_2925_1"
