model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,seurTSjfm,shigh,866.5,2005.5,0.4,15,1,1,12.036786452436033,0.13733096415865798,1755,"['6_lag_traEU', '8_lag_traIFC', '6_lag_labSSTjfm', '7_lag_scpPSLjfm', '1_lag_nhSICsep', '7_lag_seurTSjfm', '1_lag_atlSICsep', '4_lag_traEC', '3_lag_traFB', '9_lag_mhfATL60', '3_lag_traBS', '1_lag_traWP', '1_lag_6_median_alpi', '1_lag_4_median_alpi', '1_lag_AMOCann', '1_lag_eapPSLjfm', '5_lag_traEC', '6_lag_stratZ50ndj02', '5_lag_scpPSLjfm', '7_lag_traEC', '1_lag_tripol3', '8_lag_traWP', '10_lag_ismPRjja', '12_lag_traFB', '7_lag_mhfATL30', '12_lag_nhSICsep', '6_lag_traWP', '9_lag_nppc3SSTjfm', '4_lag_shSICmar', '1_lag_seurTSjfm']","[0.1144247070541812, 0.024710508243289103, 0.005886539361605987, 0.0018780172117328464, 0.13490412581519312, 0.012299976037161448, 0.09695329840594148, 0.023242340598471, 0.06640139624178314, 0.11068518134497282, 0.1214798834084212, 0.06960873803850129, 0.09740640705862987, 0.17464783956097382, 0.15733476416546974, 0.1140341908736054, 0.03300580995498548, 0.059702549573054764, 0.021102927428261017, 0.08104586667030611, 0.05893298086228131, 0.10643026764435952, 0.05214519010033579, 0.06538273214954964, 0.03617908426748925, 0.0918672331541388, 0.011097172475884485, 0.09536383870965433, 0.09416903740222496, 0.03735975263035184]","6_lag_traEU, 8_lag_traIFC, 6_lag_labSSTjfm, 7_lag_scpPSLjfm, 1_lag_nhSICsep, 7_lag_seurTSjfm, 1_lag_atlSICsep, 4_lag_traEC, 3_lag_traFB, 9_lag_mhfATL60, 3_lag_traBS, 1_lag_traWP, 1_lag_6_median_alpi, 1_lag_4_median_alpi, 1_lag_AMOCann, 1_lag_eapPSLjfm, 5_lag_traEC, 6_lag_stratZ50ndj02, 5_lag_scpPSLjfm, 7_lag_traEC, 1_lag_tripol3, 8_lag_traWP, 10_lag_ismPRjja, 12_lag_traFB, 7_lag_mhfATL30, 12_lag_nhSICsep, 6_lag_traWP, 9_lag_nppc3SSTjfm, 4_lag_shSICmar, 1_lag_seurTSjfm_1755_1"
LinearRegression,1,30,seurTSjfm,shigh,867.5,2005.5,0.4,16,1,1,12.138596034050375,0.15760710748632967,1885,"['1_lag_atlSICsep', '5_lag_traEC', '1_lag_AMOCann', '8_lag_traIFC', '6_lag_traEU', '3_lag_traTLS', '1_lag_nhSICsep', '8_lag_traWP', '1_lag_6_median_alpi', '7_lag_traEC', '7_lag_seurTSjfm', '1_lag_tripol3', '6_lag_ormenSSTjfm', '15_lag_traMC', '15_lag_shSICmar', '6_lag_stratZ50ndj02', '15_lag_stratZ50ndj04', '15_lag_traBS', '1_lag_traWP', '1_lag_eapPSLjfm', '7_lag_scpPSLjfm', '10_lag_ismPRjja', '12_lag_traFB', '12_lag_nhSICsep', '5_lag_scpPSLjfm', '9_lag_nppc3SSTjfm', '6_lag_traWP', '7_lag_mhfATL30', '4_lag_shSICmar', '1_lag_seurTSjfm']","[0.08668425474094604, 0.030111813365476615, 0.16037437362143417, 0.06184433146979115, 0.1307243943631173, 0.02757233222922952, 0.15272303866915327, 0.1568557269561452, 0.05885490066128456, 0.07100794878041099, 0.05560397494054543, 0.06584420646575741, 0.15531492286988297, 0.07910823612501984, 0.08400094504905622, 0.06245279317945141, 0.03086499041840063, 0.09760908304994756, 0.06256041582081714, 0.1104114452305241, 0.018062796843261238, 0.07006665841133952, 0.06038252152104869, 0.11880128539899303, 0.0018128364554641301, 0.08451173146196833, 0.005907288617295448, 0.03512225993198704, 0.12480650656446396, 0.036094250866090645]","1_lag_atlSICsep, 5_lag_traEC, 1_lag_AMOCann, 8_lag_traIFC, 6_lag_traEU, 3_lag_traTLS, 1_lag_nhSICsep, 8_lag_traWP, 1_lag_6_median_alpi, 7_lag_traEC, 7_lag_seurTSjfm, 1_lag_tripol3, 6_lag_ormenSSTjfm, 15_lag_traMC, 15_lag_shSICmar, 6_lag_stratZ50ndj02, 15_lag_stratZ50ndj04, 15_lag_traBS, 1_lag_traWP, 1_lag_eapPSLjfm, 7_lag_scpPSLjfm, 10_lag_ismPRjja, 12_lag_traFB, 12_lag_nhSICsep, 5_lag_scpPSLjfm, 9_lag_nppc3SSTjfm, 6_lag_traWP, 7_lag_mhfATL30, 4_lag_shSICmar, 1_lag_seurTSjfm_1885_1"
LinearRegression,2,30,seurTSjfm,shigh,868.5,2005.5,0.4,17,1,1,12.099203304744988,0.1568172874374833,2015,"['1_lag_nhTSjfm', '15_lag_traBS', '1_lag_stratZ50ndj03', '6_lag_ormenSSTjfm', '15_lag_ismPRjja', '11_lag_wnorPRjfm', '1_lag_6_median_alpi', '15_lag_traTLS', '6_lag_stratZ50ndj02', '8_lag_traIFC', '12_lag_nhSICsep', '12_lag_traFB', '6_lag_traEU', '9_lag_stratZ50ndj03', '5_lag_scpPSLjfm', '9_lag_nppc3SSTjfm', '7_lag_mhfATL30', '1_lag_eapPSLjfm', '16_lag_nhSICsep', '1_lag_traWP', '1_lag_4_median_alpi', '8_lag_traWP', '16_lag_traFSC', '7_lag_scpPSLjfm', '7_lag_traEC', '6_lag_traWP', '15_lag_shSICmar', '16_lag_scpPSLjfm', '4_lag_shSICmar', '1_lag_seurTSjfm']","[0.16623335148468474, 0.11064982873506381, 0.05671727524290606, 0.12585776905217738, 0.004499009106377629, 0.008578028798373681, 0.05927616019377173, 0.07312500435119046, 0.05353104171192678, 0.05284637734364454, 0.07523478508952426, 0.0887274456733392, 0.11464717124753208, 0.05013697408562082, 0.009412883238325728, 0.11515471871814087, 0.017164177853834676, 0.07585927348084555, 0.064480773930333, 0.08882708667678768, 0.17936010751901882, 0.13589877865476874, 0.0661035956184242, 0.025155022833352185, 0.108266683610997, 0.0363367494752081, 0.063077099516686, 0.018884963768889547, 0.14279025585598443, 0.04549276701380035]","1_lag_nhTSjfm, 15_lag_traBS, 1_lag_stratZ50ndj03, 6_lag_ormenSSTjfm, 15_lag_ismPRjja, 11_lag_wnorPRjfm, 1_lag_6_median_alpi, 15_lag_traTLS, 6_lag_stratZ50ndj02, 8_lag_traIFC, 12_lag_nhSICsep, 12_lag_traFB, 6_lag_traEU, 9_lag_stratZ50ndj03, 5_lag_scpPSLjfm, 9_lag_nppc3SSTjfm, 7_lag_mhfATL30, 1_lag_eapPSLjfm, 16_lag_nhSICsep, 1_lag_traWP, 1_lag_4_median_alpi, 8_lag_traWP, 16_lag_traFSC, 7_lag_scpPSLjfm, 7_lag_traEC, 6_lag_traWP, 15_lag_shSICmar, 16_lag_scpPSLjfm, 4_lag_shSICmar, 1_lag_seurTSjfm_2015_1"
LinearRegression,3,30,seurTSjfm,shigh,869.5,2005.5,0.4,18,1,1,12.462700460005872,0.100268154443714,2145,"['1_lag_6_median_alpi', '1_lag_stratZ50ndj03', '8_lag_scpPSLjfm', '9_lag_eurPSLjfm', '15_lag_traTLS', '9_lag_nppc3SSTjfm', '16_lag_traFSC', '9_lag_traIFC', '1_lag_tripol3', '17_lag_arcTSjfm', '8_lag_traIFC', '5_lag_scpPSLjfm', '6_lag_stratZ50ndj02', '6_lag_traEU', '17_lag_scpPSLjfm', '9_lag_stratZ50ndj03', '7_lag_mhfATL30', '16_lag_scpPSLjfm', '16_lag_stratZ50ndj03', '8_lag_traWP', '1_lag_traWP', '1_lag_eapPSLjfm', '7_lag_traEC', '7_lag_scpPSLjfm', '1_lag_4_median_alpi', '6_lag_traWP', '15_lag_shSICmar', '4_lag_shSICmar', '17_lag_shSICmar', '1_lag_seurTSjfm']","[0.09616279068827321, 0.08141776589346647, 0.005587341414216508, 0.0841940352274527, 0.07571347943240171, 0.11327110156689348, 0.08969756115770477, 0.09910349274896711, 0.09920534078556117, 0.09785906333494081, 0.04051247844926119, 0.01586163329455036, 0.039264016747131814, 0.11201307811618136, 0.007013465704828127, 0.07443883925607014, 0.01410663219646913, 0.00016606377919420497, 0.13706572698942993, 0.12094361692795058, 0.03513582774771978, 0.10424722437904292, 0.09615034019289381, 0.015122756201054329, 0.21311058691562895, 0.06620542638985247, 0.14419840570250564, 0.12621921335951836, 0.14106063456157053, 0.033843469754509914]","1_lag_6_median_alpi, 1_lag_stratZ50ndj03, 8_lag_scpPSLjfm, 9_lag_eurPSLjfm, 15_lag_traTLS, 9_lag_nppc3SSTjfm, 16_lag_traFSC, 9_lag_traIFC, 1_lag_tripol3, 17_lag_arcTSjfm, 8_lag_traIFC, 5_lag_scpPSLjfm, 6_lag_stratZ50ndj02, 6_lag_traEU, 17_lag_scpPSLjfm, 9_lag_stratZ50ndj03, 7_lag_mhfATL30, 16_lag_scpPSLjfm, 16_lag_stratZ50ndj03, 8_lag_traWP, 1_lag_traWP, 1_lag_eapPSLjfm, 7_lag_traEC, 7_lag_scpPSLjfm, 1_lag_4_median_alpi, 6_lag_traWP, 15_lag_shSICmar, 4_lag_shSICmar, 17_lag_shSICmar, 1_lag_seurTSjfm_2145_1"
LinearRegression,4,30,seurTSjfm,shigh,870.5,2005.5,0.4,19,1,1,12.443124126524378,0.09662818587317833,2275,"['8_lag_traFSC', '17_lag_scpPSLjfm', '5_lag_scpPSLjfm', '4_lag_nppc3SSTjfm', '4_lag_stratZ50ndj02', '15_lag_shSICmar', '15_lag_traTLS', '15_lag_mhfIP30', '18_lag_traBS', '1_lag_tripol3', '1_lag_stratZ50ndj03', '6_lag_traEU', '9_lag_traIFC', '8_lag_traIFC', '9_lag_nppc3SSTjfm', '8_lag_traWP', '16_lag_traFSC', '1_lag_traWP', '7_lag_mhfATL30', '4_lag_shSICmar', '16_lag_scpPSLjfm', '1_lag_4_median_alpi', '9_lag_stratZ50ndj03', '16_lag_stratZ50ndj03', '7_lag_scpPSLjfm', '7_lag_traEC', '6_lag_traWP', '17_lag_shSICmar', '1_lag_eapPSLjfm', '1_lag_seurTSjfm']","[0.099231371752426, 0.011182556938704818, 0.006168338260072416, 0.01984235987808196, 0.033236685206099834, 0.1416344610073996, 0.07716301901839036, 0.07207566605044552, 0.06466238399518166, 0.10419725734634375, 0.05203465073931717, 0.1176247304070049, 0.11415395771553101, 0.06148805886440213, 0.12304556818525213, 0.17426659546258538, 0.08538810901893268, 0.029940333126019965, 0.01978985943619275, 0.13443701188961762, 0.004637681621707508, 0.14560595828504797, 0.07292391485912107, 0.16052991813800796, 0.02210757631026074, 0.10483614434107702, 0.054571849646677176, 0.14350781740962967, 0.08193776232631379, 0.0027570262670915165]","8_lag_traFSC, 17_lag_scpPSLjfm, 5_lag_scpPSLjfm, 4_lag_nppc3SSTjfm, 4_lag_stratZ50ndj02, 15_lag_shSICmar, 15_lag_traTLS, 15_lag_mhfIP30, 18_lag_traBS, 1_lag_tripol3, 1_lag_stratZ50ndj03, 6_lag_traEU, 9_lag_traIFC, 8_lag_traIFC, 9_lag_nppc3SSTjfm, 8_lag_traWP, 16_lag_traFSC, 1_lag_traWP, 7_lag_mhfATL30, 4_lag_shSICmar, 16_lag_scpPSLjfm, 1_lag_4_median_alpi, 9_lag_stratZ50ndj03, 16_lag_stratZ50ndj03, 7_lag_scpPSLjfm, 7_lag_traEC, 6_lag_traWP, 17_lag_shSICmar, 1_lag_eapPSLjfm, 1_lag_seurTSjfm_2275_1"
LinearRegression,5,30,seurTSjfm,shigh,871.5,2005.5,0.4,20,1,1,12.638408081509867,0.07893505324876893,2405,"['19_lag_traIFC', '15_lag_mhfIP30', '1_lag_stratZ50ndj03', '12_lag_traDS', '1_lag_nhSICsep', '8_lag_traFSC', '5_lag_scpPSLjfm', '4_lag_shSICmar', '16_lag_stratZ50ndj03', '17_lag_arcTSjfm', '9_lag_nppc3SSTjfm', '4_lag_stratZ50ndj02', '9_lag_stratZ50ndj03', '16_lag_traFSC', '6_lag_traEU', '7_lag_mhfATL30', '16_lag_scpPSLjfm', '9_lag_traIFC', '1_lag_traWP', '4_lag_nppc3SSTjfm', '1_lag_4_median_alpi', '8_lag_traWP', '7_lag_traEC', '18_lag_traBS', '7_lag_scpPSLjfm', '17_lag_shSICmar', '8_lag_traIFC', '6_lag_traWP', '1_lag_eapPSLjfm', '1_lag_seurTSjfm']","[0.07509013249239987, 0.09858159188475053, 0.04358403469062527, 0.03314848367132351, 0.16100439942994993, 0.07448350093316236, 0.007364536343323157, 0.0858655283811683, 0.14086987949363247, 0.08597054104958766, 0.12992379989705358, 0.006753670210592995, 0.07916361380634737, 0.11210795634029475, 0.12644513942507407, 0.02166026443208933, 0.030618037427032736, 0.1051786563639751, 0.04784078120902273, 0.044761142694143975, 0.15495335472941757, 0.16370576475824303, 0.10462386692198081, 0.06657887365449416, 0.004409032022433305, 0.09694407631269687, 0.061355612935436725, 0.04005314770704987, 0.026941557811086612, 0.056803481222978354]","19_lag_traIFC, 15_lag_mhfIP30, 1_lag_stratZ50ndj03, 12_lag_traDS, 1_lag_nhSICsep, 8_lag_traFSC, 5_lag_scpPSLjfm, 4_lag_shSICmar, 16_lag_stratZ50ndj03, 17_lag_arcTSjfm, 9_lag_nppc3SSTjfm, 4_lag_stratZ50ndj02, 9_lag_stratZ50ndj03, 16_lag_traFSC, 6_lag_traEU, 7_lag_mhfATL30, 16_lag_scpPSLjfm, 9_lag_traIFC, 1_lag_traWP, 4_lag_nppc3SSTjfm, 1_lag_4_median_alpi, 8_lag_traWP, 7_lag_traEC, 18_lag_traBS, 7_lag_scpPSLjfm, 17_lag_shSICmar, 8_lag_traIFC, 6_lag_traWP, 1_lag_eapPSLjfm, 1_lag_seurTSjfm_2405_1"
LinearRegression,6,30,seurTSjfm,shigh,872.5,2005.5,0.4,21,1,1,12.562677774870878,0.09099124555482782,2535,"['1_lag_nchinaPRjja', '19_lag_traIFC', '9_lag_nppc3SSTjfm', '1_lag_tripol3', '3_lag_stratZ50ndj03', '1_lag_4_median_arcTSjfm', '16_lag_traFSC', '9_lag_traIFC', '15_lag_traMC', '5_lag_scpPSLjfm', '9_lag_stratZ50ndj03', '4_lag_stratZ50ndj02', '7_lag_scpPSLjfm', '17_lag_arcTSjfm', '17_lag_shSICmar', '1_lag_nhSICsep', '4_lag_nppc3SSTjfm', '16_lag_scpPSLjfm', '8_lag_traWP', '7_lag_mhfATL30', '7_lag_traEC', '6_lag_traEU', '6_lag_traWP', '1_lag_4_median_alpi', '18_lag_traBS', '20_lag_traIT', '8_lag_traIFC', '20_lag_traBS', '1_lag_eapPSLjfm', '1_lag_seurTSjfm']","[0.07352836001240083, 0.11139494619253487, 0.11787557111963701, 0.08443301796637954, 0.02788003033108325, 0.14771359645717766, 0.11892186997898599, 0.09270765355485983, 0.0455167529928068, 0.05876652301964144, 0.08100576300764645, 0.01816066416353752, 0.00349766682711746, 0.10812814934575402, 0.10456541237585643, 0.11133183554343935, 0.06537584854342755, 0.030333603370315432, 0.11442032053978374, 0.04295800818749841, 0.06728170251985587, 0.11096627902118643, 0.037399872926482745, 0.1250049709697639, 0.08922734711067723, 0.06761918234657352, 0.0610260358505883, 0.06390592143872066, 0.029744060169313056, 0.05895719525263954]","1_lag_nchinaPRjja, 19_lag_traIFC, 9_lag_nppc3SSTjfm, 1_lag_tripol3, 3_lag_stratZ50ndj03, 1_lag_4_median_arcTSjfm, 16_lag_traFSC, 9_lag_traIFC, 15_lag_traMC, 5_lag_scpPSLjfm, 9_lag_stratZ50ndj03, 4_lag_stratZ50ndj02, 7_lag_scpPSLjfm, 17_lag_arcTSjfm, 17_lag_shSICmar, 1_lag_nhSICsep, 4_lag_nppc3SSTjfm, 16_lag_scpPSLjfm, 8_lag_traWP, 7_lag_mhfATL30, 7_lag_traEC, 6_lag_traEU, 6_lag_traWP, 1_lag_4_median_alpi, 18_lag_traBS, 20_lag_traIT, 8_lag_traIFC, 20_lag_traBS, 1_lag_eapPSLjfm, 1_lag_seurTSjfm_2535_1"
LinearRegression,7,30,seurTSjfm,shigh,873.5,2005.5,0.4,22,2,4,12.278454969134515,-0.03254447418081383,2535,"['12_lag_traIFC', '21_lag_mhfATL45', '12_lag_traDS', '8_lag_traWP', '19_lag_mhfATL60', '8_lag_traFSC', '9_lag_ismPRjja', '17_lag_shSICmar', '17_lag_arcTSjfm', '21_lag_nchinaPRjja', '4_lag_nppc3SSTjfm', '16_lag_traBO', '13_lag_traBS', '9_lag_stratZ50ndj03', '21_lag_traEC', '8_lag_traEU', '7_lag_mhfATL30', '15_lag_traMC', '11_lag_traIFC', '12_lag_traFB', '21_lag_mhfATL30', '12_lag_traBS', '8_lag_traIFC', '19_lag_nhSICsep', '6_lag_traEU', '14_lag_traWP', '18_lag_traBS', '6_lag_traWP', '9_lag_traIFC', '20_lag_traBS']","[0.08647040588871407, 0.037069750920420155, 0.08186200021477598, 0.12527590542297895, 0.006378830658158154, 0.09750640172068664, 0.007625198211863051, 0.0931857909669475, 0.08397774572341482, 0.039767055831880095, 0.05683827180665366, 0.08051258291436217, 0.016582446408205415, 0.0536304317802074, 0.04017457628584537, 0.04013195668525311, 0.06927297729736322, 0.03327656920090843, 0.003947871142935155, 0.08945782777241462, 0.10041430754704274, 0.03333428746974425, 0.050748262132875345, 0.0937778781692721, 0.10890862159051634, 0.0014713920945971025, 0.08397367344284878, 0.060634151346913814, 0.1226096657345023, 0.04600819809583889]","12_lag_traIFC, 21_lag_mhfATL45, 12_lag_traDS, 8_lag_traWP, 19_lag_mhfATL60, 8_lag_traFSC, 9_lag_ismPRjja, 17_lag_shSICmar, 17_lag_arcTSjfm, 21_lag_nchinaPRjja, 4_lag_nppc3SSTjfm, 16_lag_traBO, 13_lag_traBS, 9_lag_stratZ50ndj03, 21_lag_traEC, 8_lag_traEU, 7_lag_mhfATL30, 15_lag_traMC, 11_lag_traIFC, 12_lag_traFB, 21_lag_mhfATL30, 12_lag_traBS, 8_lag_traIFC, 19_lag_nhSICsep, 6_lag_traEU, 14_lag_traWP, 18_lag_traBS, 6_lag_traWP, 9_lag_traIFC, 20_lag_traBS_2535_4"
LinearRegression,8,30,seurTSjfm,shigh,874.5,2005.5,0.4,23,3,3,12.466950154666076,0.013567912068853421,2535,"['19_lag_mhfATL60', '16_lag_stratZ50ndj03', '6_lag_shSICsep', '15_lag_yrvPRjja', '16_lag_traBO', '21_lag_mhfATL45', '15_lag_traBS', '15_lag_shSICmar', '12_lag_traBS', '10_lag_ismPRjja', '19_lag_nhSICsep', '20_lag_mhfATL30', '9_lag_eurPSLjfm', '7_lag_ginwSSTjfm', '6_lag_traEU', '8_lag_traIFC', '8_lag_traEU', '11_lag_traIFC', '9_lag_traIFC', '8_lag_traFSC', '11_lag_satlSSTjfm', '18_lag_traBS', '6_lag_traWP', '20_lag_traBS', '3_lag_stratZ50ndj01', '7_lag_mhfATL30', '3_lag_stratZ50ndj03', '12_lag_traFB', '15_lag_traMC', '14_lag_traWP']","[0.0181992758841095, 0.12228304802831116, 0.06740868495178588, 0.08191157535044237, 0.08700882307497125, 0.061950182316765245, 0.13703786562530668, 0.07369023222036854, 0.0321109965204806, 0.033048020354547215, 0.08347828950100046, 0.07867205109922272, 0.0739624692349513, 0.005770442685790287, 0.1169387082617624, 0.05045481027113452, 0.01551612911900558, 0.0020319759374886996, 0.12267419472986109, 0.0460470321306131, 0.009990172515213055, 0.07349715262243557, 0.06756332836377187, 0.047982777957681966, 0.09480683836584404, 0.03319848066318996, 0.017434637217282306, 0.06813807297014401, 0.07927087180782678, 0.01272634976535441]","19_lag_mhfATL60, 16_lag_stratZ50ndj03, 6_lag_shSICsep, 15_lag_yrvPRjja, 16_lag_traBO, 21_lag_mhfATL45, 15_lag_traBS, 15_lag_shSICmar, 12_lag_traBS, 10_lag_ismPRjja, 19_lag_nhSICsep, 20_lag_mhfATL30, 9_lag_eurPSLjfm, 7_lag_ginwSSTjfm, 6_lag_traEU, 8_lag_traIFC, 8_lag_traEU, 11_lag_traIFC, 9_lag_traIFC, 8_lag_traFSC, 11_lag_satlSSTjfm, 18_lag_traBS, 6_lag_traWP, 20_lag_traBS, 3_lag_stratZ50ndj01, 7_lag_mhfATL30, 3_lag_stratZ50ndj03, 12_lag_traFB, 15_lag_traMC, 14_lag_traWP_2535_3"
LinearRegression,9,30,seurTSjfm,shigh,875.5,2005.5,0.4,24,4,4,12.220857748319233,-0.008400740500899367,2535,"['11_lag_neurTSjfm', '23_lag_nhSICsep', '11_lag_satlSSTjfm', '17_lag_arcTSjfm', '12_lag_traBS', '4_lag_nchinaPRjja', '18_lag_samPSLann', '4_lag_shSICmar', '15_lag_traEC', '15_lag_mhfIP30', '9_lag_traIFC', '4_lag_stratZ50ndj02', '19_lag_seurTSjfm', '15_lag_shSICmar', '19_lag_nhSICsep', '15_lag_traWP', '4_lag_nppc3SSTjfm', '20_lag_traBS', '8_lag_traEU', '8_lag_traIFC', '14_lag_traWP', '15_lag_traMC', '17_lag_shSICmar', '20_lag_mhfATL30', '23_lag_stratZ50ndj02', '12_lag_traFB', '9_lag_eapPSLjfm', '6_lag_traWP', '7_lag_mhfATL30', '18_lag_traBS']","[0.054500095851960105, 0.06976037234592598, 0.03996448666245618, 0.0979575232684558, 0.058283497338184755, 0.024965270205212456, 0.06860243121343955, 0.04611096293088772, 0.061329034516915536, 0.11551399847045624, 0.08674295576096286, 0.023343930082043357, 0.018067507358254863, 0.08298769228489847, 0.08774771586081594, 0.047469672977158234, 0.026628818554604573, 0.05554659409586729, 0.03709226769083181, 0.03962045178327578, 0.015761141931116107, 0.025868711578685356, 0.12053587803071449, 0.03735151412805361, 0.040068854407409274, 0.09144199935096214, 0.03806947820808167, 0.05134342721822767, 0.001620642492955987, 0.11633452728278566]","11_lag_neurTSjfm, 23_lag_nhSICsep, 11_lag_satlSSTjfm, 17_lag_arcTSjfm, 12_lag_traBS, 4_lag_nchinaPRjja, 18_lag_samPSLann, 4_lag_shSICmar, 15_lag_traEC, 15_lag_mhfIP30, 9_lag_traIFC, 4_lag_stratZ50ndj02, 19_lag_seurTSjfm, 15_lag_shSICmar, 19_lag_nhSICsep, 15_lag_traWP, 4_lag_nppc3SSTjfm, 20_lag_traBS, 8_lag_traEU, 8_lag_traIFC, 14_lag_traWP, 15_lag_traMC, 17_lag_shSICmar, 20_lag_mhfATL30, 23_lag_stratZ50ndj02, 12_lag_traFB, 9_lag_eapPSLjfm, 6_lag_traWP, 7_lag_mhfATL30, 18_lag_traBS_2535_4"
