model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,shSICmar,shigh,866.5,2005.5,0.8,15,1,1,15.833372147562729,0.2084244218034655,594,"['10_lag_nppc2SSTjfm', '9_lag_eapPSLjfm', '8_lag_eapPSLjfm', '1_lag_3_median_nhSICsep', '5_lag_amo3', '1_lag_11_median_amo2', '1_lag_2_median_shSICsep', '12_lag_shSICsep', '1_lag_10_median_atlSICjfm', '5_lag_solFORC']","[5.41061264463335, 0.8395110661520313, 1.4129768551596644, 6.1026684036493055, 7.2810794714677085, 6.3645346642972855, 2.6868649019646327, 1.4132745106655058, 7.430088714340108, 2.174955991016553]","10_lag_nppc2SSTjfm, 9_lag_eapPSLjfm, 8_lag_eapPSLjfm, 1_lag_3_median_nhSICsep, 5_lag_amo3, 1_lag_11_median_amo2, 1_lag_2_median_shSICsep, 12_lag_shSICsep, 1_lag_10_median_atlSICjfm, 5_lag_solFORC_594_1"
LRforcedPSO,1,10,shSICmar,shigh,867.5,2005.5,0.8,16,1,1,20.61241912866831,-0.06299421837972403,638,"['2_lag_stratZ50ndj03', '1_lag_8_median_nhSICjfm', '8_lag_stratZ50ndj03', '11_lag_stratZ50ndj03', '1_lag_5_median_solFORC', '4_lag_atlSICsep', '1_lag_15_median_naoPSLjfm', '9_lag_stratZ50ndj03', '10_lag_eapPSLjfm', '2_lag_nhSICsep']","[0.2177534097814, 4.082382505201165, 1.1807542421976613, 0.2835748844708412, 4.810238725702504, 8.941536437093031, 1.7824559088692915, 6.458343514681339, 2.8223062941876904, 2.56762757324533]","2_lag_stratZ50ndj03, 1_lag_8_median_nhSICjfm, 8_lag_stratZ50ndj03, 11_lag_stratZ50ndj03, 1_lag_5_median_solFORC, 4_lag_atlSICsep, 1_lag_15_median_naoPSLjfm, 9_lag_stratZ50ndj03, 10_lag_eapPSLjfm, 2_lag_nhSICsep_638_1"
LRforcedPSO,2,10,shSICmar,shigh,868.5,2005.5,0.8,17,1,1,16.896591700540867,0.09805264426946267,682,"['15_lag_eurPSLjfm', '1_lag_16_median_naoPSLjfm', '1_lag_14_median_stratZ50ndj02', '1_lag_4_median_solFORC', '11_lag_shSICmar', '8_lag_naoPSLjfm', '1_lag_15_median_amoSSTjfm', '3_lag_shSICmar', '1_lag_9_median_stratZ50ndj03', '1_lag_atlSICsep']","[0.8417515872434471, 2.2090014333273222, 3.0582511558375387, 2.261771734024789, 2.2039767151213763, 3.856084946446529, 8.089197851707006, 7.096227884130954, 0.6625685478026, 5.242699086520965]","15_lag_eurPSLjfm, 1_lag_16_median_naoPSLjfm, 1_lag_14_median_stratZ50ndj02, 1_lag_4_median_solFORC, 11_lag_shSICmar, 8_lag_naoPSLjfm, 1_lag_15_median_amoSSTjfm, 3_lag_shSICmar, 1_lag_9_median_stratZ50ndj03, 1_lag_atlSICsep_682_1"
LRforcedPSO,3,10,shSICmar,shigh,869.5,2005.5,0.8,18,1,1,15.217582144836095,0.0825086580896649,726,"['5_lag_stratZ50ndj03', '1_lag_13_median_stratZ50ndj04', '1_lag_10_median_amo2', '3_lag_shSICmar', '1_lag_14_median_stratZ50ndj02', '13_lag_atlSICsep', '14_lag_amoSSTjfm', '17_lag_naoPSLjfm', '1_lag_2_median_amoSSTjfm', '11_lag_AMOCann']","[0.15455670002924649, 0.434206602210395, 4.187950568259364, 3.491575989035532, 4.014964170985246, 1.5303048334633473, 1.3824253607116752, 6.797163260451164, 2.204569427686941, 4.2348500988574305]","5_lag_stratZ50ndj03, 1_lag_13_median_stratZ50ndj04, 1_lag_10_median_amo2, 3_lag_shSICmar, 1_lag_14_median_stratZ50ndj02, 13_lag_atlSICsep, 14_lag_amoSSTjfm, 17_lag_naoPSLjfm, 1_lag_2_median_amoSSTjfm, 11_lag_AMOCann_726_1"
LRforcedPSO,4,10,shSICmar,shigh,870.5,2005.5,0.8,19,1,1,16.256552272052616,0.36962401793828115,770,"['13_lag_stratZ50ndj03', '11_lag_shSICmar', '7_lag_stratZ50ndj03', '6_lag_scpPSLjfm', '13_lag_AMOCann', '3_lag_amo1', '10_lag_stratZ50ndj02', '1_lag_7_median_shSICmar', '1_lag_4_median_nppc2SSTjfm', '14_lag_solFORC']","[0.36802774884800726, 0.4006724246801632, 4.532543966304159, 1.8119368619657443, 3.6716609604894916, 0.743168000112826, 2.506674986006063, 8.730579898207388, 0.5353753767723255, 5.703196181993675]","13_lag_stratZ50ndj03, 11_lag_shSICmar, 7_lag_stratZ50ndj03, 6_lag_scpPSLjfm, 13_lag_AMOCann, 3_lag_amo1, 10_lag_stratZ50ndj02, 1_lag_7_median_shSICmar, 1_lag_4_median_nppc2SSTjfm, 14_lag_solFORC_770_1"
LRforcedPSO,5,10,shSICmar,shigh,871.5,2005.5,0.8,20,1,1,16.107374683241318,0.06965014151266334,814,"['1_lag_shSICsep', '1_lag_9_median_atlSICsep', '7_lag_scpPSLjfm', '18_lag_nhSICsep', '9_lag_stratZ50ndj03', '5_lag_solFORC', '1_lag_19_median_eapPSLjfm', '1_lag_2_median_amo2', '8_lag_eurPSLjfm', '1_lag_19_median_amoSSTmjjaso']","[7.592989091888146, 0.39032298342615235, 3.086250641905308, 3.0249096412835925, 3.537234174339863, 4.9384743401549125, 4.443697176068795, 2.050118421723937, 1.888608052702505, 4.015921217813499]","1_lag_shSICsep, 1_lag_9_median_atlSICsep, 7_lag_scpPSLjfm, 18_lag_nhSICsep, 9_lag_stratZ50ndj03, 5_lag_solFORC, 1_lag_19_median_eapPSLjfm, 1_lag_2_median_amo2, 8_lag_eurPSLjfm, 1_lag_19_median_amoSSTmjjaso_814_1"
LRforcedPSO,6,10,shSICmar,shigh,872.5,2005.5,0.8,21,1,1,19.394908095092863,0.11836099640327637,858,"['7_lag_scpPSLjfm', '11_lag_shSICsep', '9_lag_stratZ50ndj03', '7_lag_amo2', '1_lag_20_median_nppc2SSTjfm', '1_lag_2_median_atlSICjfm', '1_lag_13_median_solFORC', '1_lag_10_median_nppc2SSTjfm', '1_lag_16_median_solFORC', '14_lag_eapPSLjfm']","[2.567378411544494, 1.1670983802751227, 1.8646181201024632, 6.932210969336905, 2.308114074059646, 1.5202890494147923, 6.827228537680146, 2.9157267011558545, 6.619429690197887, 6.791156929631292]","7_lag_scpPSLjfm, 11_lag_shSICsep, 9_lag_stratZ50ndj03, 7_lag_amo2, 1_lag_20_median_nppc2SSTjfm, 1_lag_2_median_atlSICjfm, 1_lag_13_median_solFORC, 1_lag_10_median_nppc2SSTjfm, 1_lag_16_median_solFORC, 14_lag_eapPSLjfm_858_1"
LRforcedPSO,7,10,shSICmar,shigh,873.5,2005.5,0.8,22,1,1,18.357431987751237,-0.0632043926029289,902,"['15_lag_nhSICjfm', '1_lag_4_median_atlSICsep', '11_lag_amo3', '9_lag_amo2', '18_lag_nhSICjfm', '1_lag_6_median_amo1', '1_lag_3_median_AMOCann', '1_lag_7_median_eapPSLjfm', '1_lag_9_median_stratZ50ndj02', '16_lag_atlSICjfm']","[4.460335959807087, 4.425411190744308, 2.6498180955966504, 1.2769959862667246, 0.04746349021425722, 9.906470078649477, 3.191009138116579, 3.4438491780569684, 2.896334540903032, 5.776213737120239]","15_lag_nhSICjfm, 1_lag_4_median_atlSICsep, 11_lag_amo3, 9_lag_amo2, 18_lag_nhSICjfm, 1_lag_6_median_amo1, 1_lag_3_median_AMOCann, 1_lag_7_median_eapPSLjfm, 1_lag_9_median_stratZ50ndj02, 16_lag_atlSICjfm_902_1"
LRforcedPSO,8,10,shSICmar,shigh,874.5,2005.5,0.8,23,1,1,14.122250767858695,0.13862979142338452,946,"['1_lag_16_median_eurPSLjfm', '18_lag_naoPSLjfm', '4_lag_shSICmar', '4_lag_amo3', '1_lag_19_median_eapPSLjfm', '1_lag_4_median_stratZ50ndj04', '1_lag_10_median_stratZ50ndj04', '1_lag_4_median_nppc2SSTjfm', '1_lag_2_median_stratZ50ndj01', '1_lag_8_median_eapPSLjfm']","[1.3480825538462824, 1.918573569001607, 3.713128577626705, 8.229788221390377, 2.012093876639005, 1.7985214483015746, 4.646264293556573, 3.896273648742355, 0.9767084026848121, 3.6226077984155003]","1_lag_16_median_eurPSLjfm, 18_lag_naoPSLjfm, 4_lag_shSICmar, 4_lag_amo3, 1_lag_19_median_eapPSLjfm, 1_lag_4_median_stratZ50ndj04, 1_lag_10_median_stratZ50ndj04, 1_lag_4_median_nppc2SSTjfm, 1_lag_2_median_stratZ50ndj01, 1_lag_8_median_eapPSLjfm_946_1"
LRforcedPSO,9,10,shSICmar,shigh,875.5,2005.5,0.8,24,1,1,18.284539957906198,-0.1697814396669344,990,"['8_lag_stratZ50ndj02', '1_lag_22_median_naoPSLjfm', '1_lag_9_median_stratZ50ndj01', '1_lag_11_median_stratZ50ndj03', '1_lag_3_median_amoSSTjfm', '17_lag_amo3', '1_lag_23_median_scpPSLjfm', '11_lag_stratZ50ndj02', '6_lag_nhSICsep', '1_lag_18_median_stratZ50ndj02']","[1.4189441352343461, 2.193399004989356, 0.2890325128867417, 2.9053562999962175, 2.8831315132493307, 2.2127751046728967, 5.029941653828105, 3.233856091056227, 5.672877611180221, 3.6027298580526406]","8_lag_stratZ50ndj02, 1_lag_22_median_naoPSLjfm, 1_lag_9_median_stratZ50ndj01, 1_lag_11_median_stratZ50ndj03, 1_lag_3_median_amoSSTjfm, 17_lag_amo3, 1_lag_23_median_scpPSLjfm, 11_lag_stratZ50ndj02, 6_lag_nhSICsep, 1_lag_18_median_stratZ50ndj02_990_1"
