model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,shSICmar,shigh,1514.5,2005.5,0.8,15,5,5,18.8432720061194,-0.4173625760896727,418,"['9_lag_amo3', '14_lag_amo2', '5_lag_9_median_amo2', '9_lag_amo1', '14_lag_amo3', '5_lag_13_median_amo1', '5_lag_12_median_amo2', '5_lag_13_median_nhSICjfm', '5_lag_10_median_amo3', '5_lag_13_median_nppc2SSTjfm', '5_lag_14_median_eurPSLjfm', '5_lag_9_median_atlSICjfm', '5_lag_13_median_amo2', '8_lag_solFORC', '5_lag_13_median_stratZ50ndj04', '5_lag_13_median_amo3', '5_lag_12_median_amoSSTmjjaso', '9_lag_solFORC', '5_lag_13_median_amoSSTmjjaso', '9_lag_amoSSTjfm', '5_lag_11_median_amo3', '14_lag_amoSSTjfm', '5_lag_13_median_AMOCann', '5_lag_14_median_solFORC', '5_lag_8_median_solFORC', '5_lag_9_median_solFORC', '5_lag_10_median_solFORC', '5_lag_11_median_solFORC', '5_lag_12_median_solFORC', '5_lag_13_median_solFORC']","[0.2539602261928732, 0.26319364515174754, 0.29927370857724545, 0.045933531335999256, 0.2592859499956232, 0.5005902938306804, 0.2456661813023034, 0.16227373440480597, 0.25863051296136885, 0.2991767374338614, 0.22758999695840915, 0.05004535217539661, 0.2339737473868624, 0.9437319312137181, 0.16526580891943407, 0.023510480061607383, 0.15229878343083716, 0.3646093041358115, 0.08951659494635295, 0.0661146520075806, 0.237295805990756, 0.03678426692485098, 0.12948872771441491, 2.547426989248718, 2.85385550534526, 4.188844374910228, 0.6009772738581496, 3.4994610482310042, 3.6614375901868352, 4.0988491344590985]","9_lag_amo3, 14_lag_amo2, 5_lag_9_median_amo2, 9_lag_amo1, 14_lag_amo3, 5_lag_13_median_amo1, 5_lag_12_median_amo2, 5_lag_13_median_nhSICjfm, 5_lag_10_median_amo3, 5_lag_13_median_nppc2SSTjfm, 5_lag_14_median_eurPSLjfm, 5_lag_9_median_atlSICjfm, 5_lag_13_median_amo2, 8_lag_solFORC, 5_lag_13_median_stratZ50ndj04, 5_lag_13_median_amo3, 5_lag_12_median_amoSSTmjjaso, 9_lag_solFORC, 5_lag_13_median_amoSSTmjjaso, 9_lag_amoSSTjfm, 5_lag_11_median_amo3, 14_lag_amoSSTjfm, 5_lag_13_median_AMOCann, 5_lag_14_median_solFORC, 5_lag_8_median_solFORC, 5_lag_9_median_solFORC, 5_lag_10_median_solFORC, 5_lag_11_median_solFORC, 5_lag_12_median_solFORC, 5_lag_13_median_solFORC_418_5"
LinearRegression,1,30,shSICmar,shigh,1515.5,2005.5,0.8,16,6,6,20.445234357054815,-0.22593473041713444,418,"['6_lag_13_median_amoSSTjfm', '6_lag_15_median_eurPSLjfm', '6_lag_12_median_shSICsep', '6_lag_12_median_amoSSTjfm', '6_lag_15_median_amo3', '6_lag_11_median_atlSICjfm', '11_lag_amo1', '6_lag_11_median_amo3', '11_lag_amoSSTjfm', '6_lag_10_median_AMOCann', '6_lag_14_median_nppc2SSTjfm', '6_lag_15_median_solFORC', '6_lag_11_median_amo1', '10_lag_solFORC', '6_lag_14_median_shSICmar', '6_lag_14_median_amoSSTmjjaso', '6_lag_10_median_amo2', '6_lag_14_median_AMOCann', '6_lag_15_median_AMOCann', '8_lag_solFORC', '6_lag_10_median_atlSICjfm', '12_lag_solFORC', '11_lag_solFORC', '6_lag_12_median_amo3', '6_lag_14_median_amo1', '6_lag_10_median_solFORC', '6_lag_9_median_solFORC', '6_lag_11_median_solFORC', '6_lag_13_median_solFORC', '6_lag_12_median_solFORC']","[0.007204377396390667, 0.07024814759493991, 0.0683800484452234, 0.14184306695054605, 0.3570848215178243, 0.1545746227112966, 0.30640139143686806, 0.0248060802311952, 0.2896906657831198, 0.1708822188469968, 0.1344438487679261, 1.4448860166762818, 0.03135102229603302, 0.9737599359957201, 0.41756065832056377, 0.08251449513623076, 0.21481176949618525, 0.7921451133470981, 0.39001633372906175, 0.3295538448398461, 0.033473771802818145, 0.1154857000620262, 0.6789916151872057, 0.11970436981007088, 0.7166226996366263, 0.9784566174100298, 0.09738496842837395, 2.6035032106096123, 3.4574345657550856, 3.6866969485307837]","6_lag_13_median_amoSSTjfm, 6_lag_15_median_eurPSLjfm, 6_lag_12_median_shSICsep, 6_lag_12_median_amoSSTjfm, 6_lag_15_median_amo3, 6_lag_11_median_atlSICjfm, 11_lag_amo1, 6_lag_11_median_amo3, 11_lag_amoSSTjfm, 6_lag_10_median_AMOCann, 6_lag_14_median_nppc2SSTjfm, 6_lag_15_median_solFORC, 6_lag_11_median_amo1, 10_lag_solFORC, 6_lag_14_median_shSICmar, 6_lag_14_median_amoSSTmjjaso, 6_lag_10_median_amo2, 6_lag_14_median_AMOCann, 6_lag_15_median_AMOCann, 8_lag_solFORC, 6_lag_10_median_atlSICjfm, 12_lag_solFORC, 11_lag_solFORC, 6_lag_12_median_amo3, 6_lag_14_median_amo1, 6_lag_10_median_solFORC, 6_lag_9_median_solFORC, 6_lag_11_median_solFORC, 6_lag_13_median_solFORC, 6_lag_12_median_solFORC_418_6"
LinearRegression,2,30,shSICmar,shigh,1516.5,2005.5,0.8,17,7,7,22.459427107979327,-0.3821552492235951,418,"['7_lag_16_median_AMOCann', '7_lag_15_median_nhSICsep', '7_lag_14_median_amo3', '7_lag_15_median_stratZ50ndj03', '7_lag_13_median_amoSSTmjjaso', '10_lag_amoSSTjfm', '7_lag_16_median_amo3', '7_lag_12_median_amo3', '7_lag_14_median_amo1', '7_lag_11_median_atlSICjfm', '7_lag_12_median_amoSSTjfm', '7_lag_15_median_AMOCann', '7_lag_15_median_amo3', '7_lag_11_median_amoSSTjfm', '7_lag_11_median_amo1', '7_lag_11_median_nhSICjfm', '7_lag_13_median_nhSICjfm', '7_lag_14_median_amo2', '12_lag_solFORC', '14_lag_solFORC', '7_lag_15_median_amo1', '12_lag_amoSSTjfm', '7_lag_13_median_amoSSTjfm', '7_lag_13_median_amo2', '11_lag_solFORC', '7_lag_10_median_solFORC', '7_lag_12_median_solFORC', '7_lag_14_median_solFORC', '7_lag_11_median_solFORC', '7_lag_13_median_solFORC']","[0.7160983474574614, 0.08325934367671367, 0.6956729661922726, 0.07326066956977492, 0.2274719427384273, 0.175174838830407, 0.16045820807498623, 0.04835755537564419, 0.6136710798125488, 0.15054000268626933, 0.5696564666051284, 0.6118621999476257, 0.8665800308585327, 0.20437650641378804, 0.12877097269338714, 0.13902697075366655, 0.44891983529427903, 0.5195471093986622, 0.20263762594834112, 0.7799788129741886, 1.132568529173781, 0.11086700852928906, 0.6675872292872335, 0.8248479420741112, 1.1123665232977642, 2.6632534381962514, 0.5752811279558858, 1.0803098085972171, 5.220016966430238, 5.901965055288328]","7_lag_16_median_AMOCann, 7_lag_15_median_nhSICsep, 7_lag_14_median_amo3, 7_lag_15_median_stratZ50ndj03, 7_lag_13_median_amoSSTmjjaso, 10_lag_amoSSTjfm, 7_lag_16_median_amo3, 7_lag_12_median_amo3, 7_lag_14_median_amo1, 7_lag_11_median_atlSICjfm, 7_lag_12_median_amoSSTjfm, 7_lag_15_median_AMOCann, 7_lag_15_median_amo3, 7_lag_11_median_amoSSTjfm, 7_lag_11_median_amo1, 7_lag_11_median_nhSICjfm, 7_lag_13_median_nhSICjfm, 7_lag_14_median_amo2, 12_lag_solFORC, 14_lag_solFORC, 7_lag_15_median_amo1, 12_lag_amoSSTjfm, 7_lag_13_median_amoSSTjfm, 7_lag_13_median_amo2, 11_lag_solFORC, 7_lag_10_median_solFORC, 7_lag_12_median_solFORC, 7_lag_14_median_solFORC, 7_lag_11_median_solFORC, 7_lag_13_median_solFORC_418_7"
LinearRegression,3,30,shSICmar,shigh,1517.5,2005.5,0.8,18,8,8,26.746773997107663,-0.4280429893562809,418,"['8_lag_16_median_shSICsep', '8_lag_15_median_amo3', '8_lag_13_median_amo3', '8_lag_14_median_amo3', '8_lag_17_median_nhSICsep', '8_lag_16_median_nhSICjfm', '8_lag_16_median_AMOCann', '8_lag_16_median_amoSSTjfm', '8_lag_17_median_amoSSTjfm', '14_lag_solFORC', '8_lag_12_median_amo1', '8_lag_16_median_atlSICjfm', '17_lag_amoSSTjfm', '8_lag_17_median_atlSICsep', '10_lag_solFORC', '8_lag_16_median_amo1', '8_lag_16_median_amo3', '8_lag_15_median_amoSSTmjjaso', '8_lag_17_median_solFORC', '8_lag_15_median_shSICsep', '8_lag_14_median_shSICsep', '11_lag_solFORC', '8_lag_16_median_atlSICsep', '12_lag_solFORC', '8_lag_12_median_amoSSTjfm', '8_lag_16_median_solFORC', '8_lag_15_median_solFORC', '8_lag_13_median_solFORC', '8_lag_11_median_solFORC', '8_lag_14_median_solFORC']","[0.19139867914636505, 0.8035930041614855, 0.7287723613294057, 1.1508889002533071, 0.1684100411248108, 0.2663866729240414, 0.05599297226997482, 0.6647005798177549, 0.3216010772437141, 0.2080208863341193, 0.24006830264669954, 0.17295179269989952, 0.07891274127433466, 0.4220491470115089, 0.5433467547410177, 0.7985365884087468, 0.9850803770910851, 0.06059270347487809, 3.9113086049188923, 0.05123349680302458, 0.3193209339615912, 1.4935041420844066, 0.07947434149028229, 0.15124908496324102, 0.31071903292424463, 5.5572331621467415, 1.7365623542394217, 3.34053829345399, 1.224630043227727, 0.8083623040790111]","8_lag_16_median_shSICsep, 8_lag_15_median_amo3, 8_lag_13_median_amo3, 8_lag_14_median_amo3, 8_lag_17_median_nhSICsep, 8_lag_16_median_nhSICjfm, 8_lag_16_median_AMOCann, 8_lag_16_median_amoSSTjfm, 8_lag_17_median_amoSSTjfm, 14_lag_solFORC, 8_lag_12_median_amo1, 8_lag_16_median_atlSICjfm, 17_lag_amoSSTjfm, 8_lag_17_median_atlSICsep, 10_lag_solFORC, 8_lag_16_median_amo1, 8_lag_16_median_amo3, 8_lag_15_median_amoSSTmjjaso, 8_lag_17_median_solFORC, 8_lag_15_median_shSICsep, 8_lag_14_median_shSICsep, 11_lag_solFORC, 8_lag_16_median_atlSICsep, 12_lag_solFORC, 8_lag_12_median_amoSSTjfm, 8_lag_16_median_solFORC, 8_lag_15_median_solFORC, 8_lag_13_median_solFORC, 8_lag_11_median_solFORC, 8_lag_14_median_solFORC_418_8"
LinearRegression,4,30,shSICmar,shigh,1518.5,2005.5,0.8,19,9,9,23.693358097007057,-0.40376968718944894,418,"['17_lag_amo3', '9_lag_15_median_amoSSTjfm', '9_lag_18_median_amo3', '9_lag_13_median_amo3', '9_lag_17_median_shSICmar', '9_lag_18_median_amo2', '9_lag_15_median_nhSICjfm', '17_lag_solFORC', '9_lag_16_median_nhSICjfm', '9_lag_17_median_AMOCann', '9_lag_16_median_amo2', '9_lag_13_median_atlSICjfm', '9_lag_14_median_amoSSTjfm', '16_lag_solFORC', '17_lag_amoSSTjfm', '13_lag_solFORC', '13_lag_amoSSTjfm', '9_lag_13_median_shSICsep', '9_lag_17_median_amo2', '18_lag_amoSSTjfm', '9_lag_13_median_stratZ50ndj02', '9_lag_15_median_solFORC', '9_lag_17_median_amoSSTmjjaso', '9_lag_13_median_amoSSTjfm', '9_lag_11_median_solFORC', '9_lag_14_median_solFORC', '9_lag_16_median_solFORC', '11_lag_solFORC', '9_lag_17_median_solFORC', '9_lag_13_median_solFORC']","[0.028657003226476047, 0.6799274563811407, 0.17567830543933197, 0.04810179257995483, 0.3233154438474007, 0.484173146815332, 0.11401418772622739, 1.4036548340001682, 0.3001200451810262, 0.3228623037234848, 0.09797123314902162, 0.16703258682109764, 0.07100779777777433, 1.8834405880995668, 0.12026958550746127, 1.3010401020912565, 0.10142172361087051, 0.07914328365205311, 0.2554072218490847, 0.05332615641972578, 0.21242614611431435, 4.2136899050764685, 0.09334632463333557, 0.0007230029849839906, 0.9688875818063658, 1.8869365402261924, 2.673127394039503, 0.12862755164657827, 2.7213351475124536, 0.3226968069557956]","17_lag_amo3, 9_lag_15_median_amoSSTjfm, 9_lag_18_median_amo3, 9_lag_13_median_amo3, 9_lag_17_median_shSICmar, 9_lag_18_median_amo2, 9_lag_15_median_nhSICjfm, 17_lag_solFORC, 9_lag_16_median_nhSICjfm, 9_lag_17_median_AMOCann, 9_lag_16_median_amo2, 9_lag_13_median_atlSICjfm, 9_lag_14_median_amoSSTjfm, 16_lag_solFORC, 17_lag_amoSSTjfm, 13_lag_solFORC, 13_lag_amoSSTjfm, 9_lag_13_median_shSICsep, 9_lag_17_median_amo2, 18_lag_amoSSTjfm, 9_lag_13_median_stratZ50ndj02, 9_lag_15_median_solFORC, 9_lag_17_median_amoSSTmjjaso, 9_lag_13_median_amoSSTjfm, 9_lag_11_median_solFORC, 9_lag_14_median_solFORC, 9_lag_16_median_solFORC, 11_lag_solFORC, 9_lag_17_median_solFORC, 9_lag_13_median_solFORC_418_9"
LinearRegression,5,30,shSICmar,shigh,1519.5,2005.5,0.8,20,10,10,23.8068878650327,-0.35306795806745084,418,"['17_lag_amoSSTjfm', '10_lag_12_median_solFORC', '10_lag_17_median_amoSSTmjjaso', '10_lag_15_median_amoSSTjfm', '14_lag_solFORC', '10_lag_14_median_nhSICjfm', '15_lag_solFORC', '10_lag_19_median_atlSICsep', '15_lag_amoSSTjfm', '10_lag_18_median_amoSSTjfm', '16_lag_amoSSTjfm', '10_lag_16_median_amo3', '10_lag_14_median_amoSSTjfm', '10_lag_19_median_stratZ50ndj04', '18_lag_solFORC', '10_lag_15_median_shSICsep', '19_lag_amoSSTjfm', '10_lag_17_median_AMOCann', '10_lag_16_median_shSICsep', '10_lag_13_median_solFORC', '10_lag_18_median_amo3', '12_lag_solFORC', '10_lag_15_median_solFORC', '10_lag_18_median_AMOCann', '10_lag_19_median_solFORC', '13_lag_solFORC', '10_lag_17_median_solFORC', '10_lag_18_median_solFORC', '10_lag_14_median_solFORC', '10_lag_16_median_solFORC']","[0.11386528066482414, 0.6586923577364845, 0.14381484997531407, 0.7194778257982946, 2.414069518406998, 0.04610445670719756, 1.1352636953128799, 0.25869991063050224, 0.04892434918403427, 0.01118943013531824, 0.07411188245848452, 0.16863923522045607, 0.31430812675354897, 0.6250301902363179, 0.628066796734677, 0.08435744184671798, 0.0913113093221299, 0.45391297252096574, 0.23389873371700387, 1.349669922048535, 0.11661549473416569, 0.004870656258532086, 1.836871022237443, 0.8301108929279077, 2.4894419765632363, 2.6734228223779217, 3.2365361757759494, 5.071327281810279, 3.581229461126589, 3.2903852150289783]","17_lag_amoSSTjfm, 10_lag_12_median_solFORC, 10_lag_17_median_amoSSTmjjaso, 10_lag_15_median_amoSSTjfm, 14_lag_solFORC, 10_lag_14_median_nhSICjfm, 15_lag_solFORC, 10_lag_19_median_atlSICsep, 15_lag_amoSSTjfm, 10_lag_18_median_amoSSTjfm, 16_lag_amoSSTjfm, 10_lag_16_median_amo3, 10_lag_14_median_amoSSTjfm, 10_lag_19_median_stratZ50ndj04, 18_lag_solFORC, 10_lag_15_median_shSICsep, 19_lag_amoSSTjfm, 10_lag_17_median_AMOCann, 10_lag_16_median_shSICsep, 10_lag_13_median_solFORC, 10_lag_18_median_amo3, 12_lag_solFORC, 10_lag_15_median_solFORC, 10_lag_18_median_AMOCann, 10_lag_19_median_solFORC, 13_lag_solFORC, 10_lag_17_median_solFORC, 10_lag_18_median_solFORC, 10_lag_14_median_solFORC, 10_lag_16_median_solFORC_418_10"
LinearRegression,6,30,shSICmar,shigh,1520.5,2005.5,0.8,21,11,11,25.403054901717073,-0.3781116731980561,418,"['15_lag_solFORC', '11_lag_solFORC', '19_lag_amo1', '11_lag_17_median_amo3', '20_lag_amo2', '11_lag_20_median_nhSICsep', '11_lag_17_median_amo1', '11_lag_19_median_stratZ50ndj04', '16_lag_solFORC', '11_lag_19_median_amo1', '11_lag_18_median_atlSICjfm', '12_lag_solFORC', '11_lag_12_median_solFORC', '11_lag_16_median_amo1', '11_lag_18_median_stratZ50ndj04', '11_lag_15_median_AMOCann', '11_lag_18_median_amo2', '11_lag_19_median_amoSSTjfm', '18_lag_solFORC', '19_lag_amoSSTjfm', '11_lag_15_median_amoSSTjfm', '19_lag_solFORC', '14_lag_solFORC', '11_lag_19_median_AMOCann', '20_lag_amoSSTjfm', '11_lag_17_median_solFORC', '11_lag_15_median_solFORC', '11_lag_20_median_solFORC', '11_lag_18_median_solFORC', '11_lag_19_median_solFORC']","[0.6558039163449113, 0.3467271840448469, 0.29442313773810563, 0.7752255270557616, 0.301577812304504, 0.03559981779645594, 0.8631037797831891, 0.7452953410374938, 1.0071817142175195, 1.2644499587230358, 0.11393149528379008, 0.3250377137331808, 0.3250377137336365, 0.4697124816080774, 0.18581102892935697, 0.5780312611368056, 0.33159780782381415, 0.6959141918957539, 0.7286246361239981, 0.2624682448006884, 0.15322576123823267, 0.3743906170836225, 3.5156691047958133, 0.8276652949820928, 0.1848902204770065, 0.31943536728319166, 3.4365968951684387, 2.2755629915707525, 2.195084799869085, 3.639920756402533]","15_lag_solFORC, 11_lag_solFORC, 19_lag_amo1, 11_lag_17_median_amo3, 20_lag_amo2, 11_lag_20_median_nhSICsep, 11_lag_17_median_amo1, 11_lag_19_median_stratZ50ndj04, 16_lag_solFORC, 11_lag_19_median_amo1, 11_lag_18_median_atlSICjfm, 12_lag_solFORC, 11_lag_12_median_solFORC, 11_lag_16_median_amo1, 11_lag_18_median_stratZ50ndj04, 11_lag_15_median_AMOCann, 11_lag_18_median_amo2, 11_lag_19_median_amoSSTjfm, 18_lag_solFORC, 19_lag_amoSSTjfm, 11_lag_15_median_amoSSTjfm, 19_lag_solFORC, 14_lag_solFORC, 11_lag_19_median_AMOCann, 20_lag_amoSSTjfm, 11_lag_17_median_solFORC, 11_lag_15_median_solFORC, 11_lag_20_median_solFORC, 11_lag_18_median_solFORC, 11_lag_19_median_solFORC_418_11"
LinearRegression,7,30,shSICmar,shigh,1521.5,2005.5,0.8,22,12,12,22.620031269641682,-0.28982208085607064,418,"['12_lag_19_median_stratZ50ndj04', '12_lag_15_median_solFORC', '12_lag_16_median_nhSICjfm', '12_lag_18_median_AMOCann', '12_lag_20_median_amo1', '20_lag_amoSSTjfm', '16_lag_amoSSTjfm', '12_lag_15_median_nhSICjfm', '14_lag_solFORC', '12_lag_21_median_stratZ50ndj04', '12_lag_21_median_amo2', '12_lag_19_median_nppc2SSTjfm', '16_lag_solFORC', '12_lag_20_median_nppc2SSTjfm', '12_lag_20_median_shSICmar', '12_lag_20_median_amo2', '12_lag_19_median_amoSSTmjjaso', '12_lag_18_median_amo3', '12_lag_16_median_amo1', '12_lag_20_median_stratZ50ndj04', '18_lag_amoSSTjfm', '12_lag_20_median_amo3', '15_lag_solFORC', '12_lag_16_median_amoSSTjfm', '12_lag_19_median_solFORC', '12_lag_16_median_solFORC', '12_lag_21_median_solFORC', '12_lag_18_median_solFORC', '12_lag_20_median_solFORC', '12_lag_17_median_solFORC']","[0.21688334018898692, 4.132079797327717, 0.20248834514622077, 0.15393826070248368, 0.36477193332150304, 0.17755428468316903, 0.30175855810330954, 0.1203314363000858, 4.283229321945052, 0.26094093768070414, 0.9074631027483315, 0.10473961837029615, 0.7690549355571769, 0.05444369241101395, 0.322181054461193, 0.10041525435264217, 0.18473819104932263, 0.10143197475230362, 0.26045228837728207, 0.025429213097804992, 0.20284380989417966, 0.5217182185062568, 1.5646166395721832, 0.016280420222703262, 1.3855844269477402, 1.521320910296428, 3.2519441126769704, 2.0275308450296055, 2.569914399568148, 0.5960346709742844]","12_lag_19_median_stratZ50ndj04, 12_lag_15_median_solFORC, 12_lag_16_median_nhSICjfm, 12_lag_18_median_AMOCann, 12_lag_20_median_amo1, 20_lag_amoSSTjfm, 16_lag_amoSSTjfm, 12_lag_15_median_nhSICjfm, 14_lag_solFORC, 12_lag_21_median_stratZ50ndj04, 12_lag_21_median_amo2, 12_lag_19_median_nppc2SSTjfm, 16_lag_solFORC, 12_lag_20_median_nppc2SSTjfm, 12_lag_20_median_shSICmar, 12_lag_20_median_amo2, 12_lag_19_median_amoSSTmjjaso, 12_lag_18_median_amo3, 12_lag_16_median_amo1, 12_lag_20_median_stratZ50ndj04, 18_lag_amoSSTjfm, 12_lag_20_median_amo3, 15_lag_solFORC, 12_lag_16_median_amoSSTjfm, 12_lag_19_median_solFORC, 12_lag_16_median_solFORC, 12_lag_21_median_solFORC, 12_lag_18_median_solFORC, 12_lag_20_median_solFORC, 12_lag_17_median_solFORC_418_12"
LinearRegression,8,30,shSICmar,shigh,1522.5,2005.5,0.8,23,13,13,25.959678123070674,-0.243246175760572,418,"['13_lag_21_median_amo2', '13_lag_20_median_scpPSLjfm', '13_lag_20_median_atlSICjfm', '13_lag_21_median_AMOCann', '13_lag_18_median_nhSICjfm', '13_lag_21_median_solFORC', '13_lag_22_median_amo3', '13_lag_19_median_amo3', '13_lag_22_median_amoSSTjfm', '20_lag_solFORC', '13_lag_19_median_amo1', '13_lag_19_median_AMOCann', '13_lag_21_median_amo1', '21_lag_amoSSTjfm', '13_lag_21_median_amoSSTjfm', '13_lag_21_median_shSICsep', '13_lag_20_median_amo3', '13_lag_17_median_nhSICjfm', '19_lag_amoSSTjfm', '13_lag_17_median_amo1', '13_lag_21_median_atlSICjfm', '13_lag_22_median_nhSICjfm', '13_lag_17_median_amoSSTjfm', '13_lag_17_median_solFORC', '13_lag_18_median_amo1', '13_lag_21_median_amo3', '16_lag_solFORC', '13_lag_16_median_solFORC', '13_lag_19_median_solFORC', '13_lag_18_median_solFORC']","[0.8399527810204854, 0.1904141576711889, 0.3075686494391324, 0.20635167710187666, 0.10423029742954293, 0.6307231352026473, 0.5069546862101062, 0.5405240426956182, 0.33324505934215376, 0.09202774234195192, 0.20349600388414918, 0.30374577239598005, 0.666783632919506, 0.059662320604961745, 1.749779370810988, 0.32280541011026687, 0.7254053905444791, 0.46780210891322294, 0.07902325900633736, 0.2595475127203899, 0.08747586533104701, 0.6773098860645037, 0.7149441052469355, 6.7417683921871845, 0.22668815818209992, 0.5516039839292646, 0.5358497605516394, 3.3023951863380616, 1.9501889035471782, 5.422847415604257]","13_lag_21_median_amo2, 13_lag_20_median_scpPSLjfm, 13_lag_20_median_atlSICjfm, 13_lag_21_median_AMOCann, 13_lag_18_median_nhSICjfm, 13_lag_21_median_solFORC, 13_lag_22_median_amo3, 13_lag_19_median_amo3, 13_lag_22_median_amoSSTjfm, 20_lag_solFORC, 13_lag_19_median_amo1, 13_lag_19_median_AMOCann, 13_lag_21_median_amo1, 21_lag_amoSSTjfm, 13_lag_21_median_amoSSTjfm, 13_lag_21_median_shSICsep, 13_lag_20_median_amo3, 13_lag_17_median_nhSICjfm, 19_lag_amoSSTjfm, 13_lag_17_median_amo1, 13_lag_21_median_atlSICjfm, 13_lag_22_median_nhSICjfm, 13_lag_17_median_amoSSTjfm, 13_lag_17_median_solFORC, 13_lag_18_median_amo1, 13_lag_21_median_amo3, 16_lag_solFORC, 13_lag_16_median_solFORC, 13_lag_19_median_solFORC, 13_lag_18_median_solFORC_418_13"
LinearRegression,9,30,shSICmar,shigh,1523.5,2005.5,0.8,24,14,14,22.492052425047007,-0.09492619474426323,418,"['14_lag_22_median_atlSICjfm', '14_lag_20_median_AMOCann', '14_lag_20_median_eapPSLjfm', '14_lag_23_median_amo3', '22_lag_amoSSTjfm', '14_lag_21_median_nppc2SSTjfm', '14_lag_18_median_solFORC', '21_lag_amo3', '19_lag_amoSSTjfm', '14_lag_18_median_amo2', '14_lag_22_median_shSICsep', '22_lag_solFORC', '14_lag_23_median_nhSICjfm', '20_lag_solFORC', '14_lag_18_median_amo3', '14_lag_20_median_amoSSTjfm', '14_lag_23_median_amo1', '18_lag_solFORC', '20_lag_amoSSTjfm', '21_lag_amoSSTjfm', '14_lag_22_median_nppc2SSTjfm', '19_lag_solFORC', '14_lag_21_median_AMOCann', '17_lag_solFORC', '14_lag_22_median_amo3', '14_lag_17_median_solFORC', '14_lag_20_median_solFORC', '14_lag_22_median_AMOCann', '14_lag_21_median_solFORC', '14_lag_22_median_solFORC']","[0.2772488032631869, 0.32938752052638326, 0.024332906280852967, 0.8900221759704048, 0.04397258127666174, 0.011242799990584357, 2.792634834826893, 0.03418904664946427, 0.12632593601302383, 0.3724692462429751, 0.2809358349610494, 0.643728967706218, 0.5368485185253417, 0.22131365948295087, 0.2824633891835469, 0.7656509594691345, 0.2332033147326038, 0.7119741831287177, 0.09838431349077935, 0.01679049374914738, 0.18838583102302156, 0.7089910674035054, 1.2484784453370097, 0.8664611590738475, 0.5561290281376924, 0.8450065468864346, 1.3549285228361387, 1.1919735298226521, 0.9187546812230843, 2.9283870996946346]","14_lag_22_median_atlSICjfm, 14_lag_20_median_AMOCann, 14_lag_20_median_eapPSLjfm, 14_lag_23_median_amo3, 22_lag_amoSSTjfm, 14_lag_21_median_nppc2SSTjfm, 14_lag_18_median_solFORC, 21_lag_amo3, 19_lag_amoSSTjfm, 14_lag_18_median_amo2, 14_lag_22_median_shSICsep, 22_lag_solFORC, 14_lag_23_median_nhSICjfm, 20_lag_solFORC, 14_lag_18_median_amo3, 14_lag_20_median_amoSSTjfm, 14_lag_23_median_amo1, 18_lag_solFORC, 20_lag_amoSSTjfm, 21_lag_amoSSTjfm, 14_lag_22_median_nppc2SSTjfm, 19_lag_solFORC, 14_lag_21_median_AMOCann, 17_lag_solFORC, 14_lag_22_median_amo3, 14_lag_17_median_solFORC, 14_lag_20_median_solFORC, 14_lag_22_median_AMOCann, 14_lag_21_median_solFORC, 14_lag_22_median_solFORC_418_14"
