model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,shSICsep,shigh,866.5,2005.5,0.6,15,1,1,11.131553227811118,0.5866605286509721,594,"['1_lag_5_median_shSICsep', '5_lag_nhSICjfm', '13_lag_amo3', '5_lag_stratZ50ndj02', '1_lag_12_median_nhSICsep', '12_lag_amoSSTjfm']","[8.308175941652621, 4.14682265213254, 1.1706786192741596, 4.431759895836553, 5.72424624683978, 1.1191712532538656]","1_lag_5_median_shSICsep, 5_lag_nhSICjfm, 13_lag_amo3, 5_lag_stratZ50ndj02, 1_lag_12_median_nhSICsep, 12_lag_amoSSTjfm_594_1"
LRforcedPSO,1,6,shSICsep,shigh,867.5,2005.5,0.6,16,1,1,20.074250493375907,-0.09234390768277642,638,"['9_lag_amoSSTmjjaso', '1_lag_shSICmar', '1_lag_amo1', '15_lag_stratZ50ndj03', '3_lag_stratZ50ndj01', '1_lag_5_median_naoPSLjfm']","[5.628542453831697, 9.433293007523375, 5.631155301996, 0.9642658448743937, 3.9681997324566236, 2.36417879933364]","9_lag_amoSSTmjjaso, 1_lag_shSICmar, 1_lag_amo1, 15_lag_stratZ50ndj03, 3_lag_stratZ50ndj01, 1_lag_5_median_naoPSLjfm_638_1"
LRforcedPSO,2,6,shSICsep,shigh,868.5,2005.5,0.6,17,1,1,18.220797873083256,-0.28558733297860606,682,"['1_lag_amo2', '1_lag_12_median_atlSICjfm', '5_lag_scpPSLjfm', '1_lag_14_median_naoPSLjfm', '1_lag_12_median_stratZ50ndj02', '1_lag_13_median_amoSSTjfm']","[2.480544588704915, 3.307387585126477, 2.480540811247618, 2.4805411475814756, 2.4805409704329784, 2.4805407579536496]","1_lag_amo2, 1_lag_12_median_atlSICjfm, 5_lag_scpPSLjfm, 1_lag_14_median_naoPSLjfm, 1_lag_12_median_stratZ50ndj02, 1_lag_13_median_amoSSTjfm_682_1"
LRforcedPSO,3,6,shSICsep,shigh,869.5,2005.5,0.6,18,1,1,17.789870074465934,-0.27936813493517604,726,"['1_lag_9_median_amo1', '1_lag_17_median_atlSICjfm', '1_lag_14_median_naoPSLjfm', '15_lag_stratZ50ndj03', '1_lag_4_median_amoSSTmjjaso', '9_lag_eapPSLjfm']","[1.8124171770662711, 2.4163186539610226, 1.8129686891816943, 1.8199807079512842, 1.8127344946507802, 1.9052652684845472]","1_lag_9_median_amo1, 1_lag_17_median_atlSICjfm, 1_lag_14_median_naoPSLjfm, 15_lag_stratZ50ndj03, 1_lag_4_median_amoSSTmjjaso, 9_lag_eapPSLjfm_726_1"
LRforcedPSO,4,6,shSICsep,shigh,870.5,2005.5,0.6,19,1,1,13.156531519755632,0.4768297412027762,770,"['1_lag_8_median_shSICmar', '1_lag_15_median_eapPSLjfm', '11_lag_nhSICjfm', '5_lag_stratZ50ndj04', '3_lag_shSICsep', '1_lag_7_median_amoSSTmjjaso']","[1.6624393347759732, 2.186951891099369, 3.836781544927139, 0.3624220172347563, 6.692357845749214, 2.8078268057378653]","1_lag_8_median_shSICmar, 1_lag_15_median_eapPSLjfm, 11_lag_nhSICjfm, 5_lag_stratZ50ndj04, 3_lag_shSICsep, 1_lag_7_median_amoSSTmjjaso_770_1"
LRforcedPSO,5,6,shSICsep,shigh,871.5,2005.5,0.6,20,1,1,9.871247571446073,0.627621840802667,814,"['1_lag_14_median_shSICmar', '1_lag_9_median_nppc2SSTjfm', '3_lag_eapPSLjfm', '1_lag_14_median_nhSICjfm', '1_lag_2_median_shSICsep', '5_lag_amo1']","[1.149474259493724, 1.1546885416674293, 4.37298897836855, 3.8181228789543926, 8.741859262879984, 3.032764915544547]","1_lag_14_median_shSICmar, 1_lag_9_median_nppc2SSTjfm, 3_lag_eapPSLjfm, 1_lag_14_median_nhSICjfm, 1_lag_2_median_shSICsep, 5_lag_amo1_814_1"
LRforcedPSO,6,6,shSICsep,shigh,872.5,2005.5,0.6,21,1,1,17.287493173161316,-0.07208106224850645,858,"['14_lag_scpPSLjfm', '1_lag_7_median_amo2', '1_lag_19_median_amoSSTjfm', '11_lag_nhSICsep', '19_lag_amo1', '1_lag_18_median_eurPSLjfm']","[3.823945729130955, 3.2037892661725875, 3.7462084232694792, 0.2478714718016981, 4.414432567384907, 2.705872471517065]","14_lag_scpPSLjfm, 1_lag_7_median_amo2, 1_lag_19_median_amoSSTjfm, 11_lag_nhSICsep, 19_lag_amo1, 1_lag_18_median_eurPSLjfm_858_1"
LRforcedPSO,7,6,shSICsep,shigh,873.5,2005.5,0.6,22,2,2,17.202226665654585,-0.2239856473271153,858,"['2_lag_19_median_AMOCann', '7_lag_solFORC', '2_lag_11_median_atlSICjfm', '2_lag_18_median_amo1', '2_lag_18_median_atlSICsep', '2_lag_9_median_stratZ50ndj01']","[2.90804160642842, 2.5960554415775956, 2.596960840654707, 3.461053710380172, 3.458259910273711, 2.603757857357043]","2_lag_19_median_AMOCann, 7_lag_solFORC, 2_lag_11_median_atlSICjfm, 2_lag_18_median_amo1, 2_lag_18_median_atlSICsep, 2_lag_9_median_stratZ50ndj01_858_2"
LRforcedPSO,8,6,shSICsep,shigh,874.5,2005.5,0.6,23,3,3,18.533925568761706,-0.15653870609968934,858,"['3_lag_amo1', '22_lag_atlSICjfm', '3_lag_17_median_amo3', '3_lag_11_median_solFORC', '10_lag_nhSICjfm', '12_lag_amo2']","[0.9866647883229014, 3.927132182554896, 1.306816141703651, 5.105788355174761, 1.783464995947078, 3.1956344152181355]","3_lag_amo1, 22_lag_atlSICjfm, 3_lag_17_median_amo3, 3_lag_11_median_solFORC, 10_lag_nhSICjfm, 12_lag_amo2_858_3"
LRforcedPSO,9,6,shSICsep,shigh,875.5,2005.5,0.6,24,4,4,17.281444956727725,-0.12843847082013393,858,"['9_lag_stratZ50ndj03', '6_lag_stratZ50ndj04', '4_lag_20_median_amoSSTjfm', '16_lag_nhSICsep', '4_lag_19_median_atlSICjfm', '19_lag_amoSSTmjjaso']","[2.6861290358014367, 2.703068059529558, 2.770048653642069, 2.725545855208052, 3.5811662308456342, 2.7673862689448554]","9_lag_stratZ50ndj03, 6_lag_stratZ50ndj04, 4_lag_20_median_amoSSTjfm, 16_lag_nhSICsep, 4_lag_19_median_atlSICjfm, 19_lag_amoSSTmjjaso_858_4"
LRforcedPSO,10,6,shSICsep,shigh,876.5,2005.5,0.6,25,5,5,14.598965860878236,0.28164127664298017,858,"['10_lag_eapPSLjfm', '5_lag_8_median_nhSICjfm', '5_lag_24_median_shSICsep', '5_lag_14_median_nhSICsep', '5_lag_12_median_scpPSLjfm', '5_lag_6_median_nhSICjfm']","[1.639496689053912, 6.715300198828482, 7.674067746305862, 2.7797874325689627, 5.676144525407705, 4.18846454135039]","10_lag_eapPSLjfm, 5_lag_8_median_nhSICjfm, 5_lag_24_median_shSICsep, 5_lag_14_median_nhSICsep, 5_lag_12_median_scpPSLjfm, 5_lag_6_median_nhSICjfm_858_5"
LRforcedPSO,11,6,shSICsep,shigh,877.5,2005.5,0.6,26,6,6,16.013161171500112,0.20397664623098907,858,"['6_lag_11_median_nppc2SSTjfm', '6_lag_7_median_eurPSLjfm', '6_lag_11_median_amo2', '22_lag_amo1', '6_lag_19_median_amoSSTjfm', '16_lag_scpPSLjfm']","[3.575372763524614, 0.7752623867117698, 1.8116966652102011, 2.4178046272203986, 2.887073382479869, 0.7672723153846981]","6_lag_11_median_nppc2SSTjfm, 6_lag_7_median_eurPSLjfm, 6_lag_11_median_amo2, 22_lag_amo1, 6_lag_19_median_amoSSTjfm, 16_lag_scpPSLjfm_858_6"
LRforcedPSO,12,6,shSICsep,shigh,878.5,2005.5,0.6,27,7,7,14.667285690655383,0.10762163181620141,858,"['21_lag_scpPSLjfm', '7_lag_10_median_shSICmar', '9_lag_stratZ50ndj03', '7_lag_nppc2SSTjfm', '22_lag_eurPSLjfm', '7_lag_16_median_naoPSLjfm']","[2.040757748054256, 4.21095500935138, 5.08174434491967, 1.4690649444833, 0.7778573180327442, 1.6151745936801714]","21_lag_scpPSLjfm, 7_lag_10_median_shSICmar, 9_lag_stratZ50ndj03, 7_lag_nppc2SSTjfm, 22_lag_eurPSLjfm, 7_lag_16_median_naoPSLjfm_858_7"
LRforcedPSO,13,6,shSICsep,shigh,879.5,2005.5,0.6,28,8,8,17.10539489626801,-0.24623332771554637,858,"['18_lag_naoPSLjfm', '23_lag_AMOCann', '23_lag_scpPSLjfm', '8_lag_19_median_amoSSTjfm', '18_lag_amo1', '25_lag_amo2']","[3.7448763921922925, 1.8999037297575931, 1.0392597096888938, 1.3548066509228534, 1.7518005828019199, 0.2757901882583056]","18_lag_naoPSLjfm, 23_lag_AMOCann, 23_lag_scpPSLjfm, 8_lag_19_median_amoSSTjfm, 18_lag_amo1, 25_lag_amo2_858_8"
LRforcedPSO,14,6,shSICsep,shigh,880.5,2005.5,0.6,29,9,9,13.340034522189328,0.21525482243262395,858,"['9_lag_20_median_solFORC', '24_lag_amoSSTmjjaso', '9_lag_16_median_shSICsep', '9_lag_26_median_shSICmar', '9_lag_26_median_solFORC', '15_lag_scpPSLjfm']","[6.651716660242024, 1.793849211156168, 7.305997649875202, 1.1414712277029189, 6.3009339379395115, 4.205577126492432]","9_lag_20_median_solFORC, 24_lag_amoSSTmjjaso, 9_lag_16_median_shSICsep, 9_lag_26_median_shSICmar, 9_lag_26_median_solFORC, 15_lag_scpPSLjfm_858_9"
LRforcedPSO,15,6,shSICsep,shigh,881.5,2005.5,0.6,30,10,10,14.300823790183502,0.3486973567104094,858,"['10_lag_17_median_nhSICsep', '10_lag_24_median_amoSSTjfm', '17_lag_nhSICsep', '10_lag_19_median_shSICsep', '10_lag_25_median_nppc2SSTjfm', '10_lag_29_median_naoPSLjfm']","[4.383510299846235, 4.383510482174774, 4.383510344641596, 5.844680399460001, 4.3835102998166136, 4.38351029978678]","10_lag_17_median_nhSICsep, 10_lag_24_median_amoSSTjfm, 17_lag_nhSICsep, 10_lag_19_median_shSICsep, 10_lag_25_median_nppc2SSTjfm, 10_lag_29_median_naoPSLjfm_858_10"
LRforcedPSO,16,6,shSICsep,shigh,882.5,2005.5,0.6,31,11,11,16.37083246095217,0.11605332911942852,858,"['11_lag_17_median_atlSICjfm', '11_lag_27_median_eurPSLjfm', '27_lag_eurPSLjfm', '11_lag_18_median_eurPSLjfm', '23_lag_stratZ50ndj04', '11_lag_30_median_naoPSLjfm']","[2.735427365600423, 2.7353339348256314, 2.051573369692266, 2.5711381759781555, 2.051589727090939, 2.1750058385728264]","11_lag_17_median_atlSICjfm, 11_lag_27_median_eurPSLjfm, 27_lag_eurPSLjfm, 11_lag_18_median_eurPSLjfm, 23_lag_stratZ50ndj04, 11_lag_30_median_naoPSLjfm_858_11"
LRforcedPSO,17,6,shSICsep,shigh,883.5,2005.5,0.6,32,12,12,15.406452344504276,0.287782865324659,858,"['12_lag_18_median_amoSSTjfm', '13_lag_atlSICsep', '30_lag_amo3', '12_lag_22_median_amoSSTjfm', '18_lag_nppc2SSTjfm', '12_lag_13_median_shSICsep']","[4.191186230222687, 2.697788452127396, 5.294485824773297, 2.5540829719099793, 1.8054739087052614, 5.264361341742001]","12_lag_18_median_amoSSTjfm, 13_lag_atlSICsep, 30_lag_amo3, 12_lag_22_median_amoSSTjfm, 18_lag_nppc2SSTjfm, 12_lag_13_median_shSICsep_858_12"
LRforcedPSO,18,6,shSICsep,shigh,884.5,2005.5,0.6,33,13,13,18.052042532279447,-0.13963608692229124,858,"['13_lag_15_median_eurPSLjfm', '29_lag_stratZ50ndj03', '24_lag_nhSICsep', '13_lag_27_median_amoSSTjfm', '13_lag_19_median_nhSICjfm', '13_lag_27_median_AMOCann']","[3.0123079300268145, 0.6949034330657646, 6.747685224488009, 5.176743333803251, 5.556489348470402, 0.8244885466544751]","13_lag_15_median_eurPSLjfm, 29_lag_stratZ50ndj03, 24_lag_nhSICsep, 13_lag_27_median_amoSSTjfm, 13_lag_19_median_nhSICjfm, 13_lag_27_median_AMOCann_858_13"
LRforcedPSO,19,6,shSICsep,shigh,885.5,2005.5,0.6,34,14,14,16.539902873211606,0.06588014951302903,858,"['14_lag_21_median_stratZ50ndj04', '14_lag_21_median_atlSICjfm', '14_lag_25_median_solFORC', '14_lag_18_median_nppc2SSTjfm', '16_lag_atlSICsep', '14_lag_32_median_stratZ50ndj03']","[4.0267975340692175, 2.728568716765139, 1.8966922362074676, 0.9933959802009458, 5.168989241957402, 1.5401655203855178]","14_lag_21_median_stratZ50ndj04, 14_lag_21_median_atlSICjfm, 14_lag_25_median_solFORC, 14_lag_18_median_nppc2SSTjfm, 16_lag_atlSICsep, 14_lag_32_median_stratZ50ndj03_858_14"
LRforcedPSO,20,6,shSICsep,shigh,886.5,2005.5,0.6,35,15,15,14.738341471957199,0.25166513892873976,858,"['15_lag_26_median_amo2', '15_lag_29_median_shSICsep', '15_lag_22_median_stratZ50ndj02', '16_lag_stratZ50ndj03', '15_lag_32_median_atlSICjfm', '15_lag_20_median_stratZ50ndj02']","[1.7489250182673963, 7.669215238315765, 8.742833600109257, 5.178957803466627, 2.8437385039893677, 3.4499339329513816]","15_lag_26_median_amo2, 15_lag_29_median_shSICsep, 15_lag_22_median_stratZ50ndj02, 16_lag_stratZ50ndj03, 15_lag_32_median_atlSICjfm, 15_lag_20_median_stratZ50ndj02_858_15"
LRforcedPSO,21,6,shSICsep,shigh,887.5,2005.5,0.6,36,16,16,14.849201298041288,0.1526914850480211,858,"['24_lag_shSICsep', '16_lag_27_median_solFORC', '16_lag_21_median_solFORC', '18_lag_stratZ50ndj03', '16_lag_19_median_nppc2SSTjfm', '16_lag_25_median_stratZ50ndj03']","[5.040057058952328, 3.2734392553077143, 0.793095980664253, 0.9972781924903291, 3.3168545150615643, 2.195451090195859]","24_lag_shSICsep, 16_lag_27_median_solFORC, 16_lag_21_median_solFORC, 18_lag_stratZ50ndj03, 16_lag_19_median_nppc2SSTjfm, 16_lag_25_median_stratZ50ndj03_858_16"
LRforcedPSO,22,6,shSICsep,shigh,888.5,2005.5,0.6,37,17,17,16.5536239978836,0.11862050647160872,858,"['17_lag_22_median_stratZ50ndj02', '17_lag_29_median_solFORC', '17_lag_22_median_scpPSLjfm', '17_lag_29_median_eurPSLjfm', '17_lag_27_median_shSICmar', '17_lag_24_median_amo3']","[4.743268149346891, 1.0512826759028098, 3.0575876729375864, 2.7878792325442685, 1.768681635637881, 5.7447664868104535]","17_lag_22_median_stratZ50ndj02, 17_lag_29_median_solFORC, 17_lag_22_median_scpPSLjfm, 17_lag_29_median_eurPSLjfm, 17_lag_27_median_shSICmar, 17_lag_24_median_amo3_858_17"
LRforcedPSO,23,6,shSICsep,shigh,889.5,2005.5,0.6,38,18,18,14.935983480431618,0.15259958252085626,858,"['31_lag_shSICsep', '18_lag_29_median_eapPSLjfm', '18_lag_24_median_solFORC', '25_lag_AMOCann', '18_lag_19_median_eapPSLjfm', '30_lag_stratZ50ndj04']","[7.631650816178794, 4.432639526648541, 1.7341314254106663, 2.1498925377886113, 0.64271378703803, 1.4917907346726533]","31_lag_shSICsep, 18_lag_29_median_eapPSLjfm, 18_lag_24_median_solFORC, 25_lag_AMOCann, 18_lag_19_median_eapPSLjfm, 30_lag_stratZ50ndj04_858_18"
LRforcedPSO,24,6,shSICsep,shigh,890.5,2005.5,0.6,39,19,19,16.303776948466318,0.12328965540773598,858,"['23_lag_amo2', '20_lag_scpPSLjfm', '38_lag_atlSICsep', '23_lag_amo1', '19_lag_38_median_stratZ50ndj03', '19_lag_23_median_amo1']","[2.527818802386026, 2.4454042494701342, 3.260529380143021, 2.7473705829186543, 2.9493110889517267, 3.215679499833059]","23_lag_amo2, 20_lag_scpPSLjfm, 38_lag_atlSICsep, 23_lag_amo1, 19_lag_38_median_stratZ50ndj03, 19_lag_23_median_amo1_858_19"
LRforcedPSO,25,6,shSICsep,shigh,891.5,2005.5,0.6,40,20,20,17.933241425206354,-0.05160257928309872,858,"['20_lag_35_median_nhSICjfm', '27_lag_amoSSTmjjaso', '24_lag_naoPSLjfm', '20_lag_stratZ50ndj03', '20_lag_27_median_atlSICjfm', '24_lag_amo3']","[2.397322852271227, 4.806269428694845, 2.2588397001744687, 0.443092598143739, 4.093289383998493, 1.7327499136735938]","20_lag_35_median_nhSICjfm, 27_lag_amoSSTmjjaso, 24_lag_naoPSLjfm, 20_lag_stratZ50ndj03, 20_lag_27_median_atlSICjfm, 24_lag_amo3_858_20"
LRforcedPSO,26,6,shSICsep,shigh,892.5,2005.5,0.6,41,21,21,15.549589886885341,-0.07126779167997697,858,"['25_lag_stratZ50ndj02', '21_lag_31_median_amo2', '23_lag_scpPSLjfm', '25_lag_stratZ50ndj03', '21_lag_35_median_solFORC', '21_lag_29_median_stratZ50ndj03']","[1.5057087046319884, 1.9109845343266165, 1.5046664668826066, 1.5046664667025493, 2.006221952865486, 1.5046664676586656]","25_lag_stratZ50ndj02, 21_lag_31_median_amo2, 23_lag_scpPSLjfm, 25_lag_stratZ50ndj03, 21_lag_35_median_solFORC, 21_lag_29_median_stratZ50ndj03_858_21"
LRforcedPSO,27,6,shSICsep,shigh,893.5,2005.5,0.6,42,22,22,18.454771052802062,-0.0624384849394119,858,"['27_lag_stratZ50ndj04', '23_lag_stratZ50ndj03', '28_lag_stratZ50ndj02', '22_lag_37_median_AMOCann', '22_lag_23_median_nhSICsep', '22_lag_29_median_nppc2SSTjfm']","[0.9175065378895848, 7.881224933651566, 2.6281900342184557, 3.635546024731946, 1.0038719016280027, 0.1286693551821365]","27_lag_stratZ50ndj04, 23_lag_stratZ50ndj03, 28_lag_stratZ50ndj02, 22_lag_37_median_AMOCann, 22_lag_23_median_nhSICsep, 22_lag_29_median_nppc2SSTjfm_858_22"
LRforcedPSO,28,6,shSICsep,shigh,894.5,2005.5,0.6,43,23,23,17.647374182816865,0.18932122318464392,858,"['38_lag_amo2', '41_lag_AMOCann', '40_lag_nhSICjfm', '23_lag_25_median_nhSICsep', '34_lag_amo1', '23_lag_32_median_amo1']","[4.1061991514991725, 2.753956676157493, 0.5395086839701264, 0.5969161356878807, 4.554837527788336, 2.9750647857058787]","38_lag_amo2, 41_lag_AMOCann, 40_lag_nhSICjfm, 23_lag_25_median_nhSICsep, 34_lag_amo1, 23_lag_32_median_amo1_858_23"
