model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,shSICsep,shigh,866.5,2005.5,0.8,15,5,5,28.032266506224065,-0.07886289493371444,1235,"['11_lag_mhfATL60', '9_lag_amo2', '5_lag_6_median_mhfATL60', '14_lag_nchinaPRjja', '5_lag_8_median_amo3', '5_lag_6_median_amo3']","[2.8678474801080505, 7.123500804543534, 1.6977632431502379, 3.37600943976992, 3.7270209414984095, 1.019931309125914]","11_lag_mhfATL60, 9_lag_amo2, 5_lag_6_median_mhfATL60, 14_lag_nchinaPRjja, 5_lag_8_median_amo3, 5_lag_6_median_amo3_1235_5"
LRforcedPSO,1,6,shSICsep,shigh,867.5,2005.5,0.8,16,6,6,25.415929863814256,-0.022593878708207407,1235,"['6_lag_10_median_traFB', '6_lag_15_median_traFB', '6_lag_mhfATL60', '6_lag_11_median_tripol3', '6_lag_traBO', '6_lag_10_median_traIFC']","[4.53715544581875, 7.553759307895437, 3.5588963037117267, 1.8193021308748474, 1.2780390660783532, 2.440688163536368]","6_lag_10_median_traFB, 6_lag_15_median_traFB, 6_lag_mhfATL60, 6_lag_11_median_tripol3, 6_lag_traBO, 6_lag_10_median_traIFC_1235_6"
LRforcedPSO,2,6,shSICsep,shigh,868.5,2005.5,0.8,17,7,7,19.84981380543387,0.10885471346579545,1235,"['7_lag_12_median_nchinaPRjja', '7_lag_14_median_atlSICjfm', '7_lag_15_median_traCA', '7_lag_15_median_labSSTjfm', '7_lag_8_median_satlSSTjfm', '7_lag_traEU']","[2.9573623916317064, 3.390451460579234, 2.1291137380167253, 5.662254452129403, 1.1249020634181228, 0.6112481731721093]","7_lag_12_median_nchinaPRjja, 7_lag_14_median_atlSICjfm, 7_lag_15_median_traCA, 7_lag_15_median_labSSTjfm, 7_lag_8_median_satlSSTjfm, 7_lag_traEU_1235_7"
LRforcedPSO,3,6,shSICsep,shigh,869.5,2005.5,0.8,18,8,8,26.139316773354334,-0.13142703017759128,1235,"['8_lag_11_median_mhfATL45', '9_lag_glomaSSTjfm', '14_lag_traEC', '17_lag_ormenSSTjfm', '8_lag_9_median_traEU', '8_lag_17_median_ginwSSTjfm']","[1.247078202793162, 8.64190250510404, 0.7509269188333931, 2.9609642112146304, 2.6871353366903534, 2.9943437595800386]","8_lag_11_median_mhfATL45, 9_lag_glomaSSTjfm, 14_lag_traEC, 17_lag_ormenSSTjfm, 8_lag_9_median_traEU, 8_lag_17_median_ginwSSTjfm_1235_8"
LRforcedPSO,4,6,shSICsep,shigh,870.5,2005.5,0.8,19,9,9,17.65394473189834,-0.40968449301486226,1235,"['17_lag_mhfIP30', '9_lag_15_median_mhfIP30', '9_lag_14_median_wnorPRjfm', '16_lag_stratZ50ndj04', '9_lag_16_median_traIFC', '9_lag_14_median_traMC']","[0.9359538141630495, 2.4230724819107756, 0.6426473425892532, 0.5378873742993981, 1.0428394667248249, 3.926863776711018]","17_lag_mhfIP30, 9_lag_15_median_mhfIP30, 9_lag_14_median_wnorPRjfm, 16_lag_stratZ50ndj04, 9_lag_16_median_traIFC, 9_lag_14_median_traMC_1235_9"
LRforcedPSO,5,6,shSICsep,shigh,871.5,2005.5,0.8,20,10,10,18.68184184217865,0.05729057582151918,1235,"['16_lag_mhfATL60', '10_lag_15_median_amo3', '11_lag_ginwSSTjfm', '18_lag_traTLS', '10_lag_18_median_amo2', '17_lag_traWP']","[5.093239535180217, 1.8295996013667608, 2.2609622050385347, 3.5550129181506573, 1.2326101960741767, 1.0215308210698186]","16_lag_mhfATL60, 10_lag_15_median_amo3, 11_lag_ginwSSTjfm, 18_lag_traTLS, 10_lag_18_median_amo2, 17_lag_traWP_1235_10"
LRforcedPSO,6,6,shSICsep,shigh,872.5,2005.5,0.8,21,11,11,19.627400350222505,0.15624838447172892,1235,"['16_lag_naoPSLjfm', '16_lag_nhSICjfm', '11_lag_19_median_traEU', '11_lag_20_median_stratZ50ndj02', '11_lag_15_median_tripol2', '11_lag_15_median_mhfATL60']","[0.7664136138649464, 4.945386433994587, 0.14334820336232745, 3.971882523829283, 1.9546389123770531, 1.4357554081847574]","16_lag_naoPSLjfm, 16_lag_nhSICjfm, 11_lag_19_median_traEU, 11_lag_20_median_stratZ50ndj02, 11_lag_15_median_tripol2, 11_lag_15_median_mhfATL60_1235_11"
LRforcedPSO,7,6,shSICsep,shigh,873.5,2005.5,0.8,22,12,12,19.30644041564373,-0.1302937954896787,1235,"['21_lag_wnorPRjfm', '21_lag_traBO', '12_lag_13_median_nhSICsep', '20_lag_traEU', '12_lag_15_median_stratZ50ndj03', '19_lag_gyreSSTjfm']","[1.0310913295704849, 1.370291997728557, 1.194083279521242, 1.3507724724383245, 1.2711989730171762, 1.1136687085263821]","21_lag_wnorPRjfm, 21_lag_traBO, 12_lag_13_median_nhSICsep, 20_lag_traEU, 12_lag_15_median_stratZ50ndj03, 19_lag_gyreSSTjfm_1235_12"
LRforcedPSO,8,6,shSICsep,shigh,874.5,2005.5,0.8,23,13,13,18.089121010658065,0.022171331208992638,1235,"['22_lag_nhSICjfm', '20_lag_glomaSSTjfm', '15_lag_mhfATL60', '13_lag_20_median_arcTSjfm', '18_lag_arcTSjfm', '16_lag_traBO']","[2.651971980459236, 3.3325187433984964, 2.4996484018712244, 2.512784011269276, 2.5063456212327706, 2.5043605367514967]","22_lag_nhSICjfm, 20_lag_glomaSSTjfm, 15_lag_mhfATL60, 13_lag_20_median_arcTSjfm, 18_lag_arcTSjfm, 16_lag_traBO_1235_13"
LRforcedPSO,9,6,shSICsep,shigh,875.5,2005.5,0.8,24,14,14,23.16282253658765,-0.1377303544771947,1235,"['17_lag_mhfATL45', '14_lag_16_median_amo3', '14_lag_mhfATL30', '19_lag_nppc3SSTjfm', '14_lag_20_median_traTLS', '14_lag_16_median_naoPSLjfm']","[1.747561954548189, 0.5458078410475071, 3.18302373700309, 4.036276010128253, 1.5068342081387183, 5.8542966825065035]","17_lag_mhfATL45, 14_lag_16_median_amo3, 14_lag_mhfATL30, 19_lag_nppc3SSTjfm, 14_lag_20_median_traTLS, 14_lag_16_median_naoPSLjfm_1235_14"
