model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,shTSjfm,shigh,1714.5,2005.5,0.4,15,1,1,20.137275539877574,0.07281584169729872,1755,"['3_lag_shSICmar', '6_lag_stratZ50ndj01', '7_lag_yrvPRjja', '10_lag_traBO', '11_lag_traEU', '11_lag_traMC', '9_lag_stratZ50ndj02', '9_lag_ismPRjja', '1_lag_traIT', '1_lag_traTLS']","[0.10838817577998229, 0.04413714151056604, 0.06920075210101582, 0.05524201789399463, 0.05783218664243081, 0.0668115566327639, 0.10836834500328964, 0.06154255540164442, 0.12831803513433826, 0.023083038386332137]","3_lag_shSICmar, 6_lag_stratZ50ndj01, 7_lag_yrvPRjja, 10_lag_traBO, 11_lag_traEU, 11_lag_traMC, 9_lag_stratZ50ndj02, 9_lag_ismPRjja, 1_lag_traIT, 1_lag_traTLS_1755_1"
LinearRegression,1,10,shTSjfm,shigh,1715.5,2005.5,0.4,16,1,1,20.53449826103598,-0.013108448546332606,1885,"['8_lag_eapPSLjfm', '10_lag_traBO', '15_lag_stratZ50ndj01', '15_lag_alpi', '6_lag_stratZ50ndj01', '9_lag_stratZ50ndj02', '11_lag_traMC', '9_lag_ismPRjja', '1_lag_traTLS', '1_lag_traIT']","[0.05057075879028205, 0.07589510747394057, 0.07494708970061817, 0.06905088224778351, 0.04518564115357876, 0.06616966084942554, 0.07960036203778, 0.08689275309870532, 0.01152345799040468, 0.14723445689926756]","8_lag_eapPSLjfm, 10_lag_traBO, 15_lag_stratZ50ndj01, 15_lag_alpi, 6_lag_stratZ50ndj01, 9_lag_stratZ50ndj02, 11_lag_traMC, 9_lag_ismPRjja, 1_lag_traTLS, 1_lag_traIT_1885_1"
LinearRegression,2,10,shTSjfm,shigh,1716.5,2005.5,0.4,17,1,1,20.373756656358008,0.009818050953541628,2015,"['10_lag_traBO', '15_lag_alpi', '7_lag_yrvPRjja', '9_lag_stratZ50ndj02', '3_lag_stratZ50ndj03', '8_lag_eapPSLjfm', '11_lag_traMC', '1_lag_traTLS', '9_lag_ismPRjja', '1_lag_traIT']","[0.09509438457394515, 0.06639774182092276, 0.06007880302921835, 0.09401646310138406, 0.059801971006810485, 0.04856562962114445, 0.07512393330014638, 0.008401237679419304, 0.08796724791346709, 0.1334937024379252]","10_lag_traBO, 15_lag_alpi, 7_lag_yrvPRjja, 9_lag_stratZ50ndj02, 3_lag_stratZ50ndj03, 8_lag_eapPSLjfm, 11_lag_traMC, 1_lag_traTLS, 9_lag_ismPRjja, 1_lag_traIT_2015_1"
LinearRegression,3,10,shTSjfm,shigh,1717.5,2005.5,0.4,18,1,1,19.252863872024427,0.10422281753381593,2145,"['14_lag_alpi', '1_lag_traFSC', '15_lag_alpi', '11_lag_traMC', '1_lag_scpPSLjfm', '8_lag_eapPSLjfm', '3_lag_stratZ50ndj03', '9_lag_ismPRjja', '1_lag_traTLS', '1_lag_traIT']","[0.042307052556056074, 0.117839311113046, 0.07286412530732671, 0.06306896870910433, 0.05622663688673165, 0.08393064720996771, 0.05070266170849881, 0.062156782077487406, 0.05769961672803865, 0.18744574846080986]","14_lag_alpi, 1_lag_traFSC, 15_lag_alpi, 11_lag_traMC, 1_lag_scpPSLjfm, 8_lag_eapPSLjfm, 3_lag_stratZ50ndj03, 9_lag_ismPRjja, 1_lag_traTLS, 1_lag_traIT_2145_1"
LinearRegression,4,10,shTSjfm,shigh,1718.5,2005.5,0.4,19,1,1,17.41310935359312,0.37390591590019007,2275,"['9_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '1_lag_nppc2SSTjfm', '9_lag_ismPRjja', '3_lag_stratZ50ndj03', '1_lag_traFSC', '15_lag_alpi', '8_lag_eapPSLjfm', '1_lag_traTLS', '1_lag_traIT']","[0.09360359801153607, 0.048706208084061266, 0.10639601303568863, 0.09110488695399488, 0.04834417985715352, 0.14141587816800089, 0.07186552558550303, 0.09006004497667548, 0.07598201866744062, 0.14804713088202257]","9_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 1_lag_nppc2SSTjfm, 9_lag_ismPRjja, 3_lag_stratZ50ndj03, 1_lag_traFSC, 15_lag_alpi, 8_lag_eapPSLjfm, 1_lag_traTLS, 1_lag_traIT_2275_1"
LinearRegression,5,10,shTSjfm,shigh,1719.5,2005.5,0.4,20,1,1,19.44828661993974,0.09134276858308951,2405,"['9_lag_ismPRjja', '9_lag_stratZ50ndj02', '8_lag_eapPSLjfm', '1_lag_traFSC', '8_lag_traBS', '7_lag_yrvPRjja', '15_lag_alpi', '1_lag_traTLS', '19_lag_traMC', '1_lag_traIT']","[0.0859561178938334, 0.08027302567453566, 0.06835730917080855, 0.1325202461195052, 0.036065917081578164, 0.0546645312768716, 0.06103393398249035, 0.04252876345616215, 0.03887783287635044, 0.1626739371459357]","9_lag_ismPRjja, 9_lag_stratZ50ndj02, 8_lag_eapPSLjfm, 1_lag_traFSC, 8_lag_traBS, 7_lag_yrvPRjja, 15_lag_alpi, 1_lag_traTLS, 19_lag_traMC, 1_lag_traIT_2405_1"
LinearRegression,6,10,shTSjfm,shigh,1720.5,2005.5,0.4,21,1,1,19.464800226246783,0.09247622067915233,2535,"['9_lag_ismPRjja', '1_lag_traFSC', '7_lag_yrvPRjja', '8_lag_eapPSLjfm', '8_lag_traBS', '15_lag_alpi', '9_lag_stratZ50ndj02', '1_lag_traTLS', '19_lag_traMC', '1_lag_traIT']","[0.08619844648967206, 0.1287355583344223, 0.0578219515398419, 0.06415332162938471, 0.038470120269104784, 0.061942224196331774, 0.08583797122245172, 0.04582207413057279, 0.03172342781622086, 0.17009153552678175]","9_lag_ismPRjja, 1_lag_traFSC, 7_lag_yrvPRjja, 8_lag_eapPSLjfm, 8_lag_traBS, 15_lag_alpi, 9_lag_stratZ50ndj02, 1_lag_traTLS, 19_lag_traMC, 1_lag_traIT_2535_1"
LinearRegression,7,10,shTSjfm,shigh,1721.5,2005.5,0.4,22,2,2,21.30605787581688,-0.08216182434002983,2535,"['10_lag_traBO', '8_lag_eapPSLjfm', '8_lag_traBS', '2_lag_3_median_eapPSLjfm', '3_lag_eapPSLjfm', '9_lag_stratZ50ndj02', '15_lag_stratZ50ndj01', '15_lag_alpi', '19_lag_traMC', '2_lag_stratZ50ndj03']","[0.07176926771810822, 0.008413670647050786, 0.03858335822438336, 0.04457023230098971, 0.044570232300989714, 0.04373249499151187, 0.10625387181319537, 0.05917514019051644, 0.05780391971672835, 0.03481997783312209]","10_lag_traBO, 8_lag_eapPSLjfm, 8_lag_traBS, 2_lag_3_median_eapPSLjfm, 3_lag_eapPSLjfm, 9_lag_stratZ50ndj02, 15_lag_stratZ50ndj01, 15_lag_alpi, 19_lag_traMC, 2_lag_stratZ50ndj03_2535_2"
LinearRegression,8,10,shTSjfm,shigh,1722.5,2005.5,0.4,23,3,3,20.918283333338756,-0.008048147576674918,2535,"['10_lag_traBS', '12_lag_yrvPRjja', '15_lag_stratZ50ndj01', '19_lag_traMC', '8_lag_eapPSLjfm', '8_lag_traBS', '9_lag_stratZ50ndj02', '15_lag_alpi', '3_lag_stratZ50ndj03', '3_lag_eapPSLjfm']","[0.02790364047555634, 0.06590072921318785, 0.11512414751801525, 0.06741638440073491, 0.0022326980153259436, 0.04554225736505084, 0.065736343735725, 0.07538974914614256, 0.09916194954531493, 0.09314624435077053]","10_lag_traBS, 12_lag_yrvPRjja, 15_lag_stratZ50ndj01, 19_lag_traMC, 8_lag_eapPSLjfm, 8_lag_traBS, 9_lag_stratZ50ndj02, 15_lag_alpi, 3_lag_stratZ50ndj03, 3_lag_eapPSLjfm_2535_3"
LinearRegression,9,10,shTSjfm,shigh,1723.5,2005.5,0.4,24,4,8,21.119436626369286,-0.07560658581858684,2535,"['10_lag_traBO', '11_lag_traEU', '9_lag_ismPRjja', '15_lag_stratZ50ndj01', '8_lag_eapPSLjfm', '19_lag_traMC', '8_lag_traBS', '23_lag_stratZ50ndj03', '9_lag_stratZ50ndj02', '15_lag_alpi']","[0.07288274397112064, 0.04934816784219945, 0.0834962622296562, 0.10548220562433447, 0.030002392375711145, 0.039522687745120605, 0.030984271143091782, 0.0708260291856993, 0.06794524544309245, 0.0736712141635062]","10_lag_traBO, 11_lag_traEU, 9_lag_ismPRjja, 15_lag_stratZ50ndj01, 8_lag_eapPSLjfm, 19_lag_traMC, 8_lag_traBS, 23_lag_stratZ50ndj03, 9_lag_stratZ50ndj02, 15_lag_alpi_2535_8"
