model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,solFORC,shigh,1514.5,2005.5,0.4,15,1,1,18.324813207853776,0.6189470286785466,594,"['1_lag_9_median_amo3', '1_lag_11_median_amo2', '1_lag_3_median_shSICmar', '1_lag_3_median_scpPSLjfm', '5_lag_stratZ50ndj04', '1_lag_13_median_stratZ50ndj04']","[1.2138217788410604, 3.6260203836500775, 6.11329289731367, 1.873280630327951, 6.301259584789868, 7.990421222833813]","1_lag_9_median_amo3, 1_lag_11_median_amo2, 1_lag_3_median_shSICmar, 1_lag_3_median_scpPSLjfm, 5_lag_stratZ50ndj04, 1_lag_13_median_stratZ50ndj04_594_1"
LRforcedPSO,1,6,solFORC,shigh,1515.5,2005.5,0.4,16,1,1,50.055941228104906,-0.26220802214296374,638,"['1_lag_3_median_nhSICjfm', '1_lag_15_median_stratZ50ndj02', '10_lag_stratZ50ndj02', '1_lag_4_median_nppc2SSTjfm', '1_lag_11_median_stratZ50ndj03', '1_lag_5_median_shSICsep']","[9.09218670264141, 5.552478730678764, 4.766171165114217, 0.09969354856263202, 5.079067300681761, 9.826204987168401]","1_lag_3_median_nhSICjfm, 1_lag_15_median_stratZ50ndj02, 10_lag_stratZ50ndj02, 1_lag_4_median_nppc2SSTjfm, 1_lag_11_median_stratZ50ndj03, 1_lag_5_median_shSICsep_638_1"
LRforcedPSO,2,6,solFORC,shigh,1516.5,2005.5,0.4,17,1,1,35.557141453761666,0.21213352185208914,682,"['1_lag_15_median_nhSICjfm', '1_lag_14_median_shSICsep', '1_lag_12_median_scpPSLjfm', '6_lag_eapPSLjfm', '1_lag_14_median_atlSICjfm', '9_lag_nppc2SSTjfm']","[8.661963362584226, 2.5532223450620677, 1.113496837525096, 2.446915812126065, 4.6520745494324185, 5.275781110230181]","1_lag_15_median_nhSICjfm, 1_lag_14_median_shSICsep, 1_lag_12_median_scpPSLjfm, 6_lag_eapPSLjfm, 1_lag_14_median_atlSICjfm, 9_lag_nppc2SSTjfm_682_1"
LRforcedPSO,3,6,solFORC,shigh,1517.5,2005.5,0.4,18,1,1,28.739303851701035,0.3040973715854907,726,"['1_lag_7_median_eapPSLjfm', '7_lag_amo2', '11_lag_naoPSLjfm', '16_lag_nppc2SSTjfm', '1_lag_17_median_atlSICsep', '1_lag_11_median_eapPSLjfm']","[9.279434049733204, 5.168918566897414, 0.2863329182894052, 2.5792593093639127, 5.9173701452274985, 0.8280628729942574]","1_lag_7_median_eapPSLjfm, 7_lag_amo2, 11_lag_naoPSLjfm, 16_lag_nppc2SSTjfm, 1_lag_17_median_atlSICsep, 1_lag_11_median_eapPSLjfm_726_1"
LRforcedPSO,4,6,solFORC,shigh,1518.5,2005.5,0.4,19,1,1,24.522537855815337,0.4451875176769075,770,"['16_lag_nhSICsep', '1_lag_10_median_atlSICsep', '1_lag_4_median_stratZ50ndj01', '14_lag_eapPSLjfm', '1_lag_11_median_amo2', '15_lag_shSICsep']","[6.319910541269897, 6.319910541353124, 4.7399329060192805, 4.739932906019594, 6.319910541353407, 4.739932906015689]","16_lag_nhSICsep, 1_lag_10_median_atlSICsep, 1_lag_4_median_stratZ50ndj01, 14_lag_eapPSLjfm, 1_lag_11_median_amo2, 15_lag_shSICsep_770_1"
LRforcedPSO,5,6,solFORC,shigh,1519.5,2005.5,0.4,20,1,1,30.534010832765006,0.4262832188331206,814,"['19_lag_amoSSTmjjaso', '12_lag_nppc2SSTjfm', '1_lag_7_median_shSICmar', '14_lag_amoSSTjfm', '1_lag_16_median_shSICsep', '14_lag_solFORC']","[6.472654240662401, 2.8690726983413626, 3.991687919916094, 0.1929582735704578, 5.942713787285969, 8.791249462989917]","19_lag_amoSSTmjjaso, 12_lag_nppc2SSTjfm, 1_lag_7_median_shSICmar, 14_lag_amoSSTjfm, 1_lag_16_median_shSICsep, 14_lag_solFORC_814_1"
LRforcedPSO,6,6,solFORC,shigh,1520.5,2005.5,0.4,21,1,5,30.21114501712083,0.38754442949957546,858,"['5_lag_eurPSLjfm', '9_lag_scpPSLjfm', '19_lag_atlSICsep', '6_lag_nhSICjfm', '6_lag_stratZ50ndj04', '15_lag_AMOCann']","[3.4710465968765147, 3.3907786732125533, 0.11001853681370477, 3.867147644372608, 8.932649648459858, 5.541838931947238]","5_lag_eurPSLjfm, 9_lag_scpPSLjfm, 19_lag_atlSICsep, 6_lag_nhSICjfm, 6_lag_stratZ50ndj04, 15_lag_AMOCann_858_5"
LRforcedPSO,7,6,solFORC,shigh,1521.5,2005.5,0.4,22,1,1,27.963974558705956,0.421318295438161,902,"['1_lag_16_median_atlSICjfm', '6_lag_atlSICsep', '1_lag_19_median_shSICmar', '11_lag_scpPSLjfm', '4_lag_shSICmar', '1_lag_3_median_amoSSTmjjaso']","[2.4785095462961726, 6.612820613364048, 0.1691758277206148, 1.0371793761405996, 3.4608874537793497, 2.843872840045238]","1_lag_16_median_atlSICjfm, 6_lag_atlSICsep, 1_lag_19_median_shSICmar, 11_lag_scpPSLjfm, 4_lag_shSICmar, 1_lag_3_median_amoSSTmjjaso_902_1"
LRforcedPSO,8,6,solFORC,shigh,1522.5,2005.5,0.4,23,1,1,30.948680935730486,0.4131857645606658,946,"['15_lag_shSICsep', '1_lag_18_median_shSICsep', '1_lag_2_median_stratZ50ndj03', '9_lag_amoSSTjfm', '1_lag_15_median_eurPSLjfm', '9_lag_stratZ50ndj04']","[1.6624580862668754, 4.318920997427003, 0.1617206504356048, 5.914208011877484, 1.447098417878216, 7.472942291774764]","15_lag_shSICsep, 1_lag_18_median_shSICsep, 1_lag_2_median_stratZ50ndj03, 9_lag_amoSSTjfm, 1_lag_15_median_eurPSLjfm, 9_lag_stratZ50ndj04_946_1"
LRforcedPSO,9,6,solFORC,shigh,1523.5,2005.5,0.4,24,1,1,18.929339737309142,0.6273910250475212,990,"['1_lag_7_median_amo1', '1_lag_23_median_stratZ50ndj03', '2_lag_solFORC', '1_lag_13_median_naoPSLjfm', '1_lag_4_median_scpPSLjfm', '1_lag_3_median_amo2']","[2.3451080265460416, 8.463637470718098, 7.499160941436365, 3.5832353709561, 4.648624583261536, 7.9586057262427445]","1_lag_7_median_amo1, 1_lag_23_median_stratZ50ndj03, 2_lag_solFORC, 1_lag_13_median_naoPSLjfm, 1_lag_4_median_scpPSLjfm, 1_lag_3_median_amo2_990_1"
