model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,solFORC,shigh,1714.5,2005.5,0.6,15,5,5,9.43120995673108,0.7133613373891798,418,"['5_lag_13_median_nhSICsep', '5_lag_solFORC', '5_lag_amo2', '8_lag_nhSICsep', '5_lag_13_median_eurPSLjfm', '5_lag_14_median_eurPSLjfm']","[0.1818785351211709, 0.8495733041381974, 0.043948830026954655, 0.02527042824094472, 0.2219007269222954, 0.24895168514700267]","5_lag_13_median_nhSICsep, 5_lag_solFORC, 5_lag_amo2, 8_lag_nhSICsep, 5_lag_13_median_eurPSLjfm, 5_lag_14_median_eurPSLjfm_418_5"
LinearRegression,1,6,solFORC,shigh,1715.5,2005.5,0.6,16,6,6,12.852216831023195,0.3961013634127846,418,"['6_lag_13_median_eurPSLjfm', '6_lag_13_median_nhSICsep', '6_lag_15_median_eurPSLjfm', '15_lag_solFORC', '6_lag_14_median_eurPSLjfm', '6_lag_amo2']","[0.15295153814027312, 0.467853351982228, 0.5153960750898817, 0.6145814751151564, 0.7240430109369607, 0.25920315441298175]","6_lag_13_median_eurPSLjfm, 6_lag_13_median_nhSICsep, 6_lag_15_median_eurPSLjfm, 15_lag_solFORC, 6_lag_14_median_eurPSLjfm, 6_lag_amo2_418_6"
LinearRegression,2,6,solFORC,shigh,1716.5,2005.5,0.6,17,7,7,12.92608000151866,0.405524834247544,418,"['15_lag_nhSICsep', '7_lag_14_median_eurPSLjfm', '12_lag_AMOCann', '7_lag_15_median_eurPSLjfm', '7_lag_amo2', '16_lag_solFORC']","[0.2762442315671493, 0.10559163871444577, 0.03687170005087187, 1.1480564073849202, 0.16765206153371534, 0.5803093993493267]","15_lag_nhSICsep, 7_lag_14_median_eurPSLjfm, 12_lag_AMOCann, 7_lag_15_median_eurPSLjfm, 7_lag_amo2, 16_lag_solFORC_418_7"
LinearRegression,3,6,solFORC,shigh,1717.5,2005.5,0.6,18,8,8,7.330628748977194,0.8505853186596544,418,"['16_lag_nhSICsep', '17_lag_atlSICjfm', '13_lag_AMOCann', '8_lag_15_median_eurPSLjfm', '17_lag_solFORC', '8_lag_solFORC']","[0.10716641830089031, 0.11031765279482786, 0.04954388073474847, 0.23055215524559808, 0.425854732688592, 1.1658803029192084]","16_lag_nhSICsep, 17_lag_atlSICjfm, 13_lag_AMOCann, 8_lag_15_median_eurPSLjfm, 17_lag_solFORC, 8_lag_solFORC_418_8"
LinearRegression,4,6,solFORC,shigh,1718.5,2005.5,0.6,19,9,9,6.884995775583777,0.9024261617809708,418,"['9_lag_16_median_nhSICsep', '14_lag_AMOCann', '9_lag_17_median_nhSICsep', '18_lag_solFORC', '18_lag_atlSICjfm', '9_lag_solFORC']","[0.439250764339844, 0.008212808027674545, 0.2378029596717751, 0.5169924979954623, 0.109277393969379, 1.2318137185227394]","9_lag_16_median_nhSICsep, 14_lag_AMOCann, 9_lag_17_median_nhSICsep, 18_lag_solFORC, 18_lag_atlSICjfm, 9_lag_solFORC_418_9"
LinearRegression,5,6,solFORC,shigh,1719.5,2005.5,0.6,20,10,10,10.214886385314337,0.771809044998931,418,"['15_lag_AMOCann', '15_lag_nhSICsep', '10_lag_17_median_nhSICsep', '13_lag_scpPSLjfm', '19_lag_atlSICjfm', '10_lag_solFORC']","[0.03240286657101992, 0.01083773581144526, 0.3909539559626324, 0.04608409788724316, 0.18397962737420984, 0.6760308746417635]","15_lag_AMOCann, 15_lag_nhSICsep, 10_lag_17_median_nhSICsep, 13_lag_scpPSLjfm, 19_lag_atlSICjfm, 10_lag_solFORC_418_10"
LinearRegression,6,6,solFORC,shigh,1720.5,2005.5,0.6,21,11,11,11.161782308804149,0.7539741630934819,418,"['16_lag_AMOCann', '16_lag_stratZ50ndj03', '14_lag_scpPSLjfm', '16_lag_nhSICsep', '11_lag_18_median_nhSICsep', '11_lag_solFORC']","[0.08088195985895015, 0.09250504445563346, 0.06008981267404625, 0.035692617060967866, 0.32227183839995305, 0.67902199403168]","16_lag_AMOCann, 16_lag_stratZ50ndj03, 14_lag_scpPSLjfm, 16_lag_nhSICsep, 11_lag_18_median_nhSICsep, 11_lag_solFORC_418_11"
LinearRegression,7,6,solFORC,shigh,1721.5,2005.5,0.6,22,12,12,9.730275925527895,0.73291244872167,418,"['17_lag_stratZ50ndj03', '15_lag_scpPSLjfm', '12_lag_20_median_shSICmar', '17_lag_nhSICsep', '21_lag_atlSICjfm', '12_lag_solFORC']","[0.1199611413479661, 0.07530663013041183, 0.02061174990972693, 0.2311418096968775, 0.19526836261362446, 0.5726506160095628]","17_lag_stratZ50ndj03, 15_lag_scpPSLjfm, 12_lag_20_median_shSICmar, 17_lag_nhSICsep, 21_lag_atlSICjfm, 12_lag_solFORC_418_12"
LinearRegression,8,6,solFORC,shigh,1722.5,2005.5,0.6,23,13,13,10.685774265816038,0.6305998290800849,418,"['16_lag_scpPSLjfm', '16_lag_eapPSLjfm', '13_lag_21_median_shSICmar', '22_lag_atlSICjfm', '18_lag_nhSICsep', '13_lag_solFORC']","[0.09477621002265899, 0.055713690297901575, 0.04051712478218235, 0.2155358841601594, 0.26795628940735056, 0.5171198289156929]","16_lag_scpPSLjfm, 16_lag_eapPSLjfm, 13_lag_21_median_shSICmar, 22_lag_atlSICjfm, 18_lag_nhSICsep, 13_lag_solFORC_418_13"
LinearRegression,9,6,solFORC,shigh,1723.5,2005.5,0.6,24,14,14,12.079711576347478,0.5083609931438356,418,"['20_lag_nhSICsep', '18_lag_nhSICsep', '17_lag_eapPSLjfm', '14_lag_solFORC', '23_lag_atlSICjfm', '19_lag_nhSICsep']","[0.13181865155364872, 0.1308728915140623, 0.052331368047195806, 0.4615421992113329, 0.2563682333783922, 0.1390924804731535]","20_lag_nhSICsep, 18_lag_nhSICsep, 17_lag_eapPSLjfm, 14_lag_solFORC, 23_lag_atlSICjfm, 19_lag_nhSICsep_418_14"
LinearRegression,10,6,solFORC,shigh,1724.5,2005.5,0.6,25,15,15,14.784986829232759,0.16434021517026826,418,"['21_lag_atlSICsep', '15_lag_eurPSLjfm', '18_lag_eapPSLjfm', '24_lag_atlSICjfm', '20_lag_nhSICsep', '19_lag_nhSICsep']","[0.16128906714141836, 0.03925203174102743, 0.1442596339087711, 0.4275850788514951, 0.23173018061195694, 0.2129467411540489]","21_lag_atlSICsep, 15_lag_eurPSLjfm, 18_lag_eapPSLjfm, 24_lag_atlSICjfm, 20_lag_nhSICsep, 19_lag_nhSICsep_418_15"
LinearRegression,11,6,solFORC,shigh,1725.5,2005.5,0.6,26,16,16,15.059471339390136,0.03808677488588779,418,"['24_lag_eapPSLjfm', '16_lag_eurPSLjfm', '16_lag_23_median_eurPSLjfm', '25_lag_atlSICjfm', '20_lag_nhSICsep', '21_lag_nhSICsep']","[0.01224374801535522, 0.021480878936488312, 0.2464649344560712, 0.4705082117895518, 0.17249755457274107, 0.2492610679848937]","24_lag_eapPSLjfm, 16_lag_eurPSLjfm, 16_lag_23_median_eurPSLjfm, 25_lag_atlSICjfm, 20_lag_nhSICsep, 21_lag_nhSICsep_418_16"
LinearRegression,12,6,solFORC,shigh,1726.5,2005.5,0.6,27,17,21,14.481606222118899,0.09013235971230751,418,"['22_lag_AMOCann', '26_lag_solFORC', '25_lag_atlSICjfm', '22_lag_nhSICsep', '21_lag_nhSICsep', '26_lag_atlSICjfm']","[0.1472202337260196, 0.14538771854526678, 0.2299836534473854, 0.2549714417495822, 0.2254070843243622, 0.2979242761579258]","22_lag_AMOCann, 26_lag_solFORC, 25_lag_atlSICjfm, 22_lag_nhSICsep, 21_lag_nhSICsep, 26_lag_atlSICjfm_418_21"
