model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,solFORC,shigh,866.5,2005.5,0.8,15,1,1,1.8955300699218707,0.9881335548919662,1755,"['1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '13_lag_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '14_lag_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.018637968314112463, 0.4751386975020113, 0.11956884655422645, 0.2639796986804025, 0.7534639173141282, 0.07190138236169241, 0.009893429800222092, 0.28376655828084185, 0.2837665582808423, 1.653856644963771]","1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 13_lag_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 14_lag_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_1755_1"
LinearRegression,1,10,solFORC,shigh,867.5,2005.5,0.8,16,1,1,1.9205004222043678,0.9878670159085831,1885,"['1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '14_lag_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '15_lag_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.12310393418763181, 0.6584316458012811, 0.276135905718195, 0.25143958513973785, 0.8476154427796829, 0.22306945071588272, 0.0030245444333912297, 0.25748867400652475, 0.257488674006523, 1.6287751823650387]","1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 14_lag_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 15_lag_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_1885_1"
LinearRegression,2,10,solFORC,shigh,868.5,2005.5,0.8,17,1,1,1.9813951742366935,0.9873126954103678,2015,"['14_lag_solFORC', '1_lag_5_median_solFORC', '15_lag_solFORC', '16_lag_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.32803223707010587, 0.44373409355024873, 0.37170505442551927, 0.09457745255366337, 0.22151478743279437, 0.7168079840414419, 0.020353671197472195, 0.26222212982774085, 0.2622221298277402, 1.6436781874025779]","14_lag_solFORC, 1_lag_5_median_solFORC, 15_lag_solFORC, 16_lag_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_2015_1"
LinearRegression,3,10,solFORC,shigh,869.5,2005.5,0.8,18,1,1,1.9427671296414255,0.9878637229410222,2145,"['15_lag_solFORC', '16_lag_solFORC', '17_lag_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.047282736292642534, 0.10604714321226802, 0.11121412931597965, 0.4150635858827171, 0.392739867962086, 0.8504676044655808, 0.0434507748085075, 0.3058383183450737, 0.30583831834507347, 1.648868065412603]","15_lag_solFORC, 16_lag_solFORC, 17_lag_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_2145_1"
LinearRegression,4,10,solFORC,shigh,870.5,2005.5,0.8,19,1,1,1.9603150237689448,0.9875817151092676,2275,"['16_lag_solFORC', '17_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '1_lag_4_median_solFORC', '3_lag_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.17824950450378127, 0.1389129987297702, 0.20196329164095558, 0.8058268857364993, 1.067396664549071, 0.4169581414700565, 0.05096653990279919, 0.31502506166444716, 0.3150250616644475, 1.6609128757766054]","16_lag_solFORC, 17_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 1_lag_4_median_solFORC, 3_lag_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_2275_1"
LinearRegression,5,10,solFORC,shigh,871.5,2005.5,0.8,20,1,1,2.0758720038049976,0.9860807382294,2405,"['4_lag_solFORC', '1_lag_7_median_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.20042880311648528, 0.00968120427411906, 0.45959457051165387, 1.4522638266001906, 0.28001733671112716, 1.1132197474440888, 0.03353467333908666, 0.34708668338930054, 0.34708668338930054, 1.7767050527934232]","4_lag_solFORC, 1_lag_7_median_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_2405_1"
LinearRegression,6,10,solFORC,shigh,872.5,2005.5,0.8,21,1,1,2.0843498307693813,0.9860166524553509,2535,"['1_lag_8_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.031636542964593325, 0.21536792764356355, 0.3983434403514972, 1.4312628948747166, 0.2593829400462874, 1.0836279153653439, 0.0443825429627359, 0.34814802597175626, 0.3481480259717537, 1.7772804552327965]","1_lag_8_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_2535_1"
LinearRegression,7,10,solFORC,shigh,873.5,2005.5,0.8,22,2,2,4.037935678043578,0.949343791184249,2535,"['2_lag_9_median_solFORC', '2_lag_8_median_solFORC', '2_lag_7_median_solFORC', '2_lag_6_median_solFORC', '2_lag_5_median_solFORC', '4_lag_solFORC', '2_lag_4_median_solFORC', '2_lag_3_median_solFORC', '3_lag_solFORC', '2_lag_solFORC']","[2.0009882626032445, 4.012086447321409, 3.489940761023142, 2.9924956107003013, 2.0039048748066346, 0.31267587937788666, 0.09581640415489967, 0.504308687687655, 0.504308687687641, 2.27638565000969]","2_lag_9_median_solFORC, 2_lag_8_median_solFORC, 2_lag_7_median_solFORC, 2_lag_6_median_solFORC, 2_lag_5_median_solFORC, 4_lag_solFORC, 2_lag_4_median_solFORC, 2_lag_3_median_solFORC, 3_lag_solFORC, 2_lag_solFORC_2535_2"
LinearRegression,8,10,solFORC,shigh,874.5,2005.5,0.8,23,3,3,6.414579055272576,0.8834715693425075,2535,"['3_lag_9_median_solFORC', '6_lag_solFORC', '3_lag_8_median_solFORC', '3_lag_7_median_solFORC', '3_lag_6_median_solFORC', '5_lag_solFORC', '3_lag_5_median_solFORC', '3_lag_4_median_solFORC', '4_lag_solFORC', '3_lag_solFORC']","[0.876123210590308, 0.7891738421357217, 0.820482747518807, 2.7871148737853093, 2.1900888853784575, 0.08713970472248628, 0.2644332360461959, 0.6160061768148588, 0.616006176814859, 2.7078786845188496]","3_lag_9_median_solFORC, 6_lag_solFORC, 3_lag_8_median_solFORC, 3_lag_7_median_solFORC, 3_lag_6_median_solFORC, 5_lag_solFORC, 3_lag_5_median_solFORC, 3_lag_4_median_solFORC, 4_lag_solFORC, 3_lag_solFORC_2535_3"
LinearRegression,9,10,solFORC,shigh,875.5,2005.5,0.8,24,4,4,8.637692326423634,0.8041148015758659,2535,"['4_lag_10_median_solFORC', '7_lag_solFORC', '4_lag_9_median_solFORC', '4_lag_8_median_solFORC', '6_lag_solFORC', '4_lag_7_median_solFORC', '4_lag_6_median_solFORC', '4_lag_5_median_solFORC', '5_lag_solFORC', '4_lag_solFORC']","[1.6940069137080287, 0.9393762167705458, 0.9336954006005781, 3.9871077909799912, 0.8001000537214147, 2.9549621953708765, 0.14726895255632982, 1.0946379588340562, 1.0946379588340571, 3.171986024788989]","4_lag_10_median_solFORC, 7_lag_solFORC, 4_lag_9_median_solFORC, 4_lag_8_median_solFORC, 6_lag_solFORC, 4_lag_7_median_solFORC, 4_lag_6_median_solFORC, 4_lag_5_median_solFORC, 5_lag_solFORC, 4_lag_solFORC_2535_4"
