model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,stratZ50ndj02,shigh,1514.5,2005.5,0.4,15,1,1,19.123171774506485,0.06883482810214918,1755,"['8_lag_traFB', '11_lag_satlSSTjfm', '11_lag_traCA', '1_lag_nhTSjfm', '14_lag_amo1', '1_lag_4_median_nhTSjfm', '1_lag_11_median_ormenSSTjfm', '1_lag_11_median_ensoSSTjfm', '1_lag_11_median_traFSC', '14_lag_eapPSLjfm']","[0.19827272595762935, 4.263602355654662, 4.637618623889537, 0.03563171105693641, 0.5226131201960538, 5.830995776854568, 2.7066180734541323, 0.3558245207374018, 8.422215246517261, 2.911458204138839]","8_lag_traFB, 11_lag_satlSSTjfm, 11_lag_traCA, 1_lag_nhTSjfm, 14_lag_amo1, 1_lag_4_median_nhTSjfm, 1_lag_11_median_ormenSSTjfm, 1_lag_11_median_ensoSSTjfm, 1_lag_11_median_traFSC, 14_lag_eapPSLjfm_1755_1"
LRforcedPSO,1,10,stratZ50ndj02,shigh,1515.5,2005.5,0.4,16,1,1,21.162437641569195,-0.13145583074000966,1885,"['15_lag_traCA', '12_lag_labSSTjfm', '14_lag_traEU', '12_lag_traTLS', '1_lag_9_median_glTSjfm', '1_lag_9_median_eapPSLjfm', '4_lag_pdoSSTjfm', '10_lag_nppc3SSTjfm', '1_lag_10_median_traBS', '5_lag_nhSICjfm']","[3.878112656401999, 2.8544824916718152, 1.3702965536386067, 1.7521822120117605, 5.648078786523312, 6.342265061270684, 2.4414459122026866, 8.290433060827127, 5.407709462498678, 8.34873247295683]","15_lag_traCA, 12_lag_labSSTjfm, 14_lag_traEU, 12_lag_traTLS, 1_lag_9_median_glTSjfm, 1_lag_9_median_eapPSLjfm, 4_lag_pdoSSTjfm, 10_lag_nppc3SSTjfm, 1_lag_10_median_traBS, 5_lag_nhSICjfm_1885_1"
LRforcedPSO,2,10,stratZ50ndj02,shigh,1516.5,2005.5,0.4,17,1,1,14.861744189389622,0.059218582818116594,2015,"['12_lag_amo1', '2_lag_scpPSLjfm', '7_lag_traFB', '9_lag_nppc2SSTjfm', '10_lag_traEU', '1_lag_8_median_mhfATL60', '1_lag_8_median_labSSTjfm', '3_lag_seurTSjfm', '16_lag_eurPSLjfm', '1_lag_14_median_traEU']","[3.02276486258023, 0.4011632054869825, 4.581810284948764, 5.301491036479618, 7.015957547450654, 1.9513554651372758, 2.279754304352311, 1.1734953133046666, 0.08306948239703082, 4.2192387537895115]","12_lag_amo1, 2_lag_scpPSLjfm, 7_lag_traFB, 9_lag_nppc2SSTjfm, 10_lag_traEU, 1_lag_8_median_mhfATL60, 1_lag_8_median_labSSTjfm, 3_lag_seurTSjfm, 16_lag_eurPSLjfm, 1_lag_14_median_traEU_2015_1"
LRforcedPSO,3,10,stratZ50ndj02,shigh,1517.5,2005.5,0.4,18,1,1,29.329496947132245,0.09530250752916675,2145,"['10_lag_traDP', '17_lag_labSSTjfm', '5_lag_traFS', '11_lag_traBS', '3_lag_tripol2', '1_lag_4_median_yrvPRjja', '1_lag_9_median_traFS', '9_lag_traEC', '13_lag_AMOCann', '1_lag_12_median_satlSSTjfm']","[8.652847854906781, 0.4525628813217004, 3.2146427861984446, 1.5866448469193948, 5.56896868750917, 8.323807968873268, 5.187402939959727, 1.5176422542931807, 3.7134953546188054, 0.6753972963103365]","10_lag_traDP, 17_lag_labSSTjfm, 5_lag_traFS, 11_lag_traBS, 3_lag_tripol2, 1_lag_4_median_yrvPRjja, 1_lag_9_median_traFS, 9_lag_traEC, 13_lag_AMOCann, 1_lag_12_median_satlSSTjfm_2145_1"
LRforcedPSO,4,10,stratZ50ndj02,shigh,1518.5,2005.5,0.4,19,1,1,16.455677652339343,-0.02350433600156637,2275,"['1_lag_5_median_traMC', '1_lag_9_median_traWP', '16_lag_tripol2', '1_lag_17_median_traBO', '14_lag_yrvPRjja', '3_lag_labSSTjfm', '1_lag_14_median_eapPSLjfm', '1_lag_4_median_traDP', '1_lag_17_median_nhSICjfm', '1_lag_5_median_eapPSLjfm']","[2.1190582342278965, 0.06572665055269944, 8.520030294914582, 5.33358241008246, 1.3873454662799212, 2.5398007628566237, 4.180278382663143, 0.10935653648144594, 3.3783897430746084, 2.2192481296057984]","1_lag_5_median_traMC, 1_lag_9_median_traWP, 16_lag_tripol2, 1_lag_17_median_traBO, 14_lag_yrvPRjja, 3_lag_labSSTjfm, 1_lag_14_median_eapPSLjfm, 1_lag_4_median_traDP, 1_lag_17_median_nhSICjfm, 1_lag_5_median_eapPSLjfm_2275_1"
LRforcedPSO,5,10,stratZ50ndj02,shigh,1519.5,2005.5,0.4,20,1,1,19.262204670329798,-0.1255000504542314,2405,"['6_lag_shTSjfm', '19_lag_shTSjfm', '7_lag_nppc2SSTjfm', '17_lag_nppc2SSTjfm', '1_lag_17_median_atlSICjfm', '4_lag_shSICsep', '8_lag_stratZ50ndj03', '1_lag_12_median_shSICsep', '1_lag_3_median_stratZ50ndj04', '7_lag_mhfATL45']","[2.2424872869575943, 2.7783956570518917, 1.0155790338074837, 8.546215695918091, 5.705715114729625, 2.945086526701129, 5.537345493295456, 4.197162450128307, 1.8345028914570811, 1.735811718093764]","6_lag_shTSjfm, 19_lag_shTSjfm, 7_lag_nppc2SSTjfm, 17_lag_nppc2SSTjfm, 1_lag_17_median_atlSICjfm, 4_lag_shSICsep, 8_lag_stratZ50ndj03, 1_lag_12_median_shSICsep, 1_lag_3_median_stratZ50ndj04, 7_lag_mhfATL45_2405_1"
LRforcedPSO,6,10,stratZ50ndj02,shigh,1520.5,2005.5,0.4,21,1,1,19.033753702975257,-0.05711044903657179,2535,"['14_lag_yrvPRjja', '3_lag_yrvPRjja', '1_lag_17_median_eurPSLjfm', '1_lag_12_median_traBO', '1_lag_6_median_nhSICsep', '1_lag_9_median_traIT', '9_lag_mhfATL45', '1_lag_5_median_pdoSSTjfm', '1_lag_10_median_labSSTjfm', '1_lag_traBS']","[2.234521525853319, 3.4922032292919383, 2.2321654053655777, 2.2697237513287405, 2.838185258516819, 6.683074278214834, 1.1255500948838364, 3.3665029348933153, 3.0867743186298524, 5.811006709307409]","14_lag_yrvPRjja, 3_lag_yrvPRjja, 1_lag_17_median_eurPSLjfm, 1_lag_12_median_traBO, 1_lag_6_median_nhSICsep, 1_lag_9_median_traIT, 9_lag_mhfATL45, 1_lag_5_median_pdoSSTjfm, 1_lag_10_median_labSSTjfm, 1_lag_traBS_2535_1"
LRforcedPSO,7,10,stratZ50ndj02,shigh,1521.5,2005.5,0.4,22,2,2,19.959690383070498,-0.06872249625357851,2535,"['5_lag_traFB', '18_lag_atlSICsep', '9_lag_nhTSjfm', '2_lag_traEC', '2_lag_19_median_traMC', '21_lag_stratZ50ndj03', '2_lag_5_median_samPSLann', '14_lag_traBS', '3_lag_amo2', '6_lag_traWP']","[4.785402400490093, 4.362517063871753, 4.478912924028706, 1.5376632316434957, 1.6244278841794806, 2.5817138941599804, 4.696470463584998, 0.9207836172091195, 1.9605998439321475, 4.185555133674564]","5_lag_traFB, 18_lag_atlSICsep, 9_lag_nhTSjfm, 2_lag_traEC, 2_lag_19_median_traMC, 21_lag_stratZ50ndj03, 2_lag_5_median_samPSLann, 14_lag_traBS, 3_lag_amo2, 6_lag_traWP_2535_2"
LRforcedPSO,8,10,stratZ50ndj02,shigh,1522.5,2005.5,0.4,23,3,3,21.323344380662057,0.014638925948800698,2535,"['16_lag_amo3', '3_lag_5_median_traFB', '18_lag_labSSTjfm', '11_lag_yrvPRjja', '11_lag_arcTSjfm', '10_lag_ormenSSTjfm', '3_lag_15_median_ismPRjja', '5_lag_nppc3SSTjfm', '14_lag_amo1', '3_lag_12_median_atlSICsep']","[4.114583235178003, 3.817144061605271, 1.6791530120661964, 0.4489270424598413, 6.176714019483347, 2.7017946632562655, 2.8010545278792627, 8.742907563858314, 1.698993447467096, 3.3599819247720086]","16_lag_amo3, 3_lag_5_median_traFB, 18_lag_labSSTjfm, 11_lag_yrvPRjja, 11_lag_arcTSjfm, 10_lag_ormenSSTjfm, 3_lag_15_median_ismPRjja, 5_lag_nppc3SSTjfm, 14_lag_amo1, 3_lag_12_median_atlSICsep_2535_3"
LRforcedPSO,9,10,stratZ50ndj02,shigh,1523.5,2005.5,0.4,24,4,4,21.61531387449708,0.044563103406381845,2535,"['21_lag_nhSICjfm', '7_lag_tripol3', '7_lag_satlSSTjfm', '4_lag_traDP', '18_lag_traIFC', '23_lag_stratZ50ndj03', '23_lag_solFORC', '6_lag_shSICsep', '4_lag_12_median_mhfATL45', '4_lag_19_median_nchinaPRjja']","[8.20409361491279, 4.092179795540359, 3.6409894268423955, 3.158973520556522, 4.856333068635273, 0.13990473379264046, 7.576899851386351, 1.2720722907573148, 1.2570933178239034, 0.7123705588889031]","21_lag_nhSICjfm, 7_lag_tripol3, 7_lag_satlSSTjfm, 4_lag_traDP, 18_lag_traIFC, 23_lag_stratZ50ndj03, 23_lag_solFORC, 6_lag_shSICsep, 4_lag_12_median_mhfATL45, 4_lag_19_median_nchinaPRjja_2535_4"
