model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,stratZ50ndj02,shigh,1714.5,2005.5,0.8,15,5,5,14.77234774039004,0.010357925622691895,418,"['7_lag_amoSSTjfm', '8_lag_stratZ50ndj04', '5_lag_10_median_eapPSLjfm', '5_lag_10_median_stratZ50ndj04', '9_lag_amo2', '5_lag_13_median_eurPSLjfm']","[0.2832458938305722, 0.3339398838522616, 0.03300495213970068, 0.2575376075107312, 0.14418705771137114, 0.09569104670826625]","7_lag_amoSSTjfm, 8_lag_stratZ50ndj04, 5_lag_10_median_eapPSLjfm, 5_lag_10_median_stratZ50ndj04, 9_lag_amo2, 5_lag_13_median_eurPSLjfm_418_5"
LinearRegression,1,6,stratZ50ndj02,shigh,1715.5,2005.5,0.8,16,6,6,14.6540921041895,-0.08760053455809691,418,"['6_lag_11_median_stratZ50ndj02', '12_lag_nhSICsep', '6_lag_13_median_amo1', '6_lag_11_median_amoSSTjfm', '6_lag_13_median_nhSICsep', '9_lag_amo2']","[0.037926902436319646, 0.04278283695696779, 0.12797183380939506, 0.3318803098103607, 0.10176647974812683, 0.1523689050017713]","6_lag_11_median_stratZ50ndj02, 12_lag_nhSICsep, 6_lag_13_median_amo1, 6_lag_11_median_amoSSTjfm, 6_lag_13_median_nhSICsep, 9_lag_amo2_418_6"
LinearRegression,2,6,stratZ50ndj02,shigh,1716.5,2005.5,0.8,17,7,7,14.10002323106911,0.1469290853825825,418,"['7_lag_12_median_atlSICsep', '7_lag_10_median_amoSSTjfm', '16_lag_nhSICjfm', '7_lag_16_median_amoSSTjfm', '10_lag_amo2', '7_lag_10_median_stratZ50ndj02']","[0.162339091082639, 0.12706871591907523, 0.00811896768731113, 0.06672437561543525, 0.041931487653235296, 0.11001541156970852]","7_lag_12_median_atlSICsep, 7_lag_10_median_amoSSTjfm, 16_lag_nhSICjfm, 7_lag_16_median_amoSSTjfm, 10_lag_amo2, 7_lag_10_median_stratZ50ndj02_418_7"
LinearRegression,3,6,stratZ50ndj02,shigh,1717.5,2005.5,0.8,18,8,8,14.035860275015539,0.26428512430161005,418,"['8_lag_13_median_atlSICjfm', '8_lag_13_median_stratZ50ndj02', '8_lag_12_median_scpPSLjfm', '8_lag_11_median_amoSSTmjjaso', '8_lag_13_median_nhSICsep', '8_lag_17_median_nppc2SSTjfm']","[0.009815696609093899, 0.12385176712299421, 0.021452924078373393, 0.2040048269810064, 0.13169461202313298, 0.02586027274411265]","8_lag_13_median_atlSICjfm, 8_lag_13_median_stratZ50ndj02, 8_lag_12_median_scpPSLjfm, 8_lag_11_median_amoSSTmjjaso, 8_lag_13_median_nhSICsep, 8_lag_17_median_nppc2SSTjfm_418_8"
LinearRegression,4,6,stratZ50ndj02,shigh,1718.5,2005.5,0.8,19,9,9,15.17251323668237,-0.2969651100515083,418,"['9_lag_14_median_scpPSLjfm', '9_lag_14_median_stratZ50ndj04', '9_lag_15_median_shSICmar', '9_lag_12_median_naoPSLjfm', '9_lag_18_median_amoSSTmjjaso', '9_lag_16_median_stratZ50ndj03']","[0.030413812730104402, 0.004832713312848933, 0.09914321524971367, 0.021983714720315094, 0.024631076865525788, 0.016074606672694572]","9_lag_14_median_scpPSLjfm, 9_lag_14_median_stratZ50ndj04, 9_lag_15_median_shSICmar, 9_lag_12_median_naoPSLjfm, 9_lag_18_median_amoSSTmjjaso, 9_lag_16_median_stratZ50ndj03_418_9"
LinearRegression,5,6,stratZ50ndj02,shigh,1719.5,2005.5,0.8,20,10,10,14.506678634418181,0.23034628218713718,418,"['15_lag_stratZ50ndj04', '10_lag_14_median_atlSICjfm', '10_lag_19_median_amo3', '16_lag_amoSSTjfm', '14_lag_nhSICjfm', '10_lag_13_median_eurPSLjfm']","[0.22552382239964924, 0.1490675846224972, 0.22880078669861015, 0.13206079729399084, 0.10129502253543812, 0.16314792268253495]","15_lag_stratZ50ndj04, 10_lag_14_median_atlSICjfm, 10_lag_19_median_amo3, 16_lag_amoSSTjfm, 14_lag_nhSICjfm, 10_lag_13_median_eurPSLjfm_418_10"
LinearRegression,6,6,stratZ50ndj02,shigh,1720.5,2005.5,0.8,21,11,11,15.250304559908454,-0.1470967216713992,418,"['11_lag_16_median_shSICmar', '18_lag_solFORC', '16_lag_nhSICjfm', '11_lag_16_median_eapPSLjfm', '11_lag_15_median_naoPSLjfm', '11_lag_15_median_eapPSLjfm']","[0.14808327055467987, 0.04347481670110444, 0.07625216218651315, 0.18587787521295093, 0.09095448048941947, 0.06830377563178429]","11_lag_16_median_shSICmar, 18_lag_solFORC, 16_lag_nhSICjfm, 11_lag_16_median_eapPSLjfm, 11_lag_15_median_naoPSLjfm, 11_lag_15_median_eapPSLjfm_418_11"
LinearRegression,7,6,stratZ50ndj02,shigh,1721.5,2005.5,0.8,22,12,12,15.460503824436948,0.007496987654150352,418,"['12_lag_18_median_nppc2SSTjfm', '12_lag_21_median_stratZ50ndj02', '12_lag_16_median_atlSICjfm', '12_lag_15_median_naoPSLjfm', '21_lag_nhSICsep', '12_lag_17_median_naoPSLjfm']","[0.046281168469947814, 0.12625085864494434, 0.0935043459349609, 0.4121464013417132, 0.028746732965851382, 0.5297120291269887]","12_lag_18_median_nppc2SSTjfm, 12_lag_21_median_stratZ50ndj02, 12_lag_16_median_atlSICjfm, 12_lag_15_median_naoPSLjfm, 21_lag_nhSICsep, 12_lag_17_median_naoPSLjfm_418_12"
LinearRegression,8,6,stratZ50ndj02,shigh,1722.5,2005.5,0.8,23,13,13,14.883418378959899,-0.11759092799840429,418,"['13_lag_19_median_eapPSLjfm', '17_lag_amo2', '13_lag_17_median_stratZ50ndj02', '17_lag_stratZ50ndj02', '13_lag_17_median_eapPSLjfm', '13_lag_18_median_shSICmar']","[0.15116358637467453, 0.062326202543672465, 0.06936899126273703, 0.1139721522847304, 0.2348887380263658, 0.1201245824546035]","13_lag_19_median_eapPSLjfm, 17_lag_amo2, 13_lag_17_median_stratZ50ndj02, 17_lag_stratZ50ndj02, 13_lag_17_median_eapPSLjfm, 13_lag_18_median_shSICmar_418_13"
LinearRegression,9,6,stratZ50ndj02,shigh,1723.5,2005.5,0.8,24,14,14,15.134155520399002,0.029040828622327312,418,"['23_lag_amoSSTmjjaso', '14_lag_17_median_stratZ50ndj02', '14_lag_19_median_nhSICsep', '17_lag_shSICmar', '23_lag_atlSICjfm', '22_lag_amo1']","[0.21838291591147926, 0.04440442275554979, 0.11275082969821683, 0.0332429766908268, 0.11682548864864384, 0.2632514698416129]","23_lag_amoSSTmjjaso, 14_lag_17_median_stratZ50ndj02, 14_lag_19_median_nhSICsep, 17_lag_shSICmar, 23_lag_atlSICjfm, 22_lag_amo1_418_14"
