model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,stratZ50ndj02,shigh,866.5,2005.5,0.4,15,1,1,14.220676597118425,0.15402061156100774,1755,"['12_lag_yrvPRjja', '6_lag_amoSSTmjjaso', '4_lag_nppc3SSTjfm', '12_lag_ismPRjja', '1_lag_6_median_traEC', '5_lag_traTLS', '10_lag_shSICsep', '5_lag_amoSSTmjjaso', '13_lag_traDP', '14_lag_mhfATL30', '5_lag_stratZ50ndj01', '13_lag_traIFC', '13_lag_eurPSLjfm', '1_lag_6_median_naoPSLjfm', '9_lag_shSICmar', '5_lag_atlSICsep', '3_lag_nchinaPRjja', '1_lag_5_median_stratZ50ndj02', '11_lag_traIT', '1_lag_amo1', '5_lag_cetTSjfm', '8_lag_stratZ50ndj02', '14_lag_traBS', '11_lag_ormenSSTjfm', '13_lag_nppc2SSTjfm', '1_lag_stratZ50ndj01', '1_lag_traIT', '7_lag_nppc3SSTjfm', '1_lag_nppc2SSTjfm', '1_lag_stratZ50ndj02']","[0.14185975992595096, 0.05353924242005528, 0.19894821198813217, 0.022159059060066034, 0.03171289837204947, 0.07535912980216901, 0.06128609713833507, 0.10248250325834089, 0.1810037228172842, 0.03753823376517207, 0.003096277753991098, 0.01354980893968358, 0.01550427911761622, 0.08650146539715377, 0.14658342715983866, 0.02970505301936029, 0.08615172927380806, 0.0738839888887085, 0.08033260758243597, 0.04440877072502935, 0.07080554549549145, 0.1223262651014567, 0.0657115851873748, 0.12918244931521716, 0.1125316491257949, 0.14368377111842406, 0.25347661838809415, 0.07591220383490878, 0.15072601981530878, 0.03689781849314775]","12_lag_yrvPRjja, 6_lag_amoSSTmjjaso, 4_lag_nppc3SSTjfm, 12_lag_ismPRjja, 1_lag_6_median_traEC, 5_lag_traTLS, 10_lag_shSICsep, 5_lag_amoSSTmjjaso, 13_lag_traDP, 14_lag_mhfATL30, 5_lag_stratZ50ndj01, 13_lag_traIFC, 13_lag_eurPSLjfm, 1_lag_6_median_naoPSLjfm, 9_lag_shSICmar, 5_lag_atlSICsep, 3_lag_nchinaPRjja, 1_lag_5_median_stratZ50ndj02, 11_lag_traIT, 1_lag_amo1, 5_lag_cetTSjfm, 8_lag_stratZ50ndj02, 14_lag_traBS, 11_lag_ormenSSTjfm, 13_lag_nppc2SSTjfm, 1_lag_stratZ50ndj01, 1_lag_traIT, 7_lag_nppc3SSTjfm, 1_lag_nppc2SSTjfm, 1_lag_stratZ50ndj02_1755_1"
LinearRegression,1,30,stratZ50ndj02,shigh,867.5,2005.5,0.4,16,1,1,13.314429576373737,0.1512706172988788,1885,"['15_lag_cetTSjfm', '1_lag_6_median_naoPSLjfm', '3_lag_traEU', '5_lag_stratZ50ndj01', '1_lag_traWP', '8_lag_stratZ50ndj04', '7_lag_shSICmar', '4_lag_nppc3SSTjfm', '1_lag_5_median_stratZ50ndj02', '1_lag_amo1', '14_lag_mhfATL30', '15_lag_shSICsep', '13_lag_eurPSLjfm', '12_lag_ismPRjja', '15_lag_amoSSTmjjaso', '9_lag_shSICmar', '5_lag_cetTSjfm', '8_lag_stratZ50ndj02', '13_lag_nppc2SSTjfm', '1_lag_traEC', '8_lag_traFSC', '14_lag_traBS', '11_lag_traIT', '3_lag_nchinaPRjja', '11_lag_ormenSSTjfm', '7_lag_nppc3SSTjfm', '1_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_nppc2SSTjfm', '1_lag_stratZ50ndj02']","[0.039097648710414004, 0.12148101847911019, 0.11830189989287354, 0.005846683271866019, 0.07239486766826045, 0.12034720768929322, 0.1532322005275641, 0.16397048095480826, 0.07921916396801813, 0.04165206016104503, 0.044825979106395374, 0.022281159603359666, 0.019718438154085673, 0.07111175065690953, 0.13631608008129675, 0.10567064542282911, 0.06305341031227407, 0.11867110105848248, 0.1030587917831237, 0.04216837198346273, 0.010691047115057146, 0.09673223945655547, 0.10539103587850848, 0.11370595562956555, 0.10276782678985354, 0.11975471827028208, 0.1510855516986831, 0.2312374843777352, 0.16280096913728193, 0.005177628915120475]","15_lag_cetTSjfm, 1_lag_6_median_naoPSLjfm, 3_lag_traEU, 5_lag_stratZ50ndj01, 1_lag_traWP, 8_lag_stratZ50ndj04, 7_lag_shSICmar, 4_lag_nppc3SSTjfm, 1_lag_5_median_stratZ50ndj02, 1_lag_amo1, 14_lag_mhfATL30, 15_lag_shSICsep, 13_lag_eurPSLjfm, 12_lag_ismPRjja, 15_lag_amoSSTmjjaso, 9_lag_shSICmar, 5_lag_cetTSjfm, 8_lag_stratZ50ndj02, 13_lag_nppc2SSTjfm, 1_lag_traEC, 8_lag_traFSC, 14_lag_traBS, 11_lag_traIT, 3_lag_nchinaPRjja, 11_lag_ormenSSTjfm, 7_lag_nppc3SSTjfm, 1_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_nppc2SSTjfm, 1_lag_stratZ50ndj02_1885_1"
LinearRegression,2,30,stratZ50ndj02,shigh,868.5,2005.5,0.4,17,1,1,13.601971310362567,0.1404503820743927,2015,"['11_lag_nchinaPRjja', '13_lag_eurPSLjfm', '1_lag_5_median_stratZ50ndj02', '15_lag_cetTSjfm', '14_lag_tripol3', '1_lag_traWP', '14_lag_traTLS', '7_lag_shSICmar', '14_lag_satlSSTjfm', '3_lag_traEU', '14_lag_mhfATL30', '15_lag_nppc3SSTjfm', '5_lag_cetTSjfm', '9_lag_shSICmar', '11_lag_stratZ50ndj01', '5_lag_stratZ50ndj01', '7_lag_stratZ50ndj02', '4_lag_nppc3SSTjfm', '1_lag_traEC', '8_lag_traFSC', '8_lag_stratZ50ndj02', '14_lag_traBS', '11_lag_ormenSSTjfm', '3_lag_nchinaPRjja', '7_lag_nppc3SSTjfm', '1_lag_stratZ50ndj01', '1_lag_nppc2SSTjfm', '11_lag_traIT', '1_lag_traIT', '1_lag_stratZ50ndj02']","[0.11321367001389271, 0.00425603254444723, 0.08476604036924539, 0.04251223388222487, 0.05331435518128272, 0.06134626285580415, 0.045737892519913816, 0.13851589412997686, 0.09659869121888282, 0.13004515590092838, 0.05887804289321166, 0.07607281637940148, 0.08069836991864528, 0.0506797141187053, 0.08202080833297767, 0.024466420021726703, 0.019466062908869795, 0.15551658315082467, 0.04133153627852428, 0.020906148404478672, 0.11436652563732963, 0.1020191086534512, 0.16295170997408973, 0.10579228146772027, 0.12904929977496613, 0.15535274328506604, 0.15717053460485125, 0.09782166642652627, 0.246281935314909, 0.024889532444763485]","11_lag_nchinaPRjja, 13_lag_eurPSLjfm, 1_lag_5_median_stratZ50ndj02, 15_lag_cetTSjfm, 14_lag_tripol3, 1_lag_traWP, 14_lag_traTLS, 7_lag_shSICmar, 14_lag_satlSSTjfm, 3_lag_traEU, 14_lag_mhfATL30, 15_lag_nppc3SSTjfm, 5_lag_cetTSjfm, 9_lag_shSICmar, 11_lag_stratZ50ndj01, 5_lag_stratZ50ndj01, 7_lag_stratZ50ndj02, 4_lag_nppc3SSTjfm, 1_lag_traEC, 8_lag_traFSC, 8_lag_stratZ50ndj02, 14_lag_traBS, 11_lag_ormenSSTjfm, 3_lag_nchinaPRjja, 7_lag_nppc3SSTjfm, 1_lag_stratZ50ndj01, 1_lag_nppc2SSTjfm, 11_lag_traIT, 1_lag_traIT, 1_lag_stratZ50ndj02_2015_1"
LinearRegression,3,30,stratZ50ndj02,shigh,869.5,2005.5,0.4,18,1,1,13.295471300750135,0.1749850507251241,2145,"['5_lag_ginwSSTjfm', '1_lag_ensoSSTjfm', '11_lag_amo3', '10_lag_tripol3', '9_lag_ginwSSTjfm', '5_lag_stratZ50ndj01', '10_lag_nchinaPRjja', '14_lag_satlSSTjfm', '13_lag_samPSLann', '5_lag_traTLS', '1_lag_eapPSLjfm', '11_lag_ormenSSTjfm', '11_lag_nchinaPRjja', '4_lag_nppc3SSTjfm', '16_lag_amo2', '8_lag_ismPRjja', '11_lag_stratZ50ndj01', '7_lag_stratZ50ndj02', '1_lag_traEC', '1_lag_stratZ50ndj01', '7_lag_shSICmar', '8_lag_traFSC', '14_lag_traBS', '7_lag_nppc3SSTjfm', '8_lag_stratZ50ndj02', '3_lag_nchinaPRjja', '11_lag_traIT', '1_lag_traIT', '1_lag_nppc2SSTjfm', '1_lag_stratZ50ndj02']","[0.05415276884620294, 0.05433649425748899, 0.07434827755473854, 0.10400781491420483, 0.0663085291179983, 0.022613533481059295, 0.05056737559309286, 0.08818698746501323, 0.04274860684181638, 0.08629441483640168, 0.12945851641170283, 0.14973848046424904, 0.10144154619491243, 0.16095587572188316, 0.12066139123158247, 0.04338433231309705, 0.09116443700532709, 0.01293722495151356, 0.11060722578832181, 0.1603553451258241, 0.10230113248764891, 0.047535900498805087, 0.056285428364963495, 0.10689194952326934, 0.11658871779120197, 0.09559712501111939, 0.14022708286272106, 0.2387234423189628, 0.1619853291940776, 0.007885719518055457]","5_lag_ginwSSTjfm, 1_lag_ensoSSTjfm, 11_lag_amo3, 10_lag_tripol3, 9_lag_ginwSSTjfm, 5_lag_stratZ50ndj01, 10_lag_nchinaPRjja, 14_lag_satlSSTjfm, 13_lag_samPSLann, 5_lag_traTLS, 1_lag_eapPSLjfm, 11_lag_ormenSSTjfm, 11_lag_nchinaPRjja, 4_lag_nppc3SSTjfm, 16_lag_amo2, 8_lag_ismPRjja, 11_lag_stratZ50ndj01, 7_lag_stratZ50ndj02, 1_lag_traEC, 1_lag_stratZ50ndj01, 7_lag_shSICmar, 8_lag_traFSC, 14_lag_traBS, 7_lag_nppc3SSTjfm, 8_lag_stratZ50ndj02, 3_lag_nchinaPRjja, 11_lag_traIT, 1_lag_traIT, 1_lag_nppc2SSTjfm, 1_lag_stratZ50ndj02_2145_1"
LinearRegression,4,30,stratZ50ndj02,shigh,870.5,2005.5,0.4,19,1,1,13.66101351513981,0.13116324217176087,2275,"['3_lag_traEC', '13_lag_samPSLann', '5_lag_traTLS', '12_lag_yrvPRjja', '14_lag_satlSSTjfm', '13_lag_eapPSLjfm', '14_lag_traMC', '11_lag_stratZ50ndj01', '5_lag_stratZ50ndj01', '8_lag_ismPRjja', '11_lag_ormenSSTjfm', '7_lag_stratZ50ndj02', '1_lag_eapPSLjfm', '7_lag_shSICmar', '1_lag_traTLS', '8_lag_traFSC', '4_lag_nppc3SSTjfm', '18_lag_mhfIP30', '14_lag_traBS', '1_lag_stratZ50ndj01', '16_lag_amo2', '8_lag_stratZ50ndj02', '11_lag_nchinaPRjja', '3_lag_nchinaPRjja', '7_lag_nppc3SSTjfm', '1_lag_traEC', '1_lag_traIT', '11_lag_traIT', '1_lag_nppc2SSTjfm', '1_lag_stratZ50ndj02']","[0.13005910303155724, 0.0355093101127796, 0.07023536260745251, 0.16324191301345833, 0.13567666658714064, 0.042371679310227575, 0.038658319800274295, 0.07200154444369643, 0.03759907779876435, 0.03205953497619011, 0.14578813968543686, 0.002423310403995411, 0.13085809153224923, 0.08761233479331458, 0.07728546936023264, 0.042017375753555804, 0.14636277218557692, 0.014393324298714778, 0.07364675549013888, 0.15147233763632534, 0.08594010215885098, 0.11102848399342224, 0.11031760140039513, 0.1107966176473762, 0.1498526329068037, 0.13375928108036989, 0.16287702445405233, 0.09303213254589339, 0.145433794169536, 0.04591778242125533]","3_lag_traEC, 13_lag_samPSLann, 5_lag_traTLS, 12_lag_yrvPRjja, 14_lag_satlSSTjfm, 13_lag_eapPSLjfm, 14_lag_traMC, 11_lag_stratZ50ndj01, 5_lag_stratZ50ndj01, 8_lag_ismPRjja, 11_lag_ormenSSTjfm, 7_lag_stratZ50ndj02, 1_lag_eapPSLjfm, 7_lag_shSICmar, 1_lag_traTLS, 8_lag_traFSC, 4_lag_nppc3SSTjfm, 18_lag_mhfIP30, 14_lag_traBS, 1_lag_stratZ50ndj01, 16_lag_amo2, 8_lag_stratZ50ndj02, 11_lag_nchinaPRjja, 3_lag_nchinaPRjja, 7_lag_nppc3SSTjfm, 1_lag_traEC, 1_lag_traIT, 11_lag_traIT, 1_lag_nppc2SSTjfm, 1_lag_stratZ50ndj02_2275_1"
LinearRegression,5,30,stratZ50ndj02,shigh,871.5,2005.5,0.4,20,1,1,13.589857843454773,0.14085469571313158,2405,"['10_lag_atlSICjfm', '10_lag_satlSSTjfm', '8_lag_ismPRjja', '18_lag_shTSjfm', '1_lag_stratZ50ndj01', '14_lag_traMC', '13_lag_eurPSLjfm', '14_lag_satlSSTjfm', '12_lag_yrvPRjja', '5_lag_stratZ50ndj01', '7_lag_stratZ50ndj02', '11_lag_nchinaPRjja', '13_lag_eapPSLjfm', '13_lag_samPSLann', '19_lag_traWP', '11_lag_stratZ50ndj01', '14_lag_traBS', '8_lag_stratZ50ndj02', '16_lag_amo2', '4_lag_nppc3SSTjfm', '1_lag_eapPSLjfm', '8_lag_traFSC', '1_lag_traTLS', '3_lag_nchinaPRjja', '7_lag_nppc3SSTjfm', '11_lag_traIT', '1_lag_traEC', '1_lag_traIT', '1_lag_nppc2SSTjfm', '1_lag_stratZ50ndj02']","[0.09929198958295056, 0.16853507345952642, 0.04896659848956546, 0.15820410780135136, 0.13875087224477078, 0.05884751292212333, 0.01788370838783743, 0.1627626107351662, 0.15964346394020726, 0.041542094550337284, 0.009328532040224794, 0.08575533957698847, 0.04334075674616182, 0.03848914235686427, 0.16600591834893486, 0.030374433389265414, 0.061956698552222585, 0.09882932547451671, 0.13784658371017044, 0.19172004258768985, 0.1421974299316678, 0.10433090717969733, 0.11545447003271204, 0.10128310709968949, 0.1605629135412086, 0.10736555257856586, 0.13309330550638251, 0.14701252389568384, 0.14400613538186674, 0.029819063028931322]","10_lag_atlSICjfm, 10_lag_satlSSTjfm, 8_lag_ismPRjja, 18_lag_shTSjfm, 1_lag_stratZ50ndj01, 14_lag_traMC, 13_lag_eurPSLjfm, 14_lag_satlSSTjfm, 12_lag_yrvPRjja, 5_lag_stratZ50ndj01, 7_lag_stratZ50ndj02, 11_lag_nchinaPRjja, 13_lag_eapPSLjfm, 13_lag_samPSLann, 19_lag_traWP, 11_lag_stratZ50ndj01, 14_lag_traBS, 8_lag_stratZ50ndj02, 16_lag_amo2, 4_lag_nppc3SSTjfm, 1_lag_eapPSLjfm, 8_lag_traFSC, 1_lag_traTLS, 3_lag_nchinaPRjja, 7_lag_nppc3SSTjfm, 11_lag_traIT, 1_lag_traEC, 1_lag_traIT, 1_lag_nppc2SSTjfm, 1_lag_stratZ50ndj02_2405_1"
LinearRegression,6,30,stratZ50ndj02,shigh,872.5,2005.5,0.4,21,1,1,13.679662526752981,0.1343419401161941,2535,"['18_lag_shTSjfm', '16_lag_amo2', '8_lag_ismPRjja', '13_lag_samPSLann', '11_lag_traMC', '13_lag_eapPSLjfm', '14_lag_mhfATL30', '9_lag_stratZ50ndj02', '14_lag_traMC', '19_lag_traWP', '1_lag_traTLS', '11_lag_stratZ50ndj01', '8_lag_stratZ50ndj02', '5_lag_stratZ50ndj01', '15_lag_eapPSLjfm', '14_lag_traBS', '9_lag_arcTSjfm', '8_lag_traFSC', '4_lag_nppc3SSTjfm', '14_lag_satlSSTjfm', '12_lag_yrvPRjja', '11_lag_nchinaPRjja', '1_lag_eapPSLjfm', '7_lag_nppc3SSTjfm', '3_lag_nchinaPRjja', '11_lag_traIT', '1_lag_traEC', '1_lag_nppc2SSTjfm', '1_lag_traIT', '1_lag_stratZ50ndj02']","[0.1898468632069615, 0.11004872688017603, 0.04570494580118633, 0.05042858573173017, 0.023108585798722207, 0.042240073340999156, 0.04947564306592304, 0.10663769749804371, 0.060226927031477584, 0.16818011199619218, 0.12944921888317218, 0.018328750504720253, 0.08567995950294369, 0.0447425940558296, 0.018739607242418747, 0.05152251783341073, 0.12923810178732376, 0.08872877941677132, 0.18702892396338722, 0.10879254031352255, 0.17282183446216037, 0.08374006361896494, 0.12359301822275087, 0.148744027812158, 0.12068598056653329, 0.09755533476022502, 0.11098862604451173, 0.10990504719384579, 0.13904408417807665, 0.02886494263199635]","18_lag_shTSjfm, 16_lag_amo2, 8_lag_ismPRjja, 13_lag_samPSLann, 11_lag_traMC, 13_lag_eapPSLjfm, 14_lag_mhfATL30, 9_lag_stratZ50ndj02, 14_lag_traMC, 19_lag_traWP, 1_lag_traTLS, 11_lag_stratZ50ndj01, 8_lag_stratZ50ndj02, 5_lag_stratZ50ndj01, 15_lag_eapPSLjfm, 14_lag_traBS, 9_lag_arcTSjfm, 8_lag_traFSC, 4_lag_nppc3SSTjfm, 14_lag_satlSSTjfm, 12_lag_yrvPRjja, 11_lag_nchinaPRjja, 1_lag_eapPSLjfm, 7_lag_nppc3SSTjfm, 3_lag_nchinaPRjja, 11_lag_traIT, 1_lag_traEC, 1_lag_nppc2SSTjfm, 1_lag_traIT, 1_lag_stratZ50ndj02_2535_1"
LinearRegression,7,30,stratZ50ndj02,shigh,873.5,2005.5,0.4,22,1,1,13.649047635261955,0.14028289776400363,2665,"['19_lag_traWP', '11_lag_amo3', '14_lag_shSICmar', '14_lag_traMC', '7_lag_traEC', '7_lag_shSICmar', '14_lag_traBS', '1_lag_traTLS', '5_lag_stratZ50ndj01', '15_lag_eapPSLjfm', '11_lag_traMC', '8_lag_traFSC', '21_lag_scpPSLjfm', '13_lag_nchinaPRjja', '15_lag_stratZ50ndj03', '21_lag_mhfIP30', '4_lag_nppc3SSTjfm', '9_lag_arcTSjfm', '14_lag_satlSSTjfm', '1_lag_eapPSLjfm', '21_lag_nppc3SSTjfm', '7_lag_nppc3SSTjfm', '11_lag_traIT', '11_lag_nchinaPRjja', '12_lag_yrvPRjja', '1_lag_traEC', '3_lag_nchinaPRjja', '1_lag_nppc2SSTjfm', '1_lag_traIT', '1_lag_stratZ50ndj02']","[0.15256286939132907, 0.05192458554909969, 0.009352068218949735, 0.06749405500275509, 0.0724763925605741, 0.09583170573127106, 0.05859777079365181, 0.08875867393573127, 0.03110292168142347, 0.011864514750837076, 0.052963155694787996, 0.07723594913986763, 0.03441128596019367, 0.06669174134216607, 0.05801530617612877, 0.1135250792721063, 0.15888007146293606, 0.10825833425911112, 0.09031495436862066, 0.12836244038876593, 0.12075224771613563, 0.1846453799292841, 0.09907889852988697, 0.08916813090233632, 0.16761165284942833, 0.09857076826838213, 0.11640421735337003, 0.07561553645733762, 0.18774243899902104, 0.05707788888960384]","19_lag_traWP, 11_lag_amo3, 14_lag_shSICmar, 14_lag_traMC, 7_lag_traEC, 7_lag_shSICmar, 14_lag_traBS, 1_lag_traTLS, 5_lag_stratZ50ndj01, 15_lag_eapPSLjfm, 11_lag_traMC, 8_lag_traFSC, 21_lag_scpPSLjfm, 13_lag_nchinaPRjja, 15_lag_stratZ50ndj03, 21_lag_mhfIP30, 4_lag_nppc3SSTjfm, 9_lag_arcTSjfm, 14_lag_satlSSTjfm, 1_lag_eapPSLjfm, 21_lag_nppc3SSTjfm, 7_lag_nppc3SSTjfm, 11_lag_traIT, 11_lag_nchinaPRjja, 12_lag_yrvPRjja, 1_lag_traEC, 3_lag_nchinaPRjja, 1_lag_nppc2SSTjfm, 1_lag_traIT, 1_lag_stratZ50ndj02_2665_1"
LinearRegression,8,30,stratZ50ndj02,shigh,874.5,2005.5,0.4,23,1,1,13.583542981742308,0.119728060209837,2795,"['1_lag_2_median_yrvPRjja', '8_lag_traFSC', '3_lag_eurPSLjfm', '21_lag_nppc3SSTjfm', '21_lag_scpPSLjfm', '22_lag_stratZ50ndj03', '1_lag_traTLS', '21_lag_traEU', '14_lag_traMC', '19_lag_eurPSLjfm', '1_lag_eapPSLjfm', '7_lag_shSICmar', '12_lag_traIFC', '15_lag_eapPSLjfm', '13_lag_nchinaPRjja', '21_lag_mhfIP30', '22_lag_stratZ50ndj02', '14_lag_traBS', '14_lag_satlSSTjfm', '9_lag_arcTSjfm', '15_lag_stratZ50ndj03', '11_lag_nchinaPRjja', '11_lag_traIT', '7_lag_nppc3SSTjfm', '1_lag_traEC', '12_lag_yrvPRjja', '3_lag_nchinaPRjja', '1_lag_nppc2SSTjfm', '1_lag_traIT', '1_lag_stratZ50ndj02']","[0.13762141218795654, 0.07169480211438534, 0.0243167312270537, 0.11549882802173855, 0.04897967221688148, 0.021082247204709696, 0.09674877773649129, 0.03458104420277299, 0.05811433290989217, 0.019356370345533627, 0.11730338885604337, 0.08875017654852284, 0.04318544778982682, 0.004190445373996353, 0.08409332931494166, 0.11347276559129668, 0.04783196309550255, 0.042197435057203914, 0.14434848668033454, 0.10356141652666402, 0.06821336855348972, 0.09723347530001092, 0.09108587154210913, 0.12579014393756457, 0.05182135552466757, 0.15971731081194177, 0.09725240734993884, 0.08349550279556565, 0.18069986380848213, 0.031853973431588065]","1_lag_2_median_yrvPRjja, 8_lag_traFSC, 3_lag_eurPSLjfm, 21_lag_nppc3SSTjfm, 21_lag_scpPSLjfm, 22_lag_stratZ50ndj03, 1_lag_traTLS, 21_lag_traEU, 14_lag_traMC, 19_lag_eurPSLjfm, 1_lag_eapPSLjfm, 7_lag_shSICmar, 12_lag_traIFC, 15_lag_eapPSLjfm, 13_lag_nchinaPRjja, 21_lag_mhfIP30, 22_lag_stratZ50ndj02, 14_lag_traBS, 14_lag_satlSSTjfm, 9_lag_arcTSjfm, 15_lag_stratZ50ndj03, 11_lag_nchinaPRjja, 11_lag_traIT, 7_lag_nppc3SSTjfm, 1_lag_traEC, 12_lag_yrvPRjja, 3_lag_nchinaPRjja, 1_lag_nppc2SSTjfm, 1_lag_traIT, 1_lag_stratZ50ndj02_2795_1"
LinearRegression,9,30,stratZ50ndj02,shigh,875.5,2005.5,0.4,24,1,1,13.756019720748398,0.14451721508981807,2925,"['8_lag_traFSC', '1_lag_2_median_yrvPRjja', '1_lag_traCA', '14_lag_shSICmar', '21_lag_traEU', '14_lag_traBS', '5_lag_stratZ50ndj01', '7_lag_traEC', '19_lag_eurPSLjfm', '22_lag_tripol3', '4_lag_nppc3SSTjfm', '9_lag_arcTSjfm', '15_lag_eapPSLjfm', '14_lag_traMC', '12_lag_traIFC', '21_lag_mhfIP30', '1_lag_eapPSLjfm', '13_lag_nchinaPRjja', '22_lag_stratZ50ndj02', '11_lag_nchinaPRjja', '11_lag_traIT', '7_lag_nppc3SSTjfm', '1_lag_traEC', '12_lag_yrvPRjja', '15_lag_stratZ50ndj03', '1_lag_nppc2SSTjfm', '3_lag_nchinaPRjja', '23_lag_stratZ50ndj03', '1_lag_traIT', '1_lag_stratZ50ndj02']","[0.05436717179154908, 0.10626264372597506, 0.2306928489457508, 0.022504046367957123, 0.02134473827933681, 0.03957265170435663, 0.028022663536814936, 0.09108249256046447, 0.06029850446435139, 0.10480856225886939, 0.1627086143474443, 0.11079391913331832, 0.02041404125489814, 0.08981874585326245, 0.016590864068247897, 0.09927850996531427, 0.16700058316276972, 0.08099028727727298, 0.06366740584668748, 0.09794851201889297, 0.13236235806391247, 0.13118730766670733, 0.11300702045553929, 0.10681910859843824, 0.07602561210772907, 0.0804414430635961, 0.11324613814080517, 0.13521490427444713, 0.21278459152738122, 0.05867076999322556]","8_lag_traFSC, 1_lag_2_median_yrvPRjja, 1_lag_traCA, 14_lag_shSICmar, 21_lag_traEU, 14_lag_traBS, 5_lag_stratZ50ndj01, 7_lag_traEC, 19_lag_eurPSLjfm, 22_lag_tripol3, 4_lag_nppc3SSTjfm, 9_lag_arcTSjfm, 15_lag_eapPSLjfm, 14_lag_traMC, 12_lag_traIFC, 21_lag_mhfIP30, 1_lag_eapPSLjfm, 13_lag_nchinaPRjja, 22_lag_stratZ50ndj02, 11_lag_nchinaPRjja, 11_lag_traIT, 7_lag_nppc3SSTjfm, 1_lag_traEC, 12_lag_yrvPRjja, 15_lag_stratZ50ndj03, 1_lag_nppc2SSTjfm, 3_lag_nchinaPRjja, 23_lag_stratZ50ndj03, 1_lag_traIT, 1_lag_stratZ50ndj02_2925_1"
