model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,10,stratZ50ndj03,shigh,866.5,2005.5,0.4,15,5,5,13.532854447791866,-0.007180957262613939,1235,"['13_lag_traIFC', '5_lag_7_median_stratZ50ndj01', '14_lag_mhfATL30', '13_lag_traFB', '14_lag_wnorPRjfm', '7_lag_ginwSSTjfm', '5_lag_stratZ50ndj01', '7_lag_alpi', '5_lag_traEU', '12_lag_atlSICsep']","[0.09675516612250284, 0.10332421371390925, 0.09094757054704605, 0.09408873332239903, 0.1043833318446557, 0.10063301912905893, 0.10514347787696268, 0.08899880232818863, 0.09483614566007181, 0.12088953945520506]","13_lag_traIFC, 5_lag_7_median_stratZ50ndj01, 14_lag_mhfATL30, 13_lag_traFB, 14_lag_wnorPRjfm, 7_lag_ginwSSTjfm, 5_lag_stratZ50ndj01, 7_lag_alpi, 5_lag_traEU, 12_lag_atlSICsep_1235_5"
RandomForestRegressor,1,10,stratZ50ndj03,shigh,867.5,2005.5,0.4,16,6,6,13.36398416572686,-0.033698272040178084,1235,"['6_lag_12_median_ismPRjja', '15_lag_pdoSSTjfm', '8_lag_amo3', '14_lag_wnorPRjfm', '13_lag_traIFC', '15_lag_stratZ50ndj04', '13_lag_traFB', '6_lag_yrvPRjja', '15_lag_ismPRjja', '12_lag_atlSICsep']","[0.09657173306709207, 0.09721091771671815, 0.10152234165510973, 0.10166580563322704, 0.08688651571191809, 0.10406353894990536, 0.09339272132306327, 0.10331363032462546, 0.100999218035354, 0.1143735775829869]","6_lag_12_median_ismPRjja, 15_lag_pdoSSTjfm, 8_lag_amo3, 14_lag_wnorPRjfm, 13_lag_traIFC, 15_lag_stratZ50ndj04, 13_lag_traFB, 6_lag_yrvPRjja, 15_lag_ismPRjja, 12_lag_atlSICsep_1235_6"
RandomForestRegressor,2,10,stratZ50ndj03,shigh,868.5,2005.5,0.4,17,7,7,13.145877897371857,0.06385335193602643,1235,"['14_lag_wnorPRjfm', '13_lag_traIFC', '7_lag_alpi', '7_lag_ginwSSTjfm', '13_lag_traFB', '12_lag_atlSICsep', '15_lag_ismPRjja', '16_lag_yrvPRjja', '7_lag_12_median_ensoSSTjfm', '16_lag_alpi']","[0.09836469633580096, 0.09124359833322088, 0.09379097813525235, 0.08799201520925941, 0.10679031680459378, 0.11303563650962101, 0.08459634619698772, 0.10614144588571671, 0.10716259435261255, 0.11088237223693474]","14_lag_wnorPRjfm, 13_lag_traIFC, 7_lag_alpi, 7_lag_ginwSSTjfm, 13_lag_traFB, 12_lag_atlSICsep, 15_lag_ismPRjja, 16_lag_yrvPRjja, 7_lag_12_median_ensoSSTjfm, 16_lag_alpi_1235_7"
RandomForestRegressor,3,10,stratZ50ndj03,shigh,869.5,2005.5,0.4,18,8,10,13.015343332466877,0.04988050818990021,1235,"['10_lag_traWP', '13_lag_traIFC', '13_lag_traFB', '17_lag_stratZ50ndj04', '16_lag_naoPSLjfm', '12_lag_atlSICsep', '17_lag_eurPSLjfm', '15_lag_ismPRjja', '16_lag_yrvPRjja', '16_lag_alpi']","[0.10516420288202724, 0.08868155095472763, 0.09368265934210769, 0.08709060672398933, 0.10748593751605241, 0.11725748380416194, 0.10664546828506245, 0.09084940353544674, 0.09242782931873361, 0.1107148576376909]","10_lag_traWP, 13_lag_traIFC, 13_lag_traFB, 17_lag_stratZ50ndj04, 16_lag_naoPSLjfm, 12_lag_atlSICsep, 17_lag_eurPSLjfm, 15_lag_ismPRjja, 16_lag_yrvPRjja, 16_lag_alpi_1235_10"
RandomForestRegressor,4,10,stratZ50ndj03,shigh,870.5,2005.5,0.4,19,9,9,13.163189672312134,0.04262673281398505,1235,"['13_lag_traFB', '17_lag_stratZ50ndj04', '9_lag_13_median_nhSICsep', '14_lag_wnorPRjfm', '12_lag_atlSICsep', '15_lag_ismPRjja', '17_lag_eurPSLjfm', '16_lag_yrvPRjja', '18_lag_traIT', '16_lag_alpi']","[0.090320565127878, 0.08723601942328159, 0.08646283025754455, 0.09867280659724426, 0.10948492510461377, 0.09680376569735835, 0.09507110996629226, 0.11179363476570861, 0.11157413029208285, 0.11258021276799579]","13_lag_traFB, 17_lag_stratZ50ndj04, 9_lag_13_median_nhSICsep, 14_lag_wnorPRjfm, 12_lag_atlSICsep, 15_lag_ismPRjja, 17_lag_eurPSLjfm, 16_lag_yrvPRjja, 18_lag_traIT, 16_lag_alpi_1235_9"
RandomForestRegressor,5,10,stratZ50ndj03,shigh,871.5,2005.5,0.4,20,10,10,13.214291149609203,0.030419882127888886,1235,"['17_lag_stratZ50ndj04', '12_lag_atlSICsep', '10_lag_12_median_atlSICsep', '15_lag_ismPRjja', '16_lag_yrvPRjja', '17_lag_eurPSLjfm', '10_lag_16_median_arcTSjfm', '18_lag_traIT', '16_lag_alpi', '10_lag_17_median_samPSLann']","[0.09017091304390139, 0.09581216017256823, 0.09432094263241901, 0.09088659214951546, 0.1106771682883233, 0.10687628861511916, 0.10515750019325275, 0.1012139216579501, 0.09485251269057932, 0.11003200055637125]","17_lag_stratZ50ndj04, 12_lag_atlSICsep, 10_lag_12_median_atlSICsep, 15_lag_ismPRjja, 16_lag_yrvPRjja, 17_lag_eurPSLjfm, 10_lag_16_median_arcTSjfm, 18_lag_traIT, 16_lag_alpi, 10_lag_17_median_samPSLann_1235_10"
RandomForestRegressor,6,10,stratZ50ndj03,shigh,872.5,2005.5,0.4,21,11,11,13.33413443658594,-0.007003385786997486,1235,"['14_lag_wnorPRjfm', '18_lag_eurPSLjfm', '17_lag_stratZ50ndj04', '11_lag_17_median_arcTSjfm', '11_lag_16_median_arcTSjfm', '15_lag_ismPRjja', '17_lag_eurPSLjfm', '16_lag_yrvPRjja', '18_lag_traIT', '16_lag_alpi']","[0.10402299933862066, 0.09734443945421307, 0.08787483217478467, 0.08476641352326453, 0.08962157601884418, 0.09471008421744953, 0.11376241973540041, 0.10937876307826669, 0.11093050145076068, 0.10758797100839562]","14_lag_wnorPRjfm, 18_lag_eurPSLjfm, 17_lag_stratZ50ndj04, 11_lag_17_median_arcTSjfm, 11_lag_16_median_arcTSjfm, 15_lag_ismPRjja, 17_lag_eurPSLjfm, 16_lag_yrvPRjja, 18_lag_traIT, 16_lag_alpi_1235_11"
RandomForestRegressor,7,10,stratZ50ndj03,shigh,873.5,2005.5,0.4,22,12,12,13.385561642954455,0.004315618519982312,1235,"['19_lag_amo3', '14_lag_wnorPRjfm', '18_lag_eurPSLjfm', '12_lag_16_median_neurTSjfm', '17_lag_eurPSLjfm', '15_lag_ismPRjja', '16_lag_yrvPRjja', '12_lag_atlSICsep', '18_lag_traIT', '16_lag_alpi']","[0.11487460387159025, 0.09417528364324151, 0.09039597438445378, 0.09294971654442104, 0.09833736350797295, 0.09454400881343272, 0.09561080149600748, 0.11359952148525629, 0.09913952920255964, 0.10637319705106435]","19_lag_amo3, 14_lag_wnorPRjfm, 18_lag_eurPSLjfm, 12_lag_16_median_neurTSjfm, 17_lag_eurPSLjfm, 15_lag_ismPRjja, 16_lag_yrvPRjja, 12_lag_atlSICsep, 18_lag_traIT, 16_lag_alpi_1235_12"
RandomForestRegressor,8,10,stratZ50ndj03,shigh,874.5,2005.5,0.4,23,13,13,13.063107345829447,0.028277668956057236,1235,"['22_lag_traBO', '15_lag_ismPRjja', '16_lag_stratZ50ndj03', '13_lag_traFB', '22_lag_nhSICjfm', '18_lag_eurPSLjfm', '17_lag_eurPSLjfm', '16_lag_yrvPRjja', '18_lag_traIT', '16_lag_alpi']","[0.08483664204027104, 0.09593948647329763, 0.10111533221611277, 0.09794136456873684, 0.10116538362518773, 0.0998776579806528, 0.10416708077184163, 0.09747185335471308, 0.10551448985206939, 0.11197070911711712]","22_lag_traBO, 15_lag_ismPRjja, 16_lag_stratZ50ndj03, 13_lag_traFB, 22_lag_nhSICjfm, 18_lag_eurPSLjfm, 17_lag_eurPSLjfm, 16_lag_yrvPRjja, 18_lag_traIT, 16_lag_alpi_1235_13"
RandomForestRegressor,9,10,stratZ50ndj03,shigh,875.5,2005.5,0.4,24,14,14,13.706325202249575,-0.09944986601128004,1235,"['17_lag_eurPSLjfm', '14_lag_17_median_eurPSLjfm', '14_lag_19_median_alpi', '14_lag_wnorPRjfm', '18_lag_eurPSLjfm', '16_lag_yrvPRjja', '14_lag_16_median_ensoSSTjfm', '18_lag_traIT', '14_lag_16_median_naoPSLjfm', '16_lag_alpi']","[0.09763523360678349, 0.09012529739364185, 0.0899881239815299, 0.09225973156259501, 0.09815477618265758, 0.09529703422478832, 0.10999980274404511, 0.10920621221523458, 0.1151301739797348, 0.10220361410898932]","17_lag_eurPSLjfm, 14_lag_17_median_eurPSLjfm, 14_lag_19_median_alpi, 14_lag_wnorPRjfm, 18_lag_eurPSLjfm, 16_lag_yrvPRjja, 14_lag_16_median_ensoSSTjfm, 18_lag_traIT, 14_lag_16_median_naoPSLjfm, 16_lag_alpi_1235_14"
