model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,stratZ50ndj04,shigh,866.5,2005.5,0.8,15,5,5,10.408599540752123,0.41988972890028997,418,"['5_lag_14_median_amo2', '5_lag_atlSICjfm', '5_lag_6_median_nhSICjfm', '5_lag_14_median_amo1', '12_lag_stratZ50ndj04', '5_lag_6_median_nhSICsep']","[3.4551992620696597, 3.371642028025032, 3.368110828603317, 3.513331503165411, 3.293215785992125, 4.381323121375934]","5_lag_14_median_amo2, 5_lag_atlSICjfm, 5_lag_6_median_nhSICjfm, 5_lag_14_median_amo1, 12_lag_stratZ50ndj04, 5_lag_6_median_nhSICsep_418_5"
LRforcedPSO,1,6,stratZ50ndj04,shigh,867.5,2005.5,0.8,16,6,6,10.558681155603157,0.3177637964393305,418,"['6_lag_13_median_stratZ50ndj04', '13_lag_shSICmar', '6_lag_13_median_atlSICsep', '7_lag_atlSICsep', '6_lag_9_median_amo3', '9_lag_nhSICsep']","[3.037200903231396, 3.4428287652799945, 2.213919949040765, 0.5799625199577179, 1.6386871756087924, 7.104721569255892]","6_lag_13_median_stratZ50ndj04, 13_lag_shSICmar, 6_lag_13_median_atlSICsep, 7_lag_atlSICsep, 6_lag_9_median_amo3, 9_lag_nhSICsep_418_6"
LRforcedPSO,2,6,stratZ50ndj04,shigh,868.5,2005.5,0.8,17,7,7,9.675172435102782,0.3933638929075136,418,"['7_lag_12_median_atlSICjfm', '10_lag_amo1', '11_lag_atlSICsep', '7_lag_8_median_nhSICjfm', '14_lag_amoSSTmjjaso', '7_lag_10_median_stratZ50ndj01']","[1.8107993337954937, 5.542439519595439, 1.4421507982146302, 0.10349175831939128, 1.6202546041070178, 1.8767961311568548]","7_lag_12_median_atlSICjfm, 10_lag_amo1, 11_lag_atlSICsep, 7_lag_8_median_nhSICjfm, 14_lag_amoSSTmjjaso, 7_lag_10_median_stratZ50ndj01_418_7"
LRforcedPSO,3,6,stratZ50ndj04,shigh,869.5,2005.5,0.8,18,8,8,10.851469246182377,0.25556476933098193,418,"['12_lag_scpPSLjfm', '17_lag_stratZ50ndj01', '8_lag_14_median_scpPSLjfm', '12_lag_nppc2SSTjfm', '11_lag_amo1', '11_lag_naoPSLjfm']","[0.24836969010664234, 0.4505917200724596, 2.122375114956757, 0.8228909839713623, 2.5207647217050226, 0.6058481581442994]","12_lag_scpPSLjfm, 17_lag_stratZ50ndj01, 8_lag_14_median_scpPSLjfm, 12_lag_nppc2SSTjfm, 11_lag_amo1, 11_lag_naoPSLjfm_418_8"
LRforcedPSO,4,6,stratZ50ndj04,shigh,870.5,2005.5,0.8,19,9,9,10.443140879464002,0.11307358645917827,418,"['9_lag_16_median_solFORC', '18_lag_amoSSTjfm', '9_lag_14_median_stratZ50ndj04', '14_lag_naoPSLjfm', '17_lag_stratZ50ndj02', '9_lag_16_median_eurPSLjfm']","[2.831095531195837, 0.7387063001164549, 0.5241271552475997, 0.7717116662394758, 1.5200814136280485, 0.48680650123616154]","9_lag_16_median_solFORC, 18_lag_amoSSTjfm, 9_lag_14_median_stratZ50ndj04, 14_lag_naoPSLjfm, 17_lag_stratZ50ndj02, 9_lag_16_median_eurPSLjfm_418_9"
LRforcedPSO,5,6,stratZ50ndj04,shigh,871.5,2005.5,0.8,20,10,10,10.755902302873473,0.5416750030682367,418,"['10_lag_17_median_nhSICsep', '11_lag_amoSSTjfm', '18_lag_stratZ50ndj04', '10_lag_17_median_amoSSTjfm', '19_lag_shSICmar', '12_lag_stratZ50ndj01']","[1.947277012917576, 0.03478011836019412, 0.3711301977089825, 8.395334570076713, 1.534654439065319, 0.622278343925851]","10_lag_17_median_nhSICsep, 11_lag_amoSSTjfm, 18_lag_stratZ50ndj04, 10_lag_17_median_amoSSTjfm, 19_lag_shSICmar, 12_lag_stratZ50ndj01_418_10"
LRforcedPSO,6,6,stratZ50ndj04,shigh,872.5,2005.5,0.8,21,11,11,11.94771389905169,-0.0038489809544151555,418,"['11_lag_18_median_scpPSLjfm', '15_lag_eurPSLjfm', '16_lag_eurPSLjfm', '12_lag_scpPSLjfm', '15_lag_AMOCann', '13_lag_solFORC']","[0.7292124131507816, 7.278389359414156, 1.9767306255382415, 1.1415237652177126, 0.7744066634593345, 4.636619445732288]","11_lag_18_median_scpPSLjfm, 15_lag_eurPSLjfm, 16_lag_eurPSLjfm, 12_lag_scpPSLjfm, 15_lag_AMOCann, 13_lag_solFORC_418_11"
LRforcedPSO,7,6,stratZ50ndj04,shigh,873.5,2005.5,0.8,22,12,12,10.571819577552544,0.380962716506492,418,"['16_lag_stratZ50ndj04', '12_lag_scpPSLjfm', '12_lag_16_median_amoSSTmjjaso', '12_lag_20_median_atlSICjfm', '16_lag_stratZ50ndj02', '21_lag_atlSICjfm']","[3.165718318450031, 2.3502142620046556, 5.1839960682669, 2.423314847949454, 0.9359105254067313, 6.420961752703274]","16_lag_stratZ50ndj04, 12_lag_scpPSLjfm, 12_lag_16_median_amoSSTmjjaso, 12_lag_20_median_atlSICjfm, 16_lag_stratZ50ndj02, 21_lag_atlSICjfm_418_12"
LRforcedPSO,8,6,stratZ50ndj04,shigh,874.5,2005.5,0.8,23,13,13,9.808167714349764,0.41030450171010024,418,"['13_lag_18_median_eurPSLjfm', '18_lag_atlSICjfm', '19_lag_eurPSLjfm', '22_lag_naoPSLjfm', '17_lag_amo2', '13_lag_stratZ50ndj04']","[3.020055979444881, 3.433315342208104, 2.845942691970973, 2.852716231865519, 3.7815369246576087, 3.257310317523762]","13_lag_18_median_eurPSLjfm, 18_lag_atlSICjfm, 19_lag_eurPSLjfm, 22_lag_naoPSLjfm, 17_lag_amo2, 13_lag_stratZ50ndj04_418_13"
LRforcedPSO,9,6,stratZ50ndj04,shigh,875.5,2005.5,0.8,24,14,14,10.480503214608653,0.3769606162040438,418,"['15_lag_stratZ50ndj03', '14_lag_22_median_eurPSLjfm', '14_lag_18_median_amo1', '14_lag_23_median_amo1', '22_lag_stratZ50ndj04', '14_lag_23_median_eurPSLjfm']","[4.530380911073813, 2.5536155515090933, 1.7978349225731183, 5.524925043409246, 0.24484788102097, 0.0666796399181564]","15_lag_stratZ50ndj03, 14_lag_22_median_eurPSLjfm, 14_lag_18_median_amo1, 14_lag_23_median_amo1, 22_lag_stratZ50ndj04, 14_lag_23_median_eurPSLjfm_418_14"
