model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traBS,shigh,1714.5,2005.5,0.6,15,5,5,18.66158381224525,-0.06809572173608913,1235,"['12_lag_traMC', '7_lag_traIT', '7_lag_samPSLann', '13_lag_yrvPRjja', '7_lag_eapPSLjfm', '5_lag_stratZ50ndj02', '10_lag_traFS', '5_lag_traFS', '7_lag_mhfIP30', '6_lag_ginwSSTjfm', '5_lag_6_median_ginwSSTjfm', '8_lag_stratZ50ndj03', '7_lag_amo1', '5_lag_atlSICjfm', '8_lag_eapPSLjfm', '8_lag_traFSC', '5_lag_traIFC', '7_lag_nchinaPRjja', '8_lag_traIFC', '7_lag_nppc3SSTjfm', '13_lag_mhfATL30', '14_lag_traWP', '9_lag_traMC', '14_lag_nchinaPRjja', '11_lag_ismPRjja', '13_lag_traBS', '5_lag_traBS', '9_lag_traIFC', '8_lag_traTLS', '12_lag_yrvPRjja']","[0.060116852952785974, 0.04002842429318608, 0.14966652561359808, 0.08005994146674322, 0.00970352271721207, 0.0423913779204521, 0.22465757783946957, 0.1607857099731991, 0.07276114179900112, 5683769739269.315, 5683769739269.121, 0.029405759123063605, 0.4162961921006206, 0.0538176192620026, 0.11814870922183628, 0.02323551706819354, 0.19311313381078063, 0.12612733739753582, 0.18056923343602027, 0.19251762969210354, 0.13903504161298744, 0.25154962000212805, 0.0886319126307609, 0.03945537330752408, 0.11825148319637813, 0.10446662523056979, 0.07584384598019454, 0.24040632938593776, 0.2666283323044279, 0.009317728929785673]","12_lag_traMC, 7_lag_traIT, 7_lag_samPSLann, 13_lag_yrvPRjja, 7_lag_eapPSLjfm, 5_lag_stratZ50ndj02, 10_lag_traFS, 5_lag_traFS, 7_lag_mhfIP30, 6_lag_ginwSSTjfm, 5_lag_6_median_ginwSSTjfm, 8_lag_stratZ50ndj03, 7_lag_amo1, 5_lag_atlSICjfm, 8_lag_eapPSLjfm, 8_lag_traFSC, 5_lag_traIFC, 7_lag_nchinaPRjja, 8_lag_traIFC, 7_lag_nppc3SSTjfm, 13_lag_mhfATL30, 14_lag_traWP, 9_lag_traMC, 14_lag_nchinaPRjja, 11_lag_ismPRjja, 13_lag_traBS, 5_lag_traBS, 9_lag_traIFC, 8_lag_traTLS, 12_lag_yrvPRjja_1235_5"
LinearRegression,1,30,traBS,shigh,1715.5,2005.5,0.6,16,6,6,18.385725370362394,-0.025226191724198682,1235,"['6_lag_7_median_amo1', '10_lag_satlSSTjfm', '9_lag_traFSC', '10_lag_traFS', '12_lag_mhfATL45', '6_lag_nhSICsep', '8_lag_traIFC', '8_lag_traFSC', '8_lag_ismPRjja', '6_lag_shSICsep', '8_lag_eapPSLjfm', '9_lag_traIFC', '15_lag_traBO', '15_lag_traCA', '11_lag_shSICmar', '10_lag_ismPRjja', '12_lag_traMC', '6_lag_cetTSjfm', '15_lag_traBS', '6_lag_neurTSjfm', '15_lag_labSSTjfm', '9_lag_traMC', '14_lag_traWP', '13_lag_yrvPRjja', '11_lag_ismPRjja', '12_lag_yrvPRjja', '6_lag_ginwSSTjfm', '8_lag_traTLS', '13_lag_traBS', '15_lag_nchinaPRjja']","[0.41316596284458074, 0.2003970192377652, 0.11266835454278858, 0.23941357959027396, 0.03283597567842349, 0.1687113231560782, 0.17717883433961082, 0.19711496185032393, 0.13040748387286577, 0.0943853185955258, 0.08754370488580497, 0.2509877561307603, 0.056650476494302604, 0.05366826447850801, 0.018753531510540915, 0.18486360868346924, 0.05689770085082389, 0.0792983326154596, 0.0541232995760731, 0.06821275285287662, 0.1737283400792927, 0.08414650805974758, 0.3499488555097544, 0.04305463706372756, 0.08449995188242289, 0.08241061019016929, 0.1261596842634726, 0.2680508340816883, 0.15579721351110307, 0.2163449580989652]","6_lag_7_median_amo1, 10_lag_satlSSTjfm, 9_lag_traFSC, 10_lag_traFS, 12_lag_mhfATL45, 6_lag_nhSICsep, 8_lag_traIFC, 8_lag_traFSC, 8_lag_ismPRjja, 6_lag_shSICsep, 8_lag_eapPSLjfm, 9_lag_traIFC, 15_lag_traBO, 15_lag_traCA, 11_lag_shSICmar, 10_lag_ismPRjja, 12_lag_traMC, 6_lag_cetTSjfm, 15_lag_traBS, 6_lag_neurTSjfm, 15_lag_labSSTjfm, 9_lag_traMC, 14_lag_traWP, 13_lag_yrvPRjja, 11_lag_ismPRjja, 12_lag_yrvPRjja, 6_lag_ginwSSTjfm, 8_lag_traTLS, 13_lag_traBS, 15_lag_nchinaPRjja_1235_6"
LinearRegression,2,30,traBS,shigh,1716.5,2005.5,0.6,17,7,7,19.28964293684377,-0.03255016777889529,1235,"['15_lag_traEU', '12_lag_mhfATL45', '16_lag_ismPRjja', '12_lag_eurPSLjfm', '14_lag_samPSLann', '15_lag_labSSTjfm', '15_lag_traTLS', '7_lag_mhfIP30', '15_lag_traWP', '7_lag_yrvPRjja', '13_lag_nppc3SSTjfm', '15_lag_traBO', '11_lag_ismPRjja', '16_lag_traIT', '7_lag_10_median_ismPRjja', '16_lag_traBS', '7_lag_nchinaPRjja', '9_lag_traIFC', '7_lag_neurTSjfm', '12_lag_traMC', '14_lag_traWP', '9_lag_traMC', '15_lag_traCA', '9_lag_atlSICjfm', '8_lag_traTLS', '7_lag_8_median_traTLS', '7_lag_10_median_stratZ50ndj03', '13_lag_traBS', '15_lag_nchinaPRjja', '16_lag_atlSICsep']","[0.042331249686384756, 0.0731113128388278, 0.06828791178310453, 0.09676856945127156, 0.08425437466091834, 0.2753174734970796, 0.13032297769040602, 0.02862814155165328, 0.0204639209397836, 0.06801921923481309, 0.18982094650615264, 0.045758985267253416, 0.03607240749852934, 0.14135745268402883, 0.41916512053320587, 0.07861457780261104, 0.145029496604122, 0.12188358707935014, 0.0977074993061063, 0.05661046590045503, 0.2162399257499038, 0.14299371584016232, 0.1398951565362859, 0.25293130663290825, 0.12234501482859081, 0.12234501482859231, 0.15540896180897965, 0.11183216663583471, 0.3439199441000785, 0.18915632321636933]","15_lag_traEU, 12_lag_mhfATL45, 16_lag_ismPRjja, 12_lag_eurPSLjfm, 14_lag_samPSLann, 15_lag_labSSTjfm, 15_lag_traTLS, 7_lag_mhfIP30, 15_lag_traWP, 7_lag_yrvPRjja, 13_lag_nppc3SSTjfm, 15_lag_traBO, 11_lag_ismPRjja, 16_lag_traIT, 7_lag_10_median_ismPRjja, 16_lag_traBS, 7_lag_nchinaPRjja, 9_lag_traIFC, 7_lag_neurTSjfm, 12_lag_traMC, 14_lag_traWP, 9_lag_traMC, 15_lag_traCA, 9_lag_atlSICjfm, 8_lag_traTLS, 7_lag_8_median_traTLS, 7_lag_10_median_stratZ50ndj03, 13_lag_traBS, 15_lag_nchinaPRjja, 16_lag_atlSICsep_1235_7"
LinearRegression,3,30,traBS,shigh,1717.5,2005.5,0.6,18,8,8,19.56530265845989,0.018002498366846507,1235,"['14_lag_mhfATL45', '15_lag_stratZ50ndj01', '17_lag_stratZ50ndj04', '17_lag_shSICmar', '16_lag_gyreSSTjfm', '11_lag_ismPRjja', '12_lag_amoSSTmjjaso', '16_lag_traIFC', '15_lag_cetTSjfm', '17_lag_neurTSjfm', '14_lag_samPSLann', '15_lag_traBO', '16_lag_traBS', '17_lag_eurPSLjfm', '13_lag_stratZ50ndj02', '13_lag_nppc3SSTjfm', '15_lag_traWP', '15_lag_traCA', '8_lag_stratZ50ndj03', '8_lag_ismPRjja', '8_lag_traTLS', '14_lag_traWP', '16_lag_traDS', '8_lag_eapPSLjfm', '12_lag_traMC', '15_lag_eurPSLjfm', '13_lag_traBS', '17_lag_alpi', '15_lag_nchinaPRjja', '16_lag_atlSICsep']","[0.04423450756479712, 0.171519511710664, 0.3727854900129791, 0.17229052039581363, 0.10220590553697309, 0.08916181528820834, 0.23556071744628154, 0.16654601695054116, 0.17514451056102048, 0.10711293649884934, 0.11638675200668087, 0.012647838584950905, 0.015259029061931991, 0.1817542642246345, 0.07605884519487421, 0.22891623862567265, 0.16436547324724382, 0.180108080678161, 0.09651622565895267, 0.16146746896970782, 0.21428991238339415, 0.18978990924190986, 0.1646724653117749, 0.11025631100305906, 0.10762711236364061, 0.04505860860162896, 0.10331728678439671, 0.07698750411018913, 0.2444147237069051, 0.32917239933021014]","14_lag_mhfATL45, 15_lag_stratZ50ndj01, 17_lag_stratZ50ndj04, 17_lag_shSICmar, 16_lag_gyreSSTjfm, 11_lag_ismPRjja, 12_lag_amoSSTmjjaso, 16_lag_traIFC, 15_lag_cetTSjfm, 17_lag_neurTSjfm, 14_lag_samPSLann, 15_lag_traBO, 16_lag_traBS, 17_lag_eurPSLjfm, 13_lag_stratZ50ndj02, 13_lag_nppc3SSTjfm, 15_lag_traWP, 15_lag_traCA, 8_lag_stratZ50ndj03, 8_lag_ismPRjja, 8_lag_traTLS, 14_lag_traWP, 16_lag_traDS, 8_lag_eapPSLjfm, 12_lag_traMC, 15_lag_eurPSLjfm, 13_lag_traBS, 17_lag_alpi, 15_lag_nchinaPRjja, 16_lag_atlSICsep_1235_8"
LinearRegression,4,30,traBS,shigh,1718.5,2005.5,0.6,19,9,9,17.882209789318654,0.02972900242731876,1235,"['18_lag_scpPSLjfm', '15_lag_traTLS', '18_lag_nchinaPRjja', '9_lag_12_median_stratZ50ndj02', '13_lag_stratZ50ndj02', '9_lag_traIFC', '14_lag_mhfATL45', '9_lag_12_median_cetTSjfm', '15_lag_traWP', '15_lag_stratZ50ndj01', '13_lag_nppc3SSTjfm', '9_lag_traFSC', '16_lag_traIFC', '17_lag_neurTSjfm', '17_lag_traTLS', '15_lag_samPSLann', '15_lag_cetTSjfm', '12_lag_eapPSLjfm', '17_lag_amoSSTmjjaso', '14_lag_traWP', '17_lag_eurPSLjfm', '15_lag_traCA', '18_lag_ismPRjja', '16_lag_traDS', '18_lag_traFS', '13_lag_traBS', '17_lag_alpi', '15_lag_eurPSLjfm', '15_lag_nchinaPRjja', '16_lag_atlSICsep']","[0.024974903301483435, 0.09934430916965781, 0.08074208028303619, 0.3142019125053517, 0.045169286359418304, 0.16272486094063307, 0.06627434887034689, 0.2099788929586838, 0.041382008335240486, 0.18926538993179673, 0.019131520904889378, 0.01516356448651831, 0.18025931546544186, 0.09577095539335453, 0.061804995856790675, 0.25317548616970814, 0.3067415676104332, 0.12802651992327402, 0.163256535472993, 0.15824365478653066, 0.11230095814037079, 0.283312530259362, 0.06941418651917403, 0.179788170059944, 0.06565322624635661, 0.0656420909918122, 0.05726355627355365, 0.00901417674142765, 0.2577932463638173, 0.21898029920317486]","18_lag_scpPSLjfm, 15_lag_traTLS, 18_lag_nchinaPRjja, 9_lag_12_median_stratZ50ndj02, 13_lag_stratZ50ndj02, 9_lag_traIFC, 14_lag_mhfATL45, 9_lag_12_median_cetTSjfm, 15_lag_traWP, 15_lag_stratZ50ndj01, 13_lag_nppc3SSTjfm, 9_lag_traFSC, 16_lag_traIFC, 17_lag_neurTSjfm, 17_lag_traTLS, 15_lag_samPSLann, 15_lag_cetTSjfm, 12_lag_eapPSLjfm, 17_lag_amoSSTmjjaso, 14_lag_traWP, 17_lag_eurPSLjfm, 15_lag_traCA, 18_lag_ismPRjja, 16_lag_traDS, 18_lag_traFS, 13_lag_traBS, 17_lag_alpi, 15_lag_eurPSLjfm, 15_lag_nchinaPRjja, 16_lag_atlSICsep_1235_9"
LinearRegression,5,30,traBS,shigh,1719.5,2005.5,0.6,20,10,10,19.25153081428412,0.018679390459258906,1235,"['18_lag_traMC', '10_lag_satlSSTjfm', '17_lag_stratZ50ndj03', '17_lag_ensoSSTjfm', '18_lag_scpPSLjfm', '17_lag_traFB', '10_lag_traEC', '15_lag_eurPSLjfm', '12_lag_traMC', '18_lag_yrvPRjja', '10_lag_yrvPRjja', '18_lag_traFS', '17_lag_neurTSjfm', '16_lag_traDS', '14_lag_mhfATL45', '14_lag_traWP', '13_lag_traBS', '16_lag_stratZ50ndj01', '10_lag_alpi', '15_lag_traCA', '10_lag_ginwSSTjfm', '15_lag_samPSLann', '17_lag_alpi', '13_lag_nppc3SSTjfm', '15_lag_shSICmar', '19_lag_alpi', '10_lag_ismPRjja', '17_lag_traTLS', '16_lag_atlSICsep', '15_lag_nchinaPRjja']","[0.130903829659696, 0.07062864412245584, 0.06309243624971453, 0.17778979295649847, 0.02885818770357011, 0.15447705657576807, 0.11199569654317143, 0.15471048101020915, 0.06338398106999647, 0.10050410627918208, 0.1254073411778282, 0.05120551277238876, 0.12599449762887066, 0.13400984674111988, 0.001073444696382509, 0.3145331692409698, 0.025290798497999412, 0.22723194345452738, 0.05966579800974114, 0.21099743517807237, 0.2247415408911502, 0.16252986914430173, 0.1359377773479147, 0.17234083092900404, 0.11893917440137816, 0.15680692918408942, 0.13733476513655657, 0.08549129196016485, 0.26557464345219955, 0.2726941994422597]","18_lag_traMC, 10_lag_satlSSTjfm, 17_lag_stratZ50ndj03, 17_lag_ensoSSTjfm, 18_lag_scpPSLjfm, 17_lag_traFB, 10_lag_traEC, 15_lag_eurPSLjfm, 12_lag_traMC, 18_lag_yrvPRjja, 10_lag_yrvPRjja, 18_lag_traFS, 17_lag_neurTSjfm, 16_lag_traDS, 14_lag_mhfATL45, 14_lag_traWP, 13_lag_traBS, 16_lag_stratZ50ndj01, 10_lag_alpi, 15_lag_traCA, 10_lag_ginwSSTjfm, 15_lag_samPSLann, 17_lag_alpi, 13_lag_nppc3SSTjfm, 15_lag_shSICmar, 19_lag_alpi, 10_lag_ismPRjja, 17_lag_traTLS, 16_lag_atlSICsep, 15_lag_nchinaPRjja_1235_10"
LinearRegression,6,30,traBS,shigh,1720.5,2005.5,0.6,21,11,11,18.317462217586762,-0.07867559995536758,1235,"['18_lag_yrvPRjja', '17_lag_stratZ50ndj03', '18_lag_traMC', '17_lag_amoSSTmjjaso', '11_lag_ismPRjja', '19_lag_scpPSLjfm', '13_lag_stratZ50ndj02', '19_lag_traFB', '20_lag_eurPSLjfm', '17_lag_traFB', '11_lag_14_median_cetTSjfm', '15_lag_cetTSjfm', '17_lag_traTLS', '16_lag_traIFC', '14_lag_traFSC', '20_lag_traFSC', '19_lag_traEU', '17_lag_ensoSSTjfm', '17_lag_alpi', '17_lag_neurTSjfm', '19_lag_alpi', '20_lag_traEU', '11_lag_stratZ50ndj03', '18_lag_ismPRjja', '14_lag_traEC', '15_lag_samPSLann', '13_lag_nppc3SSTjfm', '20_lag_gyreSSTjfm', '16_lag_atlSICsep', '15_lag_nchinaPRjja']","[0.02816770404007454, 0.03750329321904536, 0.15405078667641367, 0.11444874292351684, 0.04582231380450953, 0.10259109790787113, 0.08441261983000009, 0.09036117644703352, 0.1167835318138132, 0.04406618577731426, 0.19818003949877425, 0.28046236620027953, 0.15859414646038036, 0.2116549124483813, 0.06187478963442596, 0.11611647041946631, 0.14918800439229102, 0.22935643931719885, 0.1320982760620163, 0.03420058594057073, 0.11048608973742717, 0.021202665135982818, 0.025715046669877464, 0.2026555594372607, 0.13302756429124055, 0.16709448463158996, 0.1552320883893059, 0.08098228389869555, 0.32333271206501635, 0.23005487934697444]","18_lag_yrvPRjja, 17_lag_stratZ50ndj03, 18_lag_traMC, 17_lag_amoSSTmjjaso, 11_lag_ismPRjja, 19_lag_scpPSLjfm, 13_lag_stratZ50ndj02, 19_lag_traFB, 20_lag_eurPSLjfm, 17_lag_traFB, 11_lag_14_median_cetTSjfm, 15_lag_cetTSjfm, 17_lag_traTLS, 16_lag_traIFC, 14_lag_traFSC, 20_lag_traFSC, 19_lag_traEU, 17_lag_ensoSSTjfm, 17_lag_alpi, 17_lag_neurTSjfm, 19_lag_alpi, 20_lag_traEU, 11_lag_stratZ50ndj03, 18_lag_ismPRjja, 14_lag_traEC, 15_lag_samPSLann, 13_lag_nppc3SSTjfm, 20_lag_gyreSSTjfm, 16_lag_atlSICsep, 15_lag_nchinaPRjja_1235_11"
LinearRegression,7,30,traBS,shigh,1721.5,2005.5,0.6,22,12,12,18.752811293849675,-0.06316628687372683,1235,"['17_lag_eurPSLjfm', '18_lag_traFS', '19_lag_eapPSLjfm', '15_lag_stratZ50ndj01', '21_lag_nppc2SSTjfm', '20_lag_gyreSSTjfm', '12_lag_amoSSTmjjaso', '18_lag_atlSICsep', '17_lag_ensoSSTjfm', '19_lag_traEU', '17_lag_neurTSjfm', '15_lag_samPSLann', '20_lag_traFSC', '15_lag_stratZ50ndj03', '17_lag_amoSSTmjjaso', '21_lag_traEU', '17_lag_traFB', '21_lag_ismPRjja', '12_lag_eapPSLjfm', '21_lag_wnorPRjfm', '21_lag_nchinaPRjja', '19_lag_seurTSjfm', '17_lag_alpi', '16_lag_traIFC', '16_lag_stratZ50ndj01', '18_lag_ismPRjja', '17_lag_stratZ50ndj03', '21_lag_mhfIP30', '16_lag_atlSICsep', '15_lag_nchinaPRjja']","[0.11961757940859405, 0.035713011541755615, 0.005312668218703431, 0.09938457025918725, 0.1211701888337538, 0.054614088601876394, 0.18749633105432106, 0.09236745949473428, 0.1819229281185569, 0.19640504186829685, 0.03091482871987258, 0.02587290170851823, 0.07738948226110723, 0.000738630401599039, 0.17416169718077715, 0.09818174516186705, 0.061219257259581446, 0.0869457692584673, 0.13464310685620356, 0.12709956596647393, 0.08328529553894246, 0.044303231611579834, 0.0856167572939674, 0.1272339819001437, 0.12883817903538247, 0.14425123782251015, 0.08210497565727794, 0.05298517110621064, 0.3658343417147499, 0.28711239554655094]","17_lag_eurPSLjfm, 18_lag_traFS, 19_lag_eapPSLjfm, 15_lag_stratZ50ndj01, 21_lag_nppc2SSTjfm, 20_lag_gyreSSTjfm, 12_lag_amoSSTmjjaso, 18_lag_atlSICsep, 17_lag_ensoSSTjfm, 19_lag_traEU, 17_lag_neurTSjfm, 15_lag_samPSLann, 20_lag_traFSC, 15_lag_stratZ50ndj03, 17_lag_amoSSTmjjaso, 21_lag_traEU, 17_lag_traFB, 21_lag_ismPRjja, 12_lag_eapPSLjfm, 21_lag_wnorPRjfm, 21_lag_nchinaPRjja, 19_lag_seurTSjfm, 17_lag_alpi, 16_lag_traIFC, 16_lag_stratZ50ndj01, 18_lag_ismPRjja, 17_lag_stratZ50ndj03, 21_lag_mhfIP30, 16_lag_atlSICsep, 15_lag_nchinaPRjja_1235_12"
LinearRegression,8,30,traBS,shigh,1722.5,2005.5,0.6,23,13,13,19.1997018894918,0.0581930663792284,1235,"['16_lag_stratZ50ndj01', '19_lag_nppc2SSTjfm', '21_lag_mhfIP30', '17_lag_traFB', '13_lag_amoSSTmjjaso', '22_lag_nchinaPRjja', '19_lag_stratZ50ndj03', '18_lag_atlSICsep', '13_lag_stratZ50ndj02', '20_lag_traFSC', '15_lag_traCA', '19_lag_tripol3', '21_lag_traFSC', '17_lag_stratZ50ndj03', '21_lag_traBS', '15_lag_samPSLann', '19_lag_seurTSjfm', '13_lag_nppc3SSTjfm', '21_lag_ismPRjja', '21_lag_wnorPRjfm', '22_lag_traFB', '13_lag_traBS', '22_lag_mhfATL30', '18_lag_nhSICsep', '16_lag_traIFC', '22_lag_traMC', '18_lag_ismPRjja', '17_lag_alpi', '16_lag_atlSICsep', '15_lag_nchinaPRjja']","[0.18220635144592137, 0.05591722717854096, 0.004499151365200647, 0.03636732752738654, 0.30291669489942685, 0.16898154629481005, 0.036697149355554404, 0.12498046531192962, 0.06668241271844773, 0.24334382307997962, 0.2325971190596561, 0.05925247265181465, 0.17086039919152504, 0.0871457556306953, 0.08338118486723058, 0.15620577631784457, 0.05420148571351307, 0.1634350754479157, 0.15043193987715953, 0.03499945367065178, 0.15998876188937047, 0.08274731940484639, 0.05849179019547753, 0.23468411139328885, 0.30994754180854533, 0.04094730037483389, 0.07300377013335717, 0.06056944960865292, 0.13288429172845742, 0.28739089628992315]","16_lag_stratZ50ndj01, 19_lag_nppc2SSTjfm, 21_lag_mhfIP30, 17_lag_traFB, 13_lag_amoSSTmjjaso, 22_lag_nchinaPRjja, 19_lag_stratZ50ndj03, 18_lag_atlSICsep, 13_lag_stratZ50ndj02, 20_lag_traFSC, 15_lag_traCA, 19_lag_tripol3, 21_lag_traFSC, 17_lag_stratZ50ndj03, 21_lag_traBS, 15_lag_samPSLann, 19_lag_seurTSjfm, 13_lag_nppc3SSTjfm, 21_lag_ismPRjja, 21_lag_wnorPRjfm, 22_lag_traFB, 13_lag_traBS, 22_lag_mhfATL30, 18_lag_nhSICsep, 16_lag_traIFC, 22_lag_traMC, 18_lag_ismPRjja, 17_lag_alpi, 16_lag_atlSICsep, 15_lag_nchinaPRjja_1235_13"
LinearRegression,9,30,traBS,shigh,1723.5,2005.5,0.6,24,14,14,18.57635339228868,0.05480148260008667,1235,"['16_lag_mhfATL60', '22_lag_traMC', '20_lag_neurTSjfm', '17_lag_amoSSTmjjaso', '17_lag_traCA', '22_lag_nchinaPRjja', '22_lag_traFB', '23_lag_arcTSjfm', '19_lag_seurTSjfm', '20_lag_traDS', '15_lag_traCA', '14_lag_15_median_traCA', '17_lag_traFB', '23_lag_nppc3SSTjfm', '14_lag_15_median_samPSLann', '15_lag_samPSLann', '17_lag_stratZ50ndj03', '22_lag_mhfATL30', '16_lag_stratZ50ndj01', '18_lag_nhSICsep', '18_lag_atlSICsep', '21_lag_wnorPRjfm', '16_lag_traIFC', '14_lag_15_median_nchinaPRjja', '15_lag_nchinaPRjja', '18_lag_ismPRjja', '16_lag_atlSICsep', '20_lag_traFSC', '17_lag_alpi', '23_lag_eurPSLjfm']","[0.22169538034091854, 0.04869518084113947, 0.11838523895337791, 0.1565130341061424, 0.07170050662233293, 0.17107219601925097, 0.15181040408641547, 0.01203577335635802, 0.025920011574794115, 0.10099398527376388, 546138468792.037, 546138468792.19775, 0.046677675157733724, 0.21667669705444453, 22429553437.63573, 22429553437.712994, 0.09671725353437009, 0.011213600918803211, 0.11260127520748914, 0.3742074653929324, 0.02823022633616687, 0.15703083889613637, 0.104488295467188, 3399296074964.3945, 3399296074964.6987, 0.08965650697003194, 0.27610750569854253, 0.1956867879737704, 0.03069511576502635, 0.007845126410983519]","16_lag_mhfATL60, 22_lag_traMC, 20_lag_neurTSjfm, 17_lag_amoSSTmjjaso, 17_lag_traCA, 22_lag_nchinaPRjja, 22_lag_traFB, 23_lag_arcTSjfm, 19_lag_seurTSjfm, 20_lag_traDS, 15_lag_traCA, 14_lag_15_median_traCA, 17_lag_traFB, 23_lag_nppc3SSTjfm, 14_lag_15_median_samPSLann, 15_lag_samPSLann, 17_lag_stratZ50ndj03, 22_lag_mhfATL30, 16_lag_stratZ50ndj01, 18_lag_nhSICsep, 18_lag_atlSICsep, 21_lag_wnorPRjfm, 16_lag_traIFC, 14_lag_15_median_nchinaPRjja, 15_lag_nchinaPRjja, 18_lag_ismPRjja, 16_lag_atlSICsep, 20_lag_traFSC, 17_lag_alpi, 23_lag_eurPSLjfm_1235_14"
