model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,10,traCA,shigh,866.5,2005.5,0.4,15,5,5,14.344117808225597,-0.0465123868255375,1235,"['5_lag_12_median_yrvPRjja', '5_lag_satlSSTjfm', '5_lag_14_median_tripol2', '5_lag_7_median_traTLS', '5_lag_11_median_traIFC', '5_lag_8_median_cetTSjfm', '5_lag_10_median_atlSICsep', '5_lag_8_median_satlSSTjfm', '5_lag_13_median_traDP', '5_lag_10_median_cetTSjfm']","[0.09495084657046783, 0.07805231699919249, 0.0810112601059083, 0.09434746998738204, 0.11517474203958063, 0.07244394488297722, 0.11027526868488711, 0.10238293088237987, 0.12680781548249773, 0.1245534043647268]","5_lag_12_median_yrvPRjja, 5_lag_satlSSTjfm, 5_lag_14_median_tripol2, 5_lag_7_median_traTLS, 5_lag_11_median_traIFC, 5_lag_8_median_cetTSjfm, 5_lag_10_median_atlSICsep, 5_lag_8_median_satlSSTjfm, 5_lag_13_median_traDP, 5_lag_10_median_cetTSjfm_1235_5"
RandomForestRegressor,1,10,traCA,shigh,867.5,2005.5,0.4,16,6,6,14.14556348898925,-0.029045810602511934,1235,"['6_lag_11_median_cetTSjfm', '6_lag_15_median_traTLS', '15_lag_seurTSjfm', '6_lag_13_median_stratZ50ndj03', '6_lag_8_median_traDP', '6_lag_9_median_atlSICsep', '6_lag_12_median_traDP', '6_lag_11_median_atlSICsep', '6_lag_13_median_nchinaPRjja', '6_lag_9_median_cetTSjfm']","[0.08909506622976648, 0.1047276895941515, 0.09873709014163642, 0.10997048998879651, 0.09380248837605278, 0.08382980383544911, 0.11855217589438005, 0.11013103256687047, 0.09351944012186018, 0.09763472325103642]","6_lag_11_median_cetTSjfm, 6_lag_15_median_traTLS, 15_lag_seurTSjfm, 6_lag_13_median_stratZ50ndj03, 6_lag_8_median_traDP, 6_lag_9_median_atlSICsep, 6_lag_12_median_traDP, 6_lag_11_median_atlSICsep, 6_lag_13_median_nchinaPRjja, 6_lag_9_median_cetTSjfm_1235_6"
RandomForestRegressor,2,10,traCA,shigh,868.5,2005.5,0.4,17,7,7,14.039517138464312,-0.09086548896766768,1235,"['7_lag_16_median_ensoSSTjfm', '7_lag_12_median_traTLS', '7_lag_14_median_stratZ50ndj03', '15_lag_seurTSjfm', '7_lag_13_median_traDP', '7_lag_traDP', '7_lag_13_median_yrvPRjja', '7_lag_12_median_traIT', '7_lag_13_median_traTLS', '7_lag_16_median_labSSTjfm']","[0.10008237520053219, 0.07298609887680563, 0.09222971874802151, 0.11464447500495603, 0.12311786946336989, 0.09771108296659463, 0.0872875484391809, 0.10117639954886122, 0.0961144927152272, 0.1146499390364508]","7_lag_16_median_ensoSSTjfm, 7_lag_12_median_traTLS, 7_lag_14_median_stratZ50ndj03, 15_lag_seurTSjfm, 7_lag_13_median_traDP, 7_lag_traDP, 7_lag_13_median_yrvPRjja, 7_lag_12_median_traIT, 7_lag_13_median_traTLS, 7_lag_16_median_labSSTjfm_1235_7"
RandomForestRegressor,3,10,traCA,shigh,869.5,2005.5,0.4,18,8,8,13.72181373660507,-0.048754117009053625,1235,"['8_lag_12_median_traIT', '8_lag_17_median_ensoSSTjfm', '17_lag_traDS', '15_lag_seurTSjfm', '8_lag_17_median_labSSTjfm', '8_lag_12_median_yrvPRjja', '8_lag_13_median_traIT', '8_lag_14_median_traDP', '8_lag_13_median_stratZ50ndj03', '8_lag_12_median_traTLS']","[0.07686551314683045, 0.11666855459036989, 0.09053981370987918, 0.10466263325934118, 0.08642646192384754, 0.09102547510469831, 0.07967001656816843, 0.12665053537117102, 0.11002328901910688, 0.11746770730658705]","8_lag_12_median_traIT, 8_lag_17_median_ensoSSTjfm, 17_lag_traDS, 15_lag_seurTSjfm, 8_lag_17_median_labSSTjfm, 8_lag_12_median_yrvPRjja, 8_lag_13_median_traIT, 8_lag_14_median_traDP, 8_lag_13_median_stratZ50ndj03, 8_lag_12_median_traTLS_1235_8"
RandomForestRegressor,4,10,traCA,shigh,870.5,2005.5,0.4,19,9,9,14.111672685725704,-0.12666370337163282,1235,"['9_lag_12_median_yrvPRjja', '14_lag_traDP', '18_lag_traDS', '9_lag_17_median_labSSTjfm', '9_lag_14_median_traDP', '17_lag_traDS', '9_lag_12_median_traIT', '13_lag_traDP', '9_lag_18_median_ensoSSTjfm', '9_lag_13_median_traTLS']","[0.11766307379242541, 0.07397510807045306, 0.10221714742423002, 0.09733100056252454, 0.07962071550324895, 0.08417054275032416, 0.11787466889797632, 0.08078703744865579, 0.11727202566952148, 0.12908867988064038]","9_lag_12_median_yrvPRjja, 14_lag_traDP, 18_lag_traDS, 9_lag_17_median_labSSTjfm, 9_lag_14_median_traDP, 17_lag_traDS, 9_lag_12_median_traIT, 13_lag_traDP, 9_lag_18_median_ensoSSTjfm, 9_lag_13_median_traTLS_1235_9"
RandomForestRegressor,5,10,traCA,shigh,871.5,2005.5,0.4,20,10,10,13.82675255562584,-0.06571970439108353,1235,"['10_lag_12_median_yrvPRjja', '15_lag_seurTSjfm', '10_lag_15_median_cetTSjfm', '10_lag_17_median_traBS', '19_lag_traDP', '10_lag_13_median_naoPSLjfm', '13_lag_traDP', '10_lag_15_median_traDP', '10_lag_16_median_naoPSLjfm', '19_lag_atlSICjfm']","[0.09558053531334407, 0.09530141886526743, 0.08311350667795459, 0.09409911904544281, 0.09278196363627278, 0.11424987684574898, 0.08979078240687138, 0.0887823571139035, 0.11988285821955044, 0.1264175818756441]","10_lag_12_median_yrvPRjja, 15_lag_seurTSjfm, 10_lag_15_median_cetTSjfm, 10_lag_17_median_traBS, 19_lag_traDP, 10_lag_13_median_naoPSLjfm, 13_lag_traDP, 10_lag_15_median_traDP, 10_lag_16_median_naoPSLjfm, 19_lag_atlSICjfm_1235_10"
RandomForestRegressor,6,10,traCA,shigh,872.5,2005.5,0.4,21,11,11,13.552954006705816,-0.025716734140961196,1235,"['15_lag_seurTSjfm', '11_lag_14_median_traDP', '11_lag_19_median_traDS', '20_lag_ginwSSTjfm', '11_lag_16_median_naoPSLjfm', '19_lag_traDP', '11_lag_15_median_ismPRjja', '13_lag_traDP', '11_lag_20_median_stratZ50ndj02', '19_lag_atlSICjfm']","[0.09315444223870468, 0.07978606953960307, 0.09985403170356033, 0.09851982821514561, 0.11542078979795986, 0.10676699473326884, 0.10222852071183615, 0.07960068696281881, 0.1167727636186078, 0.10789587247849491]","15_lag_seurTSjfm, 11_lag_14_median_traDP, 11_lag_19_median_traDS, 20_lag_ginwSSTjfm, 11_lag_16_median_naoPSLjfm, 19_lag_traDP, 11_lag_15_median_ismPRjja, 13_lag_traDP, 11_lag_20_median_stratZ50ndj02, 19_lag_atlSICjfm_1235_11"
RandomForestRegressor,7,10,traCA,shigh,873.5,2005.5,0.4,22,12,12,13.66230689265216,-0.05331266475018681,1235,"['20_lag_ginwSSTjfm', '12_lag_16_median_traTLS', '19_lag_traDP', '12_lag_20_median_traDP', '12_lag_19_median_traDS', '19_lag_atlSICjfm', '12_lag_16_median_naoPSLjfm', '12_lag_14_median_traDP', '12_lag_18_median_traDS', '21_lag_nppc3SSTjfm']","[0.08228551240364863, 0.1084068623406847, 0.07964023279827138, 0.08329148419200877, 0.07203415425637918, 0.10412078379057706, 0.1318670610264141, 0.11360865420983426, 0.09345695655720465, 0.13128829842497738]","20_lag_ginwSSTjfm, 12_lag_16_median_traTLS, 19_lag_traDP, 12_lag_20_median_traDP, 12_lag_19_median_traDS, 19_lag_atlSICjfm, 12_lag_16_median_naoPSLjfm, 12_lag_14_median_traDP, 12_lag_18_median_traDS, 21_lag_nppc3SSTjfm_1235_12"
RandomForestRegressor,8,10,traCA,shigh,874.5,2005.5,0.4,23,13,13,13.946278277456894,-0.04803443800814561,1235,"['13_lag_17_median_traTLS', '13_lag_17_median_traDS', '19_lag_atlSICjfm', '13_lag_21_median_mhfIP30', '13_lag_19_median_traTLS', '13_lag_22_median_pdoSSTjfm', '13_lag_traDP', '13_lag_22_median_alpi', '21_lag_nppc3SSTjfm', '13_lag_18_median_traDS']","[0.08225500959672168, 0.06379651630469231, 0.10093899370038477, 0.08683490507009477, 0.0871170281410592, 0.11530348590446925, 0.1120290324449976, 0.1092924540830822, 0.12256839296848171, 0.11986418178601647]","13_lag_17_median_traTLS, 13_lag_17_median_traDS, 19_lag_atlSICjfm, 13_lag_21_median_mhfIP30, 13_lag_19_median_traTLS, 13_lag_22_median_pdoSSTjfm, 13_lag_traDP, 13_lag_22_median_alpi, 21_lag_nppc3SSTjfm, 13_lag_18_median_traDS_1235_13"
RandomForestRegressor,9,10,traCA,shigh,875.5,2005.5,0.4,24,14,14,14.081076602691095,-0.07106635975326409,1235,"['14_lag_21_median_alpi', '14_lag_23_median_ismPRjja', '19_lag_atlSICjfm', '14_lag_19_median_traDS', '19_lag_traDP', '14_lag_traDP', '14_lag_23_median_alpi', '14_lag_18_median_traEC', '21_lag_nppc3SSTjfm', '14_lag_18_median_traDS']","[0.1027257558816327, 0.10965346437016651, 0.100925051501947, 0.07340763255756405, 0.09013310367233547, 0.10370591679226823, 0.08700070890776718, 0.09635474309801619, 0.13668432775268108, 0.09940929546562177]","14_lag_21_median_alpi, 14_lag_23_median_ismPRjja, 19_lag_atlSICjfm, 14_lag_19_median_traDS, 19_lag_traDP, 14_lag_traDP, 14_lag_23_median_alpi, 14_lag_18_median_traEC, 21_lag_nppc3SSTjfm, 14_lag_18_median_traDS_1235_14"
RandomForestRegressor,10,10,traCA,shigh,876.5,2005.5,0.4,25,15,15,14.531207041519243,-0.09490759419429719,1235,"['15_lag_22_median_traFB', '19_lag_atlSICjfm', '21_lag_nppc3SSTjfm', '15_lag_20_median_traDP', '15_lag_19_median_traDS', '15_lag_22_median_alpi', '19_lag_traDP', '15_lag_24_median_traBO', '15_lag_23_median_ismPRjja', '15_lag_18_median_traDS']","[0.11727361532747489, 0.09879132948462722, 0.09502371068289422, 0.10183628435599892, 0.08036203875593256, 0.11201532611068775, 0.09850189155030971, 0.0916565011832537, 0.12459792770954568, 0.07994137483927526]","15_lag_22_median_traFB, 19_lag_atlSICjfm, 21_lag_nppc3SSTjfm, 15_lag_20_median_traDP, 15_lag_19_median_traDS, 15_lag_22_median_alpi, 19_lag_traDP, 15_lag_24_median_traBO, 15_lag_23_median_ismPRjja, 15_lag_18_median_traDS_1235_15"
