model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,traDP,shigh,1714.5,2005.5,0.4,15,1,1,25.923755630898064,0.2615315234951854,1755,"['1_lag_6_median_mhfATL45', '6_lag_atlSICjfm', '1_lag_12_median_atlSICjfm', '1_lag_12_median_nppc2SSTjfm', '12_lag_amo1', '1_lag_5_median_nchinaPRjja']","[5.899393213218885, 6.171436909156794, 6.172462428797893, 4.646253297029785, 4.640597047447388, 4.633249187043994]","1_lag_6_median_mhfATL45, 6_lag_atlSICjfm, 1_lag_12_median_atlSICjfm, 1_lag_12_median_nppc2SSTjfm, 12_lag_amo1, 1_lag_5_median_nchinaPRjja_1755_1"
LRforcedPSO,1,6,traDP,shigh,1715.5,2005.5,0.4,16,1,1,22.95009486868438,-0.13104456990385266,1885,"['1_lag_8_median_mhfIP30', '1_lag_4_median_scpPSLjfm', '9_lag_traDS', '6_lag_eurPSLjfm', '1_lag_5_median_traBO', '7_lag_nppc3SSTjfm']","[1.6163461457701533, 1.5171132609815814, 8.009064012746705, 6.72015930293715, 9.103041736157195, 2.6625228492399096]","1_lag_8_median_mhfIP30, 1_lag_4_median_scpPSLjfm, 9_lag_traDS, 6_lag_eurPSLjfm, 1_lag_5_median_traBO, 7_lag_nppc3SSTjfm_1885_1"
LRforcedPSO,2,6,traDP,shigh,1716.5,2005.5,0.4,17,1,1,34.29669462527445,0.4580090718058641,2015,"['1_lag_ismPRjja', '1_lag_7_median_traDS', '4_lag_yrvPRjja', '14_lag_traFB', '1_lag_4_median_stratZ50ndj03', '1_lag_9_median_tripol2']","[0.2644410590626407, 4.253205223590843, 0.09410857451337051, 1.752784490558568, 4.98824282127455, 8.372646072100054]","1_lag_ismPRjja, 1_lag_7_median_traDS, 4_lag_yrvPRjja, 14_lag_traFB, 1_lag_4_median_stratZ50ndj03, 1_lag_9_median_tripol2_2015_1"
LRforcedPSO,3,6,traDP,shigh,1717.5,2005.5,0.4,18,1,1,21.478130393839834,-0.18519077197923012,2145,"['9_lag_stratZ50ndj01', '13_lag_traTLS', '8_lag_traEC', '5_lag_traEC', '16_lag_stratZ50ndj02', '1_lag_8_median_pdoSSTjfm']","[0.2399687170096243, 1.1457560851823168, 2.1957235891380966, 1.43143395104822, 1.056759022416557, 0.023772373692327875]","9_lag_stratZ50ndj01, 13_lag_traTLS, 8_lag_traEC, 5_lag_traEC, 16_lag_stratZ50ndj02, 1_lag_8_median_pdoSSTjfm_2145_1"
LRforcedPSO,4,6,traDP,shigh,1718.5,2005.5,0.4,19,1,1,20.527546947257942,0.017687259110934158,2275,"['3_lag_traEC', '1_lag_17_median_neurTSjfm', '1_lag_11_median_tripol1', '1_lag_12_median_traFS', '2_lag_traWP', '1_lag_11_median_yrvPRjja']","[0.7588027635955434, 9.50319409319603, 1.6918525278479848, 1.9480706304681288, 1.9264120138114436, 2.630343912426585]","3_lag_traEC, 1_lag_17_median_neurTSjfm, 1_lag_11_median_tripol1, 1_lag_12_median_traFS, 2_lag_traWP, 1_lag_11_median_yrvPRjja_2275_1"
LRforcedPSO,5,6,traDP,shigh,1719.5,2005.5,0.4,20,1,1,27.877349293475167,-0.05956575597229373,2405,"['1_lag_18_median_amoSSTmjjaso', '6_lag_traFS', '14_lag_traMC', '7_lag_traTLS', '1_lag_9_median_tripol1', '1_lag_3_median_naoPSLjfm']","[2.3155778069289585, 1.0595360803175868, 9.950696257671176, 0.6432931172700762, 5.261062726790184, 9.876503230433256]","1_lag_18_median_amoSSTmjjaso, 6_lag_traFS, 14_lag_traMC, 7_lag_traTLS, 1_lag_9_median_tripol1, 1_lag_3_median_naoPSLjfm_2405_1"
LRforcedPSO,6,6,traDP,shigh,1720.5,2005.5,0.4,21,1,1,22.32444530942867,0.5713192058837249,2535,"['1_lag_6_median_traBS', '20_lag_traEC', '15_lag_traTLS', '15_lag_nppc2SSTjfm', '1_lag_glomaSSTjfm', '1_lag_15_median_ismPRjja']","[2.008005433262593, 2.6492430910602, 2.0001962452410487, 2.0000358518638537, 2.0005276410542954, 2.6667144691517723]","1_lag_6_median_traBS, 20_lag_traEC, 15_lag_traTLS, 15_lag_nppc2SSTjfm, 1_lag_glomaSSTjfm, 1_lag_15_median_ismPRjja_2535_1"
LRforcedPSO,7,6,traDP,shigh,1721.5,2005.5,0.4,22,2,2,27.957145977318056,-0.03263158349376097,2535,"['5_lag_amo3', '16_lag_stratZ50ndj03', '17_lag_shSICsep', '8_lag_amo1', '7_lag_samPSLann', '2_lag_3_median_ismPRjja']","[9.287572147424761, 4.891022607396193, 4.298774081909418, 9.399031986930062, 5.030602589227156, 5.652787480825737]","5_lag_amo3, 16_lag_stratZ50ndj03, 17_lag_shSICsep, 8_lag_amo1, 7_lag_samPSLann, 2_lag_3_median_ismPRjja_2535_2"
LRforcedPSO,8,6,traDP,shigh,1722.5,2005.5,0.4,23,3,3,20.60705885975447,0.018849033052534356,2535,"['21_lag_ismPRjja', '3_lag_7_median_traTLS', '3_lag_19_median_cetTSjfm', '14_lag_arcTSjfm', '13_lag_mhfATL60', '3_lag_10_median_tripol1']","[4.724857813841847, 4.724857813841937, 6.299810418455752, 4.724857813844993, 6.299810418452482, 4.724857813842039]","21_lag_ismPRjja, 3_lag_7_median_traTLS, 3_lag_19_median_cetTSjfm, 14_lag_arcTSjfm, 13_lag_mhfATL60, 3_lag_10_median_tripol1_2535_3"
LRforcedPSO,9,6,traDP,shigh,1723.5,2005.5,0.4,24,4,4,23.03003882561022,-0.3660168743687661,2535,"['4_lag_9_median_traTLS', '10_lag_wnorPRjfm', '4_lag_5_median_glTSjfm', '4_lag_19_median_labSSTjfm', '14_lag_glomaSSTjfm', '20_lag_glTSjfm']","[1.592387748254291, 8.58926229829338, 0.8874350185054283, 7.176677377351254, 3.1098338977424262, 3.995637850149345]","4_lag_9_median_traTLS, 10_lag_wnorPRjfm, 4_lag_5_median_glTSjfm, 4_lag_19_median_labSSTjfm, 14_lag_glomaSSTjfm, 20_lag_glTSjfm_2535_4"
