model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traDP,shigh,866.5,2005.5,0.6,15,5,5,6.790802489808627,0.9037004952811104,1235,"['6_lag_traDP', '5_lag_10_median_mhfIP30', '12_lag_amo3', '5_lag_11_median_traEU', '5_lag_10_median_traFSC', '5_lag_14_median_traEC', '5_lag_14_median_ormenSSTjfm', '5_lag_8_median_eapPSLjfm', '7_lag_mhfATL30', '5_lag_12_median_seurTSjfm', '5_lag_9_median_traTLS', '5_lag_13_median_cetTSjfm', '5_lag_12_median_amoSSTmjjaso', '5_lag_14_median_tripol3', '5_lag_14_median_traIFC', '11_lag_ensoSSTjfm', '11_lag_tripol2', '5_lag_14_median_amo1', '5_lag_8_median_traDS', '5_lag_10_median_traEU', '5_lag_12_median_yrvPRjja', '5_lag_14_median_eapPSLjfm', '14_lag_amo1', '5_lag_14_median_traBO', '5_lag_13_median_amo1', '5_lag_8_median_traDP', '5_lag_12_median_stratZ50ndj04', '5_lag_13_median_wnorPRjfm', '5_lag_8_median_nppc2SSTjfm', '5_lag_traDP']","[0.21534186835812588, 0.03227855314556399, 0.03153637678527939, 0.09374034710031998, 0.006302579240119553, 0.13953400338113778, 0.038440172089887495, 0.037110205163638395, 0.038956945659553245, 0.06271091291989773, 0.009423017537674227, 0.03244756108457863, 0.13093142141168476, 0.17870550139415428, 0.01800555124230573, 0.10993358700034135, 0.1447346088014587, 0.38808039300408437, 0.02584281962402049, 0.07367695131427951, 0.03576734647536667, 0.16622213783085113, 0.10994810922758173, 0.07601368826477253, 0.1973348867426132, 0.2820963469635176, 0.1134793736144974, 0.05137752759958464, 0.003676972288812576, 0.4586865889113043]","6_lag_traDP, 5_lag_10_median_mhfIP30, 12_lag_amo3, 5_lag_11_median_traEU, 5_lag_10_median_traFSC, 5_lag_14_median_traEC, 5_lag_14_median_ormenSSTjfm, 5_lag_8_median_eapPSLjfm, 7_lag_mhfATL30, 5_lag_12_median_seurTSjfm, 5_lag_9_median_traTLS, 5_lag_13_median_cetTSjfm, 5_lag_12_median_amoSSTmjjaso, 5_lag_14_median_tripol3, 5_lag_14_median_traIFC, 11_lag_ensoSSTjfm, 11_lag_tripol2, 5_lag_14_median_amo1, 5_lag_8_median_traDS, 5_lag_10_median_traEU, 5_lag_12_median_yrvPRjja, 5_lag_14_median_eapPSLjfm, 14_lag_amo1, 5_lag_14_median_traBO, 5_lag_13_median_amo1, 5_lag_8_median_traDP, 5_lag_12_median_stratZ50ndj04, 5_lag_13_median_wnorPRjfm, 5_lag_8_median_nppc2SSTjfm, 5_lag_traDP_1235_5"
LinearRegression,1,30,traDP,shigh,867.5,2005.5,0.6,16,6,6,6.572710885978796,0.9039868365594252,1235,"['6_lag_14_median_cetTSjfm', '6_lag_10_median_samPSLann', '12_lag_atlSICjfm', '12_lag_traDP', '6_lag_15_median_stratZ50ndj04', '6_lag_14_median_traBS', '6_lag_10_median_mhfIP30', '6_lag_15_median_shSICmar', '8_lag_satlSSTjfm', '6_lag_13_median_atlSICjfm', '6_lag_12_median_nchinaPRjja', '14_lag_amo1', '6_lag_9_median_traTLS', '6_lag_13_median_traWP', '6_lag_15_median_traBO', '6_lag_9_median_shTSjfm', '6_lag_15_median_yrvPRjja', '6_lag_13_median_amo1', '10_lag_traDP', '6_lag_15_median_shTSjfm', '6_lag_11_median_nchinaPRjja', '6_lag_11_median_ormenSSTjfm', '6_lag_15_median_stratZ50ndj03', '6_lag_15_median_tripol3', '6_lag_14_median_traBO', '12_lag_amo3', '9_lag_traWP', '15_lag_traDP', '6_lag_12_median_yrvPRjja', '6_lag_traDP']","[0.01875643591988244, 0.07001969641942461, 0.001574383530526566, 0.010172862142339237, 0.22312820008117637, 0.09360672961962713, 0.020148601672665644, 0.028408242422427104, 0.05648250482303066, 0.005899486743579743, 0.04764863597270377, 0.07719111741892816, 0.004299020086593164, 0.1410701923345666, 0.08869589530731073, 0.01922260846300038, 0.03355144595211702, 0.07802526536395805, 0.24282139228764732, 0.12554969959675857, 0.0895099822806871, 0.019902877049057032, 0.06528901031872543, 0.29039310641403915, 0.049617336912688374, 0.07628569802262478, 0.012640517238449788, 0.2019904242988031, 0.015062142593378342, 0.839661663321206]","6_lag_14_median_cetTSjfm, 6_lag_10_median_samPSLann, 12_lag_atlSICjfm, 12_lag_traDP, 6_lag_15_median_stratZ50ndj04, 6_lag_14_median_traBS, 6_lag_10_median_mhfIP30, 6_lag_15_median_shSICmar, 8_lag_satlSSTjfm, 6_lag_13_median_atlSICjfm, 6_lag_12_median_nchinaPRjja, 14_lag_amo1, 6_lag_9_median_traTLS, 6_lag_13_median_traWP, 6_lag_15_median_traBO, 6_lag_9_median_shTSjfm, 6_lag_15_median_yrvPRjja, 6_lag_13_median_amo1, 10_lag_traDP, 6_lag_15_median_shTSjfm, 6_lag_11_median_nchinaPRjja, 6_lag_11_median_ormenSSTjfm, 6_lag_15_median_stratZ50ndj03, 6_lag_15_median_tripol3, 6_lag_14_median_traBO, 12_lag_amo3, 9_lag_traWP, 15_lag_traDP, 6_lag_12_median_yrvPRjja, 6_lag_traDP_1235_6"
LinearRegression,2,30,traDP,shigh,868.5,2005.5,0.6,17,7,7,6.783124156461572,0.8977924719964143,1235,"['15_lag_AMOCann', '12_lag_nhSICjfm', '12_lag_amo3', '7_lag_13_median_eurPSLjfm', '9_lag_nppc2SSTjfm', '11_lag_amo2', '7_lag_12_median_traFSC', '7_lag_mhfATL45', '12_lag_ormenSSTjfm', '14_lag_amo2', '7_lag_11_median_satlSSTjfm', '7_lag_15_median_tripol3', '7_lag_16_median_ginwSSTjfm', '11_lag_traDP', '7_lag_14_median_traBO', '7_lag_10_median_AMOCann', '7_lag_11_median_traBO', '7_lag_13_median_scpPSLjfm', '16_lag_traDP', '7_lag_10_median_mhfATL30', '7_lag_15_median_pdoSSTjfm', '7_lag_14_median_traEC', '7_lag_stratZ50ndj04', '7_lag_13_median_tripol1', '10_lag_glomaSSTjfm', '15_lag_traDP', '7_lag_16_median_traFB', '7_lag_16_median_cetTSjfm', '7_lag_10_median_nppc2SSTjfm', '7_lag_traDP']","[0.008647716921876337, 0.04782627529629063, 0.030701082068625405, 0.032697093157744446, 0.10623655683278858, 0.0013748874824305874, 0.04449434493788037, 0.027094160048390655, 0.03390280386475963, 0.04379396148859647, 0.15372891151072687, 0.2077940846426677, 0.0014601817334692936, 0.25136377080209027, 0.06353737349159047, 0.1610498939888091, 0.026874081513559432, 0.03015905888579196, 0.18805375589750947, 0.11162824884424699, 0.03969069373948709, 0.08979963340241724, 0.07096270240681586, 0.06892424991427376, 0.054911409819174944, 0.09979726233892179, 0.07341185188396966, 0.012285105465459455, 0.09482193851110529, 0.8996838468076607]","15_lag_AMOCann, 12_lag_nhSICjfm, 12_lag_amo3, 7_lag_13_median_eurPSLjfm, 9_lag_nppc2SSTjfm, 11_lag_amo2, 7_lag_12_median_traFSC, 7_lag_mhfATL45, 12_lag_ormenSSTjfm, 14_lag_amo2, 7_lag_11_median_satlSSTjfm, 7_lag_15_median_tripol3, 7_lag_16_median_ginwSSTjfm, 11_lag_traDP, 7_lag_14_median_traBO, 7_lag_10_median_AMOCann, 7_lag_11_median_traBO, 7_lag_13_median_scpPSLjfm, 16_lag_traDP, 7_lag_10_median_mhfATL30, 7_lag_15_median_pdoSSTjfm, 7_lag_14_median_traEC, 7_lag_stratZ50ndj04, 7_lag_13_median_tripol1, 10_lag_glomaSSTjfm, 15_lag_traDP, 7_lag_16_median_traFB, 7_lag_16_median_cetTSjfm, 7_lag_10_median_nppc2SSTjfm, 7_lag_traDP_1235_7"
LinearRegression,3,30,traDP,shigh,869.5,2005.5,0.6,18,8,8,6.989229228379923,0.8920176372114464,1235,"['8_lag_15_median_stratZ50ndj04', '15_lag_mhfATL60', '15_lag_nhSICjfm', '11_lag_stratZ50ndj04', '15_lag_amo2', '11_lag_wnorPRjfm', '11_lag_amoSSTmjjaso', '14_lag_traDP', '8_lag_15_median_naoPSLjfm', '12_lag_traDP', '8_lag_16_median_traFB', '8_lag_16_median_alpi', '8_lag_11_median_traBO', '14_lag_mhfATL30', '17_lag_shTSjfm', '8_lag_13_median_stratZ50ndj02', '15_lag_traDP', '13_lag_amo2', '8_lag_13_median_tripol1', '8_lag_13_median_amoSSTmjjaso', '8_lag_17_median_stratZ50ndj03', '8_lag_13_median_seurTSjfm', '8_lag_amoSSTmjjaso', '8_lag_mhfATL45', '16_lag_traDP', '11_lag_traDP', '8_lag_13_median_mhfATL60', '8_lag_13_median_traBO', '8_lag_11_median_tripol1', '8_lag_traDP']","[0.1347244225890005, 0.015065018688932251, 0.012017849702939447, 0.013409779320274954, 0.05344765921446501, 0.004643219461832691, 0.019516073519451133, 0.008184546526103247, 0.006447083903267745, 0.15090371481250942, 0.008672760506988567, 0.023621235861035626, 0.01683298871283069, 0.005663336810028546, 0.03997061526932128, 0.06949697752950676, 0.17790792472218636, 0.005033239768469084, 0.03166686101232364, 0.08482083042385552, 0.1573691851040439, 0.11463618131507239, 0.04901822413918025, 0.028304231485926482, 0.1737686184178008, 0.2278280676850014, 0.06861156411268236, 0.1096602211061422, 0.03129631226205846, 0.8153265339878503]","8_lag_15_median_stratZ50ndj04, 15_lag_mhfATL60, 15_lag_nhSICjfm, 11_lag_stratZ50ndj04, 15_lag_amo2, 11_lag_wnorPRjfm, 11_lag_amoSSTmjjaso, 14_lag_traDP, 8_lag_15_median_naoPSLjfm, 12_lag_traDP, 8_lag_16_median_traFB, 8_lag_16_median_alpi, 8_lag_11_median_traBO, 14_lag_mhfATL30, 17_lag_shTSjfm, 8_lag_13_median_stratZ50ndj02, 15_lag_traDP, 13_lag_amo2, 8_lag_13_median_tripol1, 8_lag_13_median_amoSSTmjjaso, 8_lag_17_median_stratZ50ndj03, 8_lag_13_median_seurTSjfm, 8_lag_amoSSTmjjaso, 8_lag_mhfATL45, 16_lag_traDP, 11_lag_traDP, 8_lag_13_median_mhfATL60, 8_lag_13_median_traBO, 8_lag_11_median_tripol1, 8_lag_traDP_1235_8"
LinearRegression,4,30,traDP,shigh,870.5,2005.5,0.6,19,9,9,7.348565305380708,0.878626636491872,1235,"['15_lag_eurPSLjfm', '11_lag_pdoSSTjfm', '14_lag_shSICsep', '9_lag_17_median_cetTSjfm', '9_lag_12_median_mhfATL30', '9_lag_13_median_stratZ50ndj02', '15_lag_nhSICjfm', '9_lag_16_median_traFB', '9_lag_18_median_shTSjfm', '9_lag_18_median_atlSICsep', '9_lag_14_median_ormenSSTjfm', '9_lag_12_median_seurTSjfm', '9_lag_16_median_ormenSSTjfm', '9_lag_14_median_mhfATL60', '9_lag_12_median_ginwSSTjfm', '9_lag_15_median_ismPRjja', '9_lag_12_median_tripol1', '9_lag_13_median_AMOCann', '9_lag_shSICsep', '9_lag_13_median_mhfATL30', '17_lag_traDP', '15_lag_mhfATL60', '12_lag_traDP', '9_lag_16_median_traEC', '9_lag_16_median_traWP', '16_lag_traDP', '9_lag_18_median_stratZ50ndj03', '9_lag_18_median_cetTSjfm', '9_lag_18_median_traIT', '9_lag_traDP']","[0.0006988053004950989, 0.013077457578550812, 0.027671216976177224, 0.20401834528501153, 0.0673612039996471, 0.06438131324876954, 0.02326534947549064, 0.04300840640032453, 0.08507590030293191, 0.04421573250455218, 0.12450440151462838, 0.09642821575182267, 0.22417540579482992, 0.012467489578571578, 0.03874260655997897, 0.08469777085049382, 0.039880686479852524, 0.029284096083044373, 0.019071097661019245, 0.015363905696499904, 0.21142176333781668, 0.020002615454927507, 0.3817099080843314, 0.1252426680453828, 0.11064778567351814, 0.17986482458764816, 0.17244353102491902, 0.2149323170299184, 0.13986695898131454, 0.8300931883130401]","15_lag_eurPSLjfm, 11_lag_pdoSSTjfm, 14_lag_shSICsep, 9_lag_17_median_cetTSjfm, 9_lag_12_median_mhfATL30, 9_lag_13_median_stratZ50ndj02, 15_lag_nhSICjfm, 9_lag_16_median_traFB, 9_lag_18_median_shTSjfm, 9_lag_18_median_atlSICsep, 9_lag_14_median_ormenSSTjfm, 9_lag_12_median_seurTSjfm, 9_lag_16_median_ormenSSTjfm, 9_lag_14_median_mhfATL60, 9_lag_12_median_ginwSSTjfm, 9_lag_15_median_ismPRjja, 9_lag_12_median_tripol1, 9_lag_13_median_AMOCann, 9_lag_shSICsep, 9_lag_13_median_mhfATL30, 17_lag_traDP, 15_lag_mhfATL60, 12_lag_traDP, 9_lag_16_median_traEC, 9_lag_16_median_traWP, 16_lag_traDP, 9_lag_18_median_stratZ50ndj03, 9_lag_18_median_cetTSjfm, 9_lag_18_median_traIT, 9_lag_traDP_1235_9"
LinearRegression,5,30,traDP,shigh,871.5,2005.5,0.6,20,10,10,8.472763349287025,0.8309306537300125,1235,"['10_lag_14_median_traFSC', '16_lag_mhfATL60', '10_lag_19_median_eurPSLjfm', '10_lag_17_median_amo3', '15_lag_mhfATL45', '15_lag_shTSjfm', '10_lag_14_median_scpPSLjfm', '12_lag_traDP', '10_lag_17_median_traEC', '12_lag_stratZ50ndj02', '10_lag_18_median_yrvPRjja', '12_lag_mhfATL45', '17_lag_amo2', '10_lag_15_median_traDS', '10_lag_19_median_traBS', '10_lag_19_median_mhfATL30', '10_lag_14_median_wnorPRjfm', '10_lag_19_median_stratZ50ndj03', '10_lag_13_median_nppc2SSTjfm', '10_lag_19_median_traFB', '10_lag_13_median_traBO', '10_lag_17_median_traWP', '17_lag_traDP', '10_lag_19_median_cetTSjfm', '14_lag_traDP', '10_lag_19_median_alpi', '10_lag_19_median_yrvPRjja', '10_lag_13_median_traDP', '10_lag_19_median_traEU', '10_lag_traDP']","[0.021844644124343896, 0.005649166452115828, 0.20005964450180333, 0.024560291528200873, 0.08595945352238539, 0.07300861542019033, 0.06233879974964509, 0.08615884188559209, 0.059135058061313514, 0.049920987147218716, 0.10474506677780379, 0.0755989822107776, 0.08400508560175501, 0.028125959219551452, 0.25098014187179774, 0.07419220421643596, 0.04890554090960902, 0.14502492489966787, 0.03765925603225598, 0.13812007365495943, 0.07054799479478668, 0.23526581198680396, 0.4535676755971066, 0.08059095762517195, 0.040316917772771216, 0.04561250713600771, 0.1901796859205162, 0.47537051507173345, 0.06185848046725324, 0.6621600282628782]","10_lag_14_median_traFSC, 16_lag_mhfATL60, 10_lag_19_median_eurPSLjfm, 10_lag_17_median_amo3, 15_lag_mhfATL45, 15_lag_shTSjfm, 10_lag_14_median_scpPSLjfm, 12_lag_traDP, 10_lag_17_median_traEC, 12_lag_stratZ50ndj02, 10_lag_18_median_yrvPRjja, 12_lag_mhfATL45, 17_lag_amo2, 10_lag_15_median_traDS, 10_lag_19_median_traBS, 10_lag_19_median_mhfATL30, 10_lag_14_median_wnorPRjfm, 10_lag_19_median_stratZ50ndj03, 10_lag_13_median_nppc2SSTjfm, 10_lag_19_median_traFB, 10_lag_13_median_traBO, 10_lag_17_median_traWP, 17_lag_traDP, 10_lag_19_median_cetTSjfm, 14_lag_traDP, 10_lag_19_median_alpi, 10_lag_19_median_yrvPRjja, 10_lag_13_median_traDP, 10_lag_19_median_traEU, 10_lag_traDP_1235_10"
LinearRegression,6,30,traDP,shigh,872.5,2005.5,0.6,21,11,11,8.626383123790436,0.8245744567020675,1235,"['11_lag_16_median_naoPSLjfm', '20_lag_traDP', '11_lag_14_median_yrvPRjja', '11_lag_18_median_amoSSTmjjaso', '11_lag_19_median_shTSjfm', '11_lag_20_median_traIFC', '11_lag_18_median_traFS', '14_lag_stratZ50ndj02', '11_lag_16_median_traEC', '12_lag_traDP', '11_lag_12_median_traDP', '19_lag_mhfIP30', '11_lag_20_median_traIT', '15_lag_mhfATL60', '14_lag_tripol1', '11_lag_20_median_traTLS', '11_lag_mhfATL45', '16_lag_naoPSLjfm', '11_lag_19_median_yrvPRjja', '11_lag_17_median_pdoSSTjfm', '11_lag_20_median_cetTSjfm', '11_lag_14_median_nppc2SSTjfm', '11_lag_20_median_traBO', '11_lag_16_median_ginwSSTjfm', '11_lag_20_median_eapPSLjfm', '11_lag_traDP', '11_lag_19_median_cetTSjfm', '11_lag_20_median_stratZ50ndj03', '14_lag_traDP', '18_lag_amo2']","[0.025665675622897958, 0.4313871704525666, 0.002975573348934093, 0.11244990261590561, 0.030918827329250193, 0.12918122254865916, 0.18077901416075481, 0.021883121858934953, 0.12542233255318594, 0.21856911915541277, 0.21856911915541719, 0.024627456826155702, 0.03948590398461351, 0.02848156963808657, 0.024064336526704, 0.04013485651169324, 0.07994065710381665, 0.03726477154775559, 0.1373769479099217, 0.0695507827931629, 0.10425030759078686, 0.014993803061525621, 0.021351007458957016, 0.033742029701662256, 0.24225083428638794, 0.5569520246643097, 0.0922163972219831, 0.15481036996028028, 0.2088147556698187, 0.09199008265683245]","11_lag_16_median_naoPSLjfm, 20_lag_traDP, 11_lag_14_median_yrvPRjja, 11_lag_18_median_amoSSTmjjaso, 11_lag_19_median_shTSjfm, 11_lag_20_median_traIFC, 11_lag_18_median_traFS, 14_lag_stratZ50ndj02, 11_lag_16_median_traEC, 12_lag_traDP, 11_lag_12_median_traDP, 19_lag_mhfIP30, 11_lag_20_median_traIT, 15_lag_mhfATL60, 14_lag_tripol1, 11_lag_20_median_traTLS, 11_lag_mhfATL45, 16_lag_naoPSLjfm, 11_lag_19_median_yrvPRjja, 11_lag_17_median_pdoSSTjfm, 11_lag_20_median_cetTSjfm, 11_lag_14_median_nppc2SSTjfm, 11_lag_20_median_traBO, 11_lag_16_median_ginwSSTjfm, 11_lag_20_median_eapPSLjfm, 11_lag_traDP, 11_lag_19_median_cetTSjfm, 11_lag_20_median_stratZ50ndj03, 14_lag_traDP, 18_lag_amo2_1235_11"
LinearRegression,7,30,traDP,shigh,873.5,2005.5,0.6,22,12,12,8.775513264070971,0.8164690991734678,1235,"['12_lag_21_median_eurPSLjfm', '12_lag_20_median_yrvPRjja', '12_lag_21_median_traIT', '14_lag_satlSSTjfm', '12_lag_20_median_cetTSjfm', '12_lag_17_median_wnorPRjfm', '17_lag_shTSjfm', '12_lag_15_median_seurTSjfm', '12_lag_16_median_AMOCann', '12_lag_19_median_traEC', '18_lag_mhfATL45', '12_lag_21_median_traEU', '12_lag_17_median_traIFC', '12_lag_20_median_tripol3', '14_lag_traDP', '12_lag_20_median_shTSjfm', '14_lag_tripol1', '12_lag_19_median_arcTSjfm', '12_lag_17_median_pdoSSTjfm', '12_lag_18_median_scpPSLjfm', '16_lag_naoPSLjfm', '21_lag_traDP', '15_lag_traDP', '12_lag_21_median_cetTSjfm', '12_lag_21_median_yrvPRjja', '12_lag_16_median_wnorPRjfm', '12_lag_19_median_cetTSjfm', '12_lag_17_median_traBS', '12_lag_21_median_stratZ50ndj03', '12_lag_traDP']","[0.16610594538178328, 0.020185797981429304, 0.11587622536064496, 0.021696830015659963, 0.14533613033160275, 0.01114491463001357, 0.037863150783035385, 0.10902200735827262, 0.0259916703379765, 0.119816736970783, 0.0436254743501784, 0.01311408757392153, 0.05125278537863643, 0.31702644091696514, 0.3844487241689558, 0.049542652117414786, 0.010334466988697647, 0.011477192273267905, 0.025620255555063424, 0.12316102176209244, 0.04816562624715, 0.42469837478455563, 0.10000432622798258, 0.08099169788051497, 0.09762529155541523, 0.029116245654101293, 0.13371856896708356, 0.13168191793254577, 0.21248998008344924, 0.6871465946519808]","12_lag_21_median_eurPSLjfm, 12_lag_20_median_yrvPRjja, 12_lag_21_median_traIT, 14_lag_satlSSTjfm, 12_lag_20_median_cetTSjfm, 12_lag_17_median_wnorPRjfm, 17_lag_shTSjfm, 12_lag_15_median_seurTSjfm, 12_lag_16_median_AMOCann, 12_lag_19_median_traEC, 18_lag_mhfATL45, 12_lag_21_median_traEU, 12_lag_17_median_traIFC, 12_lag_20_median_tripol3, 14_lag_traDP, 12_lag_20_median_shTSjfm, 14_lag_tripol1, 12_lag_19_median_arcTSjfm, 12_lag_17_median_pdoSSTjfm, 12_lag_18_median_scpPSLjfm, 16_lag_naoPSLjfm, 21_lag_traDP, 15_lag_traDP, 12_lag_21_median_cetTSjfm, 12_lag_21_median_yrvPRjja, 12_lag_16_median_wnorPRjfm, 12_lag_19_median_cetTSjfm, 12_lag_17_median_traBS, 12_lag_21_median_stratZ50ndj03, 12_lag_traDP_1235_12"
LinearRegression,8,30,traDP,shigh,874.5,2005.5,0.6,23,13,13,8.934279057653402,0.8054307036405092,1235,"['13_lag_22_median_shSICsep', '13_lag_20_median_nchinaPRjja', '13_lag_22_median_traFB', '13_lag_18_median_mhfATL60', '13_lag_22_median_traBO', '16_lag_glomaSSTjfm', '19_lag_traDP', '13_lag_22_median_cetTSjfm', '13_lag_16_median_traFS', '13_lag_21_median_shTSjfm', '13_lag_16_median_traFSC', '13_lag_22_median_traDS', '13_lag_20_median_traTLS', '13_lag_17_median_traBO', '21_lag_traDP', '13_lag_22_median_shTSjfm', '13_lag_16_median_eurPSLjfm', '13_lag_14_median_traDP', '14_lag_traDP', '13_lag_17_median_eurPSLjfm', '16_lag_naoPSLjfm', '13_lag_21_median_traIT', '13_lag_21_median_yrvPRjja', '13_lag_20_median_naoPSLjfm', '13_lag_18_median_naoPSLjfm', '13_lag_21_median_cetTSjfm', '18_lag_mhfATL45', '20_lag_amo2', '13_lag_traDP', '13_lag_22_median_stratZ50ndj03']","[0.05503386479609684, 0.024556159665543288, 0.020770406067960958, 0.13480687398037566, 0.06812972715635655, 0.0844573420325532, 0.09148137431524207, 0.06047361792837789, 0.018147173811659548, 0.6784039353064127, 0.023366632782982972, 0.09777823789126674, 0.08666023287549805, 0.08636936164829749, 0.2941750540470021, 0.6058430251359356, 0.08655419402707047, 0.24413477990290963, 0.24413477990290955, 0.06066862535493669, 0.044612771185072286, 0.14426777106830155, 0.1698742580375839, 0.06223356916858614, 0.029922092267238517, 0.04034603902658512, 0.09893302046879027, 0.13155518596678148, 0.6305027356400751, 0.1883030550209543]","13_lag_22_median_shSICsep, 13_lag_20_median_nchinaPRjja, 13_lag_22_median_traFB, 13_lag_18_median_mhfATL60, 13_lag_22_median_traBO, 16_lag_glomaSSTjfm, 19_lag_traDP, 13_lag_22_median_cetTSjfm, 13_lag_16_median_traFS, 13_lag_21_median_shTSjfm, 13_lag_16_median_traFSC, 13_lag_22_median_traDS, 13_lag_20_median_traTLS, 13_lag_17_median_traBO, 21_lag_traDP, 13_lag_22_median_shTSjfm, 13_lag_16_median_eurPSLjfm, 13_lag_14_median_traDP, 14_lag_traDP, 13_lag_17_median_eurPSLjfm, 16_lag_naoPSLjfm, 13_lag_21_median_traIT, 13_lag_21_median_yrvPRjja, 13_lag_20_median_naoPSLjfm, 13_lag_18_median_naoPSLjfm, 13_lag_21_median_cetTSjfm, 18_lag_mhfATL45, 20_lag_amo2, 13_lag_traDP, 13_lag_22_median_stratZ50ndj03_1235_13"
LinearRegression,9,30,traDP,shigh,875.5,2005.5,0.6,24,14,14,10.04972549048101,0.7680102307237199,1235,"['14_lag_ormenSSTjfm', '14_lag_22_median_satlSSTjfm', '14_lag_21_median_shTSjfm', '14_lag_23_median_nhTSjfm', '18_lag_atlSICjfm', '17_lag_stratZ50ndj02', '14_lag_17_median_tripol1', '14_lag_19_median_AMOCann', '14_lag_18_median_stratZ50ndj03', '17_lag_traDP', '14_lag_23_median_mhfATL45', '14_lag_solFORC', '14_lag_21_median_arcTSjfm', '14_lag_23_median_traFB', '14_lag_17_median_traFS', '14_lag_22_median_traFB', '14_lag_21_median_seurTSjfm', '19_lag_mhfATL45', '14_lag_21_median_traBO', '14_lag_21_median_nhTSjfm', '14_lag_17_median_yrvPRjja', '21_lag_traDP', '14_lag_23_median_traFSC', '14_lag_20_median_traTLS', '14_lag_23_median_cetTSjfm', '21_lag_amo2', '14_lag_22_median_cetTSjfm', '21_lag_ormenSSTjfm', '14_lag_19_median_naoPSLjfm', '14_lag_traDP']","[0.020385953991398777, 0.12267542607858584, 0.07577046589369416, 0.1654706146868831, 0.028009784557841505, 0.03540126487026633, 0.030713790202850033, 0.23982632088331982, 0.12497617061263179, 0.22482986791540902, 0.31460308065718734, 0.0061131006753225815, 0.002803100558390051, 0.10196507461997345, 0.04764365468281906, 0.07587107154273076, 0.09505467696519111, 0.0036166582889833616, 0.15250140793166064, 0.06465188872613653, 0.0032844383578835754, 0.36254155184202264, 0.08451320536103038, 0.03819533000955783, 0.017550713199623282, 0.15679369349897757, 0.020995927324616415, 0.004193533521600002, 0.09352311826062883, 0.8371689614359655]","14_lag_ormenSSTjfm, 14_lag_22_median_satlSSTjfm, 14_lag_21_median_shTSjfm, 14_lag_23_median_nhTSjfm, 18_lag_atlSICjfm, 17_lag_stratZ50ndj02, 14_lag_17_median_tripol1, 14_lag_19_median_AMOCann, 14_lag_18_median_stratZ50ndj03, 17_lag_traDP, 14_lag_23_median_mhfATL45, 14_lag_solFORC, 14_lag_21_median_arcTSjfm, 14_lag_23_median_traFB, 14_lag_17_median_traFS, 14_lag_22_median_traFB, 14_lag_21_median_seurTSjfm, 19_lag_mhfATL45, 14_lag_21_median_traBO, 14_lag_21_median_nhTSjfm, 14_lag_17_median_yrvPRjja, 21_lag_traDP, 14_lag_23_median_traFSC, 14_lag_20_median_traTLS, 14_lag_23_median_cetTSjfm, 21_lag_amo2, 14_lag_22_median_cetTSjfm, 21_lag_ormenSSTjfm, 14_lag_19_median_naoPSLjfm, 14_lag_traDP_1235_14"
