model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traDS,shigh,866.5,2005.5,0.6,15,5,5,26.03713000402165,0.056440636812443025,1235,"['5_lag_shSICsep', '9_lag_naoPSLjfm', '8_lag_nppc2SSTjfm', '5_lag_traBS', '5_lag_6_median_traMC', '6_lag_atlSICsep', '8_lag_traBS', '14_lag_amo2', '8_lag_yrvPRjja', '10_lag_mhfATL60', '5_lag_14_median_traIFC', '5_lag_7_median_mhfATL30', '12_lag_atlSICsep', '10_lag_eurPSLjfm', '9_lag_traMC', '13_lag_naoPSLjfm', '8_lag_nppc3SSTjfm', '5_lag_11_median_wnorPRjfm', '5_lag_13_median_seurTSjfm', '5_lag_7_median_stratZ50ndj02', '11_lag_neurTSjfm', '5_lag_6_median_traBO', '8_lag_mhfIP30', '5_lag_10_median_traDP', '11_lag_amo1', '5_lag_6_median_atlSICsep', '5_lag_7_median_nppc2SSTjfm', '7_lag_traFSC', '6_lag_stratZ50ndj04', '5_lag_14_median_stratZ50ndj01']","[4.159747204930673, 6.235463676186321, 5.220225010984554, 1.2104836103791357, 4.936336973713676, 6.183628575543089, 6.264358997346161, 4.161882900439641, 9.506376402253665, 1.8497945084745773, 2.403570545981937, 1.3203611519182878, 1.0681181406511957, 2.021905506124872, 4.65257354826954, 1.7789215541277343, 0.8381316466023385, 7.558047950179848, 2.8737954438891293, 1.7714183313629377, 2.510546552869277, 3.4507165611222668, 8.501418320451805, 8.433372663418261, 2.37225730033577, 5.340666779460128, 0.3086795162945588, 3.8254891001168456, 6.9276854399806815, 7.574439553320566]","5_lag_shSICsep, 9_lag_naoPSLjfm, 8_lag_nppc2SSTjfm, 5_lag_traBS, 5_lag_6_median_traMC, 6_lag_atlSICsep, 8_lag_traBS, 14_lag_amo2, 8_lag_yrvPRjja, 10_lag_mhfATL60, 5_lag_14_median_traIFC, 5_lag_7_median_mhfATL30, 12_lag_atlSICsep, 10_lag_eurPSLjfm, 9_lag_traMC, 13_lag_naoPSLjfm, 8_lag_nppc3SSTjfm, 5_lag_11_median_wnorPRjfm, 5_lag_13_median_seurTSjfm, 5_lag_7_median_stratZ50ndj02, 11_lag_neurTSjfm, 5_lag_6_median_traBO, 8_lag_mhfIP30, 5_lag_10_median_traDP, 11_lag_amo1, 5_lag_6_median_atlSICsep, 5_lag_7_median_nppc2SSTjfm, 7_lag_traFSC, 6_lag_stratZ50ndj04, 5_lag_14_median_stratZ50ndj01_1235_5"
LRforcedPSO,1,30,traDS,shigh,867.5,2005.5,0.6,16,6,6,22.346480326037597,0.018929497673513585,1235,"['14_lag_shTSjfm', '6_lag_8_median_traDP', '11_lag_naoPSLjfm', '6_lag_8_median_yrvPRjja', '6_lag_12_median_traIFC', '7_lag_nppc2SSTjfm', '6_lag_15_median_stratZ50ndj03', '14_lag_labSSTjfm', '6_lag_12_median_traFS', '6_lag_11_median_traIT', '6_lag_13_median_traBO', '9_lag_eurPSLjfm', '6_lag_12_median_traBO', '6_lag_tripol2', '7_lag_nhSICjfm', '12_lag_amoSSTmjjaso', '6_lag_10_median_mhfIP30', '6_lag_7_median_traFS', '6_lag_14_median_nppc2SSTjfm', '6_lag_13_median_labSSTjfm', '12_lag_nchinaPRjja', '6_lag_10_median_traBO', '8_lag_AMOCann', '6_lag_12_median_pdoSSTjfm', '6_lag_10_median_yrvPRjja', '8_lag_cetTSjfm', '8_lag_traIFC', '12_lag_traFS', '13_lag_gyreSSTjfm', '6_lag_14_median_shSICmar']","[2.8154543900217295, 2.183559337823528, 2.574877567010776, 1.9915117908545241, 1.1166511696251789, 0.3082079273334557, 2.133608215351808, 3.5502266445686743, 3.4497107827001727, 6.67172513450851, 9.280545280264612, 3.8476351902992656, 4.891566835797416, 9.9623330432833, 9.036288076884007, 8.375482372612296, 7.4847759311820745, 1.7706701495824628, 2.913954213984585, 5.5007374877623345, 7.635938436262943, 4.967249234346718, 5.373892707168013, 4.888359929244544, 0.879486606811513, 7.131818991385153, 3.0131139192197516, 0.7896262413953394, 0.24203542536251987, 2.3257493839583]","14_lag_shTSjfm, 6_lag_8_median_traDP, 11_lag_naoPSLjfm, 6_lag_8_median_yrvPRjja, 6_lag_12_median_traIFC, 7_lag_nppc2SSTjfm, 6_lag_15_median_stratZ50ndj03, 14_lag_labSSTjfm, 6_lag_12_median_traFS, 6_lag_11_median_traIT, 6_lag_13_median_traBO, 9_lag_eurPSLjfm, 6_lag_12_median_traBO, 6_lag_tripol2, 7_lag_nhSICjfm, 12_lag_amoSSTmjjaso, 6_lag_10_median_mhfIP30, 6_lag_7_median_traFS, 6_lag_14_median_nppc2SSTjfm, 6_lag_13_median_labSSTjfm, 12_lag_nchinaPRjja, 6_lag_10_median_traBO, 8_lag_AMOCann, 6_lag_12_median_pdoSSTjfm, 6_lag_10_median_yrvPRjja, 8_lag_cetTSjfm, 8_lag_traIFC, 12_lag_traFS, 13_lag_gyreSSTjfm, 6_lag_14_median_shSICmar_1235_6"
LRforcedPSO,2,30,traDS,shigh,868.5,2005.5,0.6,17,7,7,23.361373189531207,-0.054969257461017426,1235,"['9_lag_stratZ50ndj04', '14_lag_traIFC', '7_lag_9_median_stratZ50ndj03', '7_lag_13_median_amo1', '7_lag_11_median_traCA', '7_lag_8_median_traWP', '9_lag_nppc2SSTjfm', '11_lag_arcTSjfm', '16_lag_nhTSjfm', '10_lag_pdoSSTjfm', '13_lag_nhSICsep', '15_lag_shSICmar', '7_lag_13_median_shSICsep', '7_lag_9_median_tripol2', '9_lag_eapPSLjfm', '15_lag_tripol3', '8_lag_traDS', '11_lag_shTSjfm', '11_lag_stratZ50ndj04', '7_lag_12_median_wnorPRjfm', '15_lag_ismPRjja', '7_lag_13_median_traBS', '13_lag_solFORC', '7_lag_15_median_seurTSjfm', '15_lag_traBO', '15_lag_traMC', '7_lag_13_median_satlSSTjfm', '15_lag_traFB', '14_lag_atlSICsep', '10_lag_amoSSTmjjaso']","[7.390426846790106, 5.327186745191883, 3.247263419870823, 3.4637333579253777, 2.8485908307770824, 3.8321578657967965, 5.330732640860396, 6.844188346981895, 6.219127179368858, 0.10619033221479235, 2.0768886706161727, 3.702629504046417, 0.6114934705799229, 7.095705553801071, 2.5021699404555413, 7.222383992438008, 1.8721361148081712, 2.7755849329399602, 2.4156631287138497, 7.606807280604652, 0.16362941623405192, 0.5489914645800802, 2.442307710428098, 2.6954184049678904, 4.2338056392196215, 5.335347025833448, 2.518430440182547, 4.6995478765702625, 3.211666500842618, 9.026585964739397]","9_lag_stratZ50ndj04, 14_lag_traIFC, 7_lag_9_median_stratZ50ndj03, 7_lag_13_median_amo1, 7_lag_11_median_traCA, 7_lag_8_median_traWP, 9_lag_nppc2SSTjfm, 11_lag_arcTSjfm, 16_lag_nhTSjfm, 10_lag_pdoSSTjfm, 13_lag_nhSICsep, 15_lag_shSICmar, 7_lag_13_median_shSICsep, 7_lag_9_median_tripol2, 9_lag_eapPSLjfm, 15_lag_tripol3, 8_lag_traDS, 11_lag_shTSjfm, 11_lag_stratZ50ndj04, 7_lag_12_median_wnorPRjfm, 15_lag_ismPRjja, 7_lag_13_median_traBS, 13_lag_solFORC, 7_lag_15_median_seurTSjfm, 15_lag_traBO, 15_lag_traMC, 7_lag_13_median_satlSSTjfm, 15_lag_traFB, 14_lag_atlSICsep, 10_lag_amoSSTmjjaso_1235_7"
LRforcedPSO,3,30,traDS,shigh,869.5,2005.5,0.6,18,8,8,23.880344706000123,-0.078422882806951,1235,"['11_lag_shSICsep', '8_lag_10_median_shTSjfm', '8_lag_15_median_traBS', '8_lag_traMC', '8_lag_tripol2', '14_lag_mhfATL60', '17_lag_alpi', '8_lag_14_median_nhSICjfm', '8_lag_12_median_tripol3', '15_lag_arcTSjfm', '14_lag_nppc3SSTjfm', '16_lag_nhSICjfm', '14_lag_stratZ50ndj04', '8_lag_16_median_traDS', '8_lag_9_median_alpi', '8_lag_12_median_amo1', '8_lag_11_median_traDP', '14_lag_stratZ50ndj01', '8_lag_17_median_traDP', '8_lag_13_median_traFS', '10_lag_traDP', '13_lag_ismPRjja', '8_lag_17_median_arcTSjfm', '14_lag_cetTSjfm', '10_lag_traEC', '8_lag_11_median_amo3', '8_lag_17_median_pdoSSTjfm', '15_lag_nhSICjfm', '14_lag_seurTSjfm', '11_lag_traTLS']","[0.0900391422497897, 4.764102511044985, 2.8144719468335033, 5.223371053749357, 4.586683087189874, 6.36255293535704, 4.0462043740569875, 7.856907687408141, 4.761563044386124, 1.601448234810924, 2.009978791274099, 1.8169072814645304, 8.860739594220668, 5.050378822053645, 3.3386685011009014, 1.9030071989670425, 0.2400877821032701, 5.155942545231649, 5.5867269478255785, 1.1856451268910888, 5.4535051843225, 8.420958604196834, 9.732972767019596, 2.2817527120440246, 6.25389352690028, 5.2134661822210475, 5.488914420896496, 0.4343764554777323, 2.005158456007199, 5.25543932907981]","11_lag_shSICsep, 8_lag_10_median_shTSjfm, 8_lag_15_median_traBS, 8_lag_traMC, 8_lag_tripol2, 14_lag_mhfATL60, 17_lag_alpi, 8_lag_14_median_nhSICjfm, 8_lag_12_median_tripol3, 15_lag_arcTSjfm, 14_lag_nppc3SSTjfm, 16_lag_nhSICjfm, 14_lag_stratZ50ndj04, 8_lag_16_median_traDS, 8_lag_9_median_alpi, 8_lag_12_median_amo1, 8_lag_11_median_traDP, 14_lag_stratZ50ndj01, 8_lag_17_median_traDP, 8_lag_13_median_traFS, 10_lag_traDP, 13_lag_ismPRjja, 8_lag_17_median_arcTSjfm, 14_lag_cetTSjfm, 10_lag_traEC, 8_lag_11_median_amo3, 8_lag_17_median_pdoSSTjfm, 15_lag_nhSICjfm, 14_lag_seurTSjfm, 11_lag_traTLS_1235_8"
LRforcedPSO,4,30,traDS,shigh,870.5,2005.5,0.6,19,9,9,22.729124418922265,0.06609409909979652,1235,"['9_lag_17_median_atlSICjfm', '9_lag_14_median_amo3', '13_lag_ormenSSTjfm', '15_lag_stratZ50ndj04', '9_lag_15_median_naoPSLjfm', '9_lag_15_median_glTSjfm', '14_lag_ismPRjja', '9_lag_11_median_traIFC', '9_lag_18_median_traIT', '15_lag_stratZ50ndj03', '9_lag_11_median_amo3', '9_lag_13_median_ensoSSTjfm', '14_lag_stratZ50ndj03', '9_lag_13_median_amo1', '17_lag_traBS', '9_lag_10_median_shSICsep', '18_lag_shSICsep', '9_lag_10_median_nhSICsep', '12_lag_stratZ50ndj04', '14_lag_shSICsep', '12_lag_traIT', '14_lag_eurPSLjfm', '11_lag_labSSTjfm', '9_lag_16_median_neurTSjfm', '17_lag_traFB', '9_lag_mhfATL60', '14_lag_traIFC', '12_lag_traEU', '12_lag_traBS', '9_lag_15_median_traFB']","[1.1710557438621763, 4.426961070391364, 1.8636398672804066, 6.6144208649941945, 3.1945019741946865, 2.3092753626950184, 4.137534726223466, 2.640319548734439, 2.1617842791383968, 6.604698347400875, 8.620515865042307, 2.63514909781565, 1.1536121143134626, 0.701025170339415, 6.604670009451468, 0.49069640923441504, 1.3804359666512571, 0.394346378640428, 6.0933157007328, 6.505524274198947, 5.558515948339275, 6.89067581689593, 5.104454123519155, 2.6725510971714854, 5.111111329977467, 2.604156836928551, 0.7398722044174288, 6.52820252193695, 6.665687877182119, 2.1779766038887]","9_lag_17_median_atlSICjfm, 9_lag_14_median_amo3, 13_lag_ormenSSTjfm, 15_lag_stratZ50ndj04, 9_lag_15_median_naoPSLjfm, 9_lag_15_median_glTSjfm, 14_lag_ismPRjja, 9_lag_11_median_traIFC, 9_lag_18_median_traIT, 15_lag_stratZ50ndj03, 9_lag_11_median_amo3, 9_lag_13_median_ensoSSTjfm, 14_lag_stratZ50ndj03, 9_lag_13_median_amo1, 17_lag_traBS, 9_lag_10_median_shSICsep, 18_lag_shSICsep, 9_lag_10_median_nhSICsep, 12_lag_stratZ50ndj04, 14_lag_shSICsep, 12_lag_traIT, 14_lag_eurPSLjfm, 11_lag_labSSTjfm, 9_lag_16_median_neurTSjfm, 17_lag_traFB, 9_lag_mhfATL60, 14_lag_traIFC, 12_lag_traEU, 12_lag_traBS, 9_lag_15_median_traFB_1235_9"
LRforcedPSO,5,30,traDS,shigh,871.5,2005.5,0.6,20,10,10,24.339193267355274,-0.018023222358324487,1235,"['10_lag_16_median_AMOCann', '10_lag_14_median_pdoSSTjfm', '10_lag_17_median_alpi', '18_lag_traDS', '10_lag_16_median_traWP', '10_lag_17_median_neurTSjfm', '10_lag_14_median_traIFC', '12_lag_traWP', '12_lag_traDS', '10_lag_12_median_mhfIP30', '10_lag_15_median_eapPSLjfm', '18_lag_mhfIP30', '10_lag_tripol3', '19_lag_nhSICjfm', '14_lag_samPSLann', '10_lag_19_median_shSICmar', '15_lag_neurTSjfm', '10_lag_17_median_mhfATL60', '10_lag_12_median_gyreSSTjfm', '18_lag_nhSICjfm', '16_lag_samPSLann', '15_lag_traEC', '16_lag_stratZ50ndj03', '16_lag_nhSICjfm', '17_lag_traCA', '10_lag_15_median_mhfATL60', '10_lag_18_median_traFB', '11_lag_scpPSLjfm', '10_lag_17_median_yrvPRjja', '16_lag_satlSSTjfm']","[6.34760368534895, 2.0525956583650355, 6.123663659271223, 1.4296259949010377, 1.7320461932404356, 1.703976233743063, 6.492278071201309, 2.688857754884417, 6.797316621897278, 1.5452894777666195, 0.5705461450775573, 7.368060916659562, 3.6874264993065236, 1.849660871512187, 8.3786403261333, 3.738005989538175, 9.982047985336038, 1.0192669823061902, 9.446259189082003, 7.190051142237774, 7.00269148206981, 0.9878899226695346, 1.7541268753575956, 1.2857028402582706, 4.98889640535117, 8.268399826692377, 5.512908149886801, 8.479017045808067, 6.73905426929069, 7.442872458696936]","10_lag_16_median_AMOCann, 10_lag_14_median_pdoSSTjfm, 10_lag_17_median_alpi, 18_lag_traDS, 10_lag_16_median_traWP, 10_lag_17_median_neurTSjfm, 10_lag_14_median_traIFC, 12_lag_traWP, 12_lag_traDS, 10_lag_12_median_mhfIP30, 10_lag_15_median_eapPSLjfm, 18_lag_mhfIP30, 10_lag_tripol3, 19_lag_nhSICjfm, 14_lag_samPSLann, 10_lag_19_median_shSICmar, 15_lag_neurTSjfm, 10_lag_17_median_mhfATL60, 10_lag_12_median_gyreSSTjfm, 18_lag_nhSICjfm, 16_lag_samPSLann, 15_lag_traEC, 16_lag_stratZ50ndj03, 16_lag_nhSICjfm, 17_lag_traCA, 10_lag_15_median_mhfATL60, 10_lag_18_median_traFB, 11_lag_scpPSLjfm, 10_lag_17_median_yrvPRjja, 16_lag_satlSSTjfm_1235_10"
LRforcedPSO,6,30,traDS,shigh,872.5,2005.5,0.6,21,11,11,23.378885351707968,0.13023250268273828,1235,"['11_lag_17_median_nppc2SSTjfm', '16_lag_AMOCann', '15_lag_samPSLann', '16_lag_naoPSLjfm', '11_lag_20_median_traCA', '12_lag_shTSjfm', '11_lag_18_median_traMC', '11_lag_13_median_traFSC', '11_lag_12_median_traCA', '17_lag_satlSSTjfm', '19_lag_scpPSLjfm', '11_lag_ginwSSTjfm', '14_lag_traEU', '18_lag_mhfIP30', '11_lag_12_median_nhSICsep', '11_lag_samPSLann', '17_lag_mhfATL45', '12_lag_stratZ50ndj01', '18_lag_traIFC', '11_lag_18_median_atlSICsep', '16_lag_ormenSSTjfm', '11_lag_15_median_traDS', '11_lag_nchinaPRjja', '11_lag_18_median_traTLS', '17_lag_shTSjfm', '11_lag_glTSjfm', '11_lag_15_median_stratZ50ndj04', '17_lag_samPSLann', '15_lag_mhfATL30', '19_lag_traWP']","[0.33335192029581684, 8.691732746583028, 9.680505700485815, 0.5297760454670168, 3.951665882395563, 1.1489589998374505, 3.125741631094277, 1.311893842427045, 9.777669974414083, 7.411558280984881, 1.1131597900853265, 4.135725558295498, 3.263539996314533, 1.3357511229065189, 5.065245909254337, 1.189413102279829, 4.796339934813396, 9.987732584248189, 0.6484370949067717, 3.028506665945976, 9.832253926504968, 5.4729153222756395, 0.9234002006239699, 1.238158790095948, 9.55366396887539, 4.639266233357389, 4.918284060729958, 0.5868360907261749, 5.476705836709237, 5.184406418801196]","11_lag_17_median_nppc2SSTjfm, 16_lag_AMOCann, 15_lag_samPSLann, 16_lag_naoPSLjfm, 11_lag_20_median_traCA, 12_lag_shTSjfm, 11_lag_18_median_traMC, 11_lag_13_median_traFSC, 11_lag_12_median_traCA, 17_lag_satlSSTjfm, 19_lag_scpPSLjfm, 11_lag_ginwSSTjfm, 14_lag_traEU, 18_lag_mhfIP30, 11_lag_12_median_nhSICsep, 11_lag_samPSLann, 17_lag_mhfATL45, 12_lag_stratZ50ndj01, 18_lag_traIFC, 11_lag_18_median_atlSICsep, 16_lag_ormenSSTjfm, 11_lag_15_median_traDS, 11_lag_nchinaPRjja, 11_lag_18_median_traTLS, 17_lag_shTSjfm, 11_lag_glTSjfm, 11_lag_15_median_stratZ50ndj04, 17_lag_samPSLann, 15_lag_mhfATL30, 19_lag_traWP_1235_11"
LRforcedPSO,7,30,traDS,shigh,873.5,2005.5,0.6,22,12,12,23.106181581179417,0.012789199107070994,1235,"['14_lag_satlSSTjfm', '12_lag_19_median_neurTSjfm', '12_lag_20_median_nhSICjfm', '12_lag_21_median_glTSjfm', '19_lag_eapPSLjfm', '19_lag_mhfATL45', '16_lag_ensoSSTjfm', '12_lag_mhfATL60', '12_lag_14_median_traEC', '19_lag_atlSICsep', '12_lag_19_median_tripol3', '12_lag_17_median_tripol1', '17_lag_nhSICjfm', '12_lag_13_median_cetTSjfm', '12_lag_16_median_mhfIP30', '12_lag_15_median_traDP', '12_lag_13_median_traFB', '20_lag_traWP', '16_lag_traEC', '17_lag_atlSICsep', '12_lag_13_median_traBO', '12_lag_18_median_traFS', '20_lag_shSICmar', '18_lag_gyreSSTjfm', '18_lag_stratZ50ndj01', '12_lag_15_median_atlSICjfm', '12_lag_17_median_nppc2SSTjfm', '12_lag_17_median_tripol3', '12_lag_14_median_alpi', '13_lag_mhfATL30']","[2.258263639465694, 9.310372668233132, 5.966949096977617, 4.315866638571679, 0.1300958697582857, 2.1910262079848515, 3.149046155469481, 0.35799768681700783, 7.668124948411412, 2.3844905942858174, 6.305510799684708, 1.8084747465024353, 6.507699707126989, 4.362707636539813, 4.1572422659237525, 4.881091821632866, 0.33560660149225363, 6.723550609560438, 1.5720941814639886, 5.7653516831997, 2.5832412123817647, 6.190971462886066, 8.000958937390386, 3.8232133319652473, 3.3499714166478967, 6.183278540784784, 2.559354078319183, 0.018163436116189757, 2.079471335289023, 3.931449639795744]","14_lag_satlSSTjfm, 12_lag_19_median_neurTSjfm, 12_lag_20_median_nhSICjfm, 12_lag_21_median_glTSjfm, 19_lag_eapPSLjfm, 19_lag_mhfATL45, 16_lag_ensoSSTjfm, 12_lag_mhfATL60, 12_lag_14_median_traEC, 19_lag_atlSICsep, 12_lag_19_median_tripol3, 12_lag_17_median_tripol1, 17_lag_nhSICjfm, 12_lag_13_median_cetTSjfm, 12_lag_16_median_mhfIP30, 12_lag_15_median_traDP, 12_lag_13_median_traFB, 20_lag_traWP, 16_lag_traEC, 17_lag_atlSICsep, 12_lag_13_median_traBO, 12_lag_18_median_traFS, 20_lag_shSICmar, 18_lag_gyreSSTjfm, 18_lag_stratZ50ndj01, 12_lag_15_median_atlSICjfm, 12_lag_17_median_nppc2SSTjfm, 12_lag_17_median_tripol3, 12_lag_14_median_alpi, 13_lag_mhfATL30_1235_12"
LRforcedPSO,8,30,traDS,shigh,874.5,2005.5,0.6,23,13,13,23.218887776883534,0.0032255690880491628,1235,"['13_lag_15_median_tripol1', '14_lag_amo2', '21_lag_tripol3', '13_lag_18_median_eurPSLjfm', '13_lag_21_median_traFB', '13_lag_16_median_nhSICjfm', '13_lag_17_median_traEC', '15_lag_nchinaPRjja', '13_lag_15_median_ismPRjja', '13_lag_19_median_stratZ50ndj03', '13_lag_22_median_nchinaPRjja', '17_lag_ormenSSTjfm', '13_lag_18_median_nhSICsep', '20_lag_atlSICsep', '15_lag_amoSSTmjjaso', '13_lag_15_median_traBS', '13_lag_14_median_shTSjfm', '13_lag_15_median_traFB', '19_lag_nhTSjfm', '18_lag_arcTSjfm', '13_lag_16_median_shSICmar', '18_lag_mhfATL45', '22_lag_amo3', '15_lag_shTSjfm', '18_lag_yrvPRjja', '15_lag_scpPSLjfm', '13_lag_18_median_traWP', '13_lag_traCA', '17_lag_gyreSSTjfm', '22_lag_shSICsep']","[0.5655303205002085, 5.944998421163813, 1.7539434346768985, 2.9720886464514216, 3.0205153573584216, 4.4565961690872165, 0.36569155699201517, 3.174334052252002, 5.385806661790619, 0.2092479391097335, 4.982101610884431, 4.990559816814095, 2.099339724246846, 4.939783821345216, 7.464140356262071, 6.704883053914784, 6.433269877317274, 3.7108597808046584, 6.406936049627134, 3.126545779927639, 1.169658462233997, 5.328191468151594, 0.637587552237985, 1.1884123227558607, 7.695819503408523, 8.039681863152557, 2.387981352132556, 3.03357920682644, 9.079804011067283, 5.479856421054022]","13_lag_15_median_tripol1, 14_lag_amo2, 21_lag_tripol3, 13_lag_18_median_eurPSLjfm, 13_lag_21_median_traFB, 13_lag_16_median_nhSICjfm, 13_lag_17_median_traEC, 15_lag_nchinaPRjja, 13_lag_15_median_ismPRjja, 13_lag_19_median_stratZ50ndj03, 13_lag_22_median_nchinaPRjja, 17_lag_ormenSSTjfm, 13_lag_18_median_nhSICsep, 20_lag_atlSICsep, 15_lag_amoSSTmjjaso, 13_lag_15_median_traBS, 13_lag_14_median_shTSjfm, 13_lag_15_median_traFB, 19_lag_nhTSjfm, 18_lag_arcTSjfm, 13_lag_16_median_shSICmar, 18_lag_mhfATL45, 22_lag_amo3, 15_lag_shTSjfm, 18_lag_yrvPRjja, 15_lag_scpPSLjfm, 13_lag_18_median_traWP, 13_lag_traCA, 17_lag_gyreSSTjfm, 22_lag_shSICsep_1235_13"
LRforcedPSO,9,30,traDS,shigh,875.5,2005.5,0.6,24,14,14,24.376129841976628,0.12293275008467415,1235,"['14_lag_18_median_nhSICjfm', '14_lag_15_median_traBS', '23_lag_traIT', '14_lag_15_median_traEC', '21_lag_glomaSSTjfm', '23_lag_satlSSTjfm', '14_lag_15_median_shTSjfm', '14_lag_20_median_ismPRjja', '23_lag_AMOCann', '14_lag_20_median_nchinaPRjja', '14_lag_23_median_traDP', '14_lag_19_median_traFB', '19_lag_shSICsep', '18_lag_alpi', '14_lag_22_median_shTSjfm', '14_lag_atlSICjfm', '14_lag_22_median_eurPSLjfm', '15_lag_nchinaPRjja', '21_lag_traMC', '14_lag_23_median_traBS', '19_lag_arcTSjfm', '18_lag_mhfATL45', '14_lag_18_median_mhfATL30', '21_lag_ensoSSTjfm', '18_lag_amo3', '14_lag_17_median_shSICmar', '14_lag_23_median_traDS', '14_lag_18_median_tripol1', '15_lag_traMC', '14_lag_19_median_traIFC']","[0.29883832999914617, 8.773555745258854, 7.342914517198373, 0.5498120806099056, 2.8157314711217296, 9.820272926698237, 9.204185740509725, 4.9160365286116665, 0.2631107056305009, 2.5270371121149395, 6.506073464377129, 4.595328931722207, 5.9636403741111765, 0.9218410307351128, 7.724383138562498, 1.788034754150571, 0.35719615193334064, 7.94482383179869, 2.1646623307880564, 1.7098878218914404, 3.0380368410299177, 9.660841938268678, 3.052113999967327, 3.6057815917397544, 0.9680920545673839, 2.7671178696297716, 1.3621396589343568, 3.72594814420604, 3.252824017118419, 3.2123719710944805]","14_lag_18_median_nhSICjfm, 14_lag_15_median_traBS, 23_lag_traIT, 14_lag_15_median_traEC, 21_lag_glomaSSTjfm, 23_lag_satlSSTjfm, 14_lag_15_median_shTSjfm, 14_lag_20_median_ismPRjja, 23_lag_AMOCann, 14_lag_20_median_nchinaPRjja, 14_lag_23_median_traDP, 14_lag_19_median_traFB, 19_lag_shSICsep, 18_lag_alpi, 14_lag_22_median_shTSjfm, 14_lag_atlSICjfm, 14_lag_22_median_eurPSLjfm, 15_lag_nchinaPRjja, 21_lag_traMC, 14_lag_23_median_traBS, 19_lag_arcTSjfm, 18_lag_mhfATL45, 14_lag_18_median_mhfATL30, 21_lag_ensoSSTjfm, 18_lag_amo3, 14_lag_17_median_shSICmar, 14_lag_23_median_traDS, 14_lag_18_median_tripol1, 15_lag_traMC, 14_lag_19_median_traIFC_1235_14"
