model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traEC,shigh,1514.5,2005.5,0.6,15,1,1,23.77356086446946,0.044329186137369116,1755,"['1_lag_11_median_shSICsep', '1_lag_14_median_atlSICjfm', '8_lag_mhfATL30', '1_lag_8_median_stratZ50ndj04', '7_lag_traEC', '1_lag_6_median_traEC', '4_lag_ginwSSTjfm', '1_lag_13_median_stratZ50ndj03', '4_lag_nhSICsep', '6_lag_traIFC', '1_lag_14_median_shTSjfm', '1_lag_6_median_mhfIP30', '8_lag_stratZ50ndj01', '1_lag_2_median_traCA', '13_lag_amoSSTmjjaso', '7_lag_shSICsep', '10_lag_traEU', '1_lag_13_median_traTLS', '1_lag_9_median_glomaSSTjfm', '2_lag_tripol2', '1_lag_11_median_traFSC', '1_lag_8_median_amo3', '1_lag_8_median_stratZ50ndj01', '1_lag_7_median_arcTSjfm', '8_lag_traFB', '11_lag_pdoSSTjfm', '1_lag_2_median_arcTSjfm', '6_lag_nppc2SSTjfm', '1_lag_5_median_traEU', '1_lag_11_median_nchinaPRjja']","[0.22746032690001527, 9.860432533104234, 5.646503251169591, 4.568571204764806, 3.8987301014182663, 6.499272617150364, 9.831427259577644, 1.918043647385952, 0.7092703469340389, 6.786045348134984, 1.7831454974557097, 7.255150474230923, 4.775918579719005, 0.014637739650325443, 4.785098941466316, 6.98487137193262, 3.723971687984826, 1.316708257463322, 0.977646695425916, 4.120069477176651, 4.063013071230843, 1.8073880161223332, 9.02687248280293, 1.2957169967157416, 1.3285552407778596, 2.264401483356682, 4.649036990303575, 8.535456562359382, 3.2713321654358367, 0.004496767711881233]","1_lag_11_median_shSICsep, 1_lag_14_median_atlSICjfm, 8_lag_mhfATL30, 1_lag_8_median_stratZ50ndj04, 7_lag_traEC, 1_lag_6_median_traEC, 4_lag_ginwSSTjfm, 1_lag_13_median_stratZ50ndj03, 4_lag_nhSICsep, 6_lag_traIFC, 1_lag_14_median_shTSjfm, 1_lag_6_median_mhfIP30, 8_lag_stratZ50ndj01, 1_lag_2_median_traCA, 13_lag_amoSSTmjjaso, 7_lag_shSICsep, 10_lag_traEU, 1_lag_13_median_traTLS, 1_lag_9_median_glomaSSTjfm, 2_lag_tripol2, 1_lag_11_median_traFSC, 1_lag_8_median_amo3, 1_lag_8_median_stratZ50ndj01, 1_lag_7_median_arcTSjfm, 8_lag_traFB, 11_lag_pdoSSTjfm, 1_lag_2_median_arcTSjfm, 6_lag_nppc2SSTjfm, 1_lag_5_median_traEU, 1_lag_11_median_nchinaPRjja_1755_1"
LRforcedPSO,1,30,traEC,shigh,1515.5,2005.5,0.6,16,1,1,32.388848822954095,-0.0800160923773226,1885,"['11_lag_samPSLann', '1_lag_14_median_yrvPRjja', '1_lag_14_median_amoSSTmjjaso', '1_lag_5_median_traWP', '1_lag_8_median_ismPRjja', '1_lag_9_median_nhSICsep', '1_lag_7_median_ensoSSTjfm', '11_lag_traEC', '1_lag_11_median_ginwSSTjfm', '1_lag_4_median_stratZ50ndj03', '10_lag_AMOCann', '1_lag_8_median_glTSjfm', '1_lag_7_median_satlSSTjfm', '5_lag_seurTSjfm', '3_lag_nhSICjfm', '2_lag_tripol3', '15_lag_traFS', '12_lag_traWP', '1_lag_10_median_atlSICsep', '1_lag_traIFC', '1_lag_6_median_traIT', '1_lag_9_median_naoPSLjfm', '11_lag_atlSICjfm', '1_lag_7_median_tripol3', '11_lag_wnorPRjfm', '1_lag_6_median_traMC', '3_lag_eurPSLjfm', '1_lag_8_median_traDS', '12_lag_traEC', '1_lag_13_median_tripol2']","[4.938432060583109, 0.8463396451171246, 2.2429901562520307, 1.3543709575068892, 9.537618732919146, 6.667306446114196, 0.6157955914954911, 8.366397781567539, 2.453597269922067, 5.571688590832231, 0.18809729551208143, 2.937424146430711, 0.01212986000508387, 0.29636978181433626, 1.958187016821796, 2.6971666170300708, 6.626334026555229, 1.1657012262371946, 2.1718688779553457, 3.355721775953482, 1.7126475622419797, 2.5872198419941093, 6.148732558628545, 3.9044133588417296, 9.81918316447601, 5.463543143090126, 2.775881893507046, 3.1515134153093154, 3.1311258335908736, 0.3280598097092131]","11_lag_samPSLann, 1_lag_14_median_yrvPRjja, 1_lag_14_median_amoSSTmjjaso, 1_lag_5_median_traWP, 1_lag_8_median_ismPRjja, 1_lag_9_median_nhSICsep, 1_lag_7_median_ensoSSTjfm, 11_lag_traEC, 1_lag_11_median_ginwSSTjfm, 1_lag_4_median_stratZ50ndj03, 10_lag_AMOCann, 1_lag_8_median_glTSjfm, 1_lag_7_median_satlSSTjfm, 5_lag_seurTSjfm, 3_lag_nhSICjfm, 2_lag_tripol3, 15_lag_traFS, 12_lag_traWP, 1_lag_10_median_atlSICsep, 1_lag_traIFC, 1_lag_6_median_traIT, 1_lag_9_median_naoPSLjfm, 11_lag_atlSICjfm, 1_lag_7_median_tripol3, 11_lag_wnorPRjfm, 1_lag_6_median_traMC, 3_lag_eurPSLjfm, 1_lag_8_median_traDS, 12_lag_traEC, 1_lag_13_median_tripol2_1885_1"
LRforcedPSO,2,30,traEC,shigh,1516.5,2005.5,0.6,17,1,1,23.64523570928582,0.12048379556311312,2015,"['1_lag_16_median_nppc2SSTjfm', '4_lag_nhSICsep', '15_lag_traFSC', '1_lag_6_median_mhfATL45', '2_lag_alpi', '7_lag_nhSICsep', '11_lag_traIT', '15_lag_traDP', '4_lag_traIT', '14_lag_wnorPRjfm', '1_lag_2_median_naoPSLjfm', '7_lag_eapPSLjfm', '9_lag_ormenSSTjfm', '1_lag_13_median_atlSICsep', '1_lag_12_median_shSICmar', '4_lag_nppc3SSTjfm', '1_lag_4_median_traCA', '1_lag_5_median_mhfATL45', '1_lag_3_median_nchinaPRjja', '1_lag_11_median_mhfATL30', '1_lag_15_median_traFB', '1_lag_7_median_tripol3', '1_lag_seurTSjfm', '10_lag_nhSICjfm', '1_lag_3_median_stratZ50ndj02', '5_lag_ismPRjja', '1_lag_2_median_traBO', '11_lag_atlSICjfm', '9_lag_solFORC', '1_lag_11_median_tripol3']","[3.5305546961996352, 2.29864348453604, 0.3356413588824019, 3.2763569013816163, 5.280904855534974, 0.9753059842526586, 5.916204182735822, 4.036245143305184, 1.4368530305540048, 2.0603146298967623, 7.227898573761877, 4.513317761720648, 6.558297938343454, 1.0471990651281065, 3.5091199459047324, 0.6736182103872004, 4.887352908922084, 8.10378240255318, 7.71504225698979, 9.264350576032363, 6.262645809225827, 2.404181155496943, 2.5104382949128894, 9.723073999120547, 2.8071772347363364, 4.4470346165000985, 2.597745356818198, 0.159726636488708, 1.1029674643481062, 2.310888553119879]","1_lag_16_median_nppc2SSTjfm, 4_lag_nhSICsep, 15_lag_traFSC, 1_lag_6_median_mhfATL45, 2_lag_alpi, 7_lag_nhSICsep, 11_lag_traIT, 15_lag_traDP, 4_lag_traIT, 14_lag_wnorPRjfm, 1_lag_2_median_naoPSLjfm, 7_lag_eapPSLjfm, 9_lag_ormenSSTjfm, 1_lag_13_median_atlSICsep, 1_lag_12_median_shSICmar, 4_lag_nppc3SSTjfm, 1_lag_4_median_traCA, 1_lag_5_median_mhfATL45, 1_lag_3_median_nchinaPRjja, 1_lag_11_median_mhfATL30, 1_lag_15_median_traFB, 1_lag_7_median_tripol3, 1_lag_seurTSjfm, 10_lag_nhSICjfm, 1_lag_3_median_stratZ50ndj02, 5_lag_ismPRjja, 1_lag_2_median_traBO, 11_lag_atlSICjfm, 9_lag_solFORC, 1_lag_11_median_tripol3_2015_1"
LRforcedPSO,3,30,traEC,shigh,1517.5,2005.5,0.6,18,1,1,30.879371525074546,0.23987551090670634,2145,"['13_lag_arcTSjfm', '1_lag_4_median_glomaSSTjfm', '1_lag_10_median_shSICmar', '14_lag_naoPSLjfm', '1_lag_traEC', '1_lag_11_median_traFB', '3_lag_ormenSSTjfm', '1_lag_13_median_mhfATL30', '14_lag_ginwSSTjfm', '1_lag_17_median_neurTSjfm', '1_lag_9_median_AMOCann', '16_lag_traIFC', '3_lag_traDP', '3_lag_ensoSSTjfm', '1_lag_7_median_traFS', '1_lag_9_median_mhfATL45', '1_lag_4_median_traBS', '1_lag_traFSC', '1_lag_12_median_nppc3SSTjfm', '1_lag_9_median_traMC', '1_lag_15_median_traCA', '15_lag_alpi', '1_lag_12_median_ginwSSTjfm', '6_lag_traFB', '1_lag_10_median_amo3', '1_lag_3_median_eapPSLjfm', '1_lag_17_median_nhSICjfm', '1_lag_2_median_gyreSSTjfm', '1_lag_15_median_traFSC', '17_lag_nhSICjfm']","[3.9394337937810047, 9.169663218230589, 3.180469885625447, 2.4607933827704294, 7.247094881348497, 2.0069218518401977, 7.358220776672139, 3.8404324529826095, 4.256261967700665, 0.3625566172379777, 2.890172643041362, 3.9007287218938735, 2.686733232208276, 0.6892120122925931, 1.831003884595626, 6.547005067006953, 0.4565447096533415, 3.1682978155341797, 7.427891605870688, 0.5408730402680568, 0.04908919259877287, 5.660784634437965, 5.302762390799853, 1.4223941995884353, 3.4682812607974185, 4.048162564309067, 4.614040365993866, 5.227977840095813, 0.14543329903257884, 5.24768981776673]","13_lag_arcTSjfm, 1_lag_4_median_glomaSSTjfm, 1_lag_10_median_shSICmar, 14_lag_naoPSLjfm, 1_lag_traEC, 1_lag_11_median_traFB, 3_lag_ormenSSTjfm, 1_lag_13_median_mhfATL30, 14_lag_ginwSSTjfm, 1_lag_17_median_neurTSjfm, 1_lag_9_median_AMOCann, 16_lag_traIFC, 3_lag_traDP, 3_lag_ensoSSTjfm, 1_lag_7_median_traFS, 1_lag_9_median_mhfATL45, 1_lag_4_median_traBS, 1_lag_traFSC, 1_lag_12_median_nppc3SSTjfm, 1_lag_9_median_traMC, 1_lag_15_median_traCA, 15_lag_alpi, 1_lag_12_median_ginwSSTjfm, 6_lag_traFB, 1_lag_10_median_amo3, 1_lag_3_median_eapPSLjfm, 1_lag_17_median_nhSICjfm, 1_lag_2_median_gyreSSTjfm, 1_lag_15_median_traFSC, 17_lag_nhSICjfm_2145_1"
LRforcedPSO,4,30,traEC,shigh,1518.5,2005.5,0.6,19,1,1,24.416512881006753,0.05288663559288331,2275,"['3_lag_nhSICjfm', '1_lag_9_median_labSSTjfm', '1_lag_16_median_alpi', '1_lag_7_median_traIFC', '1_lag_6_median_traIT', '9_lag_tripol2', '3_lag_tripol1', '1_lag_14_median_traWP', '1_lag_4_median_traMC', '5_lag_traIFC', '1_lag_4_median_traDS', '1_lag_15_median_stratZ50ndj03', '10_lag_traWP', '2_lag_stratZ50ndj04', '1_lag_12_median_mhfATL30', '1_lag_6_median_samPSLann', '1_lag_11_median_mhfATL30', '11_lag_traTLS', '6_lag_mhfIP30', '6_lag_solFORC', '1_lag_6_median_ismPRjja', '1_lag_5_median_traBO', '1_lag_2_median_ginwSSTjfm', '3_lag_glomaSSTjfm', '1_lag_naoPSLjfm', '1_lag_15_median_traDS', '18_lag_satlSSTjfm', '1_lag_12_median_shTSjfm', '5_lag_labSSTjfm', '2_lag_tripol2']","[7.608608775041361, 5.222938295433577, 1.0178209218869512, 4.872909499912517, 9.254963914569508, 9.971090794450031, 5.588048316270553, 6.732303787761804, 9.227823597444546, 2.921750548266737, 4.95038030762335, 3.2697304756092915, 0.0818987539114957, 3.1099248515163485, 4.488445724379247, 8.008608895923633, 9.361606488533354, 0.22387961619924823, 7.1614622069545995, 0.2606069053235842, 0.3055370418493304, 2.5737359255026915, 8.337834324838973, 0.5114124877798059, 0.6366672453448974, 6.286179546626425, 3.6954743094254567, 1.0799436649352288, 6.7362335648545635, 0.2769016377089333]","3_lag_nhSICjfm, 1_lag_9_median_labSSTjfm, 1_lag_16_median_alpi, 1_lag_7_median_traIFC, 1_lag_6_median_traIT, 9_lag_tripol2, 3_lag_tripol1, 1_lag_14_median_traWP, 1_lag_4_median_traMC, 5_lag_traIFC, 1_lag_4_median_traDS, 1_lag_15_median_stratZ50ndj03, 10_lag_traWP, 2_lag_stratZ50ndj04, 1_lag_12_median_mhfATL30, 1_lag_6_median_samPSLann, 1_lag_11_median_mhfATL30, 11_lag_traTLS, 6_lag_mhfIP30, 6_lag_solFORC, 1_lag_6_median_ismPRjja, 1_lag_5_median_traBO, 1_lag_2_median_ginwSSTjfm, 3_lag_glomaSSTjfm, 1_lag_naoPSLjfm, 1_lag_15_median_traDS, 18_lag_satlSSTjfm, 1_lag_12_median_shTSjfm, 5_lag_labSSTjfm, 2_lag_tripol2_2275_1"
LRforcedPSO,5,30,traEC,shigh,1519.5,2005.5,0.6,20,1,1,25.91837259487511,-0.09329276328103102,2405,"['1_lag_9_median_traBS', '1_lag_18_median_shSICsep', '10_lag_cetTSjfm', '5_lag_tripol2', '1_lag_6_median_ismPRjja', '18_lag_traFSC', '8_lag_mhfATL60', '14_lag_amoSSTmjjaso', '1_lag_7_median_traMC', '1_lag_13_median_traFS', '10_lag_traFS', '12_lag_traWP', '1_lag_17_median_traTLS', '6_lag_nhSICjfm', '17_lag_amo2', '2_lag_traFSC', '1_lag_14_median_atlSICjfm', '16_lag_nppc2SSTjfm', '15_lag_glomaSSTjfm', '18_lag_yrvPRjja', '1_lag_5_median_wnorPRjfm', '12_lag_samPSLann', '1_lag_4_median_mhfATL60', '6_lag_traTLS', '1_lag_17_median_amo2', '13_lag_ginwSSTjfm', '8_lag_nhSICjfm', '17_lag_atlSICjfm', '1_lag_6_median_arcTSjfm', '5_lag_yrvPRjja']","[0.09642400270305451, 5.628882092247835, 0.2623790674510147, 3.28008889835038, 0.6487357793497921, 9.389408087734948, 4.065897927135794, 1.2808883196608285, 3.001065326587142, 7.501835681838331, 1.7399949219404078, 3.38561525583148, 8.989491011039416, 8.644543952515178, 0.8333674682398815, 3.7063558169958988, 1.88489537916103, 4.454682169252493, 2.2171037990705873, 2.2599655897013182, 2.5855947567413784, 8.529238200377813, 0.48401211342007855, 2.281274673006952, 4.368157078700456, 4.907217443447955, 4.321658527299004, 9.960906430077044, 0.3972844529689752, 3.7165032755615357]","1_lag_9_median_traBS, 1_lag_18_median_shSICsep, 10_lag_cetTSjfm, 5_lag_tripol2, 1_lag_6_median_ismPRjja, 18_lag_traFSC, 8_lag_mhfATL60, 14_lag_amoSSTmjjaso, 1_lag_7_median_traMC, 1_lag_13_median_traFS, 10_lag_traFS, 12_lag_traWP, 1_lag_17_median_traTLS, 6_lag_nhSICjfm, 17_lag_amo2, 2_lag_traFSC, 1_lag_14_median_atlSICjfm, 16_lag_nppc2SSTjfm, 15_lag_glomaSSTjfm, 18_lag_yrvPRjja, 1_lag_5_median_wnorPRjfm, 12_lag_samPSLann, 1_lag_4_median_mhfATL60, 6_lag_traTLS, 1_lag_17_median_amo2, 13_lag_ginwSSTjfm, 8_lag_nhSICjfm, 17_lag_atlSICjfm, 1_lag_6_median_arcTSjfm, 5_lag_yrvPRjja_2405_1"
LRforcedPSO,6,30,traEC,shigh,1520.5,2005.5,0.6,21,1,1,20.88370280847751,0.07709241918070436,2535,"['1_lag_15_median_solFORC', '11_lag_stratZ50ndj03', '14_lag_nhSICsep', '3_lag_glomaSSTjfm', '1_lag_6_median_ensoSSTjfm', '2_lag_amo1', '1_lag_11_median_amo3', '14_lag_traBO', '17_lag_nchinaPRjja', '1_lag_12_median_naoPSLjfm', '1_lag_19_median_solFORC', '1_lag_7_median_mhfATL60', '1_lag_17_median_naoPSLjfm', '8_lag_mhfATL60', '1_lag_4_median_cetTSjfm', '17_lag_yrvPRjja', '1_lag_16_median_nhTSjfm', '1_lag_9_median_naoPSLjfm', '20_lag_ginwSSTjfm', '16_lag_traFSC', '2_lag_nppc3SSTjfm', '1_lag_9_median_traIFC', '1_lag_19_median_shSICmar', '1_lag_9_median_ginwSSTjfm', '10_lag_traFS', '1_lag_12_median_shTSjfm', '17_lag_traIFC', '7_lag_traCA', '9_lag_nhTSjfm', '1_lag_5_median_glTSjfm']","[2.462249240613728, 6.638054764142634, 3.691567381126262, 1.5783762159821784, 9.405058596150717, 0.20478522867111337, 9.569721717154023, 2.3987569094844723, 4.605989584964256, 8.997266052200903, 3.0930641831067396, 2.0769783013655854, 4.778331552071715, 0.7301913579772901, 9.046291487133786, 1.509171740111837, 3.797306846393182, 2.023236731487435, 5.856432339283224, 2.699155873215492, 2.936495309463414, 4.170392804850309, 3.506519195513892, 1.9148675025799555, 2.116577498011427, 0.6306082449503752, 1.624337068517816, 0.3673552281632837, 7.623000510229655, 6.788936391225027]","1_lag_15_median_solFORC, 11_lag_stratZ50ndj03, 14_lag_nhSICsep, 3_lag_glomaSSTjfm, 1_lag_6_median_ensoSSTjfm, 2_lag_amo1, 1_lag_11_median_amo3, 14_lag_traBO, 17_lag_nchinaPRjja, 1_lag_12_median_naoPSLjfm, 1_lag_19_median_solFORC, 1_lag_7_median_mhfATL60, 1_lag_17_median_naoPSLjfm, 8_lag_mhfATL60, 1_lag_4_median_cetTSjfm, 17_lag_yrvPRjja, 1_lag_16_median_nhTSjfm, 1_lag_9_median_naoPSLjfm, 20_lag_ginwSSTjfm, 16_lag_traFSC, 2_lag_nppc3SSTjfm, 1_lag_9_median_traIFC, 1_lag_19_median_shSICmar, 1_lag_9_median_ginwSSTjfm, 10_lag_traFS, 1_lag_12_median_shTSjfm, 17_lag_traIFC, 7_lag_traCA, 9_lag_nhTSjfm, 1_lag_5_median_glTSjfm_2535_1"
LRforcedPSO,7,30,traEC,shigh,1521.5,2005.5,0.6,22,1,1,24.61233743520763,-0.054897129770629945,2665,"['6_lag_traBO', '1_lag_14_median_amo3', '1_lag_17_median_yrvPRjja', '21_lag_atlSICsep', '15_lag_traEC', '1_lag_15_median_traMC', '1_lag_6_median_solFORC', '1_lag_14_median_stratZ50ndj03', '1_lag_21_median_shSICsep', '1_lag_3_median_stratZ50ndj01', '1_lag_19_median_scpPSLjfm', '10_lag_amo3', '4_lag_atlSICjfm', '7_lag_amo2', '3_lag_traDP', '1_lag_6_median_atlSICsep', '1_lag_17_median_nhSICsep', '1_lag_tripol1', '1_lag_traIFC', '10_lag_traCA', '14_lag_traIFC', '11_lag_glTSjfm', '14_lag_ismPRjja', '1_lag_18_median_eurPSLjfm', '1_lag_16_median_mhfATL30', '20_lag_traFS', '13_lag_wnorPRjfm', '1_lag_17_median_traIT', '1_lag_9_median_nchinaPRjja', '1_lag_6_median_arcTSjfm']","[7.060214773077176, 4.71036048338452, 7.142800493244405, 5.200733526857347, 0.17244064208462717, 5.46445216640997, 6.581233819084222, 2.3944348177783166, 6.802639654914437, 6.52203125815198, 1.1627189668947793, 6.056696828118216, 3.239573673083303, 8.836926645297563, 6.2414353164772285, 4.722716713165866, 8.452809637862831, 3.052541441066996, 1.4188578979021944, 4.8836959737047, 2.4234616527727493, 6.715707232625576, 1.845119586157276, 5.022291336564384, 4.167323862315568, 4.112190532908993, 7.081399805775472, 2.835937790652747, 8.605773510258821, 4.606177957552342]","6_lag_traBO, 1_lag_14_median_amo3, 1_lag_17_median_yrvPRjja, 21_lag_atlSICsep, 15_lag_traEC, 1_lag_15_median_traMC, 1_lag_6_median_solFORC, 1_lag_14_median_stratZ50ndj03, 1_lag_21_median_shSICsep, 1_lag_3_median_stratZ50ndj01, 1_lag_19_median_scpPSLjfm, 10_lag_amo3, 4_lag_atlSICjfm, 7_lag_amo2, 3_lag_traDP, 1_lag_6_median_atlSICsep, 1_lag_17_median_nhSICsep, 1_lag_tripol1, 1_lag_traIFC, 10_lag_traCA, 14_lag_traIFC, 11_lag_glTSjfm, 14_lag_ismPRjja, 1_lag_18_median_eurPSLjfm, 1_lag_16_median_mhfATL30, 20_lag_traFS, 13_lag_wnorPRjfm, 1_lag_17_median_traIT, 1_lag_9_median_nchinaPRjja, 1_lag_6_median_arcTSjfm_2665_1"
LRforcedPSO,8,30,traEC,shigh,1522.5,2005.5,0.6,23,1,1,23.77190863206951,-0.044431310088550585,2795,"['1_lag_6_median_traCA', '6_lag_wnorPRjfm', '1_lag_7_median_ginwSSTjfm', '1_lag_5_median_ensoSSTjfm', '4_lag_pdoSSTjfm', '1_lag_21_median_traEU', '1_lag_19_median_mhfATL30', '1_lag_19_median_ginwSSTjfm', '1_lag_2_median_ormenSSTjfm', '6_lag_eurPSLjfm', '7_lag_traFB', '1_lag_5_median_mhfATL60', '1_lag_13_median_samPSLann', '1_lag_6_median_traDP', '1_lag_19_median_solFORC', '1_lag_3_median_traBO', '21_lag_samPSLann', '5_lag_shSICmar', '1_lag_5_median_amo3', '20_lag_ormenSSTjfm', '1_lag_11_median_traBO', '4_lag_nhSICsep', '16_lag_traIFC', '1_lag_7_median_traEC', '1_lag_11_median_shSICsep', '17_lag_traIFC', '1_lag_4_median_traEU', '13_lag_alpi', '6_lag_naoPSLjfm', '1_lag_11_median_traEC']","[1.3249539043029444, 7.049101192150793, 3.004971431907359, 8.018713510617939, 5.244057433054255, 9.609439186681342, 0.3677080264279162, 8.88262299308768, 9.84207832094381, 6.396448135199581, 2.5700933600636056, 7.120600296295628, 1.0997711359902613, 1.6528673018018214, 7.111418354391091, 3.900750721167361, 1.8003069277091122, 7.904387747454837, 0.786295734524332, 4.672252545797968, 0.9902780783518477, 6.165812202755494, 2.809607414096547, 7.309766141650741, 1.680374927972947, 4.586090880709193, 4.315346019197284, 4.289135473537566, 6.534953721632913, 2.4372423833636407]","1_lag_6_median_traCA, 6_lag_wnorPRjfm, 1_lag_7_median_ginwSSTjfm, 1_lag_5_median_ensoSSTjfm, 4_lag_pdoSSTjfm, 1_lag_21_median_traEU, 1_lag_19_median_mhfATL30, 1_lag_19_median_ginwSSTjfm, 1_lag_2_median_ormenSSTjfm, 6_lag_eurPSLjfm, 7_lag_traFB, 1_lag_5_median_mhfATL60, 1_lag_13_median_samPSLann, 1_lag_6_median_traDP, 1_lag_19_median_solFORC, 1_lag_3_median_traBO, 21_lag_samPSLann, 5_lag_shSICmar, 1_lag_5_median_amo3, 20_lag_ormenSSTjfm, 1_lag_11_median_traBO, 4_lag_nhSICsep, 16_lag_traIFC, 1_lag_7_median_traEC, 1_lag_11_median_shSICsep, 17_lag_traIFC, 1_lag_4_median_traEU, 13_lag_alpi, 6_lag_naoPSLjfm, 1_lag_11_median_traEC_2795_1"
LRforcedPSO,9,30,traEC,shigh,1523.5,2005.5,0.6,24,1,1,23.51404935114898,-0.045090275967215765,2925,"['15_lag_glTSjfm', '1_lag_17_median_traIFC', '1_lag_16_median_mhfATL60', '1_lag_16_median_traWP', '8_lag_traBS', '1_lag_13_median_mhfATL60', '1_lag_23_median_solFORC', '1_lag_4_median_satlSSTjfm', '5_lag_atlSICsep', '3_lag_stratZ50ndj04', '11_lag_traIT', '10_lag_traDS', '23_lag_stratZ50ndj03', '15_lag_neurTSjfm', '1_lag_4_median_amo1', '4_lag_shSICsep', '9_lag_wnorPRjfm', '1_lag_11_median_traFSC', '22_lag_nhSICsep', '18_lag_traIFC', '1_lag_9_median_seurTSjfm', '10_lag_ormenSSTjfm', '1_lag_19_median_tripol1', '1_lag_15_median_naoPSLjfm', '1_lag_2_median_traFS', '18_lag_arcTSjfm', '1_lag_8_median_gyreSSTjfm', '1_lag_10_median_cetTSjfm', '1_lag_11_median_stratZ50ndj04', '19_lag_seurTSjfm']","[6.568268584822164, 4.921215332004294, 5.63944553353185, 2.0246317011782917, 1.5458505025399631, 5.340634564045084, 8.920933738610493, 0.807211032078289, 8.926081567171643, 3.880895488257769, 2.3370463370070205, 2.031288768563712, 0.62302039177262, 2.953497850591848, 9.131634357152558, 5.559087258965219, 1.4911521926121178, 1.050729065408797, 0.6617176636193012, 4.196495802530492, 7.362976703842744, 1.4633324175297453, 3.707650478382951, 4.734151792485544, 6.083192622124891, 3.733338166159344, 3.925132916283122, 4.740348385374951, 7.806957710324479, 3.3494752493553337]","15_lag_glTSjfm, 1_lag_17_median_traIFC, 1_lag_16_median_mhfATL60, 1_lag_16_median_traWP, 8_lag_traBS, 1_lag_13_median_mhfATL60, 1_lag_23_median_solFORC, 1_lag_4_median_satlSSTjfm, 5_lag_atlSICsep, 3_lag_stratZ50ndj04, 11_lag_traIT, 10_lag_traDS, 23_lag_stratZ50ndj03, 15_lag_neurTSjfm, 1_lag_4_median_amo1, 4_lag_shSICsep, 9_lag_wnorPRjfm, 1_lag_11_median_traFSC, 22_lag_nhSICsep, 18_lag_traIFC, 1_lag_9_median_seurTSjfm, 10_lag_ormenSSTjfm, 1_lag_19_median_tripol1, 1_lag_15_median_naoPSLjfm, 1_lag_2_median_traFS, 18_lag_arcTSjfm, 1_lag_8_median_gyreSSTjfm, 1_lag_10_median_cetTSjfm, 1_lag_11_median_stratZ50ndj04, 19_lag_seurTSjfm_2925_1"
