model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traEC,shigh,1514.5,2005.5,0.8,15,1,1,14.063942362524047,0.2162963270751509,1755,"['10_lag_traBS', '3_lag_mhfATL30', '5_lag_nhSICsep', '5_lag_traDS', '1_lag_ginwSSTjfm', '4_lag_tripol3', '11_lag_scpPSLjfm', '6_lag_ormenSSTjfm', '1_lag_stratZ50ndj02', '1_lag_traEC', '11_lag_alpi', '8_lag_mhfATL60', '9_lag_wnorPRjfm', '10_lag_shSICmar', '10_lag_tripol3', '11_lag_amoSSTmjjaso', '11_lag_traIT', '14_lag_nchinaPRjja', '11_lag_ismPRjja', '5_lag_traMC', '6_lag_nhSICsep', '5_lag_yrvPRjja', '13_lag_stratZ50ndj03', '8_lag_neurTSjfm', '13_lag_traIT', '6_lag_stratZ50ndj04', '6_lag_stratZ50ndj03', '5_lag_stratZ50ndj01', '11_lag_mhfIP30', '3_lag_seurTSjfm']","[0.10154748247798459, 0.08112089653198833, 0.14506944899578358, 0.11112173086641036, 0.0953743109886991, 0.1138271286765987, 0.07792723059793744, 0.09689147898387829, 0.04346969000431838, 0.09788430669219607, 0.0765866380156568, 0.1344203787790018, 0.02679598355251825, 0.007976645553960382, 0.15570975103607337, 0.07464894112408647, 0.009926016655260134, 0.05356172963222218, 0.0604472897974789, 0.0716207128696893, 0.13436609735806482, 0.08196951829132232, 0.03675161443454638, 0.1124643463500519, 0.018508408041829284, 0.21198980819306154, 0.09279439444535233, 0.07650926400221475, 0.14193967691797796, 0.006924996537731952]","10_lag_traBS, 3_lag_mhfATL30, 5_lag_nhSICsep, 5_lag_traDS, 1_lag_ginwSSTjfm, 4_lag_tripol3, 11_lag_scpPSLjfm, 6_lag_ormenSSTjfm, 1_lag_stratZ50ndj02, 1_lag_traEC, 11_lag_alpi, 8_lag_mhfATL60, 9_lag_wnorPRjfm, 10_lag_shSICmar, 10_lag_tripol3, 11_lag_amoSSTmjjaso, 11_lag_traIT, 14_lag_nchinaPRjja, 11_lag_ismPRjja, 5_lag_traMC, 6_lag_nhSICsep, 5_lag_yrvPRjja, 13_lag_stratZ50ndj03, 8_lag_neurTSjfm, 13_lag_traIT, 6_lag_stratZ50ndj04, 6_lag_stratZ50ndj03, 5_lag_stratZ50ndj01, 11_lag_mhfIP30, 3_lag_seurTSjfm_1755_1"
LinearRegression,1,30,traEC,shigh,1515.5,2005.5,0.8,16,1,1,15.514871085230025,0.10904674843743607,1885,"['8_lag_mhfATL60', '14_lag_nchinaPRjja', '15_lag_mhfATL30', '13_lag_stratZ50ndj03', '1_lag_stratZ50ndj02', '1_lag_traEC', '1_lag_ginwSSTjfm', '5_lag_traMC', '15_lag_nchinaPRjja', '8_lag_stratZ50ndj03', '11_lag_ismPRjja', '10_lag_traBS', '11_lag_wnorPRjfm', '15_lag_traIT', '6_lag_yrvPRjja', '11_lag_neurTSjfm', '12_lag_mhfIP30', '6_lag_nhSICsep', '11_lag_traIT', '6_lag_stratZ50ndj04', '11_lag_amoSSTmjjaso', '3_lag_seurTSjfm', '13_lag_traIT', '5_lag_yrvPRjja', '15_lag_stratZ50ndj03', '8_lag_neurTSjfm', '11_lag_mhfIP30', '11_lag_alpi', '5_lag_stratZ50ndj01', '6_lag_stratZ50ndj03']","[0.07935053683425759, 0.01968683145329607, 0.05452859004974739, 0.005722379450378168, 0.03224528440169089, 0.14211152139124147, 0.08539891286674986, 0.036126180345891594, 0.1184784343497708, 0.15117236750019766, 0.08303380463994993, 0.10959193582751137, 0.19442089925561135, 0.1158060194023453, 0.08859761693961458, 0.12070307746315292, 0.20854074491763128, 0.016317665261594318, 0.07944375590784762, 0.1494590196388682, 0.06696592923038579, 0.017631063066713172, 0.08439051141815176, 0.05164178522216371, 0.07452038001330624, 0.09487073589953202, 0.1467144790336678, 0.08398450021180416, 0.0581218300889314, 0.1378305321333469]","8_lag_mhfATL60, 14_lag_nchinaPRjja, 15_lag_mhfATL30, 13_lag_stratZ50ndj03, 1_lag_stratZ50ndj02, 1_lag_traEC, 1_lag_ginwSSTjfm, 5_lag_traMC, 15_lag_nchinaPRjja, 8_lag_stratZ50ndj03, 11_lag_ismPRjja, 10_lag_traBS, 11_lag_wnorPRjfm, 15_lag_traIT, 6_lag_yrvPRjja, 11_lag_neurTSjfm, 12_lag_mhfIP30, 6_lag_nhSICsep, 11_lag_traIT, 6_lag_stratZ50ndj04, 11_lag_amoSSTmjjaso, 3_lag_seurTSjfm, 13_lag_traIT, 5_lag_yrvPRjja, 15_lag_stratZ50ndj03, 8_lag_neurTSjfm, 11_lag_mhfIP30, 11_lag_alpi, 5_lag_stratZ50ndj01, 6_lag_stratZ50ndj03_1885_1"
LinearRegression,2,30,traEC,shigh,1516.5,2005.5,0.8,17,1,1,14.347421079287075,0.21784520929317155,2015,"['9_lag_nhSICsep', '5_lag_nhSICsep', '10_lag_wnorPRjfm', '6_lag_satlSSTjfm', '1_lag_traMC', '14_lag_nchinaPRjja', '4_lag_tripol3', '15_lag_eurPSLjfm', '6_lag_nhSICsep', '15_lag_traIT', '11_lag_amoSSTmjjaso', '11_lag_traIT', '11_lag_ismPRjja', '15_lag_atlSICsep', '1_lag_traEC', '8_lag_stratZ50ndj03', '12_lag_mhfIP30', '3_lag_seurTSjfm', '12_lag_stratZ50ndj03', '15_lag_stratZ50ndj03', '5_lag_yrvPRjja', '6_lag_stratZ50ndj04', '13_lag_traIT', '10_lag_traBS', '10_lag_arcTSjfm', '8_lag_neurTSjfm', '11_lag_alpi', '11_lag_mhfIP30', '6_lag_stratZ50ndj03', '5_lag_stratZ50ndj01']","[0.2204983998027473, 0.23141624390261073, 0.0936322935634532, 0.05024100661027539, 0.08199886950122756, 0.05215369824158561, 0.14384684879530238, 0.09903289372142125, 0.009259318945200323, 0.12533431173962933, 0.027475333022141956, 0.04751962547897182, 0.0690063094364508, 0.08211718517213064, 0.08837758498331554, 0.170387355918406, 0.19289096623904553, 0.0017651689016294258, 0.00784805867873627, 0.08236852968359178, 0.079344431220646, 0.1504578046311341, 0.0992424596535309, 0.10192484675261569, 0.03725917521772132, 0.11560864565882276, 0.11545566992171283, 0.09371258205721424, 0.12579074924142383, 0.04662003216644867]","9_lag_nhSICsep, 5_lag_nhSICsep, 10_lag_wnorPRjfm, 6_lag_satlSSTjfm, 1_lag_traMC, 14_lag_nchinaPRjja, 4_lag_tripol3, 15_lag_eurPSLjfm, 6_lag_nhSICsep, 15_lag_traIT, 11_lag_amoSSTmjjaso, 11_lag_traIT, 11_lag_ismPRjja, 15_lag_atlSICsep, 1_lag_traEC, 8_lag_stratZ50ndj03, 12_lag_mhfIP30, 3_lag_seurTSjfm, 12_lag_stratZ50ndj03, 15_lag_stratZ50ndj03, 5_lag_yrvPRjja, 6_lag_stratZ50ndj04, 13_lag_traIT, 10_lag_traBS, 10_lag_arcTSjfm, 8_lag_neurTSjfm, 11_lag_alpi, 11_lag_mhfIP30, 6_lag_stratZ50ndj03, 5_lag_stratZ50ndj01_2015_1"
LinearRegression,3,30,traEC,shigh,1517.5,2005.5,0.8,18,1,1,14.860839413800118,0.20136373693221732,2145,"['15_lag_nchinaPRjja', '11_lag_stratZ50ndj03', '9_lag_wnorPRjfm', '14_lag_labSSTjfm', '17_lag_nchinaPRjja', '8_lag_alpi', '9_lag_nhSICsep', '5_lag_cetTSjfm', '1_lag_traMC', '1_lag_traEC', '10_lag_tripol3', '3_lag_seurTSjfm', '8_lag_stratZ50ndj03', '17_lag_neurTSjfm', '17_lag_traFSC', '17_lag_traDS', '11_lag_alpi', '12_lag_stratZ50ndj03', '8_lag_neurTSjfm', '6_lag_stratZ50ndj04', '5_lag_yrvPRjja', '10_lag_arcTSjfm', '11_lag_traIT', '15_lag_stratZ50ndj03', '11_lag_ismPRjja', '10_lag_traBS', '13_lag_traIT', '11_lag_mhfIP30', '6_lag_stratZ50ndj03', '5_lag_stratZ50ndj01']","[0.09294572343353862, 0.03614045615413668, 0.016996714020879614, 0.11899356559024786, 0.12791574462111888, 0.07600481864686642, 0.1313619153497994, 0.14596607767618042, 0.07871921984851477, 0.1180386093893871, 0.15440820117633358, 0.026875061991840726, 0.1403681442045377, 0.08655063767865877, 0.08930299159998353, 0.058032134587690735, 0.05872323899870004, 0.017152991898650743, 0.12807064571702312, 0.1587480186689646, 0.04630403287767619, 0.02489587507695556, 0.018243885643116756, 0.0617745894819048, 0.0714915808091976, 0.12379785897774974, 0.049581799421904826, 0.13164837075387453, 0.10625194464970608, 0.06596805656072247]","15_lag_nchinaPRjja, 11_lag_stratZ50ndj03, 9_lag_wnorPRjfm, 14_lag_labSSTjfm, 17_lag_nchinaPRjja, 8_lag_alpi, 9_lag_nhSICsep, 5_lag_cetTSjfm, 1_lag_traMC, 1_lag_traEC, 10_lag_tripol3, 3_lag_seurTSjfm, 8_lag_stratZ50ndj03, 17_lag_neurTSjfm, 17_lag_traFSC, 17_lag_traDS, 11_lag_alpi, 12_lag_stratZ50ndj03, 8_lag_neurTSjfm, 6_lag_stratZ50ndj04, 5_lag_yrvPRjja, 10_lag_arcTSjfm, 11_lag_traIT, 15_lag_stratZ50ndj03, 11_lag_ismPRjja, 10_lag_traBS, 13_lag_traIT, 11_lag_mhfIP30, 6_lag_stratZ50ndj03, 5_lag_stratZ50ndj01_2145_1"
LinearRegression,4,30,traEC,shigh,1518.5,2005.5,0.8,19,1,1,14.403601648675824,0.24007633218635338,2275,"['17_lag_traDS', '18_lag_eurPSLjfm', '10_lag_tripol3', '17_lag_satlSSTjfm', '12_lag_stratZ50ndj01', '10_lag_ismPRjja', '11_lag_amoSSTmjjaso', '5_lag_cetTSjfm', '14_lag_labSSTjfm', '8_lag_neurTSjfm', '9_lag_nhSICsep', '6_lag_nhSICsep', '10_lag_ginwSSTjfm', '11_lag_stratZ50ndj03', '6_lag_yrvPRjja', '9_lag_wnorPRjfm', '1_lag_traMC', '1_lag_traEC', '13_lag_traIT', '11_lag_alpi', '15_lag_stratZ50ndj03', '12_lag_stratZ50ndj03', '10_lag_arcTSjfm', '11_lag_ismPRjja', '3_lag_seurTSjfm', '6_lag_stratZ50ndj03', '5_lag_yrvPRjja', '10_lag_traBS', '11_lag_mhfIP30', '5_lag_stratZ50ndj01']","[0.06357605052286154, 0.03585697408654971, 0.10568550179011794, 0.14706097984575783, 0.046708087836559865, 0.030939398183102682, 0.09749586062036816, 0.13827026762193928, 0.06776508493062842, 0.10196358457779345, 0.16111483378894362, 0.049676163777862534, 0.0005794715215381942, 0.02646382729251271, 0.09222221278096743, 0.01523997818021715, 0.09155398430595768, 0.09425120173382126, 0.07170347220895837, 0.06314370231778829, 0.07569212225987729, 0.018397613454976085, 0.047312396970811785, 0.06646604042824837, 8.271735949193638e-05, 0.11252431025764806, 0.07640868953447896, 0.13013243864563231, 0.17583852891912377, 0.06801188880123323]","17_lag_traDS, 18_lag_eurPSLjfm, 10_lag_tripol3, 17_lag_satlSSTjfm, 12_lag_stratZ50ndj01, 10_lag_ismPRjja, 11_lag_amoSSTmjjaso, 5_lag_cetTSjfm, 14_lag_labSSTjfm, 8_lag_neurTSjfm, 9_lag_nhSICsep, 6_lag_nhSICsep, 10_lag_ginwSSTjfm, 11_lag_stratZ50ndj03, 6_lag_yrvPRjja, 9_lag_wnorPRjfm, 1_lag_traMC, 1_lag_traEC, 13_lag_traIT, 11_lag_alpi, 15_lag_stratZ50ndj03, 12_lag_stratZ50ndj03, 10_lag_arcTSjfm, 11_lag_ismPRjja, 3_lag_seurTSjfm, 6_lag_stratZ50ndj03, 5_lag_yrvPRjja, 10_lag_traBS, 11_lag_mhfIP30, 5_lag_stratZ50ndj01_2275_1"
LinearRegression,5,30,traEC,shigh,1519.5,2005.5,0.8,20,1,1,16.40230555066519,0.05427835556116892,2405,"['19_lag_nchinaPRjja', '1_lag_traMC', '10_lag_ginwSSTjfm', '12_lag_stratZ50ndj01', '11_lag_amoSSTmjjaso', '9_lag_wnorPRjfm', '18_lag_eurPSLjfm', '6_lag_atlSICsep', '11_lag_traBS', '17_lag_traDS', '9_lag_nhSICsep', '4_lag_ismPRjja', '8_lag_stratZ50ndj03', '6_lag_yrvPRjja', '11_lag_traIT', '11_lag_alpi', '15_lag_eurPSLjfm', '11_lag_stratZ50ndj03', '10_lag_arcTSjfm', '11_lag_ismPRjja', '15_lag_stratZ50ndj03', '12_lag_stratZ50ndj03', '1_lag_traEC', '13_lag_traIT', '3_lag_seurTSjfm', '6_lag_stratZ50ndj03', '10_lag_traBS', '11_lag_mhfIP30', '5_lag_yrvPRjja', '5_lag_stratZ50ndj01']","[0.0244235005806384, 0.05458055470270103, 0.05214921700360742, 0.02605799961674721, 0.03057092905519448, 0.00841940738461797, 0.031367709650448695, 0.053970553624906305, 0.10452786128870652, 0.02627904199456243, 0.11281138355606854, 0.10878311002332497, 0.16287243830687737, 0.10840132349252939, 0.022894875216839805, 0.04510837369670789, 0.05377441845323496, 0.07863234830472166, 0.04598467112864488, 0.08048853602080919, 0.08418596862607948, 0.020092997754510095, 0.12179548444334438, 0.06925496002822032, 0.02410963757919625, 0.14678545181572972, 0.13281404709657238, 0.1691460109883599, 0.09352829101148628, 0.045159863967839185]","19_lag_nchinaPRjja, 1_lag_traMC, 10_lag_ginwSSTjfm, 12_lag_stratZ50ndj01, 11_lag_amoSSTmjjaso, 9_lag_wnorPRjfm, 18_lag_eurPSLjfm, 6_lag_atlSICsep, 11_lag_traBS, 17_lag_traDS, 9_lag_nhSICsep, 4_lag_ismPRjja, 8_lag_stratZ50ndj03, 6_lag_yrvPRjja, 11_lag_traIT, 11_lag_alpi, 15_lag_eurPSLjfm, 11_lag_stratZ50ndj03, 10_lag_arcTSjfm, 11_lag_ismPRjja, 15_lag_stratZ50ndj03, 12_lag_stratZ50ndj03, 1_lag_traEC, 13_lag_traIT, 3_lag_seurTSjfm, 6_lag_stratZ50ndj03, 10_lag_traBS, 11_lag_mhfIP30, 5_lag_yrvPRjja, 5_lag_stratZ50ndj01_2405_1"
LinearRegression,6,30,traEC,shigh,1520.5,2005.5,0.8,21,1,1,14.907392159777395,0.18477541832958416,2535,"['1_lag_traIT', '6_lag_satlSSTjfm', '9_lag_shSICmar', '17_lag_traFSC', '11_lag_traBS', '9_lag_nhSICsep', '12_lag_mhfIP30', '8_lag_stratZ50ndj03', '4_lag_ismPRjja', '20_lag_stratZ50ndj01', '6_lag_yrvPRjja', '11_lag_amoSSTmjjaso', '11_lag_scpPSLjfm', '11_lag_alpi', '17_lag_traDS', '11_lag_traIT', '10_lag_arcTSjfm', '1_lag_traEC', '15_lag_eurPSLjfm', '11_lag_stratZ50ndj03', '15_lag_stratZ50ndj03', '12_lag_stratZ50ndj03', '11_lag_ismPRjja', '3_lag_seurTSjfm', '6_lag_stratZ50ndj03', '13_lag_traIT', '11_lag_mhfIP30', '10_lag_traBS', '5_lag_stratZ50ndj01', '5_lag_yrvPRjja']","[0.13026291580083982, 0.016945532149854586, 0.029453578275213395, 0.011193558920510107, 0.15379229275410597, 0.11359659688553456, 0.22827801201049916, 0.18551406549268037, 0.12486222736080524, 0.03969993099370751, 0.11926841260487238, 0.025986958016804267, 0.10081494177844469, 0.08583131307683135, 0.014950234479028074, 0.08465082665241067, 0.040457189031015896, 0.1632153799172452, 0.08159432056231807, 0.09411851547566286, 0.12168805674311238, 0.003427935548796316, 0.07501289342712399, 0.02806766973951557, 0.1599576391275468, 0.06627575426702209, 0.14046140882276079, 0.13009058729936432, 0.05609263617576215, 0.08302731521457372]","1_lag_traIT, 6_lag_satlSSTjfm, 9_lag_shSICmar, 17_lag_traFSC, 11_lag_traBS, 9_lag_nhSICsep, 12_lag_mhfIP30, 8_lag_stratZ50ndj03, 4_lag_ismPRjja, 20_lag_stratZ50ndj01, 6_lag_yrvPRjja, 11_lag_amoSSTmjjaso, 11_lag_scpPSLjfm, 11_lag_alpi, 17_lag_traDS, 11_lag_traIT, 10_lag_arcTSjfm, 1_lag_traEC, 15_lag_eurPSLjfm, 11_lag_stratZ50ndj03, 15_lag_stratZ50ndj03, 12_lag_stratZ50ndj03, 11_lag_ismPRjja, 3_lag_seurTSjfm, 6_lag_stratZ50ndj03, 13_lag_traIT, 11_lag_mhfIP30, 10_lag_traBS, 5_lag_stratZ50ndj01, 5_lag_yrvPRjja_2535_1"
LinearRegression,7,30,traEC,shigh,1521.5,2005.5,0.8,22,2,2,17.40953268347886,-0.06375102274140627,2535,"['20_lag_traDP', '2_lag_3_median_seurTSjfm', '3_lag_seurTSjfm', '21_lag_eapPSLjfm', '15_lag_stratZ50ndj03', '9_lag_shSICmar', '11_lag_traIT', '13_lag_traIT', '18_lag_eapPSLjfm', '11_lag_amoSSTmjjaso', '21_lag_stratZ50ndj01', '8_lag_stratZ50ndj03', '2_lag_alpi', '15_lag_nchinaPRjja', '10_lag_traMC', '9_lag_nhSICsep', '15_lag_eurPSLjfm', '20_lag_nchinaPRjja', '2_lag_traEC', '17_lag_traDS', '11_lag_stratZ50ndj03', '6_lag_yrvPRjja', '2_lag_yrvPRjja', '6_lag_stratZ50ndj03', '11_lag_ismPRjja', '11_lag_mhfIP30', '5_lag_yrvPRjja', '11_lag_traBS', '10_lag_traBS', '5_lag_stratZ50ndj01']","[0.07606702916468187, 732811897123.2117, 732811897123.185, 0.002904347747832761, 0.0991302359398638, 0.0454014959725161, 0.06912156291178014, 0.05793507835878065, 0.0756735961164798, 0.038664312016356235, 0.043100923227757645, 0.1580246577702897, 0.062419410069318455, 0.08557239590819367, 0.07420853424754742, 0.17673700998580788, 0.06338855555238615, 0.06215858459472656, 0.06365776062011719, 0.0111541748046875, 0.06447601318359375, 0.09157562255859375, 0.05779266357421875, 0.1524200439453125, 0.094207763671875, 0.1963796615600586, 0.06653594970703125, 0.103485107421875, 0.10382080078125, 0.045623779296875]","20_lag_traDP, 2_lag_3_median_seurTSjfm, 3_lag_seurTSjfm, 21_lag_eapPSLjfm, 15_lag_stratZ50ndj03, 9_lag_shSICmar, 11_lag_traIT, 13_lag_traIT, 18_lag_eapPSLjfm, 11_lag_amoSSTmjjaso, 21_lag_stratZ50ndj01, 8_lag_stratZ50ndj03, 2_lag_alpi, 15_lag_nchinaPRjja, 10_lag_traMC, 9_lag_nhSICsep, 15_lag_eurPSLjfm, 20_lag_nchinaPRjja, 2_lag_traEC, 17_lag_traDS, 11_lag_stratZ50ndj03, 6_lag_yrvPRjja, 2_lag_yrvPRjja, 6_lag_stratZ50ndj03, 11_lag_ismPRjja, 11_lag_mhfIP30, 5_lag_yrvPRjja, 11_lag_traBS, 10_lag_traBS, 5_lag_stratZ50ndj01_2535_2"
LinearRegression,8,30,traEC,shigh,1522.5,2005.5,0.8,23,3,3,16.966854169314125,-0.07809249257361103,2535,"['20_lag_traDP', '20_lag_stratZ50ndj01', '11_lag_wnorPRjfm', '21_lag_stratZ50ndj01', '14_lag_pdoSSTjfm', '19_lag_traMC', '22_lag_stratZ50ndj04', '6_lag_atlSICsep', '10_lag_ginwSSTjfm', '17_lag_traDS', '11_lag_amoSSTmjjaso', '6_lag_stratZ50ndj03', '10_lag_traMC', '13_lag_traIT', '11_lag_traIT', '12_lag_stratZ50ndj03', '6_lag_nhSICsep', '9_lag_shSICmar', '11_lag_stratZ50ndj03', '9_lag_nhSICsep', '15_lag_nchinaPRjja', '11_lag_ismPRjja', '11_lag_traBS', '3_lag_seurTSjfm', '11_lag_mhfIP30', '8_lag_stratZ50ndj03', '20_lag_nchinaPRjja', '5_lag_yrvPRjja', '10_lag_traBS', '5_lag_stratZ50ndj01']","[0.06768197544910946, 0.04038781338265569, 0.11350603399531806, 0.030765705545904774, 0.0026492441987165235, 0.04311171592576137, 0.04065547854850608, 0.11974163260111681, 0.050075793319960406, 0.019552146395708722, 0.019916191042092496, 0.12589206260693583, 0.06629057828097983, 0.06362931040966736, 0.04939662444591851, 0.039639396477792695, 0.13593191359091783, 0.058449254914300725, 0.06603226439371396, 0.21478236733084735, 0.06127359591936421, 0.07182494102640156, 0.09123261717396168, 0.047065870269787216, 0.20200481899112727, 0.16014712379601573, 0.06738543301410849, 0.06906051896994092, 0.12741419394115158, 0.034608193073998365]","20_lag_traDP, 20_lag_stratZ50ndj01, 11_lag_wnorPRjfm, 21_lag_stratZ50ndj01, 14_lag_pdoSSTjfm, 19_lag_traMC, 22_lag_stratZ50ndj04, 6_lag_atlSICsep, 10_lag_ginwSSTjfm, 17_lag_traDS, 11_lag_amoSSTmjjaso, 6_lag_stratZ50ndj03, 10_lag_traMC, 13_lag_traIT, 11_lag_traIT, 12_lag_stratZ50ndj03, 6_lag_nhSICsep, 9_lag_shSICmar, 11_lag_stratZ50ndj03, 9_lag_nhSICsep, 15_lag_nchinaPRjja, 11_lag_ismPRjja, 11_lag_traBS, 3_lag_seurTSjfm, 11_lag_mhfIP30, 8_lag_stratZ50ndj03, 20_lag_nchinaPRjja, 5_lag_yrvPRjja, 10_lag_traBS, 5_lag_stratZ50ndj01_2535_3"
LinearRegression,9,30,traEC,shigh,1523.5,2005.5,0.8,24,4,4,17.51263327913983,0.013106017523564183,2535,"['4_lag_5_median_yrvPRjja', '15_lag_nchinaPRjja', '22_lag_naoPSLjfm', '23_lag_stratZ50ndj02', '13_lag_traIT', '18_lag_traEU', '19_lag_traMC', '10_lag_ismPRjja', '17_lag_nchinaPRjja', '11_lag_alpi', '23_lag_nchinaPRjja', '10_lag_ginwSSTjfm', '19_lag_traEC', '9_lag_shSICmar', '11_lag_amoSSTmjjaso', '5_lag_stratZ50ndj01', '4_lag_5_median_stratZ50ndj01', '11_lag_ismPRjja', '6_lag_atlSICsep', '17_lag_traDS', '6_lag_stratZ50ndj03', '11_lag_traBS', '11_lag_traIT', '9_lag_nhSICsep', '23_lag_ismPRjja', '11_lag_mhfIP30', '21_lag_stratZ50ndj01', '10_lag_traBS', '8_lag_stratZ50ndj03', '20_lag_nchinaPRjja']","[0.0841566211023076, 0.04150413481614952, 0.009871170755884392, 0.07198406587388267, 0.0544813763064731, 0.069733772273436, 0.03538613371150578, 0.022274448504672834, 0.1254085724116735, 0.03420230004833381, 0.05390807695404641, 0.07977378650421665, 0.010188401022210919, 0.004580093587370626, 0.003425703059927242, 13379912332058.514, 13379912332058.549, 0.1176994480770909, 0.07901708729164691, 0.029894370210788834, 0.129897261613037, 0.09511394482823732, 0.05843519132471094, 0.1433079881391139, 0.16988872093934193, 0.14188079872476453, 0.044547381987495034, 0.14895079234737874, 0.13567824679288024, 0.10230898228124993]","4_lag_5_median_yrvPRjja, 15_lag_nchinaPRjja, 22_lag_naoPSLjfm, 23_lag_stratZ50ndj02, 13_lag_traIT, 18_lag_traEU, 19_lag_traMC, 10_lag_ismPRjja, 17_lag_nchinaPRjja, 11_lag_alpi, 23_lag_nchinaPRjja, 10_lag_ginwSSTjfm, 19_lag_traEC, 9_lag_shSICmar, 11_lag_amoSSTmjjaso, 5_lag_stratZ50ndj01, 4_lag_5_median_stratZ50ndj01, 11_lag_ismPRjja, 6_lag_atlSICsep, 17_lag_traDS, 6_lag_stratZ50ndj03, 11_lag_traBS, 11_lag_traIT, 9_lag_nhSICsep, 23_lag_ismPRjja, 11_lag_mhfIP30, 21_lag_stratZ50ndj01, 10_lag_traBS, 8_lag_stratZ50ndj03, 20_lag_nchinaPRjja_2535_4"
