model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traEU,shigh,866.5,2005.5,0.4,15,1,1,22.8450993950769,-0.044895112269030264,1755,"['1_lag_13_median_traIFC', '12_lag_stratZ50ndj03', '1_lag_13_median_ismPRjja', '3_lag_pdoSSTjfm', '1_lag_14_median_nhSICjfm', '1_lag_traCA', '1_lag_14_median_eapPSLjfm', '10_lag_glTSjfm', '5_lag_traWP', '1_lag_4_median_nhSICsep', '1_lag_14_median_gyreSSTjfm', '2_lag_mhfATL60', '1_lag_12_median_traWP', '3_lag_traIFC', '1_lag_6_median_satlSSTjfm', '5_lag_traFSC', '12_lag_traBS', '1_lag_10_median_labSSTjfm', '1_lag_AMOCann', '7_lag_nppc2SSTjfm', '5_lag_satlSSTjfm', '1_lag_cetTSjfm', '1_lag_5_median_wnorPRjfm', '1_lag_8_median_stratZ50ndj04', '13_lag_nhSICsep', '1_lag_9_median_shSICmar', '6_lag_traFS', '2_lag_traIT', '1_lag_4_median_traWP', '3_lag_traDS']","[0.8313209849789374, 7.652772774840731, 0.6490847863293947, 2.0448249490802883, 6.031233368362048, 8.126278703158164, 0.5192778181877209, 0.7961680440915941, 9.550288731525816, 1.0639564495725011, 3.7058896525256957, 0.5629758399303562, 0.5655790292393874, 5.706930579392054, 0.9217059796724758, 6.596967588209437, 2.83430549561462, 0.2993608620788777, 5.032635673245142, 4.2338564569853565, 3.9218061706290275, 6.461526088936726, 5.926258595419556, 7.905407589139168, 4.198794316065388, 2.3106324056339425, 3.7908399306849123, 6.427918086838664, 0.545149326215622, 4.717936865723241]","1_lag_13_median_traIFC, 12_lag_stratZ50ndj03, 1_lag_13_median_ismPRjja, 3_lag_pdoSSTjfm, 1_lag_14_median_nhSICjfm, 1_lag_traCA, 1_lag_14_median_eapPSLjfm, 10_lag_glTSjfm, 5_lag_traWP, 1_lag_4_median_nhSICsep, 1_lag_14_median_gyreSSTjfm, 2_lag_mhfATL60, 1_lag_12_median_traWP, 3_lag_traIFC, 1_lag_6_median_satlSSTjfm, 5_lag_traFSC, 12_lag_traBS, 1_lag_10_median_labSSTjfm, 1_lag_AMOCann, 7_lag_nppc2SSTjfm, 5_lag_satlSSTjfm, 1_lag_cetTSjfm, 1_lag_5_median_wnorPRjfm, 1_lag_8_median_stratZ50ndj04, 13_lag_nhSICsep, 1_lag_9_median_shSICmar, 6_lag_traFS, 2_lag_traIT, 1_lag_4_median_traWP, 3_lag_traDS_1755_1"
LRforcedPSO,1,30,traEU,shigh,867.5,2005.5,0.4,16,1,1,25.402667371339543,-0.045795479116142804,1885,"['7_lag_tripol2', '8_lag_shSICsep', '1_lag_8_median_glTSjfm', '11_lag_mhfATL45', '1_lag_traEC', '3_lag_glomaSSTjfm', '3_lag_cetTSjfm', '12_lag_nhSICjfm', '1_lag_4_median_nppc3SSTjfm', '5_lag_eurPSLjfm', '1_lag_8_median_amoSSTmjjaso', '2_lag_amoSSTmjjaso', '6_lag_glTSjfm', '11_lag_eurPSLjfm', '7_lag_amo1', '2_lag_ormenSSTjfm', '5_lag_shSICmar', '6_lag_stratZ50ndj04', '1_lag_14_median_amo2', '10_lag_scpPSLjfm', '9_lag_alpi', '1_lag_6_median_arcTSjfm', '4_lag_alpi', '11_lag_AMOCann', '8_lag_amo2', '1_lag_12_median_neurTSjfm', '1_lag_9_median_traBS', '14_lag_glomaSSTjfm', '13_lag_traEC', '1_lag_9_median_mhfATL30']","[0.38977853283028985, 6.022287213961938, 5.910117199428875, 9.387857578668779, 0.38867228123821995, 2.0641032004561115, 2.517593066997536, 6.385831211168611, 6.663074295945481, 0.6224094060817347, 1.2560322347049997, 5.3793697379328, 3.1824122201354044, 2.677153773499514, 2.0715076066647313, 1.0663960052247177, 4.345840199031539, 8.729832236707256, 8.617929083095897, 2.3762911975911427, 8.408722394868185, 7.788840033225249, 1.3059176501053074, 0.6136993811353832, 4.749432384487928, 2.7712326171073665, 7.108317356867321, 1.001209966749336, 3.1630430997756154, 2.6599696951265592]","7_lag_tripol2, 8_lag_shSICsep, 1_lag_8_median_glTSjfm, 11_lag_mhfATL45, 1_lag_traEC, 3_lag_glomaSSTjfm, 3_lag_cetTSjfm, 12_lag_nhSICjfm, 1_lag_4_median_nppc3SSTjfm, 5_lag_eurPSLjfm, 1_lag_8_median_amoSSTmjjaso, 2_lag_amoSSTmjjaso, 6_lag_glTSjfm, 11_lag_eurPSLjfm, 7_lag_amo1, 2_lag_ormenSSTjfm, 5_lag_shSICmar, 6_lag_stratZ50ndj04, 1_lag_14_median_amo2, 10_lag_scpPSLjfm, 9_lag_alpi, 1_lag_6_median_arcTSjfm, 4_lag_alpi, 11_lag_AMOCann, 8_lag_amo2, 1_lag_12_median_neurTSjfm, 1_lag_9_median_traBS, 14_lag_glomaSSTjfm, 13_lag_traEC, 1_lag_9_median_mhfATL30_1885_1"
LRforcedPSO,2,30,traEU,shigh,868.5,2005.5,0.4,17,1,1,18.982888642925147,-0.005564274360582859,2015,"['1_lag_7_median_amo2', '1_lag_8_median_amo1', '14_lag_solFORC', '2_lag_satlSSTjfm', '12_lag_ensoSSTjfm', '1_lag_11_median_glomaSSTjfm', '1_lag_13_median_mhfATL60', '11_lag_satlSSTjfm', '6_lag_stratZ50ndj03', '14_lag_stratZ50ndj04', '5_lag_shTSjfm', '1_lag_4_median_traBS', '7_lag_tripol1', '13_lag_traEC', '1_lag_10_median_stratZ50ndj04', '1_lag_6_median_traBO', '1_lag_5_median_satlSSTjfm', '1_lag_3_median_traMC', '1_lag_4_median_traEC', '8_lag_yrvPRjja', '1_lag_11_median_nhSICjfm', '7_lag_glTSjfm', '16_lag_ormenSSTjfm', '4_lag_traEC', '5_lag_mhfATL60', '1_lag_5_median_traFSC', '1_lag_13_median_shSICmar', '16_lag_stratZ50ndj04', '7_lag_neurTSjfm', '1_lag_3_median_traFSC']","[2.2779559860544367, 0.7917670723507442, 2.27692882201916, 0.3589680410210292, 4.18889555542683, 2.445966058508109, 1.7360965095959422, 1.5873431837808045, 3.8190941103047145, 3.2701456190292895, 3.6698264650121493, 3.442755402087098, 2.810816348801712, 4.701383742262184, 3.199314022142758, 2.1858067888010666, 4.9083327622604855, 1.7050287688670132, 0.33124504448903735, 1.0747605987526718, 0.7724435421880589, 3.3516316538940245, 0.527439187005573, 8.13485519710417, 4.709577142541361, 3.9339842740490667, 3.1844340936468507, 4.211225492803976, 4.3722446969231, 4.162113725168595]","1_lag_7_median_amo2, 1_lag_8_median_amo1, 14_lag_solFORC, 2_lag_satlSSTjfm, 12_lag_ensoSSTjfm, 1_lag_11_median_glomaSSTjfm, 1_lag_13_median_mhfATL60, 11_lag_satlSSTjfm, 6_lag_stratZ50ndj03, 14_lag_stratZ50ndj04, 5_lag_shTSjfm, 1_lag_4_median_traBS, 7_lag_tripol1, 13_lag_traEC, 1_lag_10_median_stratZ50ndj04, 1_lag_6_median_traBO, 1_lag_5_median_satlSSTjfm, 1_lag_3_median_traMC, 1_lag_4_median_traEC, 8_lag_yrvPRjja, 1_lag_11_median_nhSICjfm, 7_lag_glTSjfm, 16_lag_ormenSSTjfm, 4_lag_traEC, 5_lag_mhfATL60, 1_lag_5_median_traFSC, 1_lag_13_median_shSICmar, 16_lag_stratZ50ndj04, 7_lag_neurTSjfm, 1_lag_3_median_traFSC_2015_1"
LRforcedPSO,3,30,traEU,shigh,869.5,2005.5,0.4,18,1,1,25.6037940180806,-0.014395480784334974,2145,"['13_lag_traIT', '10_lag_pdoSSTjfm', '11_lag_atlSICsep', '1_lag_13_median_amo3', '1_lag_17_median_traIT', '1_lag_6_median_arcTSjfm', '8_lag_traDS', '15_lag_tripol2', '1_lag_10_median_nppc2SSTjfm', '13_lag_ismPRjja', '1_lag_6_median_ginwSSTjfm', '2_lag_alpi', '1_lag_2_median_yrvPRjja', '11_lag_shSICsep', '1_lag_15_median_shTSjfm', '5_lag_traMC', '6_lag_nppc2SSTjfm', '1_lag_16_median_traBO', '11_lag_atlSICjfm', '17_lag_amo3', '1_lag_8_median_mhfATL30', '12_lag_seurTSjfm', '1_lag_12_median_solFORC', '1_lag_17_median_naoPSLjfm', '16_lag_shTSjfm', '1_lag_stratZ50ndj01', '8_lag_nhSICjfm', '1_lag_7_median_yrvPRjja', '8_lag_stratZ50ndj03', '1_lag_3_median_traMC']","[2.107252902040959, 1.7745919926048774, 1.664994293087707, 2.422860707064407, 0.38917145882303394, 7.507337835536141, 3.3683833976881523, 8.802230195088555, 4.803811029720362, 2.580854766933081, 5.6679332941165335, 8.10261029736587, 2.1998696960600306, 7.454361975148727, 2.649143871729766, 8.209309896388744, 8.003435981068392, 4.7329506621611515, 7.560176597242623, 4.4151156164299294, 4.474476309788111, 4.270709743008879, 5.972381000408376, 8.444907276977585, 7.047549179586181, 2.0146287806768477, 1.5968674382983714, 1.6789803149162985, 3.489271376159417, 5.2836788001458395]","13_lag_traIT, 10_lag_pdoSSTjfm, 11_lag_atlSICsep, 1_lag_13_median_amo3, 1_lag_17_median_traIT, 1_lag_6_median_arcTSjfm, 8_lag_traDS, 15_lag_tripol2, 1_lag_10_median_nppc2SSTjfm, 13_lag_ismPRjja, 1_lag_6_median_ginwSSTjfm, 2_lag_alpi, 1_lag_2_median_yrvPRjja, 11_lag_shSICsep, 1_lag_15_median_shTSjfm, 5_lag_traMC, 6_lag_nppc2SSTjfm, 1_lag_16_median_traBO, 11_lag_atlSICjfm, 17_lag_amo3, 1_lag_8_median_mhfATL30, 12_lag_seurTSjfm, 1_lag_12_median_solFORC, 1_lag_17_median_naoPSLjfm, 16_lag_shTSjfm, 1_lag_stratZ50ndj01, 8_lag_nhSICjfm, 1_lag_7_median_yrvPRjja, 8_lag_stratZ50ndj03, 1_lag_3_median_traMC_2145_1"
LRforcedPSO,4,30,traEU,shigh,870.5,2005.5,0.4,19,1,1,25.04006955484792,0.025244527490461497,2275,"['18_lag_arcTSjfm', '1_lag_5_median_ismPRjja', '1_lag_10_median_traFS', '1_lag_6_median_nhTSjfm', '1_lag_18_median_eapPSLjfm', '9_lag_nhTSjfm', '1_lag_7_median_gyreSSTjfm', '1_lag_16_median_ensoSSTjfm', '1_lag_14_median_traCA', '1_lag_6_median_traFS', '8_lag_stratZ50ndj03', '1_lag_11_median_arcTSjfm', '1_lag_12_median_eapPSLjfm', '1_lag_17_median_tripol3', '5_lag_shTSjfm', '16_lag_mhfATL30', '1_lag_12_median_mhfATL60', '11_lag_traEU', '1_lag_17_median_tripol2', '1_lag_4_median_stratZ50ndj01', '4_lag_amo3', '9_lag_traCA', '15_lag_traDS', '7_lag_stratZ50ndj02', '1_lag_15_median_satlSSTjfm', '9_lag_arcTSjfm', '1_lag_7_median_stratZ50ndj01', '1_lag_11_median_traIFC', '14_lag_arcTSjfm', '1_lag_7_median_ensoSSTjfm']","[2.782105019184198, 6.069664765148111, 4.800498329604334, 3.797126489507175, 3.303221471473176, 1.842785418205949, 7.631908065041024, 1.8398104883998645, 4.919838622803272, 4.743317927731244, 1.8740224358349273, 5.7567600433528305, 3.344887881856746, 2.637547801932538, 9.888097312178827, 7.980419809768616, 2.783273304144405, 5.310537792675875, 1.6385560592561017, 6.56771680649282, 7.551563758297895, 8.970997785391258, 0.5372034363979701, 3.4516496925404656, 4.792394333644438, 4.479663732730432, 1.2418046352238115, 6.795732477246382, 9.443993054985445, 6.003749816728396]","18_lag_arcTSjfm, 1_lag_5_median_ismPRjja, 1_lag_10_median_traFS, 1_lag_6_median_nhTSjfm, 1_lag_18_median_eapPSLjfm, 9_lag_nhTSjfm, 1_lag_7_median_gyreSSTjfm, 1_lag_16_median_ensoSSTjfm, 1_lag_14_median_traCA, 1_lag_6_median_traFS, 8_lag_stratZ50ndj03, 1_lag_11_median_arcTSjfm, 1_lag_12_median_eapPSLjfm, 1_lag_17_median_tripol3, 5_lag_shTSjfm, 16_lag_mhfATL30, 1_lag_12_median_mhfATL60, 11_lag_traEU, 1_lag_17_median_tripol2, 1_lag_4_median_stratZ50ndj01, 4_lag_amo3, 9_lag_traCA, 15_lag_traDS, 7_lag_stratZ50ndj02, 1_lag_15_median_satlSSTjfm, 9_lag_arcTSjfm, 1_lag_7_median_stratZ50ndj01, 1_lag_11_median_traIFC, 14_lag_arcTSjfm, 1_lag_7_median_ensoSSTjfm_2275_1"
LRforcedPSO,5,30,traEU,shigh,871.5,2005.5,0.4,20,1,1,22.470220148120063,-0.01248482410427908,2405,"['9_lag_atlSICsep', '1_lag_8_median_nhSICjfm', '1_lag_3_median_traDS', '6_lag_amoSSTmjjaso', '1_lag_18_median_nppc3SSTjfm', '11_lag_yrvPRjja', '1_lag_12_median_shTSjfm', '5_lag_shSICsep', '1_lag_10_median_traFB', '19_lag_alpi', '1_lag_9_median_traFB', '1_lag_12_median_traIFC', '6_lag_yrvPRjja', '1_lag_8_median_traFS', '1_lag_14_median_cetTSjfm', '4_lag_traFSC', '14_lag_pdoSSTjfm', '16_lag_mhfIP30', '2_lag_traDS', '15_lag_traWP', '4_lag_labSSTjfm', '14_lag_nppc3SSTjfm', '1_lag_18_median_stratZ50ndj02', '11_lag_ormenSSTjfm', '1_lag_18_median_wnorPRjfm', '13_lag_shSICsep', '19_lag_mhfATL30', '1_lag_9_median_mhfATL30', '1_lag_19_median_traDP', '1_lag_4_median_mhfATL30']","[2.0986192270557495, 8.554985426384004, 0.9560046511053883, 2.1191066579665723, 8.149118671171017, 1.540358177469825, 1.784832641267215, 9.12693622540646, 8.716144203413894, 7.3592144614030675, 4.6400401564109615, 7.688049133576669, 2.155677621221326, 2.9504861971626646, 1.275369865997165, 1.8539600939382446, 6.018568780489861, 7.996683561040371, 1.159862933357962, 1.845146652040036, 0.8878527237220943, 7.046303886251398, 2.761449477937785, 2.220101352738153, 0.47451134807999296, 3.0714827734751147, 8.291040393720323, 3.344220683989132, 1.5828341775025496, 0.0177734456721641]","9_lag_atlSICsep, 1_lag_8_median_nhSICjfm, 1_lag_3_median_traDS, 6_lag_amoSSTmjjaso, 1_lag_18_median_nppc3SSTjfm, 11_lag_yrvPRjja, 1_lag_12_median_shTSjfm, 5_lag_shSICsep, 1_lag_10_median_traFB, 19_lag_alpi, 1_lag_9_median_traFB, 1_lag_12_median_traIFC, 6_lag_yrvPRjja, 1_lag_8_median_traFS, 1_lag_14_median_cetTSjfm, 4_lag_traFSC, 14_lag_pdoSSTjfm, 16_lag_mhfIP30, 2_lag_traDS, 15_lag_traWP, 4_lag_labSSTjfm, 14_lag_nppc3SSTjfm, 1_lag_18_median_stratZ50ndj02, 11_lag_ormenSSTjfm, 1_lag_18_median_wnorPRjfm, 13_lag_shSICsep, 19_lag_mhfATL30, 1_lag_9_median_mhfATL30, 1_lag_19_median_traDP, 1_lag_4_median_mhfATL30_2405_1"
LRforcedPSO,6,30,traEU,shigh,872.5,2005.5,0.4,21,1,1,23.95047133976673,0.05219476298973933,2535,"['4_lag_nchinaPRjja', '16_lag_stratZ50ndj04', '1_lag_12_median_nhTSjfm', '4_lag_stratZ50ndj03', '1_lag_16_median_nppc3SSTjfm', '1_lag_16_median_traFB', '1_lag_2_median_tripol1', '8_lag_glTSjfm', '4_lag_nppc2SSTjfm', '1_lag_4_median_amo3', '1_lag_12_median_stratZ50ndj04', '1_lag_8_median_alpi', '17_lag_atlSICjfm', '7_lag_glTSjfm', '10_lag_scpPSLjfm', '1_lag_16_median_nhSICjfm', '1_lag_6_median_tripol1', '8_lag_nhSICsep', '1_lag_12_median_glomaSSTjfm', '5_lag_samPSLann', '2_lag_neurTSjfm', '11_lag_shSICmar', '12_lag_traBS', '19_lag_traTLS', '3_lag_stratZ50ndj04', '1_lag_8_median_pdoSSTjfm', '19_lag_seurTSjfm', '1_lag_2_median_shSICsep', '1_lag_4_median_traTLS', '11_lag_atlSICsep']","[4.29059845452632, 3.8254483835783937, 6.0661651062562205, 3.3239203585043064, 7.10734061466837, 1.2401452442965457, 1.8124125120912709, 7.658614606437535, 0.7066770736036005, 1.615317090495001, 1.3078784220332214, 4.10536194685546, 0.43627657927676466, 7.760523329704558, 3.01379601958482, 5.150030461267299, 2.8070659444997688, 1.181353034572778, 1.4379457818489598, 3.2084634675046297, 9.438349375100373, 6.850525423504308, 7.637051641005817, 1.0189120474612317, 4.886374936604819, 3.518818569631918, 8.030818574186306, 5.566071482797835, 0.25596268122375854, 3.5081943398812143]","4_lag_nchinaPRjja, 16_lag_stratZ50ndj04, 1_lag_12_median_nhTSjfm, 4_lag_stratZ50ndj03, 1_lag_16_median_nppc3SSTjfm, 1_lag_16_median_traFB, 1_lag_2_median_tripol1, 8_lag_glTSjfm, 4_lag_nppc2SSTjfm, 1_lag_4_median_amo3, 1_lag_12_median_stratZ50ndj04, 1_lag_8_median_alpi, 17_lag_atlSICjfm, 7_lag_glTSjfm, 10_lag_scpPSLjfm, 1_lag_16_median_nhSICjfm, 1_lag_6_median_tripol1, 8_lag_nhSICsep, 1_lag_12_median_glomaSSTjfm, 5_lag_samPSLann, 2_lag_neurTSjfm, 11_lag_shSICmar, 12_lag_traBS, 19_lag_traTLS, 3_lag_stratZ50ndj04, 1_lag_8_median_pdoSSTjfm, 19_lag_seurTSjfm, 1_lag_2_median_shSICsep, 1_lag_4_median_traTLS, 11_lag_atlSICsep_2535_1"
LRforcedPSO,7,30,traEU,shigh,873.5,2005.5,0.4,22,1,1,24.739876826088317,-0.002175089048972258,2665,"['13_lag_shTSjfm', '2_lag_shSICmar', '8_lag_glTSjfm', '1_lag_12_median_amo2', '1_lag_12_median_nchinaPRjja', '1_lag_15_median_glomaSSTjfm', '1_lag_13_median_neurTSjfm', '19_lag_nhSICjfm', '20_lag_seurTSjfm', '1_lag_5_median_mhfATL45', '15_lag_nhTSjfm', '1_lag_20_median_nhSICjfm', '8_lag_tripol2', '7_lag_labSSTjfm', '1_lag_2_median_traWP', '15_lag_traBO', '1_lag_arcTSjfm', '1_lag_2_median_ensoSSTjfm', '14_lag_cetTSjfm', '1_lag_10_median_alpi', '1_lag_18_median_stratZ50ndj01', '1_lag_7_median_traBS', '1_lag_2_median_traMC', '1_lag_10_median_traIT', '6_lag_eapPSLjfm', '13_lag_traDS', '1_lag_9_median_shSICsep', '1_lag_5_median_nppc2SSTjfm', '19_lag_mhfATL60', '1_lag_18_median_samPSLann']","[8.102852410492364, 8.082083434221225, 6.62716167790882, 6.234078860719537, 5.968907400236192, 5.822465567164514, 2.6439948170304284, 5.291690084688232, 5.967087459188431, 2.052955307605435, 6.03624827389773, 3.6019340730330196, 9.039800579915852, 4.000862688112454, 1.3186033344435177, 4.004909814294278, 4.696333443595197, 0.5178394808240725, 3.523406122726927, 4.6138094865561285, 0.8841729501790496, 9.714329429049123, 1.7992817266231054, 1.5254425018368085, 8.546589500253088, 4.240018326727865, 1.6523169512793512, 2.2860928585086064, 9.052240157857277, 2.951389752367744]","13_lag_shTSjfm, 2_lag_shSICmar, 8_lag_glTSjfm, 1_lag_12_median_amo2, 1_lag_12_median_nchinaPRjja, 1_lag_15_median_glomaSSTjfm, 1_lag_13_median_neurTSjfm, 19_lag_nhSICjfm, 20_lag_seurTSjfm, 1_lag_5_median_mhfATL45, 15_lag_nhTSjfm, 1_lag_20_median_nhSICjfm, 8_lag_tripol2, 7_lag_labSSTjfm, 1_lag_2_median_traWP, 15_lag_traBO, 1_lag_arcTSjfm, 1_lag_2_median_ensoSSTjfm, 14_lag_cetTSjfm, 1_lag_10_median_alpi, 1_lag_18_median_stratZ50ndj01, 1_lag_7_median_traBS, 1_lag_2_median_traMC, 1_lag_10_median_traIT, 6_lag_eapPSLjfm, 13_lag_traDS, 1_lag_9_median_shSICsep, 1_lag_5_median_nppc2SSTjfm, 19_lag_mhfATL60, 1_lag_18_median_samPSLann_2665_1"
LRforcedPSO,8,30,traEU,shigh,874.5,2005.5,0.4,23,1,1,25.322147210725127,0.016905007159703344,2795,"['1_lag_4_median_gyreSSTjfm', '1_lag_10_median_stratZ50ndj03', '4_lag_labSSTjfm', '1_lag_9_median_tripol2', '10_lag_pdoSSTjfm', '1_lag_13_median_shTSjfm', '1_lag_22_median_eurPSLjfm', '1_lag_21_median_wnorPRjfm', '1_lag_21_median_labSSTjfm', '1_lag_18_median_arcTSjfm', '1_lag_4_median_traEC', '5_lag_yrvPRjja', '1_lag_9_median_samPSLann', '1_lag_19_median_traWP', '1_lag_19_median_traIT', '13_lag_atlSICjfm', '1_lag_8_median_traEU', '14_lag_labSSTjfm', '1_lag_14_median_samPSLann', '18_lag_cetTSjfm', '16_lag_nppc2SSTjfm', '1_lag_11_median_gyreSSTjfm', '10_lag_wnorPRjfm', '1_lag_traBO', '1_lag_2_median_alpi', '1_lag_10_median_alpi', '1_lag_21_median_traEU', '1_lag_21_median_traIT', '21_lag_shSICsep', '1_lag_8_median_eurPSLjfm']","[6.488753152667446, 5.253972681760716, 2.5679010243173934, 3.9552276586230413, 0.47842015030712304, 1.482424305037565, 4.804730888081011, 2.0862967766825253, 0.5602847530241952, 0.488057979310085, 9.14025590875637, 4.363859855530398, 6.844025162768572, 2.455040771662329, 5.760836682706163, 0.45610148151056684, 0.25332806449329404, 6.41491036628527, 2.375274014168717, 2.8969610171342843, 0.19944557337718116, 5.901385745904417, 5.221909232556017, 0.9577106886435338, 4.383276676739303, 4.547156982159253, 3.2779243929507444, 8.52081384835882, 9.688272588487635, 3.3900640893150396]","1_lag_4_median_gyreSSTjfm, 1_lag_10_median_stratZ50ndj03, 4_lag_labSSTjfm, 1_lag_9_median_tripol2, 10_lag_pdoSSTjfm, 1_lag_13_median_shTSjfm, 1_lag_22_median_eurPSLjfm, 1_lag_21_median_wnorPRjfm, 1_lag_21_median_labSSTjfm, 1_lag_18_median_arcTSjfm, 1_lag_4_median_traEC, 5_lag_yrvPRjja, 1_lag_9_median_samPSLann, 1_lag_19_median_traWP, 1_lag_19_median_traIT, 13_lag_atlSICjfm, 1_lag_8_median_traEU, 14_lag_labSSTjfm, 1_lag_14_median_samPSLann, 18_lag_cetTSjfm, 16_lag_nppc2SSTjfm, 1_lag_11_median_gyreSSTjfm, 10_lag_wnorPRjfm, 1_lag_traBO, 1_lag_2_median_alpi, 1_lag_10_median_alpi, 1_lag_21_median_traEU, 1_lag_21_median_traIT, 21_lag_shSICsep, 1_lag_8_median_eurPSLjfm_2795_1"
LRforcedPSO,9,30,traEU,shigh,875.5,2005.5,0.4,24,1,1,36.383956048876954,0.07413160024604466,2925,"['1_lag_23_median_stratZ50ndj02', '15_lag_atlSICsep', '11_lag_stratZ50ndj03', '17_lag_ormenSSTjfm', '3_lag_traTLS', '18_lag_ensoSSTjfm', '1_lag_16_median_traEU', '12_lag_mhfATL45', '17_lag_ensoSSTjfm', '1_lag_10_median_amo1', '1_lag_2_median_ismPRjja', '17_lag_traWP', '1_lag_19_median_ensoSSTjfm', '1_lag_11_median_atlSICsep', '13_lag_alpi', '14_lag_stratZ50ndj04', '1_lag_11_median_traFSC', '8_lag_amoSSTmjjaso', '23_lag_traEC', '1_lag_5_median_alpi', '21_lag_nchinaPRjja', '1_lag_8_median_nppc2SSTjfm', '1_lag_ginwSSTjfm', '1_lag_9_median_amo2', '1_lag_20_median_stratZ50ndj04', '1_lag_10_median_nhSICjfm', '2_lag_neurTSjfm', '1_lag_10_median_amo3', '3_lag_traFS', '12_lag_traDP']","[8.602143527306595, 5.098727144687145, 3.4947150399174287, 3.300147424331003, 5.034403089542396, 0.7381771893483382, 1.6031200108407795, 2.599691020091157, 4.451446318979249, 1.4613746098027303, 8.874318626409256, 0.6269290667757836, 2.3947685362697335, 5.292139122392374, 3.0534389570829426, 6.036431592256548, 8.875613560734292, 6.829905008611242, 6.37138878360431, 0.38363561020760883, 0.9468433901059079, 6.278015647657547, 7.345320635664752, 6.230760110981651, 5.553291900059211, 4.637591405190793, 4.680800014431787, 9.133509968888806, 5.0097025584669534, 4.7798168362943265]","1_lag_23_median_stratZ50ndj02, 15_lag_atlSICsep, 11_lag_stratZ50ndj03, 17_lag_ormenSSTjfm, 3_lag_traTLS, 18_lag_ensoSSTjfm, 1_lag_16_median_traEU, 12_lag_mhfATL45, 17_lag_ensoSSTjfm, 1_lag_10_median_amo1, 1_lag_2_median_ismPRjja, 17_lag_traWP, 1_lag_19_median_ensoSSTjfm, 1_lag_11_median_atlSICsep, 13_lag_alpi, 14_lag_stratZ50ndj04, 1_lag_11_median_traFSC, 8_lag_amoSSTmjjaso, 23_lag_traEC, 1_lag_5_median_alpi, 21_lag_nchinaPRjja, 1_lag_8_median_nppc2SSTjfm, 1_lag_ginwSSTjfm, 1_lag_9_median_amo2, 1_lag_20_median_stratZ50ndj04, 1_lag_10_median_nhSICjfm, 2_lag_neurTSjfm, 1_lag_10_median_amo3, 3_lag_traFS, 12_lag_traDP_2925_1"
