model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traEU,shigh,1714.5,2005.5,0.8,15,1,1,16.041818039374352,0.13016761959527667,1755,"['8_lag_stratZ50ndj02', '4_lag_traMC', '4_lag_stratZ50ndj03', '13_lag_atlSICsep', '5_lag_stratZ50ndj02', '12_lag_traBS', '1_lag_yrvPRjja', '1_lag_traTLS', '1_lag_traIT', '1_lag_traEU']","[0.13447284586937586, 0.08754981522036243, 0.14374867745373915, 0.0038240213305600662, 0.1646829020438217, 0.014197845526865406, 0.044299182215033824, 0.12009789653245533, 0.3868358156073274, 0.11408207356770073]","8_lag_stratZ50ndj02, 4_lag_traMC, 4_lag_stratZ50ndj03, 13_lag_atlSICsep, 5_lag_stratZ50ndj02, 12_lag_traBS, 1_lag_yrvPRjja, 1_lag_traTLS, 1_lag_traIT, 1_lag_traEU_1755_1"
LinearRegression,1,10,traEU,shigh,1715.5,2005.5,0.8,16,1,1,16.54305279749662,0.11810487025046854,1885,"['15_lag_stratZ50ndj01', '8_lag_stratZ50ndj02', '5_lag_stratZ50ndj02', '12_lag_traBS', '1_lag_yrvPRjja', '15_lag_traFSC', '15_lag_eurPSLjfm', '1_lag_traTLS', '1_lag_traIT', '1_lag_traEU']","[0.0784041642983623, 0.10491435411101521, 0.17965657173060373, 0.002000185339017071, 0.030331600948170324, 0.10614500320325346, 0.08907499441324493, 0.10074520784570448, 0.3753212343481072, 0.11022383839343058]","15_lag_stratZ50ndj01, 8_lag_stratZ50ndj02, 5_lag_stratZ50ndj02, 12_lag_traBS, 1_lag_yrvPRjja, 15_lag_traFSC, 15_lag_eurPSLjfm, 1_lag_traTLS, 1_lag_traIT, 1_lag_traEU_1885_1"
LinearRegression,2,10,traEU,shigh,1716.5,2005.5,0.8,17,1,1,15.318060070083519,0.2157244968096556,2015,"['15_lag_stratZ50ndj01', '8_lag_stratZ50ndj02', '5_lag_stratZ50ndj02', '16_lag_shSICmar', '12_lag_traBS', '15_lag_eurPSLjfm', '1_lag_yrvPRjja', '1_lag_traIT', '1_lag_traTLS', '1_lag_traEU']","[0.13141596194875527, 0.10583393767502697, 0.15518939940073045, 0.10885930788303416, 0.007388607010802465, 0.05515276711236494, 0.04026449288826115, 0.3532612024815096, 0.09878446977240728, 0.12183676348574951]","15_lag_stratZ50ndj01, 8_lag_stratZ50ndj02, 5_lag_stratZ50ndj02, 16_lag_shSICmar, 12_lag_traBS, 15_lag_eurPSLjfm, 1_lag_yrvPRjja, 1_lag_traIT, 1_lag_traTLS, 1_lag_traEU_2015_1"
LinearRegression,3,10,traEU,shigh,1717.5,2005.5,0.8,18,1,1,16.299157065326522,0.15109872661772406,2145,"['2_lag_traTLS', '13_lag_atlSICsep', '5_lag_stratZ50ndj02', '1_lag_yrvPRjja', '15_lag_eurPSLjfm', '4_lag_traMC', '8_lag_stratZ50ndj02', '1_lag_traIT', '1_lag_traTLS', '1_lag_traEU']","[0.4178427013145262, 0.04581859057365997, 0.1477380521165507, 0.03213794073216943, 0.04521491101368365, 0.08540130718790379, 0.13896047881230253, 0.33572761566840187, 0.15667954732846764, 0.010374021184000964]","2_lag_traTLS, 13_lag_atlSICsep, 5_lag_stratZ50ndj02, 1_lag_yrvPRjja, 15_lag_eurPSLjfm, 4_lag_traMC, 8_lag_stratZ50ndj02, 1_lag_traIT, 1_lag_traTLS, 1_lag_traEU_2145_1"
LinearRegression,4,10,traEU,shigh,1718.5,2005.5,0.8,19,1,1,15.27604570827306,0.1969982099030803,2275,"['5_lag_stratZ50ndj02', '16_lag_shSICmar', '18_lag_ismPRjja', '15_lag_eurPSLjfm', '1_lag_yrvPRjja', '4_lag_traMC', '8_lag_stratZ50ndj02', '1_lag_traIT', '1_lag_traTLS', '1_lag_traEU']","[0.15003190196365318, 0.10020766380515969, 0.14810549347737068, 0.03669220455686614, 0.034655517893533785, 0.06421595297605448, 0.11456943952549987, 0.32740321225285773, 0.14192801309419856, 0.13528450701519273]","5_lag_stratZ50ndj02, 16_lag_shSICmar, 18_lag_ismPRjja, 15_lag_eurPSLjfm, 1_lag_yrvPRjja, 4_lag_traMC, 8_lag_stratZ50ndj02, 1_lag_traIT, 1_lag_traTLS, 1_lag_traEU_2275_1"
LinearRegression,5,10,traEU,shigh,1719.5,2005.5,0.8,20,1,1,15.275621893955064,0.19706652344890557,2405,"['1_lag_yrvPRjja', '18_lag_ismPRjja', '5_lag_stratZ50ndj02', '4_lag_traMC', '15_lag_eurPSLjfm', '16_lag_shSICmar', '8_lag_stratZ50ndj02', '1_lag_traIT', '1_lag_traTLS', '1_lag_traEU']","[0.03474826062911836, 0.14813804360247299, 0.14994465416374228, 0.06414232265626699, 0.03659674502168675, 0.10020065853848795, 0.1146604034953833, 0.327457029236315, 0.141926672068969, 0.13543887047146622]","1_lag_yrvPRjja, 18_lag_ismPRjja, 5_lag_stratZ50ndj02, 4_lag_traMC, 15_lag_eurPSLjfm, 16_lag_shSICmar, 8_lag_stratZ50ndj02, 1_lag_traIT, 1_lag_traTLS, 1_lag_traEU_2405_1"
LinearRegression,6,10,traEU,shigh,1720.5,2005.5,0.8,21,1,1,15.857390579970458,0.19179868390272145,2535,"['2_lag_traTLS', '15_lag_eurPSLjfm', '8_lag_stratZ50ndj02', '1_lag_yrvPRjja', '18_lag_ismPRjja', '5_lag_stratZ50ndj02', '16_lag_shSICmar', '1_lag_traIT', '1_lag_traTLS', '1_lag_traEU']","[0.3795334113319815, 0.029355244773726565, 0.12392768185694604, 0.03323044444937285, 0.1377413912227614, 0.15460765047344766, 0.10745080694204759, 0.3496903644673583, 0.1425126052188691, 0.030868173807870977]","2_lag_traTLS, 15_lag_eurPSLjfm, 8_lag_stratZ50ndj02, 1_lag_yrvPRjja, 18_lag_ismPRjja, 5_lag_stratZ50ndj02, 16_lag_shSICmar, 1_lag_traIT, 1_lag_traTLS, 1_lag_traEU_2535_1"
LinearRegression,7,10,traEU,shigh,1721.5,2005.5,0.8,22,1,1,15.822592933425447,0.1598635115336636,2665,"['18_lag_ismPRjja', '1_lag_2_median_traTLS', '2_lag_traTLS', '8_lag_stratZ50ndj02', '16_lag_shSICmar', '4_lag_traMC', '5_lag_stratZ50ndj02', '1_lag_traIT', '1_lag_traTLS', '1_lag_traEU']","[0.1320574638661999, 0.19551306262555082, 0.19551306262555063, 0.1274002169998173, 0.09450869324228123, 0.061791347296321936, 0.15318672527697036, 0.3436727636913778, 0.1550661357382027, 0.01875268847504579]","18_lag_ismPRjja, 1_lag_2_median_traTLS, 2_lag_traTLS, 8_lag_stratZ50ndj02, 16_lag_shSICmar, 4_lag_traMC, 5_lag_stratZ50ndj02, 1_lag_traIT, 1_lag_traTLS, 1_lag_traEU_2665_1"
LinearRegression,8,10,traEU,shigh,1722.5,2005.5,0.8,23,1,1,15.924115723566205,0.13690768143478196,2795,"['1_lag_yrvPRjja', '4_lag_traMC', '18_lag_ismPRjja', '8_lag_stratZ50ndj02', '2_lag_traTLS', '1_lag_2_median_traTLS', '5_lag_stratZ50ndj02', '1_lag_traIT', '1_lag_traTLS', '1_lag_traEU']","[0.03777027173069398, 0.07925115046364563, 0.13691197948901881, 0.13735655459773552, 0.20538624540330083, 0.2053862454033008, 0.16051282783585857, 0.3339665532147425, 0.1625194012003808, 0.0077045004524882495]","1_lag_yrvPRjja, 4_lag_traMC, 18_lag_ismPRjja, 8_lag_stratZ50ndj02, 2_lag_traTLS, 1_lag_2_median_traTLS, 5_lag_stratZ50ndj02, 1_lag_traIT, 1_lag_traTLS, 1_lag_traEU_2795_1"
LinearRegression,9,10,traEU,shigh,1723.5,2005.5,0.8,24,1,1,15.79758507064404,0.13488383211380653,2925,"['8_lag_stratZ50ndj02', '18_lag_ismPRjja', '4_lag_traMC', '23_lag_stratZ50ndj03', '1_lag_2_median_traTLS', '2_lag_traTLS', '5_lag_stratZ50ndj02', '1_lag_traIT', '1_lag_traTLS', '1_lag_traEU']","[0.1284332889679362, 0.13672366233355962, 0.07614892679766844, 0.04304535687968267, 0.19966727310275936, 0.19966727310275928, 0.15971155047438967, 0.33053330569168976, 0.16674190486400425, 0.008688086538351944]","8_lag_stratZ50ndj02, 18_lag_ismPRjja, 4_lag_traMC, 23_lag_stratZ50ndj03, 1_lag_2_median_traTLS, 2_lag_traTLS, 5_lag_stratZ50ndj02, 1_lag_traIT, 1_lag_traTLS, 1_lag_traEU_2925_1"
