model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traFB,shigh,1514.5,2005.5,0.6,15,1,1,13.045454530092517,0.37376533543420487,1755,"['9_lag_traFB', '12_lag_scpPSLjfm', '8_lag_stratZ50ndj03', '3_lag_traEU', '14_lag_shSICsep', '1_lag_mhfATL30', '1_lag_tripol3', '14_lag_eurPSLjfm', '1_lag_arcTSjfm', '11_lag_shSICsep']","[0.06497109648684878, 0.00428072029283072, 0.06359873361444918, 0.027992242865329323, 0.09949997871471819, 0.1436147264747202, 0.05997919694234964, 0.07255246616726659, 0.04287849801920467, 0.050941855051255494]","9_lag_traFB, 12_lag_scpPSLjfm, 8_lag_stratZ50ndj03, 3_lag_traEU, 14_lag_shSICsep, 1_lag_mhfATL30, 1_lag_tripol3, 14_lag_eurPSLjfm, 1_lag_arcTSjfm, 11_lag_shSICsep_1755_1"
LinearRegression,1,10,traFB,shigh,1515.5,2005.5,0.6,16,1,1,14.133031763941197,-0.05175222575324721,1885,"['15_lag_atlSICsep', '3_lag_traEU', '15_lag_cetTSjfm', '1_lag_nchinaPRjja', '14_lag_eurPSLjfm', '10_lag_tripol3', '1_lag_tripol3', '1_lag_arcTSjfm', '14_lag_shSICsep', '11_lag_shSICsep']","[0.02018427032313936, 0.030273839849075695, 0.02226983105164494, 0.05171409754096847, 0.06662709692093573, 0.08789184620408728, 0.08027255668723425, 0.0025411384223774057, 0.08625766003511275, 0.02034957172534041]","15_lag_atlSICsep, 3_lag_traEU, 15_lag_cetTSjfm, 1_lag_nchinaPRjja, 14_lag_eurPSLjfm, 10_lag_tripol3, 1_lag_tripol3, 1_lag_arcTSjfm, 14_lag_shSICsep, 11_lag_shSICsep_1885_1"
LinearRegression,2,10,traFB,shigh,1516.5,2005.5,0.6,17,1,1,13.53120932785587,0.16531917573508106,2015,"['10_lag_tripol3', '14_lag_shSICsep', '6_lag_seurTSjfm', '3_lag_traEU', '1_lag_traTLS', '14_lag_eurPSLjfm', '16_lag_seurTSjfm', '1_lag_arcTSjfm', '11_lag_shSICsep', '16_lag_nchinaPRjja']","[0.06633513991149996, 0.07908404315371954, 0.06743161304806239, 0.021391220841600174, 0.13317677726530608, 0.08161248721895045, 0.02648508689852592, 0.00113353005339481, 0.017447585088631052, 0.06341060934605722]","10_lag_tripol3, 14_lag_shSICsep, 6_lag_seurTSjfm, 3_lag_traEU, 1_lag_traTLS, 14_lag_eurPSLjfm, 16_lag_seurTSjfm, 1_lag_arcTSjfm, 11_lag_shSICsep, 16_lag_nchinaPRjja_2015_1"
LinearRegression,3,10,traFB,shigh,1517.5,2005.5,0.6,18,1,1,13.846637866744086,-0.022417100639205732,2145,"['9_lag_samPSLann', '1_lag_traEU', '1_lag_traTLS', '3_lag_traEU', '1_lag_arcTSjfm', '11_lag_shSICsep', '14_lag_eurPSLjfm', '16_lag_seurTSjfm', '16_lag_nchinaPRjja', '17_lag_eurPSLjfm']","[0.041844434451835215, 0.0965810337469332, 0.12773732505441218, 0.01114339588393621, 0.03391738579527723, 0.05007963431034246, 0.055363458857778935, 0.05054437421718138, 0.07720921656299981, 0.08836386667214831]","9_lag_samPSLann, 1_lag_traEU, 1_lag_traTLS, 3_lag_traEU, 1_lag_arcTSjfm, 11_lag_shSICsep, 14_lag_eurPSLjfm, 16_lag_seurTSjfm, 16_lag_nchinaPRjja, 17_lag_eurPSLjfm_2145_1"
LinearRegression,4,10,traFB,shigh,1518.5,2005.5,0.6,19,1,1,14.216284198955107,-0.20296686561233712,2275,"['9_lag_arcTSjfm', '14_lag_eurPSLjfm', '16_lag_atlSICsep', '1_lag_arcTSjfm', '6_lag_seurTSjfm', '16_lag_seurTSjfm', '9_lag_samPSLann', '10_lag_scpPSLjfm', '16_lag_nchinaPRjja', '17_lag_eurPSLjfm']","[0.07123256147473601, 0.04319198046689475, 0.05520297222205348, 0.03758642530106966, 0.0761518086788724, 0.03248709530560459, 0.0390480895945407, 0.03740958073008212, 0.04605710892137215, 0.0861227557251791]","9_lag_arcTSjfm, 14_lag_eurPSLjfm, 16_lag_atlSICsep, 1_lag_arcTSjfm, 6_lag_seurTSjfm, 16_lag_seurTSjfm, 9_lag_samPSLann, 10_lag_scpPSLjfm, 16_lag_nchinaPRjja, 17_lag_eurPSLjfm_2275_1"
LinearRegression,5,10,traFB,shigh,1519.5,2005.5,0.6,20,1,1,13.61196550709308,-0.002005902301702816,2405,"['1_lag_arcTSjfm', '5_lag_yrvPRjja', '9_lag_samPSLann', '16_lag_seurTSjfm', '19_lag_alpi', '5_lag_stratZ50ndj02', '6_lag_seurTSjfm', '16_lag_nchinaPRjja', '10_lag_scpPSLjfm', '17_lag_eurPSLjfm']","[0.03248625048587455, 0.0740814741062731, 0.03697540691247201, 0.019660359952108235, 0.031887903493461864, 0.04816852699892244, 0.08411765049168819, 0.038974922408676484, 0.04432537311020528, 0.08169403490532834]","1_lag_arcTSjfm, 5_lag_yrvPRjja, 9_lag_samPSLann, 16_lag_seurTSjfm, 19_lag_alpi, 5_lag_stratZ50ndj02, 6_lag_seurTSjfm, 16_lag_nchinaPRjja, 10_lag_scpPSLjfm, 17_lag_eurPSLjfm_2405_1"
LinearRegression,6,10,traFB,shigh,1520.5,2005.5,0.6,21,1,5,14.443968965629463,0.009798830804155362,2535,"['15_lag_traBS', '15_lag_traEU', '19_lag_alpi', '15_lag_traMC', '9_lag_samPSLann', '5_lag_stratZ50ndj02', '6_lag_seurTSjfm', '16_lag_nchinaPRjja', '10_lag_scpPSLjfm', '17_lag_eurPSLjfm']","[0.0770359113134857, 0.03336005911203102, 0.03331396666760255, 0.13641305488237138, 0.02849427616797046, 0.04210910422824636, 0.09097620556170743, 0.04118445679906513, 0.023379737742641588, 0.07716340132961502]","15_lag_traBS, 15_lag_traEU, 19_lag_alpi, 15_lag_traMC, 9_lag_samPSLann, 5_lag_stratZ50ndj02, 6_lag_seurTSjfm, 16_lag_nchinaPRjja, 10_lag_scpPSLjfm, 17_lag_eurPSLjfm_2535_5"
LinearRegression,7,10,traFB,shigh,1521.5,2005.5,0.6,22,1,1,13.712877031849107,0.15409253605423773,2665,"['4_lag_eapPSLjfm', '15_lag_traMC', '20_lag_scpPSLjfm', '15_lag_traBS', '1_lag_arcTSjfm', '16_lag_nchinaPRjja', '5_lag_stratZ50ndj02', '10_lag_scpPSLjfm', '6_lag_seurTSjfm', '17_lag_eurPSLjfm']","[0.0900813058235959, 0.12423525344077783, 0.04024826150481866, 0.0832395140738968, 0.052406509313728075, 0.03794200167695592, 0.05597201140795986, 0.03427516041635378, 0.10012809340274037, 0.085969358735176]","4_lag_eapPSLjfm, 15_lag_traMC, 20_lag_scpPSLjfm, 15_lag_traBS, 1_lag_arcTSjfm, 16_lag_nchinaPRjja, 5_lag_stratZ50ndj02, 10_lag_scpPSLjfm, 6_lag_seurTSjfm, 17_lag_eurPSLjfm_2665_1"
LinearRegression,8,10,traFB,shigh,1522.5,2005.5,0.6,23,1,1,13.308582600442296,0.043528787977360525,2795,"['19_lag_alpi', '8_lag_stratZ50ndj03', '15_lag_traBS', '16_lag_nchinaPRjja', '22_lag_traEC', '1_lag_arcTSjfm', '10_lag_scpPSLjfm', '5_lag_stratZ50ndj02', '6_lag_seurTSjfm', '17_lag_eurPSLjfm']","[0.0330323755680032, 0.02242738263539384, 0.10238513898930264, 0.033643927138426885, 0.022768073443132843, 0.03663515548438262, 0.04417169222988572, 0.04835714933622322, 0.09858160304081165, 0.07821283794269057]","19_lag_alpi, 8_lag_stratZ50ndj03, 15_lag_traBS, 16_lag_nchinaPRjja, 22_lag_traEC, 1_lag_arcTSjfm, 10_lag_scpPSLjfm, 5_lag_stratZ50ndj02, 6_lag_seurTSjfm, 17_lag_eurPSLjfm_2795_1"
LinearRegression,9,10,traFB,shigh,1523.5,2005.5,0.6,24,1,1,13.997795605240693,0.12382940518318383,2925,"['22_lag_traEC', '5_lag_yrvPRjja', '15_lag_traMC', '8_lag_stratZ50ndj03', '1_lag_arcTSjfm', '10_lag_tripol3', '5_lag_stratZ50ndj02', '10_lag_scpPSLjfm', '6_lag_seurTSjfm', '17_lag_eurPSLjfm']","[0.04106435637587839, 0.08538299103888734, 0.15416751608804516, 0.02233260430810654, 0.03172710269529076, 0.07821956656810918, 0.05471968709905718, 0.04341507373911581, 0.09881283305827306, 0.08059643517829757]","22_lag_traEC, 5_lag_yrvPRjja, 15_lag_traMC, 8_lag_stratZ50ndj03, 1_lag_arcTSjfm, 10_lag_tripol3, 5_lag_stratZ50ndj02, 10_lag_scpPSLjfm, 6_lag_seurTSjfm, 17_lag_eurPSLjfm_2925_1"
