model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traFS,shigh,1514.5,2005.5,0.8,15,5,5,14.36250371237621,0.08192518652157156,1235,"['5_lag_8_median_nchinaPRjja', '5_lag_9_median_scpPSLjfm', '11_lag_cetTSjfm', '5_lag_12_median_satlSSTjfm', '6_lag_nhSICsep', '5_lag_7_median_tripol1', '5_lag_14_median_solFORC', '5_lag_14_median_traFS', '12_lag_nppc2SSTjfm', '8_lag_traFS']","[7.6815068808317815, 3.755848167688411, 3.368101459114081, 0.4678182984432606, 3.1637011781610163, 0.6822512057968844, 1.8285565450782713, 0.6371676648113596, 2.5469524839148017, 4.512309638290204]","5_lag_8_median_nchinaPRjja, 5_lag_9_median_scpPSLjfm, 11_lag_cetTSjfm, 5_lag_12_median_satlSSTjfm, 6_lag_nhSICsep, 5_lag_7_median_tripol1, 5_lag_14_median_solFORC, 5_lag_14_median_traFS, 12_lag_nppc2SSTjfm, 8_lag_traFS_1235_5"
LRforcedPSO,1,10,traFS,shigh,1515.5,2005.5,0.8,16,6,6,14.751385283181913,0.18868472107343384,1235,"['6_lag_8_median_amo2', '6_lag_8_median_mhfIP30', '6_lag_10_median_traTLS', '11_lag_traFB', '6_lag_7_median_arcTSjfm', '6_lag_15_median_traDP', '8_lag_labSSTjfm', '6_lag_10_median_alpi', '7_lag_mhfATL45', '6_lag_12_median_pdoSSTjfm']","[4.213643250257835, 5.359628467400592, 6.561960822152009, 2.7331844875235625, 1.5106016663113326, 7.401124254053112, 1.4877502180686974, 0.2803095031734131, 1.400379100856215, 1.7431389853717345]","6_lag_8_median_amo2, 6_lag_8_median_mhfIP30, 6_lag_10_median_traTLS, 11_lag_traFB, 6_lag_7_median_arcTSjfm, 6_lag_15_median_traDP, 8_lag_labSSTjfm, 6_lag_10_median_alpi, 7_lag_mhfATL45, 6_lag_12_median_pdoSSTjfm_1235_6"
LRforcedPSO,2,10,traFS,shigh,1516.5,2005.5,0.8,17,7,7,12.411358339496221,0.4062399166852138,1235,"['9_lag_nhSICjfm', '10_lag_solFORC', '7_lag_14_median_wnorPRjfm', '13_lag_shTSjfm', '16_lag_seurTSjfm', '9_lag_samPSLann', '7_lag_15_median_glTSjfm', '9_lag_traEC', '7_lag_8_median_ensoSSTjfm', '14_lag_labSSTjfm']","[0.488772103308337, 4.812635998168895, 1.0170732263847775, 5.357871279929739, 3.1263665671548253, 3.80520877139843, 9.230798864292254, 4.4629159266366685, 1.439117674192989, 2.291558445908654]","9_lag_nhSICjfm, 10_lag_solFORC, 7_lag_14_median_wnorPRjfm, 13_lag_shTSjfm, 16_lag_seurTSjfm, 9_lag_samPSLann, 7_lag_15_median_glTSjfm, 9_lag_traEC, 7_lag_8_median_ensoSSTjfm, 14_lag_labSSTjfm_1235_7"
LRforcedPSO,3,10,traFS,shigh,1517.5,2005.5,0.8,18,8,8,17.129873951740183,0.08604357358810964,1235,"['8_lag_17_median_nhSICjfm', '17_lag_labSSTjfm', '16_lag_atlSICsep', '9_lag_scpPSLjfm', '13_lag_traEC', '8_lag_10_median_mhfATL45', '15_lag_yrvPRjja', '8_lag_11_median_ginwSSTjfm', '8_lag_13_median_nchinaPRjja', '8_lag_13_median_amoSSTmjjaso']","[1.056150957348441, 4.217212460316272, 9.12326252625004, 5.794838250178056, 2.085844206272718, 0.43767613034526853, 0.030707669689874706, 0.2561084556391364, 2.17984814727458, 3.672843986002963]","8_lag_17_median_nhSICjfm, 17_lag_labSSTjfm, 16_lag_atlSICsep, 9_lag_scpPSLjfm, 13_lag_traEC, 8_lag_10_median_mhfATL45, 15_lag_yrvPRjja, 8_lag_11_median_ginwSSTjfm, 8_lag_13_median_nchinaPRjja, 8_lag_13_median_amoSSTmjjaso_1235_8"
LRforcedPSO,4,10,traFS,shigh,1518.5,2005.5,0.8,19,9,9,23.437972818713387,-0.15329075954907753,1235,"['11_lag_glomaSSTjfm', '9_lag_17_median_yrvPRjja', '14_lag_tripol1', '9_lag_10_median_traFB', '9_lag_11_median_mhfATL60', '14_lag_nhSICjfm', '10_lag_traFB', '13_lag_scpPSLjfm', '9_lag_mhfIP30', '9_lag_12_median_AMOCann']","[1.080041149961339, 3.921098138998465, 3.1048150204359555, 6.982805612560167, 0.9165612660065143, 6.838468502238275, 3.128876261932332, 8.179231767183097, 5.172369480728902, 6.782490224611886]","11_lag_glomaSSTjfm, 9_lag_17_median_yrvPRjja, 14_lag_tripol1, 9_lag_10_median_traFB, 9_lag_11_median_mhfATL60, 14_lag_nhSICjfm, 10_lag_traFB, 13_lag_scpPSLjfm, 9_lag_mhfIP30, 9_lag_12_median_AMOCann_1235_9"
LRforcedPSO,5,10,traFS,shigh,1519.5,2005.5,0.8,20,10,10,14.07807616955956,0.25478591742887796,1235,"['14_lag_nhSICjfm', '10_lag_11_median_labSSTjfm', '15_lag_amoSSTmjjaso', '15_lag_traWP', '18_lag_neurTSjfm', '19_lag_ismPRjja', '19_lag_atlSICsep', '13_lag_seurTSjfm', '10_lag_13_median_labSSTjfm', '18_lag_wnorPRjfm']","[0.9907421664227662, 6.639511534905513, 0.6804607473891604, 7.0516838087017, 5.66202407453525, 2.2963608888905096, 2.907552679047363, 2.442951772207154, 1.1201419008638993, 5.615382736592537]","14_lag_nhSICjfm, 10_lag_11_median_labSSTjfm, 15_lag_amoSSTmjjaso, 15_lag_traWP, 18_lag_neurTSjfm, 19_lag_ismPRjja, 19_lag_atlSICsep, 13_lag_seurTSjfm, 10_lag_13_median_labSSTjfm, 18_lag_wnorPRjfm_1235_10"
LRforcedPSO,6,10,traFS,shigh,1520.5,2005.5,0.8,21,11,11,19.13427260611251,-0.2669166488251985,1235,"['19_lag_traDS', '11_lag_14_median_tripol3', '11_lag_14_median_mhfATL60', '16_lag_stratZ50ndj01', '11_lag_12_median_traCA', '11_lag_14_median_mhfATL30', '19_lag_nppc3SSTjfm', '11_lag_19_median_AMOCann', '17_lag_traCA', '15_lag_gyreSSTjfm']","[1.5196196358069223, 1.4631374297154451, 2.4666228618681334, 6.118476558671393, 1.5101328046748463, 4.368818400926595, 4.6826553944426585, 5.3846987291414585, 3.0085475683627845, 2.351196274850162]","19_lag_traDS, 11_lag_14_median_tripol3, 11_lag_14_median_mhfATL60, 16_lag_stratZ50ndj01, 11_lag_12_median_traCA, 11_lag_14_median_mhfATL30, 19_lag_nppc3SSTjfm, 11_lag_19_median_AMOCann, 17_lag_traCA, 15_lag_gyreSSTjfm_1235_11"
LRforcedPSO,7,10,traFS,shigh,1521.5,2005.5,0.8,22,12,12,16.1846151450186,-0.017627017894813395,1235,"['19_lag_AMOCann', '12_lag_20_median_stratZ50ndj03', '12_lag_13_median_seurTSjfm', '12_lag_15_median_traEC', '18_lag_amo3', '20_lag_ismPRjja', '20_lag_seurTSjfm', '12_lag_18_median_stratZ50ndj01', '12_lag_20_median_traEC', '21_lag_mhfATL30']","[3.6276088493178644, 4.130164403003254, 0.5721701867179796, 1.0773995938611343, 2.630271733327554, 0.6484604384167003, 3.0527652560686747, 4.463691995073127, 4.426309155669134, 3.20343647648005]","19_lag_AMOCann, 12_lag_20_median_stratZ50ndj03, 12_lag_13_median_seurTSjfm, 12_lag_15_median_traEC, 18_lag_amo3, 20_lag_ismPRjja, 20_lag_seurTSjfm, 12_lag_18_median_stratZ50ndj01, 12_lag_20_median_traEC, 21_lag_mhfATL30_1235_12"
LRforcedPSO,8,10,traFS,shigh,1522.5,2005.5,0.8,23,13,13,23.406969659795397,-0.35803814828416536,1235,"['13_lag_20_median_tripol3', '17_lag_stratZ50ndj02', '14_lag_tripol3', '14_lag_yrvPRjja', '13_lag_18_median_amo2', '13_lag_20_median_ismPRjja', '13_lag_15_median_scpPSLjfm', '14_lag_nhTSjfm', '13_lag_nppc3SSTjfm', '13_lag_tripol1']","[3.322231111091689, 2.904454284270206, 2.0768525081864198, 6.240145069981049, 5.543803614598621, 0.7213981916873902, 2.6073130191881333, 4.537360823621526, 1.9561297741258326, 3.3288263623193926]","13_lag_20_median_tripol3, 17_lag_stratZ50ndj02, 14_lag_tripol3, 14_lag_yrvPRjja, 13_lag_18_median_amo2, 13_lag_20_median_ismPRjja, 13_lag_15_median_scpPSLjfm, 14_lag_nhTSjfm, 13_lag_nppc3SSTjfm, 13_lag_tripol1_1235_13"
LRforcedPSO,9,10,traFS,shigh,1523.5,2005.5,0.8,24,14,14,19.41447549594357,-0.17874395706708784,1235,"['17_lag_naoPSLjfm', '23_lag_nchinaPRjja', '14_lag_16_median_ormenSSTjfm', '15_lag_tripol3', '17_lag_amo1', '16_lag_yrvPRjja', '17_lag_satlSSTjfm', '14_lag_16_median_AMOCann', '14_lag_15_median_nhSICjfm', '20_lag_stratZ50ndj03']","[5.579087002788112, 4.327996258541615, 2.4658402417098024, 5.043149955944171, 2.6336933562097578, 0.38026794734461866, 0.43225686381100736, 7.752158530473798, 3.495639673818225, 0.05142712114259851]","17_lag_naoPSLjfm, 23_lag_nchinaPRjja, 14_lag_16_median_ormenSSTjfm, 15_lag_tripol3, 17_lag_amo1, 16_lag_yrvPRjja, 17_lag_satlSSTjfm, 14_lag_16_median_AMOCann, 14_lag_15_median_nhSICjfm, 20_lag_stratZ50ndj03_1235_14"
