model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traFS,shigh,1514.5,2005.5,0.6,15,1,1,11.468341826312201,0.23877639254396732,1755,"['11_lag_traMC', '5_lag_eapPSLjfm', '7_lag_shSICmar', '1_lag_traEC', '8_lag_traWP', '13_lag_mhfATL45', '6_lag_traFB', '14_lag_nchinaPRjja', '9_lag_traFB', '8_lag_samPSLann', '12_lag_ismPRjja', '3_lag_atlSICjfm', '7_lag_nhSICsep', '10_lag_mhfIP30', '12_lag_scpPSLjfm', '1_lag_tripol2', '8_lag_mhfATL60', '11_lag_stratZ50ndj02', '11_lag_shSICmar', '1_lag_traFSC', '7_lag_traEC', '8_lag_scpPSLjfm', '14_lag_traTLS', '9_lag_AMOCann', '7_lag_stratZ50ndj04', '11_lag_yrvPRjja', '10_lag_traTLS', '1_lag_ismPRjja', '5_lag_yrvPRjja', '6_lag_ismPRjja']","[0.019047366206762627, 0.05676480607034179, 0.07017217502618524, 0.01987198549027181, 0.05313207571869169, 0.016654587533531114, 0.09769469390876143, 0.05340782990638466, 0.1863861034747583, 0.024710133378908736, 0.04210261356132242, 0.12308375616371317, 0.11010273074220261, 0.024463998569195598, 0.05935978981898136, 0.07549849596280432, 0.06074993668563302, 0.037252232538244306, 0.11658299350431994, 0.2752661983526513, 0.023141815948856517, 0.06459818545366397, 0.05713848469533869, 0.01012791803119912, 0.007872076833682705, 0.16157358389754295, 0.11397950975713007, 0.17215721546450707, 0.058283862202418504, 0.043445996049478894]","11_lag_traMC, 5_lag_eapPSLjfm, 7_lag_shSICmar, 1_lag_traEC, 8_lag_traWP, 13_lag_mhfATL45, 6_lag_traFB, 14_lag_nchinaPRjja, 9_lag_traFB, 8_lag_samPSLann, 12_lag_ismPRjja, 3_lag_atlSICjfm, 7_lag_nhSICsep, 10_lag_mhfIP30, 12_lag_scpPSLjfm, 1_lag_tripol2, 8_lag_mhfATL60, 11_lag_stratZ50ndj02, 11_lag_shSICmar, 1_lag_traFSC, 7_lag_traEC, 8_lag_scpPSLjfm, 14_lag_traTLS, 9_lag_AMOCann, 7_lag_stratZ50ndj04, 11_lag_yrvPRjja, 10_lag_traTLS, 1_lag_ismPRjja, 5_lag_yrvPRjja, 6_lag_ismPRjja_1755_1"
LinearRegression,1,30,traFS,shigh,1515.5,2005.5,0.6,16,1,1,10.806999784314911,0.31200246267223114,1885,"['1_lag_traEC', '3_lag_traBS', '1_lag_stratZ50ndj01', '13_lag_stratZ50ndj02', '4_lag_traFSC', '15_lag_nchinaPRjja', '12_lag_ismPRjja', '11_lag_traMC', '6_lag_traEU', '9_lag_eurPSLjfm', '10_lag_mhfIP30', '7_lag_nchinaPRjja', '1_lag_tripol2', '11_lag_shSICmar', '8_lag_mhfATL60', '8_lag_samPSLann', '11_lag_stratZ50ndj02', '14_lag_traTLS', '7_lag_traEC', '7_lag_nhSICsep', '12_lag_scpPSLjfm', '8_lag_scpPSLjfm', '1_lag_traFSC', '9_lag_AMOCann', '7_lag_stratZ50ndj04', '6_lag_ismPRjja', '1_lag_ismPRjja', '5_lag_yrvPRjja', '10_lag_traTLS', '11_lag_yrvPRjja']","[0.03708503563153982, 0.011442976015752712, 0.05879276802809093, 0.010445596736225742, 0.07257287498795677, 0.04098827961719427, 0.025271296254110204, 0.02029584138119101, 0.018920142440090593, 0.16510305787270113, 0.00035748881214610817, 0.09031191132937506, 0.07024215921972002, 0.10981587794351601, 0.10504320785431669, 0.018783987107344698, 0.0406447039114405, 0.07672169361193551, 0.001891184461936775, 0.08164146210679296, 0.09431079461062428, 0.04325078388358517, 0.20368276643035185, 0.10354193323965724, 0.005950882310713139, 0.0252274173068854, 0.18207042081236358, 0.060861879588002564, 0.09907316933523622, 0.15944292641730617]","1_lag_traEC, 3_lag_traBS, 1_lag_stratZ50ndj01, 13_lag_stratZ50ndj02, 4_lag_traFSC, 15_lag_nchinaPRjja, 12_lag_ismPRjja, 11_lag_traMC, 6_lag_traEU, 9_lag_eurPSLjfm, 10_lag_mhfIP30, 7_lag_nchinaPRjja, 1_lag_tripol2, 11_lag_shSICmar, 8_lag_mhfATL60, 8_lag_samPSLann, 11_lag_stratZ50ndj02, 14_lag_traTLS, 7_lag_traEC, 7_lag_nhSICsep, 12_lag_scpPSLjfm, 8_lag_scpPSLjfm, 1_lag_traFSC, 9_lag_AMOCann, 7_lag_stratZ50ndj04, 6_lag_ismPRjja, 1_lag_ismPRjja, 5_lag_yrvPRjja, 10_lag_traTLS, 11_lag_yrvPRjja_1885_1"
LinearRegression,2,30,traFS,shigh,1516.5,2005.5,0.6,17,1,1,11.714438090821961,0.1889246139927188,2015,"['4_lag_traBS', '13_lag_stratZ50ndj02', '9_lag_eurPSLjfm', '10_lag_mhfIP30', '7_lag_nchinaPRjja', '16_lag_atlSICsep', '10_lag_traEC', '1_lag_stratZ50ndj03', '11_lag_eapPSLjfm', '10_lag_traBS', '10_lag_stratZ50ndj01', '15_lag_nchinaPRjja', '7_lag_nhSICsep', '4_lag_traFSC', '12_lag_scpPSLjfm', '15_lag_scpPSLjfm', '1_lag_traFSC', '8_lag_mhfATL60', '11_lag_stratZ50ndj02', '9_lag_AMOCann', '7_lag_stratZ50ndj04', '1_lag_stratZ50ndj01', '14_lag_traTLS', '1_lag_ismPRjja', '16_lag_mhfATL30', '6_lag_ismPRjja', '10_lag_traTLS', '11_lag_yrvPRjja', '5_lag_yrvPRjja', '16_lag_nchinaPRjja']","[0.0064968848580026954, 0.01638720865508754, 0.1659019545275375, 0.030607894250636477, 0.07588491019422709, 0.15149018889551963, 0.04725596760112728, 0.042202863415010304, 0.02142790494993186, 0.009217455551968378, 0.08911913353108905, 0.05766407799770441, 0.09630850595117023, 0.06894131318528117, 0.10297179697035222, 0.05351022568357964, 0.2266847289442155, 0.09248112970215105, 0.055924061932639116, 0.0703780121560089, 0.012345575098667969, 0.04952078680916312, 0.08498572369706332, 0.17141136923383346, 0.003408921143807026, 0.011597136906210797, 0.06680604242306667, 0.1550796504377042, 0.046765503175137974, 0.07478031453994906]","4_lag_traBS, 13_lag_stratZ50ndj02, 9_lag_eurPSLjfm, 10_lag_mhfIP30, 7_lag_nchinaPRjja, 16_lag_atlSICsep, 10_lag_traEC, 1_lag_stratZ50ndj03, 11_lag_eapPSLjfm, 10_lag_traBS, 10_lag_stratZ50ndj01, 15_lag_nchinaPRjja, 7_lag_nhSICsep, 4_lag_traFSC, 12_lag_scpPSLjfm, 15_lag_scpPSLjfm, 1_lag_traFSC, 8_lag_mhfATL60, 11_lag_stratZ50ndj02, 9_lag_AMOCann, 7_lag_stratZ50ndj04, 1_lag_stratZ50ndj01, 14_lag_traTLS, 1_lag_ismPRjja, 16_lag_mhfATL30, 6_lag_ismPRjja, 10_lag_traTLS, 11_lag_yrvPRjja, 5_lag_yrvPRjja, 16_lag_nchinaPRjja_2015_1"
LinearRegression,3,30,traFS,shigh,1517.5,2005.5,0.6,18,1,1,11.477225618292579,0.19374048301814376,2145,"['4_lag_traBS', '10_lag_traEC', '12_lag_scpPSLjfm', '11_lag_stratZ50ndj02', '4_lag_traFSC', '8_lag_mhfATL60', '8_lag_atlSICsep', '3_lag_traBS', '17_lag_shSICsep', '1_lag_stratZ50ndj03', '9_lag_eurPSLjfm', '15_lag_scpPSLjfm', '6_lag_ismPRjja', '11_lag_eapPSLjfm', '7_lag_stratZ50ndj04', '12_lag_ismPRjja', '1_lag_traEC', '9_lag_AMOCann', '7_lag_nchinaPRjja', '10_lag_traBS', '14_lag_traTLS', '7_lag_nhSICsep', '15_lag_nchinaPRjja', '1_lag_traFSC', '1_lag_stratZ50ndj01', '16_lag_mhfATL30', '10_lag_traTLS', '11_lag_yrvPRjja', '16_lag_nchinaPRjja', '5_lag_yrvPRjja']","[0.0013278318327610034, 0.040324612259544146, 0.09119681865390009, 0.056622954144969664, 0.08323982291863095, 0.09882841261080072, 0.16389759067439896, 0.03204983397746289, 0.1151648563143599, 0.0528793583167249, 0.16274954255263407, 0.06997522658741717, 0.003936395552943364, 0.049531162510355047, 0.00861365872451954, 0.01588784401891134, 0.009636618487555608, 0.05720992228998729, 0.11110378740543952, 0.013951289674605818, 0.07676166937316443, 0.1488961267977511, 0.021948561049565544, 0.23080681330535735, 0.03199936516408427, 0.02790998557952635, 0.07090312387671423, 0.11918272125591067, 0.06959308090760934, 0.047530786566486745]","4_lag_traBS, 10_lag_traEC, 12_lag_scpPSLjfm, 11_lag_stratZ50ndj02, 4_lag_traFSC, 8_lag_mhfATL60, 8_lag_atlSICsep, 3_lag_traBS, 17_lag_shSICsep, 1_lag_stratZ50ndj03, 9_lag_eurPSLjfm, 15_lag_scpPSLjfm, 6_lag_ismPRjja, 11_lag_eapPSLjfm, 7_lag_stratZ50ndj04, 12_lag_ismPRjja, 1_lag_traEC, 9_lag_AMOCann, 7_lag_nchinaPRjja, 10_lag_traBS, 14_lag_traTLS, 7_lag_nhSICsep, 15_lag_nchinaPRjja, 1_lag_traFSC, 1_lag_stratZ50ndj01, 16_lag_mhfATL30, 10_lag_traTLS, 11_lag_yrvPRjja, 16_lag_nchinaPRjja, 5_lag_yrvPRjja_2145_1"
LinearRegression,4,30,traFS,shigh,1518.5,2005.5,0.6,19,1,1,11.164445694981964,0.3008884929918066,2275,"['4_lag_traFSC', '6_lag_ismPRjja', '16_lag_scpPSLjfm', '12_lag_scpPSLjfm', '1_lag_tripol3', '3_lag_atlSICjfm', '8_lag_atlSICsep', '13_lag_stratZ50ndj02', '8_lag_samPSLann', '8_lag_mhfATL60', '9_lag_AMOCann', '18_lag_cetTSjfm', '1_lag_stratZ50ndj01', '18_lag_shSICsep', '7_lag_stratZ50ndj04', '7_lag_nhSICsep', '9_lag_eurPSLjfm', '14_lag_traTLS', '12_lag_ismPRjja', '1_lag_traEC', '1_lag_traFSC', '15_lag_nchinaPRjja', '3_lag_traBS', '10_lag_traBS', '16_lag_mhfATL30', '7_lag_nchinaPRjja', '10_lag_traTLS', '11_lag_yrvPRjja', '16_lag_nchinaPRjja', '5_lag_yrvPRjja']","[0.027379535332341977, 0.011520667012039201, 0.05519127129561517, 0.07660459659849037, 0.15450042851965334, 0.1251488968234812, 0.16605666803554517, 0.01256911429819923, 0.010525053471162336, 0.11542644146668503, 0.021191646759768878, 0.08851323637671822, 0.020352489765254805, 0.09763816634515188, 0.015657813668743182, 0.14194393833375607, 0.13344819978550343, 0.06672692709032593, 0.013616032038003748, 0.0010026747976485937, 0.27463821955262085, 0.01767151480148856, 0.029411068579574155, 0.027877386971643256, 0.012889542289572033, 0.11323097003960762, 0.07497845302259491, 0.1203793493488991, 0.08401578801968572, 0.03243283184226384]","4_lag_traFSC, 6_lag_ismPRjja, 16_lag_scpPSLjfm, 12_lag_scpPSLjfm, 1_lag_tripol3, 3_lag_atlSICjfm, 8_lag_atlSICsep, 13_lag_stratZ50ndj02, 8_lag_samPSLann, 8_lag_mhfATL60, 9_lag_AMOCann, 18_lag_cetTSjfm, 1_lag_stratZ50ndj01, 18_lag_shSICsep, 7_lag_stratZ50ndj04, 7_lag_nhSICsep, 9_lag_eurPSLjfm, 14_lag_traTLS, 12_lag_ismPRjja, 1_lag_traEC, 1_lag_traFSC, 15_lag_nchinaPRjja, 3_lag_traBS, 10_lag_traBS, 16_lag_mhfATL30, 7_lag_nchinaPRjja, 10_lag_traTLS, 11_lag_yrvPRjja, 16_lag_nchinaPRjja, 5_lag_yrvPRjja_2275_1"
LinearRegression,5,30,traFS,shigh,1519.5,2005.5,0.6,20,1,1,11.100893580689961,0.32714699843983464,2405,"['1_lag_tripol3', '18_lag_cetTSjfm', '1_lag_ismPRjja', '18_lag_scpPSLjfm', '1_lag_traDS', '19_lag_traEC', '11_lag_mhfATL30', '9_lag_AMOCann', '14_lag_samPSLann', '1_lag_traEC', '1_lag_stratZ50ndj03', '14_lag_ismPRjja', '3_lag_traBS', '12_lag_ismPRjja', '13_lag_traMC', '8_lag_samPSLann', '1_lag_stratZ50ndj01', '16_lag_mhfATL30', '7_lag_nhSICsep', '9_lag_eurPSLjfm', '10_lag_traBS', '14_lag_traTLS', '7_lag_nchinaPRjja', '15_lag_nchinaPRjja', '19_lag_scpPSLjfm', '11_lag_yrvPRjja', '10_lag_traTLS', '1_lag_traFSC', '5_lag_yrvPRjja', '16_lag_nchinaPRjja']","[0.10170802690039954, 0.12504790196222237, 0.19671247472173106, 0.09601111124143033, 0.07468902900081524, 0.07819986579979345, 0.13969909156563382, 0.006212090087347387, 0.11586399748959816, 0.10757526040419464, 0.03143657640488303, 0.057388187851475564, 0.07204514968308072, 0.025528983759882624, 0.033704272082307266, 0.0031052700733121214, 0.038359797416816235, 0.07474404487666003, 0.11627009198675957, 0.1288879402504748, 0.017013074871136666, 0.01893542244713948, 0.07509680092035834, 0.02547241185577058, 0.11177892661844281, 0.1687264292914147, 0.07704735613322582, 0.27594912997497584, 0.06646118376387444, 0.0914546068763295]","1_lag_tripol3, 18_lag_cetTSjfm, 1_lag_ismPRjja, 18_lag_scpPSLjfm, 1_lag_traDS, 19_lag_traEC, 11_lag_mhfATL30, 9_lag_AMOCann, 14_lag_samPSLann, 1_lag_traEC, 1_lag_stratZ50ndj03, 14_lag_ismPRjja, 3_lag_traBS, 12_lag_ismPRjja, 13_lag_traMC, 8_lag_samPSLann, 1_lag_stratZ50ndj01, 16_lag_mhfATL30, 7_lag_nhSICsep, 9_lag_eurPSLjfm, 10_lag_traBS, 14_lag_traTLS, 7_lag_nchinaPRjja, 15_lag_nchinaPRjja, 19_lag_scpPSLjfm, 11_lag_yrvPRjja, 10_lag_traTLS, 1_lag_traFSC, 5_lag_yrvPRjja, 16_lag_nchinaPRjja_2405_1"
LinearRegression,6,30,traFS,shigh,1520.5,2005.5,0.6,21,1,1,11.89579121712182,0.19749663548320717,2535,"['9_lag_AMOCann', '18_lag_stratZ50ndj03', '1_lag_traDS', '18_lag_yrvPRjja', '18_lag_shSICsep', '11_lag_shSICmar', '8_lag_samPSLann', '1_lag_ismPRjja', '16_lag_mhfATL30', '14_lag_samPSLann', '20_lag_ginwSSTjfm', '3_lag_traBS', '1_lag_stratZ50ndj03', '10_lag_traBS', '13_lag_traMC', '12_lag_ismPRjja', '7_lag_nhSICsep', '14_lag_traTLS', '9_lag_eurPSLjfm', '20_lag_nchinaPRjja', '1_lag_stratZ50ndj01', '19_lag_scpPSLjfm', '15_lag_nchinaPRjja', '11_lag_yrvPRjja', '10_lag_traTLS', '1_lag_traFSC', '7_lag_nchinaPRjja', '20_lag_stratZ50ndj02', '5_lag_yrvPRjja', '16_lag_nchinaPRjja']","[0.02264844554210304, 0.04133017152364677, 0.11911244684297624, 0.04084453504181829, 0.08215184866974334, 0.11314364369620496, 0.013885371269151668, 0.1556777020878407, 0.010216272396180708, 0.10474725537930764, 0.23724922395808148, 0.052874218843962456, 0.06023442648767333, 0.037380409222820314, 0.005793184205460489, 0.05398546815995817, 0.08473640912250627, 0.06862521473063384, 0.15012421259212902, 0.11334702362143034, 0.051344889385342145, 0.08398980547258983, 0.027471618339083972, 0.10083328023159632, 0.07563965402357958, 0.3074468438828934, 0.0679596281099572, 0.09487535988960037, 0.09196616569049286, 0.10814597632061836]","9_lag_AMOCann, 18_lag_stratZ50ndj03, 1_lag_traDS, 18_lag_yrvPRjja, 18_lag_shSICsep, 11_lag_shSICmar, 8_lag_samPSLann, 1_lag_ismPRjja, 16_lag_mhfATL30, 14_lag_samPSLann, 20_lag_ginwSSTjfm, 3_lag_traBS, 1_lag_stratZ50ndj03, 10_lag_traBS, 13_lag_traMC, 12_lag_ismPRjja, 7_lag_nhSICsep, 14_lag_traTLS, 9_lag_eurPSLjfm, 20_lag_nchinaPRjja, 1_lag_stratZ50ndj01, 19_lag_scpPSLjfm, 15_lag_nchinaPRjja, 11_lag_yrvPRjja, 10_lag_traTLS, 1_lag_traFSC, 7_lag_nchinaPRjja, 20_lag_stratZ50ndj02, 5_lag_yrvPRjja, 16_lag_nchinaPRjja_2535_1"
LinearRegression,7,30,traFS,shigh,1521.5,2005.5,0.6,22,1,1,12.007660432068397,0.2028140721900901,2665,"['18_lag_shSICsep', '3_lag_traBS', '14_lag_samPSLann', '18_lag_stratZ50ndj03', '18_lag_scpPSLjfm', '18_lag_cetTSjfm', '21_lag_ginwSSTjfm', '16_lag_mhfATL30', '7_lag_nhSICsep', '20_lag_ginwSSTjfm', '10_lag_traBS', '11_lag_yrvPRjja', '21_lag_scpPSLjfm', '13_lag_traMC', '1_lag_traDS', '15_lag_nchinaPRjja', '14_lag_traTLS', '1_lag_ismPRjja', '1_lag_stratZ50ndj01', '8_lag_samPSLann', '9_lag_eurPSLjfm', '5_lag_yrvPRjja', '12_lag_ismPRjja', '20_lag_nchinaPRjja', '19_lag_scpPSLjfm', '10_lag_traTLS', '20_lag_stratZ50ndj02', '7_lag_nchinaPRjja', '16_lag_nchinaPRjja', '1_lag_traFSC']","[0.10146683047755878, 0.08062359081818246, 0.106545768253084, 0.04646136781363628, 0.0776746365721413, 0.16504925283315325, 0.1991016923512647, 0.0036005522037582858, 0.05279591656169569, 0.17691834729751335, 0.036682298632998954, 0.11182868813861609, 0.00213433377583966, 0.024761997876207725, 0.10492159924404901, 0.02346250370165749, 0.0766767477209188, 0.16587244168479792, 0.03468618930587297, 0.0001416905611453332, 0.13278929093945546, 0.0830493090951527, 0.0752646784823238, 0.11887951131202798, 0.10673688923947755, 0.0995974402485543, 0.08348280622017416, 0.0823581215003796, 0.10324421429726607, 0.30885386215280863]","18_lag_shSICsep, 3_lag_traBS, 14_lag_samPSLann, 18_lag_stratZ50ndj03, 18_lag_scpPSLjfm, 18_lag_cetTSjfm, 21_lag_ginwSSTjfm, 16_lag_mhfATL30, 7_lag_nhSICsep, 20_lag_ginwSSTjfm, 10_lag_traBS, 11_lag_yrvPRjja, 21_lag_scpPSLjfm, 13_lag_traMC, 1_lag_traDS, 15_lag_nchinaPRjja, 14_lag_traTLS, 1_lag_ismPRjja, 1_lag_stratZ50ndj01, 8_lag_samPSLann, 9_lag_eurPSLjfm, 5_lag_yrvPRjja, 12_lag_ismPRjja, 20_lag_nchinaPRjja, 19_lag_scpPSLjfm, 10_lag_traTLS, 20_lag_stratZ50ndj02, 7_lag_nchinaPRjja, 16_lag_nchinaPRjja, 1_lag_traFSC_2665_1"
LinearRegression,8,30,traFS,shigh,1522.5,2005.5,0.6,23,1,1,12.296302473847682,0.17188799068601646,2795,"['14_lag_samPSLann', '11_lag_shSICmar', '20_lag_traIFC', '21_lag_ginwSSTjfm', '18_lag_shSICsep', '14_lag_shSICmar', '10_lag_traBS', '14_lag_ismPRjja', '16_lag_mhfATL30', '14_lag_traTLS', '20_lag_ginwSSTjfm', '11_lag_yrvPRjja', '1_lag_traDS', '3_lag_traBS', '22_lag_stratZ50ndj01', '1_lag_ismPRjja', '1_lag_stratZ50ndj01', '12_lag_ismPRjja', '5_lag_yrvPRjja', '7_lag_nhSICsep', '8_lag_samPSLann', '19_lag_scpPSLjfm', '9_lag_eurPSLjfm', '20_lag_nchinaPRjja', '10_lag_traTLS', '21_lag_scpPSLjfm', '20_lag_stratZ50ndj02', '16_lag_nchinaPRjja', '1_lag_traFSC', '7_lag_nchinaPRjja']","[0.09107542389858121, 0.057602346116996744, 0.009013373122527375, 0.16402647237285514, 0.06804607245226293, 0.0926788215775891, 0.03332467660917895, 0.026323336667096072, 0.01274481992157803, 0.04332842357327038, 0.16733206418527102, 0.10940840885170619, 0.11789490648809776, 0.032864751361957496, 0.035552011341130375, 0.158228538485596, 0.049520580701245015, 0.06844202306035103, 0.0699269519349382, 0.07749429783385517, 0.014641921574494962, 0.08169657457227086, 0.12308306055343722, 0.11288550263064605, 0.07483129874514892, 0.01444017004688467, 0.08107672027607987, 0.09393347281567012, 0.31274082787146584, 0.0776621202158411]","14_lag_samPSLann, 11_lag_shSICmar, 20_lag_traIFC, 21_lag_ginwSSTjfm, 18_lag_shSICsep, 14_lag_shSICmar, 10_lag_traBS, 14_lag_ismPRjja, 16_lag_mhfATL30, 14_lag_traTLS, 20_lag_ginwSSTjfm, 11_lag_yrvPRjja, 1_lag_traDS, 3_lag_traBS, 22_lag_stratZ50ndj01, 1_lag_ismPRjja, 1_lag_stratZ50ndj01, 12_lag_ismPRjja, 5_lag_yrvPRjja, 7_lag_nhSICsep, 8_lag_samPSLann, 19_lag_scpPSLjfm, 9_lag_eurPSLjfm, 20_lag_nchinaPRjja, 10_lag_traTLS, 21_lag_scpPSLjfm, 20_lag_stratZ50ndj02, 16_lag_nchinaPRjja, 1_lag_traFSC, 7_lag_nchinaPRjja_2795_1"
LinearRegression,9,30,traFS,shigh,1523.5,2005.5,0.6,24,1,1,12.286319634892461,0.20652514183771345,2925,"['14_lag_samPSLann', '23_lag_wnorPRjfm', '23_lag_traFS', '14_lag_shSICmar', '14_lag_ismPRjja', '21_lag_neurTSjfm', '12_lag_ismPRjja', '5_lag_yrvPRjja', '10_lag_traBS', '1_lag_traBS', '14_lag_traTLS', '3_lag_traBS', '3_lag_stratZ50ndj02', '11_lag_yrvPRjja', '21_lag_ginwSSTjfm', '15_lag_nchinaPRjja', '22_lag_stratZ50ndj01', '9_lag_eurPSLjfm', '10_lag_traTLS', '1_lag_traDS', '7_lag_nhSICsep', '20_lag_nchinaPRjja', '21_lag_scpPSLjfm', '1_lag_ismPRjja', '8_lag_samPSLann', '7_lag_nchinaPRjja', '20_lag_stratZ50ndj02', '19_lag_scpPSLjfm', '1_lag_traFSC', '16_lag_nchinaPRjja']","[0.08651942598909691, 0.037938846765507905, 0.1214591701269791, 0.13674690886913032, 0.046160742065339634, 0.08091059498519113, 0.05481719238592651, 0.06424080192164036, 0.01291863682209087, 0.04242988011554821, 0.03171157266327088, 0.024159501306699728, 0.0052704938385771186, 0.12115005871046253, 0.2360286839521338, 0.022025896862557355, 0.026187569848773004, 0.10979416110598311, 0.06463457405732113, 0.10350613213896309, 0.08916534914062155, 0.10828299589253253, 0.015967932366692902, 0.17261063436279503, 0.008545337241041971, 0.08254482651145269, 0.051338445219077336, 0.10037101562516501, 0.3190515277838121, 0.07083809277506868]","14_lag_samPSLann, 23_lag_wnorPRjfm, 23_lag_traFS, 14_lag_shSICmar, 14_lag_ismPRjja, 21_lag_neurTSjfm, 12_lag_ismPRjja, 5_lag_yrvPRjja, 10_lag_traBS, 1_lag_traBS, 14_lag_traTLS, 3_lag_traBS, 3_lag_stratZ50ndj02, 11_lag_yrvPRjja, 21_lag_ginwSSTjfm, 15_lag_nchinaPRjja, 22_lag_stratZ50ndj01, 9_lag_eurPSLjfm, 10_lag_traTLS, 1_lag_traDS, 7_lag_nhSICsep, 20_lag_nchinaPRjja, 21_lag_scpPSLjfm, 1_lag_ismPRjja, 8_lag_samPSLann, 7_lag_nchinaPRjja, 20_lag_stratZ50ndj02, 19_lag_scpPSLjfm, 1_lag_traFSC, 16_lag_nchinaPRjja_2925_1"
