model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,traFSC,shigh,1714.5,2005.5,0.6,15,5,5,18.23198081585452,0.11450186814183873,1235,"['5_lag_10_median_glTSjfm', '14_lag_samPSLann', '5_lag_6_median_nhSICsep', '5_lag_6_median_traIT', '5_lag_10_median_traIT', '9_lag_shSICsep']","[2.441735143233243, 2.372114489122329, 1.954676775012484, 2.3635025961954925, 1.9595399631506005, 2.0113729358813877]","5_lag_10_median_glTSjfm, 14_lag_samPSLann, 5_lag_6_median_nhSICsep, 5_lag_6_median_traIT, 5_lag_10_median_traIT, 9_lag_shSICsep_1235_5"
LRforcedPSO,1,6,traFSC,shigh,1715.5,2005.5,0.6,16,6,6,19.568513277522072,-0.09078582665897246,1235,"['14_lag_arcTSjfm', '11_lag_amo3', '6_lag_12_median_atlSICsep', '7_lag_eapPSLjfm', '14_lag_ensoSSTjfm', '12_lag_amo2']","[2.1140682345567985, 6.035929576354494, 5.526967803236049, 2.5448157883701272, 1.6241538491868024, 1.5435905691749028]","14_lag_arcTSjfm, 11_lag_amo3, 6_lag_12_median_atlSICsep, 7_lag_eapPSLjfm, 14_lag_ensoSSTjfm, 12_lag_amo2_1235_6"
LRforcedPSO,2,6,traFSC,shigh,1716.5,2005.5,0.6,17,7,7,18.301110784462587,0.030358276362695242,1235,"['7_lag_12_median_stratZ50ndj04', '9_lag_gyreSSTjfm', '7_lag_15_median_scpPSLjfm', '14_lag_mhfIP30', '13_lag_traDS', '7_lag_15_median_traBS']","[2.3535868363466146, 2.138182261811532, 2.6007476067863804, 2.604428360073012, 2.667716329075539, 2.1051829590022955]","7_lag_12_median_stratZ50ndj04, 9_lag_gyreSSTjfm, 7_lag_15_median_scpPSLjfm, 14_lag_mhfIP30, 13_lag_traDS, 7_lag_15_median_traBS_1235_7"
LRforcedPSO,3,6,traFSC,shigh,1717.5,2005.5,0.6,18,8,8,21.324224924842646,-0.2055096761734905,1235,"['16_lag_traDS', '12_lag_AMOCann', '8_lag_traFB', '8_lag_15_median_gyreSSTjfm', '13_lag_glTSjfm', '11_lag_nhSICjfm']","[1.8764739633302896, 2.0025334317131493, 2.349610654270587, 2.222348851380283, 2.3145180693347105, 2.494149067860708]","16_lag_traDS, 12_lag_AMOCann, 8_lag_traFB, 8_lag_15_median_gyreSSTjfm, 13_lag_glTSjfm, 11_lag_nhSICjfm_1235_8"
LRforcedPSO,4,6,traFSC,shigh,1718.5,2005.5,0.6,19,9,9,19.40259707549993,0.0059094904126457395,1235,"['9_lag_16_median_traFSC', '12_lag_tripol3', '9_lag_14_median_yrvPRjja', '9_lag_13_median_yrvPRjja', '9_lag_18_median_amoSSTmjjaso', '12_lag_shSICmar']","[9.441555442361889, 3.227796352083292, 1.9091451367162833, 1.4768339098998666, 0.5808420836032226, 1.709481184917852]","9_lag_16_median_traFSC, 12_lag_tripol3, 9_lag_14_median_yrvPRjja, 9_lag_13_median_yrvPRjja, 9_lag_18_median_amoSSTmjjaso, 12_lag_shSICmar_1235_9"
LRforcedPSO,5,6,traFSC,shigh,1719.5,2005.5,0.6,20,10,10,17.494248728613826,0.050518666776950515,1235,"['13_lag_amo3', '10_lag_18_median_traWP', '10_lag_18_median_ginwSSTjfm', '19_lag_stratZ50ndj01', '10_lag_18_median_atlSICjfm', '10_lag_16_median_stratZ50ndj02']","[5.904708200959696, 1.1526677293288383, 2.4508960097025163, 5.415450078985078, 5.314544809767819, 2.1588096670877377]","13_lag_amo3, 10_lag_18_median_traWP, 10_lag_18_median_ginwSSTjfm, 19_lag_stratZ50ndj01, 10_lag_18_median_atlSICjfm, 10_lag_16_median_stratZ50ndj02_1235_10"
LRforcedPSO,6,6,traFSC,shigh,1720.5,2005.5,0.6,21,11,11,18.260592111161476,-0.29932828525620364,1235,"['11_lag_12_median_traTLS', '11_lag_19_median_tripol2', '11_lag_17_median_amo3', '18_lag_samPSLann', '11_lag_19_median_tripol1', '19_lag_arcTSjfm']","[1.2617189355210392, 1.6772799255332882, 1.46176157151452, 1.296547954249073, 1.3467541835855408, 1.3490713253642779]","11_lag_12_median_traTLS, 11_lag_19_median_tripol2, 11_lag_17_median_amo3, 18_lag_samPSLann, 11_lag_19_median_tripol1, 19_lag_arcTSjfm_1235_11"
LRforcedPSO,7,6,traFSC,shigh,1721.5,2005.5,0.6,22,12,12,18.403307837485425,-0.06047292520685869,1235,"['20_lag_nppc2SSTjfm', '12_lag_17_median_alpi', '12_lag_14_median_traIFC', '12_lag_13_median_traFB', '19_lag_traCA', '12_lag_16_median_alpi']","[1.7625489497382567, 0.8790088845165691, 0.35553363411492, 2.708749036154183, 3.5175056220949568, 3.8418540462207833]","20_lag_nppc2SSTjfm, 12_lag_17_median_alpi, 12_lag_14_median_traIFC, 12_lag_13_median_traFB, 19_lag_traCA, 12_lag_16_median_alpi_1235_12"
LRforcedPSO,8,6,traFSC,shigh,1722.5,2005.5,0.6,23,13,13,19.420808509988085,-0.2393908319050037,1235,"['15_lag_glomaSSTjfm', '18_lag_atlSICjfm', '13_lag_20_median_amo3', '13_lag_18_median_amo2', '14_lag_AMOCann', '13_lag_16_median_traFSC']","[1.2983613532362028, 7.433490546736323, 3.147188998918258, 1.7633651865195343, 3.4975615085280722, 1.1985506867064046]","15_lag_glomaSSTjfm, 18_lag_atlSICjfm, 13_lag_20_median_amo3, 13_lag_18_median_amo2, 14_lag_AMOCann, 13_lag_16_median_traFSC_1235_13"
LRforcedPSO,9,6,traFSC,shigh,1723.5,2005.5,0.6,24,14,14,17.52347246169602,0.19361413124626653,1235,"['14_lag_cetTSjfm', '21_lag_amo3', '22_lag_tripol2', '14_lag_19_median_tripol1', '17_lag_traMC', '14_lag_21_median_shSICsep']","[2.0787942111004085, 2.193725884325362, 6.755311407863958, 3.2622912317201695, 2.8581210637725762, 6.143139137108985]","14_lag_cetTSjfm, 21_lag_amo3, 22_lag_tripol2, 14_lag_19_median_tripol1, 17_lag_traMC, 14_lag_21_median_shSICsep_1235_14"
LRforcedPSO,10,6,traFSC,shigh,1724.5,2005.5,0.6,25,15,15,19.161649633519673,-0.07187132607630796,1235,"['15_lag_22_median_amo1', '21_lag_ensoSSTjfm', '15_lag_20_median_arcTSjfm', '20_lag_ismPRjja', '15_lag_20_median_ensoSSTjfm', '15_lag_17_median_mhfATL45']","[0.47977959270285453, 1.9911825555023626, 1.6014436463654587, 0.44031425207818664, 7.5407974196830025, 0.5243142784725823]","15_lag_22_median_amo1, 21_lag_ensoSSTjfm, 15_lag_20_median_arcTSjfm, 20_lag_ismPRjja, 15_lag_20_median_ensoSSTjfm, 15_lag_17_median_mhfATL45_1235_15"
LRforcedPSO,11,6,traFSC,shigh,1725.5,2005.5,0.6,26,16,16,16.385581425238644,0.26109949181078174,1235,"['23_lag_eurPSLjfm', '16_lag_21_median_amoSSTmjjaso', '19_lag_solFORC', '20_lag_tripol3', '16_lag_18_median_ginwSSTjfm', '16_lag_25_median_traBS']","[1.7918510768286924, 1.8031322472401181, 2.3854920553177683, 1.8037241037688434, 1.7892457381656623, 1.7930720472541688]","23_lag_eurPSLjfm, 16_lag_21_median_amoSSTmjjaso, 19_lag_solFORC, 20_lag_tripol3, 16_lag_18_median_ginwSSTjfm, 16_lag_25_median_traBS_1235_16"
LRforcedPSO,12,6,traFSC,shigh,1726.5,2005.5,0.6,27,17,17,18.53754482054432,0.04713683639981353,1235,"['17_lag_traFS', '17_lag_19_median_naoPSLjfm', '18_lag_eurPSLjfm', '17_lag_naoPSLjfm', '17_lag_nhSICjfm', '17_lag_26_median_ormenSSTjfm']","[2.6902935075298977, 1.9347145673013877, 0.520184763552141, 0.09953943899929918, 8.342564466780683, 8.62210860031248]","17_lag_traFS, 17_lag_19_median_naoPSLjfm, 18_lag_eurPSLjfm, 17_lag_naoPSLjfm, 17_lag_nhSICjfm, 17_lag_26_median_ormenSSTjfm_1235_17"
