model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,traIFC,shigh,1514.5,2005.5,0.6,15,5,5,19.386964599594602,-0.11681797314957476,1235,"['13_lag_traEU', '12_lag_pdoSSTjfm', '11_lag_atlSICsep', '5_lag_8_median_solFORC', '5_lag_11_median_eurPSLjfm', '11_lag_amo2']","[1.097042393712485, 1.7984282617623943, 7.7086065901299, 2.5087047118523547, 1.3629439529084664, 4.631600326717578]","13_lag_traEU, 12_lag_pdoSSTjfm, 11_lag_atlSICsep, 5_lag_8_median_solFORC, 5_lag_11_median_eurPSLjfm, 11_lag_amo2_1235_5"
LRforcedPSO,1,6,traIFC,shigh,1515.5,2005.5,0.6,16,6,6,14.14338344370826,0.11637590289343085,1235,"['12_lag_traCA', '6_lag_15_median_gyreSSTjfm', '10_lag_labSSTjfm', '12_lag_atlSICsep', '6_lag_8_median_alpi', '6_lag_12_median_ginwSSTjfm']","[2.6309379525047945, 9.07449891618224, 3.010260595883503, 0.8453807414742638, 5.048514240740028, 1.0338968473193777]","12_lag_traCA, 6_lag_15_median_gyreSSTjfm, 10_lag_labSSTjfm, 12_lag_atlSICsep, 6_lag_8_median_alpi, 6_lag_12_median_ginwSSTjfm_1235_6"
LRforcedPSO,2,6,traIFC,shigh,1516.5,2005.5,0.6,17,7,7,13.467417962404499,0.05823608970581784,1235,"['7_lag_stratZ50ndj01', '7_lag_amo3', '10_lag_mhfATL60', '9_lag_seurTSjfm', '7_lag_9_median_atlSICjfm', '7_lag_11_median_ismPRjja']","[1.8904865970244344, 1.8905202681427629, 2.3289647294445657, 1.890760367943739, 2.520602988398633, 2.520647839784831]","7_lag_stratZ50ndj01, 7_lag_amo3, 10_lag_mhfATL60, 9_lag_seurTSjfm, 7_lag_9_median_atlSICjfm, 7_lag_11_median_ismPRjja_1235_7"
LRforcedPSO,3,6,traIFC,shigh,1517.5,2005.5,0.6,18,8,8,13.958878547933,0.045250914636404085,1235,"['17_lag_labSSTjfm', '8_lag_16_median_seurTSjfm', '8_lag_9_median_traFS', '8_lag_16_median_yrvPRjja', '8_lag_9_median_amo3', '10_lag_solFORC']","[2.257707507875494, 2.334451244546609, 3.0095033279525323, 2.4535013502100913, 2.8075930039621313, 2.2582323852396584]","17_lag_labSSTjfm, 8_lag_16_median_seurTSjfm, 8_lag_9_median_traFS, 8_lag_16_median_yrvPRjja, 8_lag_9_median_amo3, 10_lag_solFORC_1235_8"
LRforcedPSO,4,6,traIFC,shigh,1518.5,2005.5,0.6,19,9,9,15.092932594812329,0.06337014986817088,1235,"['15_lag_AMOCann', '14_lag_tripol3', '9_lag_10_median_nchinaPRjja', '18_lag_traFSC', '9_lag_14_median_stratZ50ndj03', '9_lag_11_median_stratZ50ndj04']","[4.244191247647803, 4.1942906463544, 0.32237775600713015, 5.380552248493103, 0.05894436428380345, 2.5024824276694897]","15_lag_AMOCann, 14_lag_tripol3, 9_lag_10_median_nchinaPRjja, 18_lag_traFSC, 9_lag_14_median_stratZ50ndj03, 9_lag_11_median_stratZ50ndj04_1235_9"
LRforcedPSO,5,6,traIFC,shigh,1519.5,2005.5,0.6,20,10,10,15.761216068374852,-0.005222006949190604,1235,"['10_lag_13_median_stratZ50ndj02', '10_lag_13_median_ginwSSTjfm', '18_lag_stratZ50ndj04', '16_lag_traDP', '11_lag_glTSjfm', '16_lag_amo1']","[3.6583901975589583, 6.356831520028365, 2.777806286935647, 3.3738502942046633, 0.10990657573890239, 4.086027652184917]","10_lag_13_median_stratZ50ndj02, 10_lag_13_median_ginwSSTjfm, 18_lag_stratZ50ndj04, 16_lag_traDP, 11_lag_glTSjfm, 16_lag_amo1_1235_10"
LRforcedPSO,6,6,traIFC,shigh,1520.5,2005.5,0.6,21,11,11,14.811157058611881,-0.006611487549288026,1235,"['12_lag_tripol2', '18_lag_traTLS', '20_lag_eurPSLjfm', '20_lag_stratZ50ndj04', '11_lag_15_median_neurTSjfm', '17_lag_nchinaPRjja']","[4.513436546009794, 1.996148728930427, 3.0105600688054164, 0.4907990356723584, 1.4936269276433158, 1.1913690705069087]","12_lag_tripol2, 18_lag_traTLS, 20_lag_eurPSLjfm, 20_lag_stratZ50ndj04, 11_lag_15_median_neurTSjfm, 17_lag_nchinaPRjja_1235_11"
LRforcedPSO,7,6,traIFC,shigh,1521.5,2005.5,0.6,22,12,12,14.947254909123771,-0.04412232392956808,1235,"['12_lag_13_median_traFB', '12_lag_14_median_ormenSSTjfm', '20_lag_gyreSSTjfm', '17_lag_ismPRjja', '13_lag_samPSLann', '16_lag_tripol2']","[1.2471638599918329, 4.989043284259878, 3.123208556090866, 5.241816052669844, 3.0699474209208617, 0.4252712989505536]","12_lag_13_median_traFB, 12_lag_14_median_ormenSSTjfm, 20_lag_gyreSSTjfm, 17_lag_ismPRjja, 13_lag_samPSLann, 16_lag_tripol2_1235_12"
LRforcedPSO,8,6,traIFC,shigh,1522.5,2005.5,0.6,23,13,13,14.49226779922596,-0.008578017127163785,1235,"['13_lag_15_median_amo1', '14_lag_stratZ50ndj04', '17_lag_alpi', '13_lag_15_median_traEC', '18_lag_samPSLann', '13_lag_14_median_amo2']","[2.7585739262442193, 5.84445478823563, 2.5159853347123207, 2.4333358781401344, 0.2893751720974791, 0.18357888363233954]","13_lag_15_median_amo1, 14_lag_stratZ50ndj04, 17_lag_alpi, 13_lag_15_median_traEC, 18_lag_samPSLann, 13_lag_14_median_amo2_1235_13"
LRforcedPSO,9,6,traIFC,shigh,1523.5,2005.5,0.6,24,14,14,16.661986458744042,-0.07811234781758279,1235,"['23_lag_traFB', '16_lag_shSICmar', '19_lag_scpPSLjfm', '15_lag_stratZ50ndj04', '15_lag_nchinaPRjja', '14_lag_18_median_cetTSjfm']","[1.9863307786622926, 5.725994171787048, 0.27374839135673135, 4.7181197620262125, 3.402620590141268, 0.30748579961126055]","23_lag_traFB, 16_lag_shSICmar, 19_lag_scpPSLjfm, 15_lag_stratZ50ndj04, 15_lag_nchinaPRjja, 14_lag_18_median_cetTSjfm_1235_14"
