model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traIFC,shigh,1714.5,2005.5,0.4,15,1,1,15.883167999758093,0.16333912396327227,1755,"['1_lag_traDS', '7_lag_traIT', '11_lag_yrvPRjja', '8_lag_stratZ50ndj03', '9_lag_stratZ50ndj01', '14_lag_ensoSSTjfm', '4_lag_traBS', '1_lag_alpi', '1_lag_traFSC', '6_lag_alpi']","[0.6324849810733925, 0.23643492937405303, 0.19424933914154063, 0.1276978112000316, 0.11767940828066217, 0.12468920740064401, 0.11865631963318758, 0.07200683429128411, 0.2046255859170456, 0.20193867546150682]","1_lag_traDS, 7_lag_traIT, 11_lag_yrvPRjja, 8_lag_stratZ50ndj03, 9_lag_stratZ50ndj01, 14_lag_ensoSSTjfm, 4_lag_traBS, 1_lag_alpi, 1_lag_traFSC, 6_lag_alpi_1755_1"
LinearRegression,1,10,traIFC,shigh,1715.5,2005.5,0.4,16,1,1,15.615042084965419,0.1739377546093323,1885,"['7_lag_traTLS', '7_lag_traIT', '1_lag_traDS', '11_lag_yrvPRjja', '8_lag_stratZ50ndj03', '4_lag_traBS', '9_lag_stratZ50ndj01', '1_lag_traFSC', '1_lag_alpi', '6_lag_alpi']","[0.008120446153886763, 0.27775558323324656, 0.5707206084071454, 0.18077545569496428, 0.12539778801175616, 0.10220227438326196, 0.07797150391399181, 0.15203938871654377, 0.06811396803857829, 0.2216037899691717]","7_lag_traTLS, 7_lag_traIT, 1_lag_traDS, 11_lag_yrvPRjja, 8_lag_stratZ50ndj03, 4_lag_traBS, 9_lag_stratZ50ndj01, 1_lag_traFSC, 1_lag_alpi, 6_lag_alpi_1885_1"
LinearRegression,2,10,traIFC,shigh,1716.5,2005.5,0.4,17,1,1,16.55843497263938,0.17854246742126834,2015,"['1_lag_traDS', '7_lag_traIT', '16_lag_yrvPRjja', '1_lag_traFSC', '9_lag_stratZ50ndj01', '16_lag_alpi', '8_lag_stratZ50ndj03', '1_lag_alpi', '11_lag_yrvPRjja', '6_lag_alpi']","[0.6587496801560521, 0.3813225504298864, 0.319261451002506, 0.2002662206220732, 0.1157123668751871, 0.14378062195551355, 0.13072111803345468, 0.054032777543940105, 0.1642571617034377, 0.24501769972538442]","1_lag_traDS, 7_lag_traIT, 16_lag_yrvPRjja, 1_lag_traFSC, 9_lag_stratZ50ndj01, 16_lag_alpi, 8_lag_stratZ50ndj03, 1_lag_alpi, 11_lag_yrvPRjja, 6_lag_alpi_2015_1"
LinearRegression,3,10,traIFC,shigh,1717.5,2005.5,0.4,18,1,1,17.46682652056145,0.07219735079704102,2145,"['7_lag_traIT', '4_lag_traBS', '9_lag_stratZ50ndj01', '16_lag_alpi', '1_lag_traFSC', '16_lag_yrvPRjja', '1_lag_alpi', '8_lag_stratZ50ndj03', '11_lag_yrvPRjja', '6_lag_alpi']","[0.44368586533007054, 0.15597561052176706, 0.06847034779214804, 0.11447246936664726, 0.17632331314228358, 0.3201011563539689, 0.07442874388955525, 0.11624157803379864, 0.23348102503908008, 0.2440477564927973]","7_lag_traIT, 4_lag_traBS, 9_lag_stratZ50ndj01, 16_lag_alpi, 1_lag_traFSC, 16_lag_yrvPRjja, 1_lag_alpi, 8_lag_stratZ50ndj03, 11_lag_yrvPRjja, 6_lag_alpi_2145_1"
LinearRegression,4,10,traIFC,shigh,1718.5,2005.5,0.4,19,1,1,16.49044526872213,0.08240476031361856,2275,"['1_lag_traFSC', '16_lag_alpi', '18_lag_traBS', '4_lag_traBS', '9_lag_stratZ50ndj01', '16_lag_yrvPRjja', '11_lag_yrvPRjja', '1_lag_alpi', '8_lag_stratZ50ndj03', '6_lag_alpi']","[0.11001270613282045, 0.09871273549484577, 0.1377364235445243, 0.24842023437099434, 0.06726541619002546, 0.27888116697556536, 0.21510668217259832, 0.09908847097612868, 0.15505276835633547, 0.09041427069388537]","1_lag_traFSC, 16_lag_alpi, 18_lag_traBS, 4_lag_traBS, 9_lag_stratZ50ndj01, 16_lag_yrvPRjja, 11_lag_yrvPRjja, 1_lag_alpi, 8_lag_stratZ50ndj03, 6_lag_alpi_2275_1"
LinearRegression,5,10,traIFC,shigh,1719.5,2005.5,0.4,20,1,1,16.479716624205274,0.08209921414284956,2405,"['18_lag_traBS', '4_lag_traBS', '16_lag_alpi', '9_lag_stratZ50ndj01', '1_lag_traFSC', '11_lag_yrvPRjja', '16_lag_yrvPRjja', '8_lag_stratZ50ndj03', '1_lag_alpi', '6_lag_alpi']","[0.1410348511650436, 0.2508146685580456, 0.10162600317282833, 0.06594599323488683, 0.1102034894108104, 0.21302492616434351, 0.27751168308172525, 0.15247453303815697, 0.09763731816528239, 0.08820737578788387]","18_lag_traBS, 4_lag_traBS, 16_lag_alpi, 9_lag_stratZ50ndj01, 1_lag_traFSC, 11_lag_yrvPRjja, 16_lag_yrvPRjja, 8_lag_stratZ50ndj03, 1_lag_alpi, 6_lag_alpi_2405_1"
LinearRegression,6,10,traIFC,shigh,1720.5,2005.5,0.4,21,1,1,15.849514863764165,0.15926616482506786,2535,"['7_lag_traIT', '18_lag_traBS', '11_lag_yrvPRjja', '1_lag_traDS', '4_lag_traBS', '8_lag_stratZ50ndj03', '1_lag_alpi', '20_lag_wnorPRjfm', '1_lag_traFSC', '6_lag_alpi']","[0.2989106890354022, 0.0913987591368547, 0.16541294120431582, 0.5310535791362685, 0.12338635125901551, 0.08010722849458807, 0.04056604608075014, 0.17442836553502677, 0.12423984451366776, 0.19141106681989103]","7_lag_traIT, 18_lag_traBS, 11_lag_yrvPRjja, 1_lag_traDS, 4_lag_traBS, 8_lag_stratZ50ndj03, 1_lag_alpi, 20_lag_wnorPRjfm, 1_lag_traFSC, 6_lag_alpi_2535_1"
LinearRegression,7,10,traIFC,shigh,1721.5,2005.5,0.4,22,1,1,15.572821202971932,0.18809095440094756,2665,"['11_lag_yrvPRjja', '9_lag_stratZ50ndj01', '18_lag_traBS', '1_lag_traDS', '8_lag_stratZ50ndj03', '4_lag_traBS', '1_lag_alpi', '20_lag_wnorPRjfm', '1_lag_traFSC', '6_lag_alpi']","[0.15242202900099963, 0.05437703841963343, 0.0803256269436052, 0.6085324270797197, 0.095058672331731, 0.17910046723546863, 0.06347594301331276, 0.1525213874682234, 0.1920185025971985, 0.11563784227984403]","11_lag_yrvPRjja, 9_lag_stratZ50ndj01, 18_lag_traBS, 1_lag_traDS, 8_lag_stratZ50ndj03, 4_lag_traBS, 1_lag_alpi, 20_lag_wnorPRjfm, 1_lag_traFSC, 6_lag_alpi_2665_1"
LinearRegression,8,10,traIFC,shigh,1722.5,2005.5,0.4,23,1,1,16.85067282405439,-0.005603121126205569,2795,"['18_lag_traBS', '11_lag_yrvPRjja', '16_lag_alpi', '1_lag_traFSC', '1_lag_alpi', '20_lag_samPSLann', '17_lag_ismPRjja', '20_lag_wnorPRjfm', '4_lag_traBS', '6_lag_alpi']","[0.07856406262766637, 0.2019626715084353, 0.06747925709117536, 0.14679551945051184, 0.08953965965783964, 0.04189914544412082, 0.12702783724023667, 0.10652694272224567, 0.2640204492433843, 0.07524324160699927]","18_lag_traBS, 11_lag_yrvPRjja, 16_lag_alpi, 1_lag_traFSC, 1_lag_alpi, 20_lag_samPSLann, 17_lag_ismPRjja, 20_lag_wnorPRjfm, 4_lag_traBS, 6_lag_alpi_2795_1"
LinearRegression,9,10,traIFC,shigh,1723.5,2005.5,0.4,24,1,1,16.65312807009598,0.12433986599620664,2925,"['11_lag_alpi', '20_lag_naoPSLjfm', '16_lag_alpi', '1_lag_alpi', '1_lag_traFSC', '20_lag_wnorPRjfm', '20_lag_samPSLann', '4_lag_traBS', '17_lag_ismPRjja', '6_lag_alpi']","[0.16866198364274976, 0.0023628413221098016, 0.043406020056515, 0.06521359061165545, 0.1794184263709143, 0.10618293062714194, 0.1321934374691231, 0.2808237804691517, 0.12214330565327516, 0.10992198552381496]","11_lag_alpi, 20_lag_naoPSLjfm, 16_lag_alpi, 1_lag_alpi, 1_lag_traFSC, 20_lag_wnorPRjfm, 20_lag_samPSLann, 4_lag_traBS, 17_lag_ismPRjja, 6_lag_alpi_2925_1"
LinearRegression,10,10,traIFC,shigh,1724.5,2005.5,0.4,25,1,1,16.929932346170123,0.07757876365173252,3055,"['11_lag_alpi', '1_lag_alpi', '16_lag_alpi', '1_lag_traFSC', '4_lag_traBS', '20_lag_wnorPRjfm', '20_lag_samPSLann', '17_lag_ismPRjja', '6_lag_alpi', '24_lag_alpi']","[0.1620723629437616, 0.05295478647022505, 0.036142386431371104, 0.18677250889786504, 0.2709694168754986, 0.15506775015632476, 0.0970075955283607, 0.1326610560408522, 0.10661104168663693, 0.15296149491439323]","11_lag_alpi, 1_lag_alpi, 16_lag_alpi, 1_lag_traFSC, 4_lag_traBS, 20_lag_wnorPRjfm, 20_lag_samPSLann, 17_lag_ismPRjja, 6_lag_alpi, 24_lag_alpi_3055_1"
