model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traIT,shigh,866.5,2005.5,0.6,15,1,1,11.886445168491871,0.23490347795065353,1755,"['6_lag_traFB', '8_lag_mhfATL30', '1_lag_6_median_traTLS', '11_lag_mhfIP30', '10_lag_atlSICsep', '1_lag_6_median_wnorPRjfm']","[0.1536711506717043, 0.03808779583571836, 0.4343180871731469, 0.0004714933293012667, 0.11573582695848447, 0.02552042926729571]","6_lag_traFB, 8_lag_mhfATL30, 1_lag_6_median_traTLS, 11_lag_mhfIP30, 10_lag_atlSICsep, 1_lag_6_median_wnorPRjfm_1755_1"
LinearRegression,1,6,traIT,shigh,867.5,2005.5,0.6,16,1,1,12.012508523005328,0.2296344294270163,1885,"['8_lag_mhfATL30', '11_lag_mhfIP30', '1_lag_6_median_traTLS', '1_lag_6_median_wnorPRjfm', '15_lag_gyreSSTjfm', '10_lag_atlSICsep']","[0.0406274649760548, 0.005764695251472329, 0.42730855502705695, 0.025744310588012468, 0.09589596085870424, 0.11267987102210139]","8_lag_mhfATL30, 11_lag_mhfIP30, 1_lag_6_median_traTLS, 1_lag_6_median_wnorPRjfm, 15_lag_gyreSSTjfm, 10_lag_atlSICsep_1885_1"
LinearRegression,2,6,traIT,shigh,868.5,2005.5,0.6,17,1,1,11.981941051194294,0.23463827323391329,2015,"['14_lag_traEC', '1_lag_6_median_wnorPRjfm', '1_lag_6_median_traTLS', '10_lag_atlSICsep', '14_lag_mhfIP30', '15_lag_gyreSSTjfm']","[0.09275728399498644, 0.019262106727171102, 0.4385347915076513, 0.1097385762067512, 0.05194417535601789, 0.11466513468589594]","14_lag_traEC, 1_lag_6_median_wnorPRjfm, 1_lag_6_median_traTLS, 10_lag_atlSICsep, 14_lag_mhfIP30, 15_lag_gyreSSTjfm_2015_1"
LinearRegression,3,6,traIT,shigh,869.5,2005.5,0.6,18,1,1,11.985775794139473,0.23357806194333808,2145,"['1_lag_6_median_traTLS', '11_lag_mhfIP30', '15_lag_gyreSSTjfm', '14_lag_traEC', '10_lag_atlSICsep', '14_lag_mhfIP30']","[0.4410178933176911, 0.00703216639049227, 0.11530463112813757, 0.09209032939444978, 0.11209919703546159, 0.05270256244241597]","1_lag_6_median_traTLS, 11_lag_mhfIP30, 15_lag_gyreSSTjfm, 14_lag_traEC, 10_lag_atlSICsep, 14_lag_mhfIP30_2145_1"
LinearRegression,4,6,traIT,shigh,870.5,2005.5,0.6,19,1,4,12.018369915611009,0.1919534058662262,2275,"['4_lag_traTLS', '6_lag_traFB', '15_lag_gyreSSTjfm', '14_lag_mhfIP30', '14_lag_traEC', '10_lag_atlSICsep']","[0.03529204273562978, 0.13520727971489357, 0.09879521880844219, 0.03800372877150773, 0.07775497597060327, 0.13361183046562256]","4_lag_traTLS, 6_lag_traFB, 15_lag_gyreSSTjfm, 14_lag_mhfIP30, 14_lag_traEC, 10_lag_atlSICsep_2275_4"
LinearRegression,5,6,traIT,shigh,871.5,2005.5,0.6,20,1,6,12.063022570148576,0.17371878286755577,2405,"['8_lag_ormenSSTjfm', '6_lag_traFB', '14_lag_mhfIP30', '10_lag_atlSICsep', '15_lag_gyreSSTjfm', '14_lag_traEC']","[0.0606241624852853, 0.14364653854835802, 0.04470221164555157, 0.12144349899854459, 0.10697299749806471, 0.07198082819638993]","8_lag_ormenSSTjfm, 6_lag_traFB, 14_lag_mhfIP30, 10_lag_atlSICsep, 15_lag_gyreSSTjfm, 14_lag_traEC_2405_6"
LinearRegression,6,6,traIT,shigh,872.5,2005.5,0.6,21,1,6,11.962263160531442,0.22970365872037157,2535,"['10_lag_atlSICsep', '15_lag_gyreSSTjfm', '6_lag_stratZ50ndj04', '14_lag_traEC', '6_lag_traFB', '14_lag_mhfIP30']","[0.10579635517719345, 0.08985005642055581, 0.22565167080522008, 0.07636151357728105, 0.12202038445090817, 0.0426905653556786]","10_lag_atlSICsep, 15_lag_gyreSSTjfm, 6_lag_stratZ50ndj04, 14_lag_traEC, 6_lag_traFB, 14_lag_mhfIP30_2535_6"
LinearRegression,7,6,traIT,shigh,873.5,2005.5,0.6,22,2,2,12.850630457054592,-0.08438825134780369,2535,"['2_lag_traDP', '11_lag_mhfIP30', '14_lag_mhfIP30', '2_lag_ginwSSTjfm', '7_lag_traWP', '15_lag_gyreSSTjfm']","[0.10106754690198363, 0.004796197051619516, 0.045332173469019944, 0.038662864031410615, 0.03071798777686353, 0.06676437559147945]","2_lag_traDP, 11_lag_mhfIP30, 14_lag_mhfIP30, 2_lag_ginwSSTjfm, 7_lag_traWP, 15_lag_gyreSSTjfm_2535_2"
LinearRegression,8,6,traIT,shigh,874.5,2005.5,0.6,23,3,3,12.403405870962454,0.10647386796961263,2535,"['7_lag_traWP', '7_lag_tripol3', '14_lag_ginwSSTjfm', '16_lag_traIT', '3_lag_6_median_alpi', '14_lag_mhfIP30']","[0.003150343321346594, 0.029157742472140327, 0.028828707186341423, 0.07276677297424025, 0.032246319557301555, 0.024190870463974]","7_lag_traWP, 7_lag_tripol3, 14_lag_ginwSSTjfm, 16_lag_traIT, 3_lag_6_median_alpi, 14_lag_mhfIP30_2535_3"
LinearRegression,9,6,traIT,shigh,875.5,2005.5,0.6,24,4,11,12.82187166592713,-0.02903766350764455,2535,"['19_lag_traTLS', '11_lag_nppc2SSTjfm', '14_lag_mhfIP30', '16_lag_traEC', '20_lag_stratZ50ndj02', '22_lag_eurPSLjfm']","[0.0902520622252698, 0.08152184522549366, 0.043761808008782245, 0.046855438484676167, 0.023517202103210115, 0.0842872140125391]","19_lag_traTLS, 11_lag_nppc2SSTjfm, 14_lag_mhfIP30, 16_lag_traEC, 20_lag_stratZ50ndj02, 22_lag_eurPSLjfm_2535_11"
LinearRegression,10,6,traIT,shigh,876.5,2005.5,0.6,25,5,11,12.39851222728099,0.09734482503294242,2535,"['14_lag_neurTSjfm', '14_lag_traFB', '20_lag_stratZ50ndj02', '20_lag_traFB', '11_lag_nppc2SSTjfm', '22_lag_eurPSLjfm']","[0.03789340196350664, 0.00611289385902937, 0.02169394611093689, 0.07953194160965496, 0.07510421708733471, 0.08062367262490874]","14_lag_neurTSjfm, 14_lag_traFB, 20_lag_stratZ50ndj02, 20_lag_traFB, 11_lag_nppc2SSTjfm, 22_lag_eurPSLjfm_2535_11"
LinearRegression,11,6,traIT,shigh,877.5,2005.5,0.6,26,6,6,12.477133050881598,0.04423566782594884,2535,"['6_lag_stratZ50ndj02', '25_lag_traTLS', '14_lag_traFB', '14_lag_mhfIP30', '22_lag_eurPSLjfm', '11_lag_traFB']","[0.020029518931430665, 0.10427943154831612, 0.02053417083267077, 0.04559687398074719, 0.0797907055507938, 0.009739385548052197]","6_lag_stratZ50ndj02, 25_lag_traTLS, 14_lag_traFB, 14_lag_mhfIP30, 22_lag_eurPSLjfm, 11_lag_traFB_2535_6"
LinearRegression,12,6,traIT,shigh,878.5,2005.5,0.6,27,7,14,12.576423832992967,0.08570789543089434,2535,"['15_lag_arcTSjfm', '24_lag_amoSSTmjjaso', '14_lag_cetTSjfm', '25_lag_traTLS', '22_lag_eurPSLjfm', '14_lag_mhfIP30']","[0.03608068648169035, 0.16405435206140015, 0.05645538556931849, 0.1185956744292588, 0.07315386916906787, 0.041268542832744906]","15_lag_arcTSjfm, 24_lag_amoSSTmjjaso, 14_lag_cetTSjfm, 25_lag_traTLS, 22_lag_eurPSLjfm, 14_lag_mhfIP30_2535_14"
LinearRegression,13,6,traIT,shigh,879.5,2005.5,0.6,28,8,11,12.613746507823047,0.15124864866320567,2535,"['15_lag_naoPSLjfm', '16_lag_nhSICjfm', '16_lag_shTSjfm', '25_lag_traTLS', '11_lag_traFB', '14_lag_mhfIP30']","[0.03504544075326936, 0.011882360382379803, 0.17742243886915232, 0.1045717304899906, 0.03287121743982423, 0.0586762970411347]","15_lag_naoPSLjfm, 16_lag_nhSICjfm, 16_lag_shTSjfm, 25_lag_traTLS, 11_lag_traFB, 14_lag_mhfIP30_2535_11"
LinearRegression,14,6,traIT,shigh,880.5,2005.5,0.6,29,9,11,12.469376626018018,0.08495976684329444,2535,"['14_lag_mhfIP30', '25_lag_traTLS', '15_lag_arcTSjfm', '14_lag_traIT', '25_lag_yrvPRjja', '11_lag_traFB']","[0.06234462933486438, 0.10531509695779502, 0.015937361109285564, 0.05703042410719021, 0.061120081312864095, 0.022897742552120386]","14_lag_mhfIP30, 25_lag_traTLS, 15_lag_arcTSjfm, 14_lag_traIT, 25_lag_yrvPRjja, 11_lag_traFB_2535_11"
