model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,traMC,shigh,1514.5,2005.5,0.8,15,1,1,15.084112400175236,0.3582955558424177,1755,"['11_lag_eurPSLjfm', '1_lag_8_median_amo1', '6_lag_traFS', '1_lag_10_median_samPSLann', '1_lag_7_median_stratZ50ndj02', '1_lag_14_median_amo3']","[2.9748125919389286, 3.4930426248652973, 2.631636914933769, 2.6810465378641704, 3.080201107602225, 2.635545154239424]","11_lag_eurPSLjfm, 1_lag_8_median_amo1, 6_lag_traFS, 1_lag_10_median_samPSLann, 1_lag_7_median_stratZ50ndj02, 1_lag_14_median_amo3_1755_1"
LRforcedPSO,1,6,traMC,shigh,1515.5,2005.5,0.8,16,1,1,16.157181065579366,0.4016588929758422,1885,"['5_lag_mhfATL60', '8_lag_samPSLann', '1_lag_13_median_alpi', '4_lag_stratZ50ndj02', '1_lag_7_median_gyreSSTjfm', '13_lag_mhfATL30']","[2.967618656715352, 1.2806834049253997, 0.7804526682707387, 1.8587251109670628, 2.7491256925387475, 1.6364465733143483]","5_lag_mhfATL60, 8_lag_samPSLann, 1_lag_13_median_alpi, 4_lag_stratZ50ndj02, 1_lag_7_median_gyreSSTjfm, 13_lag_mhfATL30_1885_1"
LRforcedPSO,2,6,traMC,shigh,1516.5,2005.5,0.8,17,1,1,17.659950990164603,0.12864003534918012,2015,"['1_lag_10_median_pdoSSTjfm', '7_lag_arcTSjfm', '1_lag_14_median_traCA', '1_lag_14_median_neurTSjfm', '1_lag_10_median_traBO', '15_lag_nhSICsep']","[5.672315530186928, 2.7525189452774406, 1.1248343363201823, 1.9847255584275558, 0.7946986533467886, 1.562340354871326]","1_lag_10_median_pdoSSTjfm, 7_lag_arcTSjfm, 1_lag_14_median_traCA, 1_lag_14_median_neurTSjfm, 1_lag_10_median_traBO, 15_lag_nhSICsep_2015_1"
LRforcedPSO,3,6,traMC,shigh,1517.5,2005.5,0.8,18,1,1,17.07415815506055,-0.07456489651106851,2145,"['2_lag_shSICmar', '1_lag_6_median_cetTSjfm', '7_lag_traTLS', '1_lag_2_median_traIT', '1_lag_3_median_atlSICjfm', '1_lag_17_median_naoPSLjfm']","[4.872264468446279, 1.5937845940237736, 0.4887237710715304, 1.1270545232062936, 1.0505776759030212, 3.036839708374277]","2_lag_shSICmar, 1_lag_6_median_cetTSjfm, 7_lag_traTLS, 1_lag_2_median_traIT, 1_lag_3_median_atlSICjfm, 1_lag_17_median_naoPSLjfm_2145_1"
LRforcedPSO,4,6,traMC,shigh,1518.5,2005.5,0.8,19,1,1,15.718871103567238,0.011906254052372865,2275,"['1_lag_12_median_shSICmar', '13_lag_shSICmar', '17_lag_traBO', '6_lag_shSICsep', '7_lag_tripol2', '1_lag_2_median_stratZ50ndj04']","[1.485917228448443, 5.580913711013844, 0.6903372823057587, 6.657582307540622, 4.056720130446529, 2.475907620343147]","1_lag_12_median_shSICmar, 13_lag_shSICmar, 17_lag_traBO, 6_lag_shSICsep, 7_lag_tripol2, 1_lag_2_median_stratZ50ndj04_2275_1"
LRforcedPSO,5,6,traMC,shigh,1519.5,2005.5,0.8,20,1,1,14.197120129195126,0.21406945740890032,2405,"['1_lag_11_median_tripol1', '17_lag_wnorPRjfm', '3_lag_solFORC', '19_lag_ensoSSTjfm', '1_lag_4_median_yrvPRjja', '1_lag_5_median_nppc3SSTjfm']","[5.809893936718112, 0.506224811600946, 6.748043416699808, 2.8424630957153703, 2.368078792136772, 3.3568659054089167]","1_lag_11_median_tripol1, 17_lag_wnorPRjfm, 3_lag_solFORC, 19_lag_ensoSSTjfm, 1_lag_4_median_yrvPRjja, 1_lag_5_median_nppc3SSTjfm_2405_1"
LRforcedPSO,6,6,traMC,shigh,1520.5,2005.5,0.8,21,1,1,15.488142363320627,0.12953754490087932,2535,"['1_lag_3_median_nppc3SSTjfm', '1_lag_7_median_traMC', '1_lag_15_median_ginwSSTjfm', '1_lag_20_median_traFSC', '1_lag_14_median_ginwSSTjfm', '1_lag_3_median_traEC']","[0.9092357704146714, 3.877615441472324, 9.829715280203636, 1.6863962131786785, 8.79045793535764, 4.935726377744178]","1_lag_3_median_nppc3SSTjfm, 1_lag_7_median_traMC, 1_lag_15_median_ginwSSTjfm, 1_lag_20_median_traFSC, 1_lag_14_median_ginwSSTjfm, 1_lag_3_median_traEC_2535_1"
LRforcedPSO,7,6,traMC,shigh,1521.5,2005.5,0.8,22,1,1,12.934635672246575,0.3452019755514235,2665,"['1_lag_17_median_AMOCann', '1_lag_4_median_mhfIP30', '1_lag_15_median_amo1', '20_lag_traFB', '1_lag_13_median_eurPSLjfm', '5_lag_naoPSLjfm']","[2.1646976447454467, 1.714047172503792, 2.2008364948156673, 2.182096244132273, 1.8094452179560088, 1.9958559123525976]","1_lag_17_median_AMOCann, 1_lag_4_median_mhfIP30, 1_lag_15_median_amo1, 20_lag_traFB, 1_lag_13_median_eurPSLjfm, 5_lag_naoPSLjfm_2665_1"
LRforcedPSO,8,6,traMC,shigh,1522.5,2005.5,0.8,23,1,1,15.193957261696875,0.22428475516999744,2795,"['5_lag_glTSjfm', '15_lag_satlSSTjfm', '1_lag_9_median_traDS', '1_lag_2_median_stratZ50ndj04', '21_lag_seurTSjfm', '1_lag_17_median_ginwSSTjfm']","[2.7624677297929208, 2.0718507974976528, 2.3653344511374015, 2.072609724180533, 2.4093864472176953, 2.559037845304671]","5_lag_glTSjfm, 15_lag_satlSSTjfm, 1_lag_9_median_traDS, 1_lag_2_median_stratZ50ndj04, 21_lag_seurTSjfm, 1_lag_17_median_ginwSSTjfm_2795_1"
LRforcedPSO,9,6,traMC,shigh,1523.5,2005.5,0.8,24,1,1,17.338975495025274,0.29241160216327294,2925,"['10_lag_traCA', '19_lag_traEU', '21_lag_stratZ50ndj03', '1_lag_21_median_amoSSTmjjaso', '17_lag_stratZ50ndj03', '1_lag_2_median_ormenSSTjfm']","[4.784134778375176, 4.1304183917095205, 1.9537400153209479, 6.779011625344438, 0.030869533372788638, 0.40934171968343414]","10_lag_traCA, 19_lag_traEU, 21_lag_stratZ50ndj03, 1_lag_21_median_amoSSTmjjaso, 17_lag_stratZ50ndj03, 1_lag_2_median_ormenSSTjfm_2925_1"
