model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traMC,shigh,866.5,2005.5,0.4,15,5,5,13.881141715038869,0.1283930239038719,1235,"['5_lag_12_median_traEU', '5_lag_wnorPRjfm', '14_lag_traDP', '7_lag_nhSICjfm', '5_lag_8_median_mhfIP30', '8_lag_nppc2SSTjfm', '11_lag_traFB', '7_lag_traDP', '9_lag_mhfIP30', '13_lag_mhfATL45', '5_lag_8_median_arcTSjfm', '5_lag_10_median_traDS', '11_lag_amo1', '5_lag_10_median_traEU', '5_lag_10_median_stratZ50ndj01', '5_lag_14_median_traFSC', '12_lag_nppc3SSTjfm', '10_lag_scpPSLjfm', '11_lag_ginwSSTjfm', '8_lag_ormenSSTjfm', '14_lag_neurTSjfm', '14_lag_ormenSSTjfm', '5_lag_traWP', '7_lag_nppc3SSTjfm', '14_lag_eapPSLjfm', '5_lag_shSICmar', '11_lag_ormenSSTjfm', '9_lag_traDP', '5_lag_traFB', '14_lag_traIT']","[0.011650629556664805, 0.026843309343919375, 0.14791879490560658, 0.0011383970374231683, 0.06548461656721939, 0.022324865270566322, 0.029844641814286633, 0.5323345964018362, 0.02149338346065307, 0.010620277255631744, 0.005063463843880936, 0.2186433101150447, 0.04255031185007824, 0.06966500219875893, 0.05674771839372236, 0.10422221709949978, 0.10759022051262361, 0.020099921225419395, 0.03545154138741998, 0.05785793641654969, 0.08818228584214684, 0.15786065778675493, 0.09985052431480419, 0.0598366121313834, 0.10886670471012551, 0.14320925377810387, 0.01056762066996275, 0.42138979322763825, 0.21564438877022574, 0.1476135219968514]","5_lag_12_median_traEU, 5_lag_wnorPRjfm, 14_lag_traDP, 7_lag_nhSICjfm, 5_lag_8_median_mhfIP30, 8_lag_nppc2SSTjfm, 11_lag_traFB, 7_lag_traDP, 9_lag_mhfIP30, 13_lag_mhfATL45, 5_lag_8_median_arcTSjfm, 5_lag_10_median_traDS, 11_lag_amo1, 5_lag_10_median_traEU, 5_lag_10_median_stratZ50ndj01, 5_lag_14_median_traFSC, 12_lag_nppc3SSTjfm, 10_lag_scpPSLjfm, 11_lag_ginwSSTjfm, 8_lag_ormenSSTjfm, 14_lag_neurTSjfm, 14_lag_ormenSSTjfm, 5_lag_traWP, 7_lag_nppc3SSTjfm, 14_lag_eapPSLjfm, 5_lag_shSICmar, 11_lag_ormenSSTjfm, 9_lag_traDP, 5_lag_traFB, 14_lag_traIT_1235_5"
LinearRegression,1,30,traMC,shigh,867.5,2005.5,0.4,16,6,6,13.663146312370031,0.18319587812743973,1235,"['10_lag_scpPSLjfm', '11_lag_mhfATL45', '6_lag_satlSSTjfm', '6_lag_samPSLann', '15_lag_traEU', '11_lag_shSICmar', '15_lag_ginwSSTjfm', '13_lag_traTLS', '6_lag_nppc2SSTjfm', '14_lag_nppc2SSTjfm', '15_lag_atlSICjfm', '6_lag_traWP', '6_lag_11_median_traEC', '11_lag_traFS', '6_lag_10_median_traEU', '14_lag_traFB', '13_lag_mhfATL30', '15_lag_mhfATL45', '15_lag_traDS', '10_lag_traEC', '6_lag_traDP', '14_lag_traIT', '6_lag_11_median_traIFC', '12_lag_mhfATL30', '11_lag_ginwSSTjfm', '14_lag_eapPSLjfm', '8_lag_traDP', '6_lag_9_median_nchinaPRjja', '9_lag_traDP', '10_lag_ensoSSTjfm']","[0.0265619534399098, 0.11141878111665189, 0.15459606789311006, 0.029582045316018324, 0.07826285856741093, 0.018427673965969286, 0.08980962303870499, 0.07146919107085475, 0.015432448594309544, 0.025454132849090465, 0.04242835730618062, 0.07233959720498069, 0.04825906467441678, 0.05126500207742861, 0.12096832516350066, 0.03633361676303679, 0.003208313701838584, 0.09849708816138424, 0.10965318086066422, 0.04173883966512097, 0.42826477590747797, 0.09780822187922375, 0.009567614513658229, 0.04615091654668528, 0.03924069041889154, 0.08586262148053839, 0.05863327446333713, 0.00968698341809833, 0.5274276575483835, 0.00159290212631652]","10_lag_scpPSLjfm, 11_lag_mhfATL45, 6_lag_satlSSTjfm, 6_lag_samPSLann, 15_lag_traEU, 11_lag_shSICmar, 15_lag_ginwSSTjfm, 13_lag_traTLS, 6_lag_nppc2SSTjfm, 14_lag_nppc2SSTjfm, 15_lag_atlSICjfm, 6_lag_traWP, 6_lag_11_median_traEC, 11_lag_traFS, 6_lag_10_median_traEU, 14_lag_traFB, 13_lag_mhfATL30, 15_lag_mhfATL45, 15_lag_traDS, 10_lag_traEC, 6_lag_traDP, 14_lag_traIT, 6_lag_11_median_traIFC, 12_lag_mhfATL30, 11_lag_ginwSSTjfm, 14_lag_eapPSLjfm, 8_lag_traDP, 6_lag_9_median_nchinaPRjja, 9_lag_traDP, 10_lag_ensoSSTjfm_1235_6"
LinearRegression,2,30,traMC,shigh,868.5,2005.5,0.4,17,7,7,13.093056690133007,0.2671019788245705,1235,"['13_lag_traFB', '11_lag_mhfATL45', '7_lag_12_median_traIT', '14_lag_mhfATL45', '14_lag_labSSTjfm', '15_lag_traIFC', '9_lag_traDP', '16_lag_traDP', '13_lag_traIT', '16_lag_amo1', '15_lag_traDS', '14_lag_neurTSjfm', '7_lag_traBS', '10_lag_scpPSLjfm', '7_lag_12_median_traEU', '10_lag_traDP', '15_lag_eapPSLjfm', '11_lag_traEC', '16_lag_tripol3', '14_lag_wnorPRjfm', '11_lag_stratZ50ndj01', '12_lag_nppc2SSTjfm', '15_lag_mhfATL45', '16_lag_mhfATL60', '7_lag_10_median_mhfIP30', '16_lag_traMC', '10_lag_nhSICjfm', '10_lag_ensoSSTjfm', '14_lag_traIT', '10_lag_nppc2SSTjfm']","[0.0774327724289602, 0.1563442962595974, 0.19515365117721822, 0.006824576950497847, 0.015984496929900612, 0.08232533467127295, 0.08705940733420986, 0.33805968280040555, 0.04635288154264949, 0.07208982291664615, 0.016142154379192527, 0.11876892632019308, 0.053080772409407465, 0.04206395232529867, 0.06671993777311923, 0.3154920649084556, 0.018920954944290774, 0.08616333810596206, 0.07719206715359221, 8.41461676432502e-05, 0.0685101850097881, 0.12207601108804533, 0.09853277479832012, 0.10486098996619836, 0.07246789997473348, 0.13084160938197545, 0.04061524714767338, 0.00486356476456651, 0.12874723737505395, 0.04928033147414103]","13_lag_traFB, 11_lag_mhfATL45, 7_lag_12_median_traIT, 14_lag_mhfATL45, 14_lag_labSSTjfm, 15_lag_traIFC, 9_lag_traDP, 16_lag_traDP, 13_lag_traIT, 16_lag_amo1, 15_lag_traDS, 14_lag_neurTSjfm, 7_lag_traBS, 10_lag_scpPSLjfm, 7_lag_12_median_traEU, 10_lag_traDP, 15_lag_eapPSLjfm, 11_lag_traEC, 16_lag_tripol3, 14_lag_wnorPRjfm, 11_lag_stratZ50ndj01, 12_lag_nppc2SSTjfm, 15_lag_mhfATL45, 16_lag_mhfATL60, 7_lag_10_median_mhfIP30, 16_lag_traMC, 10_lag_nhSICjfm, 10_lag_ensoSSTjfm, 14_lag_traIT, 10_lag_nppc2SSTjfm_1235_7"
LinearRegression,3,30,traMC,shigh,869.5,2005.5,0.4,18,8,8,13.193673764686915,0.2105892440260732,1235,"['8_lag_11_median_wnorPRjfm', '14_lag_amo2', '10_lag_traFSC', '15_lag_traDS', '17_lag_amo1', '16_lag_shSICsep', '16_lag_amo2', '8_lag_12_median_alpi', '10_lag_traDP', '17_lag_tripol3', '8_lag_14_median_ismPRjja', '15_lag_eapPSLjfm', '16_lag_traEC', '11_lag_shSICmar', '8_lag_traEU', '8_lag_11_median_traFSC', '16_lag_naoPSLjfm', '17_lag_amo3', '16_lag_traMC', '14_lag_traIT', '10_lag_nhSICjfm', '8_lag_ormenSSTjfm', '10_lag_nppc2SSTjfm', '12_lag_nppc2SSTjfm', '13_lag_traTLS', '8_lag_11_median_nhSICsep', '15_lag_traEU', '8_lag_13_median_ismPRjja', '16_lag_mhfATL60', '16_lag_amo1']","[0.06229085876639517, 0.047949999027654705, 0.03277052827341123, 0.13092705129861107, 0.051323275700238695, 0.0466618862100107, 0.007258846570618684, 0.09917655386274678, 0.09292171604023018, 0.08700900167444617, 0.2415366725169738, 0.014954204118088787, 0.14573884023931977, 0.07162579888345977, 0.014638398050189154, 0.013955708354170974, 4.6572110954791376e-05, 0.07280561592610615, 0.1440299559715858, 0.14067997591915385, 0.10692261891385983, 0.12385482023301858, 0.008338138394893219, 0.13170583647025239, 0.06114376265242145, 0.03803238652142939, 0.06808507517393902, 0.04418285709480805, 0.0232861432075536, 0.050544508603333066]","8_lag_11_median_wnorPRjfm, 14_lag_amo2, 10_lag_traFSC, 15_lag_traDS, 17_lag_amo1, 16_lag_shSICsep, 16_lag_amo2, 8_lag_12_median_alpi, 10_lag_traDP, 17_lag_tripol3, 8_lag_14_median_ismPRjja, 15_lag_eapPSLjfm, 16_lag_traEC, 11_lag_shSICmar, 8_lag_traEU, 8_lag_11_median_traFSC, 16_lag_naoPSLjfm, 17_lag_amo3, 16_lag_traMC, 14_lag_traIT, 10_lag_nhSICjfm, 8_lag_ormenSSTjfm, 10_lag_nppc2SSTjfm, 12_lag_nppc2SSTjfm, 13_lag_traTLS, 8_lag_11_median_nhSICsep, 15_lag_traEU, 8_lag_13_median_ismPRjja, 16_lag_mhfATL60, 16_lag_amo1_1235_8"
LinearRegression,4,30,traMC,shigh,870.5,2005.5,0.4,19,9,9,13.421044871104012,0.1917577681826403,1235,"['9_lag_nppc3SSTjfm', '9_lag_mhfATL30', '13_lag_nppc2SSTjfm', '11_lag_mhfATL60', '13_lag_scpPSLjfm', '9_lag_10_median_nhSICjfm', '10_lag_nhSICjfm', '15_lag_traIFC', '17_lag_naoPSLjfm', '9_lag_16_median_traFS', '15_lag_traTLS', '17_lag_shSICmar', '18_lag_shSICsep', '9_lag_labSSTjfm', '16_lag_mhfATL60', '15_lag_amoSSTmjjaso', '17_lag_tripol3', '16_lag_arcTSjfm', '16_lag_amo1', '13_lag_traTLS', '9_lag_12_median_traBO', '9_lag_12_median_satlSSTjfm', '12_lag_traDP', '14_lag_ormenSSTjfm', '9_lag_mhfATL60', '17_lag_amo3', '9_lag_12_median_eurPSLjfm', '9_lag_eapPSLjfm', '12_lag_nppc2SSTjfm', '14_lag_traIT']","[0.15645011309739154, 0.1491595467120828, 0.002897921654558167, 0.06333398797916999, 0.027470369717019976, 6549326068453.399, 6549326068453.258, 0.009134598455489692, 0.11207483497152655, 0.03413574732892706, 0.0032766311470433527, 0.083303837937624, 0.1091435214786964, 0.10819924192832751, 0.051898628567339206, 0.11300064076947722, 0.09750040302135686, 0.01003408888931032, 0.06663227767290769, 0.07875975691590456, 0.04280373908086048, 0.027449190622595456, 0.08443116917371711, 0.18811053704187553, 0.006988919340757416, 0.09681148448588969, 0.05944478380387927, 0.09035181729137273, 0.15363849632878948, 0.11902316344124064]","9_lag_nppc3SSTjfm, 9_lag_mhfATL30, 13_lag_nppc2SSTjfm, 11_lag_mhfATL60, 13_lag_scpPSLjfm, 9_lag_10_median_nhSICjfm, 10_lag_nhSICjfm, 15_lag_traIFC, 17_lag_naoPSLjfm, 9_lag_16_median_traFS, 15_lag_traTLS, 17_lag_shSICmar, 18_lag_shSICsep, 9_lag_labSSTjfm, 16_lag_mhfATL60, 15_lag_amoSSTmjjaso, 17_lag_tripol3, 16_lag_arcTSjfm, 16_lag_amo1, 13_lag_traTLS, 9_lag_12_median_traBO, 9_lag_12_median_satlSSTjfm, 12_lag_traDP, 14_lag_ormenSSTjfm, 9_lag_mhfATL60, 17_lag_amo3, 9_lag_12_median_eurPSLjfm, 9_lag_eapPSLjfm, 12_lag_nppc2SSTjfm, 14_lag_traIT_1235_9"
LinearRegression,5,30,traMC,shigh,871.5,2005.5,0.4,20,10,10,13.182651324995799,0.26174480764324737,1235,"['10_lag_17_median_nhSICjfm', '15_lag_traEU', '15_lag_nchinaPRjja', '16_lag_eurPSLjfm', '14_lag_traIT', '17_lag_tripol3', '15_lag_alpi', '13_lag_AMOCann', '15_lag_wnorPRjfm', '19_lag_cetTSjfm', '12_lag_nppc2SSTjfm', '19_lag_shSICmar', '16_lag_traEC', '16_lag_nhSICjfm', '10_lag_17_median_nppc2SSTjfm', '10_lag_13_median_traMC', '18_lag_mhfATL30', '14_lag_traDP', '16_lag_amo2', '14_lag_shSICsep', '17_lag_amo3', '10_lag_eapPSLjfm', '10_lag_nhSICjfm', '18_lag_nppc3SSTjfm', '10_lag_15_median_mhfATL45', '16_lag_arcTSjfm', '16_lag_mhfATL60', '16_lag_amo1', '10_lag_nppc2SSTjfm', '12_lag_traDP']","[0.10703918629934675, 0.0823171408589667, 0.1464228700765667, 0.046137771454468984, 0.15058751348151508, 0.07202714661026845, 0.01921321413992617, 0.0718158142131561, 0.03233157948567145, 0.1275183347648756, 0.1673702452309903, 0.05793787120866756, 0.09005229267503138, 0.019373572367381638, 0.0379049465107124, 0.20211200989700379, 0.030502190517211446, 0.04165021786003599, 0.006341310934093149, 0.046164773970566404, 0.11151866900294619, 0.08223191676443813, 0.0981862107869095, 0.0443081727824019, 0.26922007213120075, 0.011626185451069262, 0.10556982863205196, 0.017284949329895317, 0.04963051570235916, 0.03656934229535958]","10_lag_17_median_nhSICjfm, 15_lag_traEU, 15_lag_nchinaPRjja, 16_lag_eurPSLjfm, 14_lag_traIT, 17_lag_tripol3, 15_lag_alpi, 13_lag_AMOCann, 15_lag_wnorPRjfm, 19_lag_cetTSjfm, 12_lag_nppc2SSTjfm, 19_lag_shSICmar, 16_lag_traEC, 16_lag_nhSICjfm, 10_lag_17_median_nppc2SSTjfm, 10_lag_13_median_traMC, 18_lag_mhfATL30, 14_lag_traDP, 16_lag_amo2, 14_lag_shSICsep, 17_lag_amo3, 10_lag_eapPSLjfm, 10_lag_nhSICjfm, 18_lag_nppc3SSTjfm, 10_lag_15_median_mhfATL45, 16_lag_arcTSjfm, 16_lag_mhfATL60, 16_lag_amo1, 10_lag_nppc2SSTjfm, 12_lag_traDP_1235_10"
LinearRegression,6,30,traMC,shigh,872.5,2005.5,0.4,21,11,11,13.503610225033604,0.23909151056218786,1235,"['15_lag_traEU', '11_lag_16_median_eapPSLjfm', '20_lag_eapPSLjfm', '15_lag_mhfATL45', '11_lag_18_median_traIT', '17_lag_wnorPRjfm', '20_lag_mhfATL30', '17_lag_cetTSjfm', '11_lag_14_median_stratZ50ndj03', '18_lag_stratZ50ndj03', '15_lag_eapPSLjfm', '11_lag_18_median_stratZ50ndj01', '11_lag_14_median_scpPSLjfm', '13_lag_traDP', '19_lag_cetTSjfm', '19_lag_shSICmar', '17_lag_traFB', '11_lag_16_median_naoPSLjfm', '20_lag_nhSICjfm', '11_lag_gyreSSTjfm', '11_lag_mhfATL45', '18_lag_shSICsep', '17_lag_amo3', '16_lag_amo1', '18_lag_ormenSSTjfm', '18_lag_satlSSTjfm', '15_lag_wnorPRjfm', '16_lag_traDP', '20_lag_satlSSTjfm', '18_lag_nppc3SSTjfm']","[0.07583237549088483, 0.1311288238960659, 0.00882036345660127, 0.1317977416520299, 0.17250514080174736, 0.06252185684814436, 0.08195662966003607, 0.02964511792910496, 0.14969058914982097, 0.04610703495887911, 0.056249474448506594, 0.12082900760136493, 0.10830695554042526, 0.35966382118564233, 0.10472656949596806, 0.14441886003401838, 0.14840924589036505, 0.0595649634082924, 0.08275340501322022, 0.09284702268367821, 0.13499328373232178, 0.10997143662533496, 0.00017431473619555337, 0.04683003435611502, 0.019871171513515033, 0.07601546201852909, 0.010522312620552456, 0.44725805317845757, 0.06014484875079911, 0.02122999520869949]","15_lag_traEU, 11_lag_16_median_eapPSLjfm, 20_lag_eapPSLjfm, 15_lag_mhfATL45, 11_lag_18_median_traIT, 17_lag_wnorPRjfm, 20_lag_mhfATL30, 17_lag_cetTSjfm, 11_lag_14_median_stratZ50ndj03, 18_lag_stratZ50ndj03, 15_lag_eapPSLjfm, 11_lag_18_median_stratZ50ndj01, 11_lag_14_median_scpPSLjfm, 13_lag_traDP, 19_lag_cetTSjfm, 19_lag_shSICmar, 17_lag_traFB, 11_lag_16_median_naoPSLjfm, 20_lag_nhSICjfm, 11_lag_gyreSSTjfm, 11_lag_mhfATL45, 18_lag_shSICsep, 17_lag_amo3, 16_lag_amo1, 18_lag_ormenSSTjfm, 18_lag_satlSSTjfm, 15_lag_wnorPRjfm, 16_lag_traDP, 20_lag_satlSSTjfm, 18_lag_nppc3SSTjfm_1235_11"
LinearRegression,7,30,traMC,shigh,873.5,2005.5,0.4,22,12,12,12.946827310756149,0.2944384982914646,1235,"['21_lag_scpPSLjfm', '12_lag_17_median_mhfATL60', '12_lag_17_median_arcTSjfm', '12_lag_stratZ50ndj04', '20_lag_eurPSLjfm', '16_lag_traMC', '20_lag_stratZ50ndj02', '19_lag_gyreSSTjfm', '19_lag_amo1', '18_lag_amo2', '15_lag_nchinaPRjja', '12_lag_17_median_stratZ50ndj02', '14_lag_scpPSLjfm', '18_lag_eurPSLjfm', '20_lag_mhfATL60', '18_lag_amo1', '12_lag_15_median_traTLS', '19_lag_mhfATL60', '20_lag_nppc3SSTjfm', '16_lag_nhSICjfm', '18_lag_shSICsep', '18_lag_stratZ50ndj03', '12_lag_15_median_traMC', '18_lag_satlSSTjfm', '17_lag_traFB', '18_lag_ormenSSTjfm', '16_lag_traDP', '16_lag_amo1', '19_lag_shSICmar', '15_lag_wnorPRjfm']","[0.06041512460319462, 0.03910317507915044, 0.22648930514637833, 0.09012457375969958, 0.04998069293765718, 0.11409450307360877, 0.05887228211601143, 0.022958576299491357, 0.05825174353668319, 0.024987347029677396, 0.10666936260187793, 0.07184448637052511, 0.07586985389784855, 0.019722736190156277, 0.06328979488719372, 0.018229997511919803, 0.111338265760827, 0.1392587418029526, 0.005617937872504652, 0.027210639402115804, 0.09399058249571945, 0.05161788861911159, 0.013328248062064221, 0.00135731679925849, 0.16246525459333166, 0.017885282659173704, 0.1301047420778195, 0.02260481958688287, 0.09822531564773646, 0.007061573575367051]","21_lag_scpPSLjfm, 12_lag_17_median_mhfATL60, 12_lag_17_median_arcTSjfm, 12_lag_stratZ50ndj04, 20_lag_eurPSLjfm, 16_lag_traMC, 20_lag_stratZ50ndj02, 19_lag_gyreSSTjfm, 19_lag_amo1, 18_lag_amo2, 15_lag_nchinaPRjja, 12_lag_17_median_stratZ50ndj02, 14_lag_scpPSLjfm, 18_lag_eurPSLjfm, 20_lag_mhfATL60, 18_lag_amo1, 12_lag_15_median_traTLS, 19_lag_mhfATL60, 20_lag_nppc3SSTjfm, 16_lag_nhSICjfm, 18_lag_shSICsep, 18_lag_stratZ50ndj03, 12_lag_15_median_traMC, 18_lag_satlSSTjfm, 17_lag_traFB, 18_lag_ormenSSTjfm, 16_lag_traDP, 16_lag_amo1, 19_lag_shSICmar, 15_lag_wnorPRjfm_1235_12"
LinearRegression,8,30,traMC,shigh,874.5,2005.5,0.4,23,13,13,12.652297592738483,0.3384903062407581,1235,"['13_lag_20_median_amo1', '19_lag_ensoSSTjfm', '19_lag_ginwSSTjfm', '16_lag_mhfATL60', '22_lag_traWP', '19_lag_mhfATL60', '13_lag_atlSICjfm', '13_lag_atlSICsep', '13_lag_18_median_traDS', '17_lag_ensoSSTjfm', '16_lag_traMC', '13_lag_ensoSSTjfm', '13_lag_traFB', '13_lag_16_median_atlSICjfm', '16_lag_traEC', '18_lag_amo1', '18_lag_shSICsep', '18_lag_nppc3SSTjfm', '20_lag_eurPSLjfm', '22_lag_stratZ50ndj02', '13_lag_tripol3', '13_lag_stratZ50ndj04', '13_lag_16_median_stratZ50ndj01', '19_lag_amo1', '13_lag_16_median_eurPSLjfm', '16_lag_neurTSjfm', '19_lag_shSICmar', '22_lag_shSICmar', '18_lag_ormenSSTjfm', '15_lag_wnorPRjfm']","[0.13704330483048274, 0.04877414399209493, 0.00019006835925516148, 0.03156097976030779, 0.05829849400055204, 0.11370176239370662, 0.028937515232044162, 0.0015735581546169773, 0.019658366189512104, 0.03145062213469302, 0.10883948253750357, 0.036337741456596746, 0.07395358189891704, 0.008474622510383462, 0.08650653372827015, 0.00805080865558203, 0.16185470978234565, 0.014662002699823776, 0.055303347668832444, 0.028039005601307385, 0.197125854277867, 0.11975666389391273, 0.0950236757946544, 0.11582163942911361, 0.08862042162570259, 0.07131573891798788, 0.12766419139608734, 0.08815553116521671, 0.003493352416246105, 0.007549260798011952]","13_lag_20_median_amo1, 19_lag_ensoSSTjfm, 19_lag_ginwSSTjfm, 16_lag_mhfATL60, 22_lag_traWP, 19_lag_mhfATL60, 13_lag_atlSICjfm, 13_lag_atlSICsep, 13_lag_18_median_traDS, 17_lag_ensoSSTjfm, 16_lag_traMC, 13_lag_ensoSSTjfm, 13_lag_traFB, 13_lag_16_median_atlSICjfm, 16_lag_traEC, 18_lag_amo1, 18_lag_shSICsep, 18_lag_nppc3SSTjfm, 20_lag_eurPSLjfm, 22_lag_stratZ50ndj02, 13_lag_tripol3, 13_lag_stratZ50ndj04, 13_lag_16_median_stratZ50ndj01, 19_lag_amo1, 13_lag_16_median_eurPSLjfm, 16_lag_neurTSjfm, 19_lag_shSICmar, 22_lag_shSICmar, 18_lag_ormenSSTjfm, 15_lag_wnorPRjfm_1235_13"
LinearRegression,9,30,traMC,shigh,875.5,2005.5,0.4,24,14,14,13.511702009874472,0.1616316541136353,1235,"['18_lag_pdoSSTjfm', '14_lag_19_median_neurTSjfm', '14_lag_shSICsep', '14_lag_19_median_ginwSSTjfm', '16_lag_traDP', '14_lag_18_median_neurTSjfm', '19_lag_traFSC', '23_lag_amo1', '18_lag_stratZ50ndj03', '14_lag_satlSSTjfm', '14_lag_17_median_atlSICjfm', '22_lag_shSICsep', '21_lag_amoSSTmjjaso', '16_lag_mhfATL60', '19_lag_mhfATL60', '21_lag_tripol3', '14_lag_wnorPRjfm', '18_lag_mhfATL45', '22_lag_nchinaPRjja', '14_lag_17_median_traTLS', '14_lag_19_median_traMC', '14_lag_17_median_neurTSjfm', '14_lag_17_median_traFSC', '20_lag_stratZ50ndj02', '14_lag_17_median_pdoSSTjfm', '22_lag_shSICmar', '16_lag_neurTSjfm', '14_lag_17_median_wnorPRjfm', '14_lag_traFSC', '18_lag_ormenSSTjfm']","[0.03201116388434625, 0.0164137442247683, 0.03219218121560704, 0.2647152692780869, 0.1859479176987417, 0.2687108706094902, 0.033578219498013255, 0.07157621244868312, 0.040419405234521213, 0.1067128469296278, 0.15087910224082507, 0.10502070122122567, 0.08884757649548948, 0.13551593996086128, 0.08440598262544674, 0.061373522759363135, 0.11941122424330367, 0.11227234135820761, 0.035983147777211864, 0.01353847225891234, 0.25355371929296133, 0.2472640402015402, 0.04474156952324876, 0.07893483140316629, 0.031548812322250985, 0.11269089078371176, 0.09955332400584715, 0.03186420165130389, 0.09925301209048625, 0.08310346903799998]","18_lag_pdoSSTjfm, 14_lag_19_median_neurTSjfm, 14_lag_shSICsep, 14_lag_19_median_ginwSSTjfm, 16_lag_traDP, 14_lag_18_median_neurTSjfm, 19_lag_traFSC, 23_lag_amo1, 18_lag_stratZ50ndj03, 14_lag_satlSSTjfm, 14_lag_17_median_atlSICjfm, 22_lag_shSICsep, 21_lag_amoSSTmjjaso, 16_lag_mhfATL60, 19_lag_mhfATL60, 21_lag_tripol3, 14_lag_wnorPRjfm, 18_lag_mhfATL45, 22_lag_nchinaPRjja, 14_lag_17_median_traTLS, 14_lag_19_median_traMC, 14_lag_17_median_neurTSjfm, 14_lag_17_median_traFSC, 20_lag_stratZ50ndj02, 14_lag_17_median_pdoSSTjfm, 22_lag_shSICmar, 16_lag_neurTSjfm, 14_lag_17_median_wnorPRjfm, 14_lag_traFSC, 18_lag_ormenSSTjfm_1235_14"
