model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traTLS,shigh,1514.5,2005.5,0.4,15,1,1,15.588648074955405,-0.10686759461890377,1755,"['10_lag_naoPSLjfm', '8_lag_traFSC', '7_lag_traDS', '12_lag_gyreSSTjfm', '1_lag_11_median_amo3', '5_lag_tripol3', '1_lag_9_median_nhSICsep', '3_lag_shSICmar', '6_lag_shSICmar', '9_lag_stratZ50ndj03']","[2.9697113876590624, 9.346369701367799, 3.9294267331440924, 2.3031538184133176, 3.023595428323995, 0.5943543469855292, 1.9182938655580841, 2.2554079613779603, 2.763587402899647, 3.111364393373421]","10_lag_naoPSLjfm, 8_lag_traFSC, 7_lag_traDS, 12_lag_gyreSSTjfm, 1_lag_11_median_amo3, 5_lag_tripol3, 1_lag_9_median_nhSICsep, 3_lag_shSICmar, 6_lag_shSICmar, 9_lag_stratZ50ndj03_1755_1"
LRforcedPSO,1,10,traTLS,shigh,1515.5,2005.5,0.4,16,1,1,19.808394533136262,0.05236651166999816,1885,"['1_lag_3_median_glTSjfm', '1_lag_2_median_traDS', '2_lag_stratZ50ndj01', '5_lag_mhfATL60', '1_lag_14_median_shTSjfm', '3_lag_mhfATL60', '3_lag_stratZ50ndj02', '5_lag_amo1', '8_lag_seurTSjfm', '1_lag_6_median_traEU']","[6.476122207360621, 0.511660690529423, 5.4419389700314, 3.7480758717563294, 2.0358890419586118, 1.3533932202861934, 0.08865886384526966, 1.0700639001777628, 4.26290843489031, 3.090101623346748]","1_lag_3_median_glTSjfm, 1_lag_2_median_traDS, 2_lag_stratZ50ndj01, 5_lag_mhfATL60, 1_lag_14_median_shTSjfm, 3_lag_mhfATL60, 3_lag_stratZ50ndj02, 5_lag_amo1, 8_lag_seurTSjfm, 1_lag_6_median_traEU_1885_1"
LRforcedPSO,2,10,traTLS,shigh,1516.5,2005.5,0.4,17,1,1,17.130082779125605,-0.029381272727267985,2015,"['1_lag_6_median_nppc2SSTjfm', '10_lag_traCA', '9_lag_nchinaPRjja', '14_lag_traEC', '8_lag_traEU', '1_lag_6_median_ismPRjja', '1_lag_14_median_ensoSSTjfm', '15_lag_ismPRjja', '1_lag_14_median_ismPRjja', '3_lag_tripol3']","[3.7777785938863717, 3.2418332557004312, 0.16156606773583881, 1.323652417842574, 2.5686891200507356, 3.5575306339115764, 4.589534923629044, 5.640308875501077, 6.727758660779383, 3.406229417918208]","1_lag_6_median_nppc2SSTjfm, 10_lag_traCA, 9_lag_nchinaPRjja, 14_lag_traEC, 8_lag_traEU, 1_lag_6_median_ismPRjja, 1_lag_14_median_ensoSSTjfm, 15_lag_ismPRjja, 1_lag_14_median_ismPRjja, 3_lag_tripol3_2015_1"
LRforcedPSO,3,10,traTLS,shigh,1517.5,2005.5,0.4,18,1,1,13.588391257032761,-0.08346467938005238,2145,"['1_lag_17_median_scpPSLjfm', '1_lag_10_median_traFB', '6_lag_amo3', '1_lag_17_median_glTSjfm', '1_lag_8_median_nppc2SSTjfm', '15_lag_satlSSTjfm', '1_lag_8_median_mhfATL45', '17_lag_traMC', '15_lag_traFS', '8_lag_nhSICjfm']","[0.5386332353693568, 3.3291279400828255, 4.842127544949806, 5.319477723324406, 1.829581091165526, 1.2247921569974451, 2.1879905186016257, 0.16093311783357933, 2.4636401818524423, 5.068466879139917]","1_lag_17_median_scpPSLjfm, 1_lag_10_median_traFB, 6_lag_amo3, 1_lag_17_median_glTSjfm, 1_lag_8_median_nppc2SSTjfm, 15_lag_satlSSTjfm, 1_lag_8_median_mhfATL45, 17_lag_traMC, 15_lag_traFS, 8_lag_nhSICjfm_2145_1"
LRforcedPSO,4,10,traTLS,shigh,1518.5,2005.5,0.4,19,1,1,16.650945956890656,-0.01881296830453301,2275,"['5_lag_glomaSSTjfm', '8_lag_gyreSSTjfm', '1_lag_4_median_mhfATL30', '1_lag_3_median_ormenSSTjfm', '18_lag_AMOCann', '6_lag_shTSjfm', '5_lag_alpi', '1_lag_13_median_solFORC', '8_lag_tripol2', '15_lag_scpPSLjfm']","[1.2888267033596001, 5.841270080633009, 3.6512578877188684, 3.3825954253263966, 0.13292289819851177, 4.0384924432126255, 1.7279703316655528, 1.679493820278438, 2.9525083592222234, 2.15492151132959]","5_lag_glomaSSTjfm, 8_lag_gyreSSTjfm, 1_lag_4_median_mhfATL30, 1_lag_3_median_ormenSSTjfm, 18_lag_AMOCann, 6_lag_shTSjfm, 5_lag_alpi, 1_lag_13_median_solFORC, 8_lag_tripol2, 15_lag_scpPSLjfm_2275_1"
LRforcedPSO,5,10,traTLS,shigh,1519.5,2005.5,0.4,20,1,1,22.402824920085394,0.09286249332381023,2405,"['1_lag_15_median_eapPSLjfm', '3_lag_traMC', '16_lag_shTSjfm', '1_lag_4_median_nppc3SSTjfm', '3_lag_atlSICsep', '13_lag_nhSICsep', '10_lag_naoPSLjfm', '15_lag_shTSjfm', '1_lag_10_median_solFORC', '5_lag_traDP']","[4.912184603772747, 3.6534500013670463, 3.7179458707063677, 7.626744735261677, 0.5092222051505573, 8.015707122035764, 3.595634714660423, 9.467312080297038, 4.499240007761558, 3.5308913470855785]","1_lag_15_median_eapPSLjfm, 3_lag_traMC, 16_lag_shTSjfm, 1_lag_4_median_nppc3SSTjfm, 3_lag_atlSICsep, 13_lag_nhSICsep, 10_lag_naoPSLjfm, 15_lag_shTSjfm, 1_lag_10_median_solFORC, 5_lag_traDP_2405_1"
LRforcedPSO,6,10,traTLS,shigh,1520.5,2005.5,0.4,21,1,1,14.951517698005393,0.08223145417056424,2535,"['18_lag_traCA', '4_lag_eapPSLjfm', '2_lag_traMC', '19_lag_scpPSLjfm', '1_lag_4_median_traMC', '1_lag_8_median_gyreSSTjfm', '1_lag_7_median_nhTSjfm', '12_lag_traIFC', '3_lag_ensoSSTjfm', '4_lag_yrvPRjja']","[2.4850165972209464, 6.559629378527422, 6.62322563510838, 0.015812689366583754, 8.146945821851872, 2.6643663076594626, 1.0338527748006072, 1.2671594399595936, 1.0315324340679517, 1.2490035257410206]","18_lag_traCA, 4_lag_eapPSLjfm, 2_lag_traMC, 19_lag_scpPSLjfm, 1_lag_4_median_traMC, 1_lag_8_median_gyreSSTjfm, 1_lag_7_median_nhTSjfm, 12_lag_traIFC, 3_lag_ensoSSTjfm, 4_lag_yrvPRjja_2535_1"
LRforcedPSO,7,10,traTLS,shigh,1521.5,2005.5,0.4,22,1,1,18.436076871639422,0.0863446667695921,2665,"['1_lag_20_median_mhfATL30', '9_lag_arcTSjfm', '1_lag_4_median_traDS', '1_lag_18_median_stratZ50ndj03', '1_lag_traMC', '11_lag_nhSICsep', '1_lag_19_median_stratZ50ndj02', '1_lag_16_median_shTSjfm', '13_lag_wnorPRjfm', '9_lag_nhTSjfm']","[1.6162806918196093, 1.962698292744502, 0.769409347225313, 8.397885290352715, 5.282037412158824, 4.828017778157079, 0.7331184888374747, 4.215813624237779, 1.0380301711505542, 8.933747940208548]","1_lag_20_median_mhfATL30, 9_lag_arcTSjfm, 1_lag_4_median_traDS, 1_lag_18_median_stratZ50ndj03, 1_lag_traMC, 11_lag_nhSICsep, 1_lag_19_median_stratZ50ndj02, 1_lag_16_median_shTSjfm, 13_lag_wnorPRjfm, 9_lag_nhTSjfm_2665_1"
LRforcedPSO,8,10,traTLS,shigh,1522.5,2005.5,0.4,23,1,1,21.723354034557953,0.03210819900792132,2795,"['11_lag_ensoSSTjfm', '1_lag_traDP', '14_lag_nchinaPRjja', '1_lag_16_median_amoSSTmjjaso', '1_lag_12_median_traIFC', '6_lag_wnorPRjfm', '5_lag_tripol2', '1_lag_11_median_tripol2', '17_lag_nchinaPRjja', '1_lag_9_median_alpi']","[3.0742479321289284, 3.0366848290297943, 2.6040210647015094, 2.5333980211435776, 1.6272416745472569, 2.6928307527445305, 2.5576352984461757, 1.593114365875298, 4.025907521300947, 4.549175820708593]","11_lag_ensoSSTjfm, 1_lag_traDP, 14_lag_nchinaPRjja, 1_lag_16_median_amoSSTmjjaso, 1_lag_12_median_traIFC, 6_lag_wnorPRjfm, 5_lag_tripol2, 1_lag_11_median_tripol2, 17_lag_nchinaPRjja, 1_lag_9_median_alpi_2795_1"
LRforcedPSO,9,10,traTLS,shigh,1523.5,2005.5,0.4,24,1,1,17.818011945818238,0.0014689764991643898,2925,"['10_lag_pdoSSTjfm', '1_lag_18_median_naoPSLjfm', '7_lag_shSICsep', '1_lag_11_median_ismPRjja', '10_lag_traEU', '22_lag_arcTSjfm', '1_lag_21_median_alpi', '1_lag_4_median_shSICmar', '1_lag_3_median_amo2', '8_lag_mhfIP30']","[1.3227864290992937, 3.27306323507592, 5.099027765003807, 3.3573283186670366, 2.532838872999701, 0.6835582063735952, 1.626924254001148, 3.4434891187818195, 5.38902736768363, 6.145634280042421]","10_lag_pdoSSTjfm, 1_lag_18_median_naoPSLjfm, 7_lag_shSICsep, 1_lag_11_median_ismPRjja, 10_lag_traEU, 22_lag_arcTSjfm, 1_lag_21_median_alpi, 1_lag_4_median_shSICmar, 1_lag_3_median_amo2, 8_lag_mhfIP30_2925_1"
