model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traTLS,shigh,866.5,2005.5,0.4,15,1,1,11.922346676589802,0.05985220636755249,1755,"['5_lag_shSICsep', '6_lag_traEU', '1_lag_traTLS', '1_lag_4_median_scpPSLjfm', '12_lag_atlSICjfm', '11_lag_labSSTjfm']","[0.032201135969963914, 0.06211861818248477, 0.027875853569369124, 0.11907076442641601, 0.0784098237558923, 0.0982773993873578]","5_lag_shSICsep, 6_lag_traEU, 1_lag_traTLS, 1_lag_4_median_scpPSLjfm, 12_lag_atlSICjfm, 11_lag_labSSTjfm_1755_1"
LinearRegression,1,6,traTLS,shigh,867.5,2005.5,0.4,16,1,1,11.930543384720604,0.07036098580710212,1885,"['14_lag_traFB', '6_lag_traEU', '1_lag_4_median_scpPSLjfm', '11_lag_labSSTjfm', '12_lag_atlSICjfm', '1_lag_traTLS']","[0.06581094504110974, 0.061293323404034185, 0.12159898624827631, 0.10345224853872383, 0.07663426100284082, 0.03134737060817587]","14_lag_traFB, 6_lag_traEU, 1_lag_4_median_scpPSLjfm, 11_lag_labSSTjfm, 12_lag_atlSICjfm, 1_lag_traTLS_1885_1"
LinearRegression,2,6,traTLS,shigh,868.5,2005.5,0.4,17,1,1,12.125848349677154,0.07415674025384349,2015,"['5_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '16_lag_yrvPRjja', '13_lag_stratZ50ndj04', '11_lag_labSSTjfm', '1_lag_traTLS']","[0.05751147357442068, 0.1566512380337237, 0.11736095685267241, 0.10498218222641659, 0.07508660035483826, 0.02813375383272906]","5_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 16_lag_yrvPRjja, 13_lag_stratZ50ndj04, 11_lag_labSSTjfm, 1_lag_traTLS_2015_1"
LinearRegression,3,6,traTLS,shigh,869.5,2005.5,0.4,18,1,1,12.08759328930851,0.02466183863548786,2145,"['12_lag_atlSICjfm', '5_lag_stratZ50ndj02', '16_lag_yrvPRjja', '13_lag_stratZ50ndj04', '11_lag_labSSTjfm', '1_lag_traTLS']","[0.06631674445650236, 0.05333087866275984, 0.10954731886887213, 0.1094050553368355, 0.09445023551885304, 0.02570978993600637]","12_lag_atlSICjfm, 5_lag_stratZ50ndj02, 16_lag_yrvPRjja, 13_lag_stratZ50ndj04, 11_lag_labSSTjfm, 1_lag_traTLS_2145_1"
LinearRegression,4,6,traTLS,shigh,870.5,2005.5,0.4,19,1,1,12.192054194484367,0.01088648592540569,2275,"['13_lag_stratZ50ndj04', '18_lag_shSICmar', '11_lag_labSSTjfm', '18_lag_nchinaPRjja', '16_lag_yrvPRjja', '1_lag_traTLS']","[0.11094196176372842, 0.07540521479399818, 0.05094639713093692, 0.10842972022713734, 0.12461975788719752, 0.0277537276588432]","13_lag_stratZ50ndj04, 18_lag_shSICmar, 11_lag_labSSTjfm, 18_lag_nchinaPRjja, 16_lag_yrvPRjja, 1_lag_traTLS_2275_1"
LinearRegression,5,6,traTLS,shigh,871.5,2005.5,0.4,20,1,1,12.410811996787816,0.019188616455542713,2405,"['1_lag_scpPSLjfm', '15_lag_traWP', '16_lag_yrvPRjja', '1_lag_traTLS', '7_lag_scpPSLjfm', '18_lag_nchinaPRjja']","[0.15513857431821929, 0.10510217868307802, 0.11285436975527807, 0.02777651498285532, 0.07382523238430493, 0.11961012475883141]","1_lag_scpPSLjfm, 15_lag_traWP, 16_lag_yrvPRjja, 1_lag_traTLS, 7_lag_scpPSLjfm, 18_lag_nchinaPRjja_2405_1"
LinearRegression,6,6,traTLS,shigh,872.5,2005.5,0.4,21,1,1,12.322204882367194,-0.046015731157865065,2535,"['1_lag_traTLS', '8_lag_stratZ50ndj01', '1_lag_ismPRjja', '7_lag_scpPSLjfm', '15_lag_traWP', '18_lag_nchinaPRjja']","[0.05315511850240809, 0.06738173256023812, 0.09807111678727724, 0.09156570687254885, 0.11731754536179437, 0.09600454281676207]","1_lag_traTLS, 8_lag_stratZ50ndj01, 1_lag_ismPRjja, 7_lag_scpPSLjfm, 15_lag_traWP, 18_lag_nchinaPRjja_2535_1"
LinearRegression,7,6,traTLS,shigh,873.5,2005.5,0.4,22,1,1,12.341245941205258,0.024362666851643264,2665,"['8_lag_nchinaPRjja', '15_lag_traWP', '5_lag_stratZ50ndj02', '1_lag_scpPSLjfm', '18_lag_nchinaPRjja', '8_lag_stratZ50ndj01']","[0.08654262457193847, 0.09335864747081664, 0.08602819290294807, 0.16368276175159477, 0.09761742728010486, 0.09013782455432015]","8_lag_nchinaPRjja, 15_lag_traWP, 5_lag_stratZ50ndj02, 1_lag_scpPSLjfm, 18_lag_nchinaPRjja, 8_lag_stratZ50ndj01_2665_1"
LinearRegression,8,6,traTLS,shigh,874.5,2005.5,0.4,23,1,1,12.467173008747276,-0.016992039424433784,2795,"['5_lag_stratZ50ndj02', '13_lag_stratZ50ndj04', '18_lag_nchinaPRjja', '22_lag_ismPRjja', '1_lag_scpPSLjfm', '8_lag_stratZ50ndj01']","[0.07231803478509069, 0.11053579473782629, 0.09230517081256776, 0.07165835244207369, 0.1687121386749173, 0.09521539610063204]","5_lag_stratZ50ndj02, 13_lag_stratZ50ndj04, 18_lag_nchinaPRjja, 22_lag_ismPRjja, 1_lag_scpPSLjfm, 8_lag_stratZ50ndj01_2795_1"
LinearRegression,9,6,traTLS,shigh,875.5,2005.5,0.4,24,1,1,12.318573936493577,0.006163583547324172,2925,"['1_lag_traTLS', '7_lag_scpPSLjfm', '8_lag_nchinaPRjja', '13_lag_stratZ50ndj04', '1_lag_scpPSLjfm', '8_lag_stratZ50ndj01']","[0.02315925054423394, 0.0579666982552913, 0.0673768765860481, 0.11761689920791207, 0.16443103324374567, 0.09092390070063636]","1_lag_traTLS, 7_lag_scpPSLjfm, 8_lag_nchinaPRjja, 13_lag_stratZ50ndj04, 1_lag_scpPSLjfm, 8_lag_stratZ50ndj01_2925_1"
