model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traWP,shigh,866.5,2005.5,0.6,15,1,1,9.431116390854358,0.4347437593266336,1755,"['1_lag_8_median_neurTSjfm', '1_lag_traWP', '1_lag_6_median_yrvPRjja', '6_lag_satlSSTjfm', '13_lag_stratZ50ndj04', '14_lag_atlSICjfm', '1_lag_4_median_traBS', '5_lag_amo3', '5_lag_shSICmar', '9_lag_ormenSSTjfm']","[0.16628006295967823, 0.28454943106053693, 0.03955631343157544, 0.10972737880103431, 0.03131338734760584, 0.044893304809527995, 0.03620087360823981, 0.05520465652214594, 0.07937947701965457, 0.0949478910682775]","1_lag_8_median_neurTSjfm, 1_lag_traWP, 1_lag_6_median_yrvPRjja, 6_lag_satlSSTjfm, 13_lag_stratZ50ndj04, 14_lag_atlSICjfm, 1_lag_4_median_traBS, 5_lag_amo3, 5_lag_shSICmar, 9_lag_ormenSSTjfm_1755_1"
LinearRegression,1,10,traWP,shigh,867.5,2005.5,0.6,16,1,1,9.332458519362813,0.4887409832704553,1885,"['1_lag_6_median_yrvPRjja', '5_lag_shSICmar', '1_lag_atlSICsep', '5_lag_shSICsep', '14_lag_satlSSTjfm', '1_lag_4_median_traBS', '13_lag_stratZ50ndj04', '1_lag_traWP', '5_lag_amo3', '9_lag_ormenSSTjfm']","[0.028305004995969447, 0.08816448193498362, 0.04186769145173101, 0.0037478287869435467, 0.06759037054270134, 0.02753959229146972, 0.04176035356466962, 0.30232023224643206, 0.050937567835968756, 0.09895682303812406]","1_lag_6_median_yrvPRjja, 5_lag_shSICmar, 1_lag_atlSICsep, 5_lag_shSICsep, 14_lag_satlSSTjfm, 1_lag_4_median_traBS, 13_lag_stratZ50ndj04, 1_lag_traWP, 5_lag_amo3, 9_lag_ormenSSTjfm_1885_1"
LinearRegression,2,10,traWP,shigh,868.5,2005.5,0.6,17,1,1,8.96691980949637,0.5415110475065321,2015,"['6_lag_stratZ50ndj01', '1_lag_traWP', '8_lag_amo1', '4_lag_amoSSTmjjaso', '1_lag_4_median_traBS', '13_lag_stratZ50ndj04', '14_lag_atlSICjfm', '15_lag_stratZ50ndj04', '5_lag_amo3', '9_lag_ormenSSTjfm']","[0.06241267716187176, 0.2921264559302785, 0.03314996129255654, 0.11143536751384553, 0.029775415171540493, 0.035720591507427256, 0.025293493812472492, 0.06293521313532753, 0.08704544964642655, 0.12649995100024475]","6_lag_stratZ50ndj01, 1_lag_traWP, 8_lag_amo1, 4_lag_amoSSTmjjaso, 1_lag_4_median_traBS, 13_lag_stratZ50ndj04, 14_lag_atlSICjfm, 15_lag_stratZ50ndj04, 5_lag_amo3, 9_lag_ormenSSTjfm_2015_1"
LinearRegression,3,10,traWP,shigh,869.5,2005.5,0.6,18,1,1,9.056217457494538,0.5146680983130176,2145,"['13_lag_stratZ50ndj04', '1_lag_traWP', '6_lag_stratZ50ndj01', '14_lag_atlSICjfm', '8_lag_amo1', '15_lag_stratZ50ndj04', '4_lag_amoSSTmjjaso', '5_lag_amo3', '9_lag_ormenSSTjfm', '17_lag_atlSICjfm']","[0.03575650111779101, 0.29020978416006404, 0.06783961414985062, 0.043358012451433364, 0.027827262211427964, 0.06263977994624358, 0.10413615841348249, 0.0853324773351542, 0.11241069597158583, 0.06032996814994895]","13_lag_stratZ50ndj04, 1_lag_traWP, 6_lag_stratZ50ndj01, 14_lag_atlSICjfm, 8_lag_amo1, 15_lag_stratZ50ndj04, 4_lag_amoSSTmjjaso, 5_lag_amo3, 9_lag_ormenSSTjfm, 17_lag_atlSICjfm_2145_1"
LinearRegression,4,10,traWP,shigh,870.5,2005.5,0.6,19,1,1,9.201663036312095,0.4721549806604369,2275,"['16_lag_eapPSLjfm', '1_lag_traWP', '17_lag_atlSICjfm', '15_lag_stratZ50ndj04', '13_lag_stratZ50ndj04', '5_lag_amo3', '12_lag_yrvPRjja', '9_lag_ormenSSTjfm', '5_lag_nhSICsep', '8_lag_amo1']","[0.027603490056952375, 0.30659466091916693, 0.057620572791703364, 0.0763608750479147, 0.020362988459166863, 0.04132335344457555, 0.057109017577373494, 0.08104245858007493, 0.015433194477898461, 0.036771851522572195]","16_lag_eapPSLjfm, 1_lag_traWP, 17_lag_atlSICjfm, 15_lag_stratZ50ndj04, 13_lag_stratZ50ndj04, 5_lag_amo3, 12_lag_yrvPRjja, 9_lag_ormenSSTjfm, 5_lag_nhSICsep, 8_lag_amo1_2275_1"
LinearRegression,5,10,traWP,shigh,871.5,2005.5,0.6,20,1,1,9.279035543749126,0.44540830514797514,2405,"['1_lag_traWP', '17_lag_atlSICjfm', '1_lag_stratZ50ndj01', '12_lag_yrvPRjja', '13_lag_stratZ50ndj04', '15_lag_tripol3', '4_lag_arcTSjfm', '1_lag_amo1', '5_lag_nhSICsep', '8_lag_amo1']","[0.34490836620353793, 0.08924564658907883, 0.06907998225573411, 0.06664290013961682, 0.048838213795489985, 0.08961661592087808, 0.06068803688166608, 0.06166220725127729, 0.059912501757763775, 0.04344928427787128]","1_lag_traWP, 17_lag_atlSICjfm, 1_lag_stratZ50ndj01, 12_lag_yrvPRjja, 13_lag_stratZ50ndj04, 15_lag_tripol3, 4_lag_arcTSjfm, 1_lag_amo1, 5_lag_nhSICsep, 8_lag_amo1_2405_1"
LinearRegression,6,10,traWP,shigh,872.5,2005.5,0.6,21,1,1,8.966423506949889,0.5203431241052185,2535,"['8_lag_amo1', '18_lag_traTLS', '17_lag_atlSICjfm', '1_lag_stratZ50ndj01', '1_lag_traWP', '20_lag_satlSSTjfm', '15_lag_tripol3', '9_lag_ormenSSTjfm', '12_lag_yrvPRjja', '20_lag_nhSICsep']","[0.015529841282174967, 0.03212157309178504, 0.07435503264873435, 0.07006835813658342, 0.3211095825087751, 0.040744931431866485, 0.06340951272567513, 0.1084655715992581, 0.05990653480133836, 0.08090057449602331]","8_lag_amo1, 18_lag_traTLS, 17_lag_atlSICjfm, 1_lag_stratZ50ndj01, 1_lag_traWP, 20_lag_satlSSTjfm, 15_lag_tripol3, 9_lag_ormenSSTjfm, 12_lag_yrvPRjja, 20_lag_nhSICsep_2535_1"
LinearRegression,7,10,traWP,shigh,873.5,2005.5,0.6,22,2,2,8.637538854734036,0.5612614406433868,2535,"['20_lag_nhSICjfm', '2_lag_traWP', '12_lag_ginwSSTjfm', '16_lag_scpPSLjfm', '2_lag_AMOCann', '21_lag_nhSICjfm', '20_lag_nhSICsep', '15_lag_stratZ50ndj04', '2_lag_mhfATL45', '9_lag_ormenSSTjfm']","[0.142938849069515, 0.041140864670921276, 0.06734434118854193, 0.06473967367318886, 0.23949805701250101, 0.08048102556749505, 0.11751592461930604, 0.08818609279525173, 0.20289985932459145, 0.09084872246102763]","20_lag_nhSICjfm, 2_lag_traWP, 12_lag_ginwSSTjfm, 16_lag_scpPSLjfm, 2_lag_AMOCann, 21_lag_nhSICjfm, 20_lag_nhSICsep, 15_lag_stratZ50ndj04, 2_lag_mhfATL45, 9_lag_ormenSSTjfm_2535_2"
LinearRegression,8,10,traWP,shigh,874.5,2005.5,0.6,23,3,3,10.653768246911527,-0.048593936601608226,2535,"['9_lag_traBS', '15_lag_stratZ50ndj04', '9_lag_nchinaPRjja', '20_lag_nhSICjfm', '3_lag_traEC', '20_lag_amo2', '20_lag_nhSICsep', '17_lag_atlSICjfm', '6_lag_eurPSLjfm', '9_lag_ormenSSTjfm']","[0.04021211212191857, 0.09229111921833218, 0.025847911650954875, 0.08129498400941296, 0.04618522169317848, 0.09403352176768333, 0.16144992247591877, 0.05694656682058783, 0.040903124865925886, 0.1494581952404081]","9_lag_traBS, 15_lag_stratZ50ndj04, 9_lag_nchinaPRjja, 20_lag_nhSICjfm, 3_lag_traEC, 20_lag_amo2, 20_lag_nhSICsep, 17_lag_atlSICjfm, 6_lag_eurPSLjfm, 9_lag_ormenSSTjfm_2535_3"
LinearRegression,9,10,traWP,shigh,875.5,2005.5,0.6,24,4,4,10.40566587591792,0.04282164402736147,2535,"['21_lag_neurTSjfm', '17_lag_atlSICjfm', '20_lag_nhSICjfm', '15_lag_stratZ50ndj04', '11_lag_tripol3', '9_lag_ormenSSTjfm', '23_lag_traMC', '19_lag_atlSICsep', '20_lag_nhSICsep', '4_lag_9_median_alpi']","[0.0012638682480234145, 0.05494642214298699, 0.10449696116734486, 0.08728066709170582, 0.004885427836512458, 0.14563694318420306, 0.042800258957608306, 0.007916449827833117, 0.14733870420338804, 0.003131030944509709]","21_lag_neurTSjfm, 17_lag_atlSICjfm, 20_lag_nhSICjfm, 15_lag_stratZ50ndj04, 11_lag_tripol3, 9_lag_ormenSSTjfm, 23_lag_traMC, 19_lag_atlSICsep, 20_lag_nhSICsep, 4_lag_9_median_alpi_2535_4"
