model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,tripol3,shigh,866.5,2005.5,0.6,15,1,1,8.207154750059267,0.6176239361198221,1755,"['1_lag_glomaSSTjfm', '10_lag_glomaSSTjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.1377167218502736, 0.1489536840065673, 0.14859877118765877, 0.1676400738490138, 0.19102714673352586, 0.20606360237296076]","1_lag_glomaSSTjfm, 10_lag_glomaSSTjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_1755_1"
RandomForestRegressor,1,6,tripol3,shigh,867.5,2005.5,0.6,16,1,1,8.307094659998791,0.6126601248698608,1885,"['1_lag_glomaSSTjfm', '10_lag_glomaSSTjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.12855602745568095, 0.15506960159609945, 0.1404725041757951, 0.1785976777513549, 0.1879155536675446, 0.20938863535352503]","1_lag_glomaSSTjfm, 10_lag_glomaSSTjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_1885_1"
RandomForestRegressor,2,6,tripol3,shigh,868.5,2005.5,0.6,17,1,1,8.214170997531857,0.617906076070401,2015,"['16_lag_traDP', '1_lag_16_median_shTSjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.12814547272728066, 0.14023517927579726, 0.15069269851609368, 0.16202455470660396, 0.1911066812486131, 0.22779541352561136]","16_lag_traDP, 1_lag_16_median_shTSjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_2015_1"
RandomForestRegressor,3,6,tripol3,shigh,869.5,2005.5,0.6,18,1,1,8.292781590249628,0.6222590060273143,2145,"['1_lag_glomaSSTjfm', '1_lag_16_median_shTSjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.13445948446147404, 0.14483450314146235, 0.13870915030471212, 0.1757571050890557, 0.19601224002718176, 0.210227516976114]","1_lag_glomaSSTjfm, 1_lag_16_median_shTSjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_2145_1"
RandomForestRegressor,4,6,tripol3,shigh,870.5,2005.5,0.6,19,1,1,8.196676037393978,0.6297258176801827,2275,"['1_lag_glomaSSTjfm', '1_lag_16_median_shTSjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.13788616059925327, 0.13771114175477164, 0.14470497486645967, 0.18033189161720556, 0.19635412433277816, 0.20301170682953165]","1_lag_glomaSSTjfm, 1_lag_16_median_shTSjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_2275_1"
RandomForestRegressor,5,6,tripol3,shigh,871.5,2005.5,0.6,20,1,1,8.227210715393609,0.6194411763909453,2405,"['1_lag_traTLS', '1_lag_16_median_shTSjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.11922464354080048, 0.1462714181185413, 0.15777892497849688, 0.1827785076580577, 0.1757054629239706, 0.21824104278013298]","1_lag_traTLS, 1_lag_16_median_shTSjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_2405_1"
RandomForestRegressor,6,6,tripol3,shigh,872.5,2005.5,0.6,21,1,1,8.296871310841771,0.6013687093454971,2535,"['1_lag_traTLS', '1_lag_20_median_shTSjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.12468768331083208, 0.13634794963147517, 0.14733334866227016, 0.17812086040861158, 0.1863360801444966, 0.22717407784231447]","1_lag_traTLS, 1_lag_20_median_shTSjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_2535_1"
RandomForestRegressor,7,6,tripol3,shigh,873.5,2005.5,0.6,22,1,1,8.33555618293039,0.6038692676490697,2665,"['1_lag_traTLS', '1_lag_20_median_shTSjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.1180688293820043, 0.1282870758712002, 0.1535232159298295, 0.17542959214049747, 0.19302120293206404, 0.23167008374440448]","1_lag_traTLS, 1_lag_20_median_shTSjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_2665_1"
RandomForestRegressor,8,6,tripol3,shigh,874.5,2005.5,0.6,23,1,1,8.11869123183129,0.6222156314197932,2795,"['1_lag_traTLS', '1_lag_20_median_shTSjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.11420935737729966, 0.1318410972856058, 0.15057281383013005, 0.1847235992008599, 0.1965162353294454, 0.2221368969766592]","1_lag_traTLS, 1_lag_20_median_shTSjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_2795_1"
RandomForestRegressor,9,6,tripol3,shigh,875.5,2005.5,0.6,24,1,1,8.21283128066847,0.6140545357302645,2925,"['1_lag_traTLS', '1_lag_20_median_shTSjfm', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.11819453316581949, 0.1308036233309659, 0.15622673609311133, 0.17873276125229584, 0.18297615818743743, 0.23306618797037001]","1_lag_traTLS, 1_lag_20_median_shTSjfm, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_2925_1"
RandomForestRegressor,10,6,tripol3,shigh,876.5,2005.5,0.6,25,1,1,8.268467232777423,0.6104927811853146,3055,"['1_lag_20_median_shTSjfm', '1_lag_traTLS', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.1357783743329508, 0.11729474728505637, 0.14031070767580445, 0.18329690736755858, 0.18953726404078444, 0.23378199929784543]","1_lag_20_median_shTSjfm, 1_lag_traTLS, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_3055_1"
RandomForestRegressor,11,6,tripol3,shigh,877.5,2005.5,0.6,26,1,1,8.1998687311476,0.6111656364148009,3185,"['1_lag_20_median_shTSjfm', '1_lag_traTLS', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.14521994283227485, 0.12170800100848962, 0.14868283961997278, 0.1724252493396103, 0.1884145117606212, 0.22354945543903126]","1_lag_20_median_shTSjfm, 1_lag_traTLS, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_3185_1"
RandomForestRegressor,12,6,tripol3,shigh,878.5,2005.5,0.6,27,1,1,8.354065274288734,0.6068230693592116,3315,"['1_lag_20_median_shTSjfm', '1_lag_traTLS', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.1468500849053923, 0.12439910783889624, 0.13717831705840483, 0.1810037421259741, 0.1867601604458161, 0.22380858762551634]","1_lag_20_median_shTSjfm, 1_lag_traTLS, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_3315_1"
RandomForestRegressor,13,6,tripol3,shigh,879.5,2005.5,0.6,28,1,1,8.29769318599907,0.6085902677193604,3445,"['1_lag_20_median_shTSjfm', '1_lag_traTLS', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.12947375356765145, 0.12558787949721067, 0.14010287404773128, 0.1912084142051361, 0.18504570305294288, 0.22858137562932768]","1_lag_20_median_shTSjfm, 1_lag_traTLS, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_3445_1"
RandomForestRegressor,14,6,tripol3,shigh,880.5,2005.5,0.6,29,1,1,8.336068866199797,0.6097540435807436,3575,"['1_lag_20_median_shTSjfm', '1_lag_traTLS', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.13716942714631555, 0.11828285429088378, 0.14432959336143134, 0.18051248219192662, 0.19441403368947288, 0.22529160931996986]","1_lag_20_median_shTSjfm, 1_lag_traTLS, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_3575_1"
RandomForestRegressor,15,6,tripol3,shigh,881.5,2005.5,0.6,30,1,1,8.163114798613028,0.6057003167293195,3705,"['1_lag_glomaSSTjfm', '1_lag_traTLS', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.14963061621647714, 0.1217626423156758, 0.15791088155958985, 0.17732251430401508, 0.18811397813783626, 0.20525936746640572]","1_lag_glomaSSTjfm, 1_lag_traTLS, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_3705_1"
RandomForestRegressor,16,6,tripol3,shigh,882.5,2005.5,0.6,31,1,1,8.140424093798176,0.6079896159892256,3835,"['1_lag_glomaSSTjfm', '1_lag_traTLS', '1_lag_3_median_glomaSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT', '1_lag_shTSjfm']","[0.1505081598760885, 0.12105672797423798, 0.15495396131563485, 0.18059529561580173, 0.1910379666041918, 0.20184788861404498]","1_lag_glomaSSTjfm, 1_lag_traTLS, 1_lag_3_median_glomaSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT, 1_lag_shTSjfm_3835_1"
