model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,wnorPRjfm,shigh,1514.5,2005.5,0.8,15,1,1,24.17026644593223,0.04035725258684368,1755,"['2_lag_nppc2SSTjfm', '8_lag_mhfATL45', '5_lag_eapPSLjfm', '2_lag_traFSC', '1_lag_6_median_amo1', '1_lag_9_median_amo1', '6_lag_ginwSSTjfm', '7_lag_AMOCann', '11_lag_traIT', '5_lag_wnorPRjfm']","[2.9843229217817004, 0.4793792033029014, 1.968600492060835, 1.1512852860731222, 1.8845427773206254, 7.592568045445155, 4.3050999585289205, 2.9335250796885113, 2.7054424241699344, 1.6058728274941263]","2_lag_nppc2SSTjfm, 8_lag_mhfATL45, 5_lag_eapPSLjfm, 2_lag_traFSC, 1_lag_6_median_amo1, 1_lag_9_median_amo1, 6_lag_ginwSSTjfm, 7_lag_AMOCann, 11_lag_traIT, 5_lag_wnorPRjfm_1755_1"
LRforcedPSO,1,10,wnorPRjfm,shigh,1515.5,2005.5,0.8,16,1,1,14.833755082008908,0.12842260384375023,1885,"['12_lag_pdoSSTjfm', '14_lag_stratZ50ndj01', '1_lag_15_median_pdoSSTjfm', '1_lag_3_median_gyreSSTjfm', '1_lag_12_median_traDS', '1_lag_6_median_stratZ50ndj02', '4_lag_traMC', '3_lag_traFSC', '1_lag_10_median_stratZ50ndj03', '1_lag_2_median_nchinaPRjja']","[6.421234013896906, 0.09737641514053763, 3.9530732641116284, 6.4017925379342095, 0.2865943175902501, 0.6306259320626157, 2.15102306579168, 3.9397910139168157, 4.734588518360052, 0.36732974755141967]","12_lag_pdoSSTjfm, 14_lag_stratZ50ndj01, 1_lag_15_median_pdoSSTjfm, 1_lag_3_median_gyreSSTjfm, 1_lag_12_median_traDS, 1_lag_6_median_stratZ50ndj02, 4_lag_traMC, 3_lag_traFSC, 1_lag_10_median_stratZ50ndj03, 1_lag_2_median_nchinaPRjja_1885_1"
LRforcedPSO,2,10,wnorPRjfm,shigh,1516.5,2005.5,0.8,17,1,1,23.347648744620646,-0.12885207136923138,2015,"['1_lag_16_median_tripol3', '13_lag_atlSICsep', '13_lag_amoSSTmjjaso', '6_lag_satlSSTjfm', '1_lag_3_median_ginwSSTjfm', '1_lag_2_median_yrvPRjja', '8_lag_atlSICjfm', '15_lag_wnorPRjfm', '1_lag_13_median_traEU', '1_lag_14_median_mhfATL30']","[8.974485151246272, 2.5220839008451996, 0.8849801958950536, 3.2508462557025837, 1.7769577584333174, 3.467408376238299, 1.17956822592099, 3.0962766260787227, 2.785809462964184, 0.5837439787911496]","1_lag_16_median_tripol3, 13_lag_atlSICsep, 13_lag_amoSSTmjjaso, 6_lag_satlSSTjfm, 1_lag_3_median_ginwSSTjfm, 1_lag_2_median_yrvPRjja, 8_lag_atlSICjfm, 15_lag_wnorPRjfm, 1_lag_13_median_traEU, 1_lag_14_median_mhfATL30_2015_1"
LRforcedPSO,3,10,wnorPRjfm,shigh,1517.5,2005.5,0.8,18,1,1,17.04631247331027,0.20094688193235727,2145,"['4_lag_traBO', '1_lag_6_median_ensoSSTjfm', '1_lag_6_median_samPSLann', '6_lag_scpPSLjfm', '1_lag_5_median_mhfATL60', '1_lag_eurPSLjfm', '13_lag_ismPRjja', '1_lag_7_median_shSICmar', '1_lag_13_median_pdoSSTjfm', '11_lag_traIFC']","[5.160121517438778, 0.9649812833142235, 3.547269633153199, 2.0981358941940105, 4.324558676910875, 0.1327324818643394, 7.939212187553331, 0.6806423455654649, 1.1037728958078077, 3.0277884982623426]","4_lag_traBO, 1_lag_6_median_ensoSSTjfm, 1_lag_6_median_samPSLann, 6_lag_scpPSLjfm, 1_lag_5_median_mhfATL60, 1_lag_eurPSLjfm, 13_lag_ismPRjja, 1_lag_7_median_shSICmar, 1_lag_13_median_pdoSSTjfm, 11_lag_traIFC_2145_1"
LRforcedPSO,4,10,wnorPRjfm,shigh,1518.5,2005.5,0.8,19,1,1,19.364255928342168,-0.0982227747936386,2275,"['1_lag_4_median_amo3', '1_lag_ginwSSTjfm', '8_lag_shTSjfm', '2_lag_solFORC', '1_lag_12_median_neurTSjfm', '9_lag_stratZ50ndj01', '1_lag_5_median_traCA', '6_lag_nppc3SSTjfm', '3_lag_nhSICsep', '1_lag_3_median_eurPSLjfm']","[2.8637239979609603, 2.7527647123752335, 4.949350164393644, 7.580147628645982, 4.1409733627638, 2.860500935732693, 2.981854036986567, 6.20319943971801, 4.4159726699142805, 1.458861671954086]","1_lag_4_median_amo3, 1_lag_ginwSSTjfm, 8_lag_shTSjfm, 2_lag_solFORC, 1_lag_12_median_neurTSjfm, 9_lag_stratZ50ndj01, 1_lag_5_median_traCA, 6_lag_nppc3SSTjfm, 3_lag_nhSICsep, 1_lag_3_median_eurPSLjfm_2275_1"
LRforcedPSO,5,10,wnorPRjfm,shigh,1519.5,2005.5,0.8,20,1,1,19.192909192966656,0.05399126374224388,2405,"['18_lag_mhfATL60', '1_lag_2_median_satlSSTjfm', '3_lag_alpi', '1_lag_15_median_glomaSSTjfm', '4_lag_traMC', '1_lag_4_median_eapPSLjfm', '1_lag_19_median_amo1', '1_lag_13_median_tripol3', '1_lag_10_median_traEC', '16_lag_traBS']","[0.10893203883707869, 2.495020141352507, 2.94499307272039, 0.31255241070995865, 2.5298750906088117, 2.384657770164873, 1.3367954292511897, 6.358984702508071, 3.922092707740852, 3.5674427170912573]","18_lag_mhfATL60, 1_lag_2_median_satlSSTjfm, 3_lag_alpi, 1_lag_15_median_glomaSSTjfm, 4_lag_traMC, 1_lag_4_median_eapPSLjfm, 1_lag_19_median_amo1, 1_lag_13_median_tripol3, 1_lag_10_median_traEC, 16_lag_traBS_2405_1"
LRforcedPSO,6,10,wnorPRjfm,shigh,1520.5,2005.5,0.8,21,1,1,19.79178231001886,0.18818372833589508,2535,"['19_lag_eurPSLjfm', '9_lag_traIT', '16_lag_atlSICjfm', '1_lag_17_median_tripol1', '15_lag_scpPSLjfm', '1_lag_16_median_traMC', '16_lag_nppc3SSTjfm', '1_lag_13_median_glomaSSTjfm', '1_lag_12_median_nppc2SSTjfm', '1_lag_amoSSTmjjaso']","[1.7748424943522885, 3.6255145782699856, 5.369279173685699, 1.136766298611052, 3.5989194817142867, 0.08636090530858631, 1.985545123189251, 0.5502450350131127, 3.7244582619521704, 4.082682843495437]","19_lag_eurPSLjfm, 9_lag_traIT, 16_lag_atlSICjfm, 1_lag_17_median_tripol1, 15_lag_scpPSLjfm, 1_lag_16_median_traMC, 16_lag_nppc3SSTjfm, 1_lag_13_median_glomaSSTjfm, 1_lag_12_median_nppc2SSTjfm, 1_lag_amoSSTmjjaso_2535_1"
LRforcedPSO,7,10,wnorPRjfm,shigh,1521.5,2005.5,0.8,22,1,1,22.27044972060994,0.06337368526174603,2665,"['2_lag_traBO', '1_lag_19_median_shSICmar', '5_lag_stratZ50ndj04', '20_lag_nhTSjfm', '1_lag_10_median_nhSICsep', '1_lag_18_median_mhfATL45', '1_lag_5_median_mhfATL30', '20_lag_traBS', '11_lag_seurTSjfm', '1_lag_4_median_alpi']","[2.7957035209430403, 0.6033129164349624, 0.5601272552556473, 0.49576120134366164, 8.289581668063715, 6.303901043040662, 5.078254553312, 3.463067051139417, 0.9345165294158662, 9.296102072531514]","2_lag_traBO, 1_lag_19_median_shSICmar, 5_lag_stratZ50ndj04, 20_lag_nhTSjfm, 1_lag_10_median_nhSICsep, 1_lag_18_median_mhfATL45, 1_lag_5_median_mhfATL30, 20_lag_traBS, 11_lag_seurTSjfm, 1_lag_4_median_alpi_2665_1"
LRforcedPSO,8,10,wnorPRjfm,shigh,1522.5,2005.5,0.8,23,1,1,16.932074265712586,0.25569342003798295,2795,"['1_lag_10_median_shSICmar', '1_lag_22_median_traTLS', '1_lag_21_median_eurPSLjfm', '12_lag_neurTSjfm', '3_lag_traFSC', '17_lag_naoPSLjfm', '7_lag_neurTSjfm', '11_lag_traEC', '6_lag_traFB', '10_lag_solFORC']","[0.3696098312854943, 8.389480454074832, 6.1350248647854055, 3.152637897885418, 0.9915530957900955, 2.270674326097173, 0.9398534372080327, 3.5463459031251094, 0.34547521569363404, 4.980288213820376]","1_lag_10_median_shSICmar, 1_lag_22_median_traTLS, 1_lag_21_median_eurPSLjfm, 12_lag_neurTSjfm, 3_lag_traFSC, 17_lag_naoPSLjfm, 7_lag_neurTSjfm, 11_lag_traEC, 6_lag_traFB, 10_lag_solFORC_2795_1"
LRforcedPSO,9,10,wnorPRjfm,shigh,1523.5,2005.5,0.8,24,1,1,19.98298332455501,-0.03774258546175718,2925,"['1_lag_7_median_atlSICjfm', '22_lag_gyreSSTjfm', '4_lag_wnorPRjfm', '19_lag_ormenSSTjfm', '1_lag_13_median_shTSjfm', '1_lag_20_median_wnorPRjfm', '1_lag_22_median_stratZ50ndj01', '21_lag_arcTSjfm', '1_lag_naoPSLjfm', '6_lag_arcTSjfm']","[1.0078095763796302, 5.7699607867461715, 0.5918809930247555, 5.443741367685622, 2.6392712567069303, 4.247693221168197, 2.8710305058975543, 2.7494765780311443, 1.6625185976447838, 4.752072279784558]","1_lag_7_median_atlSICjfm, 22_lag_gyreSSTjfm, 4_lag_wnorPRjfm, 19_lag_ormenSSTjfm, 1_lag_13_median_shTSjfm, 1_lag_20_median_wnorPRjfm, 1_lag_22_median_stratZ50ndj01, 21_lag_arcTSjfm, 1_lag_naoPSLjfm, 6_lag_arcTSjfm_2925_1"
