model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,wnorPRjfm,shigh,1714.5,2005.5,0.6,15,1,1,17.68699902593767,0.11932947357436173,1755,"['14_lag_alpi', '11_lag_stratZ50ndj02', '8_lag_yrvPRjja', '14_lag_cetTSjfm', '12_lag_eurPSLjfm', '6_lag_seurTSjfm', '6_lag_samPSLann', '6_lag_mhfIP30', '4_lag_stratZ50ndj03', '5_lag_ismPRjja', '1_lag_cetTSjfm', '14_lag_traEC', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '5_lag_stratZ50ndj03', '13_lag_stratZ50ndj01', '14_lag_eurPSLjfm', '1_lag_wnorPRjfm', '7_lag_traFS', '12_lag_alpi', '11_lag_yrvPRjja', '1_lag_neurTSjfm', '10_lag_traMC', '9_lag_stratZ50ndj01', '10_lag_scpPSLjfm', '10_lag_yrvPRjja', '8_lag_stratZ50ndj03', '11_lag_satlSSTjfm', '14_lag_scpPSLjfm', '1_lag_naoPSLjfm']","[0.1335790639891966, 0.10022690145531574, 0.17075690766404236, 0.10858325763273391, 0.29484764033256233, 0.28096200043428415, 0.13509241564094207, 0.07493087219060955, 0.062259740174836695, 0.09476575826658441, 0.015276606203912399, 0.09035939439740726, 0.09183371482411981, 0.09183371482411941, 0.09412134840020644, 0.03611221733622021, 0.01073482132174163, 0.26844811206627933, 0.22473726139017636, 0.16212683965479532, 0.12681237476574633, 0.024236825470021515, 0.1074049934117547, 0.13137788087620356, 0.11257306521962203, 0.008783555402329057, 0.1160935867631779, 0.1507003107922739, 0.17881711867954928, 0.24235668763259874]","14_lag_alpi, 11_lag_stratZ50ndj02, 8_lag_yrvPRjja, 14_lag_cetTSjfm, 12_lag_eurPSLjfm, 6_lag_seurTSjfm, 6_lag_samPSLann, 6_lag_mhfIP30, 4_lag_stratZ50ndj03, 5_lag_ismPRjja, 1_lag_cetTSjfm, 14_lag_traEC, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 5_lag_stratZ50ndj03, 13_lag_stratZ50ndj01, 14_lag_eurPSLjfm, 1_lag_wnorPRjfm, 7_lag_traFS, 12_lag_alpi, 11_lag_yrvPRjja, 1_lag_neurTSjfm, 10_lag_traMC, 9_lag_stratZ50ndj01, 10_lag_scpPSLjfm, 10_lag_yrvPRjja, 8_lag_stratZ50ndj03, 11_lag_satlSSTjfm, 14_lag_scpPSLjfm, 1_lag_naoPSLjfm_1755_1"
LinearRegression,1,30,wnorPRjfm,shigh,1715.5,2005.5,0.6,16,1,1,16.07703392157298,0.19361434377812003,1885,"['12_lag_samPSLann', '5_lag_stratZ50ndj02', '5_lag_stratZ50ndj03', '6_lag_mhfIP30', '12_lag_amoSSTmjjaso', '14_lag_cetTSjfm', '14_lag_eurPSLjfm', '7_lag_traEU', '1_lag_cetTSjfm', '4_lag_stratZ50ndj03', '12_lag_eurPSLjfm', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '11_lag_stratZ50ndj02', '6_lag_samPSLann', '10_lag_yrvPRjja', '9_lag_stratZ50ndj01', '1_lag_wnorPRjfm', '13_lag_stratZ50ndj01', '11_lag_yrvPRjja', '14_lag_traEC', '10_lag_scpPSLjfm', '7_lag_traFS', '12_lag_alpi', '10_lag_traMC', '11_lag_satlSSTjfm', '14_lag_scpPSLjfm', '1_lag_neurTSjfm', '8_lag_stratZ50ndj03', '1_lag_naoPSLjfm']","[0.13180368559792377, 0.056811315020658504, 0.06250487792135419, 0.08956182403050927, 0.06778759826318427, 0.13909383303658576, 0.08516771640827292, 0.055281585621601355, 0.04398968627349967, 0.11795122824542396, 0.2803107199056518, 8296952408875.329, 8296952408875.171, 0.09279332288107639, 0.14417734616253755, 0.014615013715072622, 0.10201005429290955, 0.32933844617079333, 0.04260192377055134, 0.14186475429978776, 0.05300540733103351, 0.09485035190929543, 0.18962413214470436, 0.18339272341532897, 0.11211508839586057, 0.21876419105428072, 0.1550514477352452, 0.07940996585592211, 0.0902502263942132, 0.256578408073882]","12_lag_samPSLann, 5_lag_stratZ50ndj02, 5_lag_stratZ50ndj03, 6_lag_mhfIP30, 12_lag_amoSSTmjjaso, 14_lag_cetTSjfm, 14_lag_eurPSLjfm, 7_lag_traEU, 1_lag_cetTSjfm, 4_lag_stratZ50ndj03, 12_lag_eurPSLjfm, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 11_lag_stratZ50ndj02, 6_lag_samPSLann, 10_lag_yrvPRjja, 9_lag_stratZ50ndj01, 1_lag_wnorPRjfm, 13_lag_stratZ50ndj01, 11_lag_yrvPRjja, 14_lag_traEC, 10_lag_scpPSLjfm, 7_lag_traFS, 12_lag_alpi, 10_lag_traMC, 11_lag_satlSSTjfm, 14_lag_scpPSLjfm, 1_lag_neurTSjfm, 8_lag_stratZ50ndj03, 1_lag_naoPSLjfm_1885_1"
LinearRegression,2,30,wnorPRjfm,shigh,1716.5,2005.5,0.6,17,1,1,15.79516749498963,0.17478539302540166,2015,"['1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '4_lag_stratZ50ndj03', '1_lag_4_median_eurPSLjfm', '15_lag_mhfATL30', '1_lag_cetTSjfm', '5_lag_seurTSjfm', '14_lag_alpi', '11_lag_yrvPRjja', '12_lag_amoSSTmjjaso', '10_lag_yrvPRjja', '5_lag_stratZ50ndj03', '7_lag_traEU', '6_lag_mhfIP30', '12_lag_samPSLann', '6_lag_samPSLann', '14_lag_cetTSjfm', '11_lag_stratZ50ndj02', '13_lag_stratZ50ndj01', '14_lag_scpPSLjfm', '14_lag_traEC', '7_lag_traFS', '1_lag_wnorPRjfm', '10_lag_traMC', '10_lag_scpPSLjfm', '8_lag_stratZ50ndj03', '1_lag_neurTSjfm', '12_lag_alpi', '11_lag_satlSSTjfm', '1_lag_naoPSLjfm']","[0.07076330034687879, 0.07076330034687871, 0.10911409561075383, 0.12206681721822904, 0.03832778572071412, 0.07799619452616992, 0.05392519320538004, 0.07635191968130951, 0.10316147979490572, 0.0741701900530038, 0.010434261294263817, 0.060787593127116395, 0.05682048672225946, 0.14570726420399663, 0.1461657823513341, 0.10566796988865196, 0.10392752566706796, 0.09295780826840125, 0.059386677203715, 0.1406674416057746, 0.08406155743118573, 0.1292033706945991, 0.3387023608735683, 0.07246096538123967, 0.09747059078993041, 0.09091796597047697, 0.009201642866621678, 0.13593071795937892, 0.2789238913737073, 0.29882167997409986]","1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 4_lag_stratZ50ndj03, 1_lag_4_median_eurPSLjfm, 15_lag_mhfATL30, 1_lag_cetTSjfm, 5_lag_seurTSjfm, 14_lag_alpi, 11_lag_yrvPRjja, 12_lag_amoSSTmjjaso, 10_lag_yrvPRjja, 5_lag_stratZ50ndj03, 7_lag_traEU, 6_lag_mhfIP30, 12_lag_samPSLann, 6_lag_samPSLann, 14_lag_cetTSjfm, 11_lag_stratZ50ndj02, 13_lag_stratZ50ndj01, 14_lag_scpPSLjfm, 14_lag_traEC, 7_lag_traFS, 1_lag_wnorPRjfm, 10_lag_traMC, 10_lag_scpPSLjfm, 8_lag_stratZ50ndj03, 1_lag_neurTSjfm, 12_lag_alpi, 11_lag_satlSSTjfm, 1_lag_naoPSLjfm_2015_1"
LinearRegression,3,30,wnorPRjfm,shigh,1717.5,2005.5,0.6,18,1,1,15.811470691793325,0.22412282403204653,2145,"['12_lag_amoSSTmjjaso', '10_lag_traFSC', '5_lag_seurTSjfm', '1_lag_4_median_eurPSLjfm', '14_lag_traEC', '2_lag_yrvPRjja', '15_lag_alpi', '11_lag_stratZ50ndj02', '10_lag_atlSICsep', '11_lag_yrvPRjja', '1_lag_2_median_yrvPRjja', '6_lag_mhfIP30', '1_lag_cetTSjfm', '12_lag_samPSLann', '12_lag_eurPSLjfm', '5_lag_stratZ50ndj03', '13_lag_stratZ50ndj01', '14_lag_cetTSjfm', '17_lag_ismPRjja', '7_lag_traFS', '6_lag_samPSLann', '17_lag_eurPSLjfm', '10_lag_traMC', '1_lag_neurTSjfm', '1_lag_wnorPRjfm', '10_lag_scpPSLjfm', '11_lag_satlSSTjfm', '8_lag_stratZ50ndj03', '12_lag_alpi', '1_lag_naoPSLjfm']","[0.11020901687508164, 0.0517972515617903, 0.0008512031766064013, 0.19385734397745125, 0.09428771673811928, 0.07108962119763079, 0.0306855927199746, 0.11168246230341575, 0.09090292339583615, 0.1580808680804778, 0.07108962119762825, 0.09036505741542968, 0.08068080870463766, 0.11281542959780848, 0.21073103684414454, 0.07240210968009242, 0.011842217264599041, 0.19158700170426993, 0.1061373315943129, 0.1520553818532214, 0.13208646934024665, 0.0809634428856134, 0.09730210859649463, 0.036263084832441256, 0.35743583918193844, 0.10531894623229782, 0.2235010412174252, 0.04762240280091593, 0.16212388919863507, 0.3045968539353243]","12_lag_amoSSTmjjaso, 10_lag_traFSC, 5_lag_seurTSjfm, 1_lag_4_median_eurPSLjfm, 14_lag_traEC, 2_lag_yrvPRjja, 15_lag_alpi, 11_lag_stratZ50ndj02, 10_lag_atlSICsep, 11_lag_yrvPRjja, 1_lag_2_median_yrvPRjja, 6_lag_mhfIP30, 1_lag_cetTSjfm, 12_lag_samPSLann, 12_lag_eurPSLjfm, 5_lag_stratZ50ndj03, 13_lag_stratZ50ndj01, 14_lag_cetTSjfm, 17_lag_ismPRjja, 7_lag_traFS, 6_lag_samPSLann, 17_lag_eurPSLjfm, 10_lag_traMC, 1_lag_neurTSjfm, 1_lag_wnorPRjfm, 10_lag_scpPSLjfm, 11_lag_satlSSTjfm, 8_lag_stratZ50ndj03, 12_lag_alpi, 1_lag_naoPSLjfm_2145_1"
LinearRegression,4,30,wnorPRjfm,shigh,1718.5,2005.5,0.6,19,1,1,16.111058999083276,0.11913703343359197,2275,"['14_lag_traEC', '16_lag_yrvPRjja', '18_lag_seurTSjfm', '4_lag_stratZ50ndj03', '12_lag_mhfIP30', '15_lag_yrvPRjja', '6_lag_mhfIP30', '14_lag_scpPSLjfm', '12_lag_eurPSLjfm', '5_lag_ismPRjja', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '7_lag_traFS', '14_lag_cetTSjfm', '17_lag_ismPRjja', '15_lag_alpi', '13_lag_stratZ50ndj01', '12_lag_samPSLann', '1_lag_cetTSjfm', '18_lag_eurPSLjfm', '6_lag_samPSLann', '10_lag_scpPSLjfm', '5_lag_stratZ50ndj03', '1_lag_wnorPRjfm', '10_lag_traMC', '1_lag_neurTSjfm', '11_lag_satlSSTjfm', '8_lag_stratZ50ndj03', '1_lag_naoPSLjfm', '12_lag_alpi']","[0.022089620664121005, 0.03715754510133884, 0.29790623673919114, 0.11129555229830909, 0.1285622973953835, 0.16447939886745677, 0.10744796450569004, 0.15377291619415182, 0.19211374096015704, 0.03187456729070936, 0.07258917253652405, 0.07258917253652471, 0.16408727885856808, 0.07970888844879197, 0.09960748409669797, 0.025508959239604383, 0.02283449979403232, 0.11129237231958432, 0.10059526454381414, 0.10542441014058651, 0.1385238815144218, 0.10993450299683838, 0.028631093539636825, 0.40062616200669354, 0.06386445791797232, 0.13622087252697884, 0.2588586977009045, 0.1056769295117693, 0.23970256696697642, 0.1654325936166845]","14_lag_traEC, 16_lag_yrvPRjja, 18_lag_seurTSjfm, 4_lag_stratZ50ndj03, 12_lag_mhfIP30, 15_lag_yrvPRjja, 6_lag_mhfIP30, 14_lag_scpPSLjfm, 12_lag_eurPSLjfm, 5_lag_ismPRjja, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 7_lag_traFS, 14_lag_cetTSjfm, 17_lag_ismPRjja, 15_lag_alpi, 13_lag_stratZ50ndj01, 12_lag_samPSLann, 1_lag_cetTSjfm, 18_lag_eurPSLjfm, 6_lag_samPSLann, 10_lag_scpPSLjfm, 5_lag_stratZ50ndj03, 1_lag_wnorPRjfm, 10_lag_traMC, 1_lag_neurTSjfm, 11_lag_satlSSTjfm, 8_lag_stratZ50ndj03, 1_lag_naoPSLjfm, 12_lag_alpi_2275_1"
LinearRegression,5,30,wnorPRjfm,shigh,1719.5,2005.5,0.6,20,1,1,16.16618537218095,0.1781899046830581,2405,"['12_lag_samPSLann', '14_lag_scpPSLjfm', '18_lag_eapPSLjfm', '16_lag_yrvPRjja', '15_lag_alpi', '18_lag_eurPSLjfm', '15_lag_scpPSLjfm', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '15_lag_yrvPRjja', '5_lag_stratZ50ndj03', '19_lag_alpi', '18_lag_seurTSjfm', '5_lag_ismPRjja', '19_lag_stratZ50ndj03', '6_lag_samPSLann', '5_lag_seurTSjfm', '17_lag_ismPRjja', '12_lag_eurPSLjfm', '14_lag_cetTSjfm', '11_lag_traCA', '1_lag_cetTSjfm', '11_lag_satlSSTjfm', '1_lag_neurTSjfm', '8_lag_stratZ50ndj03', '10_lag_scpPSLjfm', '1_lag_wnorPRjfm', '10_lag_traMC', '12_lag_alpi', '1_lag_naoPSLjfm']","[0.1300379102557773, 0.11984090037626904, 0.07331844688881818, 0.06024234616857646, 0.056264794216901955, 0.13032962184677857, 0.15854612833273057, 0.07972618824960614, 0.07972618824960453, 0.15533498146384675, 0.011437825105060891, 0.02647537147224612, 0.33728809803026627, 0.05814919961927849, 0.17613304047833037, 0.1593144827146778, 0.005936939399935156, 0.10217210668385238, 0.1871407512532079, 0.0668055980602043, 0.09094383367561937, 0.10088693225953196, 0.29802292285073284, 0.2039508281803012, 0.09587923434574046, 0.09162665120020003, 0.3681682524616153, 0.04869307211600235, 0.2027122175145383, 0.22451285135854737]","12_lag_samPSLann, 14_lag_scpPSLjfm, 18_lag_eapPSLjfm, 16_lag_yrvPRjja, 15_lag_alpi, 18_lag_eurPSLjfm, 15_lag_scpPSLjfm, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 15_lag_yrvPRjja, 5_lag_stratZ50ndj03, 19_lag_alpi, 18_lag_seurTSjfm, 5_lag_ismPRjja, 19_lag_stratZ50ndj03, 6_lag_samPSLann, 5_lag_seurTSjfm, 17_lag_ismPRjja, 12_lag_eurPSLjfm, 14_lag_cetTSjfm, 11_lag_traCA, 1_lag_cetTSjfm, 11_lag_satlSSTjfm, 1_lag_neurTSjfm, 8_lag_stratZ50ndj03, 10_lag_scpPSLjfm, 1_lag_wnorPRjfm, 10_lag_traMC, 12_lag_alpi, 1_lag_naoPSLjfm_2405_1"
LinearRegression,6,30,wnorPRjfm,shigh,1720.5,2005.5,0.6,21,1,1,17.282670823956472,0.12092363288696335,2535,"['18_lag_seurTSjfm', '19_lag_traMC', '7_lag_traFS', '12_lag_amoSSTmjjaso', '12_lag_mhfIP30', '5_lag_stratZ50ndj03', '6_lag_seurTSjfm', '19_lag_stratZ50ndj03', '15_lag_yrvPRjja', '15_lag_scpPSLjfm', '5_lag_seurTSjfm', '1_lag_2_median_yrvPRjja', '2_lag_yrvPRjja', '14_lag_cetTSjfm', '11_lag_traCA', '17_lag_ismPRjja', '5_lag_ismPRjja', '4_lag_stratZ50ndj03', '6_lag_samPSLann', '11_lag_satlSSTjfm', '1_lag_cetTSjfm', '10_lag_scpPSLjfm', '12_lag_eurPSLjfm', '1_lag_neurTSjfm', '8_lag_stratZ50ndj03', '1_lag_wnorPRjfm', '10_lag_traMC', '20_lag_stratZ50ndj02', '1_lag_naoPSLjfm', '12_lag_alpi']","[0.30735677757195157, 0.05294451177301579, 0.24443707162804607, 0.026088991385217357, 0.12109035802903795, 0.026108309949439402, 0.28703682442792805, 0.203791551644006, 0.14564295744682396, 0.12120485490850266, 0.0294821002662908, 1531788677614.0771, 1531788677614.2222, 0.09234739597088495, 0.14956970424425794, 0.11821701765623643, 0.08262036965571878, 0.09192921549355894, 0.19390420731340585, 0.202756027286158, 0.10205447869982322, 0.09665268626984282, 0.19518057115737225, 0.1517632160161898, 0.08848456265648945, 0.41559712839936713, 0.020425022111445458, 0.09353018416183867, 0.31501142222263434, 0.19311985561826772]","18_lag_seurTSjfm, 19_lag_traMC, 7_lag_traFS, 12_lag_amoSSTmjjaso, 12_lag_mhfIP30, 5_lag_stratZ50ndj03, 6_lag_seurTSjfm, 19_lag_stratZ50ndj03, 15_lag_yrvPRjja, 15_lag_scpPSLjfm, 5_lag_seurTSjfm, 1_lag_2_median_yrvPRjja, 2_lag_yrvPRjja, 14_lag_cetTSjfm, 11_lag_traCA, 17_lag_ismPRjja, 5_lag_ismPRjja, 4_lag_stratZ50ndj03, 6_lag_samPSLann, 11_lag_satlSSTjfm, 1_lag_cetTSjfm, 10_lag_scpPSLjfm, 12_lag_eurPSLjfm, 1_lag_neurTSjfm, 8_lag_stratZ50ndj03, 1_lag_wnorPRjfm, 10_lag_traMC, 20_lag_stratZ50ndj02, 1_lag_naoPSLjfm, 12_lag_alpi_2535_1"
LinearRegression,7,30,wnorPRjfm,shigh,1721.5,2005.5,0.6,22,2,2,15.921016905725633,0.19560321887154122,2535,"['7_lag_yrvPRjja', '11_lag_traBS', '11_lag_stratZ50ndj02', '10_lag_yrvPRjja', '14_lag_alpi', '5_lag_ismPRjja', '15_lag_yrvPRjja', '17_lag_ismPRjja', '8_lag_yrvPRjja', '10_lag_scpPSLjfm', '14_lag_cetTSjfm', '18_lag_nhTSjfm', '7_lag_traFS', '14_lag_scpPSLjfm', '21_lag_atlSICsep', '6_lag_seurTSjfm', '5_lag_seurTSjfm', '2_lag_mhfIP30', '21_lag_nchinaPRjja', '2_lag_traIFC', '4_lag_stratZ50ndj03', '11_lag_satlSSTjfm', '12_lag_eurPSLjfm', '6_lag_samPSLann', '20_lag_stratZ50ndj02', '10_lag_traMC', '12_lag_alpi', '2_lag_yrvPRjja', '8_lag_stratZ50ndj03', '21_lag_stratZ50ndj02']","[0.08261081013712451, 0.029567309351245248, 0.11321803048392726, 0.0678459698178462, 0.10028686745090276, 0.10143778154601549, 0.1090611304353292, 0.04629373603522577, 0.087407976064633, 0.12573965651620908, 0.07798418139354193, 0.19271482829270384, 0.18182844696225148, 0.15015728968063025, 0.07863393668190516, 0.1999239623628714, 0.05436079430370466, 0.14386938621412151, 0.036866728379177975, 0.027905823396458373, 0.11902076323909079, 0.20449498030878974, 0.2661255464202613, 0.1098775526549377, 0.02182613013703745, 0.06646187433050892, 0.14524919688164079, 0.14179268686152288, 0.11172381394903545, 0.13106000163740844]","7_lag_yrvPRjja, 11_lag_traBS, 11_lag_stratZ50ndj02, 10_lag_yrvPRjja, 14_lag_alpi, 5_lag_ismPRjja, 15_lag_yrvPRjja, 17_lag_ismPRjja, 8_lag_yrvPRjja, 10_lag_scpPSLjfm, 14_lag_cetTSjfm, 18_lag_nhTSjfm, 7_lag_traFS, 14_lag_scpPSLjfm, 21_lag_atlSICsep, 6_lag_seurTSjfm, 5_lag_seurTSjfm, 2_lag_mhfIP30, 21_lag_nchinaPRjja, 2_lag_traIFC, 4_lag_stratZ50ndj03, 11_lag_satlSSTjfm, 12_lag_eurPSLjfm, 6_lag_samPSLann, 20_lag_stratZ50ndj02, 10_lag_traMC, 12_lag_alpi, 2_lag_yrvPRjja, 8_lag_stratZ50ndj03, 21_lag_stratZ50ndj02_2535_2"
LinearRegression,8,30,wnorPRjfm,shigh,1722.5,2005.5,0.6,23,3,3,15.87234006283641,0.20900132728666415,2535,"['14_lag_cetTSjfm', '7_lag_traFS', '14_lag_scpPSLjfm', '7_lag_traEU', '4_lag_stratZ50ndj03', '3_lag_4_median_stratZ50ndj03', '3_lag_yrvPRjja', '15_lag_yrvPRjja', '3_lag_shSICsep', '8_lag_yrvPRjja', '3_lag_traBS', '5_lag_seurTSjfm', '11_lag_satlSSTjfm', '17_lag_yrvPRjja', '11_lag_stratZ50ndj02', '10_lag_yrvPRjja', '20_lag_stratZ50ndj02', '22_lag_nchinaPRjja', '6_lag_samPSLann', '17_lag_ismPRjja', '21_lag_nchinaPRjja', '10_lag_traMC', '3_lag_stratZ50ndj02', '12_lag_eurPSLjfm', '12_lag_alpi', '22_lag_stratZ50ndj03', '8_lag_stratZ50ndj03', '11_lag_traBS', '21_lag_stratZ50ndj02', '22_lag_traMC']","[0.10984240336522122, 0.21072947317556243, 0.09422854522125476, 0.049166834275840315, 3915902916388.7905, 3915902916388.7085, 0.08712373118797982, 0.20569347976018523, 0.10457527290540077, 0.11351386777343522, 0.1698786296567312, 0.043989251859985, 0.2676384302214901, 0.0364183805191035, 0.11054053979692396, 0.03139268065184132, 0.0025495992610980933, 0.04876015430844653, 0.11210240498732367, 0.059653427302929926, 0.0020238957035073335, 0.030298797718279445, 0.12459534911788395, 0.24503885405000883, 0.15079509091486543, 0.1437886433832436, 0.14633104534632005, 0.16043417615815636, 0.10592216727511267, 0.23043043525591295]","14_lag_cetTSjfm, 7_lag_traFS, 14_lag_scpPSLjfm, 7_lag_traEU, 4_lag_stratZ50ndj03, 3_lag_4_median_stratZ50ndj03, 3_lag_yrvPRjja, 15_lag_yrvPRjja, 3_lag_shSICsep, 8_lag_yrvPRjja, 3_lag_traBS, 5_lag_seurTSjfm, 11_lag_satlSSTjfm, 17_lag_yrvPRjja, 11_lag_stratZ50ndj02, 10_lag_yrvPRjja, 20_lag_stratZ50ndj02, 22_lag_nchinaPRjja, 6_lag_samPSLann, 17_lag_ismPRjja, 21_lag_nchinaPRjja, 10_lag_traMC, 3_lag_stratZ50ndj02, 12_lag_eurPSLjfm, 12_lag_alpi, 22_lag_stratZ50ndj03, 8_lag_stratZ50ndj03, 11_lag_traBS, 21_lag_stratZ50ndj02, 22_lag_traMC_2535_3"
LinearRegression,9,30,wnorPRjfm,shigh,1723.5,2005.5,0.6,24,4,4,17.60709810332651,0.0022434132419907192,2535,"['21_lag_atlSICsep', '6_lag_stratZ50ndj02', '11_lag_stratZ50ndj02', '23_lag_alpi', '19_lag_traWP', '15_lag_yrvPRjja', '21_lag_traEU', '7_lag_traFS', '12_lag_eurPSLjfm', '17_lag_stratZ50ndj03', '17_lag_yrvPRjja', '11_lag_satlSSTjfm', '7_lag_arcTSjfm', '8_lag_yrvPRjja', '10_lag_traMC', '4_lag_eurPSLjfm', '22_lag_nchinaPRjja', '23_lag_yrvPRjja', '8_lag_stratZ50ndj03', '7_lag_yrvPRjja', '22_lag_eurPSLjfm', '17_lag_ismPRjja', '22_lag_stratZ50ndj03', '21_lag_nchinaPRjja', '12_lag_alpi', '11_lag_traBS', '21_lag_stratZ50ndj02', '4_lag_stratZ50ndj03', '22_lag_traMC', '23_lag_traMC']","[0.0810209707560969, 0.07040715545518639, 0.08211011995118452, 0.022267123326691448, 0.24966629257599732, 0.21681102352429585, 0.07251124652192523, 0.15148286929402968, 0.19113350347348002, 0.0029674712672702803, 0.11900290121531513, 0.15294714498661022, 0.12856975042645713, 0.16474061870835258, 0.050368996027153785, 0.11229902752923197, 0.09839258963293111, 0.037965195579009514, 0.12504499770865593, 0.11195998151475792, 0.04188827520224563, 0.08339679788823823, 0.1581244256304342, 0.10236461537622045, 0.12823019652338224, 0.06594628929058673, 0.09566106314386041, 0.027614075444833547, 0.2405343966394567, 0.1491728490424883]","21_lag_atlSICsep, 6_lag_stratZ50ndj02, 11_lag_stratZ50ndj02, 23_lag_alpi, 19_lag_traWP, 15_lag_yrvPRjja, 21_lag_traEU, 7_lag_traFS, 12_lag_eurPSLjfm, 17_lag_stratZ50ndj03, 17_lag_yrvPRjja, 11_lag_satlSSTjfm, 7_lag_arcTSjfm, 8_lag_yrvPRjja, 10_lag_traMC, 4_lag_eurPSLjfm, 22_lag_nchinaPRjja, 23_lag_yrvPRjja, 8_lag_stratZ50ndj03, 7_lag_yrvPRjja, 22_lag_eurPSLjfm, 17_lag_ismPRjja, 22_lag_stratZ50ndj03, 21_lag_nchinaPRjja, 12_lag_alpi, 11_lag_traBS, 21_lag_stratZ50ndj02, 4_lag_stratZ50ndj03, 22_lag_traMC, 23_lag_traMC_2535_4"
