model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,yrvPRjja,shigh,866.5,2005.5,0.4,15,1,1,13.607932476049028,-0.011290042373704328,1755,"['9_lag_traTLS', '5_lag_tripol1', '1_lag_7_median_traFS', '10_lag_mhfATL30', '5_lag_amo1', '1_lag_14_median_AMOCann']","[2.435574860073279, 0.07173824217106528, 0.06315910428226168, 0.905835770739909, 3.2192291119122673, 4.7436477371071035]","9_lag_traTLS, 5_lag_tripol1, 1_lag_7_median_traFS, 10_lag_mhfATL30, 5_lag_amo1, 1_lag_14_median_AMOCann_1755_1"
LRforcedPSO,1,6,yrvPRjja,shigh,867.5,2005.5,0.4,16,1,1,13.18492673813512,0.0654841650565504,1885,"['1_lag_4_median_yrvPRjja', '1_lag_10_median_amo2', '15_lag_ginwSSTjfm', '5_lag_yrvPRjja', '1_lag_traFSC', '7_lag_nppc2SSTjfm']","[2.6214941839767114, 3.9457377635457487, 1.128212979500729, 0.07888366309115824, 4.129084899934444, 3.9865454634830257]","1_lag_4_median_yrvPRjja, 1_lag_10_median_amo2, 15_lag_ginwSSTjfm, 5_lag_yrvPRjja, 1_lag_traFSC, 7_lag_nppc2SSTjfm_1885_1"
LRforcedPSO,2,6,yrvPRjja,shigh,868.5,2005.5,0.4,17,1,1,13.520441316523016,0.022095838511512172,2015,"['1_lag_4_median_seurTSjfm', '1_lag_15_median_traEU', '10_lag_traEC', '7_lag_AMOCann', '13_lag_traFSC', '10_lag_traFSC']","[3.5903698509535396, 0.1616953502692713, 1.6871745825443831, 1.107028794859346, 1.3821950197420207, 5.930618984149408]","1_lag_4_median_seurTSjfm, 1_lag_15_median_traEU, 10_lag_traEC, 7_lag_AMOCann, 13_lag_traFSC, 10_lag_traFSC_2015_1"
LRforcedPSO,3,6,yrvPRjja,shigh,869.5,2005.5,0.4,18,1,1,12.276492868973097,-0.026606148293089115,2145,"['9_lag_glomaSSTjfm', '1_lag_16_median_ormenSSTjfm', '1_lag_9_median_arcTSjfm', '1_lag_14_median_traDS', '1_lag_7_median_AMOCann', '7_lag_atlSICsep']","[1.6499729566232513, 2.1812135379643145, 1.9356207682583686, 1.7807261595966528, 1.9563606218782514, 1.822795319113822]","9_lag_glomaSSTjfm, 1_lag_16_median_ormenSSTjfm, 1_lag_9_median_arcTSjfm, 1_lag_14_median_traDS, 1_lag_7_median_AMOCann, 7_lag_atlSICsep_2145_1"
LRforcedPSO,4,6,yrvPRjja,shigh,870.5,2005.5,0.4,19,1,1,12.47868651436654,0.0045450454098151065,2275,"['16_lag_ismPRjja', '1_lag_5_median_amoSSTmjjaso', '1_lag_6_median_nhSICsep', '3_lag_shSICsep', '11_lag_satlSSTjfm', '6_lag_atlSICsep']","[3.2853848079259933, 1.2061908118272946, 0.5813670482589384, 1.8492400004221246, 1.9919691770966033, 2.1090715353637]","16_lag_ismPRjja, 1_lag_5_median_amoSSTmjjaso, 1_lag_6_median_nhSICsep, 3_lag_shSICsep, 11_lag_satlSSTjfm, 6_lag_atlSICsep_2275_1"
LRforcedPSO,5,6,yrvPRjja,shigh,871.5,2005.5,0.4,20,1,1,12.371145418773656,-0.0248688004429566,2405,"['2_lag_amo2', '1_lag_19_median_traDS', '18_lag_stratZ50ndj03', '1_lag_19_median_yrvPRjja', '3_lag_traDS', '5_lag_amo1']","[1.5195244732145436, 1.257656191440331, 0.19960766384427053, 0.0020831509539789295, 0.14438447684607603, 2.251457223525673]","2_lag_amo2, 1_lag_19_median_traDS, 18_lag_stratZ50ndj03, 1_lag_19_median_yrvPRjja, 3_lag_traDS, 5_lag_amo1_2405_1"
LRforcedPSO,6,6,yrvPRjja,shigh,872.5,2005.5,0.4,21,1,1,13.115802002163642,0.021592653416113074,2535,"['1_lag_wnorPRjfm', '8_lag_naoPSLjfm', '14_lag_traFSC', '7_lag_traIFC', '4_lag_naoPSLjfm', '9_lag_traIT']","[2.4605094822393747, 3.2787160712328376, 2.461845021326049, 2.45975324479987, 2.5951740461793684, 2.47616071043676]","1_lag_wnorPRjfm, 8_lag_naoPSLjfm, 14_lag_traFSC, 7_lag_traIFC, 4_lag_naoPSLjfm, 9_lag_traIT_2535_1"
LRforcedPSO,7,6,yrvPRjja,shigh,873.5,2005.5,0.4,22,2,2,13.25630272983424,0.019969331023894237,2535,"['20_lag_traWP', '9_lag_amoSSTmjjaso', '5_lag_ormenSSTjfm', '12_lag_traMC', '3_lag_traWP', '2_lag_16_median_traWP']","[3.0559751529921098, 0.2834743236991599, 2.345567618467756, 3.028560024623781, 0.987267033072941, 3.8652898777370144]","20_lag_traWP, 9_lag_amoSSTmjjaso, 5_lag_ormenSSTjfm, 12_lag_traMC, 3_lag_traWP, 2_lag_16_median_traWP_2535_2"
LRforcedPSO,8,6,yrvPRjja,shigh,874.5,2005.5,0.4,23,3,3,11.918675775339839,0.028224451145487627,2535,"['3_lag_13_median_stratZ50ndj04', '7_lag_traBO', '7_lag_amo1', '3_lag_6_median_traBO', '5_lag_glomaSSTjfm', '10_lag_mhfATL45']","[1.049283753907169, 1.363077636204413, 1.218972808421322, 1.399045005208594, 1.084115532264756, 1.2213218845632061]","3_lag_13_median_stratZ50ndj04, 7_lag_traBO, 7_lag_amo1, 3_lag_6_median_traBO, 5_lag_glomaSSTjfm, 10_lag_mhfATL45_2535_3"
LRforcedPSO,9,6,yrvPRjja,shigh,875.5,2005.5,0.4,24,4,4,12.395270044279286,0.015184269021562023,2535,"['4_lag_19_median_mhfATL30', '4_lag_22_median_gyreSSTjfm', '4_lag_7_median_mhfATL30', '4_lag_9_median_naoPSLjfm', '16_lag_atlSICsep', '16_lag_traWP']","[2.152527523043558, 2.4566353835490102, 1.8782486813475487, 2.3792304342057564, 1.8437029518017827, 2.005462962123526]","4_lag_19_median_mhfATL30, 4_lag_22_median_gyreSSTjfm, 4_lag_7_median_mhfATL30, 4_lag_9_median_naoPSLjfm, 16_lag_atlSICsep, 16_lag_traWP_2535_4"
LRforcedPSO,10,6,yrvPRjja,shigh,876.5,2005.5,0.4,25,5,5,12.340412637423134,-0.05406413070307402,2535,"['22_lag_traFSC', '5_lag_15_median_nhTSjfm', '23_lag_traCA', '10_lag_shSICsep', '5_lag_24_median_traDS', '5_lag_15_median_mhfIP30']","[1.5659142651713187, 1.6662954234375227, 1.5900335502640754, 1.8090836446172618, 1.7031732555155685, 1.7922009288102587]","22_lag_traFSC, 5_lag_15_median_nhTSjfm, 23_lag_traCA, 10_lag_shSICsep, 5_lag_24_median_traDS, 5_lag_15_median_mhfIP30_2535_5"
LRforcedPSO,11,6,yrvPRjja,shigh,877.5,2005.5,0.4,26,6,6,13.132756140041755,0.013336554762269755,2535,"['6_lag_10_median_wnorPRjfm', '6_lag_7_median_amo1', '21_lag_ginwSSTjfm', '6_lag_12_median_ismPRjja', '16_lag_traMC', '6_lag_16_median_ensoSSTjfm']","[1.6059596064114139, 0.5784994194730526, 5.098817891724174, 2.6205743526583047, 2.220247883278059, 1.1811812316499353]","6_lag_10_median_wnorPRjfm, 6_lag_7_median_amo1, 21_lag_ginwSSTjfm, 6_lag_12_median_ismPRjja, 16_lag_traMC, 6_lag_16_median_ensoSSTjfm_2535_6"
LRforcedPSO,12,6,yrvPRjja,shigh,878.5,2005.5,0.4,27,7,7,13.348593522628114,-0.005754633346123507,2535,"['16_lag_nhTSjfm', '8_lag_traFSC', '7_lag_14_median_amo3', '11_lag_traMC', '7_lag_17_median_arcTSjfm', '7_lag_24_median_wnorPRjfm']","[2.8431245893223007, 0.021452797070223184, 0.09601481289272584, 2.157453391157718, 5.271685908324248, 3.079951243372271]","16_lag_nhTSjfm, 8_lag_traFSC, 7_lag_14_median_amo3, 11_lag_traMC, 7_lag_17_median_arcTSjfm, 7_lag_24_median_wnorPRjfm_2535_7"
LRforcedPSO,13,6,yrvPRjja,shigh,879.5,2005.5,0.4,28,8,8,12.214890725704073,-0.0076743749869769865,2535,"['8_lag_14_median_amo2', '11_lag_mhfATL60', '8_lag_23_median_stratZ50ndj04', '10_lag_traCA', '8_lag_ginwSSTjfm', '25_lag_mhfATL45']","[1.6402676231926587, 1.7178507119082713, 1.857236931839329, 1.4795100566921553, 1.5476098126840305, 1.9718520762615313]","8_lag_14_median_amo2, 11_lag_mhfATL60, 8_lag_23_median_stratZ50ndj04, 10_lag_traCA, 8_lag_ginwSSTjfm, 25_lag_mhfATL45_2535_8"
LRforcedPSO,14,6,yrvPRjja,shigh,880.5,2005.5,0.4,29,9,9,13.283615877675444,0.045185816845091466,2535,"['18_lag_nchinaPRjja', '11_lag_traEU', '9_lag_15_median_AMOCann', '25_lag_wnorPRjfm', '23_lag_neurTSjfm', '9_lag_20_median_traTLS']","[2.8537526157294764, 4.385930756407209, 1.3872979047425709, 0.21217286924619927, 3.3134958213352625, 5.03418372859109]","18_lag_nchinaPRjja, 11_lag_traEU, 9_lag_15_median_AMOCann, 25_lag_wnorPRjfm, 23_lag_neurTSjfm, 9_lag_20_median_traTLS_2535_9"
LRforcedPSO,15,6,yrvPRjja,shigh,881.5,2005.5,0.4,30,10,10,14.010622793632534,0.04184688195919682,2535,"['10_lag_mhfATL45', '10_lag_traBO', '10_lag_23_median_traFS', '12_lag_cetTSjfm', '10_lag_14_median_traFSC', '14_lag_mhfATL45']","[7.274785993053577, 0.8461431592578545, 0.4085137160027763, 1.6709936524921218, 4.656607737678682, 0.7660649163566351]","10_lag_mhfATL45, 10_lag_traBO, 10_lag_23_median_traFS, 12_lag_cetTSjfm, 10_lag_14_median_traFSC, 14_lag_mhfATL45_2535_10"
LRforcedPSO,16,6,yrvPRjja,shigh,882.5,2005.5,0.4,31,11,11,12.454790868190612,-0.033876222503804294,2535,"['11_lag_22_median_neurTSjfm', '22_lag_traMC', '20_lag_satlSSTjfm', '11_lag_14_median_stratZ50ndj04', '17_lag_mhfATL30', '30_lag_nchinaPRjja']","[0.48720432330455665, 2.3163796132215575, 1.0192171215143269, 0.7402614426274052, 1.0367553773919376, 2.793395805112022]","11_lag_22_median_neurTSjfm, 22_lag_traMC, 20_lag_satlSSTjfm, 11_lag_14_median_stratZ50ndj04, 17_lag_mhfATL30, 30_lag_nchinaPRjja_2535_11"
