model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,yrvPRjja,shigh,1514.5,2005.5,0.4,15,1,1,14.011123042686568,-0.023050998788522608,1755,"['1_lag_stratZ50ndj01', '11_lag_traIT', '12_lag_nchinaPRjja', '10_lag_nchinaPRjja', '11_lag_traMC', '1_lag_yrvPRjja']","[0.06122113817384116, 0.08921853393590297, 0.18447495437547123, 0.12476875752680495, 0.04347927745952764, 0.0033954618135034072]","1_lag_stratZ50ndj01, 11_lag_traIT, 12_lag_nchinaPRjja, 10_lag_nchinaPRjja, 11_lag_traMC, 1_lag_yrvPRjja_1755_1"
LinearRegression,1,6,yrvPRjja,shigh,1515.5,2005.5,0.4,16,1,1,14.162816836318179,-0.025328940337919534,1885,"['11_lag_traIT', '6_lag_alpi', '1_lag_stratZ50ndj01', '11_lag_traMC', '12_lag_nchinaPRjja', '1_lag_yrvPRjja']","[0.09938908887476332, 0.09257070689956837, 0.06640629772163209, 0.05761802642899776, 0.21244890760500154, 0.01138739238906493]","11_lag_traIT, 6_lag_alpi, 1_lag_stratZ50ndj01, 11_lag_traMC, 12_lag_nchinaPRjja, 1_lag_yrvPRjja_1885_1"
LinearRegression,2,6,yrvPRjja,shigh,1516.5,2005.5,0.4,17,1,1,13.905930322260147,0.024554017622538057,2015,"['14_lag_ismPRjja', '10_lag_nchinaPRjja', '1_lag_stratZ50ndj01', '16_lag_traEU', '12_lag_nchinaPRjja', '1_lag_yrvPRjja']","[0.15810947222263644, 0.1053831996521345, 0.06735858901442696, 0.18759097002605446, 0.16959110679960268, 0.022487754422479078]","14_lag_ismPRjja, 10_lag_nchinaPRjja, 1_lag_stratZ50ndj01, 16_lag_traEU, 12_lag_nchinaPRjja, 1_lag_yrvPRjja_2015_1"
LinearRegression,3,6,yrvPRjja,shigh,1517.5,2005.5,0.4,18,1,1,13.918713319279181,0.02532559666872945,2145,"['10_lag_nchinaPRjja', '14_lag_ismPRjja', '16_lag_traEU', '1_lag_stratZ50ndj01', '12_lag_nchinaPRjja', '1_lag_yrvPRjja']","[0.10683332511927832, 0.15996556856615596, 0.1873385892028044, 0.06741084463412723, 0.171746829739242, 0.029284671084284945]","10_lag_nchinaPRjja, 14_lag_ismPRjja, 16_lag_traEU, 1_lag_stratZ50ndj01, 12_lag_nchinaPRjja, 1_lag_yrvPRjja_2145_1"
LinearRegression,4,6,yrvPRjja,shigh,1518.5,2005.5,0.4,19,1,1,14.048267585738554,0.00699745211627713,2275,"['14_lag_ismPRjja', '3_lag_alpi', '16_lag_traEU', '10_lag_nchinaPRjja', '12_lag_nchinaPRjja', '1_lag_yrvPRjja']","[0.15961395926853725, 0.08553083292356639, 0.1680380753736689, 0.12042784115561447, 0.19306195650263733, 0.039365648820035105]","14_lag_ismPRjja, 3_lag_alpi, 16_lag_traEU, 10_lag_nchinaPRjja, 12_lag_nchinaPRjja, 1_lag_yrvPRjja_2275_1"
LinearRegression,5,6,yrvPRjja,shigh,1519.5,2005.5,0.4,20,1,1,14.057496849533143,0.006825056209554769,2405,"['14_lag_ismPRjja', '12_lag_nchinaPRjja', '16_lag_traEU', '3_lag_alpi', '10_lag_nchinaPRjja', '1_lag_yrvPRjja']","[0.15853288107422572, 0.19186462725086925, 0.1685905273157031, 0.08755446392248453, 0.12336999314959925, 0.040979640312275294]","14_lag_ismPRjja, 12_lag_nchinaPRjja, 16_lag_traEU, 3_lag_alpi, 10_lag_nchinaPRjja, 1_lag_yrvPRjja_2405_1"
LinearRegression,6,6,yrvPRjja,shigh,1520.5,2005.5,0.4,21,1,1,14.032687041558418,0.010359772373818198,2535,"['14_lag_ismPRjja', '12_lag_nchinaPRjja', '3_lag_alpi', '16_lag_traEU', '10_lag_nchinaPRjja', '1_lag_yrvPRjja']","[0.1643537432273248, 0.1850841278278806, 0.08537064682048262, 0.16965804796531198, 0.12525207371978966, 0.03887180281318654]","14_lag_ismPRjja, 12_lag_nchinaPRjja, 3_lag_alpi, 16_lag_traEU, 10_lag_nchinaPRjja, 1_lag_yrvPRjja_2535_1"
LinearRegression,7,6,yrvPRjja,shigh,1521.5,2005.5,0.4,22,2,10,14.30272124669528,0.016380937761849977,2535,"['16_lag_traEU', '14_lag_ismPRjja', '12_lag_nchinaPRjja', '21_lag_traEU', '21_lag_scpPSLjfm', '10_lag_nchinaPRjja']","[0.17707934745753104, 0.17069580537793902, 0.16576109412086504, 0.08347272361601646, 0.13094787238534292, 0.09866284859511512]","16_lag_traEU, 14_lag_ismPRjja, 12_lag_nchinaPRjja, 21_lag_traEU, 21_lag_scpPSLjfm, 10_lag_nchinaPRjja_2535_10"
LinearRegression,8,6,yrvPRjja,shigh,1522.5,2005.5,0.4,23,3,3,14.620723066267152,-0.08190203309886743,2535,"['19_lag_eurPSLjfm', '21_lag_traEU', '21_lag_scpPSLjfm', '12_lag_nchinaPRjja', '3_lag_alpi', '10_lag_nchinaPRjja']","[0.10677743195109782, 0.06259725951329792, 0.12672815817338628, 0.1891774933603803, 0.08123831154138424, 0.11607035501994496]","19_lag_eurPSLjfm, 21_lag_traEU, 21_lag_scpPSLjfm, 12_lag_nchinaPRjja, 3_lag_alpi, 10_lag_nchinaPRjja_2535_3"
LinearRegression,9,6,yrvPRjja,shigh,1523.5,2005.5,0.4,24,4,8,13.882531992271257,-0.0007764644166699548,2535,"['23_lag_traEU', '21_lag_scpPSLjfm', '12_lag_yrvPRjja', '8_lag_shSICmar', '12_lag_scpPSLjfm', '10_lag_nchinaPRjja']","[0.10575820869244912, 0.11198925927371078, 0.10405612237458935, 0.2715356634078818, 0.1102538059928512, 0.0605607140714798]","23_lag_traEU, 21_lag_scpPSLjfm, 12_lag_yrvPRjja, 8_lag_shSICmar, 12_lag_scpPSLjfm, 10_lag_nchinaPRjja_2535_8"
