model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,AMOCann,slow,1514.5,2005.5,0.6,15,1,1,22.72335870709921,-0.36277922112456384,1755,"['2_lag_alpi', '11_lag_amo2', '1_lag_4_median_yrvPRjja', '13_lag_tripol2', '1_lag_13_median_tripol1', '14_lag_traMC', '1_lag_14_median_nhTSjfm', '8_lag_traBS', '1_lag_2_median_ormenSSTjfm', '6_lag_traBO']","[5.971896450349696, 0.34841858109619217, 4.096397899415409, 1.7133004253345359, 0.43640757306543065, 1.9139377429666045, 3.396863683358216, 6.043457692460432, 1.4272851917194345, 2.2370203332851757]","2_lag_alpi, 11_lag_amo2, 1_lag_4_median_yrvPRjja, 13_lag_tripol2, 1_lag_13_median_tripol1, 14_lag_traMC, 1_lag_14_median_nhTSjfm, 8_lag_traBS, 1_lag_2_median_ormenSSTjfm, 6_lag_traBO_1755_1"
LRforcedPSO,1,10,AMOCann,slow,1515.5,2005.5,0.6,16,1,1,15.874145305099248,0.15907156977269973,1885,"['1_lag_mhfATL60', '11_lag_traFSC', '1_lag_4_median_wnorPRjfm', '1_lag_2_median_nhSICsep', '9_lag_alpi', '1_lag_6_median_traBO', '1_lag_13_median_traFSC', '1_lag_3_median_stratZ50ndj03', '6_lag_alpi', '1_lag_15_median_solFORC']","[1.7646763453113543, 1.7605893945449473, 3.4920744807045656, 2.258014306483215, 3.557579119427916, 0.571649167770083, 3.7637697666328247, 3.8458332513779503, 4.280402399416234, 2.252178689884179]","1_lag_mhfATL60, 11_lag_traFSC, 1_lag_4_median_wnorPRjfm, 1_lag_2_median_nhSICsep, 9_lag_alpi, 1_lag_6_median_traBO, 1_lag_13_median_traFSC, 1_lag_3_median_stratZ50ndj03, 6_lag_alpi, 1_lag_15_median_solFORC_1885_1"
LRforcedPSO,2,10,AMOCann,slow,1516.5,2005.5,0.6,17,1,1,16.089911154466076,0.3810290319595031,2015,"['1_lag_10_median_nhSICsep', '13_lag_cetTSjfm', '1_lag_4_median_eurPSLjfm', '3_lag_traEU', '11_lag_glomaSSTjfm', '14_lag_amoSSTmjjaso', '16_lag_mhfATL30', '1_lag_13_median_mhfATL30', '3_lag_glTSjfm', '1_lag_14_median_mhfIP30']","[3.286140915958226, 1.8519919259302249, 2.3763317185862, 3.985533967564365, 2.155699051026798, 0.11659088292186937, 3.33007047375518, 7.678552123723843, 9.706232339449485, 2.6953844901327315]","1_lag_10_median_nhSICsep, 13_lag_cetTSjfm, 1_lag_4_median_eurPSLjfm, 3_lag_traEU, 11_lag_glomaSSTjfm, 14_lag_amoSSTmjjaso, 16_lag_mhfATL30, 1_lag_13_median_mhfATL30, 3_lag_glTSjfm, 1_lag_14_median_mhfIP30_2015_1"
LRforcedPSO,3,10,AMOCann,slow,1517.5,2005.5,0.6,18,1,1,16.52820940179658,0.16301203994475108,2145,"['1_lag_5_median_scpPSLjfm', '1_lag_12_median_shTSjfm', '1_lag_3_median_traBO', '12_lag_traFS', '1_lag_17_median_wnorPRjfm', '6_lag_eapPSLjfm', '1_lag_10_median_traBO', '7_lag_gyreSSTjfm', '3_lag_cetTSjfm', '3_lag_traIT']","[0.5615113905829361, 3.6480413083908854, 2.619065387063795, 6.749658112333286, 5.668873479062137, 5.159111060224704, 1.7246691796485702, 4.291862082414045, 7.6551724582209175, 3.4657685714444604]","1_lag_5_median_scpPSLjfm, 1_lag_12_median_shTSjfm, 1_lag_3_median_traBO, 12_lag_traFS, 1_lag_17_median_wnorPRjfm, 6_lag_eapPSLjfm, 1_lag_10_median_traBO, 7_lag_gyreSSTjfm, 3_lag_cetTSjfm, 3_lag_traIT_2145_1"
LRforcedPSO,4,10,AMOCann,slow,1518.5,2005.5,0.6,19,1,1,29.530153449069086,-0.3756865691919329,2275,"['1_lag_13_median_traDS', '10_lag_traFS', '1_lag_12_median_labSSTjfm', '12_lag_mhfATL60', '3_lag_nhTSjfm', '17_lag_wnorPRjfm', '8_lag_ormenSSTjfm', '5_lag_nhTSjfm', '1_lag_6_median_traIFC', '1_lag_5_median_stratZ50ndj01']","[7.291089387295315, 6.153829944427631, 8.771955323796846, 2.379610098165017, 0.12997957972782181, 1.1192521632109358, 1.141825002788524, 2.9468567645231953, 7.661405783545312, 2.277295096317795]","1_lag_13_median_traDS, 10_lag_traFS, 1_lag_12_median_labSSTjfm, 12_lag_mhfATL60, 3_lag_nhTSjfm, 17_lag_wnorPRjfm, 8_lag_ormenSSTjfm, 5_lag_nhTSjfm, 1_lag_6_median_traIFC, 1_lag_5_median_stratZ50ndj01_2275_1"
LRforcedPSO,5,10,AMOCann,slow,1519.5,2005.5,0.6,20,1,1,28.235466831747207,-0.424572124929865,2405,"['1_lag_15_median_traIFC', '9_lag_shTSjfm', '1_lag_9_median_nchinaPRjja', '13_lag_traDP', '5_lag_tripol2', '1_lag_10_median_satlSSTjfm', '10_lag_glTSjfm', '1_lag_2_median_shSICsep', '1_lag_5_median_stratZ50ndj01', '1_lag_17_median_ensoSSTjfm']","[2.029208970700653, 1.1315151437383015, 1.5198894195010624, 3.5156442029710355, 6.2328047688111035, 2.0456580736160195, 2.061384289130852, 4.598340572148276, 0.3745039068298883, 6.604485031416569]","1_lag_15_median_traIFC, 9_lag_shTSjfm, 1_lag_9_median_nchinaPRjja, 13_lag_traDP, 5_lag_tripol2, 1_lag_10_median_satlSSTjfm, 10_lag_glTSjfm, 1_lag_2_median_shSICsep, 1_lag_5_median_stratZ50ndj01, 1_lag_17_median_ensoSSTjfm_2405_1"
LRforcedPSO,6,10,AMOCann,slow,1520.5,2005.5,0.6,21,1,1,18.50900400990201,0.0963709781237754,2535,"['1_lag_8_median_labSSTjfm', '1_lag_4_median_traFS', '1_lag_15_median_alpi', '1_lag_8_median_shSICmar', '1_lag_8_median_tripol1', '11_lag_tripol1', '5_lag_samPSLann', '4_lag_traFB', '1_lag_19_median_amo2', '1_lag_3_median_traEU']","[1.2877901864280954, 1.2878655626788404, 6.620901281202498, 3.834508638743981, 8.772948791759184, 1.605511876439385, 3.536341670506533, 2.702188432193166, 3.360956311685573, 6.245544402915193]","1_lag_8_median_labSSTjfm, 1_lag_4_median_traFS, 1_lag_15_median_alpi, 1_lag_8_median_shSICmar, 1_lag_8_median_tripol1, 11_lag_tripol1, 5_lag_samPSLann, 4_lag_traFB, 1_lag_19_median_amo2, 1_lag_3_median_traEU_2535_1"
LRforcedPSO,7,10,AMOCann,slow,1521.5,2005.5,0.6,22,2,2,19.08294888609728,0.11656147461925985,2535,"['2_lag_7_median_wnorPRjfm', '2_lag_11_median_scpPSLjfm', '10_lag_traFS', '2_lag_12_median_traEC', '7_lag_ensoSSTjfm', '2_lag_4_median_traBS', '2_lag_15_median_stratZ50ndj02', '2_lag_14_median_glTSjfm', '2_lag_13_median_nhSICsep', '2_lag_9_median_shTSjfm']","[5.184417465203847, 8.218398671708682, 3.8012555613596906, 0.535809705266665, 3.187216587897934, 2.7409125331273305, 4.486865402405227, 7.854633728198303, 6.8549615206638626, 4.138116189981167]","2_lag_7_median_wnorPRjfm, 2_lag_11_median_scpPSLjfm, 10_lag_traFS, 2_lag_12_median_traEC, 7_lag_ensoSSTjfm, 2_lag_4_median_traBS, 2_lag_15_median_stratZ50ndj02, 2_lag_14_median_glTSjfm, 2_lag_13_median_nhSICsep, 2_lag_9_median_shTSjfm_2535_2"
LRforcedPSO,8,10,AMOCann,slow,1522.5,2005.5,0.6,23,3,3,22.118854192406165,-0.07313425280801861,2535,"['3_lag_19_median_gyreSSTjfm', '15_lag_stratZ50ndj04', '13_lag_labSSTjfm', '20_lag_ormenSSTjfm', '3_lag_18_median_mhfIP30', '15_lag_eapPSLjfm', '11_lag_traIFC', '16_lag_naoPSLjfm', '4_lag_atlSICsep', '3_lag_18_median_traBS']","[5.797241280099652, 3.0753977656769527, 6.417491208343083, 1.4292647469816373, 1.29705593499658, 3.2479153738947186, 3.192908019066463, 1.4388034870902615, 5.0650924371849, 2.7484685422176742]","3_lag_19_median_gyreSSTjfm, 15_lag_stratZ50ndj04, 13_lag_labSSTjfm, 20_lag_ormenSSTjfm, 3_lag_18_median_mhfIP30, 15_lag_eapPSLjfm, 11_lag_traIFC, 16_lag_naoPSLjfm, 4_lag_atlSICsep, 3_lag_18_median_traBS_2535_3"
LRforcedPSO,9,10,AMOCann,slow,1523.5,2005.5,0.6,24,4,4,16.10190997424938,0.22046961951173108,2535,"['4_lag_21_median_nppc3SSTjfm', '21_lag_nppc3SSTjfm', '19_lag_pdoSSTjfm', '4_lag_6_median_yrvPRjja', '7_lag_scpPSLjfm', '4_lag_22_median_nhSICjfm', '18_lag_traCA', '4_lag_11_median_traBS', '4_lag_8_median_wnorPRjfm', '10_lag_scpPSLjfm']","[4.463834521043541, 1.5015934488158678, 0.6885829586205201, 3.2177594442546686, 9.587253090499923, 3.239478812973262, 1.7966793358430593, 2.4886741419307885, 1.2322684007390485, 4.030736274540059]","4_lag_21_median_nppc3SSTjfm, 21_lag_nppc3SSTjfm, 19_lag_pdoSSTjfm, 4_lag_6_median_yrvPRjja, 7_lag_scpPSLjfm, 4_lag_22_median_nhSICjfm, 18_lag_traCA, 4_lag_11_median_traBS, 4_lag_8_median_wnorPRjfm, 10_lag_scpPSLjfm_2535_4"
