model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,AMOCann,slow,1714.5,2005.5,0.8,15,1,1,21.76397465390826,0.3098133268196126,1755,"['3_lag_mhfIP30', '4_lag_ginwSSTjfm', '12_lag_nchinaPRjja', '11_lag_atlSICjfm', '14_lag_mhfATL60', '1_lag_traFSC']","[0.10768599236722463, 0.04610728291499405, 0.10409922801087751, 0.10460240970604714, 0.03837525590327805, 0.17822049319809363]","3_lag_mhfIP30, 4_lag_ginwSSTjfm, 12_lag_nchinaPRjja, 11_lag_atlSICjfm, 14_lag_mhfATL60, 1_lag_traFSC_1755_1"
LinearRegression,1,6,AMOCann,slow,1715.5,2005.5,0.8,16,1,1,24.20792952761591,0.0034139794168385473,1885,"['14_lag_mhfATL60', '15_lag_ormenSSTjfm', '15_lag_traEC', '8_lag_alpi', '11_lag_atlSICjfm', '1_lag_traFSC']","[0.022138259757129665, 0.21232316461581754, 0.03691341120910539, 0.0500729195375878, 0.1426072043928784, 0.20144192717749576]","14_lag_mhfATL60, 15_lag_ormenSSTjfm, 15_lag_traEC, 8_lag_alpi, 11_lag_atlSICjfm, 1_lag_traFSC_1885_1"
LinearRegression,2,6,AMOCann,slow,1716.5,2005.5,0.8,17,1,1,17.914559470854755,0.539464503060795,2015,"['12_lag_nchinaPRjja', '16_lag_stratZ50ndj01', '1_lag_traCA', '1_lag_traFSC', '11_lag_atlSICjfm', '16_lag_traFB']","[0.11723314937558942, 0.09353867284512044, 0.20547365220328145, 0.12068767367444547, 0.13307624623954417, 0.22589362709914973]","12_lag_nchinaPRjja, 16_lag_stratZ50ndj01, 1_lag_traCA, 1_lag_traFSC, 11_lag_atlSICjfm, 16_lag_traFB_2015_1"
LinearRegression,3,6,AMOCann,slow,1717.5,2005.5,0.8,18,1,1,18.51628267688786,0.535030299787579,2145,"['17_lag_traMC', '1_lag_traCA', '3_lag_mhfIP30', '11_lag_atlSICjfm', '1_lag_traFSC', '16_lag_traFB']","[0.06119271537046381, 0.2065733379814842, 0.11833429518576663, 0.11246301979317175, 0.12652345212656976, 0.22032752567894454]","17_lag_traMC, 1_lag_traCA, 3_lag_mhfIP30, 11_lag_atlSICjfm, 1_lag_traFSC, 16_lag_traFB_2145_1"
LinearRegression,4,6,AMOCann,slow,1718.5,2005.5,0.8,19,1,1,18.280922098275216,0.5264420210728332,2275,"['16_lag_stratZ50ndj01', '1_lag_traFSC', '11_lag_atlSICjfm', '1_lag_traCA', '3_lag_mhfIP30', '16_lag_traFB']","[0.08532906207942954, 0.12369300653158752, 0.10933506285569988, 0.20666306902683934, 0.11889966944891336, 0.19828497843378096]","16_lag_stratZ50ndj01, 1_lag_traFSC, 11_lag_atlSICjfm, 1_lag_traCA, 3_lag_mhfIP30, 16_lag_traFB_2275_1"
LinearRegression,5,6,AMOCann,slow,1719.5,2005.5,0.8,20,1,1,18.686692711575535,0.5162182662679022,2405,"['1_lag_traFSC', '1_lag_traCA', '11_lag_atlSICjfm', '19_lag_stratZ50ndj03', '16_lag_traFB', '3_lag_mhfIP30']","[0.1288974689128448, 0.20457012244715855, 0.10302263081257207, 0.07004823113628844, 0.201403093094508, 0.11515083401694834]","1_lag_traFSC, 1_lag_traCA, 11_lag_atlSICjfm, 19_lag_stratZ50ndj03, 16_lag_traFB, 3_lag_mhfIP30_2405_1"
LinearRegression,6,6,AMOCann,slow,1720.5,2005.5,0.8,21,1,1,17.725548973676872,0.5473470232225962,2535,"['16_lag_stratZ50ndj01', '20_lag_alpi', '1_lag_traCA', '11_lag_atlSICjfm', '3_lag_mhfIP30', '16_lag_traFB']","[0.10421711146884526, 0.10486631483060753, 0.22804131035351557, 0.11106290048614713, 0.1222933032773251, 0.20580233224644626]","16_lag_stratZ50ndj01, 20_lag_alpi, 1_lag_traCA, 11_lag_atlSICjfm, 3_lag_mhfIP30, 16_lag_traFB_2535_1"
LinearRegression,7,6,AMOCann,slow,1721.5,2005.5,0.8,22,2,2,17.713715128955908,0.543333949065893,2535,"['19_lag_stratZ50ndj03', '11_lag_atlSICjfm', '20_lag_alpi', '16_lag_traFB', '2_lag_traCA', '2_lag_traEU']","[0.045744406341326524, 0.11875429458749209, 0.0985976642908265, 0.21320642392581182, 0.2577418043016611, 0.09258142656882887]","19_lag_stratZ50ndj03, 11_lag_atlSICjfm, 20_lag_alpi, 16_lag_traFB, 2_lag_traCA, 2_lag_traEU_2535_2"
LinearRegression,8,6,AMOCann,slow,1722.5,2005.5,0.8,23,3,3,20.910339388484665,0.38485588142419164,2535,"['8_lag_traBS', '3_lag_mhfIP30', '19_lag_stratZ50ndj03', '15_lag_traEC', '14_lag_stratZ50ndj01', '16_lag_traFB']","[0.07404074701951407, 0.1266075785379932, 0.07712968752906148, 0.08161619597082578, 0.053750112546789824, 0.17952655250667593]","8_lag_traBS, 3_lag_mhfIP30, 19_lag_stratZ50ndj03, 15_lag_traEC, 14_lag_stratZ50ndj01, 16_lag_traFB_2535_3"
LinearRegression,9,6,AMOCann,slow,1723.5,2005.5,0.8,24,4,4,24.53921740490163,-0.09025322576625332,2535,"['4_lag_stratZ50ndj02', '4_lag_traIFC', '19_lag_stratZ50ndj03', '14_lag_stratZ50ndj01', '4_lag_stratZ50ndj03', '23_lag_yrvPRjja']","[0.08857977422836376, 0.14416450833964356, 0.11036012692141618, 0.03730679580635238, 0.19667555610160564, 0.11620344888466431]","4_lag_stratZ50ndj02, 4_lag_traIFC, 19_lag_stratZ50ndj03, 14_lag_stratZ50ndj01, 4_lag_stratZ50ndj03, 23_lag_yrvPRjja_2535_4"
LinearRegression,10,6,AMOCann,slow,1724.5,2005.5,0.8,25,5,8,20.277815666914375,0.4231321201469731,2535,"['16_lag_traWP', '8_lag_traBS', '15_lag_traEC', '12_lag_traEU', '16_lag_traFB', '14_lag_stratZ50ndj01']","[0.03031513630218991, 0.07518968335618342, 0.0999515464868764, 0.07422580663002612, 0.17418641064038037, 0.048486635385091174]","16_lag_traWP, 8_lag_traBS, 15_lag_traEC, 12_lag_traEU, 16_lag_traFB, 14_lag_stratZ50ndj01_2535_8"
LinearRegression,11,6,AMOCann,slow,1725.5,2005.5,0.8,26,6,12,21.28814297996334,0.43540109766053675,2535,"['12_lag_traEU', '15_lag_traEC', '16_lag_traFB', '25_lag_ismPRjja', '14_lag_stratZ50ndj01', '25_lag_yrvPRjja']","[0.07809475178091423, 0.10396181118575262, 0.16453706376116914, 0.1542145178931532, 0.040495075467528056, 0.0952918368328594]","12_lag_traEU, 15_lag_traEC, 16_lag_traFB, 25_lag_ismPRjja, 14_lag_stratZ50ndj01, 25_lag_yrvPRjja_2535_12"
LinearRegression,12,6,AMOCann,slow,1726.5,2005.5,0.8,27,7,14,23.63680641302548,0.09142933253057377,2535,"['17_lag_stratZ50ndj01', '24_lag_stratZ50ndj01', '19_lag_stratZ50ndj03', '14_lag_stratZ50ndj01', '25_lag_ismPRjja', '25_lag_yrvPRjja']","[0.08948595694127352, 0.10324104539620546, 0.13119461120942777, 0.07106090593899035, 0.13360952366012935, 0.13702026682074564]","17_lag_stratZ50ndj01, 24_lag_stratZ50ndj01, 19_lag_stratZ50ndj03, 14_lag_stratZ50ndj01, 25_lag_ismPRjja, 25_lag_yrvPRjja_2535_14"
LinearRegression,13,6,AMOCann,slow,1727.5,2005.5,0.8,28,8,14,25.203759491039364,0.08171231721916056,2535,"['17_lag_stratZ50ndj01', '24_lag_stratZ50ndj01', '27_lag_ormenSSTjfm', '14_lag_stratZ50ndj01', '25_lag_ismPRjja', '25_lag_yrvPRjja']","[0.08673726479655558, 0.1039791735498817, 0.20501447967413539, 0.055187642694785835, 0.14301148132851324, 0.11633158761910742]","17_lag_stratZ50ndj01, 24_lag_stratZ50ndj01, 27_lag_ormenSSTjfm, 14_lag_stratZ50ndj01, 25_lag_ismPRjja, 25_lag_yrvPRjja_2535_14"
LinearRegression,14,6,AMOCann,slow,1728.5,2005.5,0.8,29,9,18,24.357350330069217,0.1574992907689527,2535,"['18_lag_traEU', '28_lag_ensoSSTjfm', '28_lag_traEU', '25_lag_ismPRjja', '28_lag_ormenSSTjfm', '25_lag_yrvPRjja']","[0.06524110071807139, 0.10210174688747203, 0.14525301512903904, 0.13779533640908476, 0.16607499832201722, 0.12293626839545083]","18_lag_traEU, 28_lag_ensoSSTjfm, 28_lag_traEU, 25_lag_ismPRjja, 28_lag_ormenSSTjfm, 25_lag_yrvPRjja_2535_18"
LinearRegression,15,6,AMOCann,slow,1729.5,2005.5,0.8,30,10,18,23.660063393570947,0.19902031950273585,2535,"['18_lag_traEU', '29_lag_mhfIP30', '25_lag_ismPRjja', '29_lag_traIFC', '25_lag_yrvPRjja', '28_lag_traEU']","[0.05437730911000677, 0.049583261836161546, 0.12550023383745457, 0.1435723160500627, 0.12592598849572156, 0.138963902588277]","18_lag_traEU, 29_lag_mhfIP30, 25_lag_ismPRjja, 29_lag_traIFC, 25_lag_yrvPRjja, 28_lag_traEU_2535_18"
LinearRegression,16,6,AMOCann,slow,1730.5,2005.5,0.8,31,11,16,23.979502602703423,0.14700861917654026,2535,"['19_lag_stratZ50ndj03', '25_lag_yrvPRjja', '16_lag_stratZ50ndj01', '25_lag_ismPRjja', '28_lag_traEU', '29_lag_traIFC']","[0.09295801953344379, 0.1447661631426984, 0.055783069090808185, 0.1268094776132312, 0.13171071401222617, 0.13596904446023073]","19_lag_stratZ50ndj03, 25_lag_yrvPRjja, 16_lag_stratZ50ndj01, 25_lag_ismPRjja, 28_lag_traEU, 29_lag_traIFC_2535_16"
