model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,AMOCann,slow,866.5,2005.5,0.8,15,1,1,11.40594802371606,0.2666196489233623,594,"['1_lag_3_median_eapPSLjfm', '3_lag_solFORC', '1_lag_2_median_amoSSTjfm', '1_lag_3_median_nppc2SSTjfm', '2_lag_amoSSTjfm', '1_lag_3_median_solFORC']","[0.029611101037762263, 3.209377264745741, 26108189044209.652, 0.052307134961516066, 26108189044209.746, 3.2125597608068777]","1_lag_3_median_eapPSLjfm, 3_lag_solFORC, 1_lag_2_median_amoSSTjfm, 1_lag_3_median_nppc2SSTjfm, 2_lag_amoSSTjfm, 1_lag_3_median_solFORC_594_1"
LinearRegression,1,6,AMOCann,slow,867.5,2005.5,0.8,16,1,1,9.274066541568804,0.5822740374853597,638,"['1_lag_3_median_AMOCann', '2_lag_amo1', '1_lag_2_median_amo1', '1_lag_3_median_solFORC', '2_lag_amoSSTjfm', '2_lag_shSICmar']","[0.5105222241411155, 37219375934830.47, 37219375934830.55, 0.005859375, 0.15234375, 0.0078125]","1_lag_3_median_AMOCann, 2_lag_amo1, 1_lag_2_median_amo1, 1_lag_3_median_solFORC, 2_lag_amoSSTjfm, 2_lag_shSICmar_638_1"
LinearRegression,2,6,AMOCann,slow,868.5,2005.5,0.8,17,1,1,11.403682196996868,0.33518957048260534,682,"['1_lag_2_median_solFORC', '1_lag_2_median_naoPSLjfm', '2_lag_stratZ50ndj04', '1_lag_3_median_stratZ50ndj03', '1_lag_3_median_eurPSLjfm', '1_lag_3_median_amo3']","[0.009409032107181812, 0.07564201290040455, 0.010003640797735205, 0.04254539618159873, 0.03091971280075568, 0.06654918429056517]","1_lag_2_median_solFORC, 1_lag_2_median_naoPSLjfm, 2_lag_stratZ50ndj04, 1_lag_3_median_stratZ50ndj03, 1_lag_3_median_eurPSLjfm, 1_lag_3_median_amo3_682_1"
LinearRegression,3,6,AMOCann,slow,869.5,2005.5,0.8,18,1,1,12.05990844157671,-0.11624869213925199,726,"['1_lag_8_median_solFORC', '1_lag_5_median_solFORC', '1_lag_12_median_solFORC', '1_lag_7_median_solFORC', '1_lag_10_median_solFORC', '1_lag_11_median_solFORC']","[3.2561161170817896, 0.40285303351148216, 17.7552205388609, 2.049625035560966, 20.3192478267157, 37.26949761755439]","1_lag_8_median_solFORC, 1_lag_5_median_solFORC, 1_lag_12_median_solFORC, 1_lag_7_median_solFORC, 1_lag_10_median_solFORC, 1_lag_11_median_solFORC_726_1"
LinearRegression,4,6,AMOCann,slow,870.5,2005.5,0.8,19,1,1,12.048469947617122,-0.11292062125427213,770,"['1_lag_8_median_solFORC', '1_lag_12_median_solFORC', '1_lag_10_median_solFORC', '1_lag_5_median_solFORC', '1_lag_7_median_solFORC', '1_lag_11_median_solFORC']","[3.3524815939313726, 17.84357317041488, 20.87883518188243, 0.4513783080490841, 1.9379267142634191, 37.75689698336766]","1_lag_8_median_solFORC, 1_lag_12_median_solFORC, 1_lag_10_median_solFORC, 1_lag_5_median_solFORC, 1_lag_7_median_solFORC, 1_lag_11_median_solFORC_770_1"
LinearRegression,5,6,AMOCann,slow,871.5,2005.5,0.8,20,1,1,12.03804704879456,-0.097805541713119,814,"['1_lag_13_median_solFORC', '1_lag_11_median_solFORC', '1_lag_10_median_solFORC', '1_lag_8_median_solFORC', '1_lag_6_median_solFORC', '1_lag_7_median_solFORC']","[1.2248120810714387, 5.298010478492554, 4.875955255537598, 3.858151950694764, 8.066545523221944, 12.723115240466683]","1_lag_13_median_solFORC, 1_lag_11_median_solFORC, 1_lag_10_median_solFORC, 1_lag_8_median_solFORC, 1_lag_6_median_solFORC, 1_lag_7_median_solFORC_814_1"
LinearRegression,6,6,AMOCann,slow,872.5,2005.5,0.8,21,1,1,12.04556692472631,-0.11905731859006069,858,"['1_lag_13_median_solFORC', '1_lag_17_median_solFORC', '1_lag_9_median_solFORC', '1_lag_5_median_solFORC', '1_lag_6_median_solFORC', '1_lag_7_median_solFORC']","[0.9478864954000076, 0.41445708886679156, 0.3548938739875833, 0.020969855989417974, 4.392477923116557, 4.592882488843784]","1_lag_13_median_solFORC, 1_lag_17_median_solFORC, 1_lag_9_median_solFORC, 1_lag_5_median_solFORC, 1_lag_6_median_solFORC, 1_lag_7_median_solFORC_858_1"
LinearRegression,7,6,AMOCann,slow,873.5,2005.5,0.8,22,2,2,12.039257315862523,-0.004929569288043403,858,"['2_lag_11_median_solFORC', '2_lag_19_median_solFORC', '2_lag_9_median_solFORC', '2_lag_17_median_solFORC', '2_lag_18_median_solFORC', '2_lag_10_median_solFORC']","[3.168056990794133, 8.825297261241403, 5.680430499324823, 9.165057703977848, 17.829765078461005, 8.699121808487638]","2_lag_11_median_solFORC, 2_lag_19_median_solFORC, 2_lag_9_median_solFORC, 2_lag_17_median_solFORC, 2_lag_18_median_solFORC, 2_lag_10_median_solFORC_858_2"
LinearRegression,8,6,AMOCann,slow,874.5,2005.5,0.8,23,3,3,12.100948340229056,-0.12186145586272917,858,"['10_lag_solFORC', '3_lag_12_median_solFORC', '3_lag_19_median_solFORC', '18_lag_solFORC', '3_lag_18_median_solFORC', '3_lag_6_median_solFORC']","[0.26879395587633187, 0.6761706515029164, 0.15838581356804582, 0.09264783317135868, 0.6284585904820092, 0.5545122385166493]","10_lag_solFORC, 3_lag_12_median_solFORC, 3_lag_19_median_solFORC, 18_lag_solFORC, 3_lag_18_median_solFORC, 3_lag_6_median_solFORC_858_3"
LinearRegression,9,6,AMOCann,slow,875.5,2005.5,0.8,24,4,4,12.192802643432715,-0.07156189609493972,858,"['20_lag_solFORC', '19_lag_solFORC', '4_lag_17_median_solFORC', '4_lag_19_median_solFORC', '4_lag_12_median_solFORC', '4_lag_20_median_solFORC']","[1.726785367396222, 2.3242720022232293, 3.039348713407782, 4.000413003339525, 0.30419189369616284, 0.03103277406737437]","20_lag_solFORC, 19_lag_solFORC, 4_lag_17_median_solFORC, 4_lag_19_median_solFORC, 4_lag_12_median_solFORC, 4_lag_20_median_solFORC_858_4"
LinearRegression,10,6,AMOCann,slow,876.5,2005.5,0.8,25,5,5,12.243217521452193,-0.08606971975919614,858,"['5_lag_15_median_solFORC', '5_lag_8_median_solFORC', '12_lag_solFORC', '5_lag_18_median_solFORC', '5_lag_14_median_solFORC', '5_lag_19_median_solFORC']","[11.01162368901477, 0.48258891992539343, 2.4637780974405445, 1.9821580512978787, 9.137826772967237, 1.8953375738986717]","5_lag_15_median_solFORC, 5_lag_8_median_solFORC, 12_lag_solFORC, 5_lag_18_median_solFORC, 5_lag_14_median_solFORC, 5_lag_19_median_solFORC_858_5"
LinearRegression,11,6,AMOCann,slow,877.5,2005.5,0.8,26,6,6,12.103843180829406,-0.0624622247074682,858,"['6_lag_22_median_solFORC', '6_lag_9_median_solFORC', '6_lag_15_median_solFORC', '6_lag_11_median_solFORC', '6_lag_16_median_solFORC', '6_lag_10_median_solFORC']","[0.8595878268529066, 7.056933714559107, 3.8173762679348733, 1.9676673661803168, 5.145901895552814, 9.518010100620714]","6_lag_22_median_solFORC, 6_lag_9_median_solFORC, 6_lag_15_median_solFORC, 6_lag_11_median_solFORC, 6_lag_16_median_solFORC, 6_lag_10_median_solFORC_858_6"
LinearRegression,12,6,AMOCann,slow,878.5,2005.5,0.8,27,7,7,12.319687190045107,-0.18370188320999972,858,"['7_lag_20_median_solFORC', '7_lag_16_median_solFORC', '7_lag_22_median_solFORC', '7_lag_24_median_solFORC', '7_lag_15_median_solFORC', '7_lag_23_median_solFORC']","[5.499006153265997, 6.5647951446787625, 17.884903907966006, 11.081785202177468, 4.9077759891254935, 25.08974539781632]","7_lag_20_median_solFORC, 7_lag_16_median_solFORC, 7_lag_22_median_solFORC, 7_lag_24_median_solFORC, 7_lag_15_median_solFORC, 7_lag_23_median_solFORC_858_7"
LinearRegression,13,6,AMOCann,slow,879.5,2005.5,0.8,28,8,8,12.084639749171522,-0.07988332486648868,858,"['8_lag_15_median_solFORC', '8_lag_16_median_solFORC', '8_lag_12_median_solFORC', '8_lag_19_median_solFORC', '8_lag_17_median_solFORC', '8_lag_18_median_solFORC']","[6.749686225382275, 13.20319610564577, 0.9494966944065482, 5.267605891600575, 3.7882881779719417, 8.901875807945439]","8_lag_15_median_solFORC, 8_lag_16_median_solFORC, 8_lag_12_median_solFORC, 8_lag_19_median_solFORC, 8_lag_17_median_solFORC, 8_lag_18_median_solFORC_858_8"
LinearRegression,14,6,AMOCann,slow,880.5,2005.5,0.8,29,9,9,12.142823607758759,-0.039373031910302565,858,"['9_lag_13_median_solFORC', '9_lag_15_median_solFORC', '9_lag_20_median_solFORC', '9_lag_25_median_solFORC', '9_lag_14_median_solFORC', '9_lag_19_median_solFORC']","[8.754407371322086, 11.4223539312123, 12.46876355541156, 1.2821000866438133, 18.022154251892694, 13.372737752853869]","9_lag_13_median_solFORC, 9_lag_15_median_solFORC, 9_lag_20_median_solFORC, 9_lag_25_median_solFORC, 9_lag_14_median_solFORC, 9_lag_19_median_solFORC_858_9"
LinearRegression,15,6,AMOCann,slow,881.5,2005.5,0.8,30,10,10,12.075244291822713,-0.06349282715256512,858,"['10_lag_25_median_solFORC', '10_lag_14_median_solFORC', '10_lag_26_median_solFORC', '10_lag_13_median_solFORC', '10_lag_15_median_solFORC', '10_lag_16_median_solFORC']","[1.2523540577225813, 12.368542996406491, 0.8377784843409217, 7.843551566254604, 1.1386173851150967, 3.7732717474920734]","10_lag_25_median_solFORC, 10_lag_14_median_solFORC, 10_lag_26_median_solFORC, 10_lag_13_median_solFORC, 10_lag_15_median_solFORC, 10_lag_16_median_solFORC_858_10"
LinearRegression,16,6,AMOCann,slow,882.5,2005.5,0.8,31,11,11,12.012534916370225,0.047084761803145,858,"['11_lag_15_median_solFORC', '11_lag_25_median_solFORC', '11_lag_22_median_solFORC', '11_lag_26_median_solFORC', '11_lag_27_median_solFORC', '11_lag_21_median_solFORC']","[0.41706917516969627, 2.5541869089781164, 6.975648196725123, 5.510394172203662, 5.1782497048452445, 4.53798019448169]","11_lag_15_median_solFORC, 11_lag_25_median_solFORC, 11_lag_22_median_solFORC, 11_lag_26_median_solFORC, 11_lag_27_median_solFORC, 11_lag_21_median_solFORC_858_11"
LinearRegression,17,6,AMOCann,slow,883.5,2005.5,0.8,32,12,12,12.115895998527336,-0.09432958769970082,858,"['12_lag_23_median_solFORC', '12_lag_26_median_solFORC', '12_lag_19_median_solFORC', '12_lag_16_median_solFORC', '12_lag_18_median_solFORC', '12_lag_22_median_solFORC']","[4.671879231720067, 0.45532741026304757, 3.2525055521183814, 0.9006626994839901, 2.4881581436365363, 5.918104994500092]","12_lag_23_median_solFORC, 12_lag_26_median_solFORC, 12_lag_19_median_solFORC, 12_lag_16_median_solFORC, 12_lag_18_median_solFORC, 12_lag_22_median_solFORC_858_12"
LinearRegression,18,6,AMOCann,slow,884.5,2005.5,0.8,33,13,13,12.13774348668365,-0.06612062499129041,858,"['13_lag_18_median_solFORC', '13_lag_25_median_solFORC', '13_lag_24_median_solFORC', '13_lag_17_median_solFORC', '13_lag_23_median_solFORC', '13_lag_19_median_solFORC']","[1.0373536336896443, 1.8894774557440526, 8.879937094900821, 0.4077231779465217, 8.902290203068166, 2.5071749257049407]","13_lag_18_median_solFORC, 13_lag_25_median_solFORC, 13_lag_24_median_solFORC, 13_lag_17_median_solFORC, 13_lag_23_median_solFORC, 13_lag_19_median_solFORC_858_13"
LinearRegression,19,6,AMOCann,slow,885.5,2005.5,0.8,34,14,14,12.067575289034924,-0.010316935633084091,858,"['14_lag_21_median_solFORC', '14_lag_26_median_solFORC', '14_lag_17_median_solFORC', '14_lag_22_median_solFORC', '14_lag_25_median_solFORC', '14_lag_24_median_solFORC']","[2.5300302709456344, 3.228190509343711, 1.0501646870987762, 4.1370180697896295, 12.369679910693963, 11.830104349593382]","14_lag_21_median_solFORC, 14_lag_26_median_solFORC, 14_lag_17_median_solFORC, 14_lag_22_median_solFORC, 14_lag_25_median_solFORC, 14_lag_24_median_solFORC_858_14"
LinearRegression,20,6,AMOCann,slow,886.5,2005.5,0.8,35,15,15,12.038807373919642,0.024543526518350636,858,"['15_lag_24_median_solFORC', '15_lag_31_median_solFORC', '15_lag_18_median_solFORC', '15_lag_26_median_solFORC', '15_lag_19_median_solFORC', '15_lag_25_median_solFORC']","[1.5754536630212497, 0.5868835090143715, 3.2370548738788436, 3.200046406500001, 3.207991906238673, 1.10464645101738]","15_lag_24_median_solFORC, 15_lag_31_median_solFORC, 15_lag_18_median_solFORC, 15_lag_26_median_solFORC, 15_lag_19_median_solFORC, 15_lag_25_median_solFORC_858_15"
LinearRegression,21,6,AMOCann,slow,887.5,2005.5,0.8,36,16,16,12.077189480237633,-0.05815530249271751,858,"['16_lag_32_median_solFORC', '16_lag_21_median_solFORC', '16_lag_23_median_solFORC', '16_lag_19_median_solFORC', '16_lag_20_median_solFORC', '16_lag_24_median_solFORC']","[0.41854522171442965, 5.829768155637584, 2.1690481648101323, 0.003637275368511217, 4.621967887963892, 3.7552490874760105]","16_lag_32_median_solFORC, 16_lag_21_median_solFORC, 16_lag_23_median_solFORC, 16_lag_19_median_solFORC, 16_lag_20_median_solFORC, 16_lag_24_median_solFORC_858_16"
LinearRegression,22,6,AMOCann,slow,888.5,2005.5,0.8,37,17,17,12.060887130551578,-0.03977894456373651,858,"['17_lag_28_median_solFORC', '17_lag_21_median_solFORC', '17_lag_22_median_solFORC', '17_lag_29_median_solFORC', '17_lag_24_median_solFORC', '17_lag_23_median_solFORC']","[5.746434303521308, 3.3948199275073505, 4.538492507661897, 4.403697640584138, 7.010377213470327, 16.33057606426003]","17_lag_28_median_solFORC, 17_lag_21_median_solFORC, 17_lag_22_median_solFORC, 17_lag_29_median_solFORC, 17_lag_24_median_solFORC, 17_lag_23_median_solFORC_858_17"
LinearRegression,23,6,AMOCann,slow,889.5,2005.5,0.8,38,18,18,12.155617443540304,-0.1984521654434253,858,"['18_lag_34_median_solFORC', '18_lag_27_median_solFORC', '18_lag_28_median_solFORC', '18_lag_24_median_solFORC', '18_lag_26_median_solFORC', '18_lag_25_median_solFORC']","[1.1932495156488174, 1.0016186055863994, 4.110379745993521, 1.989481629303863, 0.20384342108054096, 4.1799569303634785]","18_lag_34_median_solFORC, 18_lag_27_median_solFORC, 18_lag_28_median_solFORC, 18_lag_24_median_solFORC, 18_lag_26_median_solFORC, 18_lag_25_median_solFORC_858_18"
