model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,alpi,slow,1714.5,2005.5,0.6,15,5,5,26.286008683292238,-0.10493127079264528,1235,"['13_lag_traMC', '8_lag_ginwSSTjfm', '7_lag_tripol3', '14_lag_stratZ50ndj03', '12_lag_traFS', '12_lag_satlSSTjfm', '7_lag_stratZ50ndj03', '13_lag_tripol2', '14_lag_traEC', '5_lag_traFS', '13_lag_tripol1', '9_lag_wnorPRjfm', '11_lag_stratZ50ndj03', '10_lag_eapPSLjfm', '12_lag_yrvPRjja', '14_lag_ismPRjja', '12_lag_traFB', '5_lag_traBO', '12_lag_stratZ50ndj02', '13_lag_wnorPRjfm', '11_lag_ginwSSTjfm', '13_lag_ensoSSTjfm', '7_lag_ginwSSTjfm', '10_lag_neurTSjfm', '12_lag_ensoSSTjfm', '9_lag_stratZ50ndj02', '9_lag_tripol3', '8_lag_shSICmar', '5_lag_alpi', '11_lag_neurTSjfm']","[0.05740557385444873, 0.08786643999667651, 0.07741455079966086, 0.24749269255686981, 0.15201811816657215, 0.35855029599000016, 0.11565204962055461, 1.2266540936646466, 0.17973655997855037, 0.022468040852480813, 0.10008648549121453, 0.1548887150445316, 0.32658844974677814, 0.22842165219709587, 0.016779753485700957, 0.07764903961841306, 0.30144762316015655, 0.3327506157731946, 0.10554097524758288, 0.11088409041915968, 0.03952065692187868, 0.7621768577322094, 0.05980905035654588, 0.28592201941387607, 0.23842141139579753, 0.15800220063584736, 0.13392297329507444, 0.054187099756940554, 0.10996751119018996, 0.0578078766286325]","13_lag_traMC, 8_lag_ginwSSTjfm, 7_lag_tripol3, 14_lag_stratZ50ndj03, 12_lag_traFS, 12_lag_satlSSTjfm, 7_lag_stratZ50ndj03, 13_lag_tripol2, 14_lag_traEC, 5_lag_traFS, 13_lag_tripol1, 9_lag_wnorPRjfm, 11_lag_stratZ50ndj03, 10_lag_eapPSLjfm, 12_lag_yrvPRjja, 14_lag_ismPRjja, 12_lag_traFB, 5_lag_traBO, 12_lag_stratZ50ndj02, 13_lag_wnorPRjfm, 11_lag_ginwSSTjfm, 13_lag_ensoSSTjfm, 7_lag_ginwSSTjfm, 10_lag_neurTSjfm, 12_lag_ensoSSTjfm, 9_lag_stratZ50ndj02, 9_lag_tripol3, 8_lag_shSICmar, 5_lag_alpi, 11_lag_neurTSjfm_1235_5"
LinearRegression,1,30,alpi,slow,1715.5,2005.5,0.6,16,6,6,24.248304708886078,-0.11854939865291327,1235,"['6_lag_mhfATL30', '13_lag_tripol2', '8_lag_tripol3', '9_lag_mhfATL30', '15_lag_satlSSTjfm', '12_lag_satlSSTjfm', '12_lag_traTLS', '13_lag_tripol1', '13_lag_yrvPRjja', '9_lag_mhfIP30', '6_lag_ginwSSTjfm', '12_lag_traFB', '10_lag_stratZ50ndj02', '12_lag_traWP', '13_lag_traMC', '8_lag_shSICmar', '10_lag_ginwSSTjfm', '9_lag_wnorPRjfm', '9_lag_stratZ50ndj02', '6_lag_7_median_ginwSSTjfm', '7_lag_ginwSSTjfm', '14_lag_ismPRjja', '15_lag_traEU', '13_lag_wnorPRjfm', '12_lag_ensoSSTjfm', '13_lag_ensoSSTjfm', '9_lag_tripol3', '11_lag_ginwSSTjfm', '10_lag_neurTSjfm', '11_lag_neurTSjfm']","[0.3747415463742008, 1.240625579632583, 0.036786076256233466, 0.19593106277020322, 0.10927838328742528, 0.3067039867418569, 0.02010640135684326, 0.033338661920924884, 0.16255411702007924, 0.04021883159793224, 0.15932679190577473, 0.2606477848566452, 0.2175984901825749, 0.0015608724732549548, 0.14655059282694807, 0.10256737823897706, 0.028238112771251076, 0.09469680859242263, 0.04084852165621772, 10287004477228.89, 10287004477228.936, 0.14482151260931367, 0.17620047106367312, 0.19382077442310014, 0.23409736337489878, 0.673209087732739, 0.01274603355617384, 0.09703546219282244, 0.3245476923632138, 0.15220621371695936]","6_lag_mhfATL30, 13_lag_tripol2, 8_lag_tripol3, 9_lag_mhfATL30, 15_lag_satlSSTjfm, 12_lag_satlSSTjfm, 12_lag_traTLS, 13_lag_tripol1, 13_lag_yrvPRjja, 9_lag_mhfIP30, 6_lag_ginwSSTjfm, 12_lag_traFB, 10_lag_stratZ50ndj02, 12_lag_traWP, 13_lag_traMC, 8_lag_shSICmar, 10_lag_ginwSSTjfm, 9_lag_wnorPRjfm, 9_lag_stratZ50ndj02, 6_lag_7_median_ginwSSTjfm, 7_lag_ginwSSTjfm, 14_lag_ismPRjja, 15_lag_traEU, 13_lag_wnorPRjfm, 12_lag_ensoSSTjfm, 13_lag_ensoSSTjfm, 9_lag_tripol3, 11_lag_ginwSSTjfm, 10_lag_neurTSjfm, 11_lag_neurTSjfm_1235_6"
LinearRegression,2,30,alpi,slow,1716.5,2005.5,0.6,17,7,7,26.511152205740686,-0.2197478610676136,1235,"['12_lag_wnorPRjfm', '13_lag_tripol2', '12_lag_traWP', '11_lag_traWP', '9_lag_nchinaPRjja', '11_lag_stratZ50ndj03', '15_lag_scpPSLjfm', '9_lag_traEC', '13_lag_traMC', '9_lag_stratZ50ndj02', '16_lag_labSSTjfm', '11_lag_yrvPRjja', '12_lag_yrvPRjja', '12_lag_satlSSTjfm', '7_lag_mhfATL60', '12_lag_ensoSSTjfm', '16_lag_traEC', '9_lag_tripol3', '10_lag_stratZ50ndj02', '13_lag_ensoSSTjfm', '7_lag_ginwSSTjfm', '16_lag_stratZ50ndj03', '14_lag_ismPRjja', '16_lag_ismPRjja', '15_lag_traEU', '16_lag_shSICsep', '13_lag_wnorPRjfm', '11_lag_ginwSSTjfm', '11_lag_neurTSjfm', '10_lag_neurTSjfm']","[0.26365228348791725, 0.9365192417790422, 0.06771970339625626, 0.02331295035853056, 0.1312185253537485, 0.22694502810870762, 0.05955294700537802, 0.08419119589897194, 0.023478753917776318, 0.19291402938985777, 0.3562271976999615, 0.16607103989830901, 0.030162730713096282, 0.3288467281685039, 0.09528354221276969, 0.15142165397626758, 0.08868039597224928, 0.08092368111192424, 0.14192482479209365, 0.46512812597879283, 0.052360099455853654, 0.14341819085438523, 0.17760604659364854, 0.2277112545828738, 0.21871967541004206, 0.13925085858511155, 0.16921326678481496, 0.17159962120899303, 0.2292901815102279, 0.2869863954717301]","12_lag_wnorPRjfm, 13_lag_tripol2, 12_lag_traWP, 11_lag_traWP, 9_lag_nchinaPRjja, 11_lag_stratZ50ndj03, 15_lag_scpPSLjfm, 9_lag_traEC, 13_lag_traMC, 9_lag_stratZ50ndj02, 16_lag_labSSTjfm, 11_lag_yrvPRjja, 12_lag_yrvPRjja, 12_lag_satlSSTjfm, 7_lag_mhfATL60, 12_lag_ensoSSTjfm, 16_lag_traEC, 9_lag_tripol3, 10_lag_stratZ50ndj02, 13_lag_ensoSSTjfm, 7_lag_ginwSSTjfm, 16_lag_stratZ50ndj03, 14_lag_ismPRjja, 16_lag_ismPRjja, 15_lag_traEU, 16_lag_shSICsep, 13_lag_wnorPRjfm, 11_lag_ginwSSTjfm, 11_lag_neurTSjfm, 10_lag_neurTSjfm_1235_7"
LinearRegression,3,30,alpi,slow,1717.5,2005.5,0.6,18,8,8,31.05972355339164,-0.2263526449888979,1235,"['16_lag_stratZ50ndj03', '8_lag_cetTSjfm', '10_lag_stratZ50ndj04', '8_lag_shSICmar', '13_lag_atlSICjfm', '17_lag_naoPSLjfm', '12_lag_wnorPRjfm', '17_lag_stratZ50ndj04', '8_lag_ismPRjja', '13_lag_wnorPRjfm', '17_lag_seurTSjfm', '12_lag_yrvPRjja', '15_lag_traEU', '10_lag_nchinaPRjja', '16_lag_stratZ50ndj02', '13_lag_traTLS', '14_lag_alpi', '11_lag_traWP', '11_lag_traDP', '16_lag_traEC', '14_lag_ismPRjja', '15_lag_scpPSLjfm', '16_lag_ismPRjja', '17_lag_stratZ50ndj01', '8_lag_shSICsep', '16_lag_traIT', '11_lag_stratZ50ndj03', '11_lag_neurTSjfm', '11_lag_ginwSSTjfm', '10_lag_neurTSjfm']","[0.1053555530552045, 0.19499525895017128, 0.4155742178621057, 0.08621222410934663, 0.15578242690735553, 0.17618198624057924, 0.2855893404974196, 0.31863659488644114, 0.20766262436944458, 0.16617886871157295, 0.13261141635848733, 0.11253896174617876, 0.3369953058391986, 0.1371607155334519, 0.013124717307455175, 0.06398099122638402, 0.04556800148530624, 0.13715965366887142, 0.2881926916304974, 0.1443727373812327, 0.21115742560573234, 0.055227081709586234, 0.09355586958254405, 0.24483050877855256, 0.09301421813293369, 0.16215075476776317, 0.190829821261026, 0.14884252520566765, 0.2478414642282261, 0.1443629234336592]","16_lag_stratZ50ndj03, 8_lag_cetTSjfm, 10_lag_stratZ50ndj04, 8_lag_shSICmar, 13_lag_atlSICjfm, 17_lag_naoPSLjfm, 12_lag_wnorPRjfm, 17_lag_stratZ50ndj04, 8_lag_ismPRjja, 13_lag_wnorPRjfm, 17_lag_seurTSjfm, 12_lag_yrvPRjja, 15_lag_traEU, 10_lag_nchinaPRjja, 16_lag_stratZ50ndj02, 13_lag_traTLS, 14_lag_alpi, 11_lag_traWP, 11_lag_traDP, 16_lag_traEC, 14_lag_ismPRjja, 15_lag_scpPSLjfm, 16_lag_ismPRjja, 17_lag_stratZ50ndj01, 8_lag_shSICsep, 16_lag_traIT, 11_lag_stratZ50ndj03, 11_lag_neurTSjfm, 11_lag_ginwSSTjfm, 10_lag_neurTSjfm_1235_8"
LinearRegression,4,30,alpi,slow,1718.5,2005.5,0.6,19,9,9,26.475396167158436,-0.14168447699018333,1235,"['13_lag_tripol2', '11_lag_traDP', '11_lag_traFS', '13_lag_wnorPRjfm', '17_lag_amo2', '16_lag_shSICsep', '11_lag_yrvPRjja', '12_lag_wnorPRjfm', '17_lag_ismPRjja', '18_lag_yrvPRjja', '9_lag_tripol3', '16_lag_stratZ50ndj02', '14_lag_stratZ50ndj03', '13_lag_ensoSSTjfm', '10_lag_neurTSjfm', '9_lag_10_median_neurTSjfm', '9_lag_traTLS', '15_lag_stratZ50ndj03', '11_lag_neurTSjfm', '15_lag_traEU', '11_lag_ginwSSTjfm', '13_lag_traTLS', '18_lag_eapPSLjfm', '9_lag_traBS', '11_lag_stratZ50ndj03', '16_lag_ismPRjja', '18_lag_traWP', '15_lag_scpPSLjfm', '17_lag_stratZ50ndj01', '18_lag_ismPRjja']","[0.7603535610844893, 0.1764074098298194, 0.027460693277334185, 0.08870197011260515, 0.26376579064418004, 0.19049184784001974, 0.18273731722819778, 0.24005143860372682, 0.12759349873606324, 0.06382264522502036, 0.07738807902840465, 0.0049054110828781776, 0.17401054227551874, 0.31351509893368545, 10372673359987.295, 10372673359987.537, 0.048338470676434216, 0.0471712400442405, 0.10689886364659844, 0.2892574010002247, 0.16099651711560853, 0.06230311970227169, 0.23105558615813773, 0.00740172081420036, 0.27754389586075495, 0.2374644349011656, 0.3564283844910281, 0.020671447064650045, 0.2521435388878384, 0.11600984618607482]","13_lag_tripol2, 11_lag_traDP, 11_lag_traFS, 13_lag_wnorPRjfm, 17_lag_amo2, 16_lag_shSICsep, 11_lag_yrvPRjja, 12_lag_wnorPRjfm, 17_lag_ismPRjja, 18_lag_yrvPRjja, 9_lag_tripol3, 16_lag_stratZ50ndj02, 14_lag_stratZ50ndj03, 13_lag_ensoSSTjfm, 10_lag_neurTSjfm, 9_lag_10_median_neurTSjfm, 9_lag_traTLS, 15_lag_stratZ50ndj03, 11_lag_neurTSjfm, 15_lag_traEU, 11_lag_ginwSSTjfm, 13_lag_traTLS, 18_lag_eapPSLjfm, 9_lag_traBS, 11_lag_stratZ50ndj03, 16_lag_ismPRjja, 18_lag_traWP, 15_lag_scpPSLjfm, 17_lag_stratZ50ndj01, 18_lag_ismPRjja_1235_9"
LinearRegression,5,30,alpi,slow,1719.5,2005.5,0.6,20,10,10,25.888542558073365,-0.04846741630329755,1235,"['12_lag_yrvPRjja', '13_lag_nchinaPRjja', '19_lag_mhfIP30', '16_lag_shSICsep', '10_lag_atlSICsep', '16_lag_stratZ50ndj03', '18_lag_atlSICsep', '17_lag_samPSLann', '15_lag_eurPSLjfm', '10_lag_traIFC', '13_lag_ensoSSTjfm', '18_lag_yrvPRjja', '10_lag_nhSICjfm', '13_lag_traTLS', '18_lag_eapPSLjfm', '19_lag_traWP', '17_lag_nchinaPRjja', '15_lag_scpPSLjfm', '18_lag_stratZ50ndj01', '10_lag_alpi', '19_lag_traBS', '17_lag_stratZ50ndj01', '16_lag_ismPRjja', '13_lag_atlSICjfm', '19_lag_wnorPRjfm', '10_lag_neurTSjfm', '18_lag_traWP', '14_lag_stratZ50ndj03', '15_lag_traEU', '18_lag_ismPRjja']","[0.04574111805448167, 0.11707479681602892, 0.14774935457413949, 0.1665183817755788, 0.18346396388062094, 0.11176413592874121, 0.27161807278713473, 0.040757854948927225, 0.203644323222338, 0.2495744923366071, 0.21250424294796352, 0.09499916547333029, 0.13242485533410014, 0.14128948779690773, 0.299917311832507, 0.18347383058580974, 0.057475039487002305, 0.11438263638016982, 0.0284436575450678, 0.15134687383407203, 0.14744116473067176, 0.22104791161105877, 0.14950668682338247, 0.0638242245507991, 0.027721523958124435, 0.25284936934062874, 0.44782584410891313, 0.13974057641142587, 0.2638276383775707, 0.10552559799811703]","12_lag_yrvPRjja, 13_lag_nchinaPRjja, 19_lag_mhfIP30, 16_lag_shSICsep, 10_lag_atlSICsep, 16_lag_stratZ50ndj03, 18_lag_atlSICsep, 17_lag_samPSLann, 15_lag_eurPSLjfm, 10_lag_traIFC, 13_lag_ensoSSTjfm, 18_lag_yrvPRjja, 10_lag_nhSICjfm, 13_lag_traTLS, 18_lag_eapPSLjfm, 19_lag_traWP, 17_lag_nchinaPRjja, 15_lag_scpPSLjfm, 18_lag_stratZ50ndj01, 10_lag_alpi, 19_lag_traBS, 17_lag_stratZ50ndj01, 16_lag_ismPRjja, 13_lag_atlSICjfm, 19_lag_wnorPRjfm, 10_lag_neurTSjfm, 18_lag_traWP, 14_lag_stratZ50ndj03, 15_lag_traEU, 18_lag_ismPRjja_1235_10"
LinearRegression,6,30,alpi,slow,1720.5,2005.5,0.6,21,11,11,25.43545577174522,-0.011422329476693655,1235,"['13_lag_mhfATL45', '18_lag_eapPSLjfm', '11_lag_eurPSLjfm', '20_lag_satlSSTjfm', '11_lag_traDP', '13_lag_nchinaPRjja', '15_lag_stratZ50ndj03', '19_lag_traEC', '16_lag_samPSLann', '15_lag_shSICmar', '15_lag_stratZ50ndj04', '19_lag_traWP', '20_lag_traDP', '15_lag_eurPSLjfm', '18_lag_atlSICsep', '13_lag_atlSICjfm', '18_lag_stratZ50ndj01', '11_lag_mhfATL45', '20_lag_stratZ50ndj04', '19_lag_wnorPRjfm', '19_lag_mhfIP30', '20_lag_atlSICsep', '16_lag_ismPRjja', '11_lag_neurTSjfm', '15_lag_traEU', '18_lag_traWP', '18_lag_nchinaPRjja', '14_lag_stratZ50ndj03', '11_lag_stratZ50ndj03', '20_lag_traEU']","[0.09770778593304126, 0.2201038122997792, 0.08358469087181787, 0.3555849933321791, 0.2697839964961105, 0.19131600156639478, 0.10139182810608373, 0.031947380046082136, 0.07552874735108399, 0.11839779494465995, 0.32669262063735555, 0.06964808347498934, 0.4828133655111283, 0.2207626105445376, 0.2863375808651413, 0.17411923228650764, 0.03313032602979173, 0.11180284804248519, 0.28746103902342773, 0.04328025412806532, 0.17482867078761188, 0.14644766854685168, 0.22046432852332135, 0.09466740439642307, 0.3370997971814733, 0.4256415806509097, 0.09514710863068963, 0.2405983875468923, 0.28807827504777644, 0.1421495905844072]","13_lag_mhfATL45, 18_lag_eapPSLjfm, 11_lag_eurPSLjfm, 20_lag_satlSSTjfm, 11_lag_traDP, 13_lag_nchinaPRjja, 15_lag_stratZ50ndj03, 19_lag_traEC, 16_lag_samPSLann, 15_lag_shSICmar, 15_lag_stratZ50ndj04, 19_lag_traWP, 20_lag_traDP, 15_lag_eurPSLjfm, 18_lag_atlSICsep, 13_lag_atlSICjfm, 18_lag_stratZ50ndj01, 11_lag_mhfATL45, 20_lag_stratZ50ndj04, 19_lag_wnorPRjfm, 19_lag_mhfIP30, 20_lag_atlSICsep, 16_lag_ismPRjja, 11_lag_neurTSjfm, 15_lag_traEU, 18_lag_traWP, 18_lag_nchinaPRjja, 14_lag_stratZ50ndj03, 11_lag_stratZ50ndj03, 20_lag_traEU_1235_11"
LinearRegression,7,30,alpi,slow,1721.5,2005.5,0.6,22,12,12,27.21971447090131,-0.05962614918614224,1235,"['21_lag_seurTSjfm', '15_lag_stratZ50ndj04', '19_lag_traFB', '18_lag_stratZ50ndj01', '12_lag_ismPRjja', '17_lag_stratZ50ndj04', '12_lag_shSICmar', '16_lag_ismPRjja', '17_lag_gyreSSTjfm', '15_lag_stratZ50ndj03', '20_lag_stratZ50ndj04', '12_lag_seurTSjfm', '15_lag_shSICmar', '16_lag_stratZ50ndj02', '19_lag_traWP', '21_lag_ensoSSTjfm', '12_lag_traWP', '19_lag_wnorPRjfm', '21_lag_yrvPRjja', '19_lag_traIFC', '15_lag_traEU', '14_lag_stratZ50ndj03', '19_lag_traEC', '18_lag_nchinaPRjja', '20_lag_atlSICsep', '21_lag_traEU', '18_lag_traWP', '20_lag_traEU', '21_lag_nchinaPRjja', '21_lag_scpPSLjfm']","[0.3263016913163814, 0.19913112025915047, 0.08453774343793127, 0.07205378223262883, 0.18874744883982644, 0.32116181563153945, 0.15252385370094199, 0.0960373232372742, 0.5229554318168751, 0.12687270543884593, 0.4815712440515946, 0.14247357146395961, 0.14521874598793738, 0.12546536758416044, 0.1044474478461479, 0.29398084126588186, 0.1707501008984485, 0.05193635755034831, 0.2889425347967992, 0.04690672048249738, 0.26104684211641643, 0.20280984292513485, 0.15444495973589273, 0.06469504334385148, 0.26536753238753696, 0.06903300846810012, 0.24648608559243748, 0.12408730316171164, 0.14545782390719875, 0.2473434294064291]","21_lag_seurTSjfm, 15_lag_stratZ50ndj04, 19_lag_traFB, 18_lag_stratZ50ndj01, 12_lag_ismPRjja, 17_lag_stratZ50ndj04, 12_lag_shSICmar, 16_lag_ismPRjja, 17_lag_gyreSSTjfm, 15_lag_stratZ50ndj03, 20_lag_stratZ50ndj04, 12_lag_seurTSjfm, 15_lag_shSICmar, 16_lag_stratZ50ndj02, 19_lag_traWP, 21_lag_ensoSSTjfm, 12_lag_traWP, 19_lag_wnorPRjfm, 21_lag_yrvPRjja, 19_lag_traIFC, 15_lag_traEU, 14_lag_stratZ50ndj03, 19_lag_traEC, 18_lag_nchinaPRjja, 20_lag_atlSICsep, 21_lag_traEU, 18_lag_traWP, 20_lag_traEU, 21_lag_nchinaPRjja, 21_lag_scpPSLjfm_1235_12"
LinearRegression,8,30,alpi,slow,1722.5,2005.5,0.6,23,13,13,27.24262620962037,-0.02240553091419537,1235,"['18_lag_shSICsep', '22_lag_traCA', '13_lag_amo1', '19_lag_stratZ50ndj04', '15_lag_shSICmar', '18_lag_atlSICsep', '20_lag_traEC', '20_lag_stratZ50ndj04', '13_lag_atlSICjfm', '19_lag_ormenSSTjfm', '22_lag_traEU', '19_lag_traWP', '18_lag_traIT', '13_lag_seurTSjfm', '16_lag_stratZ50ndj02', '16_lag_ismPRjja', '20_lag_atlSICsep', '22_lag_mhfATL60', '21_lag_traEU', '19_lag_traIFC', '18_lag_stratZ50ndj01', '13_lag_ismPRjja', '19_lag_traEC', '21_lag_nchinaPRjja', '18_lag_nchinaPRjja', '13_lag_traMC', '18_lag_traWP', '20_lag_traEU', '15_lag_traEU', '21_lag_scpPSLjfm']","[0.013813855837791997, 0.056132957563063524, 0.4503274914953586, 0.3339052113707007, 0.13194003882916594, 0.2741744490260615, 0.16075317780571458, 0.4118210492896508, 0.0721876941817379, 0.1282726294288119, 0.12054473565333684, 0.13926613566886567, 0.2256282480810115, 0.06636609611594206, 0.05554975154016451, 0.09536611941220931, 0.2401497656517936, 0.23129064147776843, 0.1458495513178971, 0.08292018121810332, 0.03797544536496009, 0.247379823115826, 0.048844737189634835, 0.23886169512389221, 0.11457213069120287, 0.007160803027900762, 0.4364240869243766, 0.114216626506771, 0.3174882070805683, 0.08263775031494823]","18_lag_shSICsep, 22_lag_traCA, 13_lag_amo1, 19_lag_stratZ50ndj04, 15_lag_shSICmar, 18_lag_atlSICsep, 20_lag_traEC, 20_lag_stratZ50ndj04, 13_lag_atlSICjfm, 19_lag_ormenSSTjfm, 22_lag_traEU, 19_lag_traWP, 18_lag_traIT, 13_lag_seurTSjfm, 16_lag_stratZ50ndj02, 16_lag_ismPRjja, 20_lag_atlSICsep, 22_lag_mhfATL60, 21_lag_traEU, 19_lag_traIFC, 18_lag_stratZ50ndj01, 13_lag_ismPRjja, 19_lag_traEC, 21_lag_nchinaPRjja, 18_lag_nchinaPRjja, 13_lag_traMC, 18_lag_traWP, 20_lag_traEU, 15_lag_traEU, 21_lag_scpPSLjfm_1235_13"
LinearRegression,9,30,alpi,slow,1723.5,2005.5,0.6,24,14,14,27.25667232934779,-0.1663589161399163,1235,"['23_lag_traFSC', '18_lag_atlSICsep', '23_lag_traWP', '21_lag_yrvPRjja', '16_lag_ismPRjja', '14_lag_stratZ50ndj01', '22_lag_traBO', '21_lag_traMC', '19_lag_ormenSSTjfm', '18_lag_stratZ50ndj01', '18_lag_traIT', '16_lag_tripol1', '22_lag_scpPSLjfm', '23_lag_stratZ50ndj03', '19_lag_shSICsep', '19_lag_traWP', '21_lag_traEC', '20_lag_traMC', '18_lag_shSICmar', '23_lag_traEC', '21_lag_scpPSLjfm', '16_lag_stratZ50ndj02', '14_lag_stratZ50ndj03', '20_lag_traEU', '18_lag_nchinaPRjja', '15_lag_traEU', '14_lag_15_median_traEU', '20_lag_stratZ50ndj04', '18_lag_traWP', '23_lag_ismPRjja']","[0.15109084274748327, 0.3312189561820167, 0.10805771964098011, 0.23096322946544215, 0.14491583116287868, 0.01599932842362192, 0.21204610801115956, 0.023685250516348167, 0.0031933148538485813, 0.05465290188214226, 0.17723188405796797, 0.12770340366896318, 0.004260453174740303, 0.18503097661485615, 0.0818711343521958, 0.15335984177333686, 0.05004706069022526, 0.2377643594525654, 0.2949935950911678, 0.042825620470247905, 0.03311122820849373, 0.037036468518811226, 0.1485727052014936, 0.19729696073607061, 0.13245740931248803, 12799062671764.15, 12799062671764.541, 0.3673029702832023, 0.38317985552633854, 0.1270127342304398]","23_lag_traFSC, 18_lag_atlSICsep, 23_lag_traWP, 21_lag_yrvPRjja, 16_lag_ismPRjja, 14_lag_stratZ50ndj01, 22_lag_traBO, 21_lag_traMC, 19_lag_ormenSSTjfm, 18_lag_stratZ50ndj01, 18_lag_traIT, 16_lag_tripol1, 22_lag_scpPSLjfm, 23_lag_stratZ50ndj03, 19_lag_shSICsep, 19_lag_traWP, 21_lag_traEC, 20_lag_traMC, 18_lag_shSICmar, 23_lag_traEC, 21_lag_scpPSLjfm, 16_lag_stratZ50ndj02, 14_lag_stratZ50ndj03, 20_lag_traEU, 18_lag_nchinaPRjja, 15_lag_traEU, 14_lag_15_median_traEU, 20_lag_stratZ50ndj04, 18_lag_traWP, 23_lag_ismPRjja_1235_14"
