model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,amo1,slow,1714.5,2005.5,0.4,15,1,1,15.763187485061449,0.13237980798078627,1755,"['1_lag_11_median_traDP', '11_lag_neurTSjfm', '10_lag_AMOCann', '1_lag_4_median_arcTSjfm', '13_lag_ormenSSTjfm', '11_lag_labSSTjfm', '4_lag_yrvPRjja', '4_lag_atlSICjfm', '6_lag_mhfATL45', '8_lag_atlSICsep']","[1.0311478460497376, 3.4610096112862436, 7.418995245864581, 1.8147280726170578, 6.39383682816397, 0.3946158140542533, 1.7146232353812572, 8.172622272594001, 3.2994492108086497, 1.3204311129624209]","1_lag_11_median_traDP, 11_lag_neurTSjfm, 10_lag_AMOCann, 1_lag_4_median_arcTSjfm, 13_lag_ormenSSTjfm, 11_lag_labSSTjfm, 4_lag_yrvPRjja, 4_lag_atlSICjfm, 6_lag_mhfATL45, 8_lag_atlSICsep_1755_1"
LRforcedPSO,1,10,amo1,slow,1715.5,2005.5,0.4,16,1,1,20.643445881080655,-0.1785794106996031,1885,"['14_lag_traDP', '1_lag_7_median_tripol3', '1_lag_4_median_samPSLann', '7_lag_stratZ50ndj01', '1_lag_5_median_traIFC', '3_lag_shTSjfm', '4_lag_nppc2SSTjfm', '1_lag_8_median_labSSTjfm', '1_lag_solFORC', '14_lag_traEC']","[2.814419620131572, 3.353225421970844, 8.712849012765664, 0.6510731062444322, 3.7611023579426135, 3.2399489656197167, 0.5641824764080781, 1.012167363644231, 4.623127309117363, 0.47999969739717585]","14_lag_traDP, 1_lag_7_median_tripol3, 1_lag_4_median_samPSLann, 7_lag_stratZ50ndj01, 1_lag_5_median_traIFC, 3_lag_shTSjfm, 4_lag_nppc2SSTjfm, 1_lag_8_median_labSSTjfm, 1_lag_solFORC, 14_lag_traEC_1885_1"
LRforcedPSO,2,10,amo1,slow,1716.5,2005.5,0.4,17,1,1,15.356523461895899,0.4989545918856012,2015,"['10_lag_samPSLann', '8_lag_stratZ50ndj03', '14_lag_seurTSjfm', '1_lag_3_median_traDS', '9_lag_arcTSjfm', '1_lag_16_median_traFSC', '1_lag_16_median_nhSICsep', '1_lag_8_median_amoSSTmjjaso', '8_lag_traDP', '7_lag_amo1']","[1.6164874509657086, 7.3426241922109465, 0.3670287813285107, 1.4286624437022315, 3.439381540727531, 4.84304371050715, 2.405715393259811, 6.9799391824773345, 6.195219638302836, 0.8657955879989672]","10_lag_samPSLann, 8_lag_stratZ50ndj03, 14_lag_seurTSjfm, 1_lag_3_median_traDS, 9_lag_arcTSjfm, 1_lag_16_median_traFSC, 1_lag_16_median_nhSICsep, 1_lag_8_median_amoSSTmjjaso, 8_lag_traDP, 7_lag_amo1_2015_1"
LRforcedPSO,3,10,amo1,slow,1717.5,2005.5,0.4,18,1,1,18.50091054401755,0.11917564751060308,2145,"['1_lag_mhfATL30', '7_lag_naoPSLjfm', '1_lag_ismPRjja', '14_lag_mhfIP30', '10_lag_tripol3', '10_lag_amoSSTmjjaso', '1_lag_11_median_amoSSTmjjaso', '1_lag_13_median_eurPSLjfm', '14_lag_amoSSTmjjaso', '14_lag_traDS']","[2.4885117483974417, 2.408855993172736, 3.4371239855974185, 4.214691641132173, 3.095915703414125, 8.157293364424397, 7.858950207135898, 1.2452423438375266, 4.5745231202908805, 7.822453190255686]","1_lag_mhfATL30, 7_lag_naoPSLjfm, 1_lag_ismPRjja, 14_lag_mhfIP30, 10_lag_tripol3, 10_lag_amoSSTmjjaso, 1_lag_11_median_amoSSTmjjaso, 1_lag_13_median_eurPSLjfm, 14_lag_amoSSTmjjaso, 14_lag_traDS_2145_1"
LRforcedPSO,4,10,amo1,slow,1718.5,2005.5,0.4,19,1,1,33.06927368312534,-0.6817029234532505,2275,"['1_lag_12_median_ginwSSTjfm', '9_lag_atlSICjfm', '1_lag_8_median_traFB', '7_lag_shSICmar', '1_lag_18_median_tripol1', '1_lag_12_median_nppc2SSTjfm', '1_lag_16_median_shTSjfm', '1_lag_10_median_glTSjfm', '1_lag_14_median_nhTSjfm', '1_lag_15_median_traDP']","[7.530182650437386, 0.9821832014630498, 5.096844141747601, 0.7154972136641469, 0.7865705739608337, 2.303985955590213, 1.3532529366750783, 1.1969424439504905, 5.717281907679881, 1.5328909360972816]","1_lag_12_median_ginwSSTjfm, 9_lag_atlSICjfm, 1_lag_8_median_traFB, 7_lag_shSICmar, 1_lag_18_median_tripol1, 1_lag_12_median_nppc2SSTjfm, 1_lag_16_median_shTSjfm, 1_lag_10_median_glTSjfm, 1_lag_14_median_nhTSjfm, 1_lag_15_median_traDP_2275_1"
LRforcedPSO,5,10,amo1,slow,1719.5,2005.5,0.4,20,1,1,30.059708434806605,-0.43244775622391046,2405,"['17_lag_ensoSSTjfm', '1_lag_4_median_cetTSjfm', '7_lag_traFSC', '2_lag_amo1', '1_lag_10_median_mhfATL45', '1_lag_19_median_amo3', '1_lag_6_median_atlSICsep', '1_lag_9_median_amoSSTmjjaso', '1_lag_10_median_stratZ50ndj01', '12_lag_satlSSTjfm']","[6.407585404029181, 7.10076142880548, 3.1955249464451168, 4.059897201717105, 3.5595500095096284, 5.64277704310846, 3.7166432426401954, 0.6278658828085888, 4.114957211092303, 1.009458853418625]","17_lag_ensoSSTjfm, 1_lag_4_median_cetTSjfm, 7_lag_traFSC, 2_lag_amo1, 1_lag_10_median_mhfATL45, 1_lag_19_median_amo3, 1_lag_6_median_atlSICsep, 1_lag_9_median_amoSSTmjjaso, 1_lag_10_median_stratZ50ndj01, 12_lag_satlSSTjfm_2405_1"
LRforcedPSO,6,10,amo1,slow,1720.5,2005.5,0.4,21,1,1,23.17471455650633,-0.10703608765665946,2535,"['1_lag_14_median_gyreSSTjfm', '1_lag_traDS', '16_lag_eapPSLjfm', '1_lag_18_median_traWP', '1_lag_13_median_shSICmar', '1_lag_14_median_seurTSjfm', '1_lag_16_median_cetTSjfm', '1_lag_17_median_stratZ50ndj01', '1_lag_18_median_eurPSLjfm', '17_lag_traBO']","[5.311641553439137, 3.274709105733118, 7.130943767901625, 5.199663639494336, 4.2697183531193375, 2.2155729989546575, 0.008480046865138036, 7.993893674423973, 0.8901994102599105, 2.387554231020978]","1_lag_14_median_gyreSSTjfm, 1_lag_traDS, 16_lag_eapPSLjfm, 1_lag_18_median_traWP, 1_lag_13_median_shSICmar, 1_lag_14_median_seurTSjfm, 1_lag_16_median_cetTSjfm, 1_lag_17_median_stratZ50ndj01, 1_lag_18_median_eurPSLjfm, 17_lag_traBO_2535_1"
LRforcedPSO,7,10,amo1,slow,1721.5,2005.5,0.4,22,1,1,40.93749907328015,-0.5592718094945714,2665,"['7_lag_stratZ50ndj02', '9_lag_traBS', '1_lag_14_median_scpPSLjfm', '1_lag_9_median_amo3', '12_lag_alpi', '1_lag_10_median_traDP', '3_lag_stratZ50ndj04', '17_lag_traEU', '8_lag_naoPSLjfm', '1_lag_traCA']","[9.092144093062604, 2.3892651121680686, 1.583963839572247, 5.992795788984262, 3.8049092913757665, 7.368668483802939, 3.395201361568267, 2.4529827450575965, 2.1641058979157872, 4.713604272904401]","7_lag_stratZ50ndj02, 9_lag_traBS, 1_lag_14_median_scpPSLjfm, 1_lag_9_median_amo3, 12_lag_alpi, 1_lag_10_median_traDP, 3_lag_stratZ50ndj04, 17_lag_traEU, 8_lag_naoPSLjfm, 1_lag_traCA_2665_1"
LRforcedPSO,8,10,amo1,slow,1722.5,2005.5,0.4,23,1,1,13.603774645289523,0.4603943896194426,2795,"['1_lag_11_median_samPSLann', '1_lag_6_median_traIFC', '1_lag_17_median_labSSTjfm', '13_lag_traMC', '1_lag_15_median_amo1', '1_lag_13_median_solFORC', '1_lag_4_median_shTSjfm', '8_lag_mhfATL30', '1_lag_9_median_traBS', '12_lag_stratZ50ndj03']","[7.424262019123457, 2.428965015376514, 0.7129924869191484, 1.2035801989507604, 1.5426587662930462, 6.109819473260556, 6.554447925833568, 0.11775802148940784, 0.9108328932377852, 5.01118347223346]","1_lag_11_median_samPSLann, 1_lag_6_median_traIFC, 1_lag_17_median_labSSTjfm, 13_lag_traMC, 1_lag_15_median_amo1, 1_lag_13_median_solFORC, 1_lag_4_median_shTSjfm, 8_lag_mhfATL30, 1_lag_9_median_traBS, 12_lag_stratZ50ndj03_2795_1"
LRforcedPSO,9,10,amo1,slow,1723.5,2005.5,0.4,24,1,1,29.566390129300753,-0.48533006299899073,2925,"['1_lag_23_median_traCA', '1_lag_6_median_yrvPRjja', '22_lag_naoPSLjfm', '1_lag_4_median_arcTSjfm', '1_lag_11_median_traMC', '1_lag_17_median_cetTSjfm', '1_lag_8_median_tripol3', '1_lag_11_median_traTLS', '2_lag_stratZ50ndj02', '1_lag_21_median_amo1']","[0.8020279590372841, 4.889257217866723, 0.040875692415569986, 3.0677402574253243, 4.0537886133277485, 2.837469647068499, 0.8271851507683508, 1.6968272950828833, 1.7707906137371232, 4.141912307528271]","1_lag_23_median_traCA, 1_lag_6_median_yrvPRjja, 22_lag_naoPSLjfm, 1_lag_4_median_arcTSjfm, 1_lag_11_median_traMC, 1_lag_17_median_cetTSjfm, 1_lag_8_median_tripol3, 1_lag_11_median_traTLS, 2_lag_stratZ50ndj02, 1_lag_21_median_amo1_2925_1"
LRforcedPSO,10,10,amo1,slow,1724.5,2005.5,0.4,25,1,1,35.201783427192055,-0.562837611311094,3055,"['1_lag_6_median_gyreSSTjfm', '2_lag_traDS', '1_lag_11_median_satlSSTjfm', '6_lag_traMC', '1_lag_12_median_wnorPRjfm', '1_lag_18_median_tripol1', '1_lag_2_median_stratZ50ndj03', '3_lag_amo1', '1_lag_17_median_stratZ50ndj04', '1_lag_23_median_naoPSLjfm']","[3.677002939098985, 1.0576815429715225, 5.7745327997686875, 6.971374352397863, 5.129024401226163, 3.85680046181853, 6.268218293121528, 3.427694620333341, 1.314960185393062, 4.0692291644436]","1_lag_6_median_gyreSSTjfm, 2_lag_traDS, 1_lag_11_median_satlSSTjfm, 6_lag_traMC, 1_lag_12_median_wnorPRjfm, 1_lag_18_median_tripol1, 1_lag_2_median_stratZ50ndj03, 3_lag_amo1, 1_lag_17_median_stratZ50ndj04, 1_lag_23_median_naoPSLjfm_3055_1"
LRforcedPSO,11,10,amo1,slow,1725.5,2005.5,0.4,26,1,1,16.79569262505481,0.06709924624495357,3185,"['18_lag_stratZ50ndj03', '1_lag_12_median_traEC', '13_lag_amo2', '1_lag_8_median_ginwSSTjfm', '17_lag_mhfIP30', '10_lag_naoPSLjfm', '13_lag_traBS', '1_lag_17_median_traIT', '10_lag_glTSjfm', '1_lag_18_median_mhfATL60']","[3.564209949375188, 4.374622869831266, 5.204653423824926, 3.0483515442052163, 6.865138587838281, 3.8167536556439767, 5.704597369660158, 0.41555263002539533, 1.5426271982624957, 0.6205179116585331]","18_lag_stratZ50ndj03, 1_lag_12_median_traEC, 13_lag_amo2, 1_lag_8_median_ginwSSTjfm, 17_lag_mhfIP30, 10_lag_naoPSLjfm, 13_lag_traBS, 1_lag_17_median_traIT, 10_lag_glTSjfm, 1_lag_18_median_mhfATL60_3185_1"
LRforcedPSO,12,10,amo1,slow,1726.5,2005.5,0.4,27,1,1,18.653237954528425,0.10141895498378761,3315,"['1_lag_19_median_ormenSSTjfm', '10_lag_traEC', '1_lag_2_median_eurPSLjfm', '25_lag_naoPSLjfm', '9_lag_amo3', '1_lag_2_median_atlSICjfm', '1_lag_4_median_amo2', '14_lag_traIT', '25_lag_eapPSLjfm', '1_lag_5_median_ormenSSTjfm']","[2.8328624161433114, 3.555050254360264, 6.220637084666882, 0.6629707197569132, 4.723957201842339, 3.689575738093641, 4.150976308546381, 1.2881698193595437, 2.2263529651641605, 0.7246257518642896]","1_lag_19_median_ormenSSTjfm, 10_lag_traEC, 1_lag_2_median_eurPSLjfm, 25_lag_naoPSLjfm, 9_lag_amo3, 1_lag_2_median_atlSICjfm, 1_lag_4_median_amo2, 14_lag_traIT, 25_lag_eapPSLjfm, 1_lag_5_median_ormenSSTjfm_3315_1"
LRforcedPSO,13,10,amo1,slow,1727.5,2005.5,0.4,28,1,1,17.588258456303645,0.5928508425078687,3445,"['7_lag_traIT', '1_lag_22_median_pdoSSTjfm', '1_lag_traMC', '1_lag_amoSSTmjjaso', '26_lag_labSSTjfm', '10_lag_tripol1', '24_lag_solFORC', '26_lag_traIT', '1_lag_17_median_nhSICsep', '1_lag_12_median_shSICsep']","[2.4011049932620843, 7.419911487987825, 1.6789827763613054, 8.14613709509408, 2.779049619427605, 5.232937284289713, 4.33927918975858, 2.7667008410690315, 3.396955921402835, 6.488055587555244]","7_lag_traIT, 1_lag_22_median_pdoSSTjfm, 1_lag_traMC, 1_lag_amoSSTmjjaso, 26_lag_labSSTjfm, 10_lag_tripol1, 24_lag_solFORC, 26_lag_traIT, 1_lag_17_median_nhSICsep, 1_lag_12_median_shSICsep_3445_1"
LRforcedPSO,14,10,amo1,slow,1728.5,2005.5,0.4,29,1,1,13.98216393990886,0.32595941823006436,3575,"['12_lag_amo3', '1_lag_27_median_traCA', '1_lag_28_median_samPSLann', '1_lag_5_median_solFORC', '28_lag_traDP', '1_lag_21_median_alpi', '26_lag_traEC', '22_lag_solFORC', '1_lag_15_median_traIT', '23_lag_traTLS']","[0.3634177170032302, 0.8788391291622908, 8.418365760827726, 2.6982330439082762, 2.474166562564818, 1.2260059290295366, 1.7166053303482176, 1.4637757718721645, 3.2157145897474706, 5.713937584070274]","12_lag_amo3, 1_lag_27_median_traCA, 1_lag_28_median_samPSLann, 1_lag_5_median_solFORC, 28_lag_traDP, 1_lag_21_median_alpi, 26_lag_traEC, 22_lag_solFORC, 1_lag_15_median_traIT, 23_lag_traTLS_3575_1"
LRforcedPSO,15,10,amo1,slow,1729.5,2005.5,0.4,30,1,1,17.18149602199285,0.09946241904282654,3705,"['24_lag_ginwSSTjfm', '1_lag_2_median_pdoSSTjfm', '1_lag_9_median_pdoSSTjfm', '1_lag_9_median_tripol1', '23_lag_pdoSSTjfm', '11_lag_stratZ50ndj01', '1_lag_13_median_eapPSLjfm', '7_lag_seurTSjfm', '2_lag_ormenSSTjfm', '20_lag_ginwSSTjfm']","[1.773156129754332, 0.0755545786475551, 6.736984175635893, 0.15836273150498137, 1.9757643485601388, 0.1377181239045182, 6.239856481210534, 1.3356989854715096, 0.11677525795846577, 3.4678961703320184]","24_lag_ginwSSTjfm, 1_lag_2_median_pdoSSTjfm, 1_lag_9_median_pdoSSTjfm, 1_lag_9_median_tripol1, 23_lag_pdoSSTjfm, 11_lag_stratZ50ndj01, 1_lag_13_median_eapPSLjfm, 7_lag_seurTSjfm, 2_lag_ormenSSTjfm, 20_lag_ginwSSTjfm_3705_1"
LRforcedPSO,16,10,amo1,slow,1730.5,2005.5,0.4,31,1,1,11.63364885616085,0.5103481934084769,3835,"['19_lag_amo2', '1_lag_7_median_arcTSjfm', '22_lag_traBO', '14_lag_eurPSLjfm', '7_lag_traIT', '1_lag_6_median_traMC', '1_lag_30_median_amo3', '1_lag_2_median_neurTSjfm', '16_lag_traFS', '1_lag_3_median_naoPSLjfm']","[0.6246203851215988, 3.4132811311790174, 0.35099904768966006, 0.4697394977212088, 5.032336149688601, 1.4033822955150512, 0.3609213475534858, 4.157529867413331, 3.1123052521787393, 1.7006991563064275]","19_lag_amo2, 1_lag_7_median_arcTSjfm, 22_lag_traBO, 14_lag_eurPSLjfm, 7_lag_traIT, 1_lag_6_median_traMC, 1_lag_30_median_amo3, 1_lag_2_median_neurTSjfm, 16_lag_traFS, 1_lag_3_median_naoPSLjfm_3835_1"
LRforcedPSO,17,10,amo1,slow,1731.5,2005.5,0.4,32,2,2,31.878622669604937,-0.4328281296492825,3835,"['21_lag_nhTSjfm', '2_lag_31_median_traBO', '2_lag_22_median_mhfATL60', '7_lag_shSICsep', '20_lag_traWP', '2_lag_18_median_traIT', '10_lag_shSICmar', '2_lag_23_median_AMOCann', '22_lag_nhSICsep', '14_lag_arcTSjfm']","[1.7794332830899826, 7.458900703720401, 4.004982991814332, 6.892653131651084, 3.146157677307169, 2.646524404232073, 0.7804009850474181, 6.562331983594852, 6.7288351509246205, 6.031034653560699]","21_lag_nhTSjfm, 2_lag_31_median_traBO, 2_lag_22_median_mhfATL60, 7_lag_shSICsep, 20_lag_traWP, 2_lag_18_median_traIT, 10_lag_shSICmar, 2_lag_23_median_AMOCann, 22_lag_nhSICsep, 14_lag_arcTSjfm_3835_2"
LRforcedPSO,18,10,amo1,slow,1732.5,2005.5,0.4,33,3,3,14.471278718760688,0.44176378475093114,3835,"['28_lag_stratZ50ndj01', '3_lag_nppc3SSTjfm', '3_lag_8_median_eurPSLjfm', '8_lag_tripol3', '3_lag_13_median_wnorPRjfm', '3_lag_16_median_nchinaPRjja', '17_lag_traBO', '3_lag_4_median_alpi', '3_lag_31_median_cetTSjfm', '3_lag_21_median_amo1']","[6.822943801837521, 3.395703185003578, 3.371931075631414, 7.755801679701882, 0.5924746190266674, 1.2755994114498108, 2.8416294106844164, 1.3818200042847941, 1.620425535780047, 0.7035831184314674]","28_lag_stratZ50ndj01, 3_lag_nppc3SSTjfm, 3_lag_8_median_eurPSLjfm, 8_lag_tripol3, 3_lag_13_median_wnorPRjfm, 3_lag_16_median_nchinaPRjja, 17_lag_traBO, 3_lag_4_median_alpi, 3_lag_31_median_cetTSjfm, 3_lag_21_median_amo1_3835_3"
LRforcedPSO,19,10,amo1,slow,1733.5,2005.5,0.4,34,4,4,31.92259094000616,-0.4687081620110882,3835,"['4_lag_18_median_amo3', '27_lag_nhSICsep', '26_lag_pdoSSTjfm', '33_lag_yrvPRjja', '13_lag_gyreSSTjfm', '4_lag_33_median_ormenSSTjfm', '4_lag_19_median_amo3', '22_lag_tripol3', '14_lag_glTSjfm', '4_lag_19_median_yrvPRjja']","[1.0809809502779721, 9.394094017008367, 1.6990836801730662, 2.0702260779395196, 4.654775353632466, 1.6014761570314775, 3.6547599543135956, 3.17096034838767, 5.1613756459263875, 2.8154447453747844]","4_lag_18_median_amo3, 27_lag_nhSICsep, 26_lag_pdoSSTjfm, 33_lag_yrvPRjja, 13_lag_gyreSSTjfm, 4_lag_33_median_ormenSSTjfm, 4_lag_19_median_amo3, 22_lag_tripol3, 14_lag_glTSjfm, 4_lag_19_median_yrvPRjja_3835_4"
LRforcedPSO,20,10,amo1,slow,1734.5,2005.5,0.4,35,5,5,21.646106859605602,-0.3852786870022388,3835,"['5_lag_33_median_scpPSLjfm', '5_lag_20_median_nppc2SSTjfm', '33_lag_traIT', '5_lag_14_median_nhSICsep', '5_lag_20_median_traFS', '17_lag_stratZ50ndj01', '9_lag_nhSICsep', '5_lag_19_median_solFORC', '5_lag_24_median_gyreSSTjfm', '5_lag_23_median_traFS']","[4.6034089774270015, 3.1526303301356373, 2.3603147135812286, 2.512808891706544, 1.9757161159569492, 3.8649050191039036, 4.273078256294404, 1.7753101666078823, 7.109501004844407, 8.61504615999188]","5_lag_33_median_scpPSLjfm, 5_lag_20_median_nppc2SSTjfm, 33_lag_traIT, 5_lag_14_median_nhSICsep, 5_lag_20_median_traFS, 17_lag_stratZ50ndj01, 9_lag_nhSICsep, 5_lag_19_median_solFORC, 5_lag_24_median_gyreSSTjfm, 5_lag_23_median_traFS_3835_5"
LRforcedPSO,21,10,amo1,slow,1735.5,2005.5,0.4,36,6,6,16.143695902897793,0.10625448659382311,3835,"['6_lag_31_median_ensoSSTjfm', '6_lag_35_median_ensoSSTjfm', '19_lag_traIT', '6_lag_21_median_nhSICsep', '6_lag_13_median_ginwSSTjfm', '6_lag_25_median_amo1', '12_lag_tripol1', '29_lag_traCA', '6_lag_34_median_traBO', '27_lag_seurTSjfm']","[7.795318150127946, 2.5704608376622406, 2.6995107742314968, 0.6948092246821567, 1.6235907685673787, 3.1292748250270783, 1.1338674180504995, 0.8373118509986135, 2.7383341676316437, 5.245534519739978]","6_lag_31_median_ensoSSTjfm, 6_lag_35_median_ensoSSTjfm, 19_lag_traIT, 6_lag_21_median_nhSICsep, 6_lag_13_median_ginwSSTjfm, 6_lag_25_median_amo1, 12_lag_tripol1, 29_lag_traCA, 6_lag_34_median_traBO, 27_lag_seurTSjfm_3835_6"
LRforcedPSO,22,10,amo1,slow,1736.5,2005.5,0.4,37,7,7,19.72254665251089,-0.3364335420139586,3835,"['7_lag_16_median_traMC', '7_lag_21_median_scpPSLjfm', '7_lag_23_median_AMOCann', '33_lag_solFORC', '31_lag_nchinaPRjja', '7_lag_33_median_amo3', '12_lag_nhSICjfm', '7_lag_26_median_neurTSjfm', '8_lag_traBS', '7_lag_32_median_amo1']","[0.730118608330315, 5.463353305697767, 3.9544391304002113, 2.681988165641794, 5.442301715278772, 3.567245194023773, 0.21544935415596456, 5.743913354455291, 1.7363464480849373, 3.24932816233396]","7_lag_16_median_traMC, 7_lag_21_median_scpPSLjfm, 7_lag_23_median_AMOCann, 33_lag_solFORC, 31_lag_nchinaPRjja, 7_lag_33_median_amo3, 12_lag_nhSICjfm, 7_lag_26_median_neurTSjfm, 8_lag_traBS, 7_lag_32_median_amo1_3835_7"
LRforcedPSO,23,10,amo1,slow,1737.5,2005.5,0.4,38,8,8,41.80971695288098,-0.5715636420532199,3835,"['8_lag_24_median_seurTSjfm', '9_lag_tripol1', '8_lag_18_median_atlSICjfm', '8_lag_34_median_ensoSSTjfm', '8_lag_9_median_nhSICsep', '8_lag_16_median_amo1', '8_lag_33_median_nhSICsep', '8_lag_16_median_ismPRjja', '11_lag_stratZ50ndj01', '8_lag_25_median_nppc3SSTjfm']","[2.1775369216225826, 2.7288652909698374, 3.4353811087988912, 9.039408362971969, 1.4147498869246622, 8.429819731375208, 1.0758543078924028, 4.105092954058341, 3.8673863028501927, 4.432757385256576]","8_lag_24_median_seurTSjfm, 9_lag_tripol1, 8_lag_18_median_atlSICjfm, 8_lag_34_median_ensoSSTjfm, 8_lag_9_median_nhSICsep, 8_lag_16_median_amo1, 8_lag_33_median_nhSICsep, 8_lag_16_median_ismPRjja, 11_lag_stratZ50ndj01, 8_lag_25_median_nppc3SSTjfm_3835_8"
LRforcedPSO,24,10,amo1,slow,1738.5,2005.5,0.4,39,9,9,18.078530843625195,0.06999101578211785,3835,"['10_lag_nppc3SSTjfm', '24_lag_eurPSLjfm', '9_lag_traIFC', '36_lag_samPSLann', '9_lag_29_median_yrvPRjja', '9_lag_29_median_alpi', '32_lag_nhSICsep', '15_lag_stratZ50ndj02', '30_lag_shSICmar', '9_lag_18_median_mhfIP30']","[5.295748842314643, 6.127461787068902, 2.752940959119263, 3.591500815597561, 0.16475347315641287, 0.3402734494292936, 2.644016562281264, 1.9520526755723786, 4.51219647061248, 4.802192468888748]","10_lag_nppc3SSTjfm, 24_lag_eurPSLjfm, 9_lag_traIFC, 36_lag_samPSLann, 9_lag_29_median_yrvPRjja, 9_lag_29_median_alpi, 32_lag_nhSICsep, 15_lag_stratZ50ndj02, 30_lag_shSICmar, 9_lag_18_median_mhfIP30_3835_9"
LRforcedPSO,25,10,amo1,slow,1739.5,2005.5,0.4,40,10,10,13.668952187229445,0.3085665650948181,3835,"['14_lag_shSICmar', '10_lag_24_median_solFORC', '29_lag_mhfATL30', '33_lag_traIFC', '10_lag_23_median_traTLS', '38_lag_nppc3SSTjfm', '10_lag_37_median_mhfATL30', '19_lag_tripol3', '10_lag_samPSLann', '10_lag_19_median_tripol2']","[5.976743225593408, 1.2302916904556493, 0.6027764701865657, 2.2912771670631784, 7.389002763094027, 0.8988226938395307, 2.0917767640773803, 2.0363387100938297, 6.487270336945636, 4.324373770579747]","14_lag_shSICmar, 10_lag_24_median_solFORC, 29_lag_mhfATL30, 33_lag_traIFC, 10_lag_23_median_traTLS, 38_lag_nppc3SSTjfm, 10_lag_37_median_mhfATL30, 19_lag_tripol3, 10_lag_samPSLann, 10_lag_19_median_tripol2_3835_10"
