model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,waveletfilter,selected_feature_list,feature_importances,selected_features
LRforcedPSO_75percent,0,6,amo2,slow,866.5,2005.5,0.6,15,1,1,7.9286417561948,0.7041489085682647,1755,False,"['1_lag_11_median_tripol3', '1_lag_2_median_mhfIP30', '3_lag_amoSSTmjjaso', '6_lag_nhSICsep', '1_lag_neurTSjfm', '2_lag_traTLS']","[0.7941446707544614, 0.3624650358675924, 1.4498601208475506, 0.3624652107313833, 0.7866199224690061, 0.36374842452196915]","1_lag_11_median_tripol3, 1_lag_2_median_mhfIP30, 3_lag_amoSSTmjjaso, 6_lag_nhSICsep, 1_lag_neurTSjfm, 2_lag_traTLS_1755_1"
LRforcedPSO_75percent,1,6,amo2,slow,867.5,2005.5,0.6,16,1,1,9.069003243326442,0.4404467770857099,1885,False,"['13_lag_seurTSjfm', '10_lag_eurPSLjfm', '1_lag_2_median_scpPSLjfm', '1_lag_8_median_mhfATL60', '1_lag_3_median_mhfATL30', '1_lag_4_median_nppc3SSTjfm']","[0.26800586284010386, 0.26802549741300147, 0.2681334231624276, 1.0719747712006267, 0.873516952879681, 1.0719730467054716]","13_lag_seurTSjfm, 10_lag_eurPSLjfm, 1_lag_2_median_scpPSLjfm, 1_lag_8_median_mhfATL60, 1_lag_3_median_mhfATL30, 1_lag_4_median_nppc3SSTjfm_1885_1"
LRforcedPSO_75percent,2,6,amo2,slow,868.5,2005.5,0.6,17,1,1,9.035656364852429,0.5640785691116457,2015,False,"['4_lag_nhSICjfm', '6_lag_traDP', '10_lag_amoSSTmjjaso', '2_lag_traFS', '15_lag_tripol1', '1_lag_11_median_shSICsep']","[0.9664652322218749, 0.36693197822065443, 0.24161630805556256, 0.3722165290582515, 0.35347247829334116, 0.24161630805581502]","4_lag_nhSICjfm, 6_lag_traDP, 10_lag_amoSSTmjjaso, 2_lag_traFS, 15_lag_tripol1, 1_lag_11_median_shSICsep_2015_1"
LRforcedPSO_75percent,3,6,amo2,slow,869.5,2005.5,0.6,18,1,1,7.887863241336417,0.7154748415312987,2145,False,"['3_lag_glomaSSTjfm', '1_lag_10_median_nhSICjfm', '1_lag_13_median_nhTSjfm', '10_lag_mhfIP30', '1_lag_7_median_atlSICsep', '14_lag_tripol1']","[1.002189170239505, 0.2505472932224399, 0.8480037737294258, 0.25054729298368483, 1.0021891718776412, 0.25054729380351054]","3_lag_glomaSSTjfm, 1_lag_10_median_nhSICjfm, 1_lag_13_median_nhTSjfm, 10_lag_mhfIP30, 1_lag_7_median_atlSICsep, 14_lag_tripol1_2145_1"
LRforcedPSO_75percent,4,6,amo2,slow,870.5,2005.5,0.6,19,1,1,8.80083982015676,0.5398622587940136,2275,False,"['1_lag_10_median_amo1', '1_lag_8_median_nppc3SSTjfm', '12_lag_mhfATL45', '1_lag_7_median_mhfATL30', '1_lag_5_median_tripol3', '1_lag_10_median_alpi']","[0.33670782917689546, 1.3468312756931764, 0.4774238842374857, 1.1464703752757037, 1.070898404836944, 0.3367080137481338]","1_lag_10_median_amo1, 1_lag_8_median_nppc3SSTjfm, 12_lag_mhfATL45, 1_lag_7_median_mhfATL30, 1_lag_5_median_tripol3, 1_lag_10_median_alpi_2275_1"
LRforcedPSO_75percent,5,6,amo2,slow,871.5,2005.5,0.6,20,1,1,6.405465235443953,0.8046943049724609,2405,False,"['11_lag_AMOCann', '1_lag_amo2', '1_lag_6_median_traDS', '1_lag_6_median_seurTSjfm', '8_lag_stratZ50ndj03', '1_lag_4_median_glomaSSTjfm']","[0.9289996791031938, 3.7159987164123462, 0.928999679103197, 0.9289996791031169, 0.9289996791030904, 0.9289996791031434]","11_lag_AMOCann, 1_lag_amo2, 1_lag_6_median_traDS, 1_lag_6_median_seurTSjfm, 8_lag_stratZ50ndj03, 1_lag_4_median_glomaSSTjfm_2405_1"
LRforcedPSO_75percent,6,6,amo2,slow,872.5,2005.5,0.6,21,1,1,8.687439863259197,0.6536705507001687,2535,False,"['18_lag_eapPSLjfm', '1_lag_7_median_arcTSjfm', '19_lag_mhfATL45', '1_lag_18_median_shTSjfm', '1_lag_7_median_stratZ50ndj02', '14_lag_pdoSSTjfm']","[0.30900732176770274, 1.048788880528335, 0.26219722020505803, 0.5718249662048138, 0.26219731697537485, 0.3418092561828437]","18_lag_eapPSLjfm, 1_lag_7_median_arcTSjfm, 19_lag_mhfATL45, 1_lag_18_median_shTSjfm, 1_lag_7_median_stratZ50ndj02, 14_lag_pdoSSTjfm_2535_1"
LRforcedPSO_75percent,7,6,amo2,slow,873.5,2005.5,0.6,22,2,2,8.56093761040201,0.6950379647363591,2535,False,"['2_lag_20_median_traIFC', '2_lag_11_median_glTSjfm', '2_lag_5_median_ismPRjja', '2_lag_17_median_stratZ50ndj03', '10_lag_traBS', '10_lag_traDS']","[0.5494495100479917, 1.155412089575229, 0.2888530232933637, 0.2888530234070747, 0.35973613973266644, 0.28885302248007]","2_lag_20_median_traIFC, 2_lag_11_median_glTSjfm, 2_lag_5_median_ismPRjja, 2_lag_17_median_stratZ50ndj03, 10_lag_traBS, 10_lag_traDS_2535_2"
LRforcedPSO_75percent,8,6,amo2,slow,874.5,2005.5,0.6,23,3,3,9.718081721655759,0.17385626934753892,2535,False,"['3_lag_6_median_ormenSSTjfm', '3_lag_17_median_shSICmar', '12_lag_pdoSSTjfm', '17_lag_yrvPRjja', '12_lag_ismPRjja', '14_lag_labSSTjfm']","[0.6375796027695984, 0.2536026312887996, 0.6246983361529124, 0.8043399671305258, 0.45476248636510935, 0.2570307367813939]","3_lag_6_median_ormenSSTjfm, 3_lag_17_median_shSICmar, 12_lag_pdoSSTjfm, 17_lag_yrvPRjja, 12_lag_ismPRjja, 14_lag_labSSTjfm_2535_3"
LRforcedPSO_75percent,9,6,amo2,slow,875.5,2005.5,0.6,24,4,4,9.533791464419396,0.04214863300081105,2535,False,"['4_lag_22_median_mhfATL45', '18_lag_alpi', '10_lag_nppc2SSTjfm', '19_lag_ismPRjja', '14_lag_mhfATL30', '13_lag_traMC']","[0.8010687066927146, 0.5691589404541684, 0.2002671766733062, 0.20026717667356966, 0.2002671766732109, 0.25335255936076034]","4_lag_22_median_mhfATL45, 18_lag_alpi, 10_lag_nppc2SSTjfm, 19_lag_ismPRjja, 14_lag_mhfATL30, 13_lag_traMC_2535_4"
LRforcedPSO_75percent,10,6,amo2,slow,876.5,2005.5,0.6,25,5,5,8.990611821497076,0.6026227653186472,2535,False,"['15_lag_traFSC', '24_lag_mhfATL60', '5_lag_10_median_glTSjfm', '5_lag_10_median_traDP', '13_lag_satlSSTjfm', '5_lag_17_median_satlSSTjfm']","[0.6175487838099326, 0.191819585928319, 0.767278343711676, 0.2810565986282114, 0.19181958595547838, 0.19181958593174067]","15_lag_traFSC, 24_lag_mhfATL60, 5_lag_10_median_glTSjfm, 5_lag_10_median_traDP, 13_lag_satlSSTjfm, 5_lag_17_median_satlSSTjfm_2535_5"
LRforcedPSO_75percent,11,6,amo2,slow,877.5,2005.5,0.6,26,6,6,9.382814116173739,0.38145181692459484,2535,False,"['10_lag_neurTSjfm', '7_lag_satlSSTjfm', '6_lag_8_median_traTLS', '6_lag_19_median_traCA', '6_lag_15_median_tripol1', '22_lag_stratZ50ndj01']","[0.2912656691847268, 0.8578361670447758, 0.4570170346823947, 1.1650626764375354, 0.39320780777689535, 0.2912656691760245]","10_lag_neurTSjfm, 7_lag_satlSSTjfm, 6_lag_8_median_traTLS, 6_lag_19_median_traCA, 6_lag_15_median_tripol1, 22_lag_stratZ50ndj01_2535_6"
LRforcedPSO_75percent,12,6,amo2,slow,878.5,2005.5,0.6,27,7,7,9.614987128135706,0.22262506412746894,2535,False,"['7_lag_8_median_cetTSjfm', '19_lag_stratZ50ndj01', '24_lag_traBS', '25_lag_traTLS', '16_lag_mhfATL30', '7_lag_16_median_ensoSSTjfm']","[0.5624407534137167, 0.350007007184645, 0.23816108815987494, 0.9526443524333815, 0.4847420872497319, 0.6691138607501015]","7_lag_8_median_cetTSjfm, 19_lag_stratZ50ndj01, 24_lag_traBS, 25_lag_traTLS, 16_lag_mhfATL30, 7_lag_16_median_ensoSSTjfm_2535_7"
LRforcedPSO_75percent,13,6,amo2,slow,879.5,2005.5,0.6,28,8,8,9.378580534005186,0.36447150172406273,2535,False,"['8_lag_21_median_stratZ50ndj02', '8_lag_18_median_eurPSLjfm', '8_lag_21_median_amo2', '8_lag_16_median_traEU', '25_lag_nppc3SSTjfm', '8_lag_23_median_mhfATL45']","[1.0518084994776196, 0.26295284675161784, 0.44455519074857763, 0.2629537935787401, 0.26296688007039687, 0.26295219147609394]","8_lag_21_median_stratZ50ndj02, 8_lag_18_median_eurPSLjfm, 8_lag_21_median_amo2, 8_lag_16_median_traEU, 25_lag_nppc3SSTjfm, 8_lag_23_median_mhfATL45_2535_8"
LRforcedPSO_75percent,14,6,amo2,slow,880.5,2005.5,0.6,29,9,9,9.42696069111995,0.2767201352337832,2535,False,"['27_lag_shTSjfm', '10_lag_shTSjfm', '22_lag_nchinaPRjja', '20_lag_traFSC', '9_lag_26_median_mhfATL30', '9_lag_16_median_atlSICjfm']","[0.6473644251507438, 0.2927119547316514, 0.2766928598507732, 0.2766925365912426, 1.106769995581857, 0.37117173988253116]","27_lag_shTSjfm, 10_lag_shTSjfm, 22_lag_nchinaPRjja, 20_lag_traFSC, 9_lag_26_median_mhfATL30, 9_lag_16_median_atlSICjfm_2535_9"
LRforcedPSO_75percent,15,6,amo2,slow,881.5,2005.5,0.6,30,10,10,9.641846535971826,0.10878644975483862,2535,False,"['10_lag_18_median_shSICmar', '10_lag_18_median_traTLS', '22_lag_traIFC', '27_lag_labSSTjfm', '12_lag_arcTSjfm', '10_lag_19_median_traWP']","[0.0997487492750888, 0.3989949970448372, 0.19819124632377036, 0.30787597569722047, 0.3153176332949793, 0.338847151563767]","10_lag_18_median_shSICmar, 10_lag_18_median_traTLS, 22_lag_traIFC, 27_lag_labSSTjfm, 12_lag_arcTSjfm, 10_lag_19_median_traWP_2535_10"
LRforcedPSO_75percent,16,6,amo2,slow,882.5,2005.5,0.6,31,11,11,9.690053167452563,0.10858167971107063,2535,False,"['11_lag_12_median_shSICmar', '17_lag_amoSSTmjjaso', '19_lag_stratZ50ndj04', '11_lag_20_median_stratZ50ndj02', '24_lag_cetTSjfm', '11_lag_15_median_traBO']","[0.18360290431235482, 0.15849709969774847, 0.15849709581478116, 0.6339883832433659, 0.15849709581577867, 0.33245231158426264]","11_lag_12_median_shSICmar, 17_lag_amoSSTmjjaso, 19_lag_stratZ50ndj04, 11_lag_20_median_stratZ50ndj02, 24_lag_cetTSjfm, 11_lag_15_median_traBO_2535_11"
LRforcedPSO_75percent,17,6,amo2,slow,883.5,2005.5,0.6,32,12,12,9.788212537861522,-0.03407695745721625,2535,False,"['12_lag_19_median_mhfATL60', '12_lag_13_median_ismPRjja', '24_lag_tripol3', '27_lag_traFS', '12_lag_26_median_stratZ50ndj03', '12_lag_28_median_AMOCann']","[0.3263786876598014, 0.4563342032749438, 0.48752550174002096, 0.1218813754365996, 0.24019383074716197, 0.3757641037795276]","12_lag_19_median_mhfATL60, 12_lag_13_median_ismPRjja, 24_lag_tripol3, 27_lag_traFS, 12_lag_26_median_stratZ50ndj03, 12_lag_28_median_AMOCann_2535_12"
LRforcedPSO_75percent,18,6,amo2,slow,884.5,2005.5,0.6,33,13,13,9.495931319060421,0.4199218625367181,2535,False,"['13_lag_21_median_alpi', '28_lag_ormenSSTjfm', '21_lag_glTSjfm', '13_lag_28_median_nhSICjfm', '13_lag_27_median_traWP', '27_lag_amo1']","[0.1848906311369802, 0.3680466364960221, 0.40328408448160497, 0.10082102112077314, 0.33522925667633025, 0.17995509112304178]","13_lag_21_median_alpi, 28_lag_ormenSSTjfm, 21_lag_glTSjfm, 13_lag_28_median_nhSICjfm, 13_lag_27_median_traWP, 27_lag_amo1_2535_13"
LRforcedPSO_75percent,19,6,amo2,slow,885.5,2005.5,0.6,34,14,14,9.733126938743471,0.16789035904137314,2535,False,"['14_lag_29_median_stratZ50ndj02', '16_lag_labSSTjfm', '29_lag_ginwSSTjfm', '21_lag_alpi', '27_lag_ismPRjja', '14_lag_19_median_naoPSLjfm']","[1.3187892674673372, 0.3296973168936927, 0.3296973168706317, 0.47144349616026826, 0.3876695153010747, 0.5251107826997248]","14_lag_29_median_stratZ50ndj02, 16_lag_labSSTjfm, 29_lag_ginwSSTjfm, 21_lag_alpi, 27_lag_ismPRjja, 14_lag_19_median_naoPSLjfm_2535_14"
LRforcedPSO_75percent,20,6,amo2,slow,886.5,2005.5,0.6,35,15,15,9.374180053684784,0.33387800243566,2535,False,"['15_lag_20_median_ormenSSTjfm', '20_lag_traDS', '22_lag_nchinaPRjja', '21_lag_ormenSSTjfm', '15_lag_27_median_satlSSTjfm', '15_lag_22_median_ismPRjja']","[0.23938771538902773, 0.5576181625582318, 0.23938771536954645, 0.37020241021253786, 0.9575508614672206, 0.7416375398368855]","15_lag_20_median_ormenSSTjfm, 20_lag_traDS, 22_lag_nchinaPRjja, 21_lag_ormenSSTjfm, 15_lag_27_median_satlSSTjfm, 15_lag_22_median_ismPRjja_2535_15"
LRforcedPSO_75percent,21,6,amo2,slow,887.5,2005.5,0.6,36,16,16,10.016914868229621,-0.2280424929828514,2535,False,"['34_lag_labSSTjfm', '16_lag_26_median_labSSTjfm', '16_lag_27_median_traEU', '18_lag_ensoSSTjfm', '16_lag_29_median_traBO', '16_lag_29_median_wnorPRjfm']","[0.7751240765282721, 0.7837171793341571, 0.7104589124224151, 0.19639697969056683, 0.4636556141879952, 0.4691415857619858]","34_lag_labSSTjfm, 16_lag_26_median_labSSTjfm, 16_lag_27_median_traEU, 18_lag_ensoSSTjfm, 16_lag_29_median_traBO, 16_lag_29_median_wnorPRjfm_2535_16"
