model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,waveletfilter,selected_feature_list,feature_importances,selected_features
LRDropoutPSO_50percent,0,6,amo3,slow,866.5,2005.5,0.8,15,1,1,16.205600470397652,0.34072621416029414,1755,False,"['1_lag_6_median_stratZ50ndj01', '7_lag_mhfIP30', '13_lag_mhfATL60', '1_lag_4_median_shSICsep', '4_lag_traIT', '1_lag_11_median_amo2']","[0.8586336638731661, 0.8586336638888504, 1.7172673277457873, 0.8586336638732142, 0.8586336638731309, 1.717267327746258]","1_lag_6_median_stratZ50ndj01, 7_lag_mhfIP30, 13_lag_mhfATL60, 1_lag_4_median_shSICsep, 4_lag_traIT, 1_lag_11_median_amo2_1755_1"
LRDropoutPSO_50percent,1,6,amo3,slow,867.5,2005.5,0.8,16,1,1,16.814214966277724,0.0722853273828342,1885,False,"['1_lag_12_median_gyreSSTjfm', '1_lag_8_median_naoPSLjfm', '14_lag_traEC', '7_lag_naoPSLjfm', '1_lag_9_median_labSSTjfm', '1_lag_3_median_samPSLann']","[3.9221492311158164, 2.2862988446265256, 1.9611328816900235, 1.9610857778099746, 1.9610926683104284, 1.9610746420687695]","1_lag_12_median_gyreSSTjfm, 1_lag_8_median_naoPSLjfm, 14_lag_traEC, 7_lag_naoPSLjfm, 1_lag_9_median_labSSTjfm, 1_lag_3_median_samPSLann_1885_1"
LRDropoutPSO_50percent,2,6,amo3,slow,868.5,2005.5,0.8,17,1,1,16.044009528141363,0.408508122535877,2015,False,"['4_lag_mhfATL60', '14_lag_amo2', '1_lag_16_median_shSICsep', '3_lag_traFS', '15_lag_stratZ50ndj02', '13_lag_traIT']","[1.842705126574191, 1.4395820502949026, 0.9213525633007261, 0.9213525644545008, 0.9213525632911533, 0.9213525632900026]","4_lag_mhfATL60, 14_lag_amo2, 1_lag_16_median_shSICsep, 3_lag_traFS, 15_lag_stratZ50ndj02, 13_lag_traIT_2015_1"
LRDropoutPSO_50percent,3,6,amo3,slow,869.5,2005.5,0.8,18,1,1,14.754518329875074,0.49112005537054587,2145,False,"['11_lag_shSICsep', '1_lag_11_median_shTSjfm', '5_lag_traFB', '3_lag_yrvPRjja', '1_lag_2_median_nhSICjfm', '1_lag_17_median_mhfIP30']","[1.120959810005537, 1.1209598100045524, 2.241919620008726, 1.120959810004864, 2.241919620008835, 1.120959810004587]","11_lag_shSICsep, 1_lag_11_median_shTSjfm, 5_lag_traFB, 3_lag_yrvPRjja, 1_lag_2_median_nhSICjfm, 1_lag_17_median_mhfIP30_2145_1"
LRDropoutPSO_50percent,4,6,amo3,slow,870.5,2005.5,0.8,19,1,1,17.01075315189981,0.1452631438291085,2275,False,"['1_lag_15_median_stratZ50ndj02', '4_lag_neurTSjfm', '1_lag_5_median_seurTSjfm', '14_lag_tripol1', '1_lag_17_median_traBO', '1_lag_stratZ50ndj02']","[1.6008795527676851, 1.4660272113580535, 1.4660272113580477, 1.4660272113579194, 2.932054422715676, 1.4660272113578754]","1_lag_15_median_stratZ50ndj02, 4_lag_neurTSjfm, 1_lag_5_median_seurTSjfm, 14_lag_tripol1, 1_lag_17_median_traBO, 1_lag_stratZ50ndj02_2275_1"
LRDropoutPSO_50percent,5,6,amo3,slow,871.5,2005.5,0.8,20,1,1,13.814297550282058,0.5606478014304542,2405,False,"['1_lag_3_median_traDP', '1_lag_9_median_nppc2SSTjfm', '1_lag_12_median_traBO', '1_lag_9_median_nppc3SSTjfm', '1_lag_13_median_eapPSLjfm', '1_lag_9_median_mhfATL45']","[2.062935540126459, 1.8902544661492822, 2.8809642568450835, 1.8902544661492944, 1.8902544661492928, 3.7805089322985]","1_lag_3_median_traDP, 1_lag_9_median_nppc2SSTjfm, 1_lag_12_median_traBO, 1_lag_9_median_nppc3SSTjfm, 1_lag_13_median_eapPSLjfm, 1_lag_9_median_mhfATL45_2405_1"
LRDropoutPSO_50percent,6,6,amo3,slow,872.5,2005.5,0.8,21,1,1,15.329527737646957,0.49413967362046407,2535,False,"['2_lag_traFSC', '1_lag_16_median_samPSLann', '7_lag_stratZ50ndj04', '19_lag_labSSTjfm', '1_lag_15_median_ormenSSTjfm', '1_lag_19_median_mhfIP30']","[2.4067210806253074, 1.2033605403458216, 1.2033605403136398, 1.2033605403146705, 2.406721080595804, 1.2033605412005863]","2_lag_traFSC, 1_lag_16_median_samPSLann, 7_lag_stratZ50ndj04, 19_lag_labSSTjfm, 1_lag_15_median_ormenSSTjfm, 1_lag_19_median_mhfIP30_2535_1"
LRDropoutPSO_50percent,7,6,amo3,slow,873.5,2005.5,0.8,22,2,2,15.993414419054087,0.4423643361962074,2535,False,"['2_lag_10_median_eapPSLjfm', '2_lag_scpPSLjfm', '17_lag_neurTSjfm', '2_lag_10_median_arcTSjfm', '14_lag_tripol3', '12_lag_amo3']","[0.5589683479449888, 0.7562541364873852, 1.10721634606118, 1.1165200960364743, 0.5587350979471138, 1.1173602522902937]","2_lag_10_median_eapPSLjfm, 2_lag_scpPSLjfm, 17_lag_neurTSjfm, 2_lag_10_median_arcTSjfm, 14_lag_tripol3, 12_lag_amo3_2535_2"
LRDropoutPSO_50percent,8,6,amo3,slow,874.5,2005.5,0.8,23,3,3,16.377524900270437,0.292542388425323,2535,False,"['3_lag_13_median_shTSjfm', '3_lag_11_median_amo1', '15_lag_tripol3', '3_lag_5_median_nhSICjfm', '22_lag_atlSICjfm', '3_lag_16_median_tripol3']","[1.1944483426553336, 1.1944483426553139, 1.1944483426553136, 2.3888966853106117, 1.194448342655309, 2.2024748921487443]","3_lag_13_median_shTSjfm, 3_lag_11_median_amo1, 15_lag_tripol3, 3_lag_5_median_nhSICjfm, 22_lag_atlSICjfm, 3_lag_16_median_tripol3_2535_3"
LRDropoutPSO_50percent,9,6,amo3,slow,875.5,2005.5,0.8,24,4,4,16.70296448642365,0.2388392242931431,2535,False,"['4_lag_14_median_eurPSLjfm', '4_lag_17_median_traIT', '4_lag_7_median_traEU', '4_lag_16_median_ismPRjja', '15_lag_amoSSTmjjaso', '11_lag_traTLS']","[0.3758973265364727, 0.37497633630102345, 0.7495858693405838, 0.38649360738251076, 0.6144226271924502, 0.3768083753772981]","4_lag_14_median_eurPSLjfm, 4_lag_17_median_traIT, 4_lag_7_median_traEU, 4_lag_16_median_ismPRjja, 15_lag_amoSSTmjjaso, 11_lag_traTLS_2535_4"
