model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,amo3,slow,1514.5,2005.5,0.8,15,5,5,27.133232965416212,-0.14750746178749322,418,"['5_lag_8_median_stratZ50ndj01', '5_lag_6_median_atlSICjfm', '5_lag_9_median_stratZ50ndj03', '10_lag_eurPSLjfm', '10_lag_stratZ50ndj04', '5_lag_6_median_eapPSLjfm', '5_lag_10_median_amoSSTmjjaso', '5_lag_8_median_AMOCann', '5_lag_11_median_solFORC', '13_lag_eapPSLjfm', '13_lag_atlSICjfm', '5_lag_14_median_eapPSLjfm', '5_lag_12_median_amo2', '5_lag_10_median_atlSICsep', '8_lag_nhSICsep', '5_lag_14_median_stratZ50ndj04', '14_lag_stratZ50ndj04', '12_lag_nhSICsep', '5_lag_8_median_eurPSLjfm', '5_lag_6_median_naoPSLjfm', '5_lag_AMOCann', '10_lag_AMOCann', '6_lag_naoPSLjfm', '5_lag_11_median_amo2', '5_lag_stratZ50ndj04', '5_lag_amo3', '5_lag_6_median_amo1', '13_lag_stratZ50ndj02', '14_lag_atlSICjfm', '5_lag_12_median_stratZ50ndj01']","[5.148503065671523, 1.049466090415068, 7.044729575578398, 4.616303803398212, 5.212028766860797, 0.8966734863938974, 3.394595272562775, 2.718217938550538, 3.28505463926533, 0.7406648994116232, 0.9766714789635991, 4.28225726280057, 4.268749205639221, 2.186958230557665, 1.564425948319684, 1.8776130631065797, 9.611938092976146, 3.762034759626527, 9.616368930665338, 3.628336944145598, 5.586232306583357, 8.746389794726714, 0.36272835425121563, 1.098564217785313, 1.5454707228688953, 2.0159250819002743, 1.216523289162243, 1.434389080675622, 1.667970753114414, 4.929862761332471]","5_lag_8_median_stratZ50ndj01, 5_lag_6_median_atlSICjfm, 5_lag_9_median_stratZ50ndj03, 10_lag_eurPSLjfm, 10_lag_stratZ50ndj04, 5_lag_6_median_eapPSLjfm, 5_lag_10_median_amoSSTmjjaso, 5_lag_8_median_AMOCann, 5_lag_11_median_solFORC, 13_lag_eapPSLjfm, 13_lag_atlSICjfm, 5_lag_14_median_eapPSLjfm, 5_lag_12_median_amo2, 5_lag_10_median_atlSICsep, 8_lag_nhSICsep, 5_lag_14_median_stratZ50ndj04, 14_lag_stratZ50ndj04, 12_lag_nhSICsep, 5_lag_8_median_eurPSLjfm, 5_lag_6_median_naoPSLjfm, 5_lag_AMOCann, 10_lag_AMOCann, 6_lag_naoPSLjfm, 5_lag_11_median_amo2, 5_lag_stratZ50ndj04, 5_lag_amo3, 5_lag_6_median_amo1, 13_lag_stratZ50ndj02, 14_lag_atlSICjfm, 5_lag_12_median_stratZ50ndj01_418_5"
LRforcedPSO,1,30,amo3,slow,1515.5,2005.5,0.8,16,6,6,27.69695931558357,0.05553325921608242,418,"['12_lag_stratZ50ndj04', '6_lag_8_median_nhSICsep', '6_lag_10_median_amoSSTjfm', '7_lag_shSICmar', '12_lag_scpPSLjfm', '6_lag_9_median_nhSICjfm', '6_lag_9_median_stratZ50ndj04', '9_lag_shSICmar', '6_lag_13_median_stratZ50ndj03', '6_lag_14_median_naoPSLjfm', '8_lag_amoSSTjfm', '12_lag_stratZ50ndj01', '8_lag_stratZ50ndj01', '7_lag_eapPSLjfm', '14_lag_solFORC', '11_lag_shSICsep', '6_lag_9_median_amoSSTmjjaso', '10_lag_stratZ50ndj03', '12_lag_nppc2SSTjfm', '7_lag_atlSICsep', '6_lag_9_median_solFORC', '13_lag_amo3', '6_lag_10_median_atlSICsep', '10_lag_stratZ50ndj01', '14_lag_stratZ50ndj02', '6_lag_15_median_scpPSLjfm', '6_lag_12_median_stratZ50ndj01', '6_lag_8_median_shSICmar', '7_lag_amoSSTmjjaso', '6_lag_atlSICjfm']","[2.5134794334506676, 1.160132469686717, 9.392652571057255, 5.840885958591942, 1.4833441993785108, 7.174365559599657, 0.07313114085855332, 2.4215412386380386, 8.926917650324281, 5.336782601427073, 9.953801547225503, 2.7732981389830114, 0.6750101765126626, 4.79464580801298, 1.2439898272415562, 3.7499339797021536, 1.4594520840361973, 4.300525452851147, 5.6686711406516155, 3.9034375157385925, 2.7296153819564495, 4.1757227248692494, 0.9121505959188863, 3.4392086684674084, 5.9032606372003915, 2.7980366381589743, 4.988714424847558, 4.058368809945916, 3.2297198534617744, 2.9416527512476893]","12_lag_stratZ50ndj04, 6_lag_8_median_nhSICsep, 6_lag_10_median_amoSSTjfm, 7_lag_shSICmar, 12_lag_scpPSLjfm, 6_lag_9_median_nhSICjfm, 6_lag_9_median_stratZ50ndj04, 9_lag_shSICmar, 6_lag_13_median_stratZ50ndj03, 6_lag_14_median_naoPSLjfm, 8_lag_amoSSTjfm, 12_lag_stratZ50ndj01, 8_lag_stratZ50ndj01, 7_lag_eapPSLjfm, 14_lag_solFORC, 11_lag_shSICsep, 6_lag_9_median_amoSSTmjjaso, 10_lag_stratZ50ndj03, 12_lag_nppc2SSTjfm, 7_lag_atlSICsep, 6_lag_9_median_solFORC, 13_lag_amo3, 6_lag_10_median_atlSICsep, 10_lag_stratZ50ndj01, 14_lag_stratZ50ndj02, 6_lag_15_median_scpPSLjfm, 6_lag_12_median_stratZ50ndj01, 6_lag_8_median_shSICmar, 7_lag_amoSSTmjjaso, 6_lag_atlSICjfm_418_6"
LRforcedPSO,2,30,amo3,slow,1516.5,2005.5,0.8,17,7,7,19.856193842494683,0.41954587135000454,418,"['7_lag_14_median_amo1', '15_lag_atlSICjfm', '12_lag_stratZ50ndj02', '8_lag_nhSICsep', '7_lag_14_median_naoPSLjfm', '7_lag_13_median_naoPSLjfm', '11_lag_amoSSTmjjaso', '7_lag_10_median_amo2', '7_lag_16_median_nhSICjfm', '13_lag_amoSSTmjjaso', '10_lag_stratZ50ndj03', '11_lag_amo1', '8_lag_amo2', '7_lag_9_median_nppc2SSTjfm', '7_lag_14_median_stratZ50ndj03', '7_lag_12_median_stratZ50ndj03', '16_lag_amo1', '7_lag_11_median_shSICmar', '7_lag_8_median_amoSSTmjjaso', '7_lag_10_median_amoSSTmjjaso', '7_lag_9_median_stratZ50ndj02', '7_lag_atlSICjfm', '13_lag_naoPSLjfm', '8_lag_atlSICjfm', '7_lag_15_median_nhSICjfm', '7_lag_14_median_solFORC', '7_lag_12_median_stratZ50ndj04', '9_lag_amoSSTmjjaso', '14_lag_stratZ50ndj04', '15_lag_amoSSTjfm']","[3.4810430817511984, 6.456675413489876, 0.05592839650892145, 9.325543842398611, 1.380719980124006, 2.042184345595423, 4.912146281254288, 3.601359521872256, 1.4579491495167964, 5.351868579118044, 0.46718381814693544, 0.1794353729662994, 0.22700606626500353, 2.4351694671412076, 3.5643933981501608, 1.1058546606289212, 6.687520974204828, 5.128308743421883, 8.726795497742689, 7.446845387614632, 1.0673071463592994, 2.542731114195554, 1.476294181706992, 9.000158562191272, 7.271987136641602, 1.3698422467924374, 8.046047449355083, 6.172428029998226, 6.984982711626866, 2.683377283568042]","7_lag_14_median_amo1, 15_lag_atlSICjfm, 12_lag_stratZ50ndj02, 8_lag_nhSICsep, 7_lag_14_median_naoPSLjfm, 7_lag_13_median_naoPSLjfm, 11_lag_amoSSTmjjaso, 7_lag_10_median_amo2, 7_lag_16_median_nhSICjfm, 13_lag_amoSSTmjjaso, 10_lag_stratZ50ndj03, 11_lag_amo1, 8_lag_amo2, 7_lag_9_median_nppc2SSTjfm, 7_lag_14_median_stratZ50ndj03, 7_lag_12_median_stratZ50ndj03, 16_lag_amo1, 7_lag_11_median_shSICmar, 7_lag_8_median_amoSSTmjjaso, 7_lag_10_median_amoSSTmjjaso, 7_lag_9_median_stratZ50ndj02, 7_lag_atlSICjfm, 13_lag_naoPSLjfm, 8_lag_atlSICjfm, 7_lag_15_median_nhSICjfm, 7_lag_14_median_solFORC, 7_lag_12_median_stratZ50ndj04, 9_lag_amoSSTmjjaso, 14_lag_stratZ50ndj04, 15_lag_amoSSTjfm_418_7"
LRforcedPSO,3,30,amo3,slow,1517.5,2005.5,0.8,18,8,8,29.052557638163417,-0.007555100894640046,418,"['8_lag_16_median_atlSICjfm', '8_lag_16_median_amo1', '13_lag_atlSICsep', '8_lag_17_median_amo1', '14_lag_solFORC', '12_lag_AMOCann', '10_lag_amo2', '11_lag_atlSICjfm', '8_lag_12_median_amoSSTjfm', '16_lag_amoSSTjfm', '16_lag_amo2', '13_lag_amoSSTjfm', '8_lag_12_median_amoSSTmjjaso', '8_lag_11_median_nppc2SSTjfm', '8_lag_17_median_stratZ50ndj02', '8_lag_13_median_shSICsep', '8_lag_14_median_atlSICjfm', '8_lag_14_median_atlSICsep', '16_lag_atlSICjfm', '15_lag_shSICsep', '8_lag_scpPSLjfm', '8_lag_17_median_shSICsep', '11_lag_nhSICjfm', '14_lag_shSICsep', '8_lag_10_median_eurPSLjfm', '8_lag_11_median_naoPSLjfm', '11_lag_amo3', '9_lag_eapPSLjfm', '12_lag_amo3', '9_lag_nhSICsep']","[0.73466391698393, 2.300353488009028, 2.688723643483593, 6.0375710155348505, 7.510039573931117, 4.9413155143269964, 3.7943118262026303, 6.375238996786024, 6.278240264138521, 4.359802645888646, 6.598539151475665, 5.536791099909275, 4.897947736622024, 2.1220361893208626, 2.1410164745657294, 4.573312190917321, 4.293301972738867, 1.5908759956605714, 9.284095425564562, 1.3530884973881463, 2.214917224022045, 2.2705172280254704, 6.178722846951247, 4.7967042321790245, 1.5276336538442852, 4.615943207852126, 1.7810309074750492, 4.470927673801398, 7.967049596691282, 7.611166404384381]","8_lag_16_median_atlSICjfm, 8_lag_16_median_amo1, 13_lag_atlSICsep, 8_lag_17_median_amo1, 14_lag_solFORC, 12_lag_AMOCann, 10_lag_amo2, 11_lag_atlSICjfm, 8_lag_12_median_amoSSTjfm, 16_lag_amoSSTjfm, 16_lag_amo2, 13_lag_amoSSTjfm, 8_lag_12_median_amoSSTmjjaso, 8_lag_11_median_nppc2SSTjfm, 8_lag_17_median_stratZ50ndj02, 8_lag_13_median_shSICsep, 8_lag_14_median_atlSICjfm, 8_lag_14_median_atlSICsep, 16_lag_atlSICjfm, 15_lag_shSICsep, 8_lag_scpPSLjfm, 8_lag_17_median_shSICsep, 11_lag_nhSICjfm, 14_lag_shSICsep, 8_lag_10_median_eurPSLjfm, 8_lag_11_median_naoPSLjfm, 11_lag_amo3, 9_lag_eapPSLjfm, 12_lag_amo3, 9_lag_nhSICsep_418_8"
LRforcedPSO,4,30,amo3,slow,1518.5,2005.5,0.8,19,9,9,27.560777292673738,0.09039739394376274,418,"['9_lag_15_median_stratZ50ndj02', '9_lag_15_median_stratZ50ndj04', '10_lag_amo2', '17_lag_stratZ50ndj04', '14_lag_amo3', '9_lag_18_median_atlSICsep', '9_lag_nppc2SSTjfm', '14_lag_solFORC', '9_lag_13_median_eurPSLjfm', '9_lag_11_median_nhSICsep', '9_lag_17_median_stratZ50ndj03', '12_lag_naoPSLjfm', '18_lag_nhSICjfm', '13_lag_solFORC', '9_lag_stratZ50ndj04', '9_lag_17_median_stratZ50ndj04', '17_lag_amo2', '9_lag_12_median_eurPSLjfm', '13_lag_atlSICjfm', '10_lag_scpPSLjfm', '12_lag_stratZ50ndj04', '9_lag_10_median_amoSSTjfm', '9_lag_18_median_nhSICsep', '15_lag_atlSICsep', '9_lag_11_median_atlSICjfm', '9_lag_12_median_shSICsep', '9_lag_18_median_shSICmar', '9_lag_16_median_scpPSLjfm', '9_lag_18_median_amo3', '9_lag_15_median_shSICmar']","[0.35343316925380286, 5.13461329736068, 3.330863527707278, 0.07589792581558008, 8.824152540047546, 9.217242206393475, 1.2201452254905103, 8.39589411158039, 0.06397000299070577, 5.321579574767615, 6.168494687060302, 1.4481048983622102, 5.122078279214984, 1.4291884991564032, 2.675077155206079, 5.416454651308193, 4.725767134059568, 0.2534373363809639, 2.5091272522235037, 0.9756858835723676, 9.878535267148061, 2.7347529736836513, 7.30966911135154, 7.345728815615651, 6.569657514853393, 4.026796888840675, 0.0383712303622481, 6.935017150072924, 0.7952115325821136, 3.654986718217181]","9_lag_15_median_stratZ50ndj02, 9_lag_15_median_stratZ50ndj04, 10_lag_amo2, 17_lag_stratZ50ndj04, 14_lag_amo3, 9_lag_18_median_atlSICsep, 9_lag_nppc2SSTjfm, 14_lag_solFORC, 9_lag_13_median_eurPSLjfm, 9_lag_11_median_nhSICsep, 9_lag_17_median_stratZ50ndj03, 12_lag_naoPSLjfm, 18_lag_nhSICjfm, 13_lag_solFORC, 9_lag_stratZ50ndj04, 9_lag_17_median_stratZ50ndj04, 17_lag_amo2, 9_lag_12_median_eurPSLjfm, 13_lag_atlSICjfm, 10_lag_scpPSLjfm, 12_lag_stratZ50ndj04, 9_lag_10_median_amoSSTjfm, 9_lag_18_median_nhSICsep, 15_lag_atlSICsep, 9_lag_11_median_atlSICjfm, 9_lag_12_median_shSICsep, 9_lag_18_median_shSICmar, 9_lag_16_median_scpPSLjfm, 9_lag_18_median_amo3, 9_lag_15_median_shSICmar_418_9"
LRforcedPSO,5,30,amo3,slow,1519.5,2005.5,0.8,20,10,10,22.92003122390302,-0.07075714219669438,418,"['11_lag_stratZ50ndj02', '10_lag_15_median_eurPSLjfm', '19_lag_atlSICjfm', '17_lag_nhSICsep', '14_lag_stratZ50ndj04', '17_lag_amoSSTjfm', '14_lag_amo3', '19_lag_nhSICsep', '10_lag_17_median_scpPSLjfm', '10_lag_13_median_nppc2SSTjfm', '14_lag_stratZ50ndj02', '10_lag_18_median_atlSICjfm', '10_lag_18_median_amoSSTjfm', '15_lag_naoPSLjfm', '10_lag_18_median_nhSICjfm', '13_lag_amoSSTmjjaso', '11_lag_amoSSTjfm', '15_lag_nppc2SSTjfm', '10_lag_12_median_amoSSTmjjaso', '10_lag_12_median_stratZ50ndj03', '10_lag_11_median_shSICsep', '12_lag_naoPSLjfm', '10_lag_15_median_amo2', '10_lag_13_median_amoSSTmjjaso', '18_lag_eapPSLjfm', '13_lag_eurPSLjfm', '10_lag_11_median_nhSICjfm', '12_lag_stratZ50ndj01', '10_lag_16_median_amoSSTmjjaso', '17_lag_stratZ50ndj03']","[5.590877312271301, 5.832919074925796, 2.2472723909672894, 0.032837971568957514, 0.9348415224434152, 1.5337828654204149, 6.050146082122678, 8.300655365647902, 2.3821122693674335, 2.1466020386224187, 4.789947561308098, 7.869355245155054, 9.64854676241957, 2.9604706527806606, 0.08575841201807499, 2.2699475803890756, 6.151129397461618, 4.015733765862133, 3.900300053661301, 9.993907541857192, 4.614805352849332, 0.5261885108338848, 2.187306516021339, 1.016023289675708, 2.3083832957585955, 5.536976673142043, 5.558313300261995, 4.030043040711975, 3.4785335373491133, 3.332023914410936]","11_lag_stratZ50ndj02, 10_lag_15_median_eurPSLjfm, 19_lag_atlSICjfm, 17_lag_nhSICsep, 14_lag_stratZ50ndj04, 17_lag_amoSSTjfm, 14_lag_amo3, 19_lag_nhSICsep, 10_lag_17_median_scpPSLjfm, 10_lag_13_median_nppc2SSTjfm, 14_lag_stratZ50ndj02, 10_lag_18_median_atlSICjfm, 10_lag_18_median_amoSSTjfm, 15_lag_naoPSLjfm, 10_lag_18_median_nhSICjfm, 13_lag_amoSSTmjjaso, 11_lag_amoSSTjfm, 15_lag_nppc2SSTjfm, 10_lag_12_median_amoSSTmjjaso, 10_lag_12_median_stratZ50ndj03, 10_lag_11_median_shSICsep, 12_lag_naoPSLjfm, 10_lag_15_median_amo2, 10_lag_13_median_amoSSTmjjaso, 18_lag_eapPSLjfm, 13_lag_eurPSLjfm, 10_lag_11_median_nhSICjfm, 12_lag_stratZ50ndj01, 10_lag_16_median_amoSSTmjjaso, 17_lag_stratZ50ndj03_418_10"
LRforcedPSO,6,30,amo3,slow,1520.5,2005.5,0.8,21,11,11,39.554814394423246,-0.24237428489268503,418,"['12_lag_amo2', '14_lag_nhSICsep', '12_lag_stratZ50ndj04', '16_lag_stratZ50ndj01', '16_lag_amo2', '11_lag_14_median_eapPSLjfm', '11_lag_18_median_stratZ50ndj03', '17_lag_scpPSLjfm', '17_lag_shSICmar', '17_lag_nhSICsep', '11_lag_16_median_nhSICsep', '17_lag_eurPSLjfm', '11_lag_14_median_amoSSTmjjaso', '18_lag_amo1', '11_lag_17_median_solFORC', '17_lag_naoPSLjfm', '11_lag_19_median_stratZ50ndj03', '11_lag_18_median_nhSICsep', '11_lag_12_median_atlSICjfm', '11_lag_17_median_stratZ50ndj03', '11_lag_14_median_solFORC', '11_lag_17_median_eurPSLjfm', '11_lag_20_median_stratZ50ndj01', '14_lag_AMOCann', '11_lag_19_median_nhSICjfm', '20_lag_naoPSLjfm', '12_lag_amo1', '13_lag_naoPSLjfm', '11_lag_16_median_AMOCann', '13_lag_nppc2SSTjfm']","[6.133829483627768, 9.02015805914383, 3.759729593073235, 5.652286037404188, 1.7913113819756532, 4.841716109965941, 9.653723703635741, 5.07109353371074, 3.887072564612664, 0.9228552335501394, 9.857404642092803, 2.349660301182846, 5.989194326696947, 0.010251925999433809, 2.665667258139546, 5.24230416978291, 5.307901935659515, 6.332779517991003, 0.31626252073864336, 5.949279483561053, 2.921660845054321, 4.825600356855677, 0.2845331365226791, 2.9458025458054404, 0.03336311221070787, 7.709614473000837, 1.2444938639202103, 5.456660830568829, 1.977441151486726, 8.908913505833528]","12_lag_amo2, 14_lag_nhSICsep, 12_lag_stratZ50ndj04, 16_lag_stratZ50ndj01, 16_lag_amo2, 11_lag_14_median_eapPSLjfm, 11_lag_18_median_stratZ50ndj03, 17_lag_scpPSLjfm, 17_lag_shSICmar, 17_lag_nhSICsep, 11_lag_16_median_nhSICsep, 17_lag_eurPSLjfm, 11_lag_14_median_amoSSTmjjaso, 18_lag_amo1, 11_lag_17_median_solFORC, 17_lag_naoPSLjfm, 11_lag_19_median_stratZ50ndj03, 11_lag_18_median_nhSICsep, 11_lag_12_median_atlSICjfm, 11_lag_17_median_stratZ50ndj03, 11_lag_14_median_solFORC, 11_lag_17_median_eurPSLjfm, 11_lag_20_median_stratZ50ndj01, 14_lag_AMOCann, 11_lag_19_median_nhSICjfm, 20_lag_naoPSLjfm, 12_lag_amo1, 13_lag_naoPSLjfm, 11_lag_16_median_AMOCann, 13_lag_nppc2SSTjfm_418_11"
LRforcedPSO,7,30,amo3,slow,1521.5,2005.5,0.8,22,12,12,28.0752774446618,-0.18787569969690862,418,"['20_lag_nhSICsep', '18_lag_nhSICsep', '18_lag_stratZ50ndj03', '12_lag_21_median_amo3', '19_lag_amoSSTjfm', '19_lag_nhSICjfm', '19_lag_atlSICjfm', '12_lag_14_median_nppc2SSTjfm', '12_lag_19_median_nppc2SSTjfm', '18_lag_AMOCann', '15_lag_stratZ50ndj02', '12_lag_14_median_eurPSLjfm', '12_lag_18_median_stratZ50ndj02', '12_lag_16_median_amo2', '19_lag_stratZ50ndj02', '12_lag_13_median_amo1', '12_lag_20_median_stratZ50ndj04', '19_lag_nhSICsep', '20_lag_stratZ50ndj04', '13_lag_atlSICjfm', '12_lag_21_median_nppc2SSTjfm', '15_lag_shSICmar', '17_lag_stratZ50ndj04', '13_lag_eapPSLjfm', '12_lag_20_median_amo3', '16_lag_scpPSLjfm', '12_lag_17_median_amo3', '12_lag_14_median_stratZ50ndj04', '12_lag_21_median_AMOCann', '14_lag_eapPSLjfm']","[1.9868668660780777, 2.111017039380842, 0.7325665839643278, 7.747837834606511, 6.993718222940824, 4.186506692722514, 1.153993146308494, 5.65852324943652, 1.8530934163676562, 3.5809207521682485, 8.05431763427842, 2.9814948557498333, 1.5226056380009858, 6.985019819160016, 1.0047112341150015, 6.841433496819032, 2.1525196098567196, 3.9080976554613267, 4.369491923366052, 2.549706509655472, 2.4217593652265323, 6.1466181387094245, 7.883040061316146, 5.065792587749803, 9.83187219765474, 4.631418472803428, 0.21066658028683527, 4.3688297766725075, 4.894679959927181, 4.216899412930044]","20_lag_nhSICsep, 18_lag_nhSICsep, 18_lag_stratZ50ndj03, 12_lag_21_median_amo3, 19_lag_amoSSTjfm, 19_lag_nhSICjfm, 19_lag_atlSICjfm, 12_lag_14_median_nppc2SSTjfm, 12_lag_19_median_nppc2SSTjfm, 18_lag_AMOCann, 15_lag_stratZ50ndj02, 12_lag_14_median_eurPSLjfm, 12_lag_18_median_stratZ50ndj02, 12_lag_16_median_amo2, 19_lag_stratZ50ndj02, 12_lag_13_median_amo1, 12_lag_20_median_stratZ50ndj04, 19_lag_nhSICsep, 20_lag_stratZ50ndj04, 13_lag_atlSICjfm, 12_lag_21_median_nppc2SSTjfm, 15_lag_shSICmar, 17_lag_stratZ50ndj04, 13_lag_eapPSLjfm, 12_lag_20_median_amo3, 16_lag_scpPSLjfm, 12_lag_17_median_amo3, 12_lag_14_median_stratZ50ndj04, 12_lag_21_median_AMOCann, 14_lag_eapPSLjfm_418_12"
LRforcedPSO,8,30,amo3,slow,1522.5,2005.5,0.8,23,13,13,24.772137151398567,-0.17622950981956675,418,"['13_lag_17_median_atlSICjfm', '20_lag_scpPSLjfm', '22_lag_solFORC', '16_lag_amo1', '20_lag_stratZ50ndj03', '13_lag_18_median_solFORC', '13_lag_19_median_stratZ50ndj03', '16_lag_stratZ50ndj04', '13_lag_amo1', '13_lag_22_median_amo3', '20_lag_stratZ50ndj01', '18_lag_nhSICsep', '13_lag_20_median_atlSICsep', '13_lag_18_median_amoSSTjfm', '17_lag_amo3', '13_lag_17_median_solFORC', '13_lag_17_median_amo3', '18_lag_shSICsep', '13_lag_18_median_shSICmar', '13_lag_18_median_amo3', '19_lag_nhSICjfm', '13_lag_15_median_amo2', '13_lag_16_median_shSICsep', '13_lag_21_median_shSICmar', '13_lag_19_median_shSICmar', '21_lag_stratZ50ndj04', '13_lag_18_median_amo2', '17_lag_eapPSLjfm', '18_lag_amoSSTmjjaso', '18_lag_stratZ50ndj03']","[0.6892765129401326, 2.1092876777873304, 3.228359458070596, 9.760604064447008, 1.0420395006785768, 5.2825651578014465, 0.4065452863847909, 4.1901177744042055, 2.1721947554555356, 7.4003124622873955, 1.9896635994478213, 4.789670907428166, 0.8989323415877575, 3.6385766064231895, 5.094132050940509, 2.1585523916456184, 3.1369144949645182, 3.5922207528881867, 2.2779231115374756, 9.485853436935034, 0.6514066436330594, 2.9900699176231456, 4.457142659705459, 4.143195678625812, 1.616357943279061, 4.728968675972858, 6.005868148647313, 0.2557002559700834, 5.862065707005776, 1.8237885307514095]","13_lag_17_median_atlSICjfm, 20_lag_scpPSLjfm, 22_lag_solFORC, 16_lag_amo1, 20_lag_stratZ50ndj03, 13_lag_18_median_solFORC, 13_lag_19_median_stratZ50ndj03, 16_lag_stratZ50ndj04, 13_lag_amo1, 13_lag_22_median_amo3, 20_lag_stratZ50ndj01, 18_lag_nhSICsep, 13_lag_20_median_atlSICsep, 13_lag_18_median_amoSSTjfm, 17_lag_amo3, 13_lag_17_median_solFORC, 13_lag_17_median_amo3, 18_lag_shSICsep, 13_lag_18_median_shSICmar, 13_lag_18_median_amo3, 19_lag_nhSICjfm, 13_lag_15_median_amo2, 13_lag_16_median_shSICsep, 13_lag_21_median_shSICmar, 13_lag_19_median_shSICmar, 21_lag_stratZ50ndj04, 13_lag_18_median_amo2, 17_lag_eapPSLjfm, 18_lag_amoSSTmjjaso, 18_lag_stratZ50ndj03_418_13"
LRforcedPSO,9,30,amo3,slow,1523.5,2005.5,0.8,24,14,14,22.48000505589978,0.08492053078535516,418,"['14_lag_22_median_amo2', '19_lag_shSICsep', '14_lag_17_median_solFORC', '20_lag_AMOCann', '14_lag_22_median_AMOCann', '14_lag_17_median_stratZ50ndj01', '15_lag_scpPSLjfm', '14_lag_22_median_eurPSLjfm', '14_lag_16_median_nhSICjfm', '14_lag_22_median_scpPSLjfm', '19_lag_stratZ50ndj03', '14_lag_19_median_nhSICjfm', '19_lag_stratZ50ndj04', '14_lag_19_median_amoSSTmjjaso', '14_lag_17_median_nppc2SSTjfm', '14_lag_16_median_AMOCann', '17_lag_amo2', '14_lag_15_median_atlSICsep', '19_lag_amoSSTmjjaso', '17_lag_shSICsep', '18_lag_amo3', '15_lag_AMOCann', '14_lag_22_median_amo3', '14_lag_23_median_shSICsep', '14_lag_15_median_AMOCann', '14_lag_18_median_AMOCann', '22_lag_stratZ50ndj03', '14_lag_22_median_amoSSTmjjaso', '15_lag_stratZ50ndj03', '19_lag_solFORC']","[6.045408424698746, 1.5567148303285538, 4.605506020184434, 2.3139798885521046, 5.8618292476363685, 0.21154262522491685, 5.432483640288622, 3.8546783209635223, 5.953463954973119, 3.07169654401344, 1.2244064266830623, 2.9977236686757784, 4.013016815794548, 8.649467627824164, 6.559861675079077, 5.441547473428333, 7.714941150257616, 4.896117941386688, 9.339674026803163, 3.2346827778364258, 8.338292524446494, 4.489385940182915, 0.6122491043087948, 2.041526525490891, 3.532447626248562, 6.297431233587577, 3.188064545046993, 8.639157725837595, 2.7932766087556953, 8.865970574234394]","14_lag_22_median_amo2, 19_lag_shSICsep, 14_lag_17_median_solFORC, 20_lag_AMOCann, 14_lag_22_median_AMOCann, 14_lag_17_median_stratZ50ndj01, 15_lag_scpPSLjfm, 14_lag_22_median_eurPSLjfm, 14_lag_16_median_nhSICjfm, 14_lag_22_median_scpPSLjfm, 19_lag_stratZ50ndj03, 14_lag_19_median_nhSICjfm, 19_lag_stratZ50ndj04, 14_lag_19_median_amoSSTmjjaso, 14_lag_17_median_nppc2SSTjfm, 14_lag_16_median_AMOCann, 17_lag_amo2, 14_lag_15_median_atlSICsep, 19_lag_amoSSTmjjaso, 17_lag_shSICsep, 18_lag_amo3, 15_lag_AMOCann, 14_lag_22_median_amo3, 14_lag_23_median_shSICsep, 14_lag_15_median_AMOCann, 14_lag_18_median_AMOCann, 22_lag_stratZ50ndj03, 14_lag_22_median_amoSSTmjjaso, 15_lag_stratZ50ndj03, 19_lag_solFORC_418_14"
