model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,amo3,slow,1714.5,2005.5,0.4,15,5,5,22.694719056607532,-0.1859874662663393,418,"['14_lag_shSICmar', '10_lag_stratZ50ndj03', '11_lag_naoPSLjfm', '5_lag_amo3', '9_lag_AMOCann', '11_lag_shSICsep']","[0.05683471295705423, 0.21008725048560495, 0.1298551564145004, 0.20308287071754702, 0.3988293431476281, 0.17463832866502813]","14_lag_shSICmar, 10_lag_stratZ50ndj03, 11_lag_naoPSLjfm, 5_lag_amo3, 9_lag_AMOCann, 11_lag_shSICsep_418_5"
LinearRegression,1,6,amo3,slow,1715.5,2005.5,0.4,16,6,9,17.816156353094023,0.17097777943711898,418,"['11_lag_atlSICjfm', '10_lag_stratZ50ndj03', '13_lag_AMOCann', '9_lag_stratZ50ndj01', '15_lag_stratZ50ndj02', '11_lag_shSICsep']","[0.2820706577310506, 0.16941442674830182, 0.01902266718658797, 0.1129762643852451, 0.12250064691357382, 0.20270420549215878]","11_lag_atlSICjfm, 10_lag_stratZ50ndj03, 13_lag_AMOCann, 9_lag_stratZ50ndj01, 15_lag_stratZ50ndj02, 11_lag_shSICsep_418_9"
LinearRegression,2,6,amo3,slow,1716.5,2005.5,0.4,17,7,9,21.7915143889611,-0.10100438487727245,418,"['13_lag_shSICsep', '9_lag_AMOCann', '15_lag_nhSICjfm', '15_lag_stratZ50ndj02', '10_lag_stratZ50ndj02', '10_lag_stratZ50ndj03']","[0.16381431640224198, 0.25779479310927655, 0.22831248326635759, 0.09374912082121425, 0.07852041497212024, 0.24556240341495675]","13_lag_shSICsep, 9_lag_AMOCann, 15_lag_nhSICjfm, 15_lag_stratZ50ndj02, 10_lag_stratZ50ndj02, 10_lag_stratZ50ndj03_418_9"
LinearRegression,3,6,amo3,slow,1717.5,2005.5,0.4,18,8,15,22.825001456483506,-0.11946959311267609,418,"['17_lag_stratZ50ndj02', '15_lag_nhSICjfm', '15_lag_eurPSLjfm', '16_lag_AMOCann', '17_lag_nppc2SSTjfm', '15_lag_stratZ50ndj02']","[0.046386116221892135, 0.23195942185732, 0.1727116966857718, 0.25841067416372987, 0.12350301628039156, 0.021623047028252164]","17_lag_stratZ50ndj02, 15_lag_nhSICjfm, 15_lag_eurPSLjfm, 16_lag_AMOCann, 17_lag_nppc2SSTjfm, 15_lag_stratZ50ndj02_418_15"
LinearRegression,4,6,amo3,slow,1718.5,2005.5,0.4,19,9,9,22.350104824212792,0.0015880127694270878,418,"['14_lag_shSICmar', '15_lag_nhSICjfm', '15_lag_eurPSLjfm', '18_lag_AMOCann', '9_lag_AMOCann', '9_lag_atlSICjfm']","[0.044666098913089376, 0.2651369441957784, 0.18802718748719752, 0.2554704863105908, 0.17346816911402874, 0.14432242483813748]","14_lag_shSICmar, 15_lag_nhSICjfm, 15_lag_eurPSLjfm, 18_lag_AMOCann, 9_lag_AMOCann, 9_lag_atlSICjfm_418_9"
LinearRegression,5,6,amo3,slow,1719.5,2005.5,0.4,20,10,14,24.789796875802367,-0.15697676379102954,418,"['19_lag_shSICsep', '17_lag_stratZ50ndj04', '19_lag_nhSICsep', '14_lag_shSICmar', '18_lag_AMOCann', '15_lag_nhSICjfm']","[0.08837857914427938, 0.0763516675837021, 0.22164136474934792, 0.038034078226532236, 0.340517710538052, 0.24600236646868578]","19_lag_shSICsep, 17_lag_stratZ50ndj04, 19_lag_nhSICsep, 14_lag_shSICmar, 18_lag_AMOCann, 15_lag_nhSICjfm_418_14"
LinearRegression,6,6,amo3,slow,1720.5,2005.5,0.4,21,11,11,21.036183380364466,-0.00417642839595651,418,"['11_lag_shSICsep', '17_lag_stratZ50ndj04', '18_lag_AMOCann', '18_lag_amoSSTmjjaso', '15_lag_nhSICjfm', '19_lag_shSICsep']","[0.207801524570779, 0.05400958741821571, 0.30489221561995117, 0.41101073597723786, 0.2773462057800914, 0.10418823442616193]","11_lag_shSICsep, 17_lag_stratZ50ndj04, 18_lag_AMOCann, 18_lag_amoSSTmjjaso, 15_lag_nhSICjfm, 19_lag_shSICsep_418_11"
LinearRegression,7,6,amo3,slow,1721.5,2005.5,0.4,22,12,12,19.668252605798564,0.12823499044437692,418,"['20_lag_shSICmar', '20_lag_eurPSLjfm', '18_lag_AMOCann', '12_lag_shSICsep', '19_lag_shSICsep', '18_lag_amoSSTmjjaso']","[0.0976655022680967, 0.12451124239446776, 0.3056528322110158, 0.27285839874204554, 0.09452593495201929, 0.4201671678224306]","20_lag_shSICmar, 20_lag_eurPSLjfm, 18_lag_AMOCann, 12_lag_shSICsep, 19_lag_shSICsep, 18_lag_amoSSTmjjaso_418_12"
LinearRegression,8,6,amo3,slow,1722.5,2005.5,0.4,23,13,16,19.37936551265753,0.12811096515856368,418,"['16_lag_AMOCann', '18_lag_amoSSTmjjaso', '19_lag_nhSICsep', '22_lag_AMOCann', '18_lag_AMOCann', '20_lag_eurPSLjfm']","[0.09322192720823078, 0.36346991466076933, 0.10951921512376386, 0.05420240835925666, 0.22331125929894474, 0.09340001479380979]","16_lag_AMOCann, 18_lag_amoSSTmjjaso, 19_lag_nhSICsep, 22_lag_AMOCann, 18_lag_AMOCann, 20_lag_eurPSLjfm_418_16"
LinearRegression,9,6,amo3,slow,1723.5,2005.5,0.4,24,14,18,19.97568945452338,-0.024491504050657056,418,"['19_lag_nhSICsep', '19_lag_atlSICsep', '20_lag_shSICmar', '22_lag_AMOCann', '18_lag_AMOCann', '23_lag_shSICmar']","[0.13972825095508745, 0.22610215377473653, 0.07922809214485572, 0.022727085098053726, 0.2917384030493153, 0.12652971637959823]","19_lag_nhSICsep, 19_lag_atlSICsep, 20_lag_shSICmar, 22_lag_AMOCann, 18_lag_AMOCann, 23_lag_shSICmar_418_18"
LinearRegression,10,6,amo3,slow,1724.5,2005.5,0.4,25,15,15,20.74421646781209,0.08972444589606762,418,"['22_lag_stratZ50ndj03', '15_lag_nhSICjfm', '24_lag_shSICsep', '18_lag_AMOCann', '20_lag_atlSICsep', '23_lag_shSICmar']","[0.14650692774516993, 0.11476115984503989, 0.2261823282863467, 0.31002704834616474, 0.19711048743896648, 0.1460667823811489]","22_lag_stratZ50ndj03, 15_lag_nhSICjfm, 24_lag_shSICsep, 18_lag_AMOCann, 20_lag_atlSICsep, 23_lag_shSICmar_418_15"
