model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,amoSSTmjjaso,slow,1514.5,2005.5,0.6,15,1,1,10.694568055432645,0.5904982908547366,1755,"['11_lag_satlSSTjfm', '1_lag_3_median_nhSICjfm', '2_lag_nppc3SSTjfm', '5_lag_stratZ50ndj02', '4_lag_ginwSSTjfm', '10_lag_traEU']","[2.2963345864698907, 2.3275914448143293, 2.325304951201492, 3.054333499095944, 2.5062282346615152, 2.3933960773463845]","11_lag_satlSSTjfm, 1_lag_3_median_nhSICjfm, 2_lag_nppc3SSTjfm, 5_lag_stratZ50ndj02, 4_lag_ginwSSTjfm, 10_lag_traEU_1755_1"
LRforcedPSO,1,6,amoSSTmjjaso,slow,1515.5,2005.5,0.6,16,1,1,15.030161430172972,0.10249494314762429,1885,"['1_lag_10_median_arcTSjfm', '12_lag_amoSSTmjjaso', '1_lag_5_median_yrvPRjja', '1_lag_5_median_nppc2SSTjfm', '1_lag_2_median_traIT', '3_lag_cetTSjfm']","[1.1047500794932912, 0.3147766983117517, 0.6457846503209623, 2.217482971814025, 5.321950002480973, 4.0503377419389786]","1_lag_10_median_arcTSjfm, 12_lag_amoSSTmjjaso, 1_lag_5_median_yrvPRjja, 1_lag_5_median_nppc2SSTjfm, 1_lag_2_median_traIT, 3_lag_cetTSjfm_1885_1"
LRforcedPSO,2,6,amoSSTmjjaso,slow,1516.5,2005.5,0.6,17,1,1,10.7282259178305,0.6349646850392973,2015,"['1_lag_nhSICsep', '1_lag_mhfATL30', '9_lag_stratZ50ndj03', '1_lag_3_median_traIT', '5_lag_ismPRjja', '3_lag_naoPSLjfm']","[4.822461723760847, 3.1573998748776884, 0.23256349340673665, 3.609801745106971, 0.1602883222543845, 0.43100771476830957]","1_lag_nhSICsep, 1_lag_mhfATL30, 9_lag_stratZ50ndj03, 1_lag_3_median_traIT, 5_lag_ismPRjja, 3_lag_naoPSLjfm_2015_1"
LRforcedPSO,3,6,amoSSTmjjaso,slow,1517.5,2005.5,0.6,18,1,1,9.16497031307903,0.6700245243352254,2145,"['12_lag_pdoSSTjfm', '10_lag_mhfATL60', '1_lag_9_median_traFSC', '1_lag_9_median_nhTSjfm', '1_lag_17_median_amo1', '16_lag_nchinaPRjja']","[1.7320618715716543, 1.7322403041924277, 2.1252640032893306, 1.7334098386118808, 1.7350765884312769, 2.309415828739999]","12_lag_pdoSSTjfm, 10_lag_mhfATL60, 1_lag_9_median_traFSC, 1_lag_9_median_nhTSjfm, 1_lag_17_median_amo1, 16_lag_nchinaPRjja_2145_1"
LRforcedPSO,4,6,amoSSTmjjaso,slow,1518.5,2005.5,0.6,19,1,1,15.750462120961537,-0.1617493502681283,2275,"['10_lag_solFORC', '13_lag_labSSTjfm', '12_lag_traCA', '1_lag_15_median_labSSTjfm', '1_lag_solFORC', '8_lag_neurTSjfm']","[2.5534038404222756, 2.0851761547842917, 2.443773107512186, 2.356512213997293, 2.459651306790756, 2.395486216538284]","10_lag_solFORC, 13_lag_labSSTjfm, 12_lag_traCA, 1_lag_15_median_labSSTjfm, 1_lag_solFORC, 8_lag_neurTSjfm_2275_1"
LRforcedPSO,5,6,amoSSTmjjaso,slow,1519.5,2005.5,0.6,20,1,1,22.467406614855687,-0.6191700880498506,2405,"['7_lag_pdoSSTjfm', '12_lag_mhfATL60', '5_lag_stratZ50ndj03', '1_lag_7_median_traMC', '1_lag_3_median_ensoSSTjfm', '1_lag_5_median_shTSjfm']","[3.7365762691312288, 4.006434145359998, 0.5004545961596651, 0.06373013983827214, 1.7436819547839377, 3.3285773814408515]","7_lag_pdoSSTjfm, 12_lag_mhfATL60, 5_lag_stratZ50ndj03, 1_lag_7_median_traMC, 1_lag_3_median_ensoSSTjfm, 1_lag_5_median_shTSjfm_2405_1"
LRforcedPSO,6,6,amoSSTmjjaso,slow,1520.5,2005.5,0.6,21,1,1,18.610769929782645,-0.46819618794100504,2535,"['11_lag_traFSC', '1_lag_16_median_ginwSSTjfm', '1_lag_4_median_tripol2', '12_lag_solFORC', '1_lag_8_median_satlSSTjfm', '1_lag_solFORC']","[1.120581737273847, 0.7869033929481404, 0.33734042222875793, 7.287117257188205, 1.3708589577717252, 4.393021335702487]","11_lag_traFSC, 1_lag_16_median_ginwSSTjfm, 1_lag_4_median_tripol2, 12_lag_solFORC, 1_lag_8_median_satlSSTjfm, 1_lag_solFORC_2535_1"
LRforcedPSO,7,6,amoSSTmjjaso,slow,1521.5,2005.5,0.6,22,2,2,16.483272707391553,-0.391041734583283,2535,"['2_lag_8_median_cetTSjfm', '2_lag_5_median_shTSjfm', '10_lag_traTLS', '2_lag_20_median_traIFC', '2_lag_9_median_tripol2', '6_lag_mhfATL30']","[1.0588275592489467, 0.9563588532349865, 0.4758100371437539, 5.392182366758043, 1.353422794393115, 1.9585507803671813]","2_lag_8_median_cetTSjfm, 2_lag_5_median_shTSjfm, 10_lag_traTLS, 2_lag_20_median_traIFC, 2_lag_9_median_tripol2, 6_lag_mhfATL30_2535_2"
LRforcedPSO,8,6,amoSSTmjjaso,slow,1522.5,2005.5,0.6,23,3,3,12.827825136863208,0.32777853478842855,2535,"['3_lag_8_median_stratZ50ndj04', '3_lag_7_median_traDS', '22_lag_tripol3', '3_lag_8_median_amo1', '3_lag_20_median_seurTSjfm', '3_lag_15_median_traTLS']","[2.204091572296076, 2.3049113227001237, 1.9502639263890889, 2.318081916209558, 2.0293809245932666, 1.738756762676401]","3_lag_8_median_stratZ50ndj04, 3_lag_7_median_traDS, 22_lag_tripol3, 3_lag_8_median_amo1, 3_lag_20_median_seurTSjfm, 3_lag_15_median_traTLS_2535_3"
LRforcedPSO,9,6,amoSSTmjjaso,slow,1523.5,2005.5,0.6,24,4,4,14.331606843286165,0.08896434791281284,2535,"['20_lag_amo1', '13_lag_mhfATL30', '4_lag_AMOCann', '23_lag_ginwSSTjfm', '4_lag_8_median_samPSLann', '12_lag_traWP']","[2.2461849115817967, 2.198059663439398, 2.259769341661575, 1.697085587048568, 1.7029796032675988, 1.8764085642031991]","20_lag_amo1, 13_lag_mhfATL30, 4_lag_AMOCann, 23_lag_ginwSSTjfm, 4_lag_8_median_samPSLann, 12_lag_traWP_2535_4"
