model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,atlSICjfm,slow,1714.5,2005.5,0.6,15,5,5,16.364329972732605,0.05659096565448426,1235,"['11_lag_yrvPRjja', '12_lag_ismPRjja', '13_lag_shSICsep', '5_lag_traEC', '14_lag_ismPRjja', '11_lag_ensoSSTjfm', '5_lag_8_median_scpPSLjfm', '13_lag_traCA', '5_lag_13_median_ismPRjja', '12_lag_traCA']","[0.6562929609982753, 5.82689255250396, 4.069833105684662, 3.6095740608692246, 0.24648592614930642, 2.3860482355123818, 1.2616468030808008, 4.935453626339232, 4.122178736993201, 4.303211288698245]","11_lag_yrvPRjja, 12_lag_ismPRjja, 13_lag_shSICsep, 5_lag_traEC, 14_lag_ismPRjja, 11_lag_ensoSSTjfm, 5_lag_8_median_scpPSLjfm, 13_lag_traCA, 5_lag_13_median_ismPRjja, 12_lag_traCA_1235_5"
LRforcedPSO,1,10,atlSICjfm,slow,1715.5,2005.5,0.6,16,6,6,19.36412601807565,-0.0012725270120444118,1235,"['15_lag_atlSICjfm', '9_lag_stratZ50ndj01', '6_lag_14_median_labSSTjfm', '7_lag_naoPSLjfm', '11_lag_traFB', '6_lag_14_median_traCA', '15_lag_mhfATL60', '6_lag_7_median_gyreSSTjfm', '15_lag_naoPSLjfm', '13_lag_traTLS']","[6.562061059273545, 1.4481777787267482, 1.0142631520187013, 0.3270726074413126, 4.326689526337137, 1.8186098835455624, 6.971126447183067, 0.7763229977528603, 1.7252250848320738, 0.07333700273210653]","15_lag_atlSICjfm, 9_lag_stratZ50ndj01, 6_lag_14_median_labSSTjfm, 7_lag_naoPSLjfm, 11_lag_traFB, 6_lag_14_median_traCA, 15_lag_mhfATL60, 6_lag_7_median_gyreSSTjfm, 15_lag_naoPSLjfm, 13_lag_traTLS_1235_6"
LRforcedPSO,2,10,atlSICjfm,slow,1716.5,2005.5,0.6,17,7,7,15.893718800442393,0.16369623881072062,1235,"['13_lag_traBS', '7_lag_traBO', '9_lag_amo2', '9_lag_mhfATL60', '7_lag_13_median_traBO', '13_lag_tripol1', '7_lag_12_median_mhfATL45', '13_lag_nchinaPRjja', '16_lag_tripol2', '7_lag_8_median_stratZ50ndj04']","[5.417854360643128, 1.4846189651920927, 2.7924863636863106, 3.9664453865046223, 2.2865236913962317, 4.235536006088852, 5.23589034502127, 4.072399209220736, 2.998091107086392, 6.096992888949908]","13_lag_traBS, 7_lag_traBO, 9_lag_amo2, 9_lag_mhfATL60, 7_lag_13_median_traBO, 13_lag_tripol1, 7_lag_12_median_mhfATL45, 13_lag_nchinaPRjja, 16_lag_tripol2, 7_lag_8_median_stratZ50ndj04_1235_7"
LRforcedPSO,3,10,atlSICjfm,slow,1717.5,2005.5,0.6,18,8,8,17.153074433993705,0.10349841178420768,1235,"['15_lag_satlSSTjfm', '8_lag_9_median_wnorPRjfm', '8_lag_13_median_nhSICsep', '16_lag_traCA', '17_lag_gyreSSTjfm', '14_lag_traCA', '13_lag_traMC', '8_lag_10_median_ormenSSTjfm', '8_lag_15_median_amo3', '15_lag_nppc3SSTjfm']","[4.347341130238775, 0.5191649407415699, 1.3878743031257645, 3.763561634661599, 5.946668459708766, 3.017725108026541, 4.046695458793248, 0.030478680108929623, 2.783496079045962, 5.5597745786498765]","15_lag_satlSSTjfm, 8_lag_9_median_wnorPRjfm, 8_lag_13_median_nhSICsep, 16_lag_traCA, 17_lag_gyreSSTjfm, 14_lag_traCA, 13_lag_traMC, 8_lag_10_median_ormenSSTjfm, 8_lag_15_median_amo3, 15_lag_nppc3SSTjfm_1235_8"
LRforcedPSO,4,10,atlSICjfm,slow,1718.5,2005.5,0.6,19,9,9,19.050172361434722,-0.20933115382166703,1235,"['9_lag_11_median_traCA', '16_lag_traCA', '11_lag_nhSICjfm', '9_lag_18_median_traDS', '11_lag_nhTSjfm', '15_lag_shTSjfm', '9_lag_14_median_labSSTjfm', '13_lag_yrvPRjja', '10_lag_amo3', '16_lag_ismPRjja']","[6.9286290301283735, 6.530545432371724, 0.9299182826388925, 3.610836140913369, 0.7723508718474807, 3.9826997298029205, 1.6262852419217708, 0.5816041119248094, 2.545420483477834, 0.8125296955320884]","9_lag_11_median_traCA, 16_lag_traCA, 11_lag_nhSICjfm, 9_lag_18_median_traDS, 11_lag_nhTSjfm, 15_lag_shTSjfm, 9_lag_14_median_labSSTjfm, 13_lag_yrvPRjja, 10_lag_amo3, 16_lag_ismPRjja_1235_9"
LRforcedPSO,5,10,atlSICjfm,slow,1719.5,2005.5,0.6,20,10,10,20.51574867336061,0.1307480794392734,1235,"['12_lag_solFORC', '19_lag_scpPSLjfm', '10_lag_13_median_tripol2', '17_lag_naoPSLjfm', '10_lag_seurTSjfm', '10_lag_16_median_traBS', '10_lag_17_median_ensoSSTjfm', '10_lag_14_median_samPSLann', '10_lag_15_median_wnorPRjfm', '10_lag_12_median_mhfIP30']","[7.2011094974003464, 0.4601227806969064, 3.5350039672299545, 1.9546302845375045, 0.10392618222248728, 4.142355919528207, 5.480054193568932, 3.3251778912542935, 3.1973387745037165, 0.6437449317237913]","12_lag_solFORC, 19_lag_scpPSLjfm, 10_lag_13_median_tripol2, 17_lag_naoPSLjfm, 10_lag_seurTSjfm, 10_lag_16_median_traBS, 10_lag_17_median_ensoSSTjfm, 10_lag_14_median_samPSLann, 10_lag_15_median_wnorPRjfm, 10_lag_12_median_mhfIP30_1235_10"
LRforcedPSO,6,10,atlSICjfm,slow,1720.5,2005.5,0.6,21,11,11,14.419437484228007,0.09019107454985191,1235,"['11_lag_13_median_traIT', '11_lag_15_median_yrvPRjja', '11_lag_16_median_amo1', '12_lag_ginwSSTjfm', '13_lag_eapPSLjfm', '11_lag_shSICmar', '11_lag_wnorPRjfm', '15_lag_traMC', '18_lag_satlSSTjfm', '11_lag_amo3']","[0.6404856948086, 4.041039936094877, 3.807834204267431, 1.6311760614796995, 3.9354363609187573, 4.823319114361919, 2.5065643286420496, 1.829998971551154, 1.3166411968759704, 1.4645355130411275]","11_lag_13_median_traIT, 11_lag_15_median_yrvPRjja, 11_lag_16_median_amo1, 12_lag_ginwSSTjfm, 13_lag_eapPSLjfm, 11_lag_shSICmar, 11_lag_wnorPRjfm, 15_lag_traMC, 18_lag_satlSSTjfm, 11_lag_amo3_1235_11"
LRforcedPSO,7,10,atlSICjfm,slow,1721.5,2005.5,0.6,22,12,12,23.205590516087202,-0.09221640425165499,1235,"['12_lag_14_median_stratZ50ndj01', '12_lag_18_median_mhfATL30', '16_lag_traIFC', '12_lag_13_median_seurTSjfm', '20_lag_glomaSSTjfm', '12_lag_20_median_amo2', '17_lag_ormenSSTjfm', '16_lag_shTSjfm', '12_lag_traIT', '12_lag_15_median_stratZ50ndj02']","[0.6891993307798749, 0.7926168196512311, 2.8223091596398078, 2.2519880986913563, 0.377392231546402, 5.828680760412935, 4.9755248175384, 0.04782539040068201, 4.000912646056509, 4.874803194262331]","12_lag_14_median_stratZ50ndj01, 12_lag_18_median_mhfATL30, 16_lag_traIFC, 12_lag_13_median_seurTSjfm, 20_lag_glomaSSTjfm, 12_lag_20_median_amo2, 17_lag_ormenSSTjfm, 16_lag_shTSjfm, 12_lag_traIT, 12_lag_15_median_stratZ50ndj02_1235_12"
LRforcedPSO,8,10,atlSICjfm,slow,1722.5,2005.5,0.6,23,13,13,21.951109310231104,-0.18183109065867278,1235,"['13_lag_19_median_shSICmar', '13_lag_14_median_gyreSSTjfm', '13_lag_16_median_cetTSjfm', '13_lag_cetTSjfm', '13_lag_16_median_mhfATL60', '18_lag_traBO', '13_lag_15_median_traIFC', '21_lag_nhSICsep', '16_lag_traIFC', '16_lag_eapPSLjfm']","[7.608489337020455, 3.308891278025241, 0.5775571093055003, 1.938582714575741, 3.8485815699607917, 6.150754369195042, 0.33476123978544337, 0.719986006251327, 1.8685143178906412, 3.1093737368265746]","13_lag_19_median_shSICmar, 13_lag_14_median_gyreSSTjfm, 13_lag_16_median_cetTSjfm, 13_lag_cetTSjfm, 13_lag_16_median_mhfATL60, 18_lag_traBO, 13_lag_15_median_traIFC, 21_lag_nhSICsep, 16_lag_traIFC, 16_lag_eapPSLjfm_1235_13"
LRforcedPSO,9,10,atlSICjfm,slow,1723.5,2005.5,0.6,24,14,14,23.796931785019655,-0.021301691173012317,1235,"['14_lag_21_median_nchinaPRjja', '14_lag_22_median_traCA', '21_lag_mhfATL60', '14_lag_20_median_mhfIP30', '14_lag_wnorPRjfm', '21_lag_traCA', '17_lag_stratZ50ndj01', '19_lag_stratZ50ndj03', '14_lag_20_median_traBS', '14_lag_20_median_AMOCann']","[0.7686035150794694, 5.0917207789196475, 3.489270613519377, 3.90695748220287, 5.621961282851451, 0.3444456232620361, 4.684395902479414, 4.507068808427373, 8.062014403328153, 7.193800514529718]","14_lag_21_median_nchinaPRjja, 14_lag_22_median_traCA, 21_lag_mhfATL60, 14_lag_20_median_mhfIP30, 14_lag_wnorPRjfm, 21_lag_traCA, 17_lag_stratZ50ndj01, 19_lag_stratZ50ndj03, 14_lag_20_median_traBS, 14_lag_20_median_AMOCann_1235_14"
LRforcedPSO,10,10,atlSICjfm,slow,1724.5,2005.5,0.6,25,15,15,19.017975079303717,-0.0807687707195945,1235,"['24_lag_neurTSjfm', '15_lag_24_median_traBO', '19_lag_pdoSSTjfm', '15_lag_cetTSjfm', '15_lag_traCA', '15_lag_16_median_tripol3', '15_lag_traIFC', '16_lag_tripol1', '15_lag_17_median_shSICmar', '15_lag_17_median_traMC']","[1.2235601939987646, 5.075836186418902, 2.4449259234559264, 1.42039410517323, 4.896830425174084, 4.757046138283325, 3.472870671176075, 4.3057468455866434, 7.683876310657021, 1.086797397077694]","24_lag_neurTSjfm, 15_lag_24_median_traBO, 19_lag_pdoSSTjfm, 15_lag_cetTSjfm, 15_lag_traCA, 15_lag_16_median_tripol3, 15_lag_traIFC, 16_lag_tripol1, 15_lag_17_median_shSICmar, 15_lag_17_median_traMC_1235_15"
LRforcedPSO,11,10,atlSICjfm,slow,1725.5,2005.5,0.6,26,16,16,25.178532471814137,-0.11549882406308087,1235,"['18_lag_stratZ50ndj04', '16_lag_23_median_samPSLann', '16_lag_20_median_tripol3', '16_lag_22_median_neurTSjfm', '22_lag_ensoSSTjfm', '16_lag_24_median_satlSSTjfm', '16_lag_glTSjfm', '21_lag_traFS', '17_lag_atlSICsep', '16_lag_22_median_scpPSLjfm']","[5.50965936072644, 6.84263926558224, 7.334261511284961, 0.12696868553150864, 4.847214377591634, 2.997796033807399, 2.2247674351081397, 3.4659055914001335, 6.280230738490367, 1.083788398478191]","18_lag_stratZ50ndj04, 16_lag_23_median_samPSLann, 16_lag_20_median_tripol3, 16_lag_22_median_neurTSjfm, 22_lag_ensoSSTjfm, 16_lag_24_median_satlSSTjfm, 16_lag_glTSjfm, 21_lag_traFS, 17_lag_atlSICsep, 16_lag_22_median_scpPSLjfm_1235_16"
LRforcedPSO,12,10,atlSICjfm,slow,1726.5,2005.5,0.6,27,17,17,22.014857174938758,0.008836014819601994,1235,"['17_lag_24_median_stratZ50ndj01', '17_lag_22_median_mhfATL60', '22_lag_traBO', '26_lag_ismPRjja', '26_lag_nhTSjfm', '22_lag_stratZ50ndj04', '26_lag_tripol1', '20_lag_traBO', '17_lag_20_median_AMOCann', '20_lag_mhfATL60']","[2.298560861196326, 0.1239291830277427, 6.449340648109871, 2.8909212522198686, 0.6425084847957514, 0.7185383145451336, 6.049131301578619, 2.3811470086850246, 2.78169312321237, 5.077186063345112]","17_lag_24_median_stratZ50ndj01, 17_lag_22_median_mhfATL60, 22_lag_traBO, 26_lag_ismPRjja, 26_lag_nhTSjfm, 22_lag_stratZ50ndj04, 26_lag_tripol1, 20_lag_traBO, 17_lag_20_median_AMOCann, 20_lag_mhfATL60_1235_17"
LRforcedPSO,13,10,atlSICjfm,slow,1727.5,2005.5,0.6,28,18,18,16.647159991018615,0.0013809615648755422,1235,"['18_lag_19_median_wnorPRjfm', '21_lag_tripol2', '18_lag_26_median_mhfIP30', '25_lag_tripol2', '23_lag_stratZ50ndj03', '25_lag_nppc2SSTjfm', '18_lag_23_median_ormenSSTjfm', '25_lag_alpi', '24_lag_pdoSSTjfm', '21_lag_naoPSLjfm']","[2.3953649998778364, 6.3774688344953345, 0.3524739944329003, 1.360839624885342, 2.8577414300176933, 0.014317816650400772, 0.5182964435635995, 2.559628596512267, 8.287952452075109, 0.9608522333904705]","18_lag_19_median_wnorPRjfm, 21_lag_tripol2, 18_lag_26_median_mhfIP30, 25_lag_tripol2, 23_lag_stratZ50ndj03, 25_lag_nppc2SSTjfm, 18_lag_23_median_ormenSSTjfm, 25_lag_alpi, 24_lag_pdoSSTjfm, 21_lag_naoPSLjfm_1235_18"
LRforcedPSO,14,10,atlSICjfm,slow,1728.5,2005.5,0.6,29,19,19,15.953194025128232,0.10107660594790602,1235,"['27_lag_shSICmar', '24_lag_eurPSLjfm', '19_lag_23_median_stratZ50ndj02', '19_lag_25_median_eurPSLjfm', '19_lag_20_median_nppc3SSTjfm', '28_lag_amo2', '19_lag_26_median_solFORC', '21_lag_glomaSSTjfm', '27_lag_traBS', '23_lag_cetTSjfm']","[5.28381004680589, 4.857919012841647, 0.4614738331317838, 2.824433093144556, 1.6819837818337078, 2.471273754125061, 1.2626489401266277, 7.832919565761158, 5.649346782624079, 1.6244491116864364]","27_lag_shSICmar, 24_lag_eurPSLjfm, 19_lag_23_median_stratZ50ndj02, 19_lag_25_median_eurPSLjfm, 19_lag_20_median_nppc3SSTjfm, 28_lag_amo2, 19_lag_26_median_solFORC, 21_lag_glomaSSTjfm, 27_lag_traBS, 23_lag_cetTSjfm_1235_19"
LRforcedPSO,15,10,atlSICjfm,slow,1729.5,2005.5,0.6,30,20,20,24.351898404327596,0.06940843300734094,1235,"['20_lag_22_median_stratZ50ndj03', '20_lag_mhfATL30', '20_lag_23_median_wnorPRjfm', '24_lag_neurTSjfm', '27_lag_samPSLann', '20_lag_22_median_labSSTjfm', '20_lag_21_median_ginwSSTjfm', '26_lag_amo2', '20_lag_27_median_traBO', '28_lag_shSICsep']","[4.854903599044867, 5.776642143482866, 4.974079360391588, 1.324014844469719, 2.8712847044537178, 2.4893384800057294, 4.030964434989823, 2.402142042226661, 8.626317473640416, 4.86479307396269]","20_lag_22_median_stratZ50ndj03, 20_lag_mhfATL30, 20_lag_23_median_wnorPRjfm, 24_lag_neurTSjfm, 27_lag_samPSLann, 20_lag_22_median_labSSTjfm, 20_lag_21_median_ginwSSTjfm, 26_lag_amo2, 20_lag_27_median_traBO, 28_lag_shSICsep_1235_20"
LRforcedPSO,16,10,atlSICjfm,slow,1730.5,2005.5,0.6,31,21,21,14.488927216642368,0.09938677212011846,1235,"['24_lag_naoPSLjfm', '21_lag_22_median_traBO', '28_lag_labSSTjfm', '25_lag_atlSICsep', '30_lag_traFSC', '21_lag_26_median_traBO', '30_lag_ginwSSTjfm', '21_lag_25_median_traDP', '21_lag_28_median_mhfIP30', '30_lag_nppc2SSTjfm']","[1.0541145995270789, 0.6415646689335901, 1.7621140077191697, 2.8876604591818866, 3.571170403284192, 0.1045404845845681, 7.563349908388339, 6.7867052830448955, 0.3643649035609702, 0.14807130246246736]","24_lag_naoPSLjfm, 21_lag_22_median_traBO, 28_lag_labSSTjfm, 25_lag_atlSICsep, 30_lag_traFSC, 21_lag_26_median_traBO, 30_lag_ginwSSTjfm, 21_lag_25_median_traDP, 21_lag_28_median_mhfIP30, 30_lag_nppc2SSTjfm_1235_21"
