model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,atlSICjfm,slow,866.5,2005.5,0.6,15,1,1,13.87581032095308,0.12321628586215692,594,"['1_lag_13_median_amo3', '8_lag_nppc2SSTjfm', '1_lag_2_median_eapPSLjfm', '10_lag_amoSSTjfm', '1_lag_13_median_eapPSLjfm', '11_lag_shSICmar']","[2.5159361707536134, 1.888311906844153, 1.8874017977913582, 1.9369344410128306, 1.895504380070935, 1.9302323445334393]","1_lag_13_median_amo3, 8_lag_nppc2SSTjfm, 1_lag_2_median_eapPSLjfm, 10_lag_amoSSTjfm, 1_lag_13_median_eapPSLjfm, 11_lag_shSICmar_594_1"
LRforcedPSO,1,6,atlSICjfm,slow,867.5,2005.5,0.6,16,1,1,15.120296168483828,-0.1545436359263713,638,"['5_lag_atlSICjfm', '9_lag_amo2', '5_lag_stratZ50ndj04', '4_lag_eurPSLjfm', '1_lag_13_median_naoPSLjfm', '1_lag_15_median_amoSSTmjjaso']","[3.486889450693722, 0.8274357096089382, 0.9795053498479511, 0.3143728595458857, 1.5564451342371868, 0.011606913584515155]","5_lag_atlSICjfm, 9_lag_amo2, 5_lag_stratZ50ndj04, 4_lag_eurPSLjfm, 1_lag_13_median_naoPSLjfm, 1_lag_15_median_amoSSTmjjaso_638_1"
LRforcedPSO,2,6,atlSICjfm,slow,868.5,2005.5,0.6,17,1,1,13.010905902015526,0.4147974737181645,682,"['10_lag_stratZ50ndj03', '13_lag_stratZ50ndj04', '1_lag_16_median_stratZ50ndj02', '16_lag_stratZ50ndj03', '7_lag_amoSSTjfm', '1_lag_5_median_atlSICjfm']","[2.5515075924390462, 1.9953480032592097, 0.9648246456394833, 1.9496196807969408, 0.5799686118660574, 9.255450425545405]","10_lag_stratZ50ndj03, 13_lag_stratZ50ndj04, 1_lag_16_median_stratZ50ndj02, 16_lag_stratZ50ndj03, 7_lag_amoSSTjfm, 1_lag_5_median_atlSICjfm_682_1"
LRforcedPSO,3,6,atlSICjfm,slow,869.5,2005.5,0.6,18,1,1,13.143312019060682,0.3597107353566528,726,"['1_lag_3_median_atlSICjfm', '1_lag_16_median_amoSSTjfm', '1_lag_13_median_stratZ50ndj02', '15_lag_nppc2SSTjfm', '3_lag_nhSICjfm', '9_lag_shSICmar']","[2.414744230623727, 0.425829783230089, 1.2122476493756054, 1.6959249965616046, 4.721653647861423, 7.488228105948924]","1_lag_3_median_atlSICjfm, 1_lag_16_median_amoSSTjfm, 1_lag_13_median_stratZ50ndj02, 15_lag_nppc2SSTjfm, 3_lag_nhSICjfm, 9_lag_shSICmar_726_1"
LRforcedPSO,4,6,atlSICjfm,slow,870.5,2005.5,0.6,19,1,1,13.509150449339035,0.4141057634824341,770,"['1_lag_2_median_shSICmar', '1_lag_4_median_atlSICjfm', '1_lag_4_median_nhSICsep', '9_lag_stratZ50ndj04', '1_lag_14_median_shSICmar', '11_lag_stratZ50ndj03']","[1.4809102936120322, 1.773736122286774, 7.157745858564283, 1.5097652658269247, 3.1244853447322996, 1.9246404337867702]","1_lag_2_median_shSICmar, 1_lag_4_median_atlSICjfm, 1_lag_4_median_nhSICsep, 9_lag_stratZ50ndj04, 1_lag_14_median_shSICmar, 11_lag_stratZ50ndj03_770_1"
LRforcedPSO,5,6,atlSICjfm,slow,871.5,2005.5,0.6,20,1,1,14.05657997649652,0.26233537144459973,814,"['1_lag_4_median_solFORC', '2_lag_amoSSTjfm', '1_lag_16_median_eurPSLjfm', '5_lag_stratZ50ndj03', '15_lag_eapPSLjfm', '3_lag_stratZ50ndj04']","[3.771803821730135, 3.3145566558774213, 0.004235441503006143, 2.3865750196682356, 6.4024579777921495, 0.24841818603204402]","1_lag_4_median_solFORC, 2_lag_amoSSTjfm, 1_lag_16_median_eurPSLjfm, 5_lag_stratZ50ndj03, 15_lag_eapPSLjfm, 3_lag_stratZ50ndj04_814_1"
LRforcedPSO,6,6,atlSICjfm,slow,872.5,2005.5,0.6,21,1,1,12.725821544366468,0.43731765147263946,858,"['1_lag_3_median_stratZ50ndj03', '20_lag_nhSICjfm', '1_lag_10_median_atlSICsep', '2_lag_atlSICsep', '1_lag_15_median_stratZ50ndj01', '6_lag_solFORC']","[0.3778628716198096, 0.8935472691998072, 1.101187388791141, 8.265527453768712, 2.8557257930989532, 1.8490165327262744]","1_lag_3_median_stratZ50ndj03, 20_lag_nhSICjfm, 1_lag_10_median_atlSICsep, 2_lag_atlSICsep, 1_lag_15_median_stratZ50ndj01, 6_lag_solFORC_858_1"
LRforcedPSO,7,6,atlSICjfm,slow,873.5,2005.5,0.6,22,2,2,14.271733858806288,0.13672102525873966,858,"['19_lag_amoSSTmjjaso', '21_lag_solFORC', '5_lag_atlSICsep', '12_lag_eurPSLjfm', '5_lag_stratZ50ndj03', '2_lag_10_median_naoPSLjfm']","[0.1604798176674116, 5.157580549004745, 0.32254944776837746, 0.7842560096419611, 2.954936075976768, 3.993877259680456]","19_lag_amoSSTmjjaso, 21_lag_solFORC, 5_lag_atlSICsep, 12_lag_eurPSLjfm, 5_lag_stratZ50ndj03, 2_lag_10_median_naoPSLjfm_858_2"
LRforcedPSO,8,6,atlSICjfm,slow,874.5,2005.5,0.6,23,3,3,15.384187819690561,0.015006216691027148,858,"['3_lag_15_median_eurPSLjfm', '17_lag_amo1', '22_lag_stratZ50ndj03', '10_lag_nhSICsep', '3_lag_4_median_amo1', '3_lag_16_median_naoPSLjfm']","[2.4459161228723207, 2.7394212410716356, 1.2318681863507805, 0.9412298128685741, 2.872893364314706, 3.839401932439637]","3_lag_15_median_eurPSLjfm, 17_lag_amo1, 22_lag_stratZ50ndj03, 10_lag_nhSICsep, 3_lag_4_median_amo1, 3_lag_16_median_naoPSLjfm_858_3"
LRforcedPSO,9,6,atlSICjfm,slow,875.5,2005.5,0.6,24,4,4,13.510445567481652,0.22742741391503607,858,"['11_lag_stratZ50ndj02', '4_lag_12_median_AMOCann', '6_lag_shSICmar', '17_lag_eapPSLjfm', '15_lag_nppc2SSTjfm', '4_lag_20_median_amoSSTjfm']","[2.198074283968774, 2.917953142552723, 2.1923553490108674, 2.9231402375003146, 2.477926355670188, 2.894180658728822]","11_lag_stratZ50ndj02, 4_lag_12_median_AMOCann, 6_lag_shSICmar, 17_lag_eapPSLjfm, 15_lag_nppc2SSTjfm, 4_lag_20_median_amoSSTjfm_858_4"
