model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,atlSICjfm,slow,866.5,2005.5,0.6,15,5,5,13.625009799216508,0.2610282940330803,1235,"['9_lag_traDP', '5_lag_11_median_eapPSLjfm', '5_lag_13_median_yrvPRjja', '5_lag_10_median_traDS', '5_lag_14_median_labSSTjfm', '5_lag_14_median_nppc3SSTjfm', '5_lag_14_median_traFS', '5_lag_10_median_ginwSSTjfm', '5_lag_14_median_neurTSjfm', '5_lag_14_median_traMC']","[0.06420831371605275, 0.09410619157739271, 0.02363328308817157, 0.1033679042579953, 0.04263913875676652, 0.17314411646853015, 0.12513086187196976, 0.17539543274853922, 0.02201511765013457, 0.09458563100181139]","9_lag_traDP, 5_lag_11_median_eapPSLjfm, 5_lag_13_median_yrvPRjja, 5_lag_10_median_traDS, 5_lag_14_median_labSSTjfm, 5_lag_14_median_nppc3SSTjfm, 5_lag_14_median_traFS, 5_lag_10_median_ginwSSTjfm, 5_lag_14_median_neurTSjfm, 5_lag_14_median_traMC_1235_5"
LinearRegression,1,10,atlSICjfm,slow,867.5,2005.5,0.6,16,6,6,13.510939734991664,0.22277100776703818,1235,"['12_lag_amo2', '6_lag_15_median_stratZ50ndj03', '11_lag_pdoSSTjfm', '6_lag_11_median_mhfIP30', '6_lag_15_median_nppc3SSTjfm', '6_lag_11_median_wnorPRjfm', '6_lag_9_median_traIT', '6_lag_15_median_traMC', '6_lag_10_median_samPSLann', '13_lag_wnorPRjfm']","[0.12377519845817711, 0.18851856159768482, 0.06825639829881053, 0.027843165791292077, 0.08257146474827783, 0.019928675660985242, 0.0736046132978648, 0.10753238163874942, 0.1745093388658173, 0.05187019295654974]","12_lag_amo2, 6_lag_15_median_stratZ50ndj03, 11_lag_pdoSSTjfm, 6_lag_11_median_mhfIP30, 6_lag_15_median_nppc3SSTjfm, 6_lag_11_median_wnorPRjfm, 6_lag_9_median_traIT, 6_lag_15_median_traMC, 6_lag_10_median_samPSLann, 13_lag_wnorPRjfm_1235_6"
LinearRegression,2,10,atlSICjfm,slow,868.5,2005.5,0.6,17,7,7,14.207012818910215,-0.051686883876738234,1235,"['7_lag_11_median_stratZ50ndj02', '7_lag_11_median_eapPSLjfm', '7_lag_10_median_amo1', '7_lag_12_median_mhfIP30', '7_lag_15_median_ismPRjja', '15_lag_ensoSSTjfm', '7_lag_11_median_traMC', '7_lag_14_median_labSSTjfm', '7_lag_16_median_arcTSjfm', '7_lag_11_median_nchinaPRjja']","[0.02049930765639556, 0.1343377353711881, 0.15907681779201072, 0.010988132207950255, 0.11608639856752091, 0.05456987486271379, 0.0351080009810314, 0.06225275783897599, 0.11719226579074563, 0.14800450898357956]","7_lag_11_median_stratZ50ndj02, 7_lag_11_median_eapPSLjfm, 7_lag_10_median_amo1, 7_lag_12_median_mhfIP30, 7_lag_15_median_ismPRjja, 15_lag_ensoSSTjfm, 7_lag_11_median_traMC, 7_lag_14_median_labSSTjfm, 7_lag_16_median_arcTSjfm, 7_lag_11_median_nchinaPRjja_1235_7"
LinearRegression,3,10,atlSICjfm,slow,869.5,2005.5,0.6,18,8,8,13.394910336701546,0.28172213568161264,1235,"['8_lag_13_median_traEC', '8_lag_nhTSjfm', '8_lag_12_median_nchinaPRjja', '8_lag_15_median_ismPRjja', '8_lag_12_median_alpi', '8_lag_12_median_ismPRjja', '17_lag_glomaSSTjfm', '8_lag_15_median_naoPSLjfm', '8_lag_15_median_ginwSSTjfm', '8_lag_17_median_seurTSjfm']","[0.03641791857382531, 0.017376033510932504, 0.0810527504862069, 0.10916446741804724, 0.0022527462125664192, 0.005023754759518729, 0.052677253148234855, 0.13442746615010157, 0.18414568024976083, 0.034048317835351574]","8_lag_13_median_traEC, 8_lag_nhTSjfm, 8_lag_12_median_nchinaPRjja, 8_lag_15_median_ismPRjja, 8_lag_12_median_alpi, 8_lag_12_median_ismPRjja, 17_lag_glomaSSTjfm, 8_lag_15_median_naoPSLjfm, 8_lag_15_median_ginwSSTjfm, 8_lag_17_median_seurTSjfm_1235_8"
LinearRegression,4,10,atlSICjfm,slow,870.5,2005.5,0.6,19,9,9,13.899220725270952,0.07281512108955909,1235,"['9_lag_12_median_glomaSSTjfm', '11_lag_nhTSjfm', '9_lag_14_median_amoSSTmjjaso', '9_lag_14_median_neurTSjfm', '9_lag_16_median_ginwSSTjfm', '9_lag_14_median_ismPRjja', '17_lag_amo2', '9_lag_18_median_atlSICjfm', '9_lag_14_median_mhfATL60', '9_lag_14_median_nchinaPRjja']","[0.0537978191957146, 0.07677189504718959, 0.0041700816797932486, 0.11842913739124401, 0.054531949340347545, 0.16251455784332067, 0.1248189939633596, 0.06055378397251828, 0.24363719965409894, 0.06470637906588594]","9_lag_12_median_glomaSSTjfm, 11_lag_nhTSjfm, 9_lag_14_median_amoSSTmjjaso, 9_lag_14_median_neurTSjfm, 9_lag_16_median_ginwSSTjfm, 9_lag_14_median_ismPRjja, 17_lag_amo2, 9_lag_18_median_atlSICjfm, 9_lag_14_median_mhfATL60, 9_lag_14_median_nchinaPRjja_1235_9"
LinearRegression,5,10,atlSICjfm,slow,871.5,2005.5,0.6,20,10,10,14.042327266587467,0.024739890585947756,1235,"['16_lag_gyreSSTjfm', '10_lag_13_median_mhfATL60', '13_lag_tripol2', '17_lag_AMOCann', '10_lag_18_median_scpPSLjfm', '10_lag_17_median_AMOCann', '10_lag_19_median_atlSICjfm', '10_lag_16_median_wnorPRjfm', '10_lag_16_median_mhfATL30', '10_lag_19_median_ormenSSTjfm']","[0.014705659694883595, 0.10887283628621654, 0.0033369091985625335, 0.154023349184854, 0.2992637541160799, 0.31826563896319165, 0.15580723636281815, 0.1528510061446699, 0.04862900102496777, 0.06070228819977709]","16_lag_gyreSSTjfm, 10_lag_13_median_mhfATL60, 13_lag_tripol2, 17_lag_AMOCann, 10_lag_18_median_scpPSLjfm, 10_lag_17_median_AMOCann, 10_lag_19_median_atlSICjfm, 10_lag_16_median_wnorPRjfm, 10_lag_16_median_mhfATL30, 10_lag_19_median_ormenSSTjfm_1235_10"
LinearRegression,6,10,atlSICjfm,slow,872.5,2005.5,0.6,21,11,11,14.063093419742147,0.06858588109162557,1235,"['11_lag_17_median_nchinaPRjja', '19_lag_samPSLann', '11_lag_20_median_traFSC', '11_lag_17_median_atlSICsep', '11_lag_18_median_labSSTjfm', '11_lag_15_median_traMC', '11_lag_18_median_AMOCann', '11_lag_19_median_wnorPRjfm', '11_lag_14_median_arcTSjfm', '11_lag_16_median_traCA']","[0.010501588969079028, 0.041074332541951, 0.2697486992423235, 0.18304074284016117, 0.1250222701116793, 0.056249583828664684, 0.16596510002401557, 0.09958331187233796, 0.1936042249711524, 0.09596045878017453]","11_lag_17_median_nchinaPRjja, 19_lag_samPSLann, 11_lag_20_median_traFSC, 11_lag_17_median_atlSICsep, 11_lag_18_median_labSSTjfm, 11_lag_15_median_traMC, 11_lag_18_median_AMOCann, 11_lag_19_median_wnorPRjfm, 11_lag_14_median_arcTSjfm, 11_lag_16_median_traCA_1235_11"
LinearRegression,7,10,atlSICjfm,slow,873.5,2005.5,0.6,22,12,12,14.114323780524835,0.04917209479374623,1235,"['18_lag_eurPSLjfm', '21_lag_AMOCann', '12_lag_15_median_traMC', '12_lag_21_median_wnorPRjfm', '14_lag_nhSICjfm', '12_lag_15_median_shSICsep', '12_lag_19_median_tripol3', '12_lag_15_median_naoPSLjfm', '12_lag_21_median_samPSLann', '12_lag_15_median_scpPSLjfm']","[0.08353710816712959, 0.09977211585988474, 0.016340709638046985, 0.06010852208994899, 0.04880129772456904, 0.0018894553652698924, 0.1935898802663826, 0.16334830178167534, 0.15094704992814414, 0.01579993111122427]","18_lag_eurPSLjfm, 21_lag_AMOCann, 12_lag_15_median_traMC, 12_lag_21_median_wnorPRjfm, 14_lag_nhSICjfm, 12_lag_15_median_shSICsep, 12_lag_19_median_tripol3, 12_lag_15_median_naoPSLjfm, 12_lag_21_median_samPSLann, 12_lag_15_median_scpPSLjfm_1235_12"
LinearRegression,8,10,atlSICjfm,slow,874.5,2005.5,0.6,23,13,13,13.847987120942044,0.06396101902452685,1235,"['13_lag_20_median_alpi', '13_lag_16_median_traBS', '13_lag_20_median_cetTSjfm', '21_lag_traDP', '13_lag_22_median_cetTSjfm', '13_lag_22_median_atlSICjfm', '13_lag_22_median_traDS', '13_lag_16_median_traEU', '13_lag_21_median_nchinaPRjja', '13_lag_20_median_neurTSjfm']","[0.07929557422834412, 0.01739205691004804, 0.11954164701630048, 0.08540188099967508, 0.00027369326768126884, 0.16102372339736626, 0.02635527948483902, 0.10886844324601493, 0.2299318725169181, 0.2584443610624776]","13_lag_20_median_alpi, 13_lag_16_median_traBS, 13_lag_20_median_cetTSjfm, 21_lag_traDP, 13_lag_22_median_cetTSjfm, 13_lag_22_median_atlSICjfm, 13_lag_22_median_traDS, 13_lag_16_median_traEU, 13_lag_21_median_nchinaPRjja, 13_lag_20_median_neurTSjfm_1235_13"
LinearRegression,9,10,atlSICjfm,slow,875.5,2005.5,0.6,24,14,14,13.588567869967536,0.20934035462616923,1235,"['18_lag_traTLS', '23_lag_traDP', '18_lag_gyreSSTjfm', '14_lag_23_median_samPSLann', '14_lag_18_median_pdoSSTjfm', '14_lag_23_median_shSICmar', '14_lag_18_median_traCA', '14_lag_23_median_stratZ50ndj01', '14_lag_19_median_satlSSTjfm', '14_lag_17_median_eurPSLjfm']","[0.08714175054098894, 0.07794079313810609, 0.018658915507256305, 0.009291297133024255, 0.021018819170025238, 0.029560676993610816, 0.05146056625735175, 0.1655216695344568, 0.08413615200870886, 0.19538424895951578]","18_lag_traTLS, 23_lag_traDP, 18_lag_gyreSSTjfm, 14_lag_23_median_samPSLann, 14_lag_18_median_pdoSSTjfm, 14_lag_23_median_shSICmar, 14_lag_18_median_traCA, 14_lag_23_median_stratZ50ndj01, 14_lag_19_median_satlSSTjfm, 14_lag_17_median_eurPSLjfm_1235_14"
